Id,,,,,Name,Condition,,Hide,Text,TriggerCondition,SaveBit,PopUps,Icon,ChannelLock
705,抽卡,抽卡,新手池（自选）,新手池的每周自选功能,FuncName_705,"101030,1",完成主线1-3开启,,,,,,,"0,2,3,4,5,7,8,9,10"
801,公会,公会,公会列表（主功能）,加入公会,FuncName_801,"102140,1",完成主线2-14开启,,,,15,1,ui_yc_xh_xinqi_tc_icon_9_1,
802,公会,公会,公会信息,公会信息,FuncName_802,"102140,1",完成主线2-14开启,1,,,,,,
803,公会,公会,公会捐赠,公会捐赠,FuncName_803,"102140,1",完成主线2-14开启,1,,,,,,
804,公会,公会,公会任务,公会任务,FuncName_804,"102140,1",完成主线2-14开启,1,,,,,,
805,公会,公会,成员信息,成员信息,FuncName_805,"102140,1",完成主线2-14开启,1,,,,,,
806,公会,公会,公会活动,公会活动,FuncName_806,"102140,1",完成主线2-14开启,1,,,,,,
807,公会,公会,公会boss,公会boss,FuncName_807,"102140,1",完成主线2-14开启,1,,,,,,"0,2,3,4,5,7,8,9,10"
808,公会,公会,公会赛马,公会赛马,FuncName_808,"102140,1",完成主线2-14开启,1,,,,,,
901,主线关卡,01,无罪的米德加尔,无罪的米德加尔（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,,,,,,,
902,主线关卡,02,罪恶是影子,罪恶是影子（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,,,,,,,
903,主线关卡,03,真理之壤,真理之壤（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,,,,,,,
904,主线关卡,04,虚妄之花,虚妄之花（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,,,,,,,
905,主线关卡,05,欲望的潮汐,欲望的潮汐（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,"0,2,3,4,5,7,8,9,10"
906,主线关卡,06-序,非虚构戏剧-序,非虚构戏剧-序（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
907,主线关卡,06-上,非虚构戏剧-上,非虚构戏剧-上（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
908,主线关卡,06-下,非虚构戏剧-下,非虚构戏剧-下（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
909,主线关卡,07,神谕协奏曲,神谕协奏曲（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
910,主线关卡,08,爱的进化剧,爱的进化剧（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
1001,新手引导,,跳过新手引导功能,,,,,1,,,,,,
1101,邮箱,邮箱皮肤,邮箱皮肤,邮箱皮肤开关,,,,1,,,,,,"0,2,3,4,5,7,8,9,10"
1201,挑战玩法,挑战玩法,挑战玩法,,FuncName_1201,"102200,1",完成主线2-20开启,,,,17,1,ui_yc_xh_xinqi_tc_icon_16_1,
1301,深渊之域,深渊之域,深渊之域,,,"102200,1",完成主线2-20开启,,,,,,,
1401,肉鸽爬塔,肉鸽爬塔,主功能入口,,FuncName_1401,"104240,1",完成主线4-24开启,,,,23,1,ui_yc_xh_xinqi_tc_icon_16_1,
1501,神谕司,神谕司,主功能入口,,FuncName_1501,"101270,1",完成主线1-24开启,,,,24,1,ui_yc_xh_xinqi_tc_icon_2_1,
1502,神谕司,神谕司,基建,,,,,,,,,,,
1503,神谕司,神谕司,委任,,,,,,,,,,,
1504,神谕司,神谕司,农场,,,,,,,,,,,0
1505,神谕司,神谕司,钓鱼,,,,,,,,,,,0
1506,神谕司,神谕司,料理,,,,,,,,,,,-1
1010000,版本活动,锦世奇缘,主活动开放,,,"102020,1",完成主线2-2开启,,,,,,,
1020000,版本活动,一等星之夜,主活动开放,,,"102020,1",完成主线2-2开启,,,,,,,
1030000,版本活动,遮光梦,主活动开放,,,"102020,1",完成主线2-2开启,,,,,,,
1040000,版本活动,和光同尘,主活动开放,,,"102020,1",完成主线2-2开启,,,,,,,
1050000,版本活动,知更鸟,主活动开放,,,"102020,1",完成主线2-2开启,,,,,,,
10202,版本活动,锦世奇缘,困难关卡开放,,,"10201260,1",完成活动主线关卡最后一关开启,,ui_activity_jsqy_35,,,,,
10203,版本活动,锦世奇缘,挑战模式开放,,,"10202200,1",完成活动主线困难关卡最后一关开启,,ui_activity_jsqy_36,,,,,
10303,版本活动,遮光梦,挑战模式开放,,,"10301300,1",完成活动主线关卡最后一关开启,,shop_lock_103003,,,,,
10402,版本活动,和光同尘,困难关卡开放,,,"10401100,1",完成活动主线关卡最后一关开启,,ui_activity_hgtc_18,,,,,
10403,版本活动,和光同尘,挑战模式开放,,,"10402100,1",完成活动主线困难关卡最后一关开启,,ui_activity_hgtc_19,,,,,
10502,版本活动,知更鸟,困难关卡开放,,,"10501140,1",完成活动主线关卡最后一关开启,,shop_lock_105004,,,,,
10503,版本活动,知更鸟,挑战模式开放,,,"10502100,1",完成活动主线困难关卡最后一关开启,,shop_lock_105003,,,,,
12002,版本活动,恶龙计划,困难关卡开放,,,"12001120,1",完成活动主线关卡最后一关开启,,shop_lock_120003,,,,,
12003,版本活动,恶龙计划,挑战模式开放,,,"12002120,1",完成活动主线困难关卡最后一关开启,,shop_lock_120004,,,,,
