Id,Level,par1,Item1
10002,8,4,"1006403,8,1000003,80000,1006207,10,1006204,5;1006403,8,1000003,80000,1006201,10,1006205,5;1006403,8,1000003,80000,1006202,10,1006206,5;1006403,8,1000003,80000,1006203,10,1006207,5;1006403,8,1000003,80000,1006204,10,1006201,5;1006403,8,1000003,80000,1006205,10,1006202,5;1006403,8,1000003,80000,1006206,10,1006203,5"
10002,9,4,"1006400,1,1000003,160000;1006400,1,1000003,160000;1006400,1,1000003,160000;1006400,1,1000003,160000;1006400,1,1000003,160000;1006400,1,1000003,160000;1006400,1,1000003,160000"
10002,10,4,
10003,1,5,"1006401,4,1000003,1000;1006401,4,1000003,1000;1006401,4,1000003,1000;1006401,4,1000003,1000;1006401,4,1000003,1000;1006401,4,1000003,1000;1006401,4,1000003,1000"
10003,2,5,"1006401,8,1000003,2000,1006201,5;1006401,8,1000003,2000,1006202,5;1006401,8,1000003,2000,1006203,5;1006401,8,1000003,2000,1006204,5;1006401,8,1000003,2000,1006205,5;1006401,8,1000003,2000,1006206,5;1006401,8,1000003,2000,1006207,5"
10003,3,5,"1006402,5,1000003,4000,1006202,5;1006402,5,1000003,4000,1006203,5;1006402,5,1000003,4000,1006204,5;1006402,5,1000003,4000,1006205,5;1006402,5,1000003,4000,1006206,5;1006402,5,1000003,4000,1006207,5;1006402,5,1000003,4000,1006201,5"
10003,4,5,"1006402,7,1000003,8000,1006203,5;1006402,7,1000003,8000,1006204,5;1006402,7,1000003,8000,1006205,5;1006402,7,1000003,8000,1006206,5;1006402,7,1000003,8000,1006207,5;1006402,7,1000003,8000,1006201,5;1006402,7,1000003,8000,1006202,5"
10003,5,5,"1006402,9,1000003,14000,1006204,5,1006201,5;1006402,9,1000003,14000,1006205,5,1006202,5;1006402,9,1000003,14000,1006206,5,1006203,5;1006402,9,1000003,14000,1006207,5,1006204,5;1006402,9,1000003,14000,1006201,5,1006205,5;1006402,9,1000003,14000,1006202,5,1006206,5;1006402,9,1000003,14000,1006203,5,1006207,5"
10003,6,5,"1006403,4,1000003,20000,1006205,10,1006202,5;1006403,4,1000003,20000,1006206,10,1006203,5;1006403,4,1000003,20000,1006207,10,1006204,5;1006403,4,1000003,20000,1006201,10,1006205,5;1006403,4,1000003,20000,1006202,10,1006206,5;1006403,4,1000003,20000,1006203,10,1006207,5;1006403,4,1000003,20000,1006204,10,1006201,5"
10003,7,5,"1006403,6,1000003,40000,1006206,10,1006203,5;1006403,6,1000003,40000,1006207,10,1006204,5;1006403,6,1000003,40000,1006201,10,1006205,5;1006403,6,1000003,40000,1006202,10,1006206,5;1006403,6,1000003,40000,1006203,10,1006207,5;1006403,6,1000003,40000,1006204,10,1006201,5;1006403,6,1000003,40000,1006205,10,1006202,5"
10003,8,5,"1006403,8,1000003,100000,1006207,10,1006204,5;1006403,8,1000003,100000,1006201,10,1006205,5;1006403,8,1000003,100000,1006202,10,1006206,5;1006403,8,1000003,100000,1006203,10,1006207,5;1006403,8,1000003,100000,1006204,10,1006201,5;1006403,8,1000003,100000,1006205,10,1006202,5;1006403,8,1000003,100000,1006206,10,1006203,5"
10003,9,5,"1006400,1,1000003,200000;1006400,1,1000003,200000;1006400,1,1000003,200000;1006400,1,1000003,200000;1006400,1,1000003,200000;1006400,1,1000003,200000;1006400,1,1000003,200000"
10003,10,5,
