Id,,BreakLv,LvMax,SkillLvUp,Attr,AttrGrown,BreakReward
3014009,桃,3,180,10,"101,1920;102,268;103,115;104,1008;105,23","101,432;102,59;103,29;104,227","1000002,50"
3014011,艾斯塔利亚,0,30,3,"101,173;102,28;103,12;104,101;105,2","101,390;102,64;103,29;104,227",
3014011,艾斯塔利亚,1,70,5,"101,346;102,56;103,24;104,202;105,4","101,390;102,64;103,29;104,227","1000002,50"
3014011,艾斯塔利亚,2,120,7,"101,864;102,141;103,58;104,504;105,11","101,390;102,64;103,29;104,227","1000002,50"
3014011,艾斯塔利亚,3,180,10,"101,1728;102,283;103,115;104,1008;105,23","101,390;102,64;103,29;104,227","1000002,50"
3014012,未来,0,30,3,"101,152;102,21;103,10;104,80;105,2","101,342;102,48;103,24;104,179",
3014012,未来,1,70,5,"101,304;102,42;103,20;104,160;105,4","101,342;102,48;103,24;104,179","1000002,50"
3014012,未来,2,120,7,"101,760;102,105;103,49;104,400;105,10","101,342;102,48;103,24;104,179","1000002,50"
3014012,未来,3,180,10,"101,1520;102,210;103,97;104,800;105,21","101,342;102,48;103,24;104,179","1000002,50"
3014016,杏林,0,30,3,"101,176;102,22;103,10;104,72;105,2","101,395;102,48;103,24;104,163",
3014016,杏林,1,70,5,"101,352;102,44;103,20;104,144;105,4","101,395;102,48;103,24;104,163","1000002,50"
3014016,杏林,2,120,7,"101,880;102,110;103,49;104,360;105,10","101,395;102,48;103,24;104,163","1000002,50"
3014016,杏林,3,180,10,"101,1760;102,220;103,97;104,720;105,20","101,395;102,48;103,24;104,163","1000002,50"
3014017,花梨,0,30,3,"101,211;102,23;103,14;104,101;105,2","101,478;102,53;103,32;104,227",
3014017,花梨,1,70,5,"101,422;102,46;103,28;104,202;105,4","101,478;102,53;103,32;104,227","1000002,50"
3014017,花梨,2,120,7,"101,1056;102,114;103,68;104,504;105,10","101,478;102,53;103,32;104,227","1000002,50"
3014017,花梨,3,180,10,"101,2112;102,228;103,135;104,1008;105,21","101,478;102,53;103,32;104,227","1000002,50"
3014018,诗娅,0,30,3,"101,152;102,21;103,10;104,76;105,2","101,342;102,48;103,24;104,171",
3014018,诗娅,1,70,5,"101,304;102,42;103,20;104,152;105,4","101,342;102,48;103,24;104,171","1000002,50"
3014018,诗娅,2,120,7,"101,760;102,105;103,50;104,380;105,10","101,342;102,48;103,24;104,171","1000002,50"
3014018,诗娅,3,180,10,"101,1520;102,210;103,100;104,760;105,21","101,342;102,48;103,24;104,171","1000002,50"
3014019,艾什尔,0,30,3,"101,185;102,19;103,12;104,101;105,2","101,419;102,43;103,32;104,230",
3014019,艾什尔,1,70,5,"101,370;102,38;103,24;104,202;105,4","101,419;102,43;103,32;104,230","1000002,50"
3014019,艾什尔,2,120,7,"101,924;102,94;103,61;104,506;105,10","101,419;102,43;103,32;104,230","1000002,50"
3014019,艾什尔,3,180,10,"101,1848;102,188;103,122;104,1012;105,20","101,419;102,43;103,32;104,230","1000002,50"
3014020,阿波菲斯,0,30,3,"101,176;102,24;103,11;104,88;105,2","101,395;102,56;103,24;104,203",
3014020,阿波菲斯,1,70,5,"101,352;102,48;103,22;104,176;105,4","101,395;102,56;103,24;104,203","1000002,50"
3014020,阿波菲斯,2,120,7,"101,880;102,121;103,54;104,440;105,11","101,395;102,56;103,24;104,203","1000002,50"
3014020,阿波菲斯,3,180,10,"101,1760;102,242;103,107;104,880;105,22","101,395;102,56;103,24;104,203","1000002,50"
3014021,纳菲,0,30,3,"101,167;102,25;103,10;104,88;105,2","101,376;102,56;103,24;104,203",
3014021,纳菲,1,70,5,"101,334;102,50;103,20;104,176;105,4","101,376;102,56;103,24;104,203","1000002,50"
3014021,纳菲,2,120,7,"101,836;102,126;103,50;104,440;105,11","101,376;102,56;103,24;104,203","1000002,50"
3014021,纳菲,3,180,10,"101,1672;102,253;103,100;104,880;105,23","101,376;102,56;103,24;104,203","1000002,50"
3014022,丘吉尔,0,30,3,"101,158;102,24;103,11;104,92;105,2","101,358;102,56;103,24;104,206",
3014022,丘吉尔,1,70,5,"101,316;102,48;103,22;104,184;105,4","101,358;102,56;103,24;104,206","1000002,50"
3014022,丘吉尔,2,120,7,"101,791;102,121;103,54;104,461;105,11","101,358;102,56;103,24;104,206","1000002,50"
3014022,丘吉尔,3,180,10,"101,1583;102,242;103,107;104,923;105,23","101,358;102,56;103,24;104,206","1000002,50"
3014023,神光,0,30,3,"101,202;102,27;103,12;104,86;105,3","101,456;102,59;103,29;104,192",
3014023,神光,1,70,5,"101,404;102,54;103,24;104,172;105,6","101,456;102,59;103,29;104,192","1000002,50"
3014023,神光,2,120,7,"101,1009;102,134;103,58;104,431;105,14","101,456;102,59;103,29;104,192","1000002,50"
3014023,神光,3,180,10,"101,2017;102,268;103,115;104,863;105,27","101,456;102,59;103,29;104,192","1000002,50"
3014024,雷雷,0,30,3,"101,182;102,24;103,12;104,114;105,3","101,408;102,56;103,29;104,256",
3014024,雷雷,1,70,5,"101,364;102,48;103,24;104,228;105,6","101,408;102,56;103,29;104,256","1000002,50"
3014024,雷雷,2,120,7,"101,911;102,120;103,58;104,569;105,14","101,408;102,56;103,29;104,256","1000002,50"
3014024,雷雷,3,180,10,"101,1823;102,240;103,115;104,1137;105,27","101,408;102,56;103,29;104,256","1000002,50"
3014025,安普莎,0,30,3,"101,192;102,25;103,13;104,101;105,2","101,432;102,56;103,32;104,227",
3014025,安普莎,1,70,5,"101,384;102,50;103,26;104,202;105,4","101,432;102,56;103,32;104,227","1000002,50"
3014025,安普莎,2,120,7,"101,960;102,126;103,64;104,504;105,11","101,432;102,56;103,32;104,227","1000002,50"
3014025,安普莎,3,180,10,"101,1920;102,252;103,127;104,1008;105,22","101,432;102,56;103,32;104,227","1000002,50"
3014026,库萝爱,0,30,3,"101,185;102,23;103,12;104,79;105,2","101,419;102,53;103,32;104,179",
3014026,库萝爱,1,70,5,"101,370;102,46;103,24;104,158;105,4","101,419;102,53;103,32;104,179","1000002,50"
3014026,库萝爱,2,120,7,"101,924;102,115;103,61;104,396;105,10","101,419;102,53;103,32;104,179","1000002,50"
3014026,库萝爱,3,180,10,"101,1848;102,231;103,122;104,792;105,20","101,419;102,53;103,32;104,179","1000002,50"
3014027,贝拉,0,30,3,"101,167;102,24;103,12;104,84;105,2","101,376;102,56;103,29;104,190",
3014027,贝拉,1,70,5,"101,334;102,48;103,24;104,168;105,4","101,376;102,56;103,29;104,190","1000002,50"
3014027,贝拉,2,120,7,"101,836;102,121;103,59;104,419;105,11","101,376;102,56;103,29;104,190","1000002,50"
3014027,贝拉,3,180,10,"101,1672;102,242;103,117;104,837;105,22","101,376;102,56;103,29;104,190","1000002,50"
3014028,卡洛蒂,0,30,3,"101,202;102,20;103,14;104,107;105,2","101,456;102,45;103,35;104,240",
3014028,卡洛蒂,1,70,5,"101,404;102,40;103,28;104,214;105,4","101,456;102,45;103,35;104,240","1000002,50"
3014028,卡洛蒂,2,120,7,"101,1009;102,101;103,71;104,536;105,11","101,456;102,45;103,35;104,240","1000002,50"
3014028,卡洛蒂,3,180,10,"101,2017;102,203;103,142;104,1072;105,22","101,456;102,45;103,35;104,240","1000002,50"
3014029,贝儿,0,30,3,"101,221;102,22;103,13;104,101;105,2","101,496;102,48;103,32;104,227",
3014029,贝儿,1,70,5,"101,442;102,44;103,26;104,202;105,4","101,496;102,48;103,32;104,227","1000002,50"
3014029,贝儿,2,120,7,"101,1104;102,109;103,64;104,504;105,11","101,496;102,48;103,32;104,227","1000002,50"
3014029,贝儿,3,180,10,"101,2208;102,217;103,127;104,1008;105,22","101,496;102,48;103,32;104,227","1000002,50"
3014030,安娜,0,30,3,"101,192;102,25;103,12;104,107;105,2","101,432;102,56;103,29;104,240",
3014030,安娜,1,70,5,"101,384;102,50;103,24;104,214;105,4","101,432;102,56;103,29;104,240","1000002,50"
3014030,安娜,2,120,7,"101,960;102,126;103,58;104,536;105,11","101,432;102,56;103,29;104,240","1000002,50"
3014030,安娜,3,180,10,"101,1920;102,252;103,115;104,1072;105,23","101,432;102,56;103,29;104,240","1000002,50"
3014031,伊拉,0,30,3,"101,211;102,23;103,12;104,107;105,2","101,478;102,53;103,32;104,240",
3014031,伊拉,1,70,5,"101,422;102,46;103,24;104,214;105,4","101,478;102,53;103,32;104,240","1000002,50"
3014031,伊拉,2,120,7,"101,1056;102,114;103,60;104,536;105,11","101,478;102,53;103,32;104,240","1000002,50"
3014031,伊拉,3,180,10,"101,2112;102,228;103,120;104,1072;105,22","101,478;102,53;103,32;104,240","1000002,50"
3015001,诺维雅,0,30,3,"101,192;102,27;103,12;104,101;105,2","101,432;102,59;103,29;104,227",
3015001,诺维雅,1,70,5,"101,384;102,54;103,24;104,202;105,4","101,432;102,59;103,29;104,227","1000002,50"
3015001,诺维雅,2,120,7,"101,960;102,134;103,58;104,504;105,11","101,432;102,59;103,29;104,227","1000002,50"
3015001,诺维雅,3,180,10,"101,1920;102,268;103,115;104,1008;105,23","101,432;102,59;103,29;104,227","1000002,50"
3015002,丹妮,0,30,3,"101,202;102,28;103,11;104,91;105,3","101,456;102,64;103,24;104,206",
3015002,丹妮,1,70,5,"101,404;102,56;103,22;104,182;105,6","101,456;102,64;103,24;104,206","1000002,50"
3015002,丹妮,2,120,7,"101,1009;102,141;103,55;104,456;105,14","101,456;102,64;103,24;104,206","1000002,50"
3015002,丹妮,3,180,10,"101,2017;102,283;103,109;104,912;105,27","101,456;102,64;103,24;104,206","1000002,50"
3015004,耶坦尼娅,0,30,3,"101,192;102,24;103,13;104,107;105,2","101,432;102,56;103,32;104,240",
3015004,耶坦尼娅,1,70,5,"101,384;102,48;103,26;104,214;105,4","101,432;102,56;103,32;104,240","1000002,50"
3015004,耶坦尼娅,2,120,7,"101,960;102,120;103,64;104,536;105,11","101,432;102,56;103,32;104,240","1000002,50"
3015004,耶坦尼娅,3,180,10,"101,1920;102,240;103,127;104,1072;105,22","101,432;102,56;103,32;104,240","1000002,50"
3015006,希夕莉,0,30,3,"101,202;102,27;103,12;104,96;105,2","101,456;102,59;103,29;104,216",
3015006,希夕莉,1,70,5,"101,404;102,54;103,24;104,192;105,4","101,456;102,59;103,29;104,216","1000002,50"
3015006,希夕莉,2,120,7,"101,1009;102,134;103,58;104,480;105,11","101,456;102,59;103,29;104,216","1000002,50"
3015006,希夕莉,3,180,10,"101,2017;102,268;103,115;104,960;105,23","101,456;102,59;103,29;104,216","1000002,50"
3015007,萨拉,0,30,3,"101,173;102,28;103,12;104,91;105,3","101,390;102,64;103,29;104,206",
3015007,萨拉,1,70,5,"101,346;102,56;103,24;104,182;105,6","101,390;102,64;103,29;104,206","1000002,50"
3015007,萨拉,2,120,7,"101,864;102,141;103,58;104,456;105,14","101,390;102,64;103,29;104,206","1000002,50"
3015007,萨拉,3,180,10,"101,1728;102,283;103,115;104,912;105,28","101,390;102,64;103,29;104,206","1000002,50"
3015008,牧,0,30,3,"101,192;102,27;103,12;104,91;105,3","101,432;102,59;103,32;104,206",
3015008,牧,1,70,5,"101,384;102,54;103,24;104,182;105,6","101,432;102,59;103,32;104,206","1000002,50"
3015008,牧,2,120,7,"101,960;102,134;103,60;104,456;105,14","101,432;102,59;103,32;104,206","1000002,50"
3015008,牧,3,180,10,"101,1920;102,268;103,120;104,912;105,27","101,432;102,59;103,32;104,206","1000002,50"
3016009,吉拉蒂亚,0,30,3,"101,202;102,25;103,12;104,91;105,3","101,456;102,56;103,29;104,206",
3016009,吉拉蒂亚,1,70,5,"101,404;102,50;103,24;104,182;105,6","101,456;102,56;103,29;104,206","1000002,50"
3016009,吉拉蒂亚,2,120,7,"101,1009;102,126;103,58;104,456;105,14","101,456;102,56;103,29;104,206","1000002,50"
3016009,吉拉蒂亚,3,180,10,"101,2017;102,252;103,115;104,912;105,27","101,456;102,56;103,29;104,206","1000002,50"
3016010,瑞比娅,0,30,3,"101,192;102,27;103,14;104,82;105,3","101,432;102,59;103,32;104,184",
3016010,瑞比娅,1,70,5,"101,384;102,54;103,28;104,164;105,6","101,432;102,59;103,32;104,184","1000002,50"
3016010,瑞比娅,2,120,7,"101,960;102,134;103,68;104,409;105,14","101,432;102,59;103,32;104,184","1000002,50"
3016010,瑞比娅,3,180,10,"101,1920;102,268;103,135;104,817;105,27","101,432;102,59;103,32;104,184","1000002,50"
3016011,卡萝琳,0,30,3,"101,194;102,22;103,10;104,88;105,2","101,435;102,48;103,24;104,203",
3016011,卡萝琳,1,70,5,"101,388;102,44;103,20;104,176;105,4","101,435;102,48;103,24;104,203","1000002,50"
3016011,卡萝琳,2,120,7,"101,969;102,110;103,50;104,440;105,11","101,435;102,48;103,24;104,203","1000002,50"
3016011,卡萝琳,3,180,10,"101,1937;102,220;103,100;104,880;105,23","101,435;102,48;103,24;104,203","1000002,50"
3016013,克尔苏娜,0,30,3,"101,173;102,27;103,12;104,107;105,2","101,390;102,59;103,32;104,240",
3016013,克尔苏娜,1,70,5,"101,346;102,54;103,24;104,214;105,4","101,390;102,59;103,32;104,240","1000002,50"
3016013,克尔苏娜,2,120,7,"101,864;102,134;103,60;104,536;105,11","101,390;102,59;103,32;104,240","1000002,50"
3016013,克尔苏娜,3,180,10,"101,1728;102,268;103,120;104,1072;105,23","101,390;102,59;103,32;104,240","1000002,50"
3016016,露易丝,0,30,3,"101,211;102,23;103,13;104,101;105,2","101,478;102,53;103,32;104,227",
3016016,露易丝,1,70,5,"101,422;102,46;103,26;104,202;105,4","101,478;102,53;103,32;104,227","1000002,50"
3016016,露易丝,2,120,7,"101,1056;102,114;103,64;104,504;105,11","101,478;102,53;103,32;104,227","1000002,50"
3016016,露易丝,3,180,10,"101,2112;102,228;103,127;104,1008;105,22","101,478;102,53;103,32;104,227","1000002,50"
3016017,罗莎莉,0,30,3,"101,167;102,22;103,12;104,92;105,2","101,376;102,48;103,29;104,206",
3016017,罗莎莉,1,70,5,"101,334;102,44;103,24;104,184;105,4","101,376;102,48;103,29;104,206","1000002,50"
3016017,罗莎莉,2,120,7,"101,836;102,110;103,59;104,461;105,11","101,376;102,48;103,29;104,206","1000002,50"
3016017,罗莎莉,3,180,10,"101,1672;102,220;103,117;104,923;105,22","101,376;102,48;103,29;104,206","1000002,50"
3016020,奈奥米,0,30,3,"101,211;102,20;103,14;104,114;105,2","101,478;102,45;103,32;104,256",
3016020,奈奥米,1,70,5,"101,422;102,40;103,28;104,228;105,4","101,478;102,45;103,32;104,256","1000002,50"
3016020,奈奥米,2,120,7,"101,1056;102,101;103,68;104,569;105,10","101,478;102,45;103,32;104,256","1000002,50"
3016020,奈奥米,3,180,10,"101,2112;102,203;103,135;104,1137;105,21","101,478;102,45;103,32;104,256","1000002,50"
3016023,佩内洛普,0,30,3,"101,176;102,18;103,10;104,84;105,2","101,395;102,40;103,24;104,192",
3016023,佩内洛普,1,70,5,"101,352;102,36;103,20;104,168;105,4","101,395;102,40;103,24;104,192","1000002,50"
3016023,佩内洛普,2,120,7,"101,880;102,90;103,50;104,420;105,10","101,395;102,40;103,24;104,192","1000002,50"
3016023,佩内洛普,3,180,10,"101,1760;102,180;103,100;104,840;105,20","101,395;102,40;103,24;104,192","1000002,50"
3016024,塞蕾丝蒂娜,0,30,3,"101,182;102,27;103,12;104,96;105,3","101,408;102,59;103,32;104,216",
3016024,塞蕾丝蒂娜,1,70,5,"101,364;102,54;103,24;104,192;105,6","101,408;102,59;103,32;104,216","1000002,50"
3016024,塞蕾丝蒂娜,2,120,7,"101,911;102,134;103,60;104,480;105,14","101,408;102,59;103,32;104,216","1000002,50"
3016024,塞蕾丝蒂娜,3,180,10,"101,1823;102,268;103,120;104,960;105,27","101,408;102,59;103,32;104,216","1000002,50"
3016031,小闪,0,30,3,"101,173;102,28;103,14;104,91;105,2","101,390;102,64;103,32;104,206",
3016031,小闪,1,70,5,"101,346;102,56;103,28;104,182;105,4","101,390;102,64;103,32;104,206","1000002,50"
3016031,小闪,2,120,7,"101,864;102,141;103,68;104,456;105,11","101,390;102,64;103,32;104,206","1000002,50"
3016031,小闪,3,180,10,"101,1728;102,283;103,135;104,912;105,23","101,390;102,64;103,32;104,206","1000002,50"
3016038,仙蒂,0,30,3,"101,176;102,20;103,10;104,80;105,2","101,395;102,45;103,24;104,179",
3016038,仙蒂,1,70,5,"101,352;102,40;103,20;104,160;105,4","101,395;102,45;103,24;104,179","1000002,50"
3016038,仙蒂,2,120,7,"101,880;102,100;103,50;104,400;105,9","101,395;102,45;103,24;104,179","1000002,50"
3016038,仙蒂,3,180,10,"101,1760;102,200;103,100;104,800;105,18","101,395;102,45;103,24;104,179","1000002,50"
3016049,艾琳娜,0,30,3,"101,202;102,25;103,12;104,96;105,2","101,456;102,56;103,32;104,216",
