RoleId,,AwakeningLv,ItemId1,ItemId2,Desc,,SkillReplacement,AttrRefixId,MonsterBattleSkill
3013006,水仙,5,"1009007,3","1006944,6",RoleAwakening_3013006_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130065","30100006,1;30100007,1;30100008,1;30100009,1","20130060,6"
3013007,菲莉希亚,0,"1009008,1","1006931,1",,0,,,"20130070,1"
3013007,菲莉希亚,1,"1009008,1","1006931,1",RoleAwakening_3013007_1,"{0}效果强化,{2}觉醒等级提升","1,30130074",,"20130070,2"
3013007,菲莉希亚,2,"1009008,2","1006931,2",RoleAwakening_3013007_2,"所有技能等级+1,{2}觉醒等级提升",,"30130071,1","20130070,3"
3013007,菲莉希亚,3,"1009008,2","1006931,2",RoleAwakening_3013007_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130076","30100001,1;30100002,1;30100003,1;30100004,1","20130070,4"
3013007,菲莉希亚,4,"1009008,3","1006931,3",RoleAwakening_3013007_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130071,1;30100001,1;30100002,1;30100003,1;30100004,1","20130070,5"
3013007,菲莉希亚,5,"1009008,3","1006931,3",RoleAwakening_3013007_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130075","30100001,2;30100002,2;30100003,2;30100004,2","20130070,6"
3013008,梅露特,0,"1009009,1","1006936,1",,0,,,"20130080,1"
3013008,梅露特,1,"1009009,1","1006936,1",RoleAwakening_3013008_1,"{0}效果强化,{2}觉醒等级提升","2,30130084",,"20130080,2"
3013008,梅露特,2,"1009009,2","1006936,2",RoleAwakening_3013008_2,"所有技能等级+1,{2}觉醒等级提升",,"30130081,1","20130080,3"
3013008,梅露特,3,"1009009,2","1006936,2",RoleAwakening_3013008_3,"{0}效果强化,{2}觉醒等级提升,{1}","1,30130086","30100001,1;30100002,1;30100003,1;30100004,1","20130080,4"
3013008,梅露特,4,"1009009,3","1006936,3",RoleAwakening_3013008_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130081,1;30100001,1;30100002,1;30100003,1;30100004,1","20130080,5"
3013008,梅露特,5,"1009009,3","1006936,3",RoleAwakening_3013008_5,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130085","30100001,2;30100002,2;30100003,2;30100004,2","20130080,6"
3013009,奈奈芙,0,"1009010,1","1006937,1",,0,,,"20130090,1"
3013009,奈奈芙,1,"1009010,1","1006937,1",RoleAwakening_3013009_1,"{0}效果强化,{2}觉醒等级提升","3,30130094",,"20130090,2"
3013009,奈奈芙,2,"1009010,2","1006937,2",RoleAwakening_3013009_2,"所有技能等级+1,{2}觉醒等级提升",,"30130091,1","20130090,3"
3013009,奈奈芙,3,"1009010,2","1006937,2",RoleAwakening_3013009_3,"{0}效果强化,{2}觉醒等级提升,{1}","1,30130096","30100001,1;30100002,1;30100003,1;30100004,1","20130090,4"
3013009,奈奈芙,4,"1009010,3","1006937,3",RoleAwakening_3013009_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130091,1;30100001,1;30100002,1;30100003,1;30100004,1","20130090,5"
3013009,奈奈芙,5,"1009010,3","1006937,3",RoleAwakening_3013009_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130095","30100001,2;30100002,2;30100003,2;30100004,2","20130090,6"
3013013,菲尔盖娜,0,"1009013,1","1006953,4",,0,,,
3013013,菲尔盖娜,1,"1009013,1","1006953,4",RoleAwakening_3013013_1,"{0}效果强化,{2}觉醒等级提升",,,
3013013,菲尔盖娜,2,"1009013,2","1006953,8",RoleAwakening_3013013_2,"所有技能等级+1,{2}觉醒等级提升",,"30130131,1",
3013013,菲尔盖娜,3,"1009013,2","1006953,8",RoleAwakening_3013013_3,"{0}效果强化,{2}觉醒等级提升,{1}",,"30100006,1;30100007,1;30100008,1;30100009,1",
3013013,菲尔盖娜,4,"1009013,3","1006953,12",RoleAwakening_3013013_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130131,1;30100006,1;30100007,1;30100008,1;30100009,1",
3013013,菲尔盖娜,5,"1009013,3","1006953,12",RoleAwakening_3013013_5,"{0}效果强化,{2}觉醒等级提升,{1}",,"30100006,2;30100007,2;30100008,2;30100009,2",
3013014,玛瑙,0,"1009014,1","1006934,1",,0,,,"20130140,1"
3013014,玛瑙,1,"1009014,1","1006934,1",RoleAwakening_3013014_1,"{0}效果强化,{2}觉醒等级提升","3,30130144",,"20130140,2"
3013014,玛瑙,2,"1009014,2","1006934,2",RoleAwakening_3013014_2,"所有技能等级+1,{2}觉醒等级提升",,"30130141,1","20130140,3"
3013014,玛瑙,3,"1009014,2","1006934,2",RoleAwakening_3013014_3,"{0}效果强化,{2}觉醒等级提升,{1}","1,30130146","30100001,1;30100002,1;30100003,1;30100004,1","20130140,4"
3013014,玛瑙,4,"1009014,3","1006934,3",RoleAwakening_3013014_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130141,1;30100001,1;30100002,1;30100003,1;30100004,1","20130140,5"
3013014,玛瑙,5,"1009014,3","1006934,3",RoleAwakening_3013014_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130145","30100001,2;30100002,2;30100003,2;30100004,2","20130140,6"
3013015,哀歌,0,"1009015,1","1006947,2",,0,,,"20130150,1"
3013015,哀歌,1,"1009015,1","1006947,2",RoleAwakening_3013015_1,"{0}效果强化,{2}觉醒等级提升","2,30130154",,"20130150,2"
3013015,哀歌,2,"1009015,2","1006947,4",RoleAwakening_3013015_2,"所有技能等级+1,{2}觉醒等级提升",,"30130151,1","20130150,3"
3013015,哀歌,3,"1009015,2","1006947,4",RoleAwakening_3013015_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130156","30100006,1;30100007,1;30100008,1;30100009,1","20130150,4"
3013015,哀歌,4,"1009015,3","1006947,6",RoleAwakening_3013015_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130151,1;30100006,1;30100007,1;30100008,1;30100009,1","20130150,5"
3013015,哀歌,5,"1009015,3","1006947,6",RoleAwakening_3013015_5,"{0}效果强化,{2}觉醒等级提升,{1}","1,30130155","30100006,1;30100007,1;30100008,1;30100009,1","20130150,6"
3013017,波斯菊,0,"1009017,1","1006934,1",,0,,,"20130170,1"
3013017,波斯菊,1,"1009017,1","1006934,1",RoleAwakening_3013017_1,"{0}效果强化,{2}觉醒等级提升","1,30130174",,"20130170,2"
3013017,波斯菊,2,"1009017,2","1006934,2",RoleAwakening_3013017_2,"所有技能等级+1,{2}觉醒等级提升",,"30130171,1","20130170,3"
3013017,波斯菊,3,"1009017,2","1006934,2",RoleAwakening_3013017_3,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130176","30100001,1;30100002,1;30100003,1;30100004,1","20130170,4"
3013017,波斯菊,4,"1009017,3","1006934,3",RoleAwakening_3013017_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130171,1;30100001,1;30100002,1;30100003,1;30100004,1","20130170,5"
3013017,波斯菊,5,"1009017,3","1006934,3",RoleAwakening_3013017_5,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130175","30100001,2;30100002,2;30100003,2;30100004,2","20130170,6"
3013018,爱琳,0,"1009018,1","1006933,1",,0,,,"20130180,1"
3013018,爱琳,1,"1009018,1","1006933,1",RoleAwakening_3013018_1,"{0}效果强化,{2}觉醒等级提升","1,30130184",,"20130180,2"
3013018,爱琳,2,"1009018,2","1006933,2",RoleAwakening_3013018_2,"所有技能等级+1,{2}觉醒等级提升",,"30130181,1","20130180,3"
3013018,爱琳,3,"1009018,2","1006933,2",RoleAwakening_3013018_3,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130186","30100001,1;30100002,1;30100003,1;30100004,1","20130180,4"
3013018,爱琳,4,"1009018,3","1006933,3",RoleAwakening_3013018_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130181,1;30100001,1;30100002,1;30100003,1;30100004,1","20130180,5"
3013018,爱琳,5,"1009018,3","1006933,3",RoleAwakening_3013018_5,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130185","30100001,2;30100002,2;30100003,2;30100004,2","20130180,6"
3013019,库萝心,0,"1009019,1","1006946,2",,0,,,"20130190,1"
3013019,库萝心,1,"1009019,1","1006946,2",RoleAwakening_3013019_1,"{0}效果强化,{2}觉醒等级提升","2,30130194",,"20130190,2"
3013019,库萝心,2,"1009019,2","1006946,4",RoleAwakening_3013019_2,"所有技能等级+1,{2}觉醒等级提升",,"30130191,1","20130190,3"
3013019,库萝心,3,"1009019,2","1006946,4",RoleAwakening_3013019_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130196","30100006,1;30100007,1;30100008,1;30100009,1","20130190,4"
3013019,库萝心,4,"1009019,3","1006946,6",RoleAwakening_3013019_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130191,1;30100006,1;30100007,1;30100008,1;30100009,1","20130190,5"
3013019,库萝心,5,"1009019,3","1006946,6",RoleAwakening_3013019_5,"{0}效果强化,{2}觉醒等级提升,{1}","1,30130195","30100006,1;30100007,1;30100008,1;30100009,1","20130190,6"
3013020,维达,0,"1009020,1","1006937,1",,0,,,"20130200,1"
3013020,维达,1,"1009020,1","1006937,1",RoleAwakening_3013020_1,"{0}效果强化,{2}觉醒等级提升","2,30130204",,"20130200,2"
3013020,维达,2,"1009020,2","1006937,2",RoleAwakening_3013020_2,"所有技能等级+1,{2}觉醒等级提升",,"30130201,1","20130200,3"
3013020,维达,3,"1009020,2","1006937,2",RoleAwakening_3013020_3,"{0}效果强化,{2}觉醒等级提升,{1}","1,30130206","30100001,1;30100002,1;30100003,1;30100004,1","20130200,4"
3013020,维达,4,"1009020,3","1006937,3",RoleAwakening_3013020_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130201,1;30100001,1;30100002,1;30100003,1;30100004,1","20130200,5"
3013020,维达,5,"1009020,3","1006937,3",RoleAwakening_3013020_5,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130205","30100001,2;30100002,2;30100003,2;30100004,2","20130200,6"
3013022,莱拉,0,"1009021,1","1006932,1",,0,,,"20130220,1"
3013022,莱拉,1,"1009021,1","1006932,1",RoleAwakening_3013022_1,"{0}效果强化,{2}觉醒等级提升","1,30130224",,"20130220,2"
3013022,莱拉,2,"1009021,2","1006932,2",RoleAwakening_3013022_2,"所有技能等级+1,{2}觉醒等级提升",,"30130221,1","20130220,3"
3013022,莱拉,3,"1009021,2","1006932,2",RoleAwakening_3013022_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130226","30100001,1;30100002,1;30100003,1;30100004,1","20130220,4"
3013022,莱拉,4,"1009021,3","1006932,3",RoleAwakening_3013022_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130221,1;30100001,1;30100002,1;30100003,1;30100004,1","20130220,5"
3013022,莱拉,5,"1009021,3","1006932,3",RoleAwakening_3013022_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130225","30100001,2;30100002,2;30100003,2;30100004,2","20130220,6"
3013023,芙洛拉,0,"1009022,1","1006931,1",,0,,,"20130230,1"
3013023,芙洛拉,1,"1009022,1","1006931,1",RoleAwakening_3013023_1,"{0}效果强化,{2}觉醒等级提升","3,30130234",,"20130230,2"
3013023,芙洛拉,2,"1009022,2","1006931,2",RoleAwakening_3013023_2,"所有技能等级+1,{2}觉醒等级提升",,"30130231,1","20130230,3"
3013023,芙洛拉,3,"1009022,2","1006931,2",RoleAwakening_3013023_3,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130236","30100001,1;30100002,1;30100003,1;30100004,1","20130230,4"
3013023,芙洛拉,4,"1009022,3","1006931,3",RoleAwakening_3013023_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130231,1;30100001,1;30100002,1;30100003,1;30100004,1","20130230,5"
3013023,芙洛拉,5,"1009022,3","1006931,3",RoleAwakening_3013023_5,"{0}效果强化,{2}觉醒等级提升,{1}","1,30130235","30100001,2;30100002,2;30100003,2;30100004,2","20130230,6"
3013025,多萝西,0,"1009024,1","1006933,1",,0,,,"20130250,1"
3013025,多萝西,1,"1009024,1","1006933,1",RoleAwakening_3013025_1,"{0}效果强化,{2}觉醒等级提升","1,30130254",,"20130250,2"
3013025,多萝西,2,"1009024,2","1006933,2",RoleAwakening_3013025_2,"所有技能等级+1,{2}觉醒等级提升",,"30130251,1","20130250,3"
3013025,多萝西,3,"1009024,2","1006933,2",RoleAwakening_3013025_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30130256","30100001,1;30100002,1;30100003,1;30100004,1","20130250,4"
3013025,多萝西,4,"1009024,3","1006933,3",RoleAwakening_3013025_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30130251,1;30100001,1;30100002,1;30100003,1;30100004,1","20130250,5"
3013025,多萝西,5,"1009024,3","1006933,3",RoleAwakening_3013025_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30130255","30100001,2;30100002,2;30100003,2;30100004,2","20130250,6"
3014001,普琳普顿,0,"1009025,1","1006942,2",,0,,,"20140010,1"
3014001,普琳普顿,1,"1009025,1","1006942,2",RoleAwakening_3014001_1,"{0}效果强化,{2}觉醒等级提升","2,30140014",,"20140010,2"
3014001,普琳普顿,2,"1009025,2","1006942,4",RoleAwakening_3014001_2,"所有技能等级+1,{2}觉醒等级提升",,"30140011,1","20140010,3"
3014001,普琳普顿,3,"1009025,2","1006942,4",RoleAwakening_3014001_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30140016","30100006,1;30100007,1;30100008,1;30100009,1","20140010,4"
3014001,普琳普顿,4,"1009025,3","1006942,6",RoleAwakening_3014001_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140011,1;30100006,1;30100007,1;30100008,1;30100009,1","20140010,5"
3014001,普琳普顿,5,"1009025,3","1006942,6",RoleAwakening_3014001_5,"{0}效果强化,{2}觉醒等级提升,{1}","1,30140015","30100006,1;30100007,1;30100008,1;30100009,1","20140010,6"
3014002,黛比,0,"1009026,1","1006944,2",,0,,,"20140020,1"
3014002,黛比,1,"1009026,1","1006944,2",RoleAwakening_3014002_1,"{0}效果强化,{2}觉醒等级提升","1,30140024",,"20140020,2"
3014002,黛比,2,"1009026,2","1006944,4",RoleAwakening_3014002_2,"所有技能等级+1,{2}觉醒等级提升",,"30140021,1","20140020,3"
3014002,黛比,3,"1009026,2","1006944,4",RoleAwakening_3014002_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30140026","30100006,1;30100007,1;30100008,1;30100009,1","20140020,4"
3014002,黛比,4,"1009026,3","1006944,6",RoleAwakening_3014002_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140021,1;30100006,1;30100007,1;30100008,1;30100009,1","20140020,5"
3014002,黛比,5,"1009026,3","1006944,6",RoleAwakening_3014002_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30140025","30100006,1;30100007,1;30100008,1;30100009,1","20140020,6"
3014003,焰心,0,"1009027,1","1006935,1",,0,,,"20140030,1"
3014003,焰心,1,"1009027,1","1006935,1",RoleAwakening_3014003_1,"{0}效果强化,{2}觉醒等级提升","2,30140034",,"20140030,2"
3014003,焰心,2,"1009027,2","1006935,2",RoleAwakening_3014003_2,"所有技能等级+1,{2}觉醒等级提升",,"30140031,1","20140030,3"
3014003,焰心,3,"1009027,2","1006935,2",RoleAwakening_3014003_3,"{0}效果强化,{2}觉醒等级提升,{1}","1,30140036","30100001,1;30100002,1;30100003,1;30100004,1","20140030,4"
3014003,焰心,4,"1009027,3","1006935,3",RoleAwakening_3014003_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140031,1;30100001,1;30100002,1;30100003,1;30100004,1","20140030,5"
3014003,焰心,5,"1009027,3","1006935,3",RoleAwakening_3014003_5,"{0}效果强化,{2}觉醒等级提升,{1}","3,30140035","30100001,2;30100002,2;30100003,2;30100004,2","20140030,6"
3014004,索菲,0,"1009028,1","1006932,1",,0,,,"20140040,1"
3014004,索菲,1,"1009028,1","1006932,1",RoleAwakening_3014004_1,"{0}效果强化,{2}觉醒等级提升","1,30140044",,"20140040,2"
3014004,索菲,2,"1009028,2","1006932,2",RoleAwakening_3014004_2,"所有技能等级+1,{2}觉醒等级提升",,"30140041,1","20140040,3"
3014004,索菲,3,"1009028,2","1006932,2",RoleAwakening_3014004_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30140046","30100001,1;30100002,1;30100003,1;30100004,1","20140040,4"
3014004,索菲,4,"1009028,3","1006932,3",RoleAwakening_3014004_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140041,1;30100001,1;30100002,1;30100003,1;30100004,1","20140040,5"
3014004,索菲,5,"1009028,3","1006932,3",RoleAwakening_3014004_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30140045","30100001,2;30100002,2;30100003,2;30100004,2","20140040,6"
3014005,弥生,0,"1009029,1","1006943,2",,0,,,"20140050,1"
3014005,弥生,1,"1009029,1","1006943,2",RoleAwakening_3014005_1,"{0}效果强化,{2}觉醒等级提升","1,30140054",,"20140050,2"
3014005,弥生,2,"1009029,2","1006943,4",RoleAwakening_3014005_2,"所有技能等级+1,{2}觉醒等级提升",,"30140051,1","20140050,3"
3014005,弥生,3,"1009029,2","1006943,4",RoleAwakening_3014005_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30140056","30100006,1;30100007,1;30100008,1;30100009,1","20140050,4"
3014005,弥生,4,"1009029,3","1006943,6",RoleAwakening_3014005_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140051,1;30100006,1;30100007,1;30100008,1;30100009,1","20140050,5"
3014005,弥生,5,"1009029,3","1006943,6",RoleAwakening_3014005_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30140055","30100006,1;30100007,1;30100008,1;30100009,1","20140050,6"
3014006,恋花,0,"1009031,1","1006954,4",,0,,,"20140060,1"
3014006,恋花,1,"1009031,1","1006954,4",RoleAwakening_3014006_1,"{0}效果强化,{2}觉醒等级提升",,,"20140060,2"
3014006,恋花,2,"1009031,2","1006954,8",RoleAwakening_3014006_2,"所有技能等级+1,{2}觉醒等级提升",,"30140061,1","20140060,3"
3014006,恋花,3,"1009031,2","1006954,8",RoleAwakening_3014006_3,"{0}效果强化,{2}觉醒等级提升,{1}",,"30100006,1;30100007,1;30100008,1;30100009,1","20140060,4"
3014006,恋花,4,"1009031,3","1006954,12",RoleAwakening_3014006_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140061,1;30100006,1;30100007,1;30100008,1;30100009,1","20140060,5"
3014006,恋花,5,"1009031,3","1006954,12",RoleAwakening_3014006_5,"{0}效果强化,{2}觉醒等级提升,{1}",,"30100006,2;30100007,2;30100008,2;30100009,2","20140060,6"
3014009,桃,0,"1009033,1","1006953,4",,0,,,"20140090,1"
3014009,桃,1,"1009033,1","1006953,4",RoleAwakening_3014009_1,"{0}效果强化,{2}觉醒等级提升","1,30140094",,"20140090,2"
3014009,桃,2,"1009033,2","1006953,8",RoleAwakening_3014009_2,"所有技能等级+1,{2}觉醒等级提升",,"30140091,1","20140090,3"
3014009,桃,3,"1009033,2","1006953,8",RoleAwakening_3014009_3,"{0}效果强化,{2}觉醒等级提升,{1}","2,30140095","30100006,1;30100007,1;30100008,1;30100009,1","20140090,4"
3014009,桃,4,"1009033,3","1006953,12",RoleAwakening_3014009_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140091,1;30100006,1;30100007,1;30100008,1;30100009,1","20140090,5"
3014009,桃,5,"1009033,3","1006953,12",RoleAwakening_3014009_5,"{0}效果强化,{2}觉醒等级提升,{1}","3,30140096","30100006,2;30100007,2;30100008,2;30100009,2","20140090,6"
3014011,艾斯塔利亚,0,"1009035,1","1006953,4",,0,,,
3014011,艾斯塔利亚,1,"1009035,1","1006953,4",RoleAwakening_3014011_1,"{0}效果强化,{2}觉醒等级提升",,,
3014011,艾斯塔利亚,2,"1009035,2","1006953,8",RoleAwakening_3014011_2,"所有技能等级+1,{2}觉醒等级提升",,"30140111,1",
3014011,艾斯塔利亚,3,"1009035,2","1006953,8",RoleAwakening_3014011_3,"{0}效果强化,{2}觉醒等级提升,{1}",,"30100006,1;30100007,1;30100008,1;30100009,1",
3014011,艾斯塔利亚,4,"1009035,3","1006953,12",RoleAwakening_3014011_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140111,1;30100006,1;30100007,1;30100008,1;30100009,1",
3014011,艾斯塔利亚,5,"1009035,3","1006953,12",RoleAwakening_3014011_5,"{0}效果强化,{2}觉醒等级提升,{1}",,"30100006,2;30100007,2;30100008,2;30100009,2",
3014012,未来,0,"1009036,1","1006933,1",,0,,,"20140120,1"
3014012,未来,1,"1009036,1","1006933,1",RoleAwakening_3014012_1,"{0}效果强化,{2}觉醒等级提升","1,30140124",,"20140120,2"
3014012,未来,2,"1009036,2","1006933,2",RoleAwakening_3014012_2,"所有技能等级+1,{2}觉醒等级提升",,"30140121,1","20140120,3"
3014012,未来,3,"1009036,2","1006933,2",RoleAwakening_3014012_3,"{0}效果强化,{2}觉醒等级提升,{1}","2,30140126","30100001,1;30100002,1;30100003,1;30100004,1","20140120,4"
3014012,未来,4,"1009036,3","1006933,3",RoleAwakening_3014012_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140121,1;30100001,1;30100002,1;30100003,1;30100004,1","20140120,5"
3014012,未来,5,"1009036,3","1006933,3",RoleAwakening_3014012_5,"{0}效果强化,{2}觉醒等级提升,{1}","3,30140125","30100001,2;30100002,2;30100003,2;30100004,2","20140120,6"
3014016,杏林,0,"1009040,1","1006937,1",,0,,,"20140160,1"
3014016,杏林,1,"1009040,1","1006937,1",RoleAwakening_3014016_1,"{0}效果强化,{2}觉醒等级提升","1,30140164",,"20140160,2"
3014016,杏林,2,"1009040,2","1006937,2",RoleAwakening_3014016_2,"所有技能等级+1,{2}觉醒等级提升",,"30140161,1","20140160,3"
3014016,杏林,3,"1009040,2","1006937,2",RoleAwakening_3014016_3,"{0}效果强化,{2}觉醒等级提升,{1}","3,30140166","30100001,1;30100002,1;30100003,1;30100004,1","20140160,4"
3014016,杏林,4,"1009040,3","1006937,3",RoleAwakening_3014016_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140161,1;30100001,1;30100002,1;30100003,1;30100004,1","20140160,5"
3014016,杏林,5,"1009040,3","1006937,3",RoleAwakening_3014016_5,"{0}效果强化,{2}觉醒等级提升,{1}","2,30140165","30100001,2;30100002,2;30100003,2;30100004,2","20140160,6"
3014017,花梨,0,"1009041,1","1006954,4",,0,,,"20140170,1"
3014017,花梨,1,"1009041,1","1006954,4",RoleAwakening_3014017_1,"{0}效果强化,{2}觉醒等级提升",,,"20140170,2"
3014017,花梨,2,"1009041,2","1006954,8",RoleAwakening_3014017_2,"所有技能等级+1,{2}觉醒等级提升",,"30140171,1","20140170,3"
3014017,花梨,3,"1009041,2","1006954,8",RoleAwakening_3014017_3,"{0}效果强化,{2}觉醒等级提升,{1}",,"30100006,1;30100007,1;30100008,1;30100009,1","20140170,4"
3014017,花梨,4,"1009041,3","1006954,12",RoleAwakening_3014017_4,"所有技能等级+1,{2}觉醒等级提升,{1}",,"30140171,1;30100006,1;30100007,1;30100008,1;30100009,1","20140170,5"
3014017,花梨,5,"1009041,3","1006954,12",RoleAwakening_3014017_5,"{0}效果强化,{2}觉醒等级提升,{1}",,"30100006,2;30100007,2;30100008,2;30100009,2","20140170,6"
3014018,诗娅,0,"1009042,1","1006931,1",,0,,,"20140180,1"
3014018,诗娅,1,"1009042,1","1006931,1",RoleAwakening_3014018_1,"{0}效果强化,{2}觉醒等级提升","2,30140184",,"20140180,2"
3014018,诗娅,2,"1009042,2","1006931,2",RoleAwakening_3014018_2,"所有技能等级+1,{2}觉醒等级提升",,"30140181,1","20140180,3"
