id	unlockId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	group	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
14	0	5	5	10	9000007	500	233		1	1	获取任意<color=#ff4dc0>10</color>件橙色装备	獲取任意<color=#ff4dc0>10</color>件橙色裝備	Get <color=#ff4dc0>10</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>10</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>10</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>10</color> ชิ้น
15	0	5	5	20	9000007	600	233		1	1	获取任意<color=#ff4dc0>20</color>件橙色装备	獲取任意<color=#ff4dc0>20</color>件橙色裝備	Get <color=#ff4dc0>20</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>20</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>20</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>20</color> ชิ้น
16	0	5	5	30	9000007	800	233		1	1	获取任意<color=#ff4dc0>30</color>件橙色装备	獲取任意<color=#ff4dc0>30</color>件橙色裝備	Get <color=#ff4dc0>30</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>30</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>30</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>30</color> ชิ้น
17	0	1103	0	2	9000007	400	236		1	1	参与协力战<color=#ff4dc0>2</color>次	參與協力戰<color=#ff4dc0>2</color>次	Complete the Invasion <color=#ff4dc0>2</color> times.	協同作戦に<color=#ff4dc0>2</color>回参加する	협력전 <color=#ff4dc0>2</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>2</color>​ ครั้ง​
18	0	1103	0	6	9000007	500	236		1	1	参与协力战<color=#ff4dc0>6</color>次	參與協力戰<color=#ff4dc0>6</color>次	Complete the Invasion <color=#ff4dc0>6</color> times.	協同作戦に<color=#ff4dc0>6</color>回参加する	협력전 <color=#ff4dc0>6</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>6</color>​ ครั้ง​
19	0	1103	0	12	9000007	600	236		1	1	参与协力战<color=#ff4dc0>12</color>次	參與協力戰<color=#ff4dc0>12</color>次	Complete the Invasion <color=#ff4dc0>12</color> times.	協同作戦に<color=#ff4dc0>12</color>回参加する	협력전 <color=#ff4dc0>12</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>12</color>​ ครั้ง​
20	0	1103	0	18	9000007	800	236		1	1	参与协力战<color=#ff4dc0>18</color>次	參與協力戰<color=#ff4dc0>18</color>次	Complete the Invasion <color=#ff4dc0>18</color> times.	協同作戦に<color=#ff4dc0>18</color>回参加する	협력전 <color=#ff4dc0>18</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>18</color>​ ครั้ง​
21	0	1602	0	5	9000007	400	522		1	1	累计抽取猫球<color=#ff4dc0>5</color>次	累計抽取貓球<color=#ff4dc0>5</color>次	Summon Catos <color=#ff4dc0>5</color> times in total.	ガトガチャを<color=#ff4dc0>5</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>5</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>5</color>​ ครั้ง​
22	0	1602	0	10	9000007	500	522		1	1	累计抽取猫球<color=#ff4dc0>10</color>次	累計抽取貓球<color=#ff4dc0>10</color>次	Summon Catos <color=#ff4dc0>10</color> times in total.	ガトガチャを<color=#ff4dc0>10</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>10</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>10</color>​ ครั้ง​
23	0	1602	0	20	9000007	600	522		1	1	累计抽取猫球<color=#ff4dc0>20</color>次	累計抽取貓球<color=#ff4dc0>20</color>次	Summon Catos <color=#ff4dc0>20</color> times in total.	ガトガチャを<color=#ff4dc0>20</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>20</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>20</color>​ ครั้ง​
24	0	1602	0	35	9000007	800	522		1	1	累计抽取猫球<color=#ff4dc0>35</color>次	累計抽取貓球<color=#ff4dc0>35</color>次	Summon Catos <color=#ff4dc0>35</color> times in total.	ガトガチャを<color=#ff4dc0>35</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>35</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>35</color>​ ครั้ง​
25	0	1703	0	30	9000007	400	701		1	1	洗练任意装备<color=#ff4dc0>30</color>次	洗練任意裝備<color=#ff4dc0>30</color>次	Refine any equipment <color=#ff4dc0>30</color> times.	任意の装備を<color=#ff4dc0>30</color>回洗練する	임의의 장비 <color=#ff4dc0>30회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>30</color>​ ครั้ง​
26	0	1703	0	60	9000007	500	701		1	1	洗练任意装备<color=#ff4dc0>60</color>次	洗練任意裝備<color=#ff4dc0>60</color>次	Refine any equipment <color=#ff4dc0>60</color> times.	任意の装備を<color=#ff4dc0>60</color>回洗練する	임의의 장비 <color=#ff4dc0>60회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>60</color>​ ครั้ง​
27	0	1703	0	100	9000007	600	701		1	1	洗练任意装备<color=#ff4dc0>100</color>次	洗練任意裝備<color=#ff4dc0>100</color>次	Refine any equipment <color=#ff4dc0>100</color> times.	任意の装備を<color=#ff4dc0>100</color>回洗練する	임의의 장비 <color=#ff4dc0>100회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>100</color>​ ครั้ง​
28	0	1703	0	140	9000007	800	701		1	1	洗练任意装备<color=#ff4dc0>140</color>次	洗練任意裝備<color=#ff4dc0>140</color>次	Refine any equipment <color=#ff4dc0>140</color> times.	任意の装備を<color=#ff4dc0>140</color>回洗練する	임의의 장비 <color=#ff4dc0>140회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>140</color>​ ครั้ง​
29	0	1405	0	2	9000008	400	518		2	1	离岛空运<color=#ff4dc0>2</color>次	離島空運<color=#ff4dc0>2</color>次	Complete Air Express <color=#ff4dc0>2</color> times.	離島空便を<color=#ff4dc0>2</color>回完了する	항공 운송 <color=#ff4dc0>2</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>2</color>​ ครั้ง​
30	0	1405	0	6	9000008	500	518		2	1	离岛空运<color=#ff4dc0>6</color>次	離島空運<color=#ff4dc0>6</color>次	Complete Air Express <color=#ff4dc0>6</color> times.	離島空便を<color=#ff4dc0>6</color>回完了する	항공 운송 <color=#ff4dc0>6</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>6</color>​ ครั้ง​
31	0	1405	0	10	9000008	600	518		2	1	离岛空运<color=#ff4dc0>10</color>次	離島空運<color=#ff4dc0>10</color>次	Complete Air Express <color=#ff4dc0>10</color> times.	離島空便を<color=#ff4dc0>10</color>回完了する	항공 운송 <color=#ff4dc0>10</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>10</color>​ ครั้ง​
32	0	1405	0	15	9000008	800	518		2	1	离岛空运<color=#ff4dc0>15</color>次	離島空運<color=#ff4dc0>15</color>次	Complete Air Express <color=#ff4dc0>15</color> times.	離島空便を<color=#ff4dc0>15</color>回完了する	항공 운송 <color=#ff4dc0>15</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>15</color>​ ครั้ง​
33	0	601	1	10	9000008	400	601		2	1	累计召唤<color=#ff4dc0>10</color>次	累計召喚<color=#ff4dc0>10</color>次	Make <color=#ff4dc0>10</color> summons in total.	召喚を<color=#ff4dc0>10</color>回行う	소환 누적 <color=#ff4dc0>10</color>회	รับสมัครสะสม <color=#ff4dc0>10</color> ครั้ง
34	0	601	1	20	9000008	500	601		2	1	累计召唤<color=#ff4dc0>20</color>次	累計召喚<color=#ff4dc0>20</color>次	Make <color=#ff4dc0>20</color> summons in total.	召喚を<color=#ff4dc0>20</color>回行う	소환 누적 <color=#ff4dc0>20</color>회	รับสมัครสะสม <color=#ff4dc0>20</color> ครั้ง
35	0	601	1	30	9000008	600	601		2	1	累计召唤<color=#ff4dc0>30</color>次	累計召喚<color=#ff4dc0>30</color>次	Make <color=#ff4dc0>30</color> summons in total.	召喚を<color=#ff4dc0>30</color>回行う	소환 누적 <color=#ff4dc0>30</color>회	รับสมัครสะสม <color=#ff4dc0>30</color> ครั้ง
36	0	601	1	50	9000008	800	601		2	1	累计召唤<color=#ff4dc0>50</color>次	累計召喚<color=#ff4dc0>50</color>次	Make <color=#ff4dc0>50</color> summons in total.	召喚を<color=#ff4dc0>50</color>回行う	소환 누적 <color=#ff4dc0>50</color>회	รับสมัคร <color=#ff4dc0>50</color> ครั้ง
41	0	5	5	5	9000008	400	233		2	1	获取任意<color=#ff4dc0>5</color>件橙色装备	獲取任意<color=#ff4dc0>5</color>件橙色裝備	Get <color=#ff4dc0>5</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>5</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>5</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>5</color> ชิ้น
42	0	5	5	10	9000008	500	233		2	1	获取任意<color=#ff4dc0>10</color>件橙色装备	獲取任意<color=#ff4dc0>10</color>件橙色裝備	Get <color=#ff4dc0>10</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>10</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>10</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>10</color> ชิ้น
43	0	5	5	20	9000008	600	233		2	1	获取任意<color=#ff4dc0>20</color>件橙色装备	獲取任意<color=#ff4dc0>20</color>件橙色裝備	Get <color=#ff4dc0>20</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>20</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>20</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>20</color> ชิ้น
44	0	5	5	30	9000008	800	233		2	1	获取任意<color=#ff4dc0>30</color>件橙色装备	獲取任意<color=#ff4dc0>30</color>件橙色裝備	Get <color=#ff4dc0>30</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>30</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>30</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>30</color> ชิ้น
45	0	1103	0	2	9000008	400	236		2	1	参与协力战<color=#ff4dc0>2</color>次	參與協力戰<color=#ff4dc0>2</color>次	Complete the Invasion <color=#ff4dc0>2</color> times.	協同作戦に<color=#ff4dc0>2</color>回参加する	협력전 <color=#ff4dc0>2</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>2</color>​ ครั้ง​
46	0	1103	0	6	9000008	500	236		2	1	参与协力战<color=#ff4dc0>6</color>次	參與協力戰<color=#ff4dc0>6</color>次	Complete the Invasion <color=#ff4dc0>6</color> times.	協同作戦に<color=#ff4dc0>6</color>回参加する	협력전 <color=#ff4dc0>6</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>6</color>​ ครั้ง​
47	0	1103	0	12	9000008	600	236		2	1	参与协力战<color=#ff4dc0>12</color>次	參與協力戰<color=#ff4dc0>12</color>次	Complete the Invasion <color=#ff4dc0>12</color> times.	協同作戦に<color=#ff4dc0>12</color>回参加する	협력전 <color=#ff4dc0>12</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>12</color>​ ครั้ง​
48	0	1103	0	18	9000008	800	236		2	1	参与协力战<color=#ff4dc0>18</color>次	參與協力戰<color=#ff4dc0>18</color>次	Complete the Invasion <color=#ff4dc0>18</color> times.	協同作戦に<color=#ff4dc0>18</color>回参加する	협력전 <color=#ff4dc0>18</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>18</color>​ ครั้ง​
49	0	1602	0	5	9000008	400	522		2	1	累计抽取猫球<color=#ff4dc0>5</color>次	累計抽取貓球<color=#ff4dc0>5</color>次	Summon Catos <color=#ff4dc0>5</color> times in total.	ガトガチャを<color=#ff4dc0>5</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>5</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>5</color>​ ครั้ง​
50	0	1602	0	10	9000008	500	522		2	1	累计抽取猫球<color=#ff4dc0>10</color>次	累計抽取貓球<color=#ff4dc0>10</color>次	Summon Catos <color=#ff4dc0>10</color> times in total.	ガトガチャを<color=#ff4dc0>10</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>10</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>10</color>​ ครั้ง​
51	0	1602	0	20	9000008	600	522		2	1	累计抽取猫球<color=#ff4dc0>20</color>次	累計抽取貓球<color=#ff4dc0>20</color>次	Summon Catos <color=#ff4dc0>20</color> times in total.	ガトガチャを<color=#ff4dc0>20</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>20</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>20</color>​ ครั้ง​
52	0	1602	0	35	9000008	800	522		2	1	累计抽取猫球<color=#ff4dc0>35</color>次	累計抽取貓球<color=#ff4dc0>35</color>次	Summon Catos <color=#ff4dc0>35</color> times in total.	ガトガチャを<color=#ff4dc0>35</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>35</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>35</color>​ ครั้ง​
53	0	1703	0	30	9000008	400	701		2	1	洗练任意装备<color=#ff4dc0>30</color>次	洗練任意裝備<color=#ff4dc0>30</color>次	Refine any equipment <color=#ff4dc0>30</color> times.	任意の装備を<color=#ff4dc0>30</color>回洗練する	임의의 장비 <color=#ff4dc0>30회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>30</color>​ ครั้ง​
54	0	1703	0	60	9000008	500	701		2	1	洗练任意装备<color=#ff4dc0>60</color>次	洗練任意裝備<color=#ff4dc0>60</color>次	Refine any equipment <color=#ff4dc0>60</color> times.	任意の装備を<color=#ff4dc0>60</color>回洗練する	임의의 장비 <color=#ff4dc0>60회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>60</color>​ ครั้ง​
55	0	1703	0	100	9000008	600	701		2	1	洗练任意装备<color=#ff4dc0>100</color>次	洗練任意裝備<color=#ff4dc0>100</color>次	Refine any equipment <color=#ff4dc0>100</color> times.	任意の装備を<color=#ff4dc0>100</color>回洗練する	임의의 장비 <color=#ff4dc0>100회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>100</color>​ ครั้ง​
56	0	1703	0	140	9000008	800	701		2	1	洗练任意装备<color=#ff4dc0>140</color>次	洗練任意裝備<color=#ff4dc0>140</color>次	Refine any equipment <color=#ff4dc0>140</color> times.	任意の装備を<color=#ff4dc0>140</color>回洗練する	임의의 장비 <color=#ff4dc0>140회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>140</color>​ ครั้ง​
57	0	1405	0	2	9000009	400	518		3	1	离岛空运<color=#ff4dc0>2</color>次	離島空運<color=#ff4dc0>2</color>次	Complete Air Express <color=#ff4dc0>2</color> times.	離島空便を<color=#ff4dc0>2</color>回完了する	항공 운송 <color=#ff4dc0>2</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>2</color>​ ครั้ง​
58	0	1405	0	6	9000009	500	518		3	1	离岛空运<color=#ff4dc0>6</color>次	離島空運<color=#ff4dc0>6</color>次	Complete Air Express <color=#ff4dc0>6</color> times.	離島空便を<color=#ff4dc0>6</color>回完了する	항공 운송 <color=#ff4dc0>6</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>6</color>​ ครั้ง​
59	0	1405	0	10	9000009	600	518		3	1	离岛空运<color=#ff4dc0>10</color>次	離島空運<color=#ff4dc0>10</color>次	Complete Air Express <color=#ff4dc0>10</color> times.	離島空便を<color=#ff4dc0>10</color>回完了する	항공 운송 <color=#ff4dc0>10</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>10</color>​ ครั้ง​
60	0	1405	0	15	9000009	800	518		3	1	离岛空运<color=#ff4dc0>15</color>次	離島空運<color=#ff4dc0>15</color>次	Complete Air Express <color=#ff4dc0>15</color> times.	離島空便を<color=#ff4dc0>15</color>回完了する	항공 운송 <color=#ff4dc0>15</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>15</color>​ ครั้ง​
61	0	601	1	10	9000009	400	601		3	1	累计召唤<color=#ff4dc0>10</color>次	累計召喚<color=#ff4dc0>10</color>次	Make <color=#ff4dc0>10</color> summons in total.	召喚を<color=#ff4dc0>10</color>回行う	소환 누적 <color=#ff4dc0>10</color>회	รับสมัครสะสม <color=#ff4dc0>10</color> ครั้ง
62	0	601	1	20	9000009	500	601		3	1	累计召唤<color=#ff4dc0>20</color>次	累計召喚<color=#ff4dc0>20</color>次	Make <color=#ff4dc0>20</color> summons in total.	召喚を<color=#ff4dc0>20</color>回行う	소환 누적 <color=#ff4dc0>20</color>회	รับสมัครสะสม <color=#ff4dc0>20</color> ครั้ง
63	0	601	1	30	9000009	600	601		3	1	累计召唤<color=#ff4dc0>30</color>次	累計召喚<color=#ff4dc0>30</color>次	Make <color=#ff4dc0>30</color> summons in total.	召喚を<color=#ff4dc0>30</color>回行う	소환 누적 <color=#ff4dc0>30</color>회	รับสมัครสะสม <color=#ff4dc0>30</color> ครั้ง
64	0	601	1	50	9000009	800	601		3	1	累计召唤<color=#ff4dc0>50</color>次	累計召喚<color=#ff4dc0>50</color>次	Make <color=#ff4dc0>50</color> summons in total.	召喚を<color=#ff4dc0>50</color>回行う	소환 누적 <color=#ff4dc0>50</color>회	รับสมัคร <color=#ff4dc0>50</color> ครั้ง
69	0	5	5	5	9000009	400	233		3	1	获取任意<color=#ff4dc0>5</color>件橙色装备	獲取任意<color=#ff4dc0>5</color>件橙色裝備	Get <color=#ff4dc0>5</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>5</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>5</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>5</color> ชิ้น
70	0	5	5	10	9000009	500	233		3	1	获取任意<color=#ff4dc0>10</color>件橙色装备	獲取任意<color=#ff4dc0>10</color>件橙色裝備	Get <color=#ff4dc0>10</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>10</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>10</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>10</color> ชิ้น
71	0	5	5	20	9000009	600	233		3	1	获取任意<color=#ff4dc0>20</color>件橙色装备	獲取任意<color=#ff4dc0>20</color>件橙色裝備	Get <color=#ff4dc0>20</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>20</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>20</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>20</color> ชิ้น
72	0	5	5	30	9000009	800	233		3	1	获取任意<color=#ff4dc0>30</color>件橙色装备	獲取任意<color=#ff4dc0>30</color>件橙色裝備	Get <color=#ff4dc0>30</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>30</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>30</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>30</color> ชิ้น
73	0	1103	0	2	9000009	400	236		3	1	参与协力战<color=#ff4dc0>2</color>次	參與協力戰<color=#ff4dc0>2</color>次	Complete the Invasion <color=#ff4dc0>2</color> times.	協同作戦に<color=#ff4dc0>2</color>回参加する	협력전 <color=#ff4dc0>2</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>2</color>​ ครั้ง​
74	0	1103	0	6	9000009	500	236		3	1	参与协力战<color=#ff4dc0>6</color>次	參與協力戰<color=#ff4dc0>6</color>次	Complete the Invasion <color=#ff4dc0>6</color> times.	協同作戦に<color=#ff4dc0>6</color>回参加する	협력전 <color=#ff4dc0>6</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>6</color>​ ครั้ง​
75	0	1103	0	12	9000009	600	236		3	1	参与协力战<color=#ff4dc0>12</color>次	參與協力戰<color=#ff4dc0>12</color>次	Complete the Invasion <color=#ff4dc0>12</color> times.	協同作戦に<color=#ff4dc0>12</color>回参加する	협력전 <color=#ff4dc0>12</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>12</color>​ ครั้ง​
76	0	1103	0	18	9000009	800	236		3	1	参与协力战<color=#ff4dc0>18</color>次	參與協力戰<color=#ff4dc0>18</color>次	Complete the Invasion <color=#ff4dc0>18</color> times.	協同作戦に<color=#ff4dc0>18</color>回参加する	협력전 <color=#ff4dc0>18</color>회 참가	เข้าร่วม​ผนึก​กำลัง​ <color=#ff4dc0>18</color>​ ครั้ง​
77	0	1602	0	5	9000009	400	522		3	1	累计抽取猫球<color=#ff4dc0>5</color>次	累計抽取貓球<color=#ff4dc0>5</color>次	Summon Catos <color=#ff4dc0>5</color> times in total.	ガトガチャを<color=#ff4dc0>5</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>5</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>5</color>​ ครั้ง​
78	0	1602	0	10	9000009	500	522		3	1	累计抽取猫球<color=#ff4dc0>10</color>次	累計抽取貓球<color=#ff4dc0>10</color>次	Summon Catos <color=#ff4dc0>10</color> times in total.	ガトガチャを<color=#ff4dc0>10</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>10</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>10</color>​ ครั้ง​
79	0	1602	0	20	9000009	600	522		3	1	累计抽取猫球<color=#ff4dc0>20</color>次	累計抽取貓球<color=#ff4dc0>20</color>次	Summon Catos <color=#ff4dc0>20</color> times in total.	ガトガチャを<color=#ff4dc0>20</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>20</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>20</color>​ ครั้ง​
80	0	1602	0	35	9000009	800	522		3	1	累计抽取猫球<color=#ff4dc0>35</color>次	累計抽取貓球<color=#ff4dc0>35</color>次	Summon Catos <color=#ff4dc0>35</color> times in total.	ガトガチャを<color=#ff4dc0>35</color>回引く	냥냥볼 뽑기 누적 <color=#ff4dc0>35</color>회	จุ่ม​แค​ทบ​อล​สะสม​ถึง​ <color=#ff4dc0>35</color>​ ครั้ง​
81	0	1703	0	30	9000009	400	701		3	1	洗练任意装备<color=#ff4dc0>30</color>次	洗練任意裝備<color=#ff4dc0>30</color>次	Refine any equipment <color=#ff4dc0>30</color> times.	任意の装備を<color=#ff4dc0>30</color>回洗練する	임의의 장비 <color=#ff4dc0>30회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>30</color>​ ครั้ง​
82	0	1703	0	60	9000009	500	701		3	1	洗练任意装备<color=#ff4dc0>60</color>次	洗練任意裝備<color=#ff4dc0>60</color>次	Refine any equipment <color=#ff4dc0>60</color> times.	任意の装備を<color=#ff4dc0>60</color>回洗練する	임의의 장비 <color=#ff4dc0>60회</color>제련	รี​ไฟ​น์​อุปกรณ์​ใด​ก็ได้​ <color=#ff4dc0>60</color>​ ครั้ง​
