ID,,Packs,FreeReward,PacksDes,TriggerEvent,ClientTrigger,Order,Group,TriggerCondition,,TriggerInterval,PayTime,IsClose,Theme
23004,库萝心觉醒礼包,702046,,pushpacks_des_01,8,0,26,23,"21020,1","获得库萝心的回响,且库萝心觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23005,普琳普顿觉醒礼包,702047,,pushpacks_des_01,8,0,27,23,"21021,1","获得普琳普顿的回响,且普琳普顿觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23006,黛比觉醒礼包,702048,,pushpacks_des_01,8,0,28,23,"21022,1","获得黛比的回响,且黛比觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23007,弥生觉醒礼包,702049,,pushpacks_des_01,8,0,29,23,"21023,1","获得弥生的回响,且弥生觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23008,艾什尔觉醒礼包,702050,,pushpacks_des_01,8,0,30,23,"21028,1","获得艾什尔的回响,且艾什尔觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23009,阿波菲斯觉醒礼包,702051,,pushpacks_des_01,8,0,31,23,"21029,1","获得阿波菲斯的回响,且阿波菲斯觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23010,纳菲觉醒礼包,702052,,pushpacks_des_01,8,0,32,23,"21030,1","获得纳菲的回响,且纳菲觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23011,丘吉尔觉醒礼包,702053,,pushpacks_des_01,8,0,33,23,"21031,1","获得丘吉尔的回响,且丘吉尔觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23012,库萝爱觉醒礼包,702057,,pushpacks_des_01,8,0,37,23,"21035,1","获得库萝爱的回响,且库萝爱觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23013,贝拉觉醒礼包,702058,,pushpacks_des_01,8,0,38,23,"21036,1","获得贝拉的回响,且贝拉觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23014,丹妮觉醒礼包,702059,,pushpacks_des_01,8,0,39,23,"21042,1","获得丹妮的回响,且丹妮觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23015,卡萝琳觉醒礼包,702065,,pushpacks_des_01,8,0,45,23,"21049,1","获得卡萝琳的回响,且卡萝琳觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
23016,贝卡丝觉醒礼包,702068,,pushpacks_des_01,8,0,48,23,"21057,1","获得贝卡丝的回响,且贝卡丝觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
24001,完成所有每日任务，充值0到499,702070,,pushpacks_des_01,8,0,50,24,"21117,1",完成所有每日任务，充值0到499,86400,10800,0,1
24002,完成所有每日任务，且充值500至999,702071,,pushpacks_des_01,8,0,51,24,"21118,1",完成所有每日任务，且充值500至999,86400,10800,0,1
24003,完成所有每日任务，且充值1000以上,702072,,pushpacks_des_01,8,0,52,24,"21119,1",完成所有每日任务，且充值1000以上,86400,10800,0,1
25001,当前符文累计洗炼次数,702073,,pushpacks_des_01,7,0,53,25,"21120,20",符文累计洗炼次数20以上,604800,10800,0,4
26001,抽卡礼包（CD一月）,702076,,pushpacks_des_01,9,0,56,26,"21123,1",触发保底，但是非本期UP五星,2592000,259200,0,2
27001,抽卡礼包（CD一周）,702077,,pushpacks_des_01,9,0,57,27,"21124,100",累计抽卡100次,604800,259200,0,2
28001,当前符文累计洗炼次数，且洗到紫色以上品质词条,702074,,pushpacks_des_01,7,0,54,28,"21121,1",符文累计洗炼次数40以上，且洗到紫色品质词条,604800,10800,0,4
29001,当前符文累计洗炼次数，且洗到金色品质词条,702075,,pushpacks_des_01,7,0,55,29,"21122,1",符文累计洗炼次数60以上，且洗到金色品质词条,604800,10800,0,4
30001,阿涅克丝觉醒礼包2,702078,,pushpacks_des_01,8,0,23,30,"21125,1","获得阿涅克丝的回响,且阿涅克丝觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30002,水仙觉醒礼包2,702079,,pushpacks_des_01,8,0,24,30,"21127,1","获得水仙的回响,且水仙觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30003,哀歌觉醒礼包2,702080,,pushpacks_des_01,8,0,25,30,"21129,1","获得哀歌的回响,且哀歌觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30004,库萝心觉醒礼包2,702081,,pushpacks_des_01,8,0,26,30,"21130,1","获得库萝心的回响,且库萝心觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30005,普琳普顿觉醒礼包2,702082,,pushpacks_des_01,8,0,27,30,"21131,1","获得普琳普顿的回响,且普琳普顿觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30006,黛比觉醒礼包2,702083,,pushpacks_des_01,8,0,28,30,"21132,1","获得黛比的回响,且黛比觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30007,弥生觉醒礼包2,702084,,pushpacks_des_01,8,0,29,30,"21133,1","获得弥生的回响,且弥生觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30008,艾什尔觉醒礼包2,702085,,pushpacks_des_01,8,0,30,30,"21138,1","获得艾什尔的回响,且艾什尔觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30009,阿波菲斯觉醒礼包2,702086,,pushpacks_des_01,8,0,31,30,"21139,1","获得阿波菲斯的回响,且阿波菲斯觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30010,纳菲觉醒礼包2,702087,,pushpacks_des_01,8,0,32,30,"21140,1","获得纳菲的回响,且纳菲觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30011,丘吉尔觉醒礼包2,702088,,pushpacks_des_01,8,0,33,30,"21141,1","获得丘吉尔的回响,且丘吉尔觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30012,库萝爱觉醒礼包2,702092,,pushpacks_des_01,8,0,37,30,"21145,1","获得库萝爱的回响,且库萝爱觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30013,贝拉觉醒礼包2,702093,,pushpacks_des_01,8,0,38,30,"21146,1","获得贝拉的回响,且贝拉觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30014,丹妮觉醒礼包2,702094,,pushpacks_des_01,8,0,39,30,"21152,1","获得丹妮的回响,且丹妮觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30015,卡萝琳觉醒礼包2,702100,,pushpacks_des_01,8,0,45,30,"21159,1","获得卡萝琳的回响,且卡萝琳觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
30016,贝卡丝觉醒礼包2,702103,,pushpacks_des_01,8,0,48,30,"21167,1","获得贝卡丝的回响,且贝卡丝觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31001,神光觉醒礼包2,702089,,pushpacks_des_01,8,0,34,31,"21142,1","获得神光的回响,且神光觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31002,雷雷觉醒礼包2,702090,,pushpacks_des_01,8,0,35,31,"21143,1","获得雷雷的回响,且雷雷觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31003,安普莎觉醒礼包2,702091,,pushpacks_des_01,8,0,36,31,"21144,1","获得安普莎的回响,且安普莎觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31004,耶坦尼娅觉醒礼包2,702095,,pushpacks_des_01,8,0,40,31,"21153,1","获得耶坦尼娅的回响,且耶坦尼娅觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31005,希夕莉觉醒礼包2,702096,,pushpacks_des_01,8,0,41,31,"21154,1","获得希夕莉的回响,且希夕莉觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31006,萨拉觉醒礼包2,702097,,pushpacks_des_01,8,0,42,31,"21155,1","获得萨拉的回响,且萨拉觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31007,牧觉醒礼包2,702098,,pushpacks_des_01,8,0,43,31,"21156,1","获得牧的回响,且牧觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31008,吉拉蒂亚觉醒礼包2,702099,,pushpacks_des_01,8,0,44,31,"21157,1","获得吉拉蒂亚的回响,且吉拉蒂亚觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31009,克尔苏娜觉醒礼包2,702101,,pushpacks_des_01,8,0,46,31,"21160,1","获得克尔苏娜的回响,且克尔苏娜觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31010,小闪觉醒礼包2,702102,,pushpacks_des_01,8,0,47,31,"21165,1","获得小闪的回响,且小闪觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
31011,伊卡洛斯觉醒礼包2,702104,,pushpacks_des_01,8,0,49,31,"21170,1","获得伊卡洛斯的回响,且伊卡洛斯觉醒等级为4，差2个觉醒材料时",86400,10800,0,1
32001,神光觉醒礼包,702054,,pushpacks_des_01,8,0,34,32,"21032,1","获得神光的回响,且神光觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32002,雷雷觉醒礼包,702055,,pushpacks_des_01,8,0,35,32,"21033,1","获得雷雷的回响,且雷雷觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32003,安普莎觉醒礼包,702056,,pushpacks_des_01,8,0,36,32,"21034,1","获得安普莎的回响,且安普莎觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32004,耶坦尼娅觉醒礼包,702060,,pushpacks_des_01,8,0,40,32,"21043,1","获得耶坦尼娅的回响,且耶坦尼娅觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32005,希夕莉觉醒礼包,702061,,pushpacks_des_01,8,0,41,32,"21044,1","获得希夕莉的回响,且希夕莉觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32006,萨拉觉醒礼包,702062,,pushpacks_des_01,8,0,42,32,"21045,1","获得萨拉的回响,且萨拉觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32007,牧觉醒礼包,702063,,pushpacks_des_01,8,0,43,32,"21046,1","获得牧的回响,且牧觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32008,吉拉蒂亚觉醒礼包,702064,,pushpacks_des_01,8,0,44,32,"21047,1","获得吉拉蒂亚的回响,且吉拉蒂亚觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32009,克尔苏娜觉醒礼包,702066,,pushpacks_des_01,8,0,46,32,"21050,1","获得克尔苏娜的回响,且克尔苏娜觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32010,小闪觉醒礼包,702067,,pushpacks_des_01,8,0,47,32,"21055,1","获得小闪的回响,且小闪觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
32011,伊卡洛斯觉醒礼包,702069,,pushpacks_des_01,8,0,49,32,"21060,1","获得伊卡洛斯的回响,且伊卡洛斯觉醒等级为2，距离下次觉醒差1个回响",86400,10800,0,3
