Name,Value,SyncClient,Desc
ini_team_role,3000001,0,初始阵容1的角色配置，角色ID，角色位置；
ini_team_role_pet,3013023,0,初始魔女带的星痕
mail_period,30,0,邮件通用有效期，单位天
item_exp,"1006505,600;1006506,2000;1006507,6000;1006508,20000",0,星痕升级道具经验
item_exp_money,"4,1000003,1",0,每使用X点经验，转换为X点金币（本勒）参数1：经验值，参数2：道具ID，参数3：道具数量
cardlv,"1,1,1,1,1",0,卡牌初始等级，对应卡牌品质，白色，绿色，蓝色，紫色，橙色
cardlvmax,3,0,卡牌等级上限
player_ap_buy1,"1000016,1001023,1001024,1001025",0,需要显示到体力购买界面的体力药id（Item表Id）
player_ap_buy2,1003,0,通过钻石购买体力的门票id（Ticket表Id）
awakenmax,5,0,角色觉醒等级上限
breaklvmax,3,0,角色突破等级上限
role_pet_contract_up,"3,3;4,3;5,3",0,心契突破上限(参数1：品质，参数2：突破上限)
breaklvmax_weapon,5,0,专武突破等级上限
awakenmax_weapon,5,0,专武觉醒等级上限
stage_droprate,"10000,10000;5000,9999;1500,4999;1,1499",0,关卡掉落概率标签，从左到右分别为”固定掉落，高概率，小概率，稀有“。配置概率为万分比。
energy_filter,"0,0;1,1;2,2;3,3;4,4;5,5;6,6;7,7;8,8;9,9",0,布阵界面卡牌筛选能量取值范围
laddermatc_lnitial_rankscore,0,0,玩家初始段位积分
laddermatc_time,"8,24",0,天梯赛每日的比赛时间段，时段外无法匹配对手
laddermatc_loading_time,"20,1;60,2;92,1.5",0,天梯赛加载进度分段配置，配置格式：进度百分比，等待时间
laddermatc_countdown,30,0,天梯赛匹配倒计时时间
laddermatc_ranking_range,200,0,天梯赛积分榜，上榜排名范围
laddermatc_ranking_maxrange,1000,0,天梯赛积分榜，最大记录排名范围
laddermatc_stage,"90001,90002,90003",0,天梯赛应用的地图（随机使用）
laddermatc_voting_cycle,1,0,以周为单位循环，配置为1即为每周一次，周日24:00结算
laddermatc_ban_rolenum,3,0,最大禁用角色数
laddermatc_ban_cardnum,3,0,最大禁用卡牌数
laddermatc_find,10199,0,赛季段位奖励找回邮件id
laddermatc_voteinherit,11,0,下一轮投票，票数继承比例
laddermatc_votcoef_card,"100,3,6;1000,2,4;10000,1,2;9999999,1,1",0,"卡牌投票膨胀系数，配置格式：票数,最小随机票数,最大随机票数；"
laddermatc_votcoef_role,"100,3,6;1000,2,4;10000,1,2;9999999,1,1",0,角色投票膨胀系数
laddermatc_draw_count,3,0,天梯赛每日允许出现平局的次数
ladderduel_countdown,30,0,赛事2匹配倒计时时间
ladderduel_corecard,"4,5",0,赛事2核心卡的稀有度配置（关联下面奖励档位id）
ladderduel_corecard_reward,"6,10",0,赛事2核心卡的奖励所关联的档位id
ladderduel_role_level,50,0,"赛事2角色平衡等级，配置格式：角色等级,觉醒等级"
ladderduel_role_awaken,3,0,赛事2角色觉醒等级
ladderduel_role_break,3,0,赛事2角色突破等级
ladderduel_card_level,15,0,赛事2卡牌平衡等级
ladderduel_find,10200,0,赛事2奖励找回邮件id
ladderduel_draw_count,3,0,赛事2每日允许出现平局的次数
ladder_sort,"101,103,115",0,"赛事功能排序,配置unlock表的功能id"
monthcard_mail,501,0,月卡每日邮件ID
monthcard_expire_mail,"2,502",0,月卡即将过期提醒邮件，配置格式：剩余天数，mailid
monthcard_day,30,0,月卡有效天数
weeklycard_mail,601,0,体力周卡每日邮件ID
weeklycard_expire_mail,"1,602",0,体力周卡即将过期提醒邮件，配置格式：剩余天数，mailid
weeklycard_day,7,0,体力周卡有效天数
reconnect,20,0,断线重连时间，单位秒
reconnect_max,600,0,断线重连（切换后台），返回登录时间，单位秒
reconnect_battle,100,0,断线重连战斗中使用，单位秒
ladderticket_consume,"111,1",0,"决斗场门票，配置格式：道具id,数量"
ladderticket_diamond,150,0,决斗场门票价格
ladderticket_life,3,0,决斗场队伍生命数
ladderticket_role_level,1,0,决斗场角色等级
ladderticket_role_awaken,1,0,决斗场角色觉醒等级
ladderticket_role_break,1,0,决斗场角色突破等级
ladderticket_card_level,15,0,决斗场卡牌等级
ladderticke_countdown,30,0,决斗场匹配倒计时时间
ladderticke_lineup,"1,0,2,100,101,102",0,决斗场新获得角色自动上阵顺序
ladderticke_find,10201,0,决斗场找回邮件ID
chat_system_name,ui_chatsystem_01,0,聊天中系统消息的名称，配置多语言表id
chat_push,20,0,服务器记录的用于在玩家上线时推送给玩家的世界频道聊天数量
chat_report_wordlimit,100,0,玩家举报时，补充内容的字数限制
chat_similarity_minlength,10,0,检查重复信息的最小字数，发送信息内容少于配置字数时不检查
chat_similarity_time,120,0,发送的聊天信息经过时间大于配置时间时不检查重复，单位：秒
report_feedback,10202,0,玩家提交举报时，自动发送的反馈邮件id
chat_fullremind,95,0,世界聊天频道内人数达到上限的x%时，显示“满”标签提醒
chat_full_message,,0,所有频道满人，未能自动分配进世界频道的提醒消息
logon_message,logon_message_01,0,每日首次登录游戏时发送给玩家的系统欢迎通知，配置LanguageID，字数控制在200内
muzzle_mail_01,10203,0,被禁言时收到的禁言通知邮件id（时长）
muzzle_mail_02,10204,0,被永久禁言时收到的禁言通知邮件id
chat_worldchannel_maxplayercount,1000,0,世界聊天，每个频道允许进入的最大玩家数
chat_worldchannel_recommend,50,0,世界聊天，频道人数自动分配比例，若频道内人数超过这个比例，玩家进入游戏时分配至其他频道
privatechat_close,1,0,自动关闭x小时未聊天的私聊对象，单位小时
aoto_report,"20,30,1",0,
friend_limit,100,0,好友上限数量
friend_request_limit,100,0,好友申请数量上限
friend_recommend_limit,5,0,每次刷新推荐好友的数量
blacklist_limit,30,0,屏蔽名单数量上限
apply_cd,5,0,好友申请CD时间，单位：秒
debug_robot,0,0,用于客户端检查机器人配置的开关，1=打开，0=关闭，与机器人战斗时，uniity内搜索“服务器”查看机器人配置数据
story_aoto_speed,"1,2,4",0,自动播放剧情的倍速速率配置
rename_consume,"1001013,1",0,修改名字消耗的道具（优先消耗），配置格式：itemid，消耗数量
rename_diamond,"1000002,100",0,修改名字的钻石需求
bulletcurtain_color,"1,FFFFFF;2,ff3a3a;3,1cff91;4,1ee7ff;5,ffeb3e;6,e240ff",0,"普通弹幕可选颜色，编号1的是默认颜色。配置格式：编号,颜色色值（编号为文案配置预设弹幕颜色时使用）"
bulletcurtain_interval,"500,1000",0,"弹幕发送随机间隔时间，配置格式：随机区间,随机区间（单位毫秒）"
bulletcurtain_size,30,0,普通弹幕字体大小
bulletcurtain_plot_limit,10,0,每个剧情ID允许玩家发送的弹幕数量限制
bulletcurtain_speed,"5,200,20",0,"弹幕的每秒移动像素距离，配置格式：基础字数,基础移动速度,比基础字数每多一个字的增速（剧情弹幕仅使用基础速度）"
bulletcurtain_length,40,0,剧情弹幕可以输入的字符数
bulletcurtain_pvp_layer,"1,5,1;6,10,2;11,15,3;16,20,4",0,"观战时弹幕的层级（配置示例：1,5,1=1-5个字的弹幕，层级为1）层级数字越小显示优先级越高"
bulletcurtain_track,"100,500",0,"弹幕通道配置，配置格式:弹幕离屏幕顶端距离,离屏幕底端距离（弹幕通道数量根据屏幕内剩余弹幕空间高度算出）"
max_role_description_length,120,0,个人档案中，个人简介的允许输入字符数限制
library_tabexp,"1,10;2,10;3,10;4,10;5,10;6,12;7,12;8,12;9,12;10,12;11,10;12,10;13,10;14,12;15,12;16,12",0,档案不同页签首次查看时奖励的阅历值。关联Library表ID，配置格式：LibraryID，值；LibraryID，值
achieve_type,"1,2,3,4",0,成就类型配置，游戏内类型显示按配置顺序显示
achieve_notice,90004,0,成就用右侧弹窗提示
hero_common_skills,"99999999,1000",0,英雄通用回能技能  每回合行动后+100能量（1豆）
monster_common_skills,"99999999,1000,89999999",,怪通用回能技能
setting_ui_adaptation,120,0,异形界面适配，允许的最大缩进像素配置
setting_sound_se,300101,0,设置界面调整音效音量时使用的soundid
setting_sound_voice,"995,996,997,998,999",0,设置界面调整语音音量时使用的soundid
critical_cure_rate,500,0,治疗效果，受到暴击伤害增益的衰减值（千分比）最终属性*（基础爆伤+增益值*衰减值）
battlepass_paylevel,100,0,战令功能，购买等级消耗钻石数
max_round,3000,0,战斗默认最大回合数
rolepet_positioning,"role_positioning_101,role_positioning_102,role_positioning_103",0,星痕界面，筛选显示的星痕时，显示的所有星痕定位
roleequiplevelup_item,"1001034,10",0,符文升级道具经验
roleequiplevelup_loss,800,0,符文装备吞噬后，保留千分比经验
weaponlevelup_item,"10010,100;10011,200;10012,300;10013,400",0,武器升级道具经验
weaponlevelup_loss,800,0,武器装备吞噬后，保留千分比经验
cardboxlevelup_item,"10023,100;10024,200;10025,300;10026,400",0,牌盒升级道具
cardboxlevelup_loss,800,0,牌盒吞噬后，保留千分比经验
oss_table_split_num,20000000,0,
oss_db_split_num,10,0,
timeline_nextskill_min_frame,10,0,进入下一个技能时的最少帧数
timeline_fix_frame,5,0,技能的修正延迟
role_equip_select,10,0,烙印预设的装备位选择
role_equip_refresh_item,"1006222,10;1006222,30;1006222,50;1006222,80",0,洗炼消耗符文(1、不锁词条，2、锁1个  3、锁2个4、锁3个)
role_equip_refresh_item_attrrlv,"1006240,0;1006240,1;1006240,2;1006240,3;1006240,4",0,洗练符文锁定词条等级消耗(1、不锁词条，2、锁1个  3、锁2个4、锁3个5、锁4个)
role_equip_refresh_item_attrtype,"1006241,0;1006241,1;1006241,2;1006241,3;1006241,4",0,洗练符文锁定词条类型消耗(1、不锁词条，2、锁1个  3、锁2个4、锁3个5、锁4个)
rolefavor_up,380,0,魔女每日好感度获取总上限
add_pet_favor_factor,200,0,星痕喜欢礼物额外好感度千分比加成
role_pet_contract_exp,2400,0,心契经验
task_role,"90001,90002,90003",0,任务用三个角色
diamond_gacha_rate,160,0,钻石兑换抽卡券的比例
diamond_weapon_gacha_rate,80,0,专武抽卡券兑换消耗钻石比例
role_equip_main_attr,"101,102,103,114,116",0,符文主属性筛选
role_equip_minor_attr,"101,102,103,104,105,107,109,114,116,118,120,123,124,125,134,137,138,144,145",0,符文副属性筛选
kuroro_distance,210,0,克萝萝大冒险地图长度
kuroro_speed,10,0,克萝萝大冒险速度
kuroro_dice,1001011,0,骰子
kuroro_contrl_dice,1001012,0,遥控骰子
kuroro_free_dice,1001014,0,免费骰子
kuroro_total_days,13000,0,克萝萝总天数
kuroro_total_distance,13001,0,克萝萝总里程
kuroro_first_roll,0,0,克萝萝第一次扔骰子必出抽卡券
favor_like,"1200,1000,800",0,星痕礼物(参数1：喜欢获取经验比例，参数2，一般获取经验比例，参数3，不喜欢获取经验比例)
favor_level,10,0,星痕好感度等级上限
ui_main_asset1,"1000001,1000002,1000003",0,国服版本主界面显示货币
ui_main_asset2,"1000004,1000001,1000003",0,日服版本主界面显示货币
main_quest_boss_nums,10,0,主线任务章节有几个BOSS就填几
font_china,SOURCE,0,中文版字体
font_japan,HGP,0,日文版字体
font_korea,SOURCE,0,韩文版字体
font_english,LIA,0,英文版字体
role_attr_show,"101,102,103,105,114,116",0,魔女详情界面展示的属性
rolepet_attr_show,"101,102,103,104,105,137,114,116,120,134,107,109",0,星痕详情界面展示的属性
dream_dungeon_integral,"10,10",0,幻梦之境积分比例，伤害，弱破伤害  默认积分转换比是1
level_partition,"1,20;21,40;41,60;61,100",0,排行榜的等级划分
guild_quit_penalty,12,0,退出惩罚时间(小时)
guild_donate_gold_num,"1062,3",0,捐献金币次数（每日）
guild_donate_gold_cost,"1000003,1000",0,"捐献金币消耗（捐赠item,数量）"
guild_donate_gold_award,"1001061,100;1001062,100",0,"捐献金币奖励（奖励item,数量;奖励item,数量）"
guild_donate_diamond_num,"1063,3",0,捐献钻石次数（每日）
guild_donate_diamondcost,"1000002,60",0,捐献钻石消耗（捐赠item，数量）
guild_donate_diamond_award,"1001061,500;1001062,300",0,"捐献钻石奖励（奖励item,数量;奖励item,数量）"
guild_management_transfer,7,0,会长离线自动转让天数
guild_search_num,"0,10,20,30,40,50",0,公会搜索筛选公会人数
guild_search_guild_level,"0,1,2,3,4,5,6",0,公会搜索筛选公会等级
guild_search_player_level,"0,20,40,60,80,100",0,公会搜索筛选侍主等级
guild_create_cost,"1000002,100",0,公会创建消耗道具
guild_create_cd,12,0,公会创建后不可解散时间（小时）
guild_content_num,100,0,公会说明字数上限（字符）
guild_name_max_and_min,"4,14",0,公会名字字数上下限（最小、最大）
guild_mail_award,801,0,公会补偿邮件id（包含临时退会与未领取奖励）
guild_like_num,"1064,3",0,每日点赞次数
guild_like_award,"1001061,20",0,"点赞奖励道具（item,数量）"
guild_exp_cost,"1,10",0,公会经验转化为公会币比例（公会等级上限时触发）
guild_mail_quit,802,0,公会被踢邮件发送id
guild_role_request_limit,15,0,玩家申请公会数量上限
guild_role_request_time,24,0,玩家申请公会存在时间（小时）
guild_role_invitation_limit,15,0,玩家受邀公会数量上限
guild_request_limit,100,0,公会被申请数量上限
guild_invitation_limit,100,0,公会邀请数量上限
guild_massage,"1,50;2,200",0,公会信息存储上限（类型对应guildmassage表）
guild_dailytask_exp,"1001065,1",0,公会每日任务积分道具转化积分
guild_weektask_exp,"1001066,1",0,公会每周任务积分道具转化积分
item_check_expired,"1001065,1;1001066,1",0,"补发类型道具当天清除（“,1”是为了方便读取）"
guildrace_speed_conversion,1,,公会赛马，每点速度属性提升的每帧移动距离（单位厘米），10帧≈1秒
guildrace_skill_activation_range,4000,,公会赛马，每移动多少厘米判定一次技能触发
guildrace_deactivation_range,6000,,公会赛马，设置距离终点x米时不再触发技能/陷阱事件，避免在终点线前生成陷阱或触发技能的奇怪情况发生
guildrace_percentage_fee,500,,公会赛马，配置万分比，控制玩家投注被抽掉的比率
guildrace_incentive_times,100,,公会赛马，每激励多少次，随机增加选手的一项属性
guildrace_incentive,"1,2;100,500;100,500",,公会赛马，受到激励时增加的属性值，上限值。配置格式：速度增加值，上线；BP增加值，上限；幸运增加值，上限
guildrace_personal_rankings,401,,公会赛马，公会赛马个人榜单id
guildrace_rankings,402,,公会赛马，公会赛马公会榜单id
guildrace_reward_mail,401,,公会赛马，下注的选手获得冠军时，所发的奖励。配置邮件ID
guildrace_mail,402,,公会赛马，下注的选手全都没得到冠军时，发送安慰邮件
guildrace_action_frame_rate,100,,公会赛马，动作帧数换算，目前一帧为100毫秒
guildrace_bet,"1,5",,公会赛马，每期比赛开始时，系统随机投注到每位选手身上的次数，配置格式【最小次数，最大次数】
occupation_talent_reset,"0,50,100,150,200",0,职阶天赋重置消耗
occupation_talent_reset_time,1,0,职阶天赋重置时间(每周一重置)
occupation_talent_unlockvalve,30,0,职阶天赋每阶解锁所需要的点数
cardcollect_filter_type,"71,61,51,41,31,2,1",,卡册中显示的卡牌稀有度筛选类型，配置卡牌稀有度类型ID，从第一个开始从上往下排
card_flip,"0,45",,控制查看卡牌时左右角度到多少会自动翻面，配置格式：左右方向最小角度，最大角度
collection_plate_back,,,收藏板默认封面，配置关联ITEMID（需在玩家初始道具里也配上）
card_logout_password,60,,注销卡册收藏密码所需等待的时间，配置单位：秒
card_collectibles_limit,15,,允许创建的收藏册数量
card_collectibles_storage,30,,收藏册可储存的卡牌上限
cardpack_rotation_angle,"0,60;0,15",,控制卡包xy轴的旋转查看角度，配置格式：左右方向最小角度，最大角度；上下方最小角度，最大角度
cardpack_flip,"0,50",,控制查卡包时左右角度到多少会自动翻面，配置格式：左右方向最小角度，最大角度
cardpack_tilt_angle,"0,45,90,135,180",,"控制卡包的左右可倾斜角度，支持配置多个角度，配置格式：初始角度,倾斜角度1,倾斜角度2,倾斜角度3..."
card_gifti_limit,1,,卡牌赠送限制间隔时间，单位：分钟
sharing_rewards,"3,0",,每日通过分享可获得奖励的次数，以及奖励内容。配置格式：奖励次数，Dropid
good_reviews,"5,0",,每日给其他玩家的分享点赞次数，以及奖励内容。配置格式：奖励次数，Dropid
sharing_channels,"1,2,5",,可分享频道ID(chat表key）
card_password_length,"8,16",,"收藏卡密码长度(最短,最长)"
offline_max_own_card,100,,玩家处在离线状态时，最多允许收到的别人送的收藏卡的上限数量
max_own_card 100000,100000,,玩家最大允许拥有的收藏卡的数量的极限值
guide_novice,99999991,,新手引导关卡ID，用于跳过新手引导
guide_skip,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,跳过新手关卡后，记录完成的引导
guide_prologue,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,序章引导ID，用于判断序章是否通过
guide_condition,"101000,1,1",,序章引导condition，用于判断序章是否通过
banner_time,3,,主界面滚动轮盘滚动时间设置int（单位：秒）
deep_recall,"0,599;1,501;2,502;3,503;4,504;5,505;6,506;7,507;8,508",,回忆深潜需要刷新的排行榜。章节ID，需要刷新的排行榜；
role_pay_refund_max_num,9000,,欧美退款封号标准金额
role_pay_refund_lock_conditions,"13100,0,0;13101,0",,欧美退款功能封锁条件
role_pay_refund_lock_functions,"1,1;2,1;3,1;4,1;5,1;6,1;8,1;9,1;10,1;11,1;12,1;14,1;15,1;16,1;22,1;23,1;101,1;110,1;118,1;201,1;301,1;401,1;404,1;406,1;407,1;408,1;409,1;410,1;411,1;412,1;413,1;414,1;415,1;416,1;417,1;418,1;420,1;421,1;422,1;423,1;424,1;428,1;429,1;501,1;601,1;620,1;631,1;642,1;701,1;801,1;1101,1",,欧美退款封锁功能ID
role_pay_refund_mail,104,,欧美退款警告邮件ID
break_lvup,1,,突破后默认提升当前等级数量（应对日本需求，日本为1）
guide_role,"3000001,3000002,3000003",0,1-3上阵魔女（新手引导专用）
guide_role_pet,"3013023,0,0;3013017,0,0;0,0,0",0,1-3上阵星痕（新手引导专用）
guide_stage,"10101,10102,10103,10117,10118,10112,30201,30101,10320",,指定配置关卡，结算界面不显示再次挑战与下一关按钮
guide_stage_id,99999991,,序章关卡ID
privilege_card,"501,501,30,3,502;502,503,30,3,504;503,505,-1,0,0;201004,601,7,1,602;504,501,30,3,502",0,欧美特权卡（往后增，不可插入）:月卡id，每日奖励邮件ID，有效天数(有效天数填-1=终身)，过期提醒天数，过期提醒邮件id；月卡id，每日奖励邮件ID，有效天数，过期提醒天数，过期提醒邮件id；……
guild_boss_reward_cd,60,,跨天4点前x分钟不可挑战每日boss
guild_boss_reward_week_cd,60,,周排行榜结束前x分钟不可挑战每日boss(周排行榜结束时间根据timecontrol控制)
guild_boss_reward,400,,公会boss首通任务及奖励（mission表的id）
battlefield_switch,"10013,10014,10016",,战败界面跳转目标（对应三个按钮填写UiSwitchID）
announcement_tab_default,2,,游戏公告弹窗默认显示页签控制（int型：1为活动页签，2为系统页签）
runesuit_filter,"1,2,3,4,15,18,20,21",,符文套装过滤
role_level_reset,"1006246,1",,魔女等级交换消耗
rolepet_level_reset,"1006245,1",,星痕等级重置消耗
rolepet_level_reset_level_limit,70,,70级以下星痕重置不消耗材料
player_journey,"player_journey1,5000;player_journey2,5001;player_journey3,5002;player_journey4,5003;player_journey5,5004;player_journey6,5005;player_journey7,5006;player_journey8,5007;player_journey9,5008;player_journey10,5009;player_journey11,5010;player_journey12,5011",,"侍主历练（text1,condition1;text2,condition2......)"
daily_boss_recommend,10,,深渊之域BOSS每个难度推荐数量
daily_boss_rank,1001,,深渊之域排行榜
crunchyroll_mail,"110001,110002,110003",,"cr会员奖励邮件，参数配置：CR会员注册邮件Id,CR会员每日登录邮件id,高级CR会员每日登录邮件id"
rougetower_showcard,3,,肉鸽爬塔，每关展示卡牌数量（几选一）
rougetower_refreshcardcost,"1000002,0;1000002,10;1000002,20;1000002,40;1000002,80;1000002,160",,肉鸽爬塔，每关卡牌刷新消耗（1次道具，1次数量；2次道具，2次数量），配置道具数量=0就是免费，最后一个就是最大消耗
rougetower_refreshlevelcost,"1000002,0;1000002,160",,肉鸽爬塔，每日关卡进度重置消耗（1次道具，1次数量；2次道具，2次数量），配置道具数量=0就是免费，最后一个就是最大消耗
rougetower_skipchapter,3,,肉鸽爬塔，每个赛季可扫荡章节，通关后前x章节均可以扫荡（具体章节id，依照这个参数x，去Timecontrol表OpenTime字段中查找前x个章节）
aplus_question_reward_mail_id,106,,Aplus调查问卷奖励邮件ID
daily_paid_amount_value,99,,每日连续充值计入金额要求，单位（美分）
monsterbattle_ticket,1001029,,魔物列阵匹配成功后消耗的道具，配置ItemID
monsterbattle_warehouse,1000,,魔物列阵魔物仓库上限
monsterbattle_dismantlelmit,100,,魔物列阵，单次分解魔物数量上限
monsterbattle_attrvalue,"1,1,1,1,2",,魔物列阵，资质价值占比换算（计算星级用），配置格式：每点生命占比，攻击占比，防御占比，韧性占比，速度占比
monsterbattle_refund,"1001028,4;1001028,8;1001028,12;1001028,16;1001028,20;1001028,30;1001028,40;1001028,50;1001028,100;1001028,200",,魔物列阵，每星级等级分解返还的道具（最大10级，不足10级的配置以最后一个作为最高等级配置）
monsterbattle_dismantlehint,6,,魔物列阵，达到此星级的魔物在分解时会弹出提醒
monsterbattle_starlock,6,,魔物列阵，开魔物蛋自动上锁的星级
monsterbattle_rollskill_item,"1014001,1;1014001,2;1014001,3;1014001,4;1014001,5;1014001,6;1014001,7;1014001,8;1014001,9;1014001,10;1014001,11;1014001,12;1014001,13;1014001,14",,魔物列阵，特性随机消耗道具。配置格式：道具id，默认消耗；道具id，锁1词条消耗；道具id，锁2词条消耗....
monsterbattle_skill_studyprobability,"100,0;90,10;80,20;70,30;60,40;50,50;40,60;30,70;20,80;10,90",,魔物列阵，特性学习是新增或随机覆盖原有特性的概率控制。配置格式：0技能新增概率，覆盖概率；1技能新增概率，覆盖概率；2技能新增概率，覆盖概率...
monsterbattle_statreforge,"1006701,1;1006702,1;1006703,1",,魔物列阵，资质洗练消耗道具。配置格式：初级道具id，数量；中级道具id，数量；高级道具id，数量...
monsterbattle_statreforge_weight,"50,50,100,100,200,200,150,100,44,5,1;45,45,95,95,195,195,145,95,70,10,3;40,40,90,90,190,190,140,90,100,30,5",,"魔物列阵，洗练资质时的属性权重分布配比,对应上方不同的洗练道具，用分号隔开"
monsterbattle_lineup,"0,70,120",,魔物列阵，波次解锁魔物等级条件
monsterbattle_count,50,,魔物列阵，日志记录数量上限
monsterbattle_skill_limit,15,,魔物列阵，魔物可以拥有的特性数量上限
player_level_health,"50,100123",,先锋服补偿体力功能，参数1：补偿体力值，参数2：补充邮件ID
crunchyroll_pay_age,16,,cr包付费年龄限制，X岁以上才可以付费。int型，直接填年龄
aplus_register_mail,110005,,aplus账号绑定邮件，int型，配置邮件ID
cardpack_paid_gift,"100;2801,1",,"付费送集换卡卡包，每累计充值X美分给对应道具。配置：美分;itemId,num;itemId,num;……"
weapon_unlock,1,,每个星痕自身的专武解锁条件（星痕等级达到X级）
weapon_effect_show,1,,每个专武3d特效解锁等级（专武等级达到X级）
weapon_storypack_unlock,1,,每个专武剧情解锁（觉醒等级达到X级）
weapon_gacha_normal_show,"3015002,3015004,3015006,3015007,3015008,3016009",,专武常驻卡池，展示的6个专武，对应的角色id
show_ad_switch,0,1,cr广告开关控制，0为默认开启，1为关闭
rolepet_reset_change,"1006201,1,1002141;1006202,1,1002141;1006203,1,1002141;1006204,1,1002141;1006205,1,1002141;1006206,1,1002141;1006207,1,1002141;1006101,1,1002103;1006102,1,1002103;1006103,1,1002103;1006104,1,1002103;1006105,1,1002103;1006107,1,1002103;1006106,1,1002103;1006108,1,1002102;1006109,1,1002102;1006110,1,1002102;1006111,1,1002102;1006112,1,1002102;1006113,1,1002102;1006114,1,1002102;1006115,1,1002101;1006116,1,1002101;1006117,1,1002101;1006118,1,1002101;1006119,1,1002101;1006120,1,1002101;1006121,1,1002101",,星痕重置材料转化自选箱(同材料对应多个箱子的情况下开箱获得数量多的箱子放前面）
