"FGT_Char_001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Voice_Char_002_S01_R_Title","Voice_Char_002_S01_R_Gachaop","Voice_Char_002_S01_R_Gachaget","Voice_Char_002_S01_R_FormationIn","Voice_Char_002_S01_R_BattleIn","Voice_Char_002_S01_R_BattleMove","Voice_Char_002_S01_R_BattleVictory","Voice_Char_002_S01_R_BattleDefeat","Voice_Char_002_S01_R_ExSkillUseVoice"
"Char_014_S01_D","Voice_Char_014_S01_D_Title","Voice_Char_014_S01_D_Gachaop","Voice_Char_014_S01_D_Gachaget","Voice_Char_014_S01_D_FormationIn","Voice_Char_014_S01_D_BattleIn","Voice_Char_014_S01_D_BattleMove","Voice_Char_014_S01_D_BattleVictory","Voice_Char_014_S01_D_BattleDefeat","Voice_Char_014_S01_D_ExSkillUseVoice","Voice_Char_014_S01_D_ExSkillHitVoice","Voice_Char_014_S01_D_SkillVoice","Voice_Char_014_S01_D_BattleRetire","Voice_Char_014_S01_D_Title","Voice_Char_014_S01_D_Gachaop","Voice_Char_014_S01_D_Gachaget","Voice_Char_014_S01_D_FormationIn","Voice_Char_014_S01_D_BattleIn","Voice_Char_014_S01_D_BattleMove","Voice_Char_014_S01_D_BattleVictory","Voice_Char_014_S01_D_BattleDefeat","Voice_Char_014_S01_D_ExSkillUseVoice","Voice_Char_014_S01_D_ExSkillHitVoice","Voice_Char_014_S01_D_SkillVoice","Voice_Char_014_S01_D_BattleRetire","Voice_Char_014_S01_D_Title","Voice_Char_014_S01_D_Gachaop","Voice_Char_014_S01_D_Gachaget","Voice_Char_014_S01_D_FormationIn","Voice_Char_014_S01_D_BattleIn","Voice_Char_014_S01_D_BattleMove","Voice_Char_014_S01_D_BattleVictory","Voice_Char_014_S01_D_BattleDefeat","Voice_Char_014_S01_D_ExSkillUseVoice","Voice_Char_014_S01_D_ExSkillHitVoice","","","","","",""
"Char_015_S01_B","Voice_Char_015_S01_B_Title","Voice_Char_015_S01_B_Gachaop","Voice_Char_015_S01_B_Gachaget","Voice_Char_015_S01_B_FormationIn","Voice_Char_015_S01_B_BattleIn","Voice_Char_015_S01_B_BattleMove","Voice_Char_015_S01_B_BattleVictory","Voice_Char_015_S01_B_BattleDefeat","Voice_Char_015_S01_B_ExSkillUseVoice","Voice_Char_015_S01_B_ExSkillHitVoice","Voice_Char_015_S01_B_SkillVoice","Voice_Char_015_S01_B_BattleRetire","Voice_Char_015_S01_B_Title","Voice_Char_015_S01_B_Gachaop","Voice_Char_015_S01_B_Gachaget","Voice_Char_015_S01_B_FormationIn","Voice_Char_015_S01_B_BattleIn","Voice_Char_015_S01_B_BattleMove","Voice_Char_015_S01_B_BattleVictory","Voice_Char_015_S01_B_BattleDefeat","Voice_Char_015_S01_B_ExSkillUseVoice","Voice_Char_015_S01_B_ExSkillHitVoice","Voice_Char_015_S01_B_SkillVoice","Voice_Char_015_S01_B_BattleRetire","Voice_Char_015_S01_B_Title","Voice_Char_015_S01_B_Gachaop","Voice_Char_015_S01_B_Gachaget","Voice_Char_015_S01_B_FormationIn","Voice_Char_015_S01_B_BattleIn","Voice_Char_015_S01_B_BattleMove","Voice_Char_015_S01_B_BattleVictory","Voice_Char_015_S01_B_BattleDefeat","Voice_Char_015_S01_B_ExSkillUseVoice","Voice_Char_015_S01_B_ExSkillHitVoice","","","","","",""
"Char_017_S01_G","Voice_Char_017_S01_G_Title","Voice_Char_017_S01_G_Gachaop","Voice_Char_017_S01_G_Gachaget","Voice_Char_017_S01_G_FormationIn","Voice_Char_017_S01_G_BattleIn","Voice_Char_017_S01_G_BattleMove","Voice_Char_017_S01_G_BattleVictory","Voice_Char_017_S01_G_BattleDefeat","Voice_Char_017_S01_G_ExSkillUseVoice","Voice_Char_017_S01_G_ExSkillHitVoice","Voice_Char_017_S01_G_SkillVoice","Voice_Char_017_S01_G_BattleRetire","Voice_Char_017_S01_G_Title","Voice_Char_017_S01_G_Gachaop","Voice_Char_017_S01_G_Gachaget","Voice_Char_017_S01_G_FormationIn","Voice_Char_017_S01_G_BattleIn","Voice_Char_017_S01_G_BattleMove","Voice_Char_017_S01_G_BattleVictory","Voice_Char_017_S01_G_BattleDefeat","Voice_Char_017_S01_G_ExSkillUseVoice","Voice_Char_017_S01_G_ExSkillHitVoice","Voice_Char_017_S01_G_SkillVoice","Voice_Char_017_S01_G_BattleRetire","Voice_Char_017_S01_G_Title","Voice_Char_017_S01_G_Gachaop","Voice_Char_017_S01_G_Gachaget","Voice_Char_017_S01_G_FormationIn","Voice_Char_017_S01_G_BattleIn","Voice_Char_017_S01_G_BattleMove","Voice_Char_017_S01_G_BattleVictory","Voice_Char_017_S01_G_BattleDefeat","Voice_Char_017_S01_G_ExSkillUseVoice","Voice_Char_017_S01_G_ExSkillHitVoice","","","","","",""
"Char_018_S01_R","Voice_Char_018_S01_R_Title","Voice_Char_018_S01_R_Gachaop","Voice_Char_018_S01_R_Gachaget","Voice_Char_018_S01_R_FormationIn","Voice_Char_018_S01_R_BattleIn","Voice_Char_018_S01_R_BattleMove","Voice_Char_018_S01_R_BattleVictory","Voice_Char_018_S01_R_BattleDefeat","Voice_Char_018_S01_R_ExSkillUseVoice","Voice_Char_018_S01_R_ExSkillHitVoice","Voice_Char_018_S01_R_SkillVoice","Voice_Char_018_S01_R_BattleRetire","Voice_Char_018_S01_R_Title","Voice_Char_018_S01_R_Gachaop","Voice_Char_018_S01_R_Gachaget","Voice_Char_018_S01_R_FormationIn","Voice_Char_018_S01_R_BattleIn","Voice_Char_018_S01_R_BattleMove","Voice_Char_018_S01_R_BattleVictory","Voice_Char_018_S01_R_BattleDefeat","Voice_Char_018_S01_R_ExSkillUseVoice","Voice_Char_018_S01_R_ExSkillHitVoice","Voice_Char_018_S01_R_SkillVoice","Voice_Char_018_S01_R_BattleRetire","Voice_Char_018_S01_R_Title","Voice_Char_018_S01_R_Gachaop","Voice_Char_018_S01_R_Gachaget","Voice_Char_018_S01_R_FormationIn","Voice_Char_018_S01_R_BattleIn","Voice_Char_018_S01_R_BattleMove","Voice_Char_018_S01_R_BattleVictory","Voice_Char_018_S01_R_BattleDefeat","Voice_Char_018_S01_R_ExSkillUseVoice","Voice_Char_018_S01_R_ExSkillHitVoice","","","","","",""
"Char_021_S01_R","Voice_Char_021_S01_R_Title","Voice_Char_021_S01_R_Gachaop","Voice_Char_021_S01_R_Gachaget","Voice_Char_021_S01_R_FormationIn","Voice_Char_021_S01_R_BattleIn","Voice_Char_021_S01_R_BattleMove","Voice_Char_021_S01_R_BattleVictory","Voice_Char_021_S01_R_BattleDefeat","Voice_Char_021_S01_R_ExSkillUseVoice","Voice_Char_021_S01_R_ExSkillHitVoice","Voice_Char_021_S01_R_SkillVoice","Voice_Char_021_S01_R_BattleRetire","Voice_Char_021_S01_R_Title","Voice_Char_021_S01_R_Gachaop","Voice_Char_021_S01_R_Gachaget","Voice_Char_021_S01_R_FormationIn","Voice_Char_021_S01_R_BattleIn","Voice_Char_021_S01_R_BattleMove","Voice_Char_021_S01_R_BattleVictory","Voice_Char_021_S01_R_BattleDefeat","Voice_Char_021_S01_R_ExSkillUseVoice","Voice_Char_021_S01_R_ExSkillHitVoice","Voice_Char_021_S01_R_SkillVoice","Voice_Char_021_S01_R_BattleRetire","Voice_Char_021_S01_R_Title","Voice_Char_021_S01_R_Gachaop","Voice_Char_021_S01_R_Gachaget","Voice_Char_021_S01_R_FormationIn","Voice_Char_021_S01_R_BattleIn","Voice_Char_021_S01_R_BattleMove","Voice_Char_021_S01_R_BattleVictory","Voice_Char_021_S01_R_BattleDefeat","Voice_Char_021_S01_R_ExSkillUseVoice","Voice_Char_021_S01_R_ExSkillHitVoice","","","","","",""
"Char_022_S01_B","Voice_Char_022_S01_B_Title","Voice_Char_022_S01_B_Gachaop","Voice_Char_022_S01_B_Gachaget","Voice_Char_022_S01_B_FormationIn","Voice_Char_022_S01_B_BattleIn","Voice_Char_022_S01_B_BattleMove","Voice_Char_022_S01_B_BattleVictory","Voice_Char_022_S01_B_BattleDefeat","Voice_Char_022_S01_B_ExSkillUseVoice","Voice_Char_022_S01_B_ExSkillHitVoice","Voice_Char_022_S01_B_SkillVoice","Voice_Char_022_S01_B_BattleRetire","Voice_Char_022_S01_B_Title","Voice_Char_022_S01_B_Gachaop","Voice_Char_022_S01_B_Gachaget","Voice_Char_022_S01_B_FormationIn","Voice_Char_022_S01_B_BattleIn","Voice_Char_022_S01_B_BattleMove","Voice_Char_022_S01_B_BattleVictory","Voice_Char_022_S01_B_BattleDefeat","Voice_Char_022_S01_B_ExSkillUseVoice","Voice_Char_022_S01_B_ExSkillHitVoice","Voice_Char_022_S01_B_SkillVoice","Voice_Char_022_S01_B_BattleRetire","Voice_Char_022_S01_B_Title","Voice_Char_022_S01_B_Gachaop","Voice_Char_022_S01_B_Gachaget","Voice_Char_022_S01_B_FormationIn","Voice_Char_022_S01_B_BattleIn","Voice_Char_022_S01_B_BattleMove","Voice_Char_022_S01_B_BattleVictory","Voice_Char_022_S01_B_BattleDefeat","Voice_Char_022_S01_B_ExSkillUseVoice","Voice_Char_022_S01_B_ExSkillHitVoice","","","","","",""
"Char_023_S01_R","Voice_Char_023_S01_R_Title","Voice_Char_023_S01_R_Gachaop","Voice_Char_023_S01_R_Gachaget","Voice_Char_023_S01_R_FormationIn","Voice_Char_023_S01_R_BattleIn","Voice_Char_023_S01_R_BattleMove","Voice_Char_023_S01_R_BattleVictory","Voice_Char_023_S01_R_BattleDefeat","Voice_Char_023_S01_R_ExSkillUseVoice","Voice_Char_023_S01_R_ExSkillHitVoice","Voice_Char_023_S01_R_SkillVoice","Voice_Char_023_S01_R_BattleRetire","Voice_Char_023_S01_R_Title","Voice_Char_023_S01_R_Gachaop","Voice_Char_023_S01_R_Gachaget","Voice_Char_023_S01_R_FormationIn","Voice_Char_023_S01_R_BattleIn","Voice_Char_023_S01_R_BattleMove","Voice_Char_023_S01_R_BattleVictory","Voice_Char_023_S01_R_BattleDefeat","Voice_Char_023_S01_R_ExSkillUseVoice","Voice_Char_023_S01_R_ExSkillHitVoice","Voice_Char_023_S01_R_SkillVoice","Voice_Char_023_S01_R_BattleRetire","Voice_Char_023_S01_R_Title","Voice_Char_023_S01_R_Gachaop","Voice_Char_023_S01_R_Gachaget","Voice_Char_023_S01_R_FormationIn","Voice_Char_023_S01_R_BattleIn","Voice_Char_023_S01_R_BattleMove","Voice_Char_023_S01_R_BattleVictory","Voice_Char_023_S01_R_BattleDefeat","Voice_Char_023_S01_R_ExSkillUseVoice","Voice_Char_023_S01_R_ExSkillHitVoice","","","","","",""
"Char_037_S01_L","Voice_Char_037_S01_L_Title","Voice_Char_037_S01_L_Gachaop","Voice_Char_037_S01_L_Gachaget","Voice_Char_037_S01_L_FormationIn","Voice_Char_037_S01_L_BattleIn","Voice_Char_037_S01_L_BattleMove","Voice_Char_037_S01_L_BattleVictory","Voice_Char_037_S01_L_BattleDefeat","Voice_Char_037_S01_L_ExSkillUseVoice","Voice_Char_037_S01_L_ExSkillHitVoice","Voice_Char_037_S01_L_SkillVoice","Voice_Char_037_S01_L_BattleRetire","Voice_Char_037_S01_L_Title","Voice_Char_037_S01_L_Gachaop","Voice_Char_037_S01_L_Gachaget","Voice_Char_037_S01_L_FormationIn","Voice_Char_037_S01_L_BattleIn","Voice_Char_037_S01_L_BattleMove","Voice_Char_037_S01_L_BattleVictory","Voice_Char_037_S01_L_BattleDefeat","Voice_Char_037_S01_L_ExSkillUseVoice","Voice_Char_037_S01_L_ExSkillHitVoice","Voice_Char_037_S01_L_SkillVoice","Voice_Char_037_S01_L_BattleRetire","Voice_Char_037_S01_L_Title","Voice_Char_037_S01_L_Gachaop","Voice_Char_037_S01_L_Gachaget","Voice_Char_037_S01_L_FormationIn","Voice_Char_037_S01_L_BattleIn","Voice_Char_037_S01_L_BattleMove","Voice_Char_037_S01_L_BattleVictory","Voice_Char_037_S01_L_BattleDefeat","Voice_Char_037_S01_L_ExSkillUseVoice","Voice_Char_037_S01_L_ExSkillHitVoice","","","","","",""
"Char_039_S01_G","Voice_Char_039_S01_G_Title","Voice_Char_039_S01_G_Gachaop","Voice_Char_039_S01_G_Gachaget","Voice_Char_039_S01_G_FormationIn","Voice_Char_039_S01_G_BattleIn","Voice_Char_039_S01_G_BattleMove","Voice_Char_039_S01_G_BattleVictory","Voice_Char_039_S01_G_BattleDefeat","Voice_Char_039_S01_G_ExSkillUseVoice","Voice_Char_039_S01_G_ExSkillHitVoice","Voice_Char_039_S01_G_SkillVoice","Voice_Char_039_S01_G_BattleRetire","Voice_Char_039_S01_G_Title","Voice_Char_039_S01_G_Gachaop","Voice_Char_039_S01_G_Gachaget","Voice_Char_039_S01_G_FormationIn","Voice_Char_039_S01_G_BattleIn","Voice_Char_039_S01_G_BattleMove","Voice_Char_039_S01_G_BattleVictory","Voice_Char_039_S01_G_BattleDefeat","Voice_Char_039_S01_G_ExSkillUseVoice","Voice_Char_039_S01_G_ExSkillHitVoice","Voice_Char_039_S01_G_SkillVoice","Voice_Char_039_S01_G_BattleRetire","Voice_Char_039_S01_G_Title","Voice_Char_039_S01_G_Gachaop","Voice_Char_039_S01_G_Gachaget","Voice_Char_039_S01_G_FormationIn","Voice_Char_039_S01_G_BattleIn","Voice_Char_039_S01_G_BattleMove","Voice_Char_039_S01_G_BattleVictory","Voice_Char_039_S01_G_BattleDefeat","Voice_Char_039_S01_G_ExSkillUseVoice","Voice_Char_039_S01_G_ExSkillHitVoice","","","","","",""
"Char_040_S01_R","Voice_Char_040_S01_R_Title","Voice_Char_040_S01_R_Gachaop","Voice_Char_040_S01_R_Gachaget","Voice_Char_040_S01_R_FormationIn","Voice_Char_040_S01_R_BattleIn","Voice_Char_040_S01_R_BattleMove","Voice_Char_040_S01_R_BattleVictory","Voice_Char_040_S01_R_BattleDefeat","Voice_Char_040_S01_R_ExSkillUseVoice","Voice_Char_040_S01_R_ExSkillHitVoice","Voice_Char_040_S01_R_SkillVoice","Voice_Char_040_S01_R_BattleRetire","Voice_Char_040_S01_R_Title","Voice_Char_040_S01_R_Gachaop","Voice_Char_040_S01_R_Gachaget","Voice_Char_040_S01_R_FormationIn","Voice_Char_040_S01_R_BattleIn","Voice_Char_040_S01_R_BattleMove","Voice_Char_040_S01_R_BattleVictory","Voice_Char_040_S01_R_BattleDefeat","Voice_Char_040_S01_R_ExSkillUseVoice","Voice_Char_040_S01_R_ExSkillHitVoice","Voice_Char_040_S01_R_SkillVoice","Voice_Char_040_S01_R_BattleRetire","Voice_Char_040_S01_R_Title","Voice_Char_040_S01_R_Gachaop","Voice_Char_040_S01_R_Gachaget","Voice_Char_040_S01_R_FormationIn","Voice_Char_040_S01_R_BattleIn","Voice_Char_040_S01_R_BattleMove","Voice_Char_040_S01_R_BattleVictory","Voice_Char_040_S01_R_BattleDefeat","Voice_Char_040_S01_R_ExSkillUseVoice","Voice_Char_040_S01_R_ExSkillHitVoice","","","","","",""
"Char_041_S01_R","Voice_Char_041_S01_R_Title","Voice_Char_041_S01_R_Gachaop","Voice_Char_041_S01_R_Gachaget","Voice_Char_041_S01_R_FormationIn","Voice_Char_041_S01_R_BattleIn","Voice_Char_041_S01_R_BattleMove","Voice_Char_041_S01_R_BattleVictory","Voice_Char_041_S01_R_BattleDefeat","Voice_Char_041_S01_R_ExSkillUseVoice","Voice_Char_041_S01_R_ExSkillHitVoice","Voice_Char_041_S01_R_SkillVoice","Voice_Char_041_S01_R_BattleRetire","Voice_Char_041_S01_R_Title","Voice_Char_041_S01_R_Gachaop","Voice_Char_041_S01_R_Gachaget","Voice_Char_041_S01_R_FormationIn","Voice_Char_041_S01_R_BattleIn","Voice_Char_041_S01_R_BattleMove","Voice_Char_041_S01_R_BattleVictory","Voice_Char_041_S01_R_BattleDefeat","Voice_Char_041_S01_R_ExSkillUseVoice","Voice_Char_041_S01_R_ExSkillHitVoice","Voice_Char_041_S01_R_SkillVoice","Voice_Char_041_S01_R_BattleRetire","Voice_Char_041_S01_R_Title","Voice_Char_041_S01_R_Gachaop","Voice_Char_041_S01_R_Gachaget","Voice_Char_041_S01_R_FormationIn","Voice_Char_041_S01_R_BattleIn","Voice_Char_041_S01_R_BattleMove","Voice_Char_041_S01_R_BattleVictory","Voice_Char_041_S01_R_BattleDefeat","Voice_Char_041_S01_R_ExSkillUseVoice","Voice_Char_041_S01_R_ExSkillHitVoice","","","","","",""
"Char_050_S01_B","Voice_Char_050_S01_B_Title","Voice_Char_050_S01_B_Gachaop","Voice_Char_050_S01_B_Gachaget","Voice_Char_050_S01_B_FormationIn","Voice_Char_050_S01_B_BattleIn","Voice_Char_050_S01_B_BattleMove","Voice_Char_050_S01_B_BattleVictory","Voice_Char_050_S01_B_BattleDefeat","Voice_Char_050_S01_B_ExSkillUseVoice","Voice_Char_050_S01_B_ExSkillHitVoice","Voice_Char_050_S01_B_SkillVoice","Voice_Char_050_S01_B_BattleRetire","Voice_Char_050_S01_B_Title","Voice_Char_050_S01_B_Gachaop","Voice_Char_050_S01_B_Gachaget","Voice_Char_050_S01_B_FormationIn","Voice_Char_050_S01_B_BattleIn","Voice_Char_050_S01_B_BattleMove","Voice_Char_050_S01_B_BattleVictory","Voice_Char_050_S01_B_BattleDefeat","Voice_Char_050_S01_B_ExSkillUseVoice","Voice_Char_050_S01_B_ExSkillHitVoice","Voice_Char_050_S01_B_SkillVoice","Voice_Char_050_S01_B_BattleRetire","Voice_Char_050_S01_B_Title","Voice_Char_050_S01_B_Gachaop","Voice_Char_050_S01_B_Gachaget","Voice_Char_050_S01_B_FormationIn","Voice_Char_050_S01_B_BattleIn","Voice_Char_050_S01_B_BattleMove","Voice_Char_050_S01_B_BattleVictory","Voice_Char_050_S01_B_BattleDefeat","Voice_Char_050_S01_B_ExSkillUseVoice","Voice_Char_050_S01_B_ExSkillHitVoice","","","","","",""
"Char_051_S01_B","Voice_Char_051_S01_B_Title","Voice_Char_051_S01_B_Gachaop","Voice_Char_051_S01_B_Gachaget","Voice_Char_051_S01_B_FormationIn","Voice_Char_051_S01_B_BattleIn","Voice_Char_051_S01_B_BattleMove","Voice_Char_051_S01_B_BattleVictory","Voice_Char_051_S01_B_BattleDefeat","Voice_Char_051_S01_B_ExSkillUseVoice","Voice_Char_051_S01_B_ExSkillHitVoice","Voice_Char_051_S01_B_SkillVoice","Voice_Char_051_S01_B_BattleRetire","Voice_Char_051_S01_B_Title","Voice_Char_051_S01_B_Gachaop","Voice_Char_051_S01_B_Gachaget","Voice_Char_051_S01_B_FormationIn","Voice_Char_051_S01_B_BattleIn","Voice_Char_051_S01_B_BattleMove","Voice_Char_051_S01_B_BattleVictory","Voice_Char_051_S01_B_BattleDefeat","Voice_Char_051_S01_B_ExSkillUseVoice","Voice_Char_051_S01_B_ExSkillHitVoice","Voice_Char_051_S01_B_SkillVoice","Voice_Char_051_S01_B_BattleRetire","Voice_Char_051_S01_B_Title","Voice_Char_051_S01_B_Gachaop","Voice_Char_051_S01_B_Gachaget","Voice_Char_051_S01_B_FormationIn","Voice_Char_051_S01_B_BattleIn","Voice_Char_051_S01_B_BattleMove","Voice_Char_051_S01_B_BattleVictory","Voice_Char_051_S01_B_BattleDefeat","Voice_Char_051_S01_B_ExSkillUseVoice","Voice_Char_051_S01_B_ExSkillHitVoice","","","","","",""
"Char_062_S01_G","Voice_Char_062_S01_G_Title","Voice_Char_062_S01_G_Gachaop","Voice_Char_062_S01_G_Gachaget","Voice_Char_062_S01_G_FormationIn","Voice_Char_062_S01_G_BattleIn","Voice_Char_062_S01_G_BattleMove","Voice_Char_062_S01_G_BattleVictory","Voice_Char_062_S01_G_BattleDefeat","Voice_Char_062_S01_G_ExSkillUseVoice","Voice_Char_062_S01_G_ExSkillHitVoice","Voice_Char_062_S01_G_SkillVoice","Voice_Char_062_S01_G_BattleRetire","Voice_Char_062_S01_G_Title","Voice_Char_062_S01_G_Gachaop","Voice_Char_062_S01_G_Gachaget","Voice_Char_062_S01_G_FormationIn","Voice_Char_062_S01_G_BattleIn","Voice_Char_062_S01_G_BattleMove","Voice_Char_062_S01_G_BattleVictory","Voice_Char_062_S01_G_BattleDefeat","Voice_Char_062_S01_G_ExSkillUseVoice","Voice_Char_062_S01_G_ExSkillHitVoice","Voice_Char_062_S01_G_SkillVoice","Voice_Char_062_S01_G_BattleRetire","Voice_Char_062_S01_G_Title","Voice_Char_062_S01_G_Gachaop","Voice_Char_062_S01_G_Gachaget","Voice_Char_062_S01_G_FormationIn","Voice_Char_062_S01_G_BattleIn","Voice_Char_062_S01_G_BattleMove","Voice_Char_062_S01_G_BattleVictory","Voice_Char_062_S01_G_BattleDefeat","Voice_Char_062_S01_G_ExSkillUseVoice","Voice_Char_062_S01_G_ExSkillHitVoice","","","","","",""
"Char_066_S01_B","Voice_Char_066_S01_B_Title","Voice_Char_066_S01_B_Gachaop","Voice_Char_066_S01_B_Gachaget","Voice_Char_066_S01_B_FormationIn","Voice_Char_066_S01_B_BattleIn","Voice_Char_066_S01_B_BattleMove","Voice_Char_066_S01_B_BattleVictory","Voice_Char_066_S01_B_BattleDefeat","Voice_Char_066_S01_B_ExSkillUseVoice","Voice_Char_066_S01_B_ExSkillHitVoice","Voice_Char_066_S01_B_SkillVoice","Voice_Char_066_S01_B_BattleRetire","Voice_Char_066_S01_B_Title","Voice_Char_066_S01_B_Gachaop","Voice_Char_066_S01_B_Gachaget","Voice_Char_066_S01_B_FormationIn","Voice_Char_066_S01_B_BattleIn","Voice_Char_066_S01_B_BattleMove","Voice_Char_066_S01_B_BattleVictory","Voice_Char_066_S01_B_BattleDefeat","Voice_Char_066_S01_B_ExSkillUseVoice","Voice_Char_066_S01_B_ExSkillHitVoice","Voice_Char_066_S01_B_SkillVoice","Voice_Char_066_S01_B_BattleRetire","Voice_Char_066_S01_B_Title","Voice_Char_066_S01_B_Gachaop","Voice_Char_066_S01_B_Gachaget","Voice_Char_066_S01_B_FormationIn","Voice_Char_066_S01_B_BattleIn","Voice_Char_066_S01_B_BattleMove","Voice_Char_066_S01_B_BattleVictory","Voice_Char_066_S01_B_BattleDefeat","Voice_Char_066_S01_B_ExSkillUseVoice","Voice_Char_066_S01_B_ExSkillHitVoice","","","","","",""
"Char_073_S01_G","Voice_Char_073_S01_G_Title","Voice_Char_073_S01_G_Gachaop","Voice_Char_073_S01_G_Gachaget","Voice_Char_073_S01_G_FormationIn","Voice_Char_073_S01_G_BattleIn","Voice_Char_073_S01_G_BattleMove","Voice_Char_073_S01_G_BattleVictory","Voice_Char_073_S01_G_BattleDefeat","Voice_Char_073_S01_G_ExSkillUseVoice","Voice_Char_073_S01_G_ExSkillHitVoice","Voice_Char_073_S01_G_SkillVoice","Voice_Char_073_S01_G_BattleRetire","Voice_Char_073_S01_G_Title","Voice_Char_073_S01_G_Gachaop","Voice_Char_073_S01_G_Gachaget","Voice_Char_073_S01_G_FormationIn","Voice_Char_073_S01_G_BattleIn","Voice_Char_073_S01_G_BattleMove","Voice_Char_073_S01_G_BattleVictory","Voice_Char_073_S01_G_BattleDefeat","Voice_Char_073_S01_G_ExSkillUseVoice","Voice_Char_073_S01_G_ExSkillHitVoice","Voice_Char_073_S01_G_SkillVoice","Voice_Char_073_S01_G_BattleRetire","Voice_Char_073_S01_G_Title","Voice_Char_073_S01_G_Gachaop","Voice_Char_073_S01_G_Gachaget","Voice_Char_073_S01_G_FormationIn","Voice_Char_073_S01_G_BattleIn","Voice_Char_073_S01_G_BattleMove","Voice_Char_073_S01_G_BattleVictory","Voice_Char_073_S01_G_BattleDefeat","Voice_Char_073_S01_G_ExSkillUseVoice","Voice_Char_073_S01_G_ExSkillHitVoice","","","","","",""
"Char_074_S01_R","Voice_Char_074_S01_R_Title","Voice_Char_074_S01_R_Gachaop","Voice_Char_074_S01_R_Gachaget","Voice_Char_074_S01_R_FormationIn","Voice_Char_074_S01_R_BattleIn","Voice_Char_074_S01_R_BattleMove","Voice_Char_074_S01_R_BattleVictory","Voice_Char_074_S01_R_BattleDefeat","Voice_Char_074_S01_R_ExSkillUseVoice","Voice_Char_074_S01_R_ExSkillHitVoice","Voice_Char_074_S01_R_SkillVoice","Voice_Char_074_S01_R_BattleRetire","Voice_Char_074_S01_R_Title","Voice_Char_074_S01_R_Gachaop","Voice_Char_074_S01_R_Gachaget","Voice_Char_074_S01_R_FormationIn","Voice_Char_074_S01_R_BattleIn","Voice_Char_074_S01_R_BattleMove","Voice_Char_074_S01_R_BattleVictory","Voice_Char_074_S01_R_BattleDefeat","Voice_Char_074_S01_R_ExSkillUseVoice","Voice_Char_074_S01_R_ExSkillHitVoice","Voice_Char_074_S01_R_SkillVoice","Voice_Char_074_S01_R_BattleRetire","Voice_Char_074_S01_R_Title","Voice_Char_074_S01_R_Gachaop","Voice_Char_074_S01_R_Gachaget","Voice_Char_074_S01_R_FormationIn","Voice_Char_074_S01_R_BattleIn","Voice_Char_074_S01_R_BattleMove","Voice_Char_074_S01_R_BattleVictory","Voice_Char_074_S01_R_BattleDefeat","Voice_Char_074_S01_R_ExSkillUseVoice","Voice_Char_074_S01_R_ExSkillHitVoice","","","","","",""
"Char_080_S01_G","Voice_Char_080_S01_G_Title","Voice_Char_080_S01_G_Gachaop","Voice_Char_080_S01_G_Gachaget","Voice_Char_080_S01_G_FormationIn","Voice_Char_080_S01_G_BattleIn","Voice_Char_080_S01_G_BattleMove","Voice_Char_080_S01_G_BattleVictory","Voice_Char_080_S01_G_BattleDefeat","Voice_Char_080_S01_G_ExSkillUseVoice","Voice_Char_080_S01_G_ExSkillHitVoice","Voice_Char_080_S01_G_SkillVoice","Voice_Char_080_S01_G_BattleRetire","Voice_Char_080_S01_G_Title","Voice_Char_080_S01_G_Gachaop","Voice_Char_080_S01_G_Gachaget","Voice_Char_080_S01_G_FormationIn","Voice_Char_080_S01_G_BattleIn","Voice_Char_080_S01_G_BattleMove","Voice_Char_080_S01_G_BattleVictory","Voice_Char_080_S01_G_BattleDefeat","Voice_Char_080_S01_G_ExSkillUseVoice","Voice_Char_080_S01_G_ExSkillHitVoice","Voice_Char_080_S01_G_SkillVoice","Voice_Char_080_S01_G_BattleRetire","Voice_Char_080_S01_G_Title","Voice_Char_080_S01_G_Gachaop","Voice_Char_080_S01_G_Gachaget","Voice_Char_080_S01_G_FormationIn","Voice_Char_080_S01_G_BattleIn","Voice_Char_080_S01_G_BattleMove","Voice_Char_080_S01_G_BattleVictory","Voice_Char_080_S01_G_BattleDefeat","Voice_Char_080_S01_G_ExSkillUseVoice","Voice_Char_080_S01_G_ExSkillHitVoice","","","","","",""
