"LobbyPanel","","","","Profile","","Ap:Gold:Dia","Mail:Notice:Menu",""
"PracticeBook_Normal","","","","BackButton:Bg","HelpBtn_PracticeBook_Group","PracticeBookTicket:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_PracticeBook_Stage_Normal"
"PracticeBook_Challenge","","","","BackButton:Bg","HelpBtn_PracticeBook_Group","PracticeBookTicket:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_PracticeBook_Stage_Challenge"
"UIBattleReadyPanelPracticeBook","","","","BackButton:Bg","HelpBtn_PartyFormation_Group","PracticeBookTicket:Gold:Dia","Notice:Menu:Home",""
"GuideMissionPanel","","","","BackButton:Bg","HelpBtn_GuideMission_Group","Ap:Gold:Dia","Notice:Menu:Home",""
"UIBattleReadyPanelTotalWar","","","","BackButton:Bg","HelpBtn_PartyFormation_Group","TotalwarTicket:Dia","Notice:Menu:Home",""
"UIBattleReadyPanelDungeon","","","","BackButton:Bg","HelpBtn_PartyFormation_Group","DungeonKey:Gold:Dia","Notice:Menu:Home",""
"ShopCoinGoldPanel","Shop_Coin_Gold","","","BackButton:Bg","HelpBtn_CoinShop_Group","Gold","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ShopCoinMemoryPanel","Shop_Coin_Memory","","","BackButton:Bg","HelpBtn_CoinShop_Group","MemoryCoin","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ShopCoinDungeonPanel","Shop_Coin_Dungeon","","","BackButton:Bg","HelpBtn_CoinShop_Group","ExpeditionCoin","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ShopCoinTotalWarPanel","Shop_Coin_TotalWar","","","BackButton:Bg","HelpBtn_CoinShop_Group","TotalWar_01","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ShopCoinArcanaPanel","Shop_Coin_Arcana","","","BackButton:Bg","HelpBtn_CoinShop_Group","ArcanaCoin","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ShopCoinArenaPanel","Shop_Coin_Arena","","","BackButton:Bg","HelpBtn_CoinShop_Group","ArenaCoin","Notice:Menu:Home","Sfx_Bgm_Coinshop"
"ArenaPanel","","","","BackButton:Bg","HelpBtn_Arena_Group","ArenaTicket:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Arena"
"UIBattleReadyPanelArena","","","Arena_Title_AttackFormation","BackButton:Bg","HelpBtn_PartyFormation_Group","ArenaTicket:Gold:Dia","Notice:Menu:Home",""
"Special","","","","BackButton:Bg","","Ap:Gold:Dia","Mail:Menu:Home","Sfx_Bgm_Coinshop"
"TaleStone","","","","BackButton:Bg","","Ap:Gold:Dia","Mail:Menu:Home","Sfx_Bgm_Coinshop"
"Subscription","","","","BackButton:Bg","","Ap:Gold:Dia","Mail:Menu:Home","Sfx_Bgm_Coinshop"
"Normal","","","","BackButton:Bg","","Ap:Gold:Dia","Mail:Menu:Home","Sfx_Bgm_Coinshop"
"BattlePassPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Mail:Menu:Home","Sfx_Bgm_EventTileBreak_Halloween2025"
"StepUp","","","","BackButton:Bg","","Ap:Gold:Dia","Mail:Menu:Home","Sfx_Bgm_Coinshop"
"StepUpNewUser","","","","BackButton:Bg","","Ap:Gold:Dia","Mail:Menu:Home","Sfx_Bgm_Coinshop"
"SecretSafe","","","","BackButton:Bg","","Ap:Gold:Dia","Mail:Menu:Home","Sfx_Bgm_Coinshop"
"StoryEpisodePanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"MemoryStoryPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"EventStoryPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"SubStoryPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"UIBattleReadyPanelArenaDefense","","","Arena_Title_DefenseFormation","BackButton:Bg","HelpBtn_PartyFormation_Group","ArenaTicket:Gold:Dia","Notice:Menu:Home",""
"SummonMainPanelEvent_3GradeFix_TenRoll","","","SummonMainPanel","BackButton:Bg","HelpBtn_Summon_Group","Item_GachaTicket_3GradeFix_TenRoll","Mail:Menu:Home",""
"SummonMainPanelEvent_RedFix_TenRoll","","","SummonMainPanel","BackButton:Bg","HelpBtn_Summon_Group","Item_GachaTicket_RedFix_TenRoll","Mail:Menu:Home",""
"SummonMainPanelEvent_BlueFix_TenRoll","","","SummonMainPanel","BackButton:Bg","HelpBtn_Summon_Group","Item_GachaTicket_BlueFix_TenRoll","Mail:Menu:Home",""
"SummonMainPanelEvent_GreenFix_TenRoll","","","SummonMainPanel","BackButton:Bg","HelpBtn_Summon_Group","Item_GachaTicket_GreenFix_TenRoll","Mail:Menu:Home",""
"SummonMainPanelEvent_GuardianKnightFix_TenRoll","","","SummonMainPanel","BackButton:Bg","HelpBtn_Summon_Group","Item_GachaTicket_GuardianKnightFix_TenRoll","Mail:Menu:Home",""
"SummonMainPanelEvent_MageShooterFix_TenRoll","","","SummonMainPanel","BackButton:Bg","HelpBtn_Summon_Group","Item_GachaTicket_MageShooterFix_TenRoll","Mail:Menu:Home",""
"EventApBoostPanel_N001HeroGrowthBoost","","EventApBoost_N001HeroGrowthBoost","EventApBoostPanel","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"EventApBoost_Shop_Panel_N001HeroGrowthBoost","Shop_HeroGrowthBoost_EventCoin","","EventShop_Panel_Title","BackButton:Bg","","Item_Coin_Event_ApBoost_HeroGrowthBoost","Notice:Menu:Home",""
"EventCommonMissionPanel_N001HeroGrowthBoost","","EventApBoost_N001HeroGrowthBoost","EventMissionPanel","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"EventTileBreakPanel_2025Halloween","","EventTileBreak_Halloween2025","EventTileBreakPanel","BackButton:Bg","HelpBtn_EventTileBreak_Group","Item_Coin_Event_TileBreak_Halloween2025","Notice:Menu:Home","Sfx_Bgm_EventTileBreak_Halloween2025"
"EventCommonMissionPanel_2025Halloween","","EventTileBreak_Halloween2025","EventCommonMissionPanel","BackButton:Bg","HelpBtn_EventTileBreak_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventTileBreak_Halloween2025"
"EventTaggerFindPanel_ETaggerFind001GhostFind","","EventTaggerFind_ETaggerFind001GhostFind","EventTaggerFindPanel","BackButton:Bg","HelpBtn_EA001GhostFind_Group","Item_Coin_EventAdventure_N002OceanSpa_Soap","Notice:Menu:Home","Sfx_Bgm_EventAdv_N002OceanSpa_TaggerFind"
"EventVotePanel_Vote_MessedUpMagicAcademy","","Vote_MessedUpMagicAcademy","EventVotePanel","BackButton:Bg","HelpBtn_EventAdventureGatcha_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Vote"
"CommonShopPanel_Shop_MissionStackClear_2025_Hotspring","Shop_MissionStackClear_2025_Hotspring","","","BackButton:Bg","","Item_Coin_GuideMissionStackClear_Hotspring","Notice:Menu:Home","Sfx_Bgm_EventAdv_N002OceanSpa_Main"
"EventAdventurePanel_EventAdventure_MessedUpMagicAcademy","","EventAdventure_MessedUpMagicAcademy","EventAdventurePanel","BackButton:Bg","HelpBtn_EventAdventure_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Main"
"EventCommonMissionPanel_EventAdventure_MessedUpMagicAcademy","","EventAdventure_MessedUpMagicAcademy","EventCommonMissionPanel","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Main"
"EventStoreEventAdventure_Item_Coin_EventAdventure_Flask","Shop_MessedUpMagicAcademy_Flask","","EventShop_Panel_Title","BackButton:Bg","","Item_Coin_EventAdventure_Flask","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Main"
"EventStoreEventAdventure_Item_Coin_EventAdventure_FlagPen","Shop_MessedUpMagicAcademy_FlagPen","","EventShop_Panel_Title","BackButton:Bg","","Item_Coin_EventAdventure_FlagPen","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_Main"
"EventAdventureStagePanel_EventAdventure_MessedUpMagicAcademy","","EventAdventure_MessedUpMagicAcademy","EventAdventureStagePanel","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_AdvStage"
"UIBattleReadyPanelEventAdventure_EventAdventure_MessedUpMagicAcademy","","EventAdventure_MessedUpMagicAcademy","BattleReadyPanel","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"EventBossStagePanel_EventAdventure_MessedUpMagicAcademy","","EventAdventure_MessedUpMagicAcademy","EventAdventureStagePanel","BackButton:Bg","","Item_EventAdventure_BossTicket","Notice:Menu:Home","Sfx_Bgm_EventAdv_1st_RaidStage"
"UIBattleReadyPanelEventAdventureBoss_EventAdventure_MessedUpMagicAcademy","","EventAdventure_MessedUpMagicAcademy","BattleReadyPanel","BackButton:Bg","","Item_EventAdventure_BossTicket","Notice:Menu:Home",""
"EventAdventurePanel_EventAdventure_OceanSpa","","EventAdventure_OceanSpa","EventAdventurePanel","BackButton:Bg","HelpBtn_EA002OceanSpa_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_N002OceanSpa_Main"
"EventCommonMissionPanel_EventAdventure_OceanSpa","","EventAdventure_OceanSpa","EventCommonMissionPanel","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_N002OceanSpa_Main"
"EventStoreEventAdventure_Item_Coin_EventAdventure_Egg","Shop_OceanSpa_Egg","","EventShop_Panel_Title","BackButton:Bg","","Item_Coin_EventAdventure_N002OceanSpa_Egg","Notice:Menu:Home","Sfx_Bgm_EventAdv_N002OceanSpa_Main"
"EventStoreEventAdventure_Item_Coin_EventAdventure_Towel","Shop_OceanSpa_Towel","","EventShop_Panel_Title","BackButton:Bg","","Item_Coin_EventAdventure_N002OceanSpa_Towel","Notice:Menu:Home","Sfx_Bgm_EventAdv_N002OceanSpa_Main"
"EventStoreEventAdventure_Item_Coin_EventAdventure_Basket","Shop_OceanSpa_Basket","","EventShop_Panel_Title","BackButton:Bg","","Item_Coin_EventAdventure_N002OceanSpa_Basket","Notice:Menu:Home","Sfx_Bgm_EventAdv_N002OceanSpa_Main"
"EventAdventureStagePanel_EventAdventure_OceanSpa","","EventAdventure_OceanSpa","EventAdventureStagePanel","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_EventAdv_N002OceanSpa_Main"
"UIBattleReadyPanelEventAdventure_EventAdventure_OceanSpa","","EventAdventure_OceanSpa","BattleReadyPanel","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"EventBossStagePanel_EventAdventure_OceanSpa","","EventAdventure_OceanSpa","EventAdventureStagePanel","BackButton:Bg","","Item_EventAdventure_N002OceanSpa_BossTicket","Notice:Menu:Home","Sfx_Bgm_EventAdv_N002OceanSpa_Main"
"UIBattleReadyPanelEventAdventureBoss_EventAdventure_OceanSpa","","EventAdventure_OceanSpa","BattleReadyPanel","BackButton:Bg","","Item_EventAdventure_N002OceanSpa_BossTicket:Gold:Dia","Notice:Menu:Home",""
"EventChallengeMissionPanel_EventChallengeMission_Xmas2025","","EventObject_ChallengeMission_Xmas2025","EventObject_ChallengeMission_Xmas2025","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_2025XMas_EventGeneral"
"EventCommonShopPanel_EventChallengeMission_Xmas2025","Shop_ChallengeMission_XMas2025","","EventCommonShopPanel","BackButton:Bg","","Item_Coin_ChallengeMission_XMas2025","Notice:Menu:Home","Sfx_Bgm_2025XMas_EventGeneral"
