id	petStar	petRare	petLv	skin1Lv	skin2Lv	petWeapon	status
20020	2;2;2;2	3;3;3;3	52;52;46;46	10;10;10;10	5;5;5;5	0;0;0;0	1
20021	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
20022	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
20023	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
20024	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
20025	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
20026	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
20027	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
20028	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
20029	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
20030	3;3;3;3	3;3;3;3	54;54;54;54	15;15;15;15	5;5;5;5	0;0;0;0	1
12061	3;3;3	3;3;3	55;55;55	1;1;1	1;1;1	0;0;0	1
12062	3;3;3;3	3;3;3;3	55;55;55;55	1;1;1;1	1;1;1;1	0;0;0;0	1
11000201	6	5	60	1	1	0	1
11000202	6	5	60	1	1	0	1
11000203	6;6;6	5;5;5	60;60;60	1;1;1	1;1;1	0;0;0	1
20031	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20032	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20033	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20034	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20035	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20036	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20037	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20038	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20039	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20040	3;3;3;3	3;3;3;3	60;60;60;60	20;20;20;20	5;5;5;5	0;0;0;0	1
20041	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20042	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20043	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20044	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20045	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20046	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20047	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20048	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20049	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20050	4;4;4;4	3;3;3;3	60;60;60;60	30;30;30;30	5;5;5;5	0;0;0;0	1
20051	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
20052	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
20053	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
20054	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
20055	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
20056	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
20057	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
20058	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
20059	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
20060	4;4;4;4	3;3;3;3	60;60;60;60	50;50;50;50	5;5;5;5	0;0;0;0	1
300001	1	4	30	10	10	0	1
300002	1	5	35	20	20	0	1
300003	1	5	40	30	30	0	1
300004	4;4;4	6;6;6	65;65;65	40;40;40	40;40;40	0;0;0	1
300005	6	8	65	60	60	0	1
300006	4;4;4;6	8;8;8;8	75;75;75;75	40;40;40;60	40;40;40;60	0;0;0;0	1
11000204	6;6	5;5	60;60	1;1	1;1	0;0	1
11000205	6;6	5;5	60;60	1;1	1;1	0;0	1
12150103	6;6	8;8	60;60	1;1	1;1	0;0	1
11000206	6	5	60	1	1	0	1
11000207	6;6	5;5	60;60	1;1	1;1	0;0	1
101	0;0;0;0	3;3;3;3	40;40;40;40	10;10;10;10	10;10;10;10	0;0;0;0	1
102	0;0;0;0	5;5;5;5	60;60;60;60	10;10;10;10	10;10;10;10	0;0;0;0	1
103	0;0;0;0	6;6;6;6	70;70;70;70	10;10;10;10	10;10;10;10	2;2;2;2	1
104	2;2;2;2	6;6;6;6	70;70;70;70	10;10;10;10	10;10;10;10	2;2;2;2	1
105	4;4;4;4	6;6;6;6	70;70;70;70	10;10;10;10	10;10;10;10	4;4;4;4	1
106	6;6;6;6	6;6;6;6	70;70;70;70	10;10;10;10	10;10;10;10	4;4;4;4	1
107	6;6;6;6	6;6;6;6	70;70;70;70	40;40;40;40	40;40;40;40	6;6;6;6	1
108	6;6;6;6	6;6;6;6	70;70;70;70	60;60;60;60	60;60;60;60	10;10;10;10	1
11000208	6;6;6	5;5;5	60;60;60	1;1;1	1;1;1	0;0;0	1
11000209	6;6	5;5	60;60	1;1	1;1	0;0;0	1
11000210	6;1;2;4	5;5;5;5	60;60;60;60	30;20;40;20	1;1;20;1	0;0;0;0	1
11000211	6;4;6;6	5;5;5;5	60;60;60;60	30;20;40;20	1;1;20;1	0;0;0;0	1
11000212	6;6	5;5	60;60	1;1	1;1	0;0	1
11000213	6	5	60	1	1	0	1
11000214	6;6	5;5	60;60	1;1	1;1	0;0	1
11000215	6;6;6	5;5;5	60;60;60	20;60;20	20;60;20	0;8;0	1
11000216	6;6;6	5;5;5	60;60;60	60;60;40	40;60;40	8;8;0	1
11000217	4;6;6	5;5;5	50;60;50	50;60;50	50;60;50	0;8;0	1
11000218	6;6;6;6	5;5;5;5	60;60;60;60	60;60;40;60	40;60;40;60	8;8;0;8	1
10209	1;1	2;2	20;20	1;1	1;1	0;0	1
11000219	4;6;5	5;5;5	60;60;60	40;60;60	40;60;60	20;20;20	1
11000220	6;6	5;5	60;60	60;60	60;60	20;19	1
11000221	4;6;6;4	5;5;5;5	40;60;60;40	20;60;40;20	20;60;40;20	10;20;19;10	1
11000222	6;6;6;6	5;5;5;5	60;60;60;60	60;60;60;60	60;60;60;60	20;20;20;20	1
11000223	6;6	5;5	60;60	60;60	60;60	20;20	1
11000224	6;6	5;5	60;60	60;60	60;60	20;20	1
11000225	6;6;6;6	5;5;5;5	60;60;60	60;60;60;60	60;60;60;60	20;20;20;20	1
11000226	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000227	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000228	6;6;6;6	5;5;5;5	60;60;60	60;60;60;60	60;60;60;60	20;20;20;20	1
11000229	6	5	60	60	60	20	1
11000230	6;6	5;5	60;60	60;60	60;60	20;20	1
11000231	6;6	5;5	60;60	60;60	60;60	20;20	1
11000501	6;6;6	5;5;5	60;60;60	1;1;1	1;1;1	0	1
11000502	6;6;6	5;5;5	60;60;60	1;1;1	1;1;1	0	1
11000503	6;6;6	5;5;5	60;60;60	1;1;1	1;1;1	0	1
11000232	6;6	5;5	60;60	60;60	60;60	20;20	1
11000233	6;6	5;5	60;60	60;60	60;60	20;20	1
11000234	6;6;6;6	5;5;5;5	60;60;60	60;60;60;60	60;60;60;60	20;20;20;20	1
11000504	6	5	60	60	60	20	1
11300904	6	5	60	60	60	20	1
11300923	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000235	6	5	60	60	60	20	1
11000236	6	5	60	60	60	20	1
11000237	6	5	60	60	60	20	1
11000505	6;6	5;5	60;60	60;60	60;60	20;20	1
11000506	6;6	5;5	60;60	60;60	60;60	20;20	1
11000238	6;6	5;5	60;60	60;60	60;60	20;20	1
11000507	6;6	5;5	60;60	60;60	60;60	20;20	1
11000239	6	5	60	60	60	20	1
11000240	6	5	60	60	60	20	1
11000241	6	5	60	60	60	20	1
11000242	6	5	60	60	60	20	1
11000243	6	5	60	60	60	20	1
11000244	6	5	60	60	60	20	1
11000245	6	5	60	60	60	20	1
11000246	6	5	60	60	60	20	1
11000508	6	5	60	60	60	20	1
11000247	6	5	60	60	60	20	1
11000248	6	5	60	60	60	20	1
11000249	6;6	5;5	60;60	60;60	60;60	20;20	1
11000250	6	5	60	60	60	20	1
11000251	6	5	60	60	60	20	1
11000252	6	5	60	60	60	20	1
11000253	6;6	5;5	60;60	60;60	60;60	20;20	1
11000254	6;6	5;5	60;60	60;60	60;60	20;20	1
11000255	6;6	5;5	60;60	60;60	60;60	20;20	1
11000256	6	5	60	60	60	20	1
11000257	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000258	6	5	60	60	60	20	1
11000259	6	5	60	60	60	20	1
11000260	6;6	5;5	60;60	60;60	60;60	20;20	1
11000261	6	5	60	60	60	20	1
11000262	6;6;6;6	5;5	60;60;60;60	60;60;60;60	60;60;60;60	20;20;20;20	1
11000263	6	5	60	60	60	20	1
11000264	6	5	60	60	60	20	1
11000265	6;6	5;5	60;60	60;60	60;60	20;20	1
11000266	6;6;6;6	5;5	60;60;60;60	60;60;60;60	60;60;60;60	20;20;20;20	1
11000267	6	5	60	60	60	20	1
11000268	6;6	5;5	60;60	60;60	60;60	20;20	1
11000269	6;6	5;5	60;60	60;60	60;60	20;20	1
11000270	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000271	6;6	5;5	60;60	60;60	60;60	20;20	1
11000272	6;6	5;5	60;60	60;60	60;60	20;20	1
11000273	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000274	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000275	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000276	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000277	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000278	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000279	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000280	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000281	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000282	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
11000283	6;6;6	5;5;5	60;60;60	60;60;60	60;60;60	20;20;20	1
