id	lineupId	cardSkin	relationLineupId	equipId	Station	catBall	status
20023	904010;112008;101008;114001	90401001;11200801;10100801;11400101	107008;106002;105008;102008	0;0;0;0	1;2;3;4	0	1
20024	904043;904041;106001;103002	90404301;90404101;10600101;10300201	101013;108006;107008;904001	0;0;0;0	1;2;3;4	0	1
20025	108008;106002;111002;112002	10800801;10600201;11100201;11200201	107001;904005;102008;101008	0;0;0;0	1;2;3;4	0	1
20026	904022;904026;904043;908002	90402201;90402601;90404301;90800201	101008;102007;103008;108008	0;0;0;0	1;2;3;4	0	1
20027	101011;104005;103021;107001	10101101;10400501;10302101;10700101	112008;111008;114008;904022	0;0;0;0	1;2;3;4	0	1
20028	113001;114001;106001;102008	11300101;11400101;10600101;10200801	101008;103008;904022;904009	0;0;0;0	1;2;3;4	0	1
20029	105006;104003;107005;904031	10500601;10400301;10700501;90403101	904034;111008;108008;114001	0;0;0;0	1;2;3;4	0	1
20030	101008;114001;904026;904025	10100801;11400101;90402601;90402501	904007;904043;103008;106008	0;0;0;0	1;2;3;4	0	1
12061	105004;106009;107010	10500401;10600901;10701001		0;0;0	1;2;3	0	1
12062	101008;102008;103008;104003	10100801;10200801;10300801;10400301		0;0;0;0	1;2;3;4	0	1
11000201	108006	10800601		0	1	0	1
11000202	106009	10600901		0	1	0	1
11000203	107010;106009;116001	10701001;10600901;11600101		0	1;2;3	0	1
20031	101008;102008;103008;104008	10100801;10200801;10300801;10400801	105008;106008;107008;108008	0;0;0;0	1;2;3;4	0	1
20032	101005;102007;103007;105006	10100501;10200701;10300701;10500601	904009;108008;104005;904001	0;0;0;0	1;2;3;4	0	1
20033	904010;112008;101008;114001	90401001;11200801;10100801;11400101	107008;106002;105008;102008	0;0;0;0	1;2;3;4	0	1
20034	904043;904041;106001;103002	90404301;90404101;10600101;10300201	101013;108006;107008;904001	0;0;0;0	1;2;3;4	0	1
20035	108008;106002;111002;112002	10800801;10600201;11100201;11200201	107001;904005;102008;101008	0;0;0;0	1;2;3;4	0	1
20036	904022;904026;904043;908002	90402201;90402601;90404301;90800201	101008;102007;103008;108008	0;0;0;0	1;2;3;4	0	1
20037	101011;104005;103021;107001	10101101;10400501;10302101;10700101	112008;111008;114008;904022	0;0;0;0	1;2;3;4	0	1
20038	113001;114001;106001;102008	11300101;11400101;10600101;10200801	101008;103008;904022;904009	0;0;0;0	1;2;3;4	0	1
20039	105006;104003;107005;904031	10500601;10400301;10700501;90403101	904034;111008;108008;114001	0;0;0;0	1;2;3;4	0	1
20040	101008;114001;904026;904025	10100801;11400101;90402601;90402501	904007;904043;103008;106008	0;0;0;0	1;2;3;4	0	1
20041	101008;102008;103008;104008	10100801;10200801;10300801;10400801	105008;106008;107008;108008	0;0;0;0	1;2;3;4	0	1
20042	101005;102007;103007;105006	10100501;10200701;10300701;10500601	904009;108008;104005;904001	0;0;0;0	1;2;3;4	0	1
20043	904010;112008;101008;114001	90401001;11200801;10100801;11400101	107008;106002;105008;102008	0;0;0;0	1;2;3;4	0	1
20044	904043;904041;106001;103002	90404301;90404101;10600101;10300201	101013;108006;107008;904001	0;0;0;0	1;2;3;4	0	1
20045	108008;106002;111002;112002	10800801;10600201;11100201;11200201	107001;904005;102008;101008	0;0;0;0	1;2;3;4	0	1
20046	904022;904026;904043;908002	90402201;90402601;90404301;90800201	101008;102007;103008;108008	0;0;0;0	1;2;3;4	0	1
20047	101011;104005;103021;107001	10101101;10400501;10302101;10700101	112008;111008;114008;904022	0;0;0;0	1;2;3;4	0	1
20048	113001;114001;106001;102008	11300101;11400101;10600101;10200801	101008;103008;904022;904009	0;0;0;0	1;2;3;4	0	1
20049	105006;104003;107005;904031	10500601;10400301;10700501;90403101	904034;111008;108008;114001	0;0;0;0	1;2;3;4	0	1
20050	101008;114001;904026;904025	10100801;11400101;90402601;90402501	904007;904043;103008;106008	0;0;0;0	1;2;3;4	0	1
20051	101008;102008;103008;104008	10100801;10200801;10300801;10400801	105008;106008;107008;108008	0;0;0;0	1;2;3;4	0	1
20052	101005;102007;103007;105006	10100501;10200701;10300701;10500601	904009;108008;104005;904001	0;0;0;0	1;2;3;4	0	1
20053	904010;112008;101008;114001	90401001;11200801;10100801;11400101	107008;106002;105008;102008	0;0;0;0	1;2;3;4	0	1
20054	904043;904041;106001;103002	90404301;90404101;10600101;10300201	101013;108006;107008;904001	0;0;0;0	1;2;3;4	0	1
20055	108008;106002;111002;112002	10800801;10600201;11100201;11200201	107001;904005;102008;101008	0;0;0;0	1;2;3;4	0	1
20056	904022;904026;904043;908002	90402201;90402601;90404301;90800201	101008;102007;103008;108008	0;0;0;0	1;2;3;4	0	1
20057	101011;104005;103021;107001	10101101;10400501;10302101;10700101	112008;111008;114008;904022	0;0;0;0	1;2;3;4	0	1
20058	113001;114001;106001;102008	11300101;11400101;10600101;10200801	101008;103008;904022;904009	0;0;0;0	1;2;3;4	0	1
20059	105006;104003;107005;904031	10500601;10400301;10700501;90403101	904034;111008;108008;114001	0;0;0;0	1;2;3;4	0	1
20060	101008;114001;904026;904025	10100801;11400101;90402601;90402501	904007;904043;103008;106008	0;0;0;0	1;2;3;4	0	1
300001	102008	10200801	0	0	1	1	1
300002	109008	10900801	0	0	1	1	1
300003	109008	10900801	0	0	1	1	1
300004	140008;102008;108008	14000801;10200801;10800801	0	0;0;0	1;2;3	1	1
300005	140008	14000801	0	0	1	1	1
300006	101008;103008;104003;140008	10100801;10300801;10400301;14000801	0	0;0;0;0	1;2;3;4	1	1
11000204	129001;113001	12900101;11300101	0;0	0;0	1;2	0	1
11000205	140008;108006	14000801;10800601	0;0	0;0	1;2	0	1
12150103	109002;111002	10900201;11100201	0;0	0;0	1;2	0	1
11000206	109002	10900201	0	0	1	1	1
11000207	112002;127008	11200201;12700801	0;0	0;0	1;2	0	1
101	101018;103009;104016;102012	10101801;10300901;10401601;10201201		2002;2001;2001;2002	1;2;3;4	0	1
102	101018;103009;104016;102012	10101801;10300901;10401601;10201201		2002;2001;2001;2002	1;2;3;4	0	1
103	101018;103009;104016;102012	10101801;10300901;10401601;10201201		2002;2001;2001;2002	1;2;3;4	0	1
104	101018;103009;104016;102012	10101801;10300901;10401601;10201201		2002;2001;2001;2002	1;2;3;4	0	1
105	101018;103009;104016;102012	10101801;10300901;10401601;10201201		2002;2001;2001;2002	1;2;3;4	0	1
106	101018;103009;104016;102012	10101801;10300901;10401601;10201201		2002;2001;2001;2002	1;2;3;4	0	1
107	101018;103009;104016;102012	10101801;10300901;10401601;10201201		2002;2001;2001;2002	1;2;3;4	0	1
108	101018;103009;104016;102012	10101801;10300901;10401601;10201201		2002;2001;2001;2002	1;2;3;4	0	1
11000208	121008;106009;114002	12100801;10600901;11400201			1;2;3	0	1
11000209	113002;114002	11300201;11400201			1;2	0	1
11000210	138008	13800801			1	0	1
11000211	108006;103021;102021;135008	10800601;10302101;10202101;13500801			1;2;3;4	0	1
11000212	803008;802008	80300801;80200801			1;2	0	1
11000213	802008	80200801			1	0	1
11000214	127001;140008	12700101;14000801			1;2	0	1
11000215	136008;802008;110008	13600801;80200801;11000801			1;2;3	0	1
11000216	108006;103009;102012	10800601;10300901;10201201			1;2;3	0	1
11000217	103009;104016;102012	10300901;10401601;10201201			1;2;3	0	1
11000218	103009;104016;102012;101018	10300901;10401601;10201201;10101801			1;2;3;4	0	1
10209	103008;102008	10300801;10200801		0	1;2	0	1
11000219	140008;144001;113001	14000801;14400101;11300101			1;2;3	0	1
11000220	803008;802008	80300801;80200801			1;2	0	1
11000221	117008;802008;803008;110008	11700801;80200801;80300801;11000801			1;2;3;4	0	1
11000222	107010;106009;116001;141008	10701001;10600901;11600101;14100801		0	1;2;3;4	0	1
11000223	805008;804008	80500801;80400801		0	1;2	0	1
11000224	804008;805008	80400801;80500801		0	1;2	0	1
11000225	804008;805008;141008;125008	80400801;80500801;14100801;12500801		0	1;2;3;4	0	1
11000226	123008;119008;141008	12300801;11900801;14100801		0	1;2;3	0	1
11000227	119008;123008;141008	11900801;12300801;14100801		0	1;2;3	0	1
11000228	127001;104001;103003;117008	12700101;10400101;10300301;11700801		0	1;2;3;4	0	1
11000229	103017	10301701		0	1	0	1
11000230	103017;102018	10301701;10201801		0	1;2	0	1
11000231	103017;101012	10301701;10101201		0	1;2	0	1
11000501	111002;108006	11100250;10800601		0	1;2	0	1
11000502	113001;114001	11300102;11400101		0	1;2	0	1
11000503	113001;114001	11300101;11400102		0	1;2	0	1
11000232	149008;152008	14900801;15200801		0	1;2	0	1
11000233	143008;152008	14300801;15200801		0	1;2	0	1
11000234	143008;149008;152008;122008	14300801;14900801;15200801;12200801		0	1;2;3;4	0	1
11000504	103021	10302150		0	1	0	1
11300904	119008	11900801		1002	1	0	1
11300923	119008;133008;123008	11900801;13300801;12300801		1002;1002;1002	1;2;3	0	1
11000235	133008	13300801		0	1	0	1
11000236	119008	11900801		0	1	0	1
11000237	123008	12300801		0	1	0	1
11000505	127001;140008	12700150;14000801			1;2	0	1
11000506	136008;108006	13600850;10800601			1;2	0	1
11000238	139008;103021	13900801;10302101			1;2	0	1
11000507	108006;135008	10800601;13500850			1;2	0	1
11000239	104013	10401301			1	0	1
11000240	153008	15300801			1	0	1
11000241	151008	15100801			1	0	1
11000242	148008	14800801			1	0	1
11000243	125008	12500801			1	0	1
11000244	154008	15400801			1	0	1
11000245	803001	80300101			1	0	1
11000246	146008	14600801			1	0	1
11000508	133008	13300850			1	0	1
11000247	126008	12600801			1	0	1
11000248	159008	15900801			1	0	1
11000249	147008;159008	14700801;15900801			1;2	0	1
11000250	103012	10301201			1	0	1
11000251	126008	12600801			1	0	1
11000252	131001	13100101			1	0	1
11000253	160008;140008	16000801;14000801			1;2	0	1
11000254	161008;140008	16100801;14000801			1;2	0	1
11000255	156008;157008	15600801;15700801			1;2	0	1
11000256	157008	15700801			1	0	1
11000257	158008;102005;157008	15800801;10200501;15700801			1;2;3	0	1
11000258	162008	16200801			1	0	1
11000259	163008	16300801			1	0	1
11000260	132008;163008	13200801;16300801			1;2	0	1
11000261	164008	16400801			1	0	1
11000262	155008;164008;140008;103005	15500801;16400801;14000801;10300501			1;2;3;4	0	1
11000263	145008	14500801			1	0	1
11000264	165008	16500801			1	0	1
11000265	135002;165008	13500201;16500801			1;2	0	1
11000266	144002;135002;103021;165008	14400201;13500201;10302101;16500801			1;2;3;4	0	1
11000267	166008	16600801			1	0	1
11000268	103010;166008	10301001;16600801		1002;1002	1;2	0	1
11000269	167008;166008	16700801;16600801		1002;1002	1;2	0	1
11000270	102017;101002;108006	10201701;10100201;10800601		1002;1002;1002	1;2;3	0	1
11000271	104004;164008	10400401;16400801		1002;1002	1;2	0	1
11000272	104004;170008	10400401;17000801		1002;1002	1;2	0	1
11000273	104004;170008;102013	10400401;17000801;10201301		1002;1002;1002	1;2;3	0	1
11000274	104002;102017;167008	10400201;10201701;16700801		1002;1002;1002	1;2;3	0	1
11000275	169008;157008;103010	16900801;15700801;10301001		1002;1002;1002	1;2;3	0	1
11000276	103011;169008;157008	10301101;16900801;15700801		1002;1002;1002	1;2;3	0	1
11000277	171008;169008;103010	17100801;16900801;10301001		1002;1002;1002	1;2;3	0	1
11000278	104002;102017;141008	10400201;10201701;14100801		1002;1002;1002	1;2;3	0	1
11000279	106005;157008;171008	10600501;15700801;17100801		1002;1002;1002	1;2;3	0	1
11000280	172008;169008;155008	17200801;16900801;15500801		1002;1002;1002	1;2;3	0	1
11000281	173008;172008;155008	17300801;17200801;15500801		1002;1002;1002	1;2;3	0	1
11000282	106005;157008;162008	10600501;15700801;16200801		1002;1002;1002	1;2;3	0	1
11000283	102010;172008;173008	10201001;17200801;17300801		1002;1002;1002	1;2;3	0	1
