id	activetyId	regionLevel	type	unlockItem	unlockNum	unlockPlot	pos	endFlag	plotId	plotImage	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	plotDesc	plotDesc_zh_TW	plotDesc_en_UK	plotDesc_ja_JP	plotDesc_ko_KR	plotDesc_th_TH
131	1	1	2	9000045	50	0	3	0	3002130	114:pt_bg_lock_001	1	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	调查官，一起去看神奇的海豚吗？	調查官，一起去看神奇的海豚嗎？	Hey, want to see the dolphins?	調査官さん、不思議なイルカを見に行きませんか？	조사관님, 신기한 돌고래 보러 같이 갈래요?	คุณผู้ตรวจการคะ​ เราไปดู​โลมา​มหัศจรรย์​ด้วยกัน​มั้ยคะ​?​
132	1	1	2	9000045	100	131	3	0	3002140	114:pt_bg_lock_001	1	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	如果可以邀请它们一起参赛就好了……	如果可以邀請它們一起參賽就好了……	Wish we could get them to join the race...	一緒に大会に出てもらえたらいいのですが……	가능하다면, 함께 대회에 참가할 수 있으면 좋겠네요……	ถ้า​ชวน​พวก​มัน​มา​แข่ง​ด้วยกัน​ได้​ก็​คง​ดี​นะคะ...​
133	1	1	2	9000045	150	132	3	0	3002150	114:pt_bg_lock_001	1	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	要认识新朋友了么？	要認識新朋友了嗎？	Ooh—new friends?	新しい友達に出会えるのかな？	새로운 친구를 만나게 되는 걸까요?	จะ​ทำความรู้จัก​กับ​เพื่อน​ใหม่​แล้ว​เหรอคะ?​
134	1	1	2	9000045	200	133	3	1	3002160	114:pt_bg_lock_001	1	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	原住民传说里，竟隐藏着这样的秘密……	原住民傳說裡，竟隱藏著這樣的秘密……	So the island legends were hiding this...	先住民の伝承に、こんな秘密が隠されていたなんて……	원주민 전설 속에, 이런 비밀이 숨어 있었다니……	ตำนาน​ของ​ชนพื้นเมือง​ มี​ความลับ​แบบนี้​ซ้อนไว้​เหรอเนี่ย...​
141	1	1	2	9000045	50	0	4	0	3002050	114:pt_bg_lock_002	1	非天	非天	Asura	アスラ	아수라	อาสึระ	调查官……要吃冰镇西瓜吗？	調查官……要吃冰鎮西瓜嗎？	Inspector... want some ice-cold watermelon?	調査官……冷やしスイカ、食べますか？	조사관님…… 차갑게 식힌 수박 드실래요?	ผู้ตรวจ​กา​ร.​..​ อยาก​กิน​แตงโม​เย็น​ๆ​ หน่อยมั้ย​?​
142	1	1	2	9000045	100	141	4	0	3002060	114:pt_bg_lock_002	1	非天	非天	Asura	アスラ	아수라	อาสึระ	这么多漂浮物……调查官，情况不对！	這麼多漂浮物……調查官，情況不對！	That's a lot of debris... Something's wrong.	漂着物がこんなに……調査官、様子がおかしい！	이렇게 많은 부유물…… 조사관님, 상황이 이상해요!	มี​อะไร​ลอย​เต็มไปหมด​เลย​...​ คุณผู้ตรวจการ​ สถานการณ์​ไม่​ปกติ​แล้ว​!​
143	1	1	2	9000045	150	142	4	0	3002070	114:pt_bg_lock_002	1	非天	非天	Asura	アスラ	아수라	อาสึระ	看起来事情没那么简单……	看起來事情沒那麼簡單……	Yeah... this isn't as simple as it looks.	どうやら、そんなに単純な話じゃなさそうだ……	보아하니, 일이 그렇게 간단하진 않겠네요……	ดูเหมือนว่า​เรื่อง​นี้​จะ​ไม่​ง่าย​อย่าง​ที่​คิด​...​
144	1	1	2	9000045	200	143	4	1	3002080	114:pt_bg_lock_002	1	非天	非天	Asura	アスラ	아수라	อาสึระ	接下来，就是完成之前的约定……	接下來，就是完成之前的約定……	Alright. Time to keep our promise.	次は、あの約束を果たす番だ……	이제, 전에 했던 약속을 지킬 차례네요……	ต่อไป ​ก็​คือ​การทำตาม​สัญญา​ก่อนหน้านี้​สินะ...​
191	1	1	3	9000045	200	114;124;134;144	9	0	3002210		1	终章	終章	Final Act	終章	종장	บทสุดท้าย	日暮时分，小队成员邀请你去一个特别的地方。闭上眼睛，你选择一位小队成员引导自己前往目的地。途中你回忆起近日种种，心中已经有了答案。到达目的地，眼前布置精巧的凉亭里摆满美食，是大家给你准备的惊喜。	日暮時分，小隊成員邀請你去一個特別的地方。閉上眼睛，你選擇一位小隊成員引導自己前往目的地。途中你回憶起近日種種，心中已經有了答案。到達目的地，眼前佈置精巧的涼亭裡擺滿美食，是大家給你準備的驚喜。	As dusk settled, your squad members invited you to a special location. With your eyes closed, you chose one of them to guide you. Reflecting on recent events, you already felt you had the answer in your heart. When you arrived, you were greeted by a beautifully decorated pavilion filled with delicious food—a surprise your squad had prepared just for you.	夕暮れの時、チームメンバーはあなたを特別な場所へと誘った。目を閉じ、一人の仲間を選び、その導きに身を委ねる。その途中、ここ数日の出来事が頭をよぎり、心の中にはすでに答えが芽生えていた。目的地に辿り着き、目を開けると、そこには精巧に飾られた海辺の東屋があった。中には豪華な料理がいっぱい。それは皆があなたのために用意したサプライズだった。	해 질 무렵, 베이커캣 팀원들은 당신을 특별한 장소로 초대한다. 눈을 감은 채, 당신은 한 명의 팀원을 선택해 안내를 받으며 목적지로 향한다. 그 과정에서 최근의 일들이 떠오르고, 당신의 마음속에는 이미 답이 자리 잡고 있다. 도착한 곳에는 정성스럽게 꾸며진 정자와 가득 차려진 음식들이 있었고, 그것은 모두가 준비한 깜짝 선물이었다.	ใน​ยาม​พลบค่ำ​ กลุ่ม​สมาชิก​เชิญ​คุณ​ไป​ยัง​สถานที่​พิเศษ​ ปิด​ตา​ลง​ คุณ​เลือก​สมาชิก​คน​หนึ่ง​ให้​พา​คุณ​ไป​ยัง​จุดหมาย​ ใน​ระหว่างทาง​ คุณ​ได้​ย้อน​คิดถึง​เหตุการณ์​ที่ผ่านมา​ใน​ช่วงนี้​ และ​ภายในใจ​ของ​คุณ​ก็​มี​คำตอบ​แล้ว​ เมื่อ​ถึง​จุดหมาย​ คุณ​พบ​กับ​ศาลา​กลางแจ้ง​ที่​ตกแต่ง​อย่าง​ประณีต​และ​เต็มไปด้วย​อาหาร​ เป็น​เซอร์ไพรส์​ที่​ทุกคน​เตรียม​ให้​คุณ​
192	1	1	3	9000045	200	191	9	0	3002220		1	终章	終章	Final Act	終章	종장	บทสุดท้าย	吹着海风，你们边吃边聊，期待着传说中的萤海流光，讨论中你们拼凑出这种现象的成因——新海市自然产生的情绪粒子随着风雨汇入大海，而信风未至，情绪粒子滞留在此，浮游生物在消解情绪粒子时，释放出了流光。	吹著海風，你們邊吃邊聊，期待著傳說中的螢海流光，討論中你們拼湊出這種現象的成因——新海市自然產生的情緒粒子隨著風雨匯入大海，而信風未至，情緒粒子滯留在此，浮游生物在消解情緒粒子時，釋放出了流光。	Enjoying the sea breeze, you feasted and chatted while eagerly anticipating the legendary Sea of Stars. In the course of your discussion, you pieced together the cause of this phenomenon: the natural Pathos Particles produced in Catto City were carried by wind and rain into the sea. However, due to the lack of trade winds, the Pathos Particles remained, allowing bioluminescent plankton to thrive and glow as they consumed them.	潮風に吹かれながら食卓を囲み、語らいの中で、噂の絶景「蛍海」を待つ。やがて会話は、この不思議な現象の原因に触れる。新海市で自然に生まれたエモーション粒子が、雨風に乗って海へと流れ込み、本来訪れるはずだった貿易風が吹かなかったことで、エモーション粒子はこの海域に留まった。粒子を分解するプランクトンが、結果として光を生み出したのだと。	바닷바람을 맞으며 식사를 나누는 동안, 당신들은 전설 속의 형광 바다를 기다리며 이야기를 나눈다. 대화를 통해 이 현상의 원인도 점차 밝혀진다. 뉴오션 시티에서 자연적으로 발생한 이모션 파티클이 바람과 비를 타고 바다로 흘러들었지만, 신풍이 오지 않아 이곳에 머물렀고, 플랑크톤이 이모션 파티클을 분해하는 과정에서 유광을 방출했다는 것이다.	ท่ามกลาง​สาย​ลมทะเล​ พวกคุณ​ทานอาหาร​และ​พูดคุย​กัน​ โดย​หวัง​จะ​ได้​เห็น​ปรากฏการณ์​ที่​ถูก​เล่าขาน​กัน​มา​อย่าง​ทะเลเรืองแสงดาว​ ท่ามกลาง​การ​พูดคุย​กัน​ คุณ​และ​เพื่อน​ๆ​ พยายาม​ปะติดปะต่อ​เหตุผล​ของ​ปรากฏการณ์​นี้​ โดย​สันนิษฐาน​ว่า​ เป็นผล​มาจาก​การ​ที่​อนุภาค​พา​โธส​ธรรมชาติ​ของ​เมือง​แค​ทโตะ​ ซิตี้​ รวมตัว​กับ​ลม​ฝน​แล้ว​ไหล​ลง​ไป​สู่​ทะเล​ และ​เมื่อ​ลม​ตามฤดูกาล​ไม่​มา​ อนุภาค​พา​โธส​จึง​ค้าง​อยู่​ที่นี่​ เมื่อ​สัตว์น้ำ​ขนาดเล็ก​ทำการ​ย่อยสลาย​อนุภาค​เหล่านี้​ จึง​ปล่อยแสง​ไหลเวียน​ออกมา​
193	1	1	3	9000045	200	192	9	0	3002230		1	终章	終章	Final Act	終章	종장	บทสุดท้าย	你们在海岸漫步，海水漫过脚腕，十分舒适。原来流光中蕴含纯净绪能，对人类和猫族都有益处。海豚也对绪能敏感，所以会被流光吸引，巧合之下拯救了原住民。言谈间，你确定了整个假期都是小队特意为你而安排的。	你們在海岸漫步，海水漫過腳腕，十分舒適。原來流光中蘊含純淨緒能，對人類和貓族都有益處。海豚也對緒能敏感，所以會被流光吸引，巧合之下拯救了原住民。言談間，你確定了整個假期都是小隊特意為你而安排的。	Strolling along the shore, you felt the seawater lapping at your ankles, a refreshing sensation. You learned that the bioluminescence contained pure Pathos Energy, beneficial to both humans and Felinians. Dolphins, sensitive to Pathos Energy, were drawn to the glow, which fortuitously aided the indigenous people. In your conversation, you realized that the entire vacation had been specially arranged by your squad for you.	海岸で散策する二人。海水が足首を優しく包む。その心地よさに、思わず息が緩む。流光には純粋なエネルギーが含まれており、人間やフェリニアンスの心に良い影響を与えるという。エネルギーに敏感なイルカがこの光に惹かれ、偶然にも原住民たちを救った。語らいの中で、あなたは確信する。この休暇のすべてが、チームの仲間たちが、あなたのために用意されたものだったのだと。	당신들은 해안을 따라 걸으며, 발목을 스치는 바닷물을 느낀다. 무척 편안하다. 알고 보니 그 유광에는 순수한 이모션 에너지가 담겨 있어 인간과 캣족 모두에게 이로운 영향을 준다. 돌고래 또한 이모션 에너지에 민감해 유광에 이끌렸고, 그 우연 속에서 원주민들을 구하게 되었던 것이다. 이야기를 나누는 사이, 당신은 이번 휴가 전체가 팀원들이 당신을 위해 특별히 준비한 것임을 확신하게 된다.	พวกคุณ​เดินเล่น​อยู่​ริม​ชายหาด​ น้ำทะเล​ไหน​ผ่าน​ข้อเท้า​ ทำให้​รู้สึก​สบาย​มาก​ๆ​ ที่จริง​แล้ว​ แสง​นั้น​เต็มไปด้วย​พลังงาน​พา​โธส​บริสุทธิ์​ ซึ่ง​มีประโยชน์​ทั้ง​กับ​มนุษย์​และ​เผ่า​แมว​ พวก​โลมา​เอง​ก็​ไว​ต่อ​พลังงาน​พา​โธส​ จึง​มัก​ถูก​ดึงดูด​ไป​ที่​แสง​นั่น​ และ​ได้​ช่วยเหลือ​ชาวพื้นเมือง​โดยบังเอิญ​ ขณะ​สนทนา​ คุณ​ก็ได้​รู้​ว่า​ทั้งหมด​ใน​ช่วง​วันหยุด​นี้​เป็น​การจัดเตรียม​โดย​ทีม​ของ​คุณ​เพื่อ​คุณ​โดยเฉพาะ​
194	1	1	3	9000045	200	193	9	0	3002240		1	终章	終章	Final Act	終章	종장	บทสุดท้าย	其实你早就提前加班加点，想空出时间为小队安排假期，而小白则见证了这次的双向奔赴。在萤海流光的美景下，众人期待着比赛日的到来。你招呼小队围成一圈，大家伸出手交叠在一起，为贝克猫小队鼓劲加油。	其實你早就提前加班加點，想空出時間為小隊安排假期，而小白則見證了這次的雙向奔赴。在螢海流光的美景下，眾人期待著比賽日的到來。你招呼小隊圍成一圈，大家伸出手交疊在一起，為貝克貓小隊鼓勁加油。	In reality, you had been working overtime to free up time for planning the squad's vacation, a fact that Shiro had noticed. Under the stunning sight of the Sea of Stars, everyone looked forward to the competition day. You called the squad to form a circle, and together, you all extended your hands, cheering for the Baker Squad.	実はあなた自身も、事前に無理を重ねて仕事を片付け、この時間を捻出しようとしていた。その「互いの思い遣り」を、シロは静かに見届けていた。幻の絶景「蛍海」を前に、一行は間近に迫る大会の日を思い描く。あなたはチームメンバーを集め、円陣を組んだ。チームベイカーキャットの健闘を祈って、みんなが声を合わせた。	사실 당신은 이미 야근을 거듭하며 시간을 비워 팀을 위한 휴가를 마련하려 했고, 화이트는 그 쌍방의 마음이 오가는 과정을 모두 지켜보고 있었다. 형광 바다의 아름다운 풍경 아래에서, 모두는 다가올 경기일을 기대한다. 당신은 팀원들을 불러 원을 만들고, 모두가 손을 포개어 베이커캣 팀을 응원하며 기합을 넣는다.	ที่จริง​แล้ว​ คุณ​ได้​ทำงาน​ล่วงเวลา​มา​ก่อน​แล้ว​ เพื่อให้​มี​เวลา​วางแผน​ให้​กับ​ทีม​ใน​ช่วง​วันหยุด​ และ​ชิ​โระ​ก็ได้​เป็น​พยาน​ใน​ความพยายาม​ของ​ทั้งสองฝ่าย​ ท่ามกลาง​ความงดงาม​ของ​ทะเลเรืองแสงดาว​ ทุกคน​ต่าง​ก็​รอคอย​วัน​แข่งขัน​ที่จะ​มาถึง​ คุณ​เชิญชวน​ให้​ทุกคน​มา​นั่ง​เป็น​วงกลม​และ​ยื่นมือ​ออก​ไป​ทับซ้อน​กัน​เพื่อ​เป็นการ​ให้กำลังใจ​แก่​ทีม​เบเกอร์​
195	1	1	3	9000045	200	194	9	1	3002250		1	终章	終章	Final Act	終章	종장	บทสุดท้าย	又是一个风雨日，贝克街的猫咖啡厅，电视里正播报着新闻：天气转凉，新海市进入秋季，而白金海岸的萤海流光奇景也随着暑热一同消散了。你看着锦标赛时拍下的照片，将与小队一起度过的这个美好夏日珍藏在心底。	又是一個風雨日，貝克街的貓咖啡廳，電視裡正播報著新聞：天氣轉涼，新海市進入秋季，而白金海岸的螢海流光奇景也隨著暑熱一同消散了。你看著錦標賽時拍下的照片，將與小隊一起度過的這個美好夏日珍藏在心底。	On another rainy day at Baker's Cafe, the news reported a cool change in weather, signaling that Catto City had entered autumn. The spectacular Sea of Stars at the Platinum Coast had faded along with the summer heat. As you looked through the photos taken during the championship, you cherished the wonderful summer spent with your squad.	そして、再び雨の日。ベイカーキャットカフェのテレビでは、季節の移ろいを告げるニュースが流れている。気温は下がり、新海市は秋へ。プラチナコーストの「蛍海」も、夏と共に姿を消したという。あなたは大会で撮影した写真を見つめながら、チームと共に過ごしたこのかけがえのない夏を、そっと心の奥に刻み込んだ。	다시 비바람이 부는 어느 날, 베이커 가의 고양이 커피숍. 텔레비전에서는 뉴스가 흘러나온다. 날씨가 서늘해지며 뉴오션 시티는 가을에 접어들었고, 백금 해안의 형광 바다라는 기이한 풍경도 여름의 더위와 함께 사라졌다는 소식이다. 당신은 챔피언십에서 찍은 사진을 바라보며, 베이커캣 팀과 함께 보낸 이 아름다운 여름을 마음속 깊이 간직한다.	อีก​วันหนึ่ง​ที่​มี​ลม​มี​ฝน​ ร้านกาแฟ​เบเกอร์​แค​ท​กำลัง​เปิด​รายงาน​ข่าว​บน​ทีวี​:​ อากาศ​เริ่ม​เย็น​ลง​ แค​ทโตะ​ ซิตี้​เข้าสู่​ฤดูใบไม้ร่วง​ ขณะเดียวกัน​ความมหัศจรรย์​ของ​ทะเลเรืองแสงดาว​ที่​ชายหาด​ก็​หาย​ไป​พร้อมกับ​ความร้อน​ของ​ฤดูร้อน​ คุณ​มองดู​ภาพถ่าย​ที่​ถ่าย​ระหว่าง​การแข่งขัน​ชิงแชมป์​ และ​เก็บรักษา​ช่วงเวลา​ที่​น่าประทับใจ​ใน​ฤดู​ร้อนที่​ได้​ใช้​ร่วมกับ​ทีม​เอาไว้​ใน​ใจ​
