id	voicecode	voicecodeLady	people	action	specialEffects	face	scene	status
608	vo_order_106_09	vo_order_106_09	106	1			5	1
609	vo_order_106_10	vo_order_106_10	106	1			6	1
610	vo_order_106_11	vo_order_106_11	106	1			6	1
611	vo_order_106_12	vo_order_106_17	106	1			7	1
612	vo_order_106_13	vo_order_106_18	106	1			7	1
701	vo_order_107_02	vo_order_107_02	107	1			2	1
702	vo_order_107_03	vo_order_107_03	107	1			2	1
703	vo_order_107_04	vo_order_107_04	107	1			3	1
704	vo_order_107_05	vo_order_107_05	107	1			3	1
705	vo_order_107_06	vo_order_107_06	107	1			4	1
706	vo_order_107_07	vo_order_107_07	107	1			4	1
707	vo_order_107_08	vo_order_107_08	107	1			5	1
708	vo_order_107_09	vo_order_107_09	107	1			5	1
709	vo_order_107_10	vo_order_107_10	107	1			6	1
710	vo_order_107_11	vo_order_107_11	107	1			6	1
711	vo_order_107_12	vo_order_107_12	107	1			7	1
712	vo_order_107_13	vo_order_107_13	107	1			7	1
801			108	3			1	1
802			108	3			1	1
803			108	3			1	1
804	vo_order_108_02	vo_order_108_02	108	1			2	1
805	vo_order_108_03	vo_order_108_03	108	1			2	1
806	vo_order_108_04	vo_order_108_04	108	1			3	1
807	vo_order_108_05	vo_order_108_05	108	1			3	1
808	vo_order_108_06	vo_order_108_06	108	1			4	1
809	vo_order_108_07	vo_order_108_07	108	1			4	1
810	vo_order_108_08	vo_order_108_08	108	1			5	1
811	vo_order_108_09	vo_order_108_09	108	1			5	1
812	vo_order_108_10	vo_order_108_10	108	1			6	1
813	vo_order_108_11	vo_order_108_11	108	1			6	1
814	vo_order_108_12	vo_order_108_12	108	1			7	1
815	vo_order_108_13	vo_order_108_13	108	1			7	1
901	vo_order_109_02	vo_order_109_02	109	1			2	1
902	vo_order_109_03	vo_order_109_03	109	1			2	1
903	vo_order_109_04	vo_order_109_04	109	1			3	1
904	vo_order_109_05	vo_order_109_05	109	1			3	1
905	vo_order_109_06	vo_order_109_06	109	1			4	1
906	vo_order_109_07	vo_order_109_07	109	1			4	1
907	vo_order_109_08	vo_order_109_08	109	1			5	1
908	vo_order_109_09	vo_order_109_09	109	1			5	1
909	vo_order_109_10	vo_order_109_10	109	1			6	1
910	vo_order_109_11	vo_order_109_11	109	1			6	1
911	vo_order_109_12	vo_order_109_12	109	1			7	1
912	vo_order_109_13	vo_order_109_13	109	1			7	1
