id	storyId	groupId	people	jumpId	faceId	action	time	music	sound	voice	voiceLady	end	status
41	4	8	1	9	200801	1				coffee_101008_04_04	coffee_101008_04_04		1
42	4	9	3	10									1
43	4	10	3	11									1
44	4	11	1	12	200902	1				coffee_101008_04_05	coffee_101008_04_05		1
45	4	12	3	13									1
46	4	13	3									1	1
47	5	1	1	2	200601	3				coffee_101008_05_01	coffee_101008_05_01		1
48	5	2	1	3	200502	1				coffee_101008_05_02	coffee_101008_05_02		1
49	5	3	3	4									1
50	5	4	1	5	200801	1				coffee_101008_05_03	coffee_101008_05_03		1
51	5	5	3	6									1
52	5	6	1	7	200601	1				coffee_101008_05_04	coffee_101008_05_04		1
53	5	7	3	8									1
54	5	8	1	9	200801	1				coffee_101008_05_05	coffee_101008_05_05		1
55	5	9	3									1	1
56	6	1	1	2	200402	5				coffee_102008_01_01	coffee_102008_01_01		1
57	6	2	3	3									1
58	6	3	1	4	200302	5				coffee_102008_01_02	coffee_102008_01_02		1
59	6	4	3	5									1
60	6	5	3	6									1
61	6	6	1	7	200701	5				coffee_102008_01_03	coffee_102008_01_03		1
62	6	7	1	8	200101	5				coffee_102008_01_04	coffee_102008_01_04		1
63	6	8	1	9		3				coffee_102008_01_05	coffee_102008_01_05		1
64	6	9	3	10									1
65	6	10	1		200801	1				coffee_102008_01_06	coffee_102008_01_06	1	1
66	7	1	1	2	200402	5				coffee_102008_02_01	coffee_102008_02_01		1
67	7	2	3	3									1
68	7	3	1	4	200801	1				coffee_102008_02_02	coffee_102008_02_02		1
69	7	4	3	5									1
70	7	5	1	6		5				coffee_102008_02_03	coffee_102008_02_03		1
71	7	6	3	7									1
72	7	7	1		200103	1				coffee_102008_02_04	coffee_102008_02_04	1	1
73	8	1	1	2	200701	3				coffee_102008_03_01	coffee_102008_03_01		1
74	8	2	3	3									1
75	8	3	1	4	200601	5				coffee_102008_03_02	coffee_102008_03_02		1
76	8	4	3	5									1
77	8	5	3	6									1
78	8	6	1	7	200101	4				coffee_102008_03_03	coffee_102008_03_03		1
79	8	7	3	8									1
80	8	8	1			1				coffee_102008_03_04	coffee_102008_03_04	1	1
81	9	1	1	2	200701	5				coffee_102008_04_01	coffee_102008_04_01		1
82	9	2	3	3									1
83	9	3	1	4	200701	3				coffee_102008_04_02	coffee_102008_04_02		1
84	9	4	3	5									1
85	9	5	3	6									1
86	9	6	1	7	200601	5				coffee_102008_04_03	coffee_102008_04_03		1
87	9	7	3	8									1
88	9	8	1	9	200201	1				coffee_102008_04_04	coffee_102008_04_04		1
89	9	9	3	10									1
90	9	10	1	11	200501	1				coffee_102008_04_05	coffee_102008_04_05		1
91	9	11	3	12									1
92	9	12	1	13	200201	1				coffee_102008_04_06	coffee_102008_04_06		1
93	9	13	3	14									1
94	9	14	1		200101	5				coffee_102008_04_07	coffee_102008_04_07	1	1
95	10	1	1	2	200101					coffee_102008_05_01	coffee_102008_05_01		1
96	10	2	3	3									1
97	10	3	1	4	200101	4				coffee_102008_05_02	coffee_102008_05_02		1
98	10	4	3	5									1
99	10	5	1	6	200101	1				coffee_102008_05_03	coffee_102008_05_03		1
100	10	6	1	7	200101	1				coffee_102008_05_04	coffee_102008_05_04		1
101	10	7	1	8		5				coffee_102008_05_05	coffee_102008_05_05		1
102	10	8	1	9	200401	1				coffee_102008_05_06	coffee_102008_05_06		1
103	10	9	3	10									1
104	10	10	1		200101	1				coffee_102008_05_07	coffee_102008_05_07	1	1
105	11	1	1	2						coffee_103008_01_01	coffee_103008_01_01		1
106	11	2	3	3									1
107	11	3	1	4						coffee_103008_01_02	coffee_103008_01_02		1
108	11	4	1	5						coffee_103008_01_03	coffee_103008_01_03		1
109	11	5	3	6									1
110	11	6	1	7	200101	1	7			coffee_103008_01_04	coffee_103008_01_04		1
111	11	7	3	8									1
112	11	8	1							coffee_103008_01_05	coffee_103008_01_05	1	1
113	12	1	1	2						coffee_103008_02_01	coffee_103008_02_01		1
114	12	2	3	3									1
115	12	3	1	4	200101	3				coffee_103008_02_02	coffee_103008_02_02		1
116	12	4	1	5	200101	1				coffee_103008_02_03	coffee_103008_02_03		1
117	12	5	3	6									1
118	12	6	1	7						coffee_103008_02_04	coffee_103008_02_04		1
119	12	7	3	8									1
120	12	8	1	9	200101	3				coffee_103008_02_05	coffee_103008_02_05		1
121	12	9	1	10	200101	3	4			coffee_103008_02_06	coffee_103008_02_06		1
122	12	10	1	11						coffee_103008_02_07	coffee_103008_02_07		1
123	12	11	3	12									1
124	12	12	1	13	200101	1	5			coffee_103008_02_08	coffee_103008_02_08		1
125	12	13	1							coffee_103008_02_09	coffee_103008_02_09	1	1
126	13	1	1	2	200101	1	5			coffee_103008_03_01	coffee_103008_03_01		1
127	13	2	3	3									1
128	13	3	1	4						coffee_103008_03_02	coffee_103008_03_02		1
129	13	4	3	5									1
130	13	5	3	6	200101	3				coffee_103008_03_03	coffee_103008_03_03		1
131	13	6	3	7	200801	3				coffee_103008_03_04	coffee_103008_03_04		1
132	13	7	1	8	200801	3				coffee_103008_03_05	coffee_103008_03_05		1
133	13	8	1	9	200801	3				coffee_103008_03_06	coffee_103008_03_06		1
134	13	9	3	10									1
135	13	10	1	11	200501	1				coffee_103008_03_07	coffee_103008_03_07		1
136	13	11	3	12									1
137	13	12	1	13	200501	4				coffee_103008_03_08	coffee_103008_03_08		1
138	13	13	3	14									1
139	13	14	3	15									1
140	13	15	3	16									1
141	13	16	1	17	200501	1				coffee_103008_03_09	coffee_103008_03_09		1
142	13	17	3	18									1
143	13	18	1	19	201301	1				coffee_103008_03_10	coffee_103008_03_10		1
144	13	19	1		200901	1				coffee_103008_03_11	coffee_103008_03_11	1	1
145	14	1	1	2	200101	4				coffee_103008_04_01	coffee_103008_04_01		1
146	14	2	3	3									1
147	14	3	1	4	200101	3	6			coffee_103008_04_02	coffee_103008_04_02		1
148	14	4	3	5									1
149	14	5	1	6						coffee_103008_04_03	coffee_103008_04_03		1
150	14	6	1	7						coffee_103008_04_04	coffee_103008_04_04		1
151	14	7	3	8									1
152	14	8	1	9	200501	1	7			coffee_103008_04_05	coffee_103008_04_05		1
153	14	9	1	10									1
154	14	10	3	11									1
155	14	11	1	12	200901	4				coffee_103008_04_06	coffee_103008_04_06		1
156	14	12	3	13									1
157	14	13	1	14	200101	4	2			coffee_103008_04_07	coffee_103008_04_07		1
158	14	14	1							coffee_103008_04_08	coffee_103008_04_08	1	1
159	15	1	1	2	200501	4				coffee_103008_05_01	coffee_103008_05_01		1
160	15	2	3	3									1
161	15	3	1	4	200401	1				coffee_103008_05_02	coffee_103008_05_02		1
162	15	4	3	5									1
163	15	5	1	6	200101	1				coffee_103008_05_03	coffee_103008_05_03		1
164	15	6	1	7	201301	1	7			coffee_103008_05_04	coffee_103008_05_04		1
165	15	7	3	8									1
166	15	8	1							coffee_103008_05_05	coffee_103008_05_05	1	1
167	16	1	1	2	201301	1				coffee_104003_01_01	coffee_104003_01_01		1
168	16	2	3	3									1
169	16	3	1	4	200501	2				coffee_104003_01_02	coffee_104003_01_02		1
170	16	4	3	5									1
171	16	5	1	6	200101	2				coffee_104003_01_03	coffee_104003_01_03		1
172	16	6	3	7									1
173	16	7	1	8	200101	1				coffee_104003_01_04	coffee_104003_01_04		1
174	16	8	3	9									1
175	16	9	1	10	200501	3	5			coffee_104003_01_05	coffee_104003_01_05		1
176	16	10	3	11									1
177	16	11	1	12						coffee_104003_01_06	coffee_104003_01_06		1
178	16	12	3									1	1
179	17	1	1	2	200501	2				coffee_104003_02_01	coffee_104003_02_01		1
180	17	2	3	3									1
181	17	3	3	4									1
182	17	4	1	5	200101	3	6			coffee_104003_02_02	coffee_104003_02_02		1
183	17	5	3	6									1
184	17	6	1	7						coffee_104003_02_03	coffee_104003_02_03		1
185	17	7	3	8									1
186	17	8	1	9	200101	2				coffee_104003_02_04	coffee_104003_02_04		1
187	17	9	3	10									1
188	17	10	1	11						coffee_104003_02_05	coffee_104003_02_05		1
189	17	11	3	12									1
190	17	12	1	13		1				coffee_104003_02_06	coffee_104003_02_06		1
191	17	13	1	14		1				coffee_104003_02_07	coffee_104003_02_07		1
192	17	14	3	15									1
193	17	15	3	16									1
194	17	16	3		200501	4				coffee_104003_02_08	coffee_104003_02_08	1	1
195	18	1	1	2		1				coffee_104003_03_01	coffee_104003_03_01		1
196	18	2	3	3									1
197	18	3	3	4									1
198	18	4	1	5	200101	2				coffee_104003_03_02	coffee_104003_03_02		1
199	18	5	1	6	200101	3				coffee_104003_03_03	coffee_104003_03_03		1
200	18	6	1	7	200101	3				coffee_104003_03_04	coffee_104003_03_04		1
201	18	7	1	8	201301	2				coffee_104003_03_05	coffee_104003_03_05		1
202	18	8	3	9									1
203	18	9	1	10	200101	2				coffee_104003_03_06	coffee_104003_03_06		1
204	18	10	1							coffee_104003_03_07	coffee_104003_03_07	1	1
205	19	1	1	2						coffee_104003_04_01	coffee_104003_04_01		1
206	19	2	3	3									1
207	19	3	1	4	200101	2				coffee_104003_04_02	coffee_104003_04_02		1
208	19	4	3	5									1
209	19	5	1	6	201301	4				coffee_104003_04_03	coffee_104003_04_03		1
210	19	6	1	7	200501	4				coffee_104003_04_04	coffee_104003_04_04		1
211	19	7	1	8	200101	3				coffee_104003_04_05	coffee_104003_04_05		1
212	19	8	3	9									1
213	19	9	1	10	200501	2				coffee_104003_04_06	coffee_104003_04_06		1
214	19	10	3	11									1
215	19	11	1	12	200501					coffee_104003_04_07	coffee_104003_04_07		1
216	19	12	1		200501					coffee_104003_04_08	coffee_104003_04_08	1	1
217	20	1	1	2		1				coffee_104003_05_01	coffee_104003_05_01		1
218	20	2	3	3									1
219	20	3	1	4						coffee_104003_05_02	coffee_104003_05_02		1
220	20	4	3	5									1
221	20	5	3	6									1
222	20	6	1	7	201001	2				coffee_104003_05_03	coffee_104003_05_03		1
223	20	7	3	8									1
224	20	8	1	9	200101	3				coffee_104003_05_04	coffee_104003_05_04		1
225	20	9	3	10									1
226	20	10	1	11	200101	1				coffee_104003_05_05	coffee_104003_05_05		1
227	20	11	3	12									1
228	20	12	1		201301	1				coffee_104003_05_06	coffee_104003_05_06	1	1
229	21	1	1	2						coffee_105008_01_01	coffee_105008_01_01		1
230	21	2	3	3									1
231	21	3	1	4		1				coffee_105008_01_02	coffee_105008_01_02		1
232	21	4	1							coffee_105008_01_03	coffee_105008_01_03	1	1
233	22	1	1	2		4				coffee_105008_02_01	coffee_105008_02_01		1
234	22	2	3	3									1
235	22	3	1	4	200101	5				coffee_105008_02_02	coffee_105008_02_02		1
236	22	4	3	5									1
237	22	5	1	6	201301	4	6			coffee_105008_02_03	coffee_105008_02_03		1
238	22	6	1	7						coffee_105008_02_04	coffee_105008_02_04		1
239	22	7	1			2				coffee_105008_02_05	coffee_105008_02_05	1	1
240	23	1	1	2						coffee_105008_03_01	coffee_105008_03_01		1
241	23	2	3	3									1
242	23	3	1	4		2				coffee_105008_03_02	coffee_105008_03_02		1
243	23	4	3	5									1
244	23	5	1	6		5				coffee_105008_03_03	coffee_105008_03_03		1
245	23	6	3									1	1
246	24	1	1	2	201302	5				coffee_105008_04_01	coffee_105008_04_01		1
247	24	2	1	3		5				coffee_105008_04_02	coffee_105008_04_02		1
248	24	3	3	4									1
249	24	4	1	5						coffee_105008_04_03	coffee_105008_04_03		1
250	24	5	1	6	200401	3	4			coffee_105008_04_04	coffee_105008_04_04		1
251	24	6	3									1	1
252	25	1	1	2		2				coffee_105008_05_01	coffee_105008_05_01		1
253	25	2	3	3									1
254	25	3	1	4		5	3			coffee_105008_05_02	coffee_105008_05_02		1
255	25	4	1	5		2				coffee_105008_05_03	coffee_105008_05_03		1
256	25	5	1	6						coffee_105008_05_04	coffee_105008_05_04		1
257	25	6	3	7									1
258	25	7	1	8	201010	5	3			coffee_105008_05_05	coffee_105008_05_05		1
259	25	8	1	9		5				coffee_105008_05_06	coffee_105008_05_06		1
260	25	9	1	10	200301	2				coffee_105008_05_07	coffee_105008_05_07		1
261	25	10	1		200401	2				coffee_105008_05_08	coffee_105008_05_08	1	1
262	26	1	3	2									1
263	26	2	1	3		2	3			coffee_106008_01_01	coffee_106008_01_01		1
264	26	3	3	4									1
265	26	4	1	5						coffee_106008_01_02	coffee_106008_01_02		1
266	26	5	1	6	200101	1				coffee_106008_01_03	coffee_106008_01_03		1
267	26	6	3	7									1
268	26	7	1	8		3				coffee_106008_01_04	coffee_106008_01_04		1
269	26	8	1		200102	3				coffee_106008_01_05	coffee_106008_01_06	1	1
270	27	1	3	2									1
271	27	2	1	3						coffee_106008_02_01	coffee_106008_02_01		1
272	27	3	3	4									1
273	27	4	1	5		2				coffee_106008_02_02	coffee_106008_02_05		1
274	27	5	3	6									1
275	27	6	1	7	200102	3				coffee_106008_02_03	coffee_106008_02_06		1
276	27	7	1	8		3				coffee_106008_02_04	coffee_106008_02_07		1
277	27	8	3									1	1
278	28	1	1	2	200501	3				coffee_106008_03_01	coffee_106008_03_06		1
279	28	2	3	3									1
280	28	3	1	4	200501	4				coffee_106008_03_02	coffee_106008_03_02		1
281	28	4	3	5									1
282	28	5	1	6		2				coffee_106008_03_03	coffee_106008_03_03		1
283	28	6	1	7	200101	2				coffee_106008_03_04	coffee_106008_03_04		1
284	28	7	3	8									1
285	28	8	1			1				coffee_106008_03_05	coffee_106008_03_07	1	1
286	29	1	1	2		3				coffee_106008_04_01	coffee_106008_04_06		1
287	29	2	3	3									1
288	29	3	1	4		3				coffee_106008_04_02	coffee_106008_04_02		1
289	29	4	3	5									1
290	29	5	1	6		3				coffee_106008_04_03	coffee_106008_04_03		1
291	29	6	3	7									1
292	29	7	1	8		4				coffee_106008_04_04	coffee_106008_04_04		1
293	29	8	3	9									1
294	29	9	1			5				coffee_106008_04_05	coffee_106008_04_05	1	1
295	30	1	1	2		4				coffee_106008_05_01	coffee_106008_05_07		1
296	30	2	3	3									1
297	30	3	1	4		4				coffee_106008_05_02	coffee_106008_05_02		1
298	30	4	3	5									1
299	30	5	1	6	200801	5				coffee_106008_05_03	coffee_106008_05_08		1
300	30	6	1	7	200801	5				coffee_106008_05_04	coffee_106008_05_04		1
301	30	7	3	8									1
302	30	8	3	9									1
303	30	9	1	10		4				coffee_106008_05_05	coffee_106008_05_05		1
304	30	10	1			1				coffee_106008_05_06	coffee_106008_05_06	1	1
305	31	1	1	2						coffee_107008_01_01	coffee_107008_01_01		1
306	31	2	3	3									1
307	31	3	1	4		2				coffee_107008_01_02	coffee_107008_01_02		1
308	31	4	3	5									1
309	31	5	3	6									1
310	31	6	1	7	200101	3	6			coffee_107008_01_03	coffee_107008_01_03		1
311	31	7	1	8						coffee_107008_01_04	coffee_107008_01_04		1
312	31	8	3	9									1
313	31	9	1	10	200601	4	6			coffee_107008_01_05	coffee_107008_01_05		1
314	31	10	1							coffee_107008_01_06	coffee_107008_01_06	1	1
315	32	1	1	2	200501	4	5			coffee_107008_02_01	coffee_107008_02_01		1
316	32	2	3	3									1
317	32	3	1	4						coffee_107008_02_02	coffee_107008_02_02		1
318	32	4	3	5									1
319	32	5	1	6	200101	3				coffee_107008_02_03	coffee_107008_02_03		1
320	32	6	1	7		1				coffee_107008_02_04	coffee_107008_02_04		1
321	32	7	1	8		1				coffee_107008_02_05	coffee_107008_02_05		1
322	32	8	3	9						coffee_107008_02_06	coffee_107008_02_06		1
323	32	9	1	10	200101	2							1
324	32	10	3	11						coffee_107008_02_07	coffee_107008_02_07		1
325	32	11	1			1						1	1
326	33	1	1	2		1				coffee_107008_03_01	coffee_107008_03_01		1
327	33	2	3	3									1
328	33	3	1	4		2				coffee_107008_03_02	coffee_107008_03_02		1
329	33	4	3	5									1
330	33	5	1	6		1				coffee_107008_03_03	coffee_107008_03_03		1
331	33	6	3	7									1
332	33	7	1	8		4				coffee_107008_03_04	coffee_107008_03_04		1
333	33	8	1	9		1				coffee_107008_03_05	coffee_107008_03_05		1
334	33	9	1	10		1				coffee_107008_03_06	coffee_107008_03_06		1
335	33	10	3	11									1
336	33	11	3	12									1
337	33	12	1		200101	1				coffee_107008_03_07	coffee_107008_03_07	1	1
338	34	1	1	2		2				coffee_107008_04_01	coffee_107008_04_01		1
339	34	2	3	3									1
340	34	3	1	4		1				coffee_107008_04_02	coffee_107008_04_02		1
341	34	4	3	5									1
342	34	5	1	6		1				coffee_107008_04_03	coffee_107008_04_03		1
343	34	6	3	7									1
344	34	7	1	8		4				coffee_107008_04_04	coffee_107008_04_04		1
345	34	8	3	9									1
346	34	9	1		200101	1				coffee_107008_04_05	coffee_107008_04_05	1	1
347	35	1	1	2		2				coffee_107008_05_01	coffee_107008_05_01		1
348	35	2	3	3									1
349	35	3	3	4									1
350	35	4	1	5		4				coffee_107008_05_02	coffee_107008_05_02		1
351	35	5	3	6									1
352	35	6	1	7		3				coffee_107008_05_03	coffee_107008_05_03		1
353	35	7	3	8									1
354	35	8	1	9		1				coffee_107008_05_04	coffee_107008_05_04		1
355	35	9	3	10									1
356	35	10	1	11		1				coffee_107008_05_05	coffee_107008_05_05		1
357	35	11	3	12									1
358	35	12	1	13	200101	4				coffee_107008_05_06	coffee_107008_05_06		1
359	35	13	3	14									1
360	35	14	1	15	201301	1				coffee_107008_05_07	coffee_107008_05_07		1
361	35	15	3									1	1
362	36	1	1	2	200501	1	3			coffee_108008_01_01	coffee_108008_01_01		1
363	36	2	3	3									1
364	36	3	1	4						coffee_108008_01_02	coffee_108008_01_02		1
365	36	4	3	5									1
366	36	5	3	6									1
367	36	6	1	7						coffee_108008_01_03	coffee_108008_01_03		1
368	36	7	3	8									1
369	36	8	1	9		3				coffee_108008_01_04	coffee_108008_01_04		1
370	36	9	1	10		3	5			coffee_108008_01_05	coffee_108008_01_05		1
371	36	10	1	11						coffee_108008_01_06	coffee_108008_01_06		1
372	36	11	1	12						coffee_108008_01_07	coffee_108008_01_07		1
373	36	12	1	13						coffee_108008_01_08	coffee_108008_01_08		1
374	36	13	3	14									1
375	36	14	1	15	200101	4				coffee_108008_01_09	coffee_108008_01_09	1	1
376	37	1	1	2						coffee_108008_02_01	coffee_108008_02_01		1
377	37	2	3	3									1
378	37	3	1	4		3	3			coffee_108008_02_02	coffee_108008_02_02		1
379	37	4	3	5									1
380	37	5	1	6	201301	1				coffee_108008_02_03	coffee_108008_02_03		1
381	37	6	1	7	200701	1				coffee_108008_02_04	coffee_108008_02_04		1
382	37	7	3	8									1
383	37	8	1	9	200701	3				coffee_108008_02_05	coffee_108008_02_05		1
384	37	9	1	10	200701	3	3			coffee_108008_02_06	coffee_108008_02_06		1
385	37	10	3									1	1
386	38	1	1	2	200301	1				coffee_108008_03_01	coffee_108008_03_01		1
387	38	2	3	3									1
388	38	3	1	4	200301	1				coffee_108008_03_02	coffee_108008_03_02		1
389	38	4	3	5									1
390	38	5	1	6	201301	1				coffee_108008_03_03	coffee_108008_03_03		1
391	38	6	1	7	200301	1				coffee_108008_03_04	coffee_108008_03_04		1
392	38	7	3	8									1
393	38	8	3	9									1
394	38	9	1	10		3	5			coffee_108008_03_05	coffee_108008_03_05		1
395	38	10	3	11									1
396	38	11	3	12									1
397	38	12	1	13		4				coffee_108008_03_06	coffee_108008_03_06		1
398	38	13	3	14									1
399	38	14	1	15		4				coffee_108008_03_07	coffee_108008_03_07		1
400	38	15	1	16		1				coffee_108008_03_08	coffee_108008_03_08		1
401	38	16	1	17	201301	1	5			coffee_108008_03_09	coffee_108008_03_09		1
402	38	17	3									1	1
403	39	1	3	2									1
404	39	2	1	3	200701	1				coffee_108008_04_01	coffee_108008_04_01		1
405	39	3	3	4									1
406	39	4	1	5	201301	1				coffee_108008_04_02	coffee_108008_04_02		1
407	39	5	1	6	200701	1				coffee_108008_04_03	coffee_108008_04_03		1
408	39	6	3	7									1
409	39	7	1	8	200701	3	5			coffee_108008_04_04	coffee_108008_04_04		1
410	39	8	1	9						coffee_108008_04_05	coffee_108008_04_05		1
411	39	9	3	10									1
412	39	10	1	11	200701	1				coffee_108008_04_06	coffee_108008_04_06		1
413	39	11	1	12	200701	1				coffee_108008_04_07	coffee_108008_04_07		1
414	39	12	1		200701	4				coffee_108008_04_08	coffee_108008_04_08	1	1
415	40	1	1	2						coffee_108008_05_01	coffee_108008_05_01		1
416	40	2	1	3						coffee_108008_05_02	coffee_108008_05_02		1
417	40	3	3	4									1
418	40	4	1	5		4				coffee_108008_05_03	coffee_108008_05_03		1
419	40	5	1	6		4	3			coffee_108008_05_04	coffee_108008_05_04		1
420	40	6	3	7									1
421	40	7	1	8	200301					coffee_108008_05_05	coffee_108008_05_05		1
422	40	8	1	9	200301					coffee_108008_05_06	coffee_108008_05_06		1
423	40	9	1	10		3	5			coffee_108008_05_07	coffee_108008_05_07		1
424	40	10	3	11									1
425	40	11	3	12									1
426	40	12	3	13									1
427	40	13	1		201301	1				coffee_108008_05_08	coffee_108008_05_08	1	1
428	41	1	3	2									1
429	41	2	1	3		5				coffee_109008_01_01	coffee_109008_01_01		1
430	41	3	1	4	200101	5	5			coffee_109008_01_02	coffee_109008_01_02		1
431	41	4	3	5									1
432	41	5	1	6	200501	1				coffee_109008_01_03	coffee_109008_01_03		1
433	41	6	3	7									1
434	41	7	1	8	200601	5				coffee_109008_01_04	coffee_109008_01_04		1
435	41	8	3	9									1
436	41	9	1	10	200301	5				coffee_109008_01_05	coffee_109008_01_05		1
437	41	10	3	11									1
438	41	11	1	12	200102	5	3			coffee_109008_01_06	coffee_109008_01_06		1
439	41	12	3	13									1
440	41	13	1	14	200301	3	5			coffee_109008_01_07	coffee_109008_01_07		1
441	41	14	3	15									1
442	41	15	3	16									1
443	41	16	1		200301	5				coffee_109008_01_08	coffee_109008_01_08	1	1
444	42	1	1	2		4				coffee_109008_02_01	coffee_109008_02_09		1
445	42	2	3	3									1
446	42	3	1	4	200301	4				coffee_109008_02_02	coffee_109008_02_02		1
447	42	4	3	5									1
448	42	5	1	6	200902	5				coffee_109008_02_03	coffee_109008_02_03		1
449	42	6	3	7									1
450	42	7	1	8	200301	3				coffee_109008_02_04	coffee_109008_02_04		1
451	42	8	3	9									1
452	42	9	1	10	200901	3	4			coffee_109008_02_05	coffee_109008_02_05		1
453	42	10	3	11									1
454	42	11	1	12	200601	5				coffee_109008_02_06	coffee_109008_02_10		1
455	42	12	1	13	200901	5				coffee_109008_02_07	coffee_109008_02_07		1
456	42	13	3	14									1
457	42	14	1		201301	5				coffee_109008_02_08	coffee_109008_02_11	1	1
458	43	1	1	2	201301	2	3			coffee_109008_03_01	coffee_109008_03_01		1
459	43	2	3	3									1
460	43	3	1	4		5				coffee_109008_03_02	coffee_109008_03_02		1
461	43	4	3	5									1
462	43	5	1	6		5				coffee_109008_03_03	coffee_109008_03_03		1
463	43	6	1	7	201301	5	5			coffee_109008_03_04	coffee_109008_03_04		1
464	43	7	3	8									1
465	43	8	1	9	200301	4				coffee_109008_03_05	coffee_109008_03_05		1
466	43	9	3	10									1
467	43	10	1	11	200402	4				coffee_109008_03_06	coffee_109008_03_06		1
468	43	11	1	12	201301	4	3			coffee_109008_03_07	coffee_109008_03_07		1
469	43	12	3	13									1
470	43	13	1		201301	3	5			coffee_109008_03_08	coffee_109008_03_08	1	1
471	44	1	1	2	200901	1				coffee_109008_04_01	coffee_109008_04_01		1
472	44	2	3	3									1
473	44	3	1	4	200601	1				coffee_109008_04_02	coffee_109008_04_02		1
474	44	4	3	5									1
475	44	5	1	6	200402	1				coffee_109008_04_03	coffee_109008_04_03		1
476	44	6	3	7									1
477	44	7	1	8	200901	5				coffee_109008_04_04	coffee_109008_04_04		1
478	44	8	3	9									1
479	44	9	1	10	200402	5				coffee_109008_04_05	coffee_109008_04_05		1
480	44	10	1	11	200301	5				coffee_109008_04_06	coffee_109008_04_06		1
481	44	11	3	12									1
482	44	12	1	13	200102	5	1			coffee_109008_04_07	coffee_109008_04_07		1
483	44	13	3	14									1
484	44	14	1		200302	3				coffee_109008_04_08	coffee_109008_04_08	1	1
485	45	1	1	2	200301	5				coffee_109008_05_01	coffee_109008_05_01		1
486	45	2	3	3									1
487	45	3	1	4	201001	5				coffee_109008_05_02	coffee_109008_05_02		1
488	45	4	3	5									1
489	45	5	1	6	200401	5				coffee_109008_05_03	coffee_109008_05_03		1
490	45	6	1	7	200301	5				coffee_109008_05_04	coffee_109008_05_04		1
491	45	7	3	8									1
492	45	8	1	9	200301	3				coffee_109008_05_05	coffee_109008_05_05		1
493	45	9	3	10									1
494	45	10	1	11	200302	5				coffee_109008_05_06	coffee_109008_05_06		1
495	45	11	3	12									1
496	45	12	1		200402	5				coffee_109008_05_07	coffee_109008_05_07	1	1
