id	people	action	specialEffects	loveLv	eye	voicecode	voicecodeLady	status
606	106	302		30	1	vo_colorEgg_106_03_01	vo_colorEgg_106_03_02	1
607	106	401		100	0	vo_colorEgg_106_04_01	vo_colorEgg_106_04_02	1
608	106	402		100	0			1
609	106	403		100	0			1
701	107	101		10	0			1
702	107	102		10	0	vo_colorEgg_107_01_01	vo_colorEgg_107_01_01	1
703	107	201		25	0	vo_colorEgg_107_02_01	vo_colorEgg_107_02_01	1
704	107	202		25	0	vo_colorEgg_107_02_02	vo_colorEgg_107_02_02	1
705	107	301		30	0	vo_colorEgg_107_03_01	vo_colorEgg_107_03_01	1
706	107	302		30	0	vo_colorEgg_107_03_02	vo_colorEgg_107_03_02	1
707	107	401		100	1			1
708	107	402		100	0	vo_colorEgg_107_04_01	vo_colorEgg_107_04_01	1
709	107	403		100	0	vo_colorEgg_107_04_02	vo_colorEgg_107_04_02	1
801	108	101		10	1	vo_colorEgg_108_01_01	vo_colorEgg_108_01_01	1
802	108	102		10	0	vo_colorEgg_108_01_02	vo_colorEgg_108_01_02	1
803	108	201		25	0	vo_colorEgg_108_02_01	vo_colorEgg_108_02_01	1
804	108	202		25	0	vo_colorEgg_108_02_02	vo_colorEgg_108_02_02	1
805	108	301		30	1	vo_colorEgg_108_03_01	vo_colorEgg_108_03_01	1
806	108	302		30	0	vo_colorEgg_108_03_02	vo_colorEgg_108_03_02	1
807	108	401		100	0	vo_colorEgg_108_04_01	vo_colorEgg_108_04_01	1
808	108	402		100	0	vo_colorEgg_108_04_02	vo_colorEgg_108_04_02	1
809	108	403		100	0	vo_colorEgg_108_04_03	vo_colorEgg_108_04_03	1
901	109	101		10		vo_colorEgg_109_01_01	vo_colorEgg_109_01_01	1
902	109	102		10		vo_colorEgg_109_01_02	vo_colorEgg_109_01_02	1
903	109	201		25		vo_colorEgg_109_02_01	vo_colorEgg_109_02_01	1
904	109	202		25		vo_colorEgg_109_02_02	vo_colorEgg_109_02_02	1
905	109	302		30		vo_colorEgg_109_03_01	vo_colorEgg_109_03_01	1
906	109	302		30		vo_colorEgg_109_03_02	vo_colorEgg_109_03_02	1
907	109	401		100		vo_colorEgg_109_04_01	vo_colorEgg_109_04_01	1
908	109	402		100		vo_colorEgg_109_04_02	vo_colorEgg_109_04_02	1
909	109	403		100		vo_colorEgg_109_04_03	vo_colorEgg_109_04_03	1
