id	ScheduleId	unlockType	unlockId	unlockNum	taskContentType	taskContentId	taskContenNum	point	openType	openParameter	ifDaily	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
411	4				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
412	4	25		104110	1103		2	60	236		0	1	通关2次协力战	通關2次協力戰	Complete 2 Invasions.	協同作戦を2回クリアする	협력전 2회 클리어	ผ่าน​ด่าน​ผนึก​กำลัง​ 2​ ครั้ง​
413	4	25		107120	274		1	60	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
414	4	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
415	4	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
416	4	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
417	4				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
418	4	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
420	4			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
501	5				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
502	5				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
503	5				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
504	5				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
505	5				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
506	5				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
507	5				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
508	5	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
509	5				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
510	5				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
511	5				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
512	5	25		104110	1103		2	60	236		0	1	通关2次协力战	通關2次協力戰	Complete 2 Invasions.	協同作戦を2回クリアする	협력전 2회 클리어	ผ่าน​ด่าน​ผนึก​กำลัง​ 2​ ครั้ง​
513	5	25		107120	274		1	60	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
514	5	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
515	5	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
516	5	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
517	5				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
518	5	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
520	5			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
601	6				7	3000004	200	75	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
602	6				7	3000003	100000	75			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
603	6				1803		150	80	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
604	6				1101	6	3	80	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
605	6				1101	4	3	80	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
606	6				1101	5	3	80	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
607	6				1101	1	3	80	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
608	6	25		104020	1405		1	80	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
609	6				1416		10	80	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
610	6				1403		5	80	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
611	6				7	4198001	10	80	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
612	6	25		104110	1103		2	80	236		0	1	通关2次协力战	通關2次協力戰	Complete 2 Invasions.	協同作戦を2回クリアする	협력전 2회 클리어	ผ่าน​ด่าน​ผนึก​กำลัง​ 2​ ครั้ง​
613	6	25		107120	274		1	80	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
614	6	25		106070	252		1	80	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
615	6	25		105030	1118		3	80	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
616	6	25		109210	1106		3	80	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
617	6				601	1	5	100	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
618	6	25		102170	1602		5	100	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
620	6			1	405		1	80			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
