id	startDay	endDay	AdvancedGoodsID	AdvancedGoodsNum	advancedExpItem	AdvancedExpNum	Exhibitiongoods	ExhibitiongoodsNum	loopTreasureExp	loopTreasureGoodsId	loopTreasureGoodsNum	lobbyMode	maxLv	loopTreasureGoodsIcon	bodyIcon	background	homeIcon	specialIcon	luxuryPropsIcon	status	titleDesc	titleDesc_zh_TW	titleDesc_en_UK	titleDesc_ja_JP	titleDesc_ko_KR	titleDesc_th_TH	titleDesc2	titleDesc2_zh_TW	titleDesc2_en_UK	titleDesc2_ja_JP	titleDesc2_ko_KR	titleDesc2_th_TH
18	2025/4/30 5:00:00	2025/5/29 4:59:59			5300003	2000			200	5003000	1	102005	50	6:goods_icon_506002	90:card_img_102005_l	92:home_battlepass_bg_102005	156:home_btn_pass_102005	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
19	2025/5/29 5:00:00	2025/6/26 4:59:59			5300003	2000			200	5003000	1	101002	50	6:goods_icon_506002	90:card_img_101002_l	92:home_battlepass_bg_101002	156:home_btn_pass_101002	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
20	2025/6/26 5:00:00	2025/7/24 4:59:59			5300003	2000			200	5003000	1	103005	50	6:goods_icon_506002	90:card_img_103005_l	92:home_battlepass_bg_103005	156:home_btn_pass_103005	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
21	2025/7/24 5:00:00	2025/8/21 4:59:59			5300003	2000			200	5003000	1	104007	50	6:goods_icon_506002	90:card_img_104007_l	92:home_battlepass_bg_104007	156:home_btn_pass_104007	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
22	2025/8/21 5:00:00	2025/9/18 4:59:59			5300003	2000			200	5003000	1	101012	50	6:goods_icon_506002	90:card_img_101012_l	92:home_battlepass_bg_101012	156:home_btn_pass_101012	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
23	2025/9/18 5:00:00	2025/10/30 4:59:59			5300003	2000			200	5003000	1	5200041	50	6:goods_icon_506002	92:home_battlepass_gift	92:home_battlepass_gift	156:home_btn_pass_gift	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
24	2025/10/30 5:00:00	2025/12/11 4:59:59			5300003	2000			200	5003000	1	5200041	50	6:goods_icon_506002	92:home_battlepass_gift	92:home_battlepass_gift	156:home_btn_pass_gift	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
25	2025/12/11 5:00:00	2026/1/22 4:59:59			5300003	2000			200	5003000	1	5200041	50	6:goods_icon_506002	92:home_battlepass_gift	92:home_battlepass_gift	156:home_btn_pass_gift	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
26	2026/1/22 5:00:00	2026/3/5 4:59:59			5300003	2000			200	5003000	1	5200041	50	6:goods_icon_506002	92:home_battlepass_gift	92:home_battlepass_gift	156:home_btn_pass_gift	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
27	2026/3/5 5:00:00	2026/4/2 4:59:59			5300003	2000			200	5003000	1	5200041	50	6:goods_icon_506002	92:home_battlepass_gift	92:home_battlepass_gift	156:home_btn_pass_gift	0	3000002;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
28	2026/4/2 5:00:00	2026/4/30 4:59:59			5300003	2000			200	5003000	1	5112020	50	6:goods_icon_506002	92:home_battlepass_gift	92:home_battlepass_gift	156:home_btn_pass_gift	0	4100031;4100036	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
29	2026/4/30 5:00:00	2026/5/28 4:59:59			5300003	2000			200	5003000	1	5112031	50	6:goods_icon_506002	92:home_battlepass_gift	92:home_battlepass_gift	156:home_btn_pass_gift	0	3000028;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
30	2026/5/28 5:00:00	2026/6/25 4:59:59			5300003	2000			200	5003000	1	5112033	50	6:goods_icon_506002	92:home_battlepass_gift	92:home_battlepass_gift	156:home_btn_pass_gift	0	3000028;4190004	1	合约每日任务经验+25%\n等级提升10级	合約每日任務經驗+25%\n等級提升10級	Daily Mission EXP +25%\nContract Level +10	デイリー任務の獲得EXP＋25%\n契約Lvl＋10	계약 매일 미션 EXP+25%\n10레벨업	EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​ \n​ เล​เวล​เพิ่มขึ้น​ 10​ เล​เวล​	购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	/	After buying Advanced Contract, upgrading it to the Deluxe one costs: 300 Irithyst\nDaily Mission EXP +25% after purchase.		购买高级版合约后，升级豪华合约需花费：300虹晶\n购买后合约每日任务经验+25%	หลัง​ซื้อ​สัญญา​ระดับสูง​ การ​จะ​อัปเกรด​เป็น​สัญญา​พรีเมียม​ต้อง​ใช้​:​ 300​ อิ​ริ​ธิสต์​\nหลัง​ซื้อ​แล้ว​ EXP​ ภารกิจ​รายวัน​ของ​สัญญา​ +25%​
