taskContentId	giveType	addType	dataType	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
11		2	1	1	拥有_target_num_个星级为_target_num2_星的SSR品质武装	擁有_target_num_個星級為_target_num2_星的SSR品質戰鬥員	Own _target_num_ _target_num2_★ Combatant of SSR Rarity.	★_target_num2_のSRR装備を_target_num_個獲得する	_target_num_개의_target_num2_★인 SSR등급 전투원 보유	มี​ตัวละคร​คุณภาพ​ SSR​ ระดับ​ _target_num2_​★​ จำนวน​ _target_num_​ คน​
12		4	1	1						
101		1	1	1	升级_target_num_次角色	升級_target_num_次戰鬥員	Upgrade your character _target_num_ time(s).	戦闘員のレベルアップを_target_num_回行う	캐릭터_target_num_회 레벨업	อัปเกรด​ตัวละคร​ _target_num_​ ครั้ง​
102		1	1	1	升级_target_num_次装备	升級_target_num_次裝備	Upgrade your equipment _target_num_ time(s).	装備のレベルアップを_target_num_回行う	장비_target_num_회 레벨업	อัปเกรด​อุปกรณ์​ _target_num_​ ครั้ง​
103		1	1	1	角色升星_target_num_次	戰鬥員升星_target_num_次	Star-up your character _target_num_ time(s).	戦闘員の昇格を_target_num_回行う	캐릭터 승급_target_num_회	เพิ่ม​ดาว​ตัวละคร​ _target_num_​ ครั้ง​
104		2	1	1	将_target_num_个角色星级提升到_target_id_	將_target_num_個戰鬥員星級提升到_target_id_	Raise _target_num_ character(s) to star level _target_id_.	戦闘員を_target_num_名★_target_id_に昇格する	_target_num_개의 캐릭터 별 등급_target_id_(으)로 상승	อัป​ระดับ​ดาว​ของ​ตัวละคร​ _target_num_​ ตัว​ เพิ่มขึ้น​จนถึง​ _target_id_​
107		1	1	1	点亮_target_num_个共鸣节点	點亮_target_num_個共鳴節點	Unlock _target_num_ Resonance Node(s).	_target_num_共鳴ノードを開放する	공명 노드_target_num_개 점등	จุดประกาย​โหนด​ผสาน​พลัง​ _target_num_​ จุด​
108		2	1	1	拥有_target_num_个_target_id_品质的不重复的武装	擁有_target_num_個_target_id_品質的不重複的戰鬥員	Own _target_num_ unique Combatant(s) of _target_id_ rarity.	_target_id_レアリティの戦闘員を_target_num_人保有する	_target_num_개_target_id_등급의 각기 다른 전투원 보유	มี​ตัวละคร​ระดับ​ _target_id_​ ไม่​ซ้ำ​กัน​จำนวน​ _target_num_​ คน​
110		2	2	1	将_target_id_武装升星至_target_num_星	將_target_id_戰鬥員升星至_target_num_星	Raise the star level of Combatant _target_id_ to _target_num_.	_target_id_を★_target_num_に昇格する	_target_id_전투원 _target_num_★까지 승급	เพิ่ม​ดาว​ตัวละคร​ _target_id_​ ถึง​ระดับ​ _target_num_​ ดาว​
111		2	2	1	将_target_id_武装觉醒至_target_num_阶	將_target_id_戰鬥員覺醒至_target_num_階	Awaken Combatant _target_id_ to Tier _target_num_.	_target_id_を_target_num_階段に覚醒させる	_target_id_전투원 _target_num_급으로 각성	ปลุก​พลัง​ตัวละคร​ _target_id_​ ถึงขั้น​ _target_num_​
112		2	1	1	升级_target_id_武装_target_num_次	升級_target_id_戰鬥員_target_num_次	Upgrade Combatant _target_id_ _target_num_ time(s).	_target_id_を_target_num_回レベルアップする	_target_id_전투원 _target_num_회 레벨업	อัปเกรด​ตัวละคร​ _target_id_​ จำนวน​ _target_num_​ครั้ง​
113		2	1	1	将_target_id_武装点亮_target_num_个共鸣节点	將_target_id_戰鬥員點亮_target_num_個共鳴節點	Unlock _target_num_ Resonance Node(s) on Combatant _target_id_.	Pending将_target_id_武装点亮_target_num_个共鸣节点	_target_id_전투원 _target_num_개의 공명 활성화	จุดประกาย​โหนด​ผสาน​พลัง​ของ​ตัวละคร​ _target_id_​ จำนวน​ _target_num_​ จุด​
201		2	1	1	通关_target_id_主线关卡	通關_target_id_主線關卡	Clear Main Story _target_id_.	メインストーリー_target_id_をクリアする	_target_id_메인 스테이지 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​หลัก​ _target_id_​
204		2	1	1	成功通关_target_id_日常副本	成功通關_target_id_日常副本	Clear the daily stage _target_id_.	デイリーステージ_target_id_をクリアする	_target_id_일상 던전 클리어	เคลียร์​ด่าน​ดัน​เจี้ย​นรา​ย​วัน​ _target_id_​
205		1	1	1	成功挑战_target_num_次日常副本	成功挑戰_target_num_次日常副本	Successfully complete the daily stages _target_num_ time(s).	デイリーステージを_target_num_回クリアする	일상 던전_target_num_회 도전 성공	เคลียร์​การ​ท้าทาย​ดัน​เจี้ย​นรา​ย​วัน​ _target_num_​ ครั้ง​
206		2	1	1	成功通关_target_id_日常副本_target_num_次	成功通關_target_id_日常副本_target_num_次	Clear the daily stage _target_id_ _target_num_ time(s).	デイリーステージ_target_id_を_target_num_回クリアする	_target_id_일상 던전_target_num_회 클리어	เคลียร์​การ​ผ่าน​ด่าน​ดัน​เจี้ย​นรา​ย​วัน​ _target_id_​ จำนวน​ _target_num_​ ครั้ง​
209		2	1	1	3星通关_target_id_日常副本	3星通關_target_id_日常副本	Earn a 3★ rating on the daily stage _target_id_.	デイリーステージ_target_id_を★3クリアする	3성_target_id_일상 던전 클리어	ผ่าน​ด่าน​ดัน​เจี้ย​นรา​ย​วัน​ _target_id_​ ระดับ​ 3★​
211		1	1	1	通关_target_num_次迷宫	通關_target_num_次迷宮	Clear the Dreamland _target_num_ time(s).	迷宮を_target_num_回クリアする	미궁_target_num_회 클리어	ผ่าน​วงกต​ _target_num_​ ครั้ง​
213		1	2	1	迷宫最高通关_target_num_层	迷宮最高通關_target_num_層	Reach a record of _target_num_ floor(s) cleared in the Dreamland.	Pending迷宫最高通关_target_num_层	미궁 최고_target_num_층 클리어	ผ่า​วงกต​สูงสุด​ _target_num_​ ชั้น​
214		1	1	1	参与_target_num_次迷宫	參與_target_num_次迷宮	Participate in the Dreamland _target_num_ time(s).	Pending参与_target_num_次迷宫	미궁_target_num_회 참여	เข้า​วงกต​ _target_num_​ ครั้ง​
221		1	1	1	参与_target_num_次试炼	參與_target_num_次試煉	Participate in _target_num_ trial(s).	試練に_target_num_回参加する	시련_target_num_회 참여	เข้า​รับบท​ทดสอบ​ _target_num_​ ครั้ง​
223		1	2	1	_target_id_段位的试炼最高分达到_target_num_	_target_id_段位的試煉最高分達到_target_num_	Achieve a highest score of _target_num_ in the _target_id_ trial.	_target_id_ランクの試練の最高得点が_target_num_に到達する	_target_id_티어의 시련 최고 점수_target_num_달성	บท​ทดสอบ​ของ​แรงก์​ _target_id_​ ของ​มี​คะแนน​สูงสุด​ถึง​ _target_num_​
224		5	2	1	试炼排名达到_target_id_前_target_num_名（包含_target_num_名	試煉排名達到_target_id_前_target_num_名（包含_target_num_名	Rank in the top _target_num_ of _target_id_ on the trial leaderboard (including No. _target_num_).	試練ランキング	시련 랭킹_target_id_상위_target_num_위 달성(_target_num_위 포함	อันดับ​ของ​บท​ทดสอบ​ถึง​ระดับ​ _target_id_​ อันดับ​ TOP​ _target_num_​ (​รวมถึง​อันดับ​ _target_num_)​
225		2	2	1	试炼达到_target_id_段位	試煉達到_target_id_段位	Reach the _target_id_ rank in the trial.	Pending试炼达到_target_id_段位	시련_target_id_티어 달성	อันดับ​บท​ทดสอบ​ถึง​แรงก์​ _target_id_​
233		1	2	1	通关任意高级装备本_target_num_层	通關任意高級裝備本_target_num_層	Clear _target_num_ floor(s) in any Advanced Equipment Stage.	Pending通关任意高级装备本_target_num_层	고급 장비 던전_target_num_층 클리어	ผ่าน​ด่าน​อุปกรณ์​ระดับสูง​ใด​ก็ได้​ _target_num_​ ชั้น​
235		1	1	1	通关任意装备本_target_num_次	通關任意裝備本_target_num_次	Clear any Equipment Stage _target_num_ time(s).	任意の装備ステージを_target_num_回クリアする	임의의 장비 던전_target_num_회 클리어	ผ่าน​ด่าน​อุปกรณ์​ใด​ก็ได้​ _target_num_​ ครั้ง​
236		2	2	1	通关_target_id_高级装备本_target_num_层	通關_target_id_高級裝備本_target_num_層	Clear the Advanced Equipment Stage _target_id_ for _target_num_ floor(s).	Pending通关_target_id_高级装备本_target_num_层	_target_id_고급 장비 던전_target_num_층 클리어	ผ่าน​ด่าน​อุปกรณ์​ระดับสูง​ _target_id_​ จำนวน​ _target_num_​ ชั้น​
261		1	1	1	参与_target_num_次爬塔	參與_target_num_次爬塔	Participate in Ivorus Expanse _target_num_ time(s).	擬似戦闘を_target_num_回参加する	탑 오르기_target_num_회 참여	เข้าร่วม​การ​ปีน​หอคอย​ _target_num_​ ครั้ง​
262		1	2	1	通关爬塔_target_num_层	通關爬塔_target_num_層	Clear _target_num_ floor(s) in Ivorus Expanse.	擬似戦闘を_target_num_層クリアする	탑 오르기_target_num_층 클리어	ผ่าน​การ​ปีน​หอคอย​ _target_num_​ ชั้น​
271		1	1	1	参与_target_num_次世界boss战	參與_target_num_次世界boss戰	Join World Boss battles _target_num_ time(s).	ワールドBOSSの討伐に_target_num_回参加する	월드 보스전_target_num_회 참여	เข้าร่วม​สงคราม​เวิลด์​บอส​ _target_num_​ ครั้ง​
272		5	1	1	在世界BOSS中进入前_target_num_名	在世界BOSS中進入前_target_num_名	Rank in the top _target_num_ for the World Boss.	ワールドBOSSの討伐ランキングにトップ_target_num_に入る	월드 보스에서 상위_target_num_위 진입	เข้าสู่​อันดับ​ TOP​ _target_num_​ ของ​อันดับ​เวิลด์​บอส​
273		1	2	1						
274		1	1	1	参与_target_num_次世界boss战	參與_target_num_次世界boss戰	Join World Boss battles _target_num_ time(s).	ワールドBOSSの討伐に_target_num_回参加する	월드 보스전_target_num_회 참여	เข้าร่วม​สงคราม​เวิลด์​บอส​ _target_num_​ ครั้ง​
281		1	1	1	参与天赋本_target_num_次	參與天賦本_target_num_次	Complete Talent Stages _target_num_ time(s).	Pending参与天赋本_target_num_次	재능 던전_target_num_회 참여	เข้าร่วม​ดัน​เจี้ยน​พรสวรรค์​ _target_num_​ ครั้ง​
282		2	1	1	通关天赋本难度_target_id_  _target_num_次	通關天賦本難度_target_id_ _target_num_次	Clear Talent Stage (_target_id_) _target_num_ time(s).	Pending通关天赋本难度_target_id_  _target_num_次	재능 던전 _target_id_ 난이도 _target_num_회 클리어	เคลียร์​ดัน​เจี้ยน​พรสวรรค์​ด้วย​ความ​ยาก​ _target_id_​ จำนวน​ _target_num_​ ครั้ง​
291		1	1	1	参与定向作战_target_num_次	參與定向作戰_target_num_次	Participate in the Targeted Battle _target_num_ time(s).	定向作戦に_target_num_回参加する	고정 전투_target_num_회 참여	เข้าร่วม​การต่อสู้​เฉพาะทาง​ _target_num_​ ครั้ง​
305		1	1	1	携带战斗料理进入战斗_target_num_次	攜帶戰鬥料理進入戰鬥_target_num_次	Enter battles with food _target_num_ time(s).	Pending携带战斗料理进入战斗_target_num_次	전투 요리를 가지고 전투 진입_target_num_회	พก​อาหาร​ต่อสู้​เข้าสู่​การต่อสู้​ _target_num_​ ครั้ง​
401		1	2	1	提升账号到_target_num_级	提升帳號到_target_num_級	Level up your account to _target_num_.	調査官レベルがLv._target_num_に到達する	계정_target_num_레벨로 상승	เพิ่ม​เล​เวล​บัญชี​ถึง​เล​เวล​ _target_num_​
402		1	2	1	累计登录_target_num天	累計登入_target_num天	Log in _target_num day(s).	累計で_target_num日ログインする	누적 접속_target_num일	ล็อกอิน​สะสม​ _target_num_​ วัน​
403		1	1	1	添加_target_num_个好友	添加_target_num_個好友	Add _target_num_ friend(s).	フレンドを_target_num_名追加する	친구_target_num_명 추가	เพิ่ม​เพื่อน​ _target_num_​ คน​
404		1	1	1	获得_target_num_主角经验	獲得_target_num_主角經驗	Obtain _target_num_ Character EXP.	主人公EXPを_target_num_獲得する	캐릭터 EXP_target_num_획득	ได้รับ​ EXP​ ของ​ตัวละคร​หลัก​ _target_num_​
405		1	1	1	今日登录_target_num次	今日登入_target_num次	Log in _target_num time(s) today.	本日_target_num回ログインする	오늘 접속_target_num회	วันนี้​ล็อกอิน​ _target_num_​ ครั้ง​
406		1	3	1	连续登录_target_num_天	連續登入_target_num_天	Log in consecutively for _target_num_ days.	連続ログイン_target_num_日	연속 접속_target_num_일	ล็อกอิน​ต่อเนื่อง​ _target_num_​ วัน​
407		1	2	1	钓鱼等级达到_target_num_级	釣魚等級達到_target_num_級	Reach Fishing Level _target_num_.	フィッシングレベルがLv._target_num_に到達する	낚시_target_num_레벨 달성	เล​เวล​ตกปลา​ถึง​เล​เวล​ _target_num_​
408		1	1	1	发送_target_num_个好友请求	發送_target_num_個好友請求	Send _target_num_ friend request(s).	フレンド申請を_target_num_件行う	친구 요청_target_num_개 발송	ส่ง​คำขอ​เป็นเพื่อน​ _target_num_​ คน​
409		2	1	1	前往番糖社区_target_num_次	前往番糖社群_target_num_次	Visit the FunToy Community _target_num_ time(s).	Funtoyコミュニティを_target_num_回閲覧する	Fundoll 커뮤니티_target_num_회 이동	ไป​ที่​เขตชุมชน​ฟาน​ถัง​ _target_num_​ ครั้ง​
501		1	1	1	完成_target_num_个日常任务	完成_target_num_個日常任務	Complete _target_num_ Daily Mission(s).	デイリー任務を_target_num_回完了する	일상 미션_target_num_개 완료	เคลียร์​ภารกิจ​รายวัน​ _target_num_​ อัน​
503		1	1	1	完成_target_num_个扭蛋机任务	完成_target_num_個扭蛋機任務	Complete _target_num_ Gacha Machine mission(s).	ガチャ任務を_target_num_回完了する	뽑기 미션_target_num_개 완료	เคลียร์​ภารกิจ​กา​ชา​ปอง​ _target_num_​ อัน​
505		1	1	1	获得_target_num_点日常任务活跃值	獲得_target_num_點日常任務活躍值	Earn _target_num_ Daily Mission Activeness.	活躍度が_target_num_に達する	일상 미션 활약도_target_num_획득	ได้รับ​ค่า​แอ็ก​ที​ฟ​ _target_num_​ แต้ม​จาก​ภารกิจ​รายวัน​
510		1	1	1	手动钓鱼_target_num_次	手動釣魚_target_num_次	Manually fish _target_num_ time(s).	オートフィッシングを使用せずに、_target_num_回釣りをする	수동 낚시_target_num_회	ตกปลา​ด้วยตัวเอง​ _target_num_​ ครั้ง​
511		1	1	1	制作_target_num_个鱼饵	製作_target_num_個魚餌	Craft _target_num_ piece(s) of bait.	釣り餌を_target_num_個製作する	미끼_target_num_개 제작	สร้าง​เหยื่อ​ตกปลา​ _target_num_​ อัน​
512		1	1	1	维修_target_num_次渔具	維修_target_num_次漁具	Repair fishing gear _target_num_ time(s).	釣り道具を_target_num_回修理する	낚시 도구_target_num_회 수리	ซ่อมแซม​อุปกรณ์​ตกปลา​ _target_num_​ ครั้ง​
513		2	2	1						
601		2	1	1	_target_id_卡池进行_target_num_次抽卡	_target_id_卡池進行_target_num_次抽卡	Perform _target_num_ summon(s) in the _target_id_ banner.	Pending_target_id_卡池进行_target_num_次抽卡	_target_id_카드풀에서 카드 뽑기_target_num_회 진행	สุ่ม​การ์ด​ _target_num_​ ครั้ง​ ใน​พูล​การ์ด​ _target_id_​
602		2	1	1	在_target_id_卡池进行_target_num_次抽卡	在_target_id_卡池進行_target_num_次抽卡	Make _target_num_ summon(s) in the _target_id_ banner.	_target_id_で_target_num_回召喚を行う	_target_id_카드풀에서 카드 뽑기_target_num_회 진행	สุ่ม​การ์ด​ _target_num_​ ครั้ง​ใน​พูล​การ์ด​ _target_id_​
603		2	2	1						
751		1	1	1						
752		1	1	1						
753		1	1	1						
754		1	1	1						
755		1	1	1						
756		2	1	1						
757		2	1	1						
758		1	1	1						
759		2	1	1						
901		2	1	1	_target_id_商店购买_target_num_件商品	_target_id_商店購買_target_num_件商品	Purchase _target_num_ item(s) from the _target_id_ shop.	_target_id_の商店街で_target_num_点商品を購入する	_target_id_상점에서 상품_target_num_개 구매	ซื้อ​ของ​ที่​ร้านค้า​ _target_id_​ จำนวน​ _target_num_​ ชิ้น​
251		2	2	1	达成_target_id_层抽卡道具本的所有挑战任务	達成_target_id_層抽卡道具本的所有挑戰任務	Complete all challenges for _target_id_ floor(s) of the Summoning Material Stages.	Pending达成_target_id_层抽卡道具本的所有挑战任务	_target_id_층 카드 뽑기 던전의 모든 도전 미션 달성	เคลียร์​ภารกิจ​ท้าทาย​ใน​ชั้น​ _target_id_​ ของ​ด่าน​ไอเทม​สุ่ม​การ์ด​ทั้งหมด​แล้ว​
252		1	1	1	达成所有抽卡道具本的所有挑战任务	達成所有抽卡道具本的所有挑戰任務	Complete all challenges for all Summoning Material Stages.	Pending达成所有抽卡道具本的所有挑战任务	전체 카드 뽑기 아이템 던전의 모든 도전 미션 달성	เคลียร์​ภารกิจ​ท้าทาย​ของ​ด่าน​ไอเทม​สุ่ม​การ์ด​ทั้งหมด​แล้ว​
253		1	1	1						
1001		1	1	1						
1002		2	1	1						
1003		2	1	1						
9999	1			1						
1101		2	1	1						
1102		1	1	1						
1103		1	1	1						
1104		2	1	1						
1105		2	1	1						
1106		1	1	1						
1107		1	1	1						
1108		1	1	1						
1110		2	1	1						
1111		2	1	1						
1112		1	1	1						
1113		2	1	1						
1114		2	1	1						
1115		2	2	1						
1116		2	2	1						
1117		1	1	1						
1118		1	1	1						
1119		1	1	1						
1120		1	1	1						
1121		5	2	1						
1122		5	2	1						
1123		2	1	1						
1201		2	2	1						
1202		2	2	1						
1204		1	1	1						
1205		2	1	1						
1206		3	1	1						
1208		1	1	1						
1209		2	2	1						
1210		2	2	1						
1211		1	1	1						
1212		2	2	1						
1213		3	1	1						
1214		2	1	1						
1215		2	1	1						
1216		2	2	1						
1217		1	2	1						
1218		3	1	1						
1219		2	2	1						
1301		2	1	1						
1302		1	1	1						
1303		1	1	1						
1304		1	1	1						
1305		1	1	1						
1306		2	1	1						
1401		1	1	1						
1402		1	1	1						
1403		1	1	1						
1404		2	1	1						
1405		1	1	1						
1407		3	1	1						
1408		1	1	1						
1409		2	1	1						
1410		1	2	1						
1411		1	1	1						
1412		2	2	1						
1413		2	1	1						
1414		2	1	1						
1415		3	1	1						
1416		1	1	1						
1417		1	1	1						
1418		1	1	1						
1419		1	1	1						
1420		1	1	1						
1421		3	1	1						
1422		1	2	1						
1423		5	1	1						
1424		5	1	1						
1425		1	1	1						
1501		1	1	1						
1502		2	1	1						
1504		2	1	1						
1505		2	1	1						
1506		1	1	1						
1507		2	1	1						
1508		2	1	1						
1509		2	1	1						
1510		2	1	1						
1511		2	1	1						
1512		2	1	1						
1513		2	1	1						
1601		1	1	1						
1602		1	1	1						
1603		2	1	1						
1701		2	1	1						
1702		1	1	1						
1703		1	1	1						
1704		2	2	1						
1705		2	2	1						
1706		2	2	1						
1707		2	2	1						
1708		2	2	1						
1709		2	2	1						
1710		2	2	1						
1711		2	2	1						
1712		2	2	1						
1713		2	2	1						
1714		2	2	1						
1715		2	2	1						
1716		2	1	1						
1717		2	1	1						
1718		2	1	1						
1719		2	1	1						
1720		2	1	1						
1721		2	1	1						
1722		2	2	1						
1723		2	2	1						
1724		2	2	1						
1725		2	1	1						
1726		1	2	1						
1801		1	1	1						
1802		1	1	1						
1803		1	1	1						
1804		1	1	1						
1805		1	1	1						
2001		2	1	1						
2002		2	1	1						
2003		1	1	1						
2004		1	1	1						
2005		2	1	1						
2006		1	1	1						
2007		1	1	1						
1901		1	1	1						
1902		1	1	1						
1903		1	1	1						
2101		2	1	1						
2102		1	1	1						
2103		2	1	1						
2104		1	1	1						
2107		2	1	1						
2108		2	1	1						
2109		2	1	1						
2110		1	1	1						
2111		2	1	1						
2114		2	1	1						
2115		2	1	1						
2116		2	1	1						
2117		1	1	1						
2118		2	1	1						
2119		2	1	1						
2121		2	1	1						
2201		2	1	1						
2202		1	1	1						
2122		1	1	1						
2123		1	1	1						
2124		1	1	1						
2125		2	1	1						
2126		2	1	1						
2008		2	1	1						
2009		2	2	1						
2010		2	1	1						
2011		1	1	1						
2012		1	1	1						
2013		1	1	1						
2014		1	1	1						
2015		2	1	1						
2016		2	1	1						
3001		1	1	1						
2127		2	1	1						
2128		1	1	1						
3002		1	1	1						
3003		1	1	1						
2129		1	2	1						
2130		1	1	1						
