taskAchId	reputationType	taskIcon	Numtype	taskContentType	taskContentId	taskContenNum	taskGroup	successorTasks	point	rewardId	rewardNum	openType	status	taskTitle	taskTitle_zh_TW	taskTitle_en_UK	taskTitle_ja_JP	taskTitle_ko_KR	taskTitle_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
1010203	1	104:task_overview_img_daily	10102	2	3	5	10102	1010204	10	3000002;3000003	20;5000	0	1	获得5个初始品质为SSR的战斗员	獲得5個初始品質為SSR的戰鬥員	Obtain 5 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を5人獲得する	초기 등급이 SSR인 전투원 5명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 5​ คน​	获得5个初始品质为SSR的战斗员	獲得5個初始品質為SSR的戰鬥員	Obtain 5 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を5人獲得する	초기 등급이 SSR인 전투원 5명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 5​ คน​
1010204	1	104:task_overview_img_daily	10102	2	3	7	10102	1010205	10	3000002;3000003	20;5000	0	1	获得7个初始品质为SSR的战斗员	獲得7個初始品質為SSR的戰鬥員	Obtain 7 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を7人獲得する	초기 등급이 SSR인 전투원 7명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 7​ คน​	获得7个初始品质为SSR的战斗员	獲得7個初始品質為SSR的戰鬥員	Obtain 7 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を7人獲得する	초기 등급이 SSR인 전투원 7명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 7​ คน​
1010205	1	104:task_overview_img_daily	10102	2	3	10	10102	1010206	10	3000002;3000003	30;5000	0	1	获得10个初始品质为SSR的战斗员	獲得10個初始品質為SSR的戰鬥員	Obtain 10 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を10人獲得する	초기 등급이 SSR인 전투원 10명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 10​ คน​	获得10个初始品质为SSR的战斗员	獲得10個初始品質為SSR的戰鬥員	Obtain 10 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を10人獲得する	초기 등급이 SSR인 전투원 10명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 10​ คน​
1010206	1	104:task_overview_img_daily	10102	2	3	15	10102	1010207	10	3000002;3000003	40;5000	0	1	获得15个初始品质为SSR的战斗员	獲得15個初始品質為SSR的戰鬥員	Obtain 15 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を15人獲得する	초기 등급이 SSR인 전투원 15명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 15​ คน​	获得15个初始品质为SSR的战斗员	獲得15個初始品質為SSR的戰鬥員	Obtain 15 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を15人獲得する	초기 등급이 SSR인 전투원 15명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 15​ คน​
1010207	1	104:task_overview_img_daily	10102	2	3	20	10102	0	10	3000002;3000003	40;5000	0	1	获得20个初始品质为SSR的战斗员	獲得20個初始品質為SSR的戰鬥員	Obtain 20 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を20人獲得する	초기 등급이 SSR인 전투원 20명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 20​ คน​	获得20个初始品质为SSR的战斗员	獲得20個初始品質為SSR的戰鬥員	Obtain 20 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を20人獲得する	초기 등급이 SSR인 전투원 20명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 20​ คน​
1020101	1	104:task_overview_img_daily	10201	5	3	10	10201	1020102	10	3000003	5000	0	1	获得10件R品质装备	獲得10件R品質裝備	Get 10 pieces of R equipment.	R品質の装備を10点獲得する	R등급 장비 10개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 10​ อัน​	获得10件R品质装备	獲得10件R品質裝備	Get 10 pieces of R equipment.	R品質の装備を10点獲得する	R등급 장비 10개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 10​ อัน​
1020102	1	104:task_overview_img_daily	10201	5	3	20	10201	1020103	10	3000003	6000	0	1	获得20件R品质装备	獲得20件R品質裝備	Get 20 pieces of R equipment.	R品質の装備を20点獲得する	R등급 장비 20개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 20​ อัน​	获得20件R品质装备	獲得20件R品質裝備	Get 20 pieces of R equipment.	R品質の装備を20点獲得する	R등급 장비 20개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 20​ อัน​
1020103	1	104:task_overview_img_daily	10201	5	3	35	10201	1020104	10	3000003	7000	0	1	获得35件R品质装备	獲得35件R品質裝備	Get 35 pieces of R equipment.	R品質の装備を35点獲得する	R등급 장비 35개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 35​ อัน​	获得35件R品质装备	獲得35件R品質裝備	Get 35 pieces of R equipment.	R品質の装備を35点獲得する	R등급 장비 35개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 35​ อัน​
1020104	1	104:task_overview_img_daily	10201	5	3	50	10201	1020105	10	3000003	8000	0	1	获得50件R品质装备	獲得50件R品質裝備	Get 50 pieces of R equipment.	R品質の装備を50点獲得する	R등급 장비 50개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 50​ อัน​	获得50件R品质装备	獲得50件R品質裝備	Get 50 pieces of R equipment.	R品質の装備を50点獲得する	R등급 장비 50개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 50​ อัน​
1020105	1	104:task_overview_img_daily	10201	5	3	70	10201	1020106	10	3000003	9000	0	1	获得70件R品质装备	獲得70件R品質裝備	Get 70 pieces of R equipment.	R品質の装備を70点獲得する	R등급 장비 70개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 70​ อัน​	获得70件R品质装备	獲得70件R品質裝備	Get 70 pieces of R equipment.	R品質の装備を70点獲得する	R등급 장비 70개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 70​ อัน​
1020106	1	104:task_overview_img_daily	10201	5	3	90	10201	1020107	10	3000003	10000	0	1	获得90件R品质装备	獲得90件R品質裝備	Get 90 pieces of R equipment.	R品質の装備を90点獲得する	R등급 장비 90개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 90​ อัน​	获得90件R品质装备	獲得90件R品質裝備	Get 90 pieces of R equipment.	R品質の装備を90点獲得する	R등급 장비 90개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 90​ อัน​
1020107	1	104:task_overview_img_daily	10201	5	3	120	10201	1020108	10	3000003	11000	0	1	获得120件R品质装备	獲得120件R品質裝備	Get 120 pieces of R equipment.	R品質の装備を120点獲得する	R등급 장비 120개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 120​ อัน​	获得120件R品质装备	獲得120件R品質裝備	Get 120 pieces of R equipment.	R品質の装備を120点獲得する	R등급 장비 120개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 120​ อัน​
1020108	1	104:task_overview_img_daily	10201	5	3	150	10201	1020109	10	3000003	12000	0	1	获得150件R品质装备	獲得150件R品質裝備	Get 150 pieces of R equipment.	R品質の装備を150点獲得する	R등급 장비 150개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 150​ อัน​	获得150件R品质装备	獲得150件R品質裝備	Get 150 pieces of R equipment.	R品質の装備を150点獲得する	R등급 장비 150개 획득	ได้รับ​อุปกรณ์​ระดับ​ R​ 150​ อัน​
1020109	1	104:task_overview_img_daily	10201	5	3	200	10201	0	10	3000003	13000	0	1	获得200件R品质装备	獲得200件R品質裝備	Get 200 pieces of R equipment.	R品質の装備を200点獲得する	R등급 장비 200개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 200​ อัน​	获得200件R品质装备	獲得200件R品質裝備	Get 200 pieces of R equipment.	R品質の装備を200点獲得する	R등급 장비 200개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 200​ อัน​
1020201	1	104:task_overview_img_daily	10202	5	4	10	10202	1020202	10	3000003	10000	0	1	获得10件SR品质装备	獲得10件SR品質裝備	Get 10 pieces of SR equipment.	SR品質の装備を10点獲得する	SR 등급 장비 10개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 10​ อัน​	获得10件SR品质装备	獲得10件SR品質裝備	Get 10 pieces of SR equipment.	SR品質の装備を10点獲得する	SR 등급 장비 10개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 10​ อัน​
1020202	1	104:task_overview_img_daily	10202	5	4	20	10202	1020203	10	3000003	12000	0	1	获得20件SR品质装备	獲得20件SR品質裝備	Get 20 pieces of SR equipment.	SR品質の装備を20点獲得する	SR 등급 장비 20개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 20​ อัน​	获得20件SR品质装备	獲得20件SR品質裝備	Get 20 pieces of SR equipment.	SR品質の装備を20点獲得する	SR 등급 장비 20개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 20​ อัน​
1020203	1	104:task_overview_img_daily	10202	5	4	35	10202	1020204	10	3000003	14000	0	1	获得35件SR品质装备	獲得35件SR品質裝備	Get 35 pieces of SR equipment.	SR品質の装備を35点獲得する	SR 등급 장비 35개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 35​ อัน​	获得35件SR品质装备	獲得35件SR品質裝備	Get 35 pieces of SR equipment.	SR品質の装備を35点獲得する	SR 등급 장비 35개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 35​ อัน​
1020204	1	104:task_overview_img_daily	10202	5	4	50	10202	1020205	10	3000003	16000	0	1	获得50件SR品质装备	獲得50件SR品質裝備	Get 50 pieces of SR equipment.	SR品質の装備を50点獲得する	SR 등급 장비 50개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 50​ อัน​	获得50件SR品质装备	獲得50件SR品質裝備	Get 50 pieces of SR equipment.	SR品質の装備を50点獲得する	SR 등급 장비 50개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 50​ อัน​
1020205	1	104:task_overview_img_daily	10202	5	4	70	10202	1020206	10	3000003	18000	0	1	获得70件SR品质装备	獲得70件SR品質裝備	Get 70 pieces of SR equipment.	SR品質の装備を70点獲得する	SR 등급 장비 70개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 70​ อัน​	获得70件SR品质装备	獲得70件SR品質裝備	Get 70 pieces of SR equipment.	SR品質の装備を70点獲得する	SR 등급 장비 70개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 70​ อัน​
1020206	1	104:task_overview_img_daily	10202	5	4	90	10202	1020207	10	3000003	20000	0	1	获得90件SR品质装备	獲得90件SR品質裝備	Get 90 pieces of SR equipment.	SR品質の装備を90点獲得する	SR 등급 장비 90개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 90​ อัน​	获得90件SR品质装备	獲得90件SR品質裝備	Get 90 pieces of SR equipment.	SR品質の装備を90点獲得する	SR 등급 장비 90개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 90​ อัน​
1020207	1	104:task_overview_img_daily	10202	5	4	120	10202	1020208	10	3000003	22000	0	1	获得120件SR品质装备	獲得120件SR品質裝備	Get 120 pieces of SR equipment.	SR品質の装備を120点獲得する	SR 등급 장비 120개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 120​ อัน​	获得120件SR品质装备	獲得120件SR品質裝備	Get 120 pieces of SR equipment.	SR品質の装備を120点獲得する	SR 등급 장비 120개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 120​ อัน​
1020208	1	104:task_overview_img_daily	10202	5	4	150	10202	1020209	10	3000003	24000	0	1	获得150件SR品质装备	獲得150件SR品質裝備	Get 150 pieces of SR equipment.	SR品質の装備を150点獲得する	SR 등급 장비 150개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 150​ อัน​	获得150件SR品质装备	獲得150件SR品質裝備	Get 150 pieces of SR equipment.	SR品質の装備を150点獲得する	SR 등급 장비 150개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 150​ อัน​
1020209	1	104:task_overview_img_daily	10202	5	4	200	10202	0	10	3000003	26000	0	1	获得200件SR品质装备	獲得200件SR品質裝備	Get 200 pieces of SR equipment.	SR品質の装備を200点獲得する	SR 등급 장비 200개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 200​ อัน​	获得200件SR品质装备	獲得200件SR品質裝備	Get 200 pieces of SR equipment.	SR品質の装備を200点獲得する	SR 등급 장비 200개 획득	ได้รับ​อุปกรณ์​ระดับ​ SR​ 200​ อัน​
1020301	1	104:task_overview_img_daily	10203	5	5	10	10203	1020302	10	3000003	50000	0	1	获得10件SSR品质装备	獲得10件SSR品質裝備	Get 10 pieces of SSR equipment.	SSR品質の装備を10点獲得する	SSR 등급 장비 10개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 10​ อัน​	获得10件SSR品质装备	獲得10件SSR品質裝備	Get 10 pieces of SSR equipment.	SSR品質の装備を10点獲得する	SSR 등급 장비 10개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 10​ อัน​
1020302	1	104:task_overview_img_daily	10203	5	5	20	10203	1020303	10	3000003	100000	0	1	获得20件SSR品质装备	獲得20件SSR品質裝備	Get 20 pieces of SSR equipment.	SSR品質の装備を20点獲得する	SSR 등급 장비 20개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 20​ อัน​	获得20件SSR品质装备	獲得20件SSR品質裝備	Get 20 pieces of SSR equipment.	SSR品質の装備を20点獲得する	SSR 등급 장비 20개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 20​ อัน​
1020303	1	104:task_overview_img_daily	10203	5	5	35	10203	1020304	10	3000003	150000	0	1	获得35件SSR品质装备	獲得35件SSR品質裝備	Get 35 pieces of SSR equipment.	SSR品質の装備を35点獲得する	SSR 등급 장비 35개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 35​ อัน​	获得35件SSR品质装备	獲得35件SSR品質裝備	Get 35 pieces of SSR equipment.	SSR品質の装備を35点獲得する	SSR 등급 장비 35개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 35​ อัน​
1020304	1	104:task_overview_img_daily	10203	5	5	50	10203	1020305	10	3000003	200000	0	1	获得50件SSR品质装备	獲得50件SSR品質裝備	Get 50 pieces of SSR equipment.	SSR品質の装備を50点獲得する	SSR 등급 장비 50개 획득	ได้รับ​อุปกรณ์​ระดับ​SSR​ 50​ อัน​	获得50件SSR品质装备	獲得50件SSR品質裝備	Get 50 pieces of SSR equipment.	SSR品質の装備を50点獲得する	SSR 등급 장비 50개 획득	ได้รับ​อุปกรณ์​ระดับ​SSR​ 50​ อัน​
1020305	1	104:task_overview_img_daily	10203	5	5	70	10203	1020306	10	3000003	250000	0	1	获得70件SSR品质装备	獲得70件SSR品質裝備	Get 70 pieces of SSR equipment.	SSR品質の装備を70点獲得する	SSR 등급 장비 70개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 70​ อัน​	获得70件SSR品质装备	獲得70件SSR品質裝備	Get 70 pieces of SSR equipment.	SSR品質の装備を70点獲得する	SSR 등급 장비 70개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 70​ อัน​
1020306	1	104:task_overview_img_daily	10203	5	5	90	10203	1020307	10	3000003	300000	0	1	获得90件SSR品质装备	獲得90件SSR品質裝備	Get 90 pieces of SSR equipment.	SSR品質の装備を90点獲得する	SSR 등급 장비 90개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 90​ อัน​	获得90件SSR品质装备	獲得90件SSR品質裝備	Get 90 pieces of SSR equipment.	SSR品質の装備を90点獲得する	SSR 등급 장비 90개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 90​ อัน​
1020307	1	104:task_overview_img_daily	10203	5	5	120	10203	1020308	10	3000003	350000	0	1	获得120件SSR品质装备	獲得120件SSR品質裝備	Get 120 pieces of SSR equipment.	SSR品質の装備を120点獲得する	SSR 등급 장비 120개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 120​ อัน​	获得120件SSR品质装备	獲得120件SSR品質裝備	Get 120 pieces of SSR equipment.	SSR品質の装備を120点獲得する	SSR 등급 장비 120개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 120​ อัน​
1020308	1	104:task_overview_img_daily	10203	5	5	150	10203	1020309	10	3000003	400000	0	1	获得150件SSR品质装备	獲得150件SSR品質裝備	Get 150 pieces of SSR equipment.	SSR品質の装備を150点獲得する	SSR 등급 장비 150개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 150​ อัน​	获得150件SSR品质装备	獲得150件SSR品質裝備	Get 150 pieces of SSR equipment.	SSR品質の装備を150点獲得する	SSR 등급 장비 150개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 150​ อัน​
1020309	1	104:task_overview_img_daily	10203	5	5	200	10203	0	10	3000003	450000	0	1	获得200件SSR品质装备	獲得200件SSR品質裝備	Get 200 pieces of SSR equipment.	SSR品質の装備を200点獲得する	SSR 등급 장비 200개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 200​ อัน​	获得200件SSR品质装备	獲得200件SSR品質裝備	Get 200 pieces of SSR equipment.	SSR品質の装備を200点獲得する	SSR 등급 장비 200개 획득	ได้รับ​อุปกรณ์​ระดับ​ SSR​ 200​ อัน​
1030101	1	104:task_overview_img_daily	10301	1303	0	10	10301	1030102	10	3000003;4101001	5000;5	0	1	获得10个不同的猫球	獲得10個不同的貓球	Get 10 different Catos.	10種類のガトを獲得する	각기 다른 냥냥볼 10개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 10​ ตัว​	获得10个不同的猫球	獲得10個不同的貓球	Get 10 different Catos.	10種類のガトを獲得する	각기 다른 냥냥볼 10개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 10​ ตัว​
1030102	1	104:task_overview_img_daily	10301	1303	0	20	10301	1030103	10	3000003;4101001	5000;10	0	1	获得20个不同的猫球	獲得20個不同的貓球	Get 20 different Catos.	20種類のガトを獲得する	각기 다른 냥냥볼 20개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 20​ ตัว​	获得20个不同的猫球	獲得20個不同的貓球	Get 20 different Catos.	20種類のガトを獲得する	각기 다른 냥냥볼 20개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 20​ ตัว​
1030103	1	104:task_overview_img_daily	10301	1303	0	30	10301	1030104	10	3000003;4101001	5000;15	0	1	获得30个不同的猫球	獲得30個不同的貓球	Get 30 different Catos.	30種類のガトを獲得する	각기 다른 냥냥볼 30개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 30​ ตัว​	获得30个不同的猫球	獲得30個不同的貓球	Get 30 different Catos.	30種類のガトを獲得する	각기 다른 냥냥볼 30개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 30​ ตัว​
1030104	1	104:task_overview_img_daily	10301	1303	0	40	10301	1030105	10	3000003;4101001	5000;20	0	1	获得40个不同的猫球	獲得40個不同的貓球	Get 40 different Catos.	40種類のガトを獲得する	각기 다른 냥냥볼 40개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 40​ ตัว​	获得40个不同的猫球	獲得40個不同的貓球	Get 40 different Catos.	40種類のガトを獲得する	각기 다른 냥냥볼 40개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 40​ ตัว​
1030105	1	104:task_overview_img_daily	10301	1303	0	50	10301	1030106	10	3000003;4101002	5000;5	0	1	获得50个不同的猫球	獲得50個不同的貓球	Get 50 different Catos.	50種類のガトを獲得する	각기 다른 냥냥볼 50개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 50​ ตัว​	获得50个不同的猫球	獲得50個不同的貓球	Get 50 different Catos.	50種類のガトを獲得する	각기 다른 냥냥볼 50개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 50​ ตัว​
1030106	1	104:task_overview_img_daily	10301	1303	0	60	10301	0	10	3000003;4101002	5000;10	0	1	获得60个不同的猫球	獲得60個不同的貓球	Get 60 different Catos.	60種類のガトを獲得する	각기 다른 냥냥볼 60개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 60​ ตัว​	获得60个不同的猫球	獲得60個不同的貓球	Get 60 different Catos.	60種類のガトを獲得する	각기 다른 냥냥볼 60개 획득	ได้รับ​แค​ทบ​อล​ที่​ไม่​ซ้ำ​รวม​ 60​ ตัว​
