taskAchId	id	taskGroup	after	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
31113	1	311	0	110	108008	6	4103001;3000003	60;30000	793	108008	1	战斗员觉醒至6星	戰鬥員覺醒至6星	Awaken this Combatants to 6★.	/	전투원 6★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 6★​
31201	1	312	31202	1201	103008	20	5020321	1	792	103008	1	战斗员升至20级	戰鬥員升至20級	Upgrade this Combatant to Lv. 20.	戦闘員をLv.20にレベルアップする	전투원 20레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 20​
31202	1	312	31203	1201	103008	40	5020322	1	792	103008	1	战斗员升至40级	戰鬥員升至40級	Upgrade this Combatant to Lv. 40.	戦闘員をLv.40にレベルアップする	전투원 40레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 40​
31203	1	312	31204	111	103008	3	5020214	1	794	103008	1	战斗员被动升至3级	戰鬥員被動升至3級	Upgrade this Combatant's Passive to Lv. 3.	戦闘員のパッシブスキルをLv.3にレベルアップする	전투원 패시브 3레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 3​
31204	1	312	31205	1216	103008	5	5020216	1	794	103008	1	战斗员SP技能升至5级	戰鬥員SP技能升至5級	Upgrade this Combatant's Ultimate to Lv.5.	戦闘員のSP技をLv.5にレベルアップする	전투원 SP스킬 5레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 5​
31205	1	312	31206	1201	103008	60	5020323	1	792	103008	1	战斗员升至60级	戰鬥員升至60級	Upgrade this Combatant to Lv. 60.	戦闘員をLv.60にレベルアップする	전투원 60레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 60​
31206	1	312	31207	111	103008	7	5020215	1	794	103008	1	战斗员被动升至7级	戰鬥員被動升至7級	Upgrade this Combatant's Passive to Lv. 7.	戦闘員のパッシブスキルをLv.7にレベルアップする	전투원 패시브 7레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 7​
31207	1	312	31208	1216	103008	10	5020217	1	794	103008	1	战斗员SP技能升至10级	戰鬥員SP技能升至10級	Upgrade this Combatant's Ultimate to Lv. 10.	戦闘員のSP技をLv.10にレベルアップする	전투원 SP스킬 10레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 10​
31208	1	312	31209	110	103008	1	4103002;3000003	20;15000	793	103008	1	战斗员觉醒至1星	戰鬥員覺醒至1星	Awaken this Combatants to 1★.	/	전투원 1★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 1★​
31209	1	312	31210	110	103008	2	4103002;3000003	20;15000	793	103008	1	战斗员觉醒至2星	戰鬥員覺醒至2星	Awaken this Combatants to 2★.	/	전투원 2★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 2★​
31210	1	312	31211	110	103008	3	4103002;3000003	40;30000	793	103008	1	战斗员觉醒至3星	戰鬥員覺醒至3星	Awaken this Combatants to 3★.	/	전투원 3★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 3★​
31211	1	312	31212	110	103008	4	4103002;3000003	40;30000	793	103008	1	战斗员觉醒至4星	戰鬥員覺醒至4星	Awaken this Combatants to 4★.	/	전투원 4★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 4★​
31212	1	312	31213	110	103008	5	4103002;3000003	60;45000	793	103008	1	战斗员觉醒至5星	戰鬥員覺醒至5星	Awaken this Combatants to 5★.	/	전투원 5★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 5★​
31213	1	312	0	110	103008	6	4103002;3000003	60;45000	793	103008	1	战斗员觉醒至6星	戰鬥員覺醒至6星	Awaken this Combatants to 6★.	/	전투원 6★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 6★​
31301	1	313	31302	1201	102008	20	5020321	1	792	102008	1	战斗员升至20级	戰鬥員升至20級	Upgrade this Combatant to Lv. 20.	戦闘員をLv.20にレベルアップする	전투원 20레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 20​
31302	1	313	31303	1201	102008	40	5020322	1	792	102008	1	战斗员升至40级	戰鬥員升至40級	Upgrade this Combatant to Lv. 40.	戦闘員をLv.40にレベルアップする	전투원 40레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 40​
31303	1	313	31304	111	102008	3	5020214	1	794	102008	1	战斗员被动升至3级	戰鬥員被動升至3級	Upgrade this Combatant's Passive to Lv. 3.	戦闘員のパッシブスキルをLv.3にレベルアップする	전투원 패시브 3레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 3​
31304	1	313	31305	1216	102008	5	5020216	1	794	102008	1	战斗员SP技能升至5级	戰鬥員SP技能升至5級	Upgrade this Combatant's Ultimate to Lv.5.	戦闘員のSP技をLv.5にレベルアップする	전투원 SP스킬 5레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 5​
31305	1	313	31306	1201	102008	60	5020323	1	792	102008	1	战斗员升至60级	戰鬥員升至60級	Upgrade this Combatant to Lv. 60.	戦闘員をLv.60にレベルアップする	전투원 60레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 60​
31306	1	313	31307	111	102008	7	5020215	1	794	102008	1	战斗员被动升至7级	戰鬥員被動升至7級	Upgrade this Combatant's Passive to Lv. 7.	戦闘員のパッシブスキルをLv.7にレベルアップする	전투원 패시브 7레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 7​
31307	1	313	31308	1216	102008	10	5020217	1	794	102008	1	战斗员SP技能升至10级	戰鬥員SP技能升至10級	Upgrade this Combatant's Ultimate to Lv. 10.	戦闘員のSP技をLv.10にレベルアップする	전투원 SP스킬 10레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 10​
31308	1	313	31309	110	102008	1	4103002;3000003	20;15000	793	102008	1	战斗员觉醒至1星	戰鬥員覺醒至1星	Awaken this Combatants to 1★.	/	전투원 1★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 1★​
31309	1	313	31310	110	102008	2	4103002;3000003	20;15000	793	102008	1	战斗员觉醒至2星	戰鬥員覺醒至2星	Awaken this Combatants to 2★.	/	전투원 2★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 2★​
31310	1	313	31311	110	102008	3	4103002;3000003	40;30000	793	102008	1	战斗员觉醒至3星	戰鬥員覺醒至3星	Awaken this Combatants to 3★.	/	전투원 3★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 3★​
31311	1	313	31312	110	102008	4	4103002;3000003	40;30000	793	102008	1	战斗员觉醒至4星	戰鬥員覺醒至4星	Awaken this Combatants to 4★.	/	전투원 4★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 4★​
31312	1	313	31313	110	102008	5	4103002;3000003	60;45000	793	102008	1	战斗员觉醒至5星	戰鬥員覺醒至5星	Awaken this Combatants to 5★.	/	전투원 5★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 5★​
31313	1	313	0	110	102008	6	4103002;3000003	60;45000	793	102008	1	战斗员觉醒至6星	戰鬥員覺醒至6星	Awaken this Combatants to 6★.	/	전투원 6★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 6★​
31401	1	314	31402	1201	101008	20	5020121	1	792	101008	1	战斗员升至20级	戰鬥員升至20級	Upgrade this Combatant to Lv. 20.	戦闘員をLv.20にレベルアップする	전투원 20레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 20​
31402	1	314	31403	1201	101008	40	5020122	1	792	101008	1	战斗员升至40级	戰鬥員升至40級	Upgrade this Combatant to Lv. 40.	戦闘員をLv.40にレベルアップする	전투원 40레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 40​
31403	1	314	31404	111	101008	3	5020214	1	794	101008	1	战斗员被动升至3级	戰鬥員被動升至3級	Upgrade this Combatant's Passive to Lv. 3.	戦闘員のパッシブスキルをLv.3にレベルアップする	전투원 패시브 3레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 3​
31404	1	314	31405	1216	101008	5	5020216	1	794	101008	1	战斗员SP技能升至5级	戰鬥員SP技能升至5級	Upgrade this Combatant's Ultimate to Lv.5.	戦闘員のSP技をLv.5にレベルアップする	전투원 SP스킬 5레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 5​
31405	1	314	31406	1201	101008	60	5020123	1	792	101008	1	战斗员升至60级	戰鬥員升至60級	Upgrade this Combatant to Lv. 60.	戦闘員をLv.60にレベルアップする	전투원 60레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 60​
31406	1	314	31407	111	101008	7	5020215	1	794	101008	1	战斗员被动升至7级	戰鬥員被動升至7級	Upgrade this Combatant's Passive to Lv. 7.	戦闘員のパッシブスキルをLv.7にレベルアップする	전투원 패시브 7레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 7​
31407	1	314	31408	1216	101008	10	5020217	1	794	101008	1	战斗员SP技能升至10级	戰鬥員SP技能升至10級	Upgrade this Combatant's Ultimate to Lv. 10.	戦闘員のSP技をLv.10にレベルアップする	전투원 SP스킬 10레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 10​
31408	1	314	31409	110	101008	1	4103002;3000003	20;15000	793	101008	1	战斗员觉醒至1星	戰鬥員覺醒至1星	Awaken this Combatants to 1★.	/	전투원 1★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 1★​
31409	1	314	31410	110	101008	2	4103002;3000003	20;15000	793	101008	1	战斗员觉醒至2星	戰鬥員覺醒至2星	Awaken this Combatants to 2★.	/	전투원 2★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 2★​
31410	1	314	31411	110	101008	3	4103002;3000003	40;30000	793	101008	1	战斗员觉醒至3星	戰鬥員覺醒至3星	Awaken this Combatants to 3★.	/	전투원 3★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 3★​
31411	1	314	31412	110	101008	4	4103002;3000003	40;30000	793	101008	1	战斗员觉醒至4星	戰鬥員覺醒至4星	Awaken this Combatants to 4★.	/	전투원 4★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 4★​
31412	1	314	31413	110	101008	5	4103002;3000003	60;45000	793	101008	1	战斗员觉醒至5星	戰鬥員覺醒至5星	Awaken this Combatants to 5★.	/	전투원 5★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 5★​
31413	1	314	0	110	101008	6	4103002;3000003	60;45000	793	101008	1	战斗员觉醒至6星	戰鬥員覺醒至6星	Awaken this Combatants to 6★.	/	전투원 6★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 6★​
31501	2	315	31502	1201	102021	20	5020211	1	792	102021	1	战斗员升至20级	戰鬥員升至20級	Upgrade this Combatant to Lv. 20.	戦闘員をLv.20にレベルアップする	전투원 20레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 20​
31502	2	315	31503	1201	102021	40	5020212	1	792	102021	1	战斗员升至40级	戰鬥員升至40級	Upgrade this Combatant to Lv. 40.	戦闘員をLv.40にレベルアップする	전투원 40레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 40​
31503	2	315	31504	111	102021	3	5020214	1	794	102021	1	战斗员被动升至3级	戰鬥員被動升至3級	Upgrade this Combatant's Passive to Lv. 3.	戦闘員のパッシブスキルをLv.3にレベルアップする	전투원 패시브 3레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 3​
31504	2	315	31505	1216	102021	5	5020216	1	794	102021	1	战斗员SP技能升至5级	戰鬥員SP技能升至5級	Upgrade this Combatant's Ultimate to Lv.5.	戦闘員のSP技をLv.5にレベルアップする	전투원 SP스킬 5레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 5​
31505	2	315	31506	1201	102021	60	5020213	1	792	102021	1	战斗员升至60级	戰鬥員升至60級	Upgrade this Combatant to Lv. 60.	戦闘員をLv.60にレベルアップする	전투원 60레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 60​
31506	2	315	31507	111	102021	7	5020215	1	794	102021	1	战斗员被动升至7级	戰鬥員被動升至7級	Upgrade this Combatant's Passive to Lv. 7.	戦闘員のパッシブスキルをLv.7にレベルアップする	전투원 패시브 7레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 7​
31507	2	315	31508	1216	102021	10	5020217	1	794	102021	1	战斗员SP技能升至10级	戰鬥員SP技能升至10級	Upgrade this Combatant's Ultimate to Lv. 10.	戦闘員のSP技をLv.10にレベルアップする	전투원 SP스킬 10레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 10​
31508	2	315	31509	110	102021	1	4103003;3000003	20;20000	793	102021	1	战斗员觉醒至1星	戰鬥員覺醒至1星	Awaken this Combatants to 1★.	/	전투원 1★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 1★​
31509	2	315	31510	110	102021	2	4103003;3000003	20;20000	793	102021	1	战斗员觉醒至2星	戰鬥員覺醒至2星	Awaken this Combatants to 2★.	/	전투원 2★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 2★​
31510	2	315	31511	110	102021	3	4103003;3000003	40;40000	793	102021	1	战斗员觉醒至3星	戰鬥員覺醒至3星	Awaken this Combatants to 3★.	/	전투원 3★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 3★​
31511	2	315	31512	110	102021	4	4103003;3000003	40;40000	793	102021	1	战斗员觉醒至4星	戰鬥員覺醒至4星	Awaken this Combatants to 4★.	/	전투원 4★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 4★​
31512	2	315	31513	110	102021	5	4103003;3000003	60;60000	793	102021	1	战斗员觉醒至5星	戰鬥員覺醒至5星	Awaken this Combatants to 5★.	/	전투원 5★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 5★​
31513	2	315	0	110	102021	6	4103003;3000003	60;60000	793	102021	1	战斗员觉醒至6星	戰鬥員覺醒至6星	Awaken this Combatants to 6★.	/	전투원 6★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 6★​
31601	2	316	31602	1201	103021	20	5020211	1	792	103021	1	战斗员升至20级	戰鬥員升至20級	Upgrade this Combatant to Lv. 20.	戦闘員をLv.20にレベルアップする	전투원 20레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 20​
31602	2	316	31603	1201	103021	40	5020212	1	792	103021	1	战斗员升至40级	戰鬥員升至40級	Upgrade this Combatant to Lv. 40.	戦闘員をLv.40にレベルアップする	전투원 40레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 40​
31603	2	316	31604	111	103021	3	5020214	1	794	103021	1	战斗员被动升至3级	戰鬥員被動升至3級	Upgrade this Combatant's Passive to Lv. 3.	戦闘員のパッシブスキルをLv.3にレベルアップする	전투원 패시브 3레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 3​
31604	2	316	31605	1216	103021	5	5020216	1	794	103021	1	战斗员SP技能升至5级	戰鬥員SP技能升至5級	Upgrade this Combatant's Ultimate to Lv.5.	戦闘員のSP技をLv.5にレベルアップする	전투원 SP스킬 5레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 5​
31605	2	316	31606	1201	103021	60	5020213	1	792	103021	1	战斗员升至60级	戰鬥員升至60級	Upgrade this Combatant to Lv. 60.	戦闘員をLv.60にレベルアップする	전투원 60레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 60​
31606	2	316	31607	111	103021	7	5020215	1	794	103021	1	战斗员被动升至7级	戰鬥員被動升至7級	Upgrade this Combatant's Passive to Lv. 7.	戦闘員のパッシブスキルをLv.7にレベルアップする	전투원 패시브 7레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 7​
31607	2	316	31608	1216	103021	10	5020217	1	794	103021	1	战斗员SP技能升至10级	戰鬥員SP技能升至10級	Upgrade this Combatant's Ultimate to Lv. 10.	戦闘員のSP技をLv.10にレベルアップする	전투원 SP스킬 10레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 10​
31608	2	316	31609	110	103021	1	4103003;3000003	20;20000	793	103021	1	战斗员觉醒至1星	戰鬥員覺醒至1星	Awaken this Combatants to 1★.	/	전투원 1★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 1★​
31609	2	316	31610	110	103021	2	4103003;3000003	20;20000	793	103021	1	战斗员觉醒至2星	戰鬥員覺醒至2星	Awaken this Combatants to 2★.	/	전투원 2★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 2★​
31610	2	316	31611	110	103021	3	4103003;3000003	40;40000	793	103021	1	战斗员觉醒至3星	戰鬥員覺醒至3星	Awaken this Combatants to 3★.	/	전투원 3★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 3★​
31611	2	316	31612	110	103021	4	4103003;3000003	40;40000	793	103021	1	战斗员觉醒至4星	戰鬥員覺醒至4星	Awaken this Combatants to 4★.	/	전투원 4★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 4★​
31612	2	316	31613	110	103021	5	4103003;3000003	60;60000	793	103021	1	战斗员觉醒至5星	戰鬥員覺醒至5星	Awaken this Combatants to 5★.	/	전투원 5★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 5★​
31613	2	316	0	110	103021	6	4103003;3000003	60;60000	793	103021	1	战斗员觉醒至6星	戰鬥員覺醒至6星	Awaken this Combatants to 6★.	/	전투원 6★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 6★​
31701	2	317	31702	1201	112008	20	5020211	1	792	112008	1	战斗员升至20级	戰鬥員升至20級	Upgrade this Combatant to Lv. 20.	戦闘員をLv.20にレベルアップする	전투원 20레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 20​
31702	2	317	31703	1201	112008	40	5020212	1	792	112008	1	战斗员升至40级	戰鬥員升至40級	Upgrade this Combatant to Lv. 40.	戦闘員をLv.40にレベルアップする	전투원 40레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 40​
31703	2	317	31704	111	112008	3	5020214	1	794	112008	1	战斗员被动升至3级	戰鬥員被動升至3級	Upgrade this Combatant's Passive to Lv. 3.	戦闘員のパッシブスキルをLv.3にレベルアップする	전투원 패시브 3레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 3​
31704	2	317	31705	1216	112008	5	5020216	1	794	112008	1	战斗员SP技能升至5级	戰鬥員SP技能升至5級	Upgrade this Combatant's Ultimate to Lv.5.	戦闘員のSP技をLv.5にレベルアップする	전투원 SP스킬 5레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 5​
31705	2	317	31706	1201	112008	60	5020213	1	792	112008	1	战斗员升至60级	戰鬥員升至60級	Upgrade this Combatant to Lv. 60.	戦闘員をLv.60にレベルアップする	전투원 60레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 60​
31706	2	317	31707	111	112008	7	5020215	1	794	112008	1	战斗员被动升至7级	戰鬥員被動升至7級	Upgrade this Combatant's Passive to Lv. 7.	戦闘員のパッシブスキルをLv.7にレベルアップする	전투원 패시브 7레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 7​
31707	2	317	31708	1216	112008	10	5020217	1	794	112008	1	战斗员SP技能升至10级	戰鬥員SP技能升至10級	Upgrade this Combatant's Ultimate to Lv. 10.	戦闘員のSP技をLv.10にレベルアップする	전투원 SP스킬 10레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 10​
31708	2	317	31709	110	112008	1	4103002;3000003	20;15000	793	112008	1	战斗员觉醒至1星	戰鬥員覺醒至1星	Awaken this Combatants to 1★.	/	전투원 1★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 1★​
31709	2	317	31710	110	112008	2	4103002;3000003	20;15000	793	112008	1	战斗员觉醒至2星	戰鬥員覺醒至2星	Awaken this Combatants to 2★.	/	전투원 2★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 2★​
31710	2	317	31711	110	112008	3	4103002;3000003	40;30000	793	112008	1	战斗员觉醒至3星	戰鬥員覺醒至3星	Awaken this Combatants to 3★.	/	전투원 3★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 3★​
31711	2	317	31712	110	112008	4	4103002;3000003	40;30000	793	112008	1	战斗员觉醒至4星	戰鬥員覺醒至4星	Awaken this Combatants to 4★.	/	전투원 4★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 4★​
31712	2	317	31713	110	112008	5	4103002;3000003	60;45000	793	112008	1	战斗员觉醒至5星	戰鬥員覺醒至5星	Awaken this Combatants to 5★.	/	전투원 5★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 5★​
31713	2	317	0	110	112008	6	4103002;3000003	60;45000	793	112008	1	战斗员觉醒至6星	戰鬥員覺醒至6星	Awaken this Combatants to 6★.	/	전투원 6★으로 각성	ปลุก​พลัง​ตัวละคร​ถึง​ 6★​
31801	2	318	31802	1201	111002	20	5020211	1	792	111002	1	战斗员升至20级	戰鬥員升至20級	Upgrade this Combatant to Lv. 20.	戦闘員をLv.20にレベルアップする	전투원 20레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 20​
31802	2	318	31803	1201	111002	40	5020212	1	792	111002	1	战斗员升至40级	戰鬥員升至40級	Upgrade this Combatant to Lv. 40.	戦闘員をLv.40にレベルアップする	전투원 40레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 40​
31803	2	318	31804	111	111002	3	5020214	1	794	111002	1	战斗员被动升至3级	戰鬥員被動升至3級	Upgrade this Combatant's Passive to Lv. 3.	戦闘員のパッシブスキルをLv.3にレベルアップする	전투원 패시브 3레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 3​
31804	2	318	31805	1216	111002	5	5020216	1	794	111002	1	战斗员SP技能升至5级	戰鬥員SP技能升至5級	Upgrade this Combatant's Ultimate to Lv.5.	戦闘員のSP技をLv.5にレベルアップする	전투원 SP스킬 5레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 5​
31805	2	318	31806	1201	111002	60	5020213	1	792	111002	1	战斗员升至60级	戰鬥員升至60級	Upgrade this Combatant to Lv. 60.	戦闘員をLv.60にレベルアップする	전투원 60레벨로 상승	อัป​ตัวละคร​ให้​ถึง​เล​เวล​ 60​
31806	2	318	31807	111	111002	7	5020215	1	794	111002	1	战斗员被动升至7级	戰鬥員被動升至7級	Upgrade this Combatant's Passive to Lv. 7.	戦闘員のパッシブスキルをLv.7にレベルアップする	전투원 패시브 7레벨로 상승	อัป​พาส​ซี​ฟ​ตัวละคร​ให้​ถึง​เล​เวล​ 7​
31807	2	318	31808	1216	111002	10	5020217	1	794	111002	1	战斗员SP技能升至10级	戰鬥員SP技能升至10級	Upgrade this Combatant's Ultimate to Lv. 10.	戦闘員のSP技をLv.10にレベルアップする	전투원 SP스킬 10레벨로 상승	อัป​สกิล​ SP​ ของ​ตัวละคร​ให้​ถึง​เล​เวล​ 10​
