taskAchId	startType	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	taskTitle	taskTitle_zh_TW	taskTitle_en_UK	taskTitle_ja_JP	taskTitle_ko_KR	taskTitle_th_TH
204	1	601	1	20			601		1	累计召唤<color=#ff4dc0>20</color>次	累計召喚<color=#ff4dc0>20</color>次	Make <color=#ff4dc0>20</color> summons in total.	召喚を<color=#ff4dc0>20</color>回行う	소환 누적 <color=#ff4dc0>20</color>회	รับสมัครสะสม <color=#ff4dc0>20</color> ครั้ง
205	2	1409	3	1			513		1	制作<color=#ff4dc0>1</color>份鱼料理	製作<color=#ff4dc0>1</color>份魚料理	Make <color=#ff4dc0>1</color> fish dish.	魚料理を<color=#ff4dc0>1</color>個製作する	물고기 요리 <color=#ff4dc0>1</color>개 제작	สร้างอาหารจานปลา <color=#ff4dc0>1</color> จาน
206	1	1206	2	1			701		1	将任意战斗员好感度提升至<color=#ff4dc0>2</color>级	將任意戰鬥員好感度提升至<color=#ff4dc0>2</color>級	Raise any Combatant's Affection to Lv. <color=#ff4dc0>2</color>.	任意の戦闘員の好感度が<color=#ff4dc0>Lv.2</color>に達する	임의의 전투원 호감도 <color=#ff4dc0>2</color>레벨 달성	เพิ่มค่าความสัมพันธ์กับตัวละครใดก็ได้ให้ถึงระดับ <color=#ff4dc0>2</color>
207	1	1213	20	2			701		1	将任意<color=#ff4dc0>2</color>个战斗员提升至<color=#ff4dc0>20</color>级	將任意<color=#ff4dc0>2</color>位戰鬥員提升至<color=#ff4dc0>20</color>級	Raise <color=#ff4dc0>2</color> Combatants to lv.<color=#ff4dc0>20</color>.	任意の戦闘員<color=#ff4dc0>2</color>名を<color=#ff4dc0>Lv.20</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>2</color>명 <color=#ff4dc0>20</color>레벨 달성	อัปเกรดตัวละครใดก็ได้ <color=#ff4dc0>2</color> คน ให้ถึงเลเวล <color=#ff4dc0>20</color>
208	1	1403	0	3			517		1	累计配送<color=#ff4dc0>3</color>单外卖	累計配送<color=#ff4dc0>3</color>單外賣	Complete <color=#ff4dc0>3</color> delivery orders in total.	出前を<color=#ff4dc0>3</color>回完了する	배달 누적 <color=#ff4dc0>3</color>회 완료	ส่งอาหาร <color=#ff4dc0>3</color> ออเดอร์
209	1	1602		5			522		1	抽取<color=#ff4dc0>5</color>次猫球	抽取<color=#ff4dc0>5</color>次貓球	Summon Catos <color=#ff4dc0>5</color> times.	ガトガチャを<color=#ff4dc0>5</color>回回す	냥냥볼 <color=#ff4dc0>5</color>회 뽑기	จุ่มแคทบอล <color=#ff4dc0>5</color> ครั้ง
210	1	1411		1			525		1	在猫球寻宝中派遣猫球	在貓球尋寶中派遣貓球	Dispatch Catos in Cato Treasure.	ガトお宝探しでガトを派遣する	냥냥볼 보물찾기에 냥냥볼 보내기	ส่งแคทบอลไปล่าสมบัติ
211	1	1302		1			523		1	将任意猫球升星<color=#ff4dc0>1</color>次	將任意貓球升星<color=#ff4dc0>1</color>次	Star up any Cato <color=#ff4dc0>1</color> time.	任意のガトを<color=#ff4dc0>1</color>回昇格する	임의의 냥냥볼 <color=#ff4dc0>1</color>회 승급	เพิ่มดาวแคทบอลใดก็ได้ <color=#ff4dc0>1</color> ครั้ง
212	1	1117		1			289		1	进入<color=#ff4dc0>1</color>次梦境迷宫	進入<color=#ff4dc0>1</color>次夢境迷宮	Enter the Ivorus Expanse <color=#ff4dc0>1</color> time.	白塔夢境を<color=#ff4dc0>1</color>回プレイする	브라이트 드림 <color=#ff4dc0>1</color>회 입장	เข้าสู่วงกตความฝัน <color=#ff4dc0>1</color> ครั้ง
213	1	1213	25	1			701		1	将任意<color=#ff4dc0>1</color>个战斗员提升至<color=#ff4dc0>25</color>级	將任意<color=#ff4dc0>1</color>位戰鬥員提升至<color=#ff4dc0>25</color>級	Raise <color=#ff4dc0>1</color> Combatant to lv.<color=#ff4dc0>25</color>.	任意の戦闘員<color=#ff4dc0>1</color>名を<color=#ff4dc0>Lv.25</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>1</color>명 <color=#ff4dc0>25</color>레벨 달성	อัปเกรดตัวละครใดก็ได้ <color=#ff4dc0>1</color> คน ให้ถึงเลเวล <color=#ff4dc0>25</color>
214	1	1205	3	1			701		1	将任意战斗员突破<color=#ff4dc0>2</color>次	將任意戰鬥員突破<color=#ff4dc0>2</color>次	Ascend any Combatant <color=#ff4dc0>2 times</color>.	任意の戦闘員を<color=#ff4dc0>2</color>段階突破する	임의의 전투원 <color=#ff4dc0>2</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>2</color> ครั้ง
215	1	1116	1	10			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>10</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>10</color>層	Clear <color=#ff4dc0>10</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>10</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>10</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>10</color>
301	1	1404	2	1			517	2	1	累计配送<color=#ff4dc0>1</color>单南港区外卖	累計配送<color=#ff4dc0>1</color>單南港區外賣	Complete <color=#ff4dc0>1</color> delivery order in Southport.	南港区の出前を<color=#ff4dc0>5</color>回完了する	사우스포트으로 누적 <color=#ff4dc0>1</color>회 배달	ส่งอาหารในเขตทะเลใต้ <color=#ff4dc0>1</color> ออเดอร์
302	1	1218	2	1			701		1	将任意<color=#ff4dc0>1</color>件时装升至<color=#ff4dc0>2</color>级	將任意<color=#ff4dc0>1</color>件時裝升至<color=#ff4dc0>2</color>級	Upgrade <color=#ff4dc0>1</color> outfit to lv.<color=#ff4dc0>2</color>.	任意の外観<color=#ff4dc0>1</color>個を<color=#ff4dc0>Lv.2</color>にレベルアップする	임의의 스킨 <color=#ff4dc0>1</color>개 <color=#ff4dc0>2</color>레벨 달성	อัปเกรดคอสตูมใดก็ได้ <color=#ff4dc0>1</color> ชุด ให้ถึงเลเวล <color=#ff4dc0>2</color>
303	1	1410		3			520		1	将餐厅升至<color=#ff4dc0>3</color>级	將餐廳升至<color=#ff4dc0>3</color>級	Upgrade the Cafe to lv.<color=#ff4dc0>3</color>.	レストランを<color=#ff4dc0>Lv.3</color>にレベルアップする	카페테리아 <color=#ff4dc0>3</color>레벨 달성	อัปคาเฟ่ถึงเลเวล <color=#ff4dc0>3</color>
304	1	1420		1			515		1	给餐厅更换<color=#ff4dc0>1</color>次装扮	給餐廳更換<color=#ff4dc0>1</color>次裝扮	Change the Cafe's decoration <color=#ff4dc0>1</color> time.	レストランのインテリアを<color=#ff4dc0>1</color>回変更する	카페테리아 인테리어 <color=#ff4dc0>1</color>회 변경	ตกแต่งคาเฟ่ <color=#ff4dc0>1</color> ครั้ง
305	1	1217		1			701		1	给任意战斗员佩戴<color=#ff4dc0>1</color>件装备	給任意戰鬥員佩戴<color=#ff4dc0>1</color>件裝備	Equip <color=#ff4dc0>1</color> piece of equipment for any Combatant.	任意の戦闘員に装備を<color=#ff4dc0>1</color>個セットする	임의의 전투원에게 장비 <color=#ff4dc0>1</color>개 착용	สวมใส่อุปกรณ์ให้ตัวละครใดก็ได้ <color=#ff4dc0>1</color> ชิ้น
306	1	1726		5			701		1	将任意装备升至<color=#ff4dc0>+5</color>	將任意裝備升至<color=#ff4dc0>+5</color>	Upgrade any equipment to <color=#ff4dc0>+5</color>.	任意の装備<color=#ff4dc0>＋5</color>に強化する	임의의 장비 <color=#ff4dc0>+5</color> 달성	อัปอุปกรณ์ใดก็ได้ให้ถึง <color=#ff4dc0>+5</color>
307	1	1702	0	1			701		1	将任意装备升星<color=#ff4dc0>1</color>次	將任意裝備升星<color=#ff4dc0>1</color>次	Star up any equipment <color=#ff4dc0>1</color> time.	任意の装備を<color=#ff4dc0>1</color>回昇格する	임의의 장비 <color=#ff4dc0>1</color>회 승급	เพิ่มดาวอุปกรณ์ใดก็ได้ <color=#ff4dc0>1</color> ครั้ง
308	1	1703	0	1			701		1	将任意装备洗练<color=#ff4dc0>1</color>次（升过星的装备才可以进行洗练）	將任意裝備洗練<color=#ff4dc0>1</color>次（升過星的裝備才可以進行洗練）	Refine any equipment <color=#ff4dc0>1</color> time.	任意の装備を<color=#ff4dc0>1</color>回洗練する（洗練できるのは昇格した装備のみ）	임의의 장비 <color=#ff4dc0>1</color>회 제련(승급한 장비만 제련 가능)	รีไฟน์/สุ่มออฟรองอุปกรณ์ <color=#ff4dc0>1</color> ครั้ง (ต้องเป็นอุปกรณ์ 1 ดาวขึ้นไปจึงจะรีไฟน์ได้)
309	1	1116	1	20			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>20</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>20</color>層	Clear <color=#ff4dc0>20</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>20</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>20</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>20</color>
401	1	1405	0	1			518	0	1	完成<color=#ff4dc0>1</color>次离岛空运	完成<color=#ff4dc0>1</color>次離島空運	Complete Air Express <color=#ff4dc0>1</color> time.	離島空便を<color=#ff4dc0>1</color>回完了する	항공 운송 <color=#ff4dc0>1</color>회 완료	สำเร็จการขนส่งทางอากาศ <color=#ff4dc0>1</color> ครั้ง
402	1	901	5	1			634		1	在<color=#ff4dc0>小费商店</color>购买<color=#ff4dc0>1</color>件商品	在<color=#ff4dc0>小費商店</color>購買<color=#ff4dc0>1</color>件商品	Buy <color=#ff4dc0>1</color> item in the <color=#ff4dc0>Tips Shop</color>.	<color=#ff4dc0>雑貨屋</color>で報酬を<color=#ff4dc0>1</color>点交換する	<color=#ff4dc0>팁 상점</color>에서 상품 <color=#ff4dc0>1</color>개 구매	ซื้อไอเทม <color=#ff4dc0>1</color> ชิ้น ใน<color=#ff4dc0>ร้านค้าทิป</color>
403	1	1213	30	4			701		1	将任意<color=#ff4dc0>4</color>个战斗员提升至<color=#ff4dc0>30</color>级	將任意<color=#ff4dc0>4</color>位戰鬥員提升至<color=#ff4dc0>30</color>級	Raise <color=#ff4dc0>4</color> Combatants to lv.<color=#ff4dc0>30</color>.	任意の戦闘員<color=#ff4dc0>4</color>名を<color=#ff4dc0>Lv.30</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>4</color>명 <color=#ff4dc0>30</color>레벨 달성	อัปเกรดตัวละครใดก็ได้ <color=#ff4dc0>4</color> คน ให้ถึงเลเวล <color=#ff4dc0>30</color>
404	1	1213	35	1			701		1	将任意战斗员提升至<color=#ff4dc0>35</color>级	將任意戰鬥員提升至<color=#ff4dc0>35</color>級	Raise any Combatant to lv.<color=#ff4dc0>35</color>.	任意の戦闘員を<color=#ff4dc0>Lv.35</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>35</color>레벨 달성	อัปตัวละครใดก็ได้ให้ถึงเลเวล <color=#ff4dc0>35</color>
405	1	1103	0	1			236		1	通关<color=#ff4dc0>1</color>次协力战	通關<color=#ff4dc0>1</color>次協力戰	Complete Invasion <color=#ff4dc0>1</color> time.	協同作戦を<color=#ff4dc0>1</color>回クリアする	협력전 <color=#ff4dc0>1</color>회 클리어	ผ่านด่านผนึกกำลัง <color=#ff4dc0>1</color> ครั้ง
406	1	1205	4	1			701		1	将任意<color=#ff4dc0>1</color>个战斗员突破<color=#ff4dc0>3</color>次	將任意<color=#ff4dc0>1</color>位戰鬥員突破<color=#ff4dc0>3</color>次	Ascend <color=#ff4dc0>1</color> Combatant <color=#ff4dc0>3</color> times.	任意の戦闘員<color=#ff4dc0>1</color>名を<color=#ff4dc0>3</color>回突破する	임의의 전투원<color=#ff4dc0>1</color>명 <color=#ff4dc0>3</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>1</color> คน ทั้งหมด <color=#ff4dc0>3</color> ครั้ง
407	2	1414	2	1			240		1	前往南港区钓<color=#ff4dc0>1</color>次鱼	前往南港區釣<color=#ff4dc0>1</color>次魚	Go fishing in Southport <color=#ff4dc0>1</color> time.	南港区で魚を<color=#ff4dc0>1</color>回釣る	사우스포트에서 낚시 <color=#ff4dc0>1</color>회	ไปตกปลาที่เขตทะเลใต้ <color=#ff4dc0>1</color> ครั้ง
408	2	1409	3	1			513		1	制作<color=#ff4dc0>1</color>份鱼料理	製作<color=#ff4dc0>1</color>份魚料理	Make <color=#ff4dc0>1</color> fish dish.	魚料理を<color=#ff4dc0>1</color>個製作する	물고기 요리 <color=#ff4dc0>1</color>개 제작	สร้างอาหารจานปลา <color=#ff4dc0>1</color> จาน
501	1	1118		1			723		1	参与<color=#ff4dc0>1</color>次<color=#ff4dc0>幻影特训场</color>	參與<color=#ff4dc0>1</color>次<color=#ff4dc0>幻影特訓場</color>	Participate in <color=#ff4dc0>Master Duel</color> <color=#ff4dc0>1</color> time.	<color=#ff4dc0>ファントム特訓</color>に<color=#ff4dc0>1</color>回参加する	<color=#ff4dc0>팬텀 특훈장</color> <color=#ff4dc0>1</color>회 참여	เข้าร่วม<color=#ff4dc0>สนามซ้อมแฟนธอม</color>จำนวน <color=#ff4dc0>1</color> รอบ
502	1	601	1	50			601		1	累计召唤<color=#ff4dc0>50</color>次	累計召喚<color=#ff4dc0>50</color>次	Make <color=#ff4dc0>50</color> summons in total.	召喚を<color=#ff4dc0>50</color>回行う	소환 누적 <color=#ff4dc0>50</color>회	รับสมัคร <color=#ff4dc0>50</color> ครั้ง
503	1	1404	3	3			517	3	1	累计配送<color=#ff4dc0>3</color>单耀州区外卖	累計配送<color=#ff4dc0>3</color>單耀州區外賣	Complete <color=#ff4dc0>3</color> delivery orders in Yaozhou.	耀州区の出前を<color=#ff4dc0>5</color>回完了する	요주 타운으로 누적 <color=#ff4dc0>3</color>회 배달	ส่งอาหารเขตเหยาโจว <color=#ff4dc0>3</color> ออเดอร์
504	1	1410		5			520		1	将餐厅升至<color=#ff4dc0>5</color>级	將餐廳升至<color=#ff4dc0>5</color>級	Upgrade the Cafe to lv.<color=#ff4dc0>5</color>.	レストランを<color=#ff4dc0>Lv.5</color>にレベルアップする	카페테리아 <color=#ff4dc0>5</color>레벨 달성	อัปคาเฟ่ถึงเลเวล <color=#ff4dc0>5</color>
505	1	1218	4	1			701		1	将任意<color=#ff4dc0>1</color>件时装升至<color=#ff4dc0>4</color>级	將任意<color=#ff4dc0>1</color>件時裝升至<color=#ff4dc0>4</color>級	Upgrade <color=#ff4dc0>1</color> outfit to lv.<color=#ff4dc0>4</color>.	任意の外観<color=#ff4dc0>1</color>個を<color=#ff4dc0>Lv.4</color>にレベルアップする	임의의 스킨 <color=#ff4dc0>1</color>개 <color=#ff4dc0>4</color>레벨 달성	อัปเกรดคอสตูมใดก็ได้ <color=#ff4dc0>1</color> ชุด ให้ถึงเลเวล <color=#ff4dc0>4</color>
506	1	1205	4	2			701		1	将任意<color=#ff4dc0>2</color>个战斗员突破<color=#ff4dc0>3</color>次	將任意<color=#ff4dc0>2</color>位戰鬥員突破<color=#ff4dc0>3</color>次	Ascend <color=#ff4dc0>2</color> Combatants <color=#ff4dc0>3</color> times.	任意の戦闘員<color=#ff4dc0>2</color>名を<color=#ff4dc0>3</color>回突破する	임의의 전투원 <color=#ff4dc0>2</color>명 <color=#ff4dc0>3</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>2</color> คน ทั้งหมด <color=#ff4dc0>3</color> ครั้ง
507	2	1118	0	3			723		1	参与<color=#ff4dc0>3</color>次<color=#ff4dc0>幻影特训场</color>	參與<color=#ff4dc0>3</color>次<color=#ff4dc0>幻影特訓場</color>	Participate in <color=#ff4dc0>Master Duel</color> <color=#ff4dc0>3</color> times.	<color=#ff4dc0>ファントム特訓</color>に<color=#ff4dc0>3</color>回参加する	<color=#ff4dc0>팬텀 특훈장</color> <color=#ff4dc0>3</color>회 참여	เข้าร่วม<color=#ff4dc0>สนามซ้อมแฟนธอม</color>จำนวน <color=#ff4dc0>3</color> รอบ
601	1	1701	2	4			701		1	将任意<color=#ff4dc0>4</color>件装备升至<color=#ff4dc0>2</color>星	將任意<color=#ff4dc0>4</color>件裝備升至<color=#ff4dc0>2</color>星	Upgrade <color=#ff4dc0>4</color> pieces of equipment to <color=#ff4dc0>2</color>★.	任意の装備<color=#ff4dc0>4</color>個を<color=#ff4dc0>★2</color>に昇格する	임의의 장비 <color=#ff4dc0>4</color>개 <color=#ff4dc0>2</color>★까지 승급	เพิ่มดาวอุปกรณ์ใดก็ได้ <color=#ff4dc0>4</color> ชิ้น ให้ถึงระดับ <color=#ff4dc0>2</color>★
602	1	1116	1	30			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>30</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>30</color>層	Clear <color=#ff4dc0>30</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>30</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>30</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>30</color>
603	1	1801	0	1			721		1	前往<color=#ff4dc0>天梯竞技场</color>	前往<color=#ff4dc0>天梯競技場</color>	Go to the <color=#ff4dc0>Arena</color>.	<color=#ff4dc0>アリーナランク戦</color>へ向かう	<color=#ff4dc0>래더 아레나</color>로 이동	ไปที่<color=#ff4dc0>สกายอารีน่า</color>
604	2	901	6	1			625		1	在天梯商店购买<color=#ff4dc0>1</color>个商品	在天梯商店購買<color=#ff4dc0>1</color>個商品	Buy <color=#ff4dc0>1</color> item in the Arena Shop.	アリーナショップで商品を<color=#ff4dc0>1</color>点購入する	래더 상점에서 상품 <color=#ff4dc0>1</color>개 구매	ไปที่ร้านค้าสกาย และซื้อไอเทม <color=#ff4dc0>1</color> ชิ้น
605	1	104	2	4			701		1	将任意<color=#ff4dc0>4</color>个战斗员升至<color=#ff4dc0>2星</color>	將任意<color=#ff4dc0>4</color>位戰鬥員升至<color=#ff4dc0>2星</color>	Raise <color=#ff4dc0>4</color> Combatants to <color=#ff4dc0>2</color>★.	任意の戦闘員<color=#ff4dc0>4</color>名を<color=#ff4dc0>★2</color>に昇格する	임의의 전투원 <color=#ff4dc0>4</color>명 <color=#ff4dc0>2★</color> 달성	เพิ่มดาวตัวละครใดก็ได้ <color=#ff4dc0>4</color> คน ให้ถึงระดับ <color=#ff4dc0>2</color>★
606	1	1405	0	1			518		1	完成<color=#ff4dc0>1</color>次离岛空运	完成<color=#ff4dc0>1</color>次離島空運	Complete Air Express <color=#ff4dc0>1</color> time.	離島空便を<color=#ff4dc0>1</color>回完了する	항공 운송 <color=#ff4dc0>1</color>회 완료	สำเร็จการขนส่งทางอากาศ <color=#ff4dc0>1</color> ครั้ง
607	2	901	5	1			634		1	在<color=#ff4dc0>小费商店</color>购买<color=#ff4dc0>1</color>件商品	在<color=#ff4dc0>小費商店</color>購買<color=#ff4dc0>1</color>件商品	Buy <color=#ff4dc0>1</color> item in the <color=#ff4dc0>Tips Shop</color>.	<color=#ff4dc0>雑貨屋</color>で報酬を<color=#ff4dc0>1</color>点交換する	<color=#ff4dc0>팁 상점</color>에서 상품 <color=#ff4dc0>1</color>개 구매	ซื้อไอเทม <color=#ff4dc0>1</color> ชิ้น ใน<color=#ff4dc0>ร้านค้าทิป</color>
608	1	1218	5	2			701		1	将任意<color=#ff4dc0>2</color>件时装升至<color=#ff4dc0>5</color>级	將任意<color=#ff4dc0>2</color>件時裝升至<color=#ff4dc0>5</color>級	Upgrade <color=#ff4dc0>2</color> outfits to lv.<color=#ff4dc0>5</color>.	任意の外観<color=#ff4dc0>2</color>個を<color=#ff4dc0>Lv.5</color>にレベルアップする	임의의 스킨 <color=#ff4dc0>2</color>개 <color=#ff4dc0>5</color>레벨 달성	อัปเกรดคอสตูมใดก็ได้ <color=#ff4dc0>2</color> ชุด ให้ถึงเลเวล <color=#ff4dc0>5</color>
609	1	1213	45	1			701		1	将任意<color=#ff4dc0>1</color>个战斗员提升至<color=#ff4dc0>45</color>级	將任意<color=#ff4dc0>1</color>位戰鬥員提升至<color=#ff4dc0>45</color>級	Raise <color=#ff4dc0>1</color> Combatant to lv.<color=#ff4dc0>45</color>.	任意の戦闘員<color=#ff4dc0>1</color>名を<color=#ff4dc0>Lv.45</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>1</color>명 <color=#ff4dc0>45</color>레벨 달성	อัปเกรดตัวละครใดก็ได้ <color=#ff4dc0>1</color> คน ให้ถึงเลเวล <color=#ff4dc0>45</color>
701	2	9999	5710010	1			511	5510010	1	提交<color=#ff4dc0>1</color>份「安宁红茶」	提交<color=#ff4dc0>1</color>份「安寧紅茶」	Submit <color=#ff4dc0>1</color> Soothing Black Tea.	「ほのぼの紅茶」を<color=#ff4dc0>1</color>個提出する	「평안의 홍차」 <color=#ff4dc0>1</color>개 제출	ส่งมอบ [แบล็กทีสุขใจ] <color=#ff4dc0>1</color> ชุด
702	2	9999	5720010	1			512	5520010	1	提交<color=#ff4dc0>1</color>份「惊喜土豆泥」	提交<color=#ff4dc0>1</color>份「驚喜馬鈴薯泥」	Submit <color=#ff4dc0>1</color> Astonishing Mashed Potato.	「サプライズのマッシュポテト」を<color=#ff4dc0>1</color>個提出する	「서프라이즈 매쉬 포테이토」 <color=#ff4dc0>1</color>개 제출	ส่งมอบ [มันบดสุดเซอร์ไพรส์] <color=#ff4dc0>1</color> ชุด
703	1	1114	4	1			294		1	完成旧城区调查中的<color=#ff4dc0>1</color>项任务	完成舊城區調查中的<color=#ff4dc0>1</color>項任務	Complete <color=#ff4dc0>1</color> Investigation Mission in Oldtown.	オールドタウンの調査任務を<color=#ff4dc0>1</color>つ完成する	구시가지에서 조사중인 미션 <color=#ff4dc0>1</color>개 완료	ทำภารกิจสืบสวนในเขตเมืองโบราณ <color=#ff4dc0>1</color> ภารกิจ
704	2	271	0	1			212		1	参与<color=#ff4dc0>1</color>次「世界首领」	參與<color=#ff4dc0>1</color>次「世界首領」	Fight the World Boss <color=#ff4dc0>1</color> time.	ワールドBOSSの討伐に<color=#ff4dc0>1</color>回参加する	월드 보스 <color=#ff4dc0>1</color>회 참여	เข้าร่วม [เวิลด์บอส] <color=#ff4dc0>1</color> ครั้ง
705	1	601	1	100			601		1	累计召唤<color=#ff4dc0>100</color>次	累計召喚<color=#ff4dc0>100</color>次	Make <color=#ff4dc0>100</color> summons in total.	召喚を<color=#ff4dc0>100</color>回行う	소환 누적 <color=#ff4dc0>100</color>회	รับสมัคร <color=#ff4dc0>100</color> ครั้ง
706	2	9999	5740010	1			514	5540010	1	提交<color=#ff4dc0>1</color>份「焦虑司康」	提交<color=#ff4dc0>1</color>份「焦慮司康」	Submit <color=#ff4dc0>1</color> Anxious Scone.	「あせあせスコーン」を<color=#ff4dc0>1</color>個提出する	초조의 스콘 <color=#ff4dc0>1</color>개 제출	ส่งมอบ [สโคนวิตกกังวล] <color=#ff4dc0>1</color> ชุด
707	1	1404	4	1			517	4	1	配送<color=#ff4dc0>1</color>单旧城区外卖	配送<color=#ff4dc0>1</color>單舊城區外賣	Deliver <color=#ff4dc0>1</color> delivery order in Oldtown.	オールドタウンの出前を<color=#ff4dc0>1</color>回完了する	구시가지로 <color=#ff4dc0>1</color>회 배달	ส่งอาหารในเขตเมืองโบราณ <color=#ff4dc0>1</color> ออเดอร์
