id	activityId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	type	isPermanent	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
110	1	2011		13	9000050	1100	1		1	在自由探索的跑酷关卡中累计获得13颗星星	在自由探索的跑酷關卡中累計獲得13顆星星	Accumulate 13 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で13★を獲得する	자유 탐색 파쿠르 스테이지에서 13★ 누적 획득	ได้รับดาวถึง 13 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
111	1	2011		14	9000050	1200	1		1	在自由探索的跑酷关卡中累计获得14颗星星	在自由探索的跑酷關卡中累計獲得14顆星星	Accumulate 14 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で14★を獲得する	자유 탐색 파쿠르 스테이지에서 14★ 누적 획득	ได้รับดาวถึง 14 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
112	1	2011		15	6220032;9000050	1;1500	1		1	在自由探索的跑酷关卡中累计获得15颗星星	在自由探索的跑酷關卡中累計獲得15顆星星	Accumulate 15 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で15★を獲得する	자유 탐색 파쿠르 스테이지에서 15★ 누적 획득	ได้รับดาวถึง 15 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
113	1	6	9000050	100	4190001;3000003	500;50000	2		1						
114	1	6	9000050	500	4190004;4105023	200;100	2		1						
115	1	6	9000050	1500	4190001;4105011	500;100	2		1						
116	1	6	9000050	3000	4190004;4105013	200;100	2		1						
117	1	6	9000050	6000	4190001;4105012	500;100	2		1						
118	1	6	9000050	9000	4190004;4105023	200;150	2		1						
119	1	6	9000050	12000	4190001;4105011	1000;150	2		1						
120	1	6	9000050	15000	4190004;4105013	400;150	2		1						
121	1	6	9000050	18000	4190001;4105012	1000;150	2		1						
122	1	6	9000050	21000	4190004;4105023	400;200	2		1						
123	1	6	9000050	24000	4190001;4105011	1000;200	2		1						
124	1	6	9000050	30000	4190004;4105013	400;200	2		1						
125	1	6	9000050	36000	4190004;4105012	1000;200	2	1	1						
