id	chapterId	monsteType	type	unlockNum	level	exp	cardExp	plotId	opportunity	proposalLevel	SceneId	rounds	petLineup	roleNun	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
4000401	104	1	2	0	0	0	0	0	0	130000	10901	99	104	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000402	104	1	2	0	0	0	0	0	0	131000	11001	99	104	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000403	104	1	2	0	0	0	0	0	0	132000	10901	99	104	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000404	104	1	2	0	0	0	0	0	0	133000	11001	99	104	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000405	104	1	2	0	0	0	0	0	0	134000	10901	99	104	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000406	104	1	1	0	0	0	0	3001100	0	2700	10901	99	104	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000407	104	1	1	0	0	0	0	3001110	0	2700	10901	99	104	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000408	104	1	1	0	0	0	0	3001120	0	2700	10901	99	104	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000501	105	1	2	0	0	0	0	0	0	136000	10901	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000502	105	1	2	0	0	0	0	0	0	138000	11001	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000503	105	1	2	0	0	0	0	0	0	140000	11001	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000504	105	1	2	0	0	0	0	0	0	142000	10901	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000505	105	1	2	0	0	0	0	0	0	144000	10901	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000506	105	1	1	0	0	0	0	3001130	0	2700	11001	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000507	105	1	1	0	0	0	0	3001140	0	2700	10901	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000508	105	1	1	0	0	0	0	3001150	0	2700	10901	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000509	105	1	1	0	0	0	0	3001160	0	2700	11001	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000510	105	1	1	0	0	0	0	3001170	0	2700	10901	99	105	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000601	106	1	2	0	0	0	0	0	0	146000	11001	99	106	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000602	106	1	2	0	0	0	0	0	0	148000	10901	99	106	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000603	106	1	2	0	0	0	0	0	0	150000	11001	99	106	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000604	106	1	2	0	0	0	0	0	0	152000	10901	99	106	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000605	106	1	2	0	0	0	0	0	0	154000	10901	99	106	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000606	106	1	1	0	0	0	0	3001180	0	2700	10901	99	106	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000607	106	1	1	0	0	0	0	3001190	0	2700	10901	99	106	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000608	106	1	1	0	0	0	0	3001200	0	2700	10901	99	106	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000701	107	1	2	0	0	0	0	0	0	156000	11001	99	107	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000702	107	1	2	0	0	0	0	0	0	158000	10901	99	107	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000703	107	1	2	0	0	0	0	0	0	160000	10901	99	107	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000704	107	1	2	0	0	0	0	0	0	162000	10901	99	107	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000705	107	1	2	0	0	0	0	0	0	164000	11001	99	107	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000706	107	1	1	0	0	0	0	3001230	0	2700	11001	99	107	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000801	108	1	2	0	0	0	0	0	0	166000	10901	99	108	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000802	108	1	2	0	0	0	0	0	0	168000	10901	99	108	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000803	108	1	2	0	0	0	0	0	0	170000	11001	99	108	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000804	108	1	2	0	0	0	0	0	0	172000	10901	99	108	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000805	108	1	2	0	0	0	0	0	0	174000	10901	99	108	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000806	108	1	1	0	0	0	0	3001240	0	2700	10901	99	108	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000807	108	1	1	0	0	0	0	3001260	0	2700	10901	99	108	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000808	108	1	1	0	0	0	0	3001270	0	2700	10901	99	108	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
