id	posX	posY	canMove	status	mapId
105_9	9	4	1	1	105
105_10	10	4	1	1	105
105_11	1	3	1	1	105
105_12	2	3	1	1	105
105_13	3	3	0	1	105
105_14	4	3	0	1	105
105_15	5	3	1	1	105
105_16	6	3	0	1	105
105_17	7	3	1	1	105
105_18	8	3	0	1	105
105_19	9	3	1	1	105
105_20	10	3	0	1	105
105_21	1	2	0	1	105
105_22	2	2	1	1	105
105_23	3	2	1	1	105
105_24	4	2	0	1	105
105_25	5	2	1	1	105
105_26	6	2	1	1	105
105_27	7	2	0	1	105
105_28	8	2	0	1	105
105_29	9	2	1	1	105
105_30	10	2	0	1	105
105_31	1	1	1	1	105
105_32	2	1	1	1	105
105_33	3	1	1	1	105
105_34	4	1	1	1	105
105_35	5	1	0	1	105
105_36	6	1	0	1	105
105_37	7	1	1	1	105
105_38	8	1	1	1	105
105_39	9	1	1	1	105
105_40	10	1	1	1	105
106_1	1	4	1	1	106
106_2	2	4	0	1	106
106_3	3	4	1	1	106
106_4	4	4	1	1	106
106_5	5	4	1	1	106
106_6	6	4	1	1	106
106_7	7	4	1	1	106
106_8	8	4	0	1	106
106_9	9	4	1	1	106
106_10	10	4	1	1	106
106_11	1	3	1	1	106
106_12	2	3	0	1	106
106_13	3	3	1	1	106
106_14	4	3	0	1	106
106_15	5	3	1	1	106
106_16	6	3	0	1	106
106_17	7	3	1	1	106
106_18	8	3	0	1	106
106_19	9	3	1	1	106
106_20	10	3	1	1	106
106_21	1	2	1	1	106
106_22	2	2	0	1	106
106_23	3	2	1	1	106
106_24	4	2	0	1	106
106_25	5	2	1	1	106
106_26	6	2	0	1	106
106_27	7	2	1	1	106
106_28	8	2	0	1	106
106_29	9	2	0	1	106
106_30	10	2	1	1	106
106_31	1	1	1	1	106
106_32	2	1	0	1	106
106_33	3	1	1	1	106
106_34	4	1	0	1	106
106_35	5	1	1	1	106
106_36	6	1	0	1	106
106_37	7	1	1	1	106
106_38	8	1	0	1	106
106_39	9	1	0	1	106
106_40	10	1	1	1	106
107_1	1	4	1	1	107
107_2	2	4	0	1	107
107_3	3	4	1	1	107
107_4	4	4	0	1	107
107_5	5	4	1	1	107
107_6	6	4	1	1	107
107_7	7	4	0	1	107
107_8	8	4	1	1	107
107_9	9	4	1	1	107
107_10	10	4	1	1	107
107_11	1	3	1	1	107
107_12	2	3	1	1	107
107_13	3	3	0	1	107
107_14	4	3	1	1	107
107_15	5	3	1	1	107
107_16	6	3	1	1	107
107_17	7	3	0	1	107
107_18	8	3	1	1	107
107_19	9	3	0	1	107
107_20	10	3	1	1	107
107_21	1	2	1	1	107
107_22	2	2	1	1	107
107_23	3	2	0	1	107
107_24	4	2	1	1	107
107_25	5	2	0	1	107
107_26	6	2	1	1	107
107_27	7	2	0	1	107
107_28	8	2	1	1	107
107_29	9	2	0	1	107
107_30	10	2	1	1	107
107_31	1	1	1	1	107
107_32	2	1	0	1	107
107_33	3	1	0	1	107
107_34	4	1	1	1	107
107_35	5	1	0	1	107
107_36	6	1	1	1	107
107_37	7	1	1	1	107
107_38	8	1	1	1	107
107_39	9	1	0	1	107
107_40	10	1	1	1	107
108_1	1	4	1	1	108
108_2	2	4	1	1	108
108_3	3	4	0	1	108
108_4	4	4	1	1	108
108_5	5	4	1	1	108
108_6	6	4	1	1	108
108_7	7	4	1	1	108
108_8	8	4	0	1	108
108_9	9	4	1	1	108
108_10	10	4	1	1	108
108_11	1	3	1	1	108
108_12	2	3	1	1	108
108_13	3	3	1	1	108
108_14	4	3	0	1	108
108_15	5	3	1	1	108
108_16	6	3	0	1	108
108_17	7	3	1	1	108
108_18	8	3	1	1	108
108_19	9	3	0	1	108
108_20	10	3	1	1	108
108_21	1	2	0	1	108
108_22	2	2	0	1	108
108_23	3	2	1	1	108
108_24	4	2	1	1	108
108_25	5	2	1	1	108
108_26	6	2	1	1	108
108_27	7	2	0	1	108
108_28	8	2	1	1	108
108_29	9	2	0	1	108
108_30	10	2	0	1	108
108_31	1	1	1	1	108
108_32	2	1	1	1	108
108_33	3	1	0	1	108
108_34	4	1	1	1	108
108_35	5	1	1	1	108
108_36	6	1	1	1	108
108_37	7	1	1	1	108
108_38	8	1	0	1	108
108_39	9	1	1	1	108
108_40	10	1	1	1	108
