id	chapter	type	wave	ceilId	clearTag	unlockNode	regionId	addStatus	addWave	tigger	model	openConfirm	status	tips	tips_zh_TW	tips_en_UK	tips_ja_JP	tips_ko_KR	tips_th_TH
10115	101	0	0	101_9					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10116	101	0	0	101_10					0		32	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10117	101	0	0	101_13					0		33	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10118	101	0	0	101_14					0		32	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10119	101	0	0	101_18					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10123	101	0	0	101_33					0		32	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10124	101	0	0	101_34					0		33	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10125	101	0	0	101_37					0		32	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10126	101	0	0	101_38					0		33	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10127	101	0	0	101_39					0		32	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10128	101	0	0	101_40					0		31	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10130	101	2	0	101_22			4000104		1	101004	4	1	1	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
10131	101	2	0	101_27			4000105		1	101005	4	1	1	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
10201	102	1	0	102_1					0			0	1	这里只是空地	這裡只是空地	This is just an empty lot.	ただの空き地です。	여기는 단순한 공터입니다	ที่นี่เป็นพื้นที่ว่าง
10202	102	2	0	102_33			4000201		1	102001	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10203	102	2	0	102_6			4000202		1	102002	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10204	102	2	0	102_36			4000203		1	102003	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10205	102	3	3	102_10			4000204		0	102004	1	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10208	102	4	3	102_4				40005	0	102005	3	1	1	似乎会有什么好事发生	似乎會有什麼好事發生	It looks like something good is about to happen.	何かいいことが起こりそうですよ。	좋은 일이 생길 것 같아요	เหมือนว่า​จะ​มีเรื่อง​ดี​ๆ​ เกิดขึ้น​
10209	102	0	0	102_2					0		22	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10210	102	0	0	102_3					0		22	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10211	102	0	0	102_5					0		22	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10212	102	0	0	102_12					0		22	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10213	102	0	0	102_17					0		24	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10215	102	0	0	102_20					0		24	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10216	102	0	0	102_22					0		24	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10217	102	0	0	102_24					0		23	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10218	102	0	0	102_28					0		23	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10219	102	0	0	102_30					0		24	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10220	102	0	0	102_34					0		21	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10221	102	0	0	102_35					0		23	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10222	102	0	0	102_25					0		21	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10223	102	0	0	102_26					0		21	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10224	102	0	0	102_27					0		24	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10225	102	0	0	102_18					0		24	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10230	102	2	0	102_31			4000205		0	102006	4	1	1	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
10231	102	2	3	102_15			4000206		0	102007	4	1	1	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
10301	103	1	0	103_1					0			0	1	这里只是空地	這裡只是空地	This is just an empty lot.	ただの空き地です。	여기는 단순한 공터입니다	ที่นี่เป็นพื้นที่ว่าง
10302	103	2	0	103_12			4000301		1	103001	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10303	103	2	0	103_7			4000302		1	103002	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10304	103	2	3	103_37			4000303		1	103003	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10305	103	2	0	103_10			4000304		1	103004	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10306	103	3	4	103_40			4000305		0	103005	1	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10307	103	4	0	103_33				40006	0	103006	3	1	1	似乎会有什么好事发生	似乎會有什麼好事發生	It looks like something good is about to happen.	何かいいことが起こりそうですよ。	좋은 일이 생길 것 같아요	เหมือนว่า​จะ​มีเรื่อง​ดี​ๆ​ เกิดขึ้น​
10308	103	4	3	103_5				40005	0	103007	3	1	1	似乎会有什么好事发生	似乎會有什麼好事發生	It looks like something good is about to happen.	何かいいことが起こりそうですよ。	좋은 일이 생길 것 같아요	เหมือนว่า​จะ​มีเรื่อง​ดี​ๆ​ เกิดขึ้น​
10310	103	0	0	103_2					0		32	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10311	103	0	0	103_3					0		31	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10312	103	0	0	103_4					0		31	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10313	103	0	0	103_6					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10314	103	0	0	103_8					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10315	103	0	0	103_13					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10316	103	0	0	103_14					0		31	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10317	103	5	0	103_18					0		35	0	1	我们可以在附近找找通过的方法	我們可以在附近找找通過的方法	We can explore the area and find a way to proceed.	近くで突破する方法を探してみよう。	근처에서 지나갈 방법을 찾아볼 수 있습니다	พวกเรา​อาจ​ลอง​หา​วิธี​ผ่าน​ไป​ใน​บริเวณ​ใกล้เคียง​ได้​
10318	103	5	0	103_22					0		35	0	1	我们可以在附近找找通过的方法	我們可以在附近找找通過的方法	We can explore the area and find a way to proceed.	近くで突破する方法を探してみよう。	근처에서 지나갈 방법을 찾아볼 수 있습니다	พวกเรา​อาจ​ลอง​หา​วิธี​ผ่าน​ไป​ใน​บริเวณ​ใกล้เคียง​ได้​
10319	103	0	0	103_27					0		33	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10320	103	0	0	103_28					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10321	103	0	0	103_30					0		31	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10322	103	0	0	103_32					0		33	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10323	103	0	0	103_34					0		33	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10324	103	0	0	103_35					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10325	103	0	0	103_38					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10326	103	5	0	103_39					0		35	0	1	我们可以在附近找找通过的方法	我們可以在附近找找通過的方法	We can explore the area and find a way to proceed.	近くで突破する方法を探してみよう。	근처에서 지나갈 방법을 찾아볼 수 있습니다	พวกเรา​อาจ​ลอง​หา​วิธี​ผ่าน​ไป​ใน​บริเวณ​ใกล้เคียง​ได้​
10330	103	2	0	103_24			4000306		0	103008	4	1	1	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
10331	103	2	3	103_19			4000307		0	103009	4	1	1	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
10401	104	1	0	104_1					0			0	1	这里只是空地	這裡只是空地	This is just an empty lot.	ただの空き地です。	여기는 단순한 공터입니다	ที่นี่เป็นพื้นที่ว่าง
10402	104	2	0	104_21			4000401		1	104001	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10403	104	2	0	104_25			4000402		0	104002	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10404	104	2	0	104_17			4000403		1	104003	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10405	104	2	0	104_39			4000404		1	104004	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10406	104	3	2	104_10			4000405		0	104005	1	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10407	104	4	0	104_34				40006	0	104006	3	1	1	似乎会有什么好事发生	似乎會有什麼好事發生	It looks like something good is about to happen.	何かいいことが起こりそうですよ。	좋은 일이 생길 것 같아요	เหมือนว่า​จะ​มีเรื่อง​ดี​ๆ​ เกิดขึ้น​
10408	104	4	0	104_37				40005	0	104007	3	1	1	似乎会有什么好事发生	似乎會有什麼好事發生	It looks like something good is about to happen.	何かいいことが起こりそうですよ。	좋은 일이 생길 것 같아요	เหมือนว่า​จะ​มีเรื่อง​ดี​ๆ​ เกิดขึ้น​
10409	104	4	0	104_40				40002	0	104008	3	1	1	似乎会有什么好事发生	似乎會有什麼好事發生	It looks like something good is about to happen.	何かいいことが起こりそうですよ。	좋은 일이 생길 것 같아요	เหมือนว่า​จะ​มีเรื่อง​ดี​ๆ​ เกิดขึ้น​
10410	104	5	0	104_4					0		15	0	1	我们可以在附近找找通过的方法	我們可以在附近找找通過的方法	We can explore the area and find a way to proceed.	近くで突破する方法を探してみよう。	근처에서 지나갈 방법을 찾아볼 수 있습니다	พวกเรา​อาจ​ลอง​หา​วิธี​ผ่าน​ไป​ใน​บริเวณ​ใกล้เคียง​ได้​
10411	104	0	0	104_13					0		14	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10412	104	0	0	104_14					0		14	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10413	104	0	0	104_15					0		11	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10414	104	0	0	104_18					0		14	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10415	104	0	0	104_22					0		12	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10416	104	0	0	104_23					0		14	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10417	104	0	0	104_24					0		14	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10418	104	0	0	104_27					0		14	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10419	104	0	0	104_28					0		14	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10420	104	5	0	104_29					0		15	0	1	我们可以在附近找找通过的方法	我們可以在附近找找通過的方法	We can explore the area and find a way to proceed.	近くで突破する方法を探してみよう。	근처에서 지나갈 방법을 찾아볼 수 있습니다	พวกเรา​อาจ​ลอง​หา​วิธี​ผ่าน​ไป​ใน​บริเวณ​ใกล้เคียง​ได้​
10421	104	0	0	104_30					0		12	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10422	104	0	0	104_35					0		12	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10423	104	0	0	104_38					0		14	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10430	104	2	0	104_3			4000406		0	104009	4	1	1	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
10431	104	2	0	104_6			4000407		0	104010	4	1	1	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
10432	104	2	3	104_36	1		4000408		0	104011	4	1	1	好像发生了什么，去看看吗？	好像發生了什麼，去看看嗎？	It seems something has happened. Shall we go take a look?	何かあったようです。様子を見に行きますか？	뭔가 일이 일어난 것 같은데 확인하러 갈까요?	เหมือนว่า​จะ​เกิด​อะไร​ขึ้น​ ไปดู​สักหน่อย​ไหม​?​
10501	105	1	0	105_1					0			0	1	这里只是空地	這裡只是空地	This is just an empty lot.	ただの空き地です。	여기는 단순한 공터입니다	ที่นี่เป็นพื้นที่ว่าง
10502	105	2	0	105_12			4000501		1	105001	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10503	105	2	0	105_15			4000502	40005	1	105002	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10504	105	2	0	105_31			4000503		1	105003	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10505	105	2	0	105_40			4000504		1	105004	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10506	105	3	4	105_10	1		4000505		0	105005	1	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
