id	type	exp	fristRewards	fristRewardsNum	regularReward	regularRewardNum	showItem	showItemTag	showItemNum	status
12002517	1	0	9000068;4110001;3000003	100;5;84000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;84000;100	1
12002518	1	0	9000068;9012012;3000003	100;200;86000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;86000;100	1
12002519	1	0	9000068;4110001;3000003	100;5;88000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;88000;100	1
12002520	1	0	4190004;4100032;3000003	100;5;70000	9000067	100	4190004;4100032;3000003;9000067	3;3;3;1	100;5;70000;100	1
12002521	1	0	9000068;9012012;3000003	100;200;92000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;92000;100	1
12002522	1	0	9000068;4110001;3000003	100;5;94000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;94000;100	1
12002523	1	0	9000068;9012012;3000003	100;200;96000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;96000;100	1
12002524	1	0	9000068;4110001;3000003	100;5;98000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;98000;100	1
12002525	1	0	4190004;9000068;3000003	100;100;100000	9000067	100	4190004;9000068;3000003;9000067	3;3;3;1	100;100;100000;100	1
12002526	1	0	9000068;9012012;3000003	100;200;102000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;102000;100	1
12002527	1	0	9000068;4110001;3000003	100;5;104000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;104000;100	1
12002528	1	0	9000068;9012012;3000003	100;200;106000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;106000;100	1
12002529	1	0	9000068;4110001;3000003	100;5;108000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;108000;100	1
12002530	1	0	4190004;4100032;3000003	100;5;70000	9000067	100	4190004;4100032;3000003;9000067	3;3;3;1	100;5;70000;100	1
12002531	1	0	9000068;9012012;3000003	100;200;112000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;112000;100	1
12002532	1	0	9000068;4110001;3000003	100;5;114000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;114000;100	1
12002533	1	0	9000068;9012012;3000003	100;200;116000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;116000;100	1
12002534	1	0	9000068;4110001;3000003	100;5;118000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;118000;100	1
12002535	1	0	4190004;9000068;3000003	100;100;120000	9000067	100	4190004;9000068;3000003;9000067	3;3;3;1	100;100;120000;100	1
12002536	1	0	9000068;9012012;3000003	100;200;122000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;122000;100	1
12002537	1	0	9000068;4110001;3000003	100;5;124000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;124000;100	1
12002538	1	0	9000068;9012012;3000003	100;200;126000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;126000;100	1
12002539	1	0	9000068;4110001;3000003	100;5;128000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;128000;100	1
12002540	1	0	4190004;4100032;3000003	100;5;70000	9000067	100	4190004;4100032;3000003;9000067	3;3;3;1	100;5;70000;100	1
12002541	1	0	9000068;9012012;3000003	100;200;132000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;132000;100	1
12002542	1	0	9000068;4110001;3000003	100;5;134000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;134000;100	1
12002543	1	0	9000068;9012012;3000003	100;200;136000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;136000;100	1
12002544	1	0	9000068;4110001;3000003	100;5;138000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;138000;100	1
12002545	1	0	4190004;9000068;3000003	100;100;140000	9000067	100	4190004;9000068;3000003;9000067	3;3;3;1	100;100;140000;100	1
12002546	1	0	9000068;9012012;3000003	100;200;142000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;142000;100	1
12002547	1	0	9000068;4110001;3000003	100;5;144000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;144000;100	1
12002548	1	0	9000068;9012012;3000003	100;200;146000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;146000;100	1
12002549	1	0	9000068;4110001;3000003	100;5;148000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;148000;100	1
12002550	1	0	6240004;4190004;4100032	1;100;5	9000067	100	6240004;4190004;4100032;9000067	3;3;3;1	1;100;5;100	1
