id	type	showType	kind	quality	duration	stack	openType	openParameter	photoId	photoId2	photoId3	prefab	effectType	effectId	effectNum	dynamicAvatar	sort	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
6200102	62	621	1	5	7				61:player_img_620102				1	3000003	10	127:PlayerHead620102.prefab	11	1	绝对的胜利	絕對的勝利	Absolute Victory	絶対勝利	압도적 승리	ชัยชนะที่สมบูรณ์แบบ	头像·天梯竞技场段位达到王牌调查官Ⅴ的纪念	頭像·天梯競技場段位達到王牌調查官Ⅴ的紀念	Avatar: Memento for Reaching Ace Inspector Ⅴ division in the Arena	アイコン･アリーナランク戦のランクがエースVに達成	프로필·래더 아레나에서 에이스 조사관Ⅴ 티어를 달성한 기념으로 증정한다	รูป​โปรไฟล์​·​รำลึก​แรงก์​สกาย​อารี​น่า​ถึง​ผู้ตรวจการ​มือหนึ่ง​ Ⅴ​	第一名只能是我的！喵呜！	第一名只能是我的！喵嗚！	The first place can only be mine! Meow!	優勝を譲れない！にゃ！	1위는 오직 나뿐이라옹! 냐앙!	อันดับ​หนึ่ง​เป็น​ของ​ฉัน​แค่​คนเดียว​เท่านั้น​!​ เหมียว​!​
6200103	62	621	1	5	0				61:player_img_620103				1	3000003	10		22	1	雾影雾踪	霧影霧蹤	Fog's Veil	無影無踪	섀도우 미스트	หมอกเงาเลือนราง	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	他的心思，藏在面具之下，藏在迷雾之中。	他的心思，藏在面具之下，藏在迷霧之中。	His thoughts are hidden beneath the mask, shrouded in the mist.	仮面の下は、霧の中に隠された彼の心。	그의 마음은 가면 아래에, 안개 속에 숨겨져 있다.	ความในใจ​ของ​เขา​ ซุกซ่อน​อยู่​เบื้องหลัง​หน้ากาก​ และ​ซ่อนเร้น​อยู่​ท่ามกลาง​ม่าน​หมอก​
6200110	62	621	1	5	0				61:player_img_620110				1	3000003	10		33	1	预约专属头像	預約專屬頭像	Pre-registration Avatar	事前登録アイコン	사전예약 전용 프로필	รูป​โปรไฟล์​เฉพาะ​การ​ลง​ทะ​เบียบ​ล่วงหน้า​	头像·官网预约的纪念	頭像·官網預約的紀念	Avatar: A gift from Pre-registration	アイコン・事前登録記念	프로필-홈페이지 사전예약 기념	รูป​โปรไฟล์​·​รำลึก​การ​ลงทะเบียน​ล่วงหน้า​	欢迎来到猫之城，在新海市开始你的冒险吧。	歡迎來到貓之城，在新海市開始你的冒險吧。	Welcome to Cat Fantasy. Enjoy your life in Catto City!	キャットファンタジーへようこそ。さあ、新海市であなたの冒険を始めよう。	캣 판타지에 오신걸 환영합니다. 뉴오션 시티에서 새로운 모험을 시작하세요.	ยินดีต้อนรับ​สู่​ Cat​ Fantasy​ มา​เริ่มต้น​การผจญภัย​ของ​คุณ​ใน​แค​ทโตะ​ ซิตี้​กัน​เถอะ​
6200111	62	623	3	5	0				62:stickers_img_620111				1	3000003	10		18	1	寥若晨星	寥若晨星	Morning Stars	暁の星	빛나는 샛별	ดาวประกายพรึก	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	“谢谢大家的支持，我会继续努力的！”	“謝謝大家的支持，我會繼續努力的！”	"Thank you all for your unwavering support. I won't let you down!"	「皆さん、応援ありがとうございます！」	"다들 도와줘서 고마워요, 앞으로도 열심히 할게요!"	"​ขอบคุณ​ทุกคน​ที่​ให้การ​สนับสนุนนะ​ ฉัน​จะ​พยายาม​ต่อไป​!"​
6200112	62	623	3	5	0				62:stickers_img_620112				1	3000003	10		19	1	繁花似锦	繁花似錦	Floral Splendor	花よりも華やかに	플로라 블룸	บุปผาแพรไหม	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	“胜利什么的，不是理所当然的吗。”	“勝利什麼的，不是理所當然的嗎。”	"Victory? It's simply in my nature."	「優勝なんて、当たり前だわ。」	"승리 같은 건, 당연한 거잖아."	“​ฮึ ชัยชนะ​อะไร​กัน​ ของ​มัน​แน่นอน​อยู่แล้ว​ไม่​ใช่​รึไง​”​
6200113	62	622	2	5	0				61:player_frame_620113				1	3000003	10		40	1	灿若星辉	燦若星輝	Brilliant as Starlight	星よりも輝かしく	스타라이트	แสงดาราพร่างพราว	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	她的光芒比星辉更加耀眼。	她的光芒比星輝更加耀眼。	Her brilliance surpasses that of the starry night.	彼女は星よりも明るく輝いている。	그녀의 빛은 별빛보다 더 눈부시다.	รัศมี​โชติช่วง​ของ​เธอ​เจิดจ้า​ยิ่งกว่า​แสง​ดารา​
6200114	62	622	2	5	0				61:player_frame_620114				1	3000003	10		41	1	熠熠夺目	熠熠奪目	Dazzling and Bright	煌めくスター	샤이닝 다이아몬드	ประกายเจิดจรัส	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	她拿起麦克风的时候，就是绝对的中心。	她拿起麥克風的時候，就是絕對的中心。	The moment she takes the stage, all eyes are fixated on her.	マイクを手にした彼女は世界のセンター。	그녀가 마이크를 잡았을 땐, 그녀가 바로 세상의 중심이다.	เมื่อ​หยิบ​ไมโครโฟน​ขึ้น​มา​ เธอ​ก็​กลายเป็น​จุดศูนย์กลาง​ไป​โดย​สมบูรณ์​
6200119	62	622	2	6	35				61:player_frame_620119				1	3000003	10	128:PlayerHeadFrame620119.prefab	43	1	社团派对	社團派對	Clan Party	ギルドパーティー	클럽 파티	ปาร์ตี้ชมรม	头像框·社团特训第一名的纪念	頭像框·社團特訓第一名的紀念	Avatar Frame: Memento for Ranking No.1 in the Clan Campaign	アイコン枠･ギルド特訓1位	프로필 프레임· 클럽 트레이닝 1위 기념	กรอบ​โปรไฟล์​·​รำลึก​อันดับ​หนึ่ง​ใน​การ​ฝึก​พิเศษ​ของ​ชมรม​	动次打次，动次打次。	動次動次，動次動次。	Boom-Boom, the rhythm never ceases.	ドッタンドドタン！	둠칫탓칫, 둠칫탓칫.	ตุบตับๆ ตุบตับๆ
6200120	62	622	2	5	0				61:player_frame_620120				1	3000003	10		44	1	新岁寄愿	新歲寄願	New Year's Wishes	謹賀新年	새해의 소원	ความปรารถนาปีใหม่	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	你的每一次追问，都会得到远超期许的答复。	你的每一次追問，都會得到遠超期許的答覆。	Every one of your relentless questions will receive responses that surpass your expectations.	どんな質問にも、予想をはるかに超える答えが返ってくる。	매번 너의 첫 질문은 항상 기대했던 답변을 능가하지	ทุกครั้งที่​คุณ​ถาม​ ล้วน​ได้รับ​คำตอบ​ที่​เกิน​ความคาดหมาย​ไป​ไกล​
6200132	62	623	3	5	0				62:stickers_img_620132				1	3000003	10		20	1	冰晶美人	冰晶美人	Frosty Elegance	氷晶の美人	프로스트 레이디	หญิงงามผลึกน้ำแข็ง	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	即使是冰雕，也一如既往的优雅。	即使是冰雕，也一如既往的優雅。	Even as an ice sculpture, grace remains unchanged.	氷の彫刻になっても、相変わらずエレガントである。	한낱 얼음조각이지만, 한결같이 우아하다.	แม้​จะ​เป็น​รูปปั้น​น้ำแข็ง​ ก็​ยังคง​ความสง่างาม​ไว้​เหมือนเคย​
6200136	62	622	2	5	0				61:player_frame_620136				1	3000003	10		86	1	年年有鱼	年年有魚	Abundance Afloat	裕福ましまし	待定翻译内容年年有鱼	มั่งมีศรีสุข	头像框·运营活动获得	頭像框·運營活動獲得	Avatar Frame: Obtained from events.	アイコン枠・イベント報酬	프로필 프레임·운영 이벤트 통해 획득	กรอบ​โปรไฟล์​·​ได้รับ​จาก​กิจกรรม​การบริหาร​	调查官，今年也要一起玩耍呀~	調查官，今年也要一起玩耍呀~	Another spring comes by — let's make new memories together!	調査官、今年も一緒に遊ぼうね～	조사관님, 올해도 같이 놀아요~	ผู้ตรวจการ​ วันนี้​ก็​ต้อง​เที่ยวเล่น​ให้​สุดเหวี่ยง​ไป​เลย​นะ​~​
6200137	62	622	2	5	0				61:player_frame_620137				1	3000003	10		85	1	辞旧迎新	辭舊迎新	New Dawn Rising	新年を迎えて	송구영신	จากลาสิ่งเดิม รับขวัญสิ่งใหม่	头像框·参与於此夜重逢的纪念	頭像框·參與於此夜重逢的紀念	Avatar Frame: Memento for joining the event "Until We Meet Again."	アイコン枠・イベント「再会の夜」の参加記念	프로필 프레임·다시 만날 밤 참여 기념	กรอบ​โปรไฟล์​·​รำลึก​การ​เข้าร่วม​กิจกรรม​ "​ราตรี​หวน​พบ​"​	烟花之下，是即将开启的新一年。	煙花之下，是即將開啟的新一年。	Under a sky of bursting lights, a brand new year begins to bloom.	花火の下、新しい一年が始まろうとする。	불꽃놀이 아래에서, 곧 시작될 새로운 한 해.	ภายใต้​แสง​ดอกไม้ไฟ​ คือ​การ​เริ่มต้น​ของ​ปีใหม่​ที่​รอ​อยู่​เบื้องหน้า​
6200138	62	622	2	5	0				61:player_frame_620138				1	3000003	10		45	1	踏山河	踏山河	Across Lands and Seas	踏山河	산넘고 물건너	ย่ำขุนเขาธารา	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	一起走过的路一直都在，无论相隔有多遥远，只要心存羁绊，我们便会踏过这万千山河在此相逢。	一起走過的路一直都在，無論相隔有多遙遠，只要心存羈絆，我們便會踏過這萬千山河在此相逢。	Our shared odyssey endures, regardless of the distance that separates us. With hearts intertwined by cherished memories, we shall traverse every expanse of land and sea to reunite.	一緒に旅した道は、いつもそこにあった。どんなに離れていても、心に絆があるなら、ここでまた出会える。	함께 걸어온 길은 언제나 여기 있으며, 아무리 멀리 떨어져 있더라도 마음속에 인연이 있다면, 우리는 이 수많은 산을 넘고 물을 건너도 여기에서 다시 만날 것이다.	เส้นทาง​ที่​เคย​เดิน​ไป​ด้วยกัน​ยัง​คงอยู่​เสมอ​ ไม่​ว่า​ระยะทาง​จะ​ไกล​เพียง​ไหน​ ขอ​แค่​ใจ​ยังคง​ผูกพัน​ พวกเรา​จะ​ข้าม​ผ่าน​ภูเขา​และ​แม่น้ำ​นับ​หมื่น​นับ​พัน​ เพื่อ​มา​พบ​เจอกัน​ ณ​ ที่​แห่ง​นี้​
6200139	62	621	1	5	0				61:player_img_620139				1	3000003	10		76	1	璀璨灯火	璀璨燈火	Brilliant Lights	輝く灯火	찬란한 등불	แสงโคมพร่างพราย	头像·运营活动获得	頭像·運營活動獲得	Avatar: Obtained from events.	アイコン・イベント報酬	프로필·운영 이벤트 통해 획득	รูป​โปรไฟล์​·​ได้รับ​จาก​กิจกรรม​การบริหาร​	灯火万家城四畔,星河一道水中央。	燈火萬家城四畔,星河一道水中央。	Homes blaze with living light, as stars stream like rivers through the night.	城郭を照らす灯火に、水面に輝く銀河。	수많은 등불이 성곽 사방을 밝히고, 은하 한 줄기 물 위에 흐른다.	แสงไฟ​หมื่น​เรือน​โอบล้อม​สารทิศ​ หนึ่ง​สาย​นที​เปล่งประกาย​ดุจ​ทางช้างเผือก​กลาง​นคร​
6200140	62	621	1	5	0				61:player_img_620140				1	3000003	10		77	1	春朝映雪	春朝映雪	Snowlit Spring	春朝の雪	봄 아침에 비친 눈	หิมะ​ประกาย​แสง​อรุณ​แห่ง​วสันต์​	头像·运营活动获得	頭像·運營活動獲得	Avatar: Obtained from events.	アイコン・イベント報酬	프로필·운영 이벤트 통해 획득	รูป​โปรไฟล์​·​ได้รับ​จาก​กิจกรรม​การบริหาร​	春雪满空来，触处似花开。	春雪滿空來，觸處似花開。	Snow drifts upon the gentle spring air, blooming like flowers where it falls.	舞い降りる春雪が、そっと花開く。	봄눈이 하늘 가득 내리니, 닿는 곳마다 꽃이 피는 듯하다.	หิมะ​วสันต์​โปรยปราย​เต็ม​นภา​ แตะต้อง​ที่ใด​ คล้าย​บุปผา​ผลิบาน​
6200141	62	621	1	5	0				61:player_img_620141				1	3000003	10		78	1	双星照暖	雙星照暖	Twin Stars Aglow	双星の温もり	쌍성이 비추는 온기	สองดาราแสงนวล	头像·运营活动获得	頭像·運營活動獲得	Avatar: Obtained from events.	アイコン・イベント報酬	프로필·운영 이벤트 통해 획득	รูป​โปรไฟล์​·​ได้รับ​จาก​กิจกรรม​การบริหาร​	灯火映出星瀚起,一岁双星照暖还。	燈火映出星瀚起,一歲雙星照暖還。	Lanterns and starlight intertwine — two lights shine upon the turning spring.	灯火に映し出され、双星が新たな一年を照らす。	등불이 별바다를 비추고, 한 해의 쌍성이 다시 따스히 빛난다.	แสง​โคม​สะท้อน​ดารา​สมุทร​พร่างพราย​ หนึ่ง​ปี​ผ่าน​ไป​ แสง​ของ​สอง​ดวง​ดารา​ยังคง​อบอุ่น​ดังเช่น​เดิม​
6200142	62	621	1	5	0				61:player_img_620142				1	3000003	10		79	1	猫咪炮手	貓咪炮手	Cat Gunner	キャットガンナー	프로필·이벤트  보상	พลปืนแมวเหมียว	头像·运营活动获取	頭像·運營活動獲取	Avatar: Obtained from events.	アイコン・イベント報酬	프로필·운영 이벤트 획득	รูป​โปรไฟล์​·​ได้รับ​จาก​กิจกรรม​บริหาร​	“砰！看你往哪儿逃！”	“砰！看你往哪兒逃！”	"Boom! Let's see you run now!"	バンッ！逃がさないよ！	쾅! 어디로 도망가는지 보세요	ปัง​!​ ดู​สิ​ว่า​คราวนี้​จะ​หนี​ไป​ไหน​ได้​!​
6200145	62	623	3	5	0				62:stickers_img_620145				1	3000003	10		21	1	错时沙漏	錯時沙漏	Time-bending Hourglass	砂時計	뒤틀린 모래시계	นาฬิกาทรายข้ามเวลา	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	传说中可以操纵时间的沙漏，是否真的能改变命运呢？	傳說中可以操縱時間的沙漏，是否真的能改變命運呢？	Can the fabled hourglass, which controls time, truly alter destiny?	時を操る伝説の砂時計。本当に運命を変えることができるのか？\n	시간을 조작할 수 있다는 전설 속의 모래시계가 정말로 운명을 바꿀 수 있을까요?	นาฬิกาทราย​ใน​ตำนาน​ที่​สามารถ​ควบคุม​เวลา​ได้​ มัน​สามารถ​เปลี่ยนแปลง​โชคชะตา​ได้​จริง​ไหม​นะ​?​
6200153	62	621	2	5	0				61:player_frame_620153				1	3000003	10		48	1	春日洛樱	春日洛櫻	Springtime Cherry Blossom	春の桜	봄날의 벚꽃	ใบไม้ผลิซากุระร่วงโรย	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	风吹过，樱落满地，快一起找回桃花酒，欢庆桃源节。	風吹過，櫻落滿地，快一起找回桃花酒，歡慶桃源節。	As the breeze sweeps through, the ground is covered in cherry petals. Join the quest to find the Peach Blossom Brew and revel in the Peach Blossom Festival.	風が吹いて、桜の花びらが一面に散る。一緒に桃花酒を見つけ、桃源祭りを祝おう。	바람이 불어 와 벚꽃 잎이 휘날리고, 함께 복숭아주를 찾으며, 도원절을 축하한다	ลม​พัดผ่าน​ ซากุระ​ร่วงโรย​ รีบ​ไปหา​สุรา​ดอก​ท้อ​กัน​เถอะ​ มา​ร่วม​ฉลอง​เทศกาล​สุขาวดี​ด้วยกัน​
6200163	62	621	1	5	0				61:player_img_620163				1	3000003	10		79	1	海洋巡游	海洋巡遊	Ocean Voyage	深海パレード	해양 순항	ล่องไปบนผืนสมุทร	头像·萤流浪速活动的纪念	頭像·螢流浪速活動的紀念	Avatar: Memento for the Aqua Thrills event	アイコン・イベント『蛍流浪速』の参加記念	프로필·반딧불 춤 이벤트 참가 기념	รูป​โปรไฟล์​·​รำลึก​กิจกรรม​ "​คลื่นประกายดาว​"​	夏天到了，在浅海区域游玩也要注意安全。	夏天到了，在淺海區域遊玩也要注意安全。	Summer is here. Stay safe while having fun in shallow waters.	夏がやってきた。浅瀬で遊ぶときも安全には気をつけようね。	여름이 왔어요. 얕은 바다에서 놀 때도 안전에 유의하세요.	หน้าร้อน​มาถึง​แล้ว​ แต่​ถึง​จะ​เล่น​น้ำ​ใน​เขต​น้ำ​ตื้น​ก็​ควรจะ​ระวัง​เรื่อง​ความปลอดภัย​ไว้​ด้วย​นะ​
6200170	62	621	1	5	0				61:player_img_620170				1	3000003	10		27	1	菡萏笑	菡萏笑	Lotus Smile	菡萏笑	연꽃의 미소	บัวเบิกบาน	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	菡萏新花晓并开，浓妆美笑面相隈。	菡萏新花曉並開，濃妝美笑面相隈。	A new lotus blossoms at dawn, exuding breathtaking beauty and a warm, embracing smile.	菡萏の花は一斉に咲き誇り、美しい笑顔を浮かべているようだ。	새벽에 피어난 연꽃이 서로를 기대며 피어나고, 짙은 화장을 한 아름다운 미소가 얼굴에 어린다.	ดอก​บัวผุด​บาน​ใน​ยามเช้า​ แต่ง​แต้ม​ไป​ด้วย​สีสัน​และ​รอยยิ้ม​ที่​สวย​สด​งดงาม​
6200171	62	622	2	5	0				61:player_frame_620171				1	3000003	10		47	1	华灯绮梦	華燈綺夢	Glittering Lanterns	華灯綺夢	등불과 꿈	โคมงามฝันสง่า	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	华灯初上夜未央，却道不过是绮梦一场。	華燈初上夜未央，卻道不過是綺夢一場。	When the lanterns begin to illuminate the night, they narrate a grand yet fleeting dream.	夜が訪れ、夜景が華やぎ、しかしそれは美しい夢に過ぎない。	화려한 등불이 처음 켜지고 밤이 깊지 않았지만, 그저 화려한 꿈이었다.	แสงไฟ​เริ่ม​ส่องสว่าง​ใน​ยามค่ำคืน​ที่​ยัง​ไม่​สิ้นสุด​ แต่กลับ​พูด​ได้​ว่า​เป็น​เพียงแค่​ความฝัน​ที่​งดงาม​เท่านั้น​
6200172	62	623	3	5	0				62:stickers_img_620172				1	3000003	10		23	1	风物诗	風物詩	Ode to Seasons	風物詩	자연의 시	ลำนำสุขนิรันดร์	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	那清脆的「叮铃」声响，伴随着绚烂的花火，编制成最美的风物诗。	那清脆的「叮鈴」聲響，伴隨著絢爛的花火，編制成最美的風物詩。	The crisp "ting" sound, accompanied by dazzling fireworks, composes the most enchanting poetry of the seasons.	チリンと澄んだ音が、華やかな花火とともに、最も美しい風物詩を紡ぎ出す。\n	그 맑고 경쾌한 '딩동' 소리가, 화려한 불꽃놀이와 함께, 가장 아름다운 풍경시를 자아냈다.	เสียง​ "​กรุ๊ง​กริ๊ง​"​ ที่​แหลม​ใส​ บรรเลง​ร่วมกับ​ดอกไม้ไฟ​ที่​สวยงาม​ ถัก​ทอ​เป็น​บทกวี​ที่​งดงาม​ที่สุด​จาก​ธรรมชาติ​
6210183	62	621	1	5	0				61:player_img_620183				1	3000003	10		80	1	绚烂时光	絢爛時光	Shimmering Days	煌くひととき	찬란한 시간	ห้วงเวลา​แสง​สี​พร่างพราย​	头像·运营活动获得	頭像·運營活動獲得	Avatar: Obtained from events.	アイコン・イベント報酬	프로필·운영 이벤트 통해 획득	รูป​โปรไฟล์​·​ได้รับ​จาก​กิจกรรม​การบริหาร​	和她相处的每一天，都充满着绚烂的气泡。	和她相處的每一天，都充滿著絢爛的氣泡。	Every day with her is filled with shimmering bubbles.	彼女と過ごす毎日は、きらめく泡に満ちている。	그녀와 함께하는 매일은 찬란한 거품으로 가득하다.	ทุก​วันที่​ได้​ใช้เวลา​ร่วมกับ​เธอ​ เต็มไปด้วย​ฟองอากาศ​พร่างพราย​แสน​งดงาม​
