id	type	showType	quality	stack	openType	openParameter	showGotoIcon	photoId	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
3000015	30	301	4	-1	518	0	1	6:goods_icon_3000015	0	0	0	1	空运票	空運票	Airway Ticket	空便券	항공 운송 티켓	ตั๋วขนส่งทางอากาศ	可在空运商店中兑换各式奖励	可在空運商店中兌換各式獎勵	Can be exchanged for various rewards at the Air Express Shop.	空便ショップで様々な報酬を交換できる	항공 운송 상점에서 각종 보상으로 교환 가능	ใช้​แลก​รางวัล​ใน​ร้าน​ขนส่ง​ทางอากาศ​	贝克街的猫对外贩卖的空运票，用于奖励给积极完成离岛空运订单的调查官。	貝克街的貓對外販賣的空運票，用於獎勵給積極完成離島空運訂單的調查官。	Baker's Cafe offers Airway Tickets as rewards to Inspectors who actively complete Air Express orders.	ベイカーキャットが一般に販売している空便券。離島空便注文を積極的に遂行した調査官に報酬を支給するために使用される。	베이커 가의 고양이에서 대외적으로 판매하는 항공 운송 티켓으로, 항공 운송 포인트를 성공적으로 모은 조사관에게 보상을 주기 위한 용도로 사용된다.	ตั๋ว​ขนส่ง​ทางอากาศ​ของ​เบเกอร์​แค​ท​ ใช้​เป็น​รางวัล​ให้​ผู้ตรวจการ​ที่​ส่ง​ออเดอร์​ทางอากาศ​ไป​ยัง​เกาะ​นอก​ชายฝั่ง​
3000016	30	301	4	-1	521;518	0	0	6:goods_icon_3000016	0	0	0	1	小费	小費	Tips	心付け	팁	ทิป	可在小费商店中兑换各式奖励	可在小費商店中兌換各式獎勵	Can be exchanged for various rewards at the Tips Shop.	交換所で様々な報酬を交換する時に使われる。	팁 상점에서 각종 보상으로 교환 가능	ใช้​แลก​รางวัล​ใน​ร้านค้า​ทิป​	来往餐厅的顾客，品尝到中意的味道后所给予的小费。	來往餐廳的顧客，品嘗到中意的味道後所給予的小費。	Tips from satisfied customers who enjoyed their dining experience.	レストランに来店し、気に入る味を味わった客が渡す心付け。	카페테리아를 찾은 손님들이 마음에 드는 음식을 먹었을 때 부여하는 팁이다.	ทิป​ที่​ลูกค้า​ให้​หลังจาก​มา​ที่​คาเฟ่​และ​ได้​ลิ้ม​รสชาติ​ที่​ชอบ​
3000017	30	301	4	-1	0	0	0	6:goods_icon_3000017	0	0	0	1	社团积分	社團積分	Clan Point	ギルドポイント	클럽 포인트	คะแนนชมรม	可在社团商店中兑换奖励	可在社團商店中兌換獎勵	Can be exchanged for rewards at the Clan Shop.	ギルドショップで報酬交換時に使用できる。	클럽 상점 상점에서 각종 보상으로 교환 가능	ใช้​แลก​รางวัล​ใน​ร้านค้า​ชมรม​	社团成员参与社团活动后所获得的积分，可在社团商店换得各种物资。	社團成員參與社團活動後所獲得的積分，可在社團商店換得各種物資。	Earned by clan members participating in clan events. These points can be exchanged for various supplies at the Clan Shop.	ギルドメンバーがギルドイベントに参加して獲得するポイント。ギルドショップでさまざまな物資と交換できる。	클럽 멤버가 클럽 활동에서 획득할 수 있는 포인트로 클럽 상점에서 각종 물품으로 교환할 수 있습니다.	คะแนน​ที่​ได้รับ​หลัง​เข้าร่วม​กิจกรรม​ชมรม​ ใช้​แลก​ไอเทม​ต่างๆ​ ได้ที่​ร้านค้า​ชมรม​
3000018	30	301	6	-1	517;636	0	0	6:goods_icon_3000018	0	0	0	1	猫球券	貓球券	Cato Ticket	ガト券	냥냥볼 티켓	ตั๋วแคทบอล	可用于召唤猫球	可用於召喚貓球	Can be used to summon Catos.	ガトを召喚できる。	냥냥볼을 소환하는 데 사용된다	ใช้ในการหมุนแคทบอล	将其放入猫球机中即可召唤猫球。	將其放入貓球機中即可召喚貓球。	Place it into the Cato Machine to summon a Cato.	ガトマシンに入れるとガトの召喚を行える。	냥냥볼 뽑기에 넣어 냥냥볼을 소환.	หยอด​ลง​ไป​ใน​ตู้​กา​ชา​แค​ทบ​อท​เมื่อ​หมุน​แค​ทบ​อล​
3000019	30	301	4	-1	411	0	1	6:goods_icon_3000019	0	0	0	1	心灵特训通行证	心靈特訓通行證	Mind Pass	特訓パス	마인드 트레이닝 통행증	พาสฝึกสปิริต	可用于解锁心灵强化特训	可用于解鎖心靈強化特訓	Can be used to unlock the Mind Zone.	強化特訓の開放に使用できる。	마인드 트레이닝 해제에 사용	ใช้​ปลดล็อก​การ​ฝึก​เสริม​พลัง​สปิริต​	在卡尔森训练中枢的各种训练中，首次获得优秀评级的奖励，可前往心灵强化特训区进行下一阶段的训练。	在卡爾森訓練中樞的各種訓練中，首次獲得優秀評級的獎勵，可前往心靈強化特訓區進行下一階段的訓練。	Achieve an excellent rating in the Training Hub to unlock the next stage in the Mind Zone.	訓練中枢の各種訓練の中で、初回で評価「優秀」の報酬を獲得すると、次の段階の強化特訓が解放される。	훈련 허브의 각종 훈련 중 처음 우수 등급을 성적을 획득했을 때 주어지는 보상으로 마인드 트레이닝 구역에서 다음 단계의 훈련을 진행할 수 있다.	รางวัล​สำหรับ​การ​ได้รับ​คะแนน​ระดับ​ยอดเยี่ยม​ครั้งแรก​ใน​การ​ฝึก​ของ​คอร์​ล​สัน​ สามารถ​เข้าสู่​พื้นที่​ฝึก​เสริม​พลัง​สปิริต​เพื่อ​ฝึกฝน​ขั้น​ต่อไป​ได้​
3000022	30	302	5	-1	0	0	1	6:goods_icon_3000022	0	0	0	1	幻影特训证	幻影特訓證	Master Duel Ticket	ファントム特訓券	팬텀 특훈 입장권	พาสสนามซ้อมแฟนธ่อม	参与幻影特训场的必要凭证	參與幻影特訓場的必要憑證	The required pass to participate in the Master Duel.	ファントム特訓を参加するには必要な入場券。	팬텀 특훈장 참가 필요 증서	เอกสาร​ที่​จำเป็น​สำหรับ​การ​เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​	在幻影特训场进行独立小队对抗强者幻影所需的证件。	在幻影特訓場進行獨立小隊對抗強者幻影所需的證件。	The pass required for an individual team to fight powerful Phantoms in the Master Duel.	ファントム特訓場で単独チームで強者の幻影を挑戦するための資格証明。	팬텀 특훈장에서 독립 팀이 강력한 팬텀에 대항하기 위해 필요한 증서이다.	เอกสาร​ที่​จำเป็น​สำหรับ​การต่อสู้​ใน​สนาม​ซ้อม​แฟน​ธอม​ โดย​ใช้​ทีม​เดียว​ใน​การต่อสู้​กับ​แฟน​ธอม​ของ​ผู้​แข็งแกร่ง​
3000023	30	301	5	-1	0	0	0	6:goods_icon_3000023	0	0	0	1	巡夜勋章	巡夜勳章	Nightly Patrol Medal	パトロール勲章	야간 순찰 메달	ตราลาดตระเวน	可用于夜间巡逻商店中兑换各式奖励	可用於夜間巡邏商店中兌換各式獎勵	Can be exchanged for various rewards at the Nightly Patrol Shop.	夜間パトロールショップで様々な報酬を交換できる。	야간 순찰 상점에서 다양한 보상으로 교환할 수 있다	ใช้​แลก​รางวัล​ได้ที่​ร้าน​ลาดตระเวน​ยาม​ราตรี​	在夜间巡逻玩法中获得的勋章，可用于夜间巡逻商店的物品兑换	在夜間巡邏玩法中獲得的勳章，可用於夜間巡邏商店的物品兌換	Medals acquired from the Nightly Patrol, can be exchanged for items in the Nightly Patrol Shop.	夜間パトロールで入手できる勲章。夜間パトロールショップでアイテムを交換できる。	야간 순찰 콘텐츠 참여 시 획득하는 메달, 야간 순찰 상점에서 아이템으로 교환할 수 있다	ตรา​ที่​ได้รับ​จาก​โหมด​ลาดตระเวน​ยาม​ราตรี​ ใช้​แลก​รางวัล​ได้ที่​ร้าน​ลาดตระเวน​ยาม​ราตรี​
3000024	30	301	5	-1	0	0	0	6:goods_icon_3000024	0	0	0	1	试炼信物	試煉信物	Trial Token	試練の証	시련의 증거	สัญลักษณ์ทดสอบ	带有猫元素的指南针。外形类似指南针，上面的指南标记略模糊。	帶有貓元素的指南針。外形類似指南針，上面的指南標記略模糊。	A cat-themed compass, resembling a traditional one but with slightly vague directional markings.	コンパス。ガイドマークは少しぼやけている。	캣 원소가 들어있는 나침반. 외형은 나침반과 뜩같지만, 방향을 표시가 약간 모호하다.	เข็มทิศ​ที่​มี​องค์ประกอบ​ของ​แมวเหมียว​ รูปลักษณ์​ภายนอก​คล้าย​เข็มทิศ​ทั่วไป​ แต่​เข็มที่ใช้​ชี้​ทิศ​กลับ​ดู​เลือนราง​ไม่​ชัดเจน​	小巧的指南针，似乎能带领使用者前往神秘的猫族试炼场地。	小巧的指南針，似乎能帶領使用者前往神秘的貓族試煉場地。	This compact compass seems to guide its bearer to the mysterious Felinian trial ground.	小さめなコンパス。使用者をフェリニアンスの試練の地へ導く。	작은 나침반. 사용자를 신비한 캣족의 시련 장소로 인도하는 것만 같다.	เข็มทิศ​ขนาดเล็ก​ที่​เหมือน​จะ​นำทาง​ผู้ใช้​ไป​ยัง​สนาม​ทดสอบ​ลึกลับ​ของ​เผ่า​แมว​
3000025	30	301	5	-1	0	0	1	6:goods_icon_3000025	0	0	0	1	积分	積分	Points	ポイント	포인트	คะแนน	用于夜间巡逻积分奖励计算	用於夜間巡邏積分獎勵計算	Used to calculate Nightly Patrol Points and rewards.	夜間パトロールポイント報酬受取に使用できる。	야간 순찰 포인트 보상 계산에 사용된다.	ใช้​สำหรับ​คำนวณ​รางวัล​คะแนน​โหมด​ลาดตระเวน​ยาม​ราตรี​	在夜间巡逻中获得，获取足够数量可领取对应奖励	在夜間巡邏中獲得，獲取足夠數量可領取對應獎勵	Obtained in Nightly Patrols. Collect a sufficient amount to claim the corresponding reward.	夜間パトロールで獲得できる。一定の数を入手すると、相応の報酬が貰える。	야간 순찰에서 충분한 수량을 획득하고 대응되는 보상을 수령할 수 있다	ได้รับ​จาก​โหมด​ลาดตระเวน​ยาม​ราตรี​ เมื่อ​สะสม​ถึง​จำนวน​ที่​กำหนด​จะ​ได้​รับรางวัล​
3000026	30	301	5	-1	0	0	1	6:goods_icon_3000026	0	0	0	1	「幸运领航」奖券	「幸運領航」獎券	Lucky Navigation Ticket	「ラッキーガイド」抽選券	「행운 내비」상품 티켓	คูปอง​รางวัล​ [​ตั๋ว​นำ​โชค​]​	滑动刮奖有机会获得各类奖品，仅在活动当期有效，请尽快使用！	滑動刮獎有機會獲得各類獎品，僅在活動當期有效，請儘快使用！	Swipe to scratch and win a variety of prizes. Valid only during the event period, so please use them promptly!	スクラッチ抽選で、さまざまな賞品を手に入れるチャンスがあります。ただし、イベント期間中のみ有効ですので、お早めにご利用ください！	긁으면 다양한 상품을 얻을 수 있습니다. 이벤트 기간 내에만 유효하니 기간 내에 사용하세요!	ขูด​คูปอง​ลุ้น​รับรางวัล​ต่างๆ​ ใช้ได้​เฉพาะ​ช่วงเวลา​กิจกรรม​ กรุณา​รีบ​ใช้​ให้​หมด​!​	在「猫咪巴士大追击」中获得的奖券。	在「貓咪巴士大追擊」中獲得的獎券。	A ticket earned from the Urban Whisker Chase.	「ニャンコバス大競走」で獲得した抽選券。	「냥냥버스 대작전」에서 획득한 티켓이다	คูปอง​ที่​ได้รับ​จาก​กิจกรรม​ [​รถบัส​เหมียว​ตะลุย​โลก​]​
3000027	30	301	5	-1	0	0	1	6:goods_icon_3000027	0	0	0	1	幻变粉尘	幻變粉塵	Morph Powder	変化の幻粉	팬텀 더스트	ผงแปลงสภาพ	占位	占位	无翻译	Pending占位	待定翻译内容占位	ตำแหน่งสำรอง	占位	占位	无翻译	Pending占位	待定翻译内容占位	ตำแหน่งสำรอง
3000028	30	301	5	-1	601	0	1	6:goods_icon_3000028	0	0	0	1	光暗晶石	光暗晶石	Luminoxite	光暗石	샤이닝 다크 크리스털	ผลึกดาร์กไลต์	在光之召唤、暗之召唤活动中获得；用于在光暗商店中兑换道具	在光之召喚、暗之召喚活動中獲得；用於在光暗商店中兌換道具	Can be obtained from the Luminous Summon and Nox Summon events and used for item exchanges in the Luminox Shop.	「光の召喚」「暗の召喚」で入手可能。雑貨屋で報酬と交換できる。	빛의 소환, 어둠의 소환 이벤트에서 획득할 수 있으며, 샤이닝 다크 상점에서 아이템을 교환할 수 있다.	ได้รับ​จาก​ "สรรหาแสง" ​และ​ "สรรหามืด"​ ​ใช้​แลก​ไอเทม​ใน​ร้าน​ดาร์ก​ไลต์​	储存大量着黑色情绪、白色情绪能量的晶石	儲存大量著黑色情緒、白色情緒能量的晶石	Contains abundant Black Pathos and White Pathos Energy.	白と黒のエモーションエネルギーが大量に蓄えられている。	대량의 블랙 이모션 에너지, 화이트 이모션 에너지가 포함된 크리스털이다.	คริสตัล​ที่เก็บ​พลังงาน​พา​โธ​สดำ​ พา​โธ​สขา​ว​ ไว้​ใน​ปริมาณ​มหาศาล​
3000029	30	301	5	-1	0	0	1	6:goods_icon_5900000	0	0	0	1	星屑	星屑	Star Dust		별가루	ละอองดาว	战牌分解获得的道具，可用于购买全新的战牌	戰牌分解獲得的道具，可用于購買全新的戰牌	Items obtained from salvaging Battle Cards can be used to purchase new Battle Cards.	戦札を分解して獲得できるアイテム。新しい戦札を購入するために使用できる。	배틀카드를 분해하면 얻을 수 있는 아이템. 배틀카드 구매에 사용된다	ไอเทม​ที่​ได้​หลังจาก​การ​แยกส่วน​แบตเทิลการ์ด​ ใช้​สำหรับ​ซื้อ​แบตเทิลการ์ด​ใบ​ใหม่​	每一次选择的背后，都是群星闪耀的宇宙。	每一次選擇的背後，都是群星閃耀的宇宙。	Behind every choice lies a universe glittering with stars.	一つ一つの選択の背後には、星々が輝く宇宙が広がっている。	매번 선택 후, 빛나는 우주가 있으리라	ทุก​การ​เลือก​ ล้วน​สะท้อน​จักรวาล​ที่​เต็มไปด้วย​ดวงดาว​
