id	type	showType	quality	stack	openType	openParameter	photoId	effectType	catId	propertyId	propertyMin	propertyMax	kind	num	appoint	skinKind	skinColor	effectNum	effectId	boxPrefab	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
6402006	64	641	5	0	0	0	36:catball_card_102006	601											6402006		1	魔法少喵	魔法少喵	Abracadabra	魔法少女	마법소녀냥	วิซาร์ดตี้	用于解锁猫球：魔法少喵	用於解鎖貓球：魔法少喵	Unlocks Cato: Abracadabra.	使用すると、ガト「魔法少女」が解放される。	냥냥볼 해제에 사용: 마법소녀냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ วิ​ซาร์​ดตี้​	若已获得魔法少喵，则会获得对应的基因。	若已獲得魔法少喵，則會獲得對應的基因。	If you already have Abracadabra, you will receive the corresponding gene instead.	既に「魔法少女」を所有している場合、対応する遺伝子に変換される。	이미 마법소녀냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​วิ​ซาร์​ดตี้​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6402007	64	641	4	0	0	0	36:catball_card_102007	601											6402007		1	欢乐小丑	歡樂小丑	Mr. Clownpaw	ハッピーピエロ	어릿광대냥	แคทโจ๊กเกอร์	用于解锁猫球：欢乐小丑	用於解鎖貓球：歡樂小丑	Unlocks Cato: Mr. Clownpaw.	使用すると、ガト「ハッピーピエロ」が解放される。	냥냥볼 해제에 사용: 어릿광대냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ แค​ท​โจ๊ก​เกอร์​	若已获得欢乐小丑，则会获得对应的基因。	若已獲得歡樂小丑，則會獲得對應的基因。	If you already have Mr. Clownpaw, you will receive the corresponding gene instead.	既に「ハッピーピエロ」を所有している場合、対応する遺伝子に変換される。	이미 어릿광대냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​แค​ท​โจ๊ก​เกอร์​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6402008	64	641	4	0	0	0	36:catball_card_102008	601											6402008		1	福气包包	福氣包包	Fortune Bun	福ふくねこ	복만두냥	ลัคกี้แคท	用于解锁猫球：福气包包	用於解鎖貓球：福氣包包	Unlocks Cato: Fortune Bun.	使用すると、ガト「福ふくねこ」が解放される。	냥냥볼 해제에 사용: 복만두냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ ลัค​กี้​แค​ท​	若已获得福气包包，则会获得对应的基因。	若已獲得福氣包包，則會獲得對應的基因。	If you already have Fortune Bun, you will receive the corresponding gene instead.	既に「福ふくねこ」を所有している場合、対応する遺伝子に変換される。	이미 복만두냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​ลัค​กี้​แค​ท​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6402009	64	641	4	0	0	0	36:catball_card_102009	601											6402009		1	咪子汽水	咪子汽水	Soda Pop	ラムネソーダ	냐옹 에이드	เหมียวโซดา	用于解锁猫球：咪子汽水	用於解鎖貓球：咪子汽水	Unlocks Cato: Soda Pop.	使用すると、ガト「ラムネソーダ」が解放される。	냥냥볼 해제에 사용: 냐옹 에이드	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ เหมียว​โซดา​	若已获得咪子汽水，则会获得对应的基因。	若已獲得咪子汽水，則會獲得對應的基因。	If you already have Soda Pop, you will receive the corresponding gene instead.	既に「ラムネソーダ」を所有している場合、対応する遺伝子に変換される。	이미 냐옹 에이드를 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​เหมียว​โซดา​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6402010	64	641	5	0	0	0	36:catball_card_102010	601											6402010		1	冬日雪宝	冬日雪寶	Snowbaby	雪だるま	보드마스터냥	สโนว์แมน	用于解锁猫球：冬日雪宝	用於解鎖貓球：冬日雪寶	Unlocks Cato: Snowbaby.	使用すると、ガト「雪だるま」が解放される。	냥냥볼 해제에 사용: 보드마스터냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ ส​โน​ว์​แมน​	若已获得冬日雪宝，则会获得对应的基因。	若已獲得冬日雪寶，則會獲得對應的基因。	If you already have Snowbaby, you will receive the corresponding gene instead.	既に「雪だるま」を所有している場合、対応する遺伝子に変換される。	이미 보드마스터냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​ส​โน​ว์​แมน​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403001	64	641	5	0	0	0	36:catball_card_103001	601											6403001		1	血月之殇	血月之殤	Tutancatmun	ブラッディムーン	블러드문냥	บลัดมูน	用于解锁猫球：血月之殇	用於解鎖貓球：血月之殤	Unlocks Cato: Tutancatmun.	使用すると、ガト「ブラッディムーン」が解放される。	냥냥볼 해제에 사용: 블러드문냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ บ​ลัด​มูน​	若已获得血月之殇，则会获得对应的基因。	若已獲得血月之殤，則會獲得對應的基因。	If you already have Tutancatmun, you will receive the corresponding gene instead.	既に「ブラッディムーン」を所有している場合、対応する遺伝子に変換される。	이미 블러드문냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​บ​ลัด​มูน​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403002	64	641	5	0	0	0	36:catball_card_103002	601											6403002		1	喵喵甜心	喵喵甜心	Pretty in Pink	みんなのアイドル	스위트냥	คิตตี้ฮาร์ท	用于解锁猫球：喵喵甜心	用於解鎖貓球：喵喵甜心	Unlocks Cato: Pretty in Pink.	使用すると、ガト「みんなのアイドル」が解放される。	냥냥볼 해제에 사용: 스위트냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ คิตตี้​ฮาร์ท​	若已获得喵喵甜心，则会获得对应的基因。	若已獲得喵喵甜心，則會獲得對應的基因。	If you already have Pretty in Pink, you will receive the corresponding gene instead.	既に「みんなのアイドル」を所有している場合、対応する遺伝子に変換される。	이미 스위트냥를 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​คิตตี้​ฮาร์ท​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403003	64	641	5	0	0	0	36:catball_card_103003	601											6403003		1	千层雪糕	千層雪糕	Mille Feuille	ソフトクリーム	아이스냥	สโนว์ครีม	用于解锁猫球：千层雪糕	用於解鎖貓球：千層雪糕	Unlocks Cato: Mille Feuille.	使用すると、ガト「ソフトクリーム」が解放される。	냥냥볼 해제에 사용: 아이스냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ ส​โน​ว์​ครีม​	若已获得千层雪糕，则会获得对应的基因。	若已獲得千層雪糕，則會獲得對應的基因。	If you already have Mille Feuille, you will receive the corresponding gene instead.	既に「ソフトクリーム」を所有している場合、対応する遺伝子に変換される。	이미 아이스냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​ส​โน​ว์​ครีม​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403004	64	641	5	0	0	0	36:catball_card_103004	601											6403004		1	天籁歌姬	天籟歌姬	Songbird Supreme	奇跡の歌姫	아이돌냥	เซเรเนด	用于解锁猫球：天籁歌姬	用於解鎖貓球：天籟歌姬	Unlocks Cato: Songbird Supreme.	使用すると、ガト「奇跡の歌姫」が解放される。	냥냥볼 해제에 사용: 아이돌냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ เซ​เร​เนด​	若已获得天籁歌姬，则会获得对应的基因。	若已獲得天籟歌姬，則會獲得對應的基因。	If you already have Songbird Supreme, you will receive the corresponding gene instead.	既に「奇跡の歌姫」を所有している場合、対応する遺伝子に変換される。	이미 아이돌냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​เซ​เร​เนด​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403005	64	641	5	0	0	0	36:catball_card_103005	601											6403005		1	爱丽喵丝	愛麗喵絲	Alice in Whiskersland	不思議のニャリス	앨리스냥	อลิซ	用于解锁猫球：爱丽喵丝	用於解鎖貓球：愛麗喵絲	Unlocks Cato: Alice in Whiskersland.	使用すると、ガト「不思議のニャリス」が解放される。	냥냥볼 해제에 사용: 앨리스냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ อ​ลิ​ซ​	若已获得爱丽喵丝，则会获得对应的基因。	若已獲得愛麗喵絲，則會獲得對應的基因。	If you already have Alice in Whiskersland, you will receive the corresponding gene instead.	既に「不思議のニャリス」を所有している場合、対応する遺伝子に変換される。	이미 앨리스냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​อ​ลิ​ซ​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403006	64	641	5	0	0	0	36:catball_card_103006	601											6403006		1	猫张子	貓張子	Hariko	猫張り子	네코하리코	เปเปอร์มาเช่	用于解锁猫球：猫张子	用於解鎖貓球：貓張子	Unlocks Cato: Hariko.	使用すると、ガト「猫張り子」が解放される。	냥냥볼 해제에 사용: 네코하리코	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ เปเปอร์​มา​เช่​	若已获得猫张子，则会获得对应的基因。	若已獲得貓張子，則會獲得對應的基因。	If you already have Hariko, you will receive the corresponding gene instead.	既に「猫張り子」を所有している場合、対応する遺伝子に変換される。	이미 네코하리코를 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​เปเปอร์​มา​เช่​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403007	64	641	5	0	0	0	36:catball_card_103007	601											6403007		1	生煎包包	生煎包包	Pan-Fried Purrfection	生煎饅頭	군만두냥	ซาลาเปา	用于解锁猫球：生煎包包	用於解鎖貓球：生煎包包	Unlocks Cato: Pan-Fried Purrfection.	使用すると、ガト「生煎饅頭」が解放される。	냥냥볼 해제에 사용: 군만두냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ ซาลาเปา​	若已获得生煎包包，则会获得对应的基因。	若已獲得生煎包包，則會獲得對應的基因。	If you already have Pan-Fried Purrfection, you will receive the corresponding gene instead.	既に「生煎饅頭」を所有している場合、対応する遺伝子に変換される。	이미 군만두냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​ซาลาเปา​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403008	64	641	5	0	0	0	36:catball_card_103008	601											6403008		1	黄金之蜂	黃金之蜂	Honeybee	黄金のミツバチ	꿀벌냥	โกลเดนบี	用于解锁猫球：黄金之蜂	用於解鎖貓球：黃金之蜂	Unlocks Cato: Honeybee.	使用すると、ガト「黄金のミツバチ」が解放される。	냥냥볼 해제에 사용: 꿀벌냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ โกลเดน​บี​	若已获得黄金之蜂，则会获得对应的基因。	若已獲得黃金之蜂，則會獲得對應的基因。	If you already have Honeybee, you will receive the corresponding gene instead.	既に「黄金のミツバチ」を所有している場合、対応する遺伝子に変換される。	이미 꿀벌냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​โกลเดน​บี​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403009	64	641	5	0	0	0	36:catball_card_103009	601											6403009		1	喵咪心爱	喵咪心愛	Maiden Love	メイド様	메이드냥	คิตตี้เลิฟลี่	用于解锁猫球：喵咪心爱	用於解鎖貓球：喵咪心愛	Unlocks Cato: Maiden Love.	使用すると、ガト「メイド様」が解放される。	냥냥볼 해제에 사용: 메이드냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ คิตตี้​เลิฟ​ลี่​	若已获得喵咪心爱，则会获得对应的基因。	若已獲得喵咪心愛，則會獲得對應的基因。	If you already have Maiden Love, you will receive the corresponding gene instead.	既に「メイド様」を所有している場合、対応する遺伝子に変換される。	이미 메이드냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​คิตตี้​เลิฟ​ลี่​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6403010	64	641	5	0	0	0	36:catball_card_103010	601											6403010		1	灾噩避散	災噩避散	Plague Doctor	災厄退散	재난회피냥	การ์เดียนแคท	用于解锁猫球：灾噩避散	用於解鎖貓球：災噩避散	Unlocks Cato: Plague Doctor.	使用すると、ガト「災厄退散」が解放される。	냥냥볼 해제에 사용: 재난회피냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ การ์เดียน​แค​ท​	若已获得灾噩避散，则会获得对应的基因。	若已獲得災噩避散，則會獲得對應的基因。	If you already have Plague Doctor, you will receive the corresponding gene instead.	既に「災厄退散」を所有している場合、対応する遺伝子に変換される。	이미 재난회피냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​การ์เดียน​แค​ท​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6404001	64	641	5	0	0	0	36:catball_card_104001	601											6404001		1	亡灵审判	亡靈審判	Catnubis	亡霊の審判	바스테트냥	ซอร์เซรัส	用于解锁猫球：亡灵审判	用於解鎖貓球：亡靈審判	Unlocks Cato: Catnubis.	使用すると、ガト「亡霊の審判」が解放される。	냥냥볼 해제에 사용: 바스테트냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ ซอร์​เซ​รัส​	若已获得亡灵审判，则会获得对应的基因。	若已獲得亡靈審判，則會獲得對應的基因。	If you already have Catnubis, you will receive the corresponding gene instead.	既に「亡霊の審判」を所有している場合、対応する遺伝子に変換される。	이미 바스테트냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​ซอร์​เซ​รัส​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
