id	type	showType	quality	stack	openType	openParameter	photoId	bagUsed	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
5340005	53		4	0	0	0	6:goods_icon_5340005					1	心情值上限	心情值上限	Max Mood	最大気分値	최대 이모션 파워	ค่าสภาพจิตใจสูงสุด	好感度提升心情值上限提升	好感度提升心情值上限提升	Maximum Mood increases with Affection Level.	好感度UP気分値UP	호감도 증가 시 최대 이모션 파워 증가	ค่า​ความสัมพันธ์​จะ​เพิ่มค่า​สภาพ​จิตใจ​สูงสุด​	好感度提升心情值上限提升	好感度提升心情值上限提升	Maximum Mood increases with Affection Level.	好感度UP気分値UP	호감도 증가 시 최대 이모션 파워 증가	ค่า​ความสัมพันธ์​จะ​เพิ่มค่า​สภาพ​จิตใจ​สูงสุด​
5350001	53	511	4	999	0	0	6:goods_icon_5350001	1	201	3000004	60	1	情绪罐头	情緒罐頭	Pathos Can	エモ缶	이모션 캔	เอเนอร์จีพาโธส	消耗后可增加60点情绪值。	消耗後可增加60點情緒值。	Open it to gain 60 Pathos.	使用すると、気分値を60点回復する。	사용 시 이모션 60포인트가 증가한다.	เมื่อ​ใช้​จะ​ฟื้นฟู​พา​โธส​ 60​ หน่วย​	当精力大量被消耗时，可以用来补充精力的食物，除了美味的口感以外，还附带优质纯净的情绪粒子波动，用以激发和调整情绪状态。	當精力大量被消耗時，可以用來補充精力的食物，除了美味的口感以外，還附帶優質純淨的情緒粒子波動，用以激發和調整情緒狀態。	Food that can replenish your depleted energy. In addition to delicious taste, it also comes with pure Pathos Particles of high quality, which can stimulate or adjust your emotional state.	便利で美味しい缶詰め。ハイクオリティで純度の高いエモーション粒子を多く含んでおり、エモーショナル状態を手早く調整できる。	에너지가 대량으로 소모되었을 때 에너지를 보충하는 데 사용되는 음식이다. 뛰어한 식감 외에 고품질의 순수한 이모션 파티클 웨이브가 함유되어 있어, 이모션을 자극하거나 조정할 수 있다.	เมื่อ​พลังงาน​ถูก​ใช้​ไป​จำนวนมาก​ อาหาร​ที่​สามารถ​ใช้​เติม​พลังงาน​ได้​ นอกจาก​จะ​มี​รสชาติ​อร่อย​แล้ว​ ยังมี​การ​ปล่อย​คลื่น​อนุภาค​พา​โธส​บริสุทธิ์​ที่​ช่วย​กระตุ้น​และ​ปรับ​สมดุล​สภาพ​พา​โธส​อีกด้วย​
5300003	53	531	4	0	0	0	6:goods_icon_5300003		501	1	1	1	合约经验	合約經驗	Contract EXP	契約EXP	계약 EXP	EXP พาส	主要通过完成合约每日任务和精英任务获得，可提升合约等级。	主要通過完成合約每日任務和精英任務獲得，可提升合約等級。	Primarily obtained from daily and elite contract missions, it can increase your contract level.	契約のレベルアップに必要な経験値。デイリー任務とエキストラミッションをクリアすることで獲得できる。	주로 계약 데일리 미션과 정예 미션을 통해 획득할 수 있다. 계약 레벨을 올릴 수 있다.	ส่วนใหญ่​ได้รับ​จาก​การ​สำเร็จ​ภารกิจ​พาส​รายวัน​และ​ภารกิจ​ชั้นสูง​ สามารถ​อัปเกรด​เล​เวล​พาส​ได้​	用于提升合约等级的经验点数。	用於提升合約等級的經驗點數。	Used to increase your contract level.	契約レベルのEXP	계약 레벨 EXP를 올리는 데 사용된다.	จำนวน​แต้ม​ EXP​ ที่​ใช้​สำหรับ​อัปเกรด​เล​เวล​พาส​
5300017	53	531	4	0	0	0	6:goods_icon_5300017					1	社团经验	社團經驗	Clan EXP	ギルドEXP	클럽 EXP	EXP ชมรม	社团的贡献值的证明	社團的貢獻值的證明	Proof of your contributions to your Clan.	ギルドに貢献した証	클럽 공헌도의 증명하는 아이템이다.	หลักฐานค่าบริจาคชมรม	随着成员的活跃成果而增添的特殊经费，提升社团等级的必须物资。	隨著成員的活躍成果而增添的特殊經費，提升社團等級的必須物資。	Special funds that increase with member activity, essential for raising your Clan's level.	ギルドメンバーの活動成果。ギルドレベルを上げるために不可欠な物質である。	멤버의 활약 성과에 따라 증가하는 특수 경비이다. 클럽 레벨업에 필수적인 자원이다.	ค่าใช้จ่าย​พิเศษ​ที่​เพิ่มขึ้น​ตาม​ผล​การ​แอ็ก​ที​ฟ​ของ​สมาชิก​ เสบียง​ที่​จำเป็น​สำหรับ​การ​อัปเกรด​เล​เวล​ชมรม​
5300018	53		5	0	0	0	6:goods_icon_9100002		305	51020	30	1	月卡计划（30天）	月卡計劃（30天）	Monthly Plan (30 Days)	月間プラン（30日）	월간 구독(30일)	แพลน​บัตร​รายเดือน​ (30​ วัน​)​	领取后立即获得月卡计划（30天）	領取後立即獲得月卡計劃（30天）	Instantly receive the 30-day Monthly Plan upon activation.	受け取ると月間プラン（30日）をゲット	수령 후, 즉시 월간 구독(30일)을 획득한다	หลัง​รับ​แล้​วจะ​ได้รับ​แพลน​บัตร​รายเดือน​ (30​ วัน​)​	一点小心意。	一點小心意。	A small token of appreciation.	ちょっとしたプレゼント。	작은 마음이예요	ความใส่ใจเล็กน้อย
5300019	53		5	0	526	0	6:goods_icon_5300019		208			1	兔兔棉花糖	兔兔棉花糖	Bunny Marshmallow	うさぎのマシュマロ	토끼 솜사탕	มาร์ชแมลโลว์แรบบิท	只能在<color=#ff29a2>周一</color>时去餐厅内购买到的特殊商品，<color=#ff29a2>保质期</color>只有一个星期。	只能在<color=#ff29a2>週一</color>時去餐廳內購買到的特殊商品，<color=#ff29a2>保質期</color>只有一個星期。	A special item only available for purchase in the cafe on <color=#ff29a2>Mondays</color>, <color=#ff29a2>valid</color> for one week.	<color=#ff29a2>月曜日</color>にレストランでのみ購入できるスペシャル商品、<color=#ff29a2>賞味期限</color>は1週間です。	매주 <color=#ff29a2>월요일</color>에 카페테리아에서 구매한 특별한 상품, <color=#ff29a2>유효기간</color>은 단 1주일이다.	สินค้า​พิเศษ​ที่​สามารถ​ซื้อ​ได้​ใน​คาเฟ่​เฉพาะ​ใน​<color=#ff29a2>วันจันทร์</color>​เท่านั้น​ โดย​มี​<color=#ff29a2>อายุการเก็บรักษา</color>​เพียง​หนึ่ง​สัปดาห์​	没人能想到，这些软软糯糯的小兔子竟然是棉花糖。兔兔这么可爱，你忍心吃掉吗？	沒人能想到，這些軟軟糯糯的小兔子竟然是棉花糖。兔兔這麼可愛，你忍心吃掉嗎？	Who would have thought that these soft and chewy little bunnies were actually marshmallows? Are you really going to eat something so adorable?	この柔らかくてもちもちしたうさぎがマシュマロだと。あまりのかわいさに、食べるのがもったい！	이렇게 폭신폭신하고 귀여운 토끼가 솜사탕이라니. 이렇게 귀여운 토끼를 입에 넣을 수 있나요?	ไม่​มี​ใคร​คิด​เลย​ว่า​เจ้า​กระต่าย​ตัว​น้อย​ๆ​ ที่​นุ่มนิ่ม​และ​เหนียวหนึบ​เหล่านี้​แท้จริง​แล้ว​เป็น​มาร์ช​แมล​โลว์​ เจ้า​กระต่าย​น่ารัก​ขนาด​นี้​ คุณ​จะ​ใจร้าย​กิน​มัน​ลง​ได้​เหรอ​?​
5300021	53	531	4	0	0	0	6:goods_icon_5300003		502	1	1	1	回响通行证经验	迴響通行證經驗	Nightmare Pass EXP	悪夢パスEXP	나이트메어 Pass EXP	ประสบการณ์​บัตร​ผ่าน​สะท้อน​	噩梦回响中达成星级条件获得	在噩夢迴響中達成星級條件獲得	Obtained by fulfilling the star level requirements in Nightmare's Call.	悪夢パスでスター条件を達成すると獲得できます。	나이트메어에서 별 등급 조건 달성 시 획득할 수 있다.	ได้รับ​จาก​การทำตาม​เงื่อนไข​ระดับ​ดาว​ใน​เสียงสะท้อน​ฝันร้าย​	用于提升回响通行证的经验	用於提升迴響通行證的經驗	Used to increase the EXP of the Nightmare Pass.	悪夢パスのレベルアップに使用するポイント。	나이트메어 Pass의 레벨업에 사용된다.	ใช้​เพื่อ​เพิ่ม​ประสบการณ์​บัตร​ผ่าน​สะท้อน​
5300025	53		4	0	0	0	6:goods_icon_5300025					1	活力	活力	待处理翻译活力	Pending活力	활동력	ชีวิตชีวา	“社团友谊赛”中，用于进行攻城和发起攻击。	“社團友誼賽”中，用於進行攻城和發起攻擊。	待处理翻译“社团友谊赛”中，用于进行攻城和发起攻击。	Pending“社团友谊赛”中，用于进行攻城和发起攻击。	[클럽 친선 대회]에서 공성과 공격 시에 사용된다.	ใน​"​ศึก​กระชับ​มิตร​ชมรม​"​ ใช้​สำหรับ​โจม​ตีเมือง​และ​เริ่ม​โจมตี​	身处荒野之中,需要充足的活力才能应对各种危险的争斗。	身處荒野之中,需要充足的活力才能應對各種危險的爭鬥。	待处理翻译身处荒野之中,需要充足的活力才能应对各种危险的争斗。	Pending身处荒野之中,需要充足的活力才能应对各种危险的争斗。	황야에서는 충분한 활동력이 있어야 위험한 전투에 대응할 수 있다.	เมื่อ​อยู่​ท่ามกลาง​ทุ่งหญ้า​ร้าง​ ต้องการ​พลัง​ที่​เพียงพอ​เพื่อ​รับมือ​กับ​การต่อสู้​ที่​เต็มไปด้วย​อันตราย​ต่างๆ​
5300031	53		6	0	0	0	6:goods_icon_5300031					1	高级冲刺增益	高級衝刺增益	Advanced Rush Buff	ダッシュバフ・高級	고급 주사위 버프	บัฟเร่งสปีดระดับสูง	“掷骰向前冲”活动增益效果	“擲骰向前沖”活動增益效果	Roll Rush event buff	イベント「サイコロダッシュ」のバフ効果	“캣마불” 이벤트의 버프 효과	เอฟเฟกต์​บัฟ​กิจกรรม​"​สู่​ความ​เวิ้งว้าง​"​	在掷骰子时提供额外的特殊效果，在3个随机增益效果中，选择1个想要的增益效果。	在擲骰子時提供額外的特殊效果，在3個隨機增益效果中，選擇1個想要的增益效果。	Grants special effects when you roll the dice. Choose one buff from 3 randomly selected options.	サイコロを振る時に発動する特殊効果。ランダムに生成される3つのバフから1つ選んでください。	주사위를 던질 때 특수 효과가 추가되며, 랜덤 버프 효과 3개 중 하나를 선택할 수 있습니다.	มอบ​เอฟเฟกต์​พิเศษ​เพิ่มเติม​เมื่อ​ทอย​ลูกเต๋า​ โดย​ใน​การ​สุ่ม​เอฟเฟกต์​บัฟ​ 3​ อัน​ ให้​เลือก​เอฟเฟกต์​บัฟ​ 1​ อัน​
5300032	53		5	0	0	0	6:goods_icon_5300032					1	初级冲刺增益	初級衝刺增益	Basic Rush Buff	ダッシュバフ・初級	초급 주사위 버프	บัฟเร่งสปีดระดับต้น	“掷骰向前冲”活动增益效果	“擲骰向前沖”活動增益效果	Roll Rush event buff	イベント「サイコロダッシュ」のバフ効果	“캣마불” 이벤트의 버프 효과	เอฟเฟกต์​บัฟ​กิจกรรม​"​สู่​ความ​เวิ้งว้าง​"​	在掷骰子时提供额外的特殊效果，在3个随机增益效果中，选择1个想要的增益效果。	在擲骰子時提供額外的特殊效果，在3個隨機增益效果中，選擇1個想要的增益效果。	Grants special effects when you roll the dice. Choose one buff from 3 randomly selected options.	サイコロを振る時に発動する特殊効果。ランダムに生成される3つのバフから1つ選んでください。	주사위를 던질 때 특수 효과가 추가되며, 랜덤 버프 효과 3개 중 하나를 선택할 수 있습니다.	มอบ​เอฟเฟกต์​พิเศษ​เพิ่มเติม​เมื่อ​ทอย​ลูกเต๋า​ โดย​ใน​การ​สุ่ม​เอฟเฟกต์​บัฟ​ 3​ อัน​ ให้​เลือก​เอฟเฟกต์​บัฟ​ 1​ อัน​
5300026	53		5	0	0	0	6:goods_icon_5300026		201			1																		
5300033	53		5	0	0	0	6:goods_icon_5300033		503	1	1	1	活动经验	活動經驗	Event EXP	イベントEXP	이벤트 경험치	EXP กิจกรรม	累计经验可领取活动奖励	累計經驗可領取活動獎勵	Earn EXP to exchange for event rewards.	イベントEXPを貯めて報酬を獲得できます。	경험치 누적 시, 이벤트 보상 획득 가능	สะสม​ EXP​ เพื่อ​รับรางวัล​กิจกรรม​	活动专属经验，每期更新。	活動專屬經驗，每期更新。	Event-exclusive EXP will be updated each period.	イベント限定EXP、毎期更新されます。	이벤트 전용 경험치, 매 시즌 업데이트된다.	EXP​ เฉพาะ​สำหรับ​กิจกรรม​ อัปเดต​ทุก​สัปดาห์​
