id	time	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	nextRecoveryDesc	nextRecoveryDesc_zh_TW	nextRecoveryDesc_en_UK	nextRecoveryDesc_ja_JP	nextRecoveryDesc_ko_KR	nextRecoveryDesc_th_TH	allRecoveryDesc	allRecoveryDesc_zh_TW	allRecoveryDesc_en_UK	allRecoveryDesc_ja_JP	allRecoveryDesc_ko_KR	allRecoveryDesc_th_TH	helpDesc	helpDesc_zh_TW	helpDesc_en_UK	helpDesc_ja_JP	helpDesc_ko_KR	helpDesc_th_TH
9000049	180	1	安睡茶	安睡茶	Nighttime Tea	安眠茶	숙면용 차	ชาผ่อนคลาย	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个安睡茶	每3分鐘恢復1個安睡茶	Get 1 Nighttime Tea every 3 min.	3分ごとに安眠茶1回復	3분마다 숙면에 좋은 차 1개 회복	ฟื้นฟู​ชา​ผ่อนคลาย​ 1​ ชิ้น​ ทุกๆ​ 3​ นาที​
9000061	180	1	鬼屋通行证	鬼屋通行證	Haunted House Pass	ホラーハウスパス	귀신의 집 통행증	บัตรผ่านบ้านผีสิง	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个鬼屋通行证	每3分鐘恢復1個鬼屋通行證	Get 1 Haunted House Pass every 3 min.	3分ごとにホラーハウスパス1回復	3분마다 귀신의 집 통행증를 1개 회복한다	ฟื้นฟู​บัตร​ผ่าน​บ้าน​ผีสิง​ 1​ ใบ​ ทุกๆ​ 3​ นาที​
9000081	180	1	彩虹特调	彩虹特調	Rainbow Mix	レインボーブレンド	컬러풀 블렌드	ค็อกเทลสายรุ้ง	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个彩虹特调	每3分鐘恢復1個彩虹特調	Get 1 Rainbow Mix every 3 min.	3分ごとにレインボーブレンド1本回復する	3분마다 컬러풀 블렌드 1개 회복	ทุกๆ 3 นาที จะฟื้นฟูค็อกเทลสายรุ้ง 1 แก้ว
9000076	180	1	除瘴香	除瘴香	Purifying Incense	除瘴香	제장향	ธูปขจัดมลทิน	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个除瘴香	每3分鐘恢復1個除瘴香	Get 1 Purifying Incense every 3 min.	3分ごとに除瘴香1本回復する	3분마다 제장향 1개 회복한다	ฟื้นฟู​ธูป​ขจัด​มลทิน​ 1​ ชิ้น​ ทุกๆ​ 3​ นาที​
9000077	240	1	火熔石	火熔石	Firestone	火焔石	화염석	หินเอมเบอร์	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每4分钟恢复1个火熔石	每4分鐘恢復1個火熔石	Get 1 Firestone every 4 min.	4分ごとに火焔石1個回復する	4분마다 화염석 1개 회복	ฟื้นฟู​หิน​เอม​เบอร์​ 1​ ชิ้น​ ทุกๆ​ 4​ นาที​
9000079	180	1	芒果糯米饭	芒果糯米飯	Mango Sticky Rice	カオニャオ・マムアン	망고 찹쌀밥	ข้าวเหนียวมะม่วง	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个芒果糯米饭	每3分鐘恢復1個芒果糯米飯	Get 1 Mango Sticky Rice every 3 min.	3分ごとにカオニャオ・マムアン1回復	매 3분마다 망고 찹쌀밥 1개 회복	ทุกๆ​ 3​ นาที​ จะ​ฟื้นฟู​ข้าวเหนียว​มะม่วง​ 1​ หน่วย​
9000083	180	1	粉樱马卡龙	粉櫻馬卡龍	Pink Macaron	花時マカロン	핑크 사쿠라 마카롱	มาการองซากุระ	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个粉樱马卡龙	每3分鐘恢復1個粉櫻馬卡龍	Get 1 Pink Macaron every 3 min.	3分ごとに花時マカロン1個回復	매 3분마다 핑크 사쿠라 마카롱 1개 회복	[​มา​กา​รอง​ซากุระ​]​ จะ​พื้น​ฟู​ 1​ ชิ้น​ ทุกๆ​ 3​ นาที​
9030007	180	1	元气石	元氣石	Life Gem	元気ストーン	원기석	มณีแห่งชีวิต	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个元气石	每3分鐘恢復1個元氣石	Get 1 Life Gem every 3 min.	3分ごとに元気ストーン1回復	매 3분마다 원기석 1개 회복	ทุกๆ 3 นาที จะฟื้นฟู "มณีแห่งชีวิต" 1 เม็ด
9000085	180	1	喵呜饼干	喵嗚餅乾	Whisker Cookie	ニャーオビスケット	냐옹 쿠키	เหมียวคุกกี้	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个喵呜饼干	每3分鐘恢復1個喵嗚餅乾	Get 1 Whisker Cookie every 3 min.	3分ごとにニャーオビスケット1個回復	매 3분마다 냐옹 쿠키 1개 회복	ทุก 3 นาที จะฟื้นฟู "เหมียวคุกกี้" 1 ชิ้น
9000088	180	1	清凉椰汁	清涼椰汁	Refreshing Coconut Juice	ココナツジュース	시원한 코코넛 주스	น้ำมะพร้าวเย็นฉ่ำ	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个清凉椰汁	每3分鐘恢復1個清涼椰汁	Receive 1 Refreshing Coconut Juice every 3 min.	3分ごとにココナツジュース1個回復	매 3분마다 시원한 코코넛 주스 1개 회복	ทุกๆ​ 3​ นาที​ จะ​ฟื้นฟู​ 1​ น้ำ​มะพร้าว​เย็นฉ่ำ​
9000092	180	1	勇气结晶	勇氣結晶	Courage Crystal	勇気の結晶	용기의 결정	ผลึกหาญกล้า	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个勇气结晶	每3分鐘恢復1個勇氣結晶	Get 1 Courage Crystal every 3 min.	3分ごとに勇気の結晶1回復	매 3분마다 용기의 결정 1개 회복	ทุก 3 นาที จะฟื้นฟู "ผลึกหาญกล้า" 1 ชิ้น
9000093	240	1	订单	訂單	Order	注文	주문	ออเดอร์	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每4分钟恢复1个订单	每4分鐘恢復1個訂單	Get 1 Order every 4 min.	4分ごとに勇気の結晶1回復	매 4분마다 주문 1개 회복	ทุก 4 นาที จะฟื้นฟู "ออเดอร์" 1 รายการ
9000102	180	1	珐兰棍	琺蘭棍	Farlant Baguette	ファラントバゲット	파란트 스틱	บาแก็ตฟาร์แลนต์	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个珐兰棍	每3分鐘恢復1個琺蘭棍	Get 1 Farlant Baguette every 3 min.	3分ごとにファラントバゲット1回復	3분마다 파란트 스틱 1개를 회복한다	ทุก​ 3​ นาที​ จะ​ฟื้นฟู​ "​บา​แก็ตฟาร์แลนต์​"​ 1​ ชิ้น​
9000104	180	1	热度	熱度	Heat	話題度	화제도		距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个热度	每3分鐘恢復1個熱度	Get 1 Heat every 3 min.	3分ごとに話題度1回復	3분마다 화제도 1 회복	
