id	type	showType	quality	stack	sellitem	sellMoney	openType	openParameter	showGotoIcon	photoId	photoIdSmall	bagUsed	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
4102105	41	4102	5	999	3000003	2400	707;625;635;708	4102105	1	6:goods_icon_4102105		0				1	红色芯片·Ⅴ型	紅色晶片·Ⅴ型	Red Chip V	チップ：赤Ⅴ型	레드 칩V	ชิปสีแดง·รุ่น Ⅴ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含红色情绪粒子的序列模块，可以有效提升战斗员强度。	富含紅色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Red Pathos Particles, capable of significantly enhancing the strength of Combatants.	レッドエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 레드 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีแดง​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102106	41	4102	6	999	3000003	5000	707;708	4102106	1	6:goods_icon_4102106		0				1	红色芯片·Ⅵ型	紅色晶片·Ⅵ型	Red Chip VI	チップ：赤Ⅵ型	레드 칩VI	ชิปสีแดง·รุ่น Ⅵ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含红色情绪粒子的序列模块，可以有效提升战斗员强度。	富含紅色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Red Pathos Particles, capable of significantly enhancing the strength of Combatants.	レッドエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 레드 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีแดง​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102201	41	4102	1	999	3000003	50	284;708		1	6:goods_icon_4102201		0				1	绿色芯片·Ⅰ型	綠色晶片·Ⅰ型	Green Chip I	チップ：緑I型	그린 칩I	ชิปสีเขียว·รุ่น Ⅰ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含绿色情绪粒子的序列模块，可以有效提升战斗员强度。	富含綠色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Green Pathos Particles, capable of significantly enhancing the strength of Combatants.	グリーンエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 그린 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สี​เขียว​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102202	41	4102	2	999	3000003	200	707;284;708	0;4102202	1	6:goods_icon_4102202		0				1	绿色芯片·Ⅱ型	綠色晶片·Ⅱ型	Green Chip II	チップ：緑Ⅱ型	그린 칩II	ชิปสีเขียว·รุ่น Ⅱ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含绿色情绪粒子的序列模块，可以有效提升战斗员强度。	富含綠色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Green Pathos Particles, capable of significantly enhancing the strength of Combatants.	グリーンエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 그린 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สี​เขียว​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102203	41	4102	3	999	3000003	600	707;284;708	0;4102203	1	6:goods_icon_4102203		0				1	绿色芯片·Ⅲ型	綠色晶片·Ⅲ型	Green Chip III	チップ：緑Ⅲ型	그린 칩III	ชิปสีเขียว·รุ่น Ⅲ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含绿色情绪粒子的序列模块，可以有效提升战斗员强度。	富含綠色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Green Pathos Particles, capable of significantly enhancing the strength of Combatants.	グリーンエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 그린 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สี​เขียว​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102204	41	4102	4	999	3000003	1200	707;708	4102204	1	6:goods_icon_4102204		0				1	绿色芯片·Ⅳ型	綠色晶片·Ⅳ型	Green Chip IV	チップ：緑Ⅳ型	그린 칩IV	ชิปสีเขียว·รุ่น Ⅳ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含绿色情绪粒子的序列模块，可以有效提升战斗员强度。	富含綠色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Green Pathos Particles, capable of significantly enhancing the strength of Combatants.	グリーンエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 그린 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สี​เขียว​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102205	41	4102	5	999	3000003	2400	707;625;635;708	4102205	1	6:goods_icon_4102205		0				1	绿色芯片·Ⅴ型	綠色晶片·Ⅴ型	Green Chip V	チップ：緑Ⅴ型	그린 칩V	ชิปสีเขียว·รุ่น Ⅴ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含绿色情绪粒子的序列模块，可以有效提升战斗员强度。	富含綠色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Green Pathos Particles, capable of significantly enhancing the strength of Combatants.	グリーンエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 그린 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สี​เขียว​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102206	41	4102	6	999	3000003	5000	707;708	4102206	1	6:goods_icon_4102206		0				1	绿色芯片·Ⅵ型	綠色晶片·Ⅵ型	Green Chip VI	チップ：緑Ⅵ型	그린 칩VI	ชิปสีเขียว·รุ่น Ⅵ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含绿色情绪粒子的序列模块，可以有效提升战斗员强度。	富含綠色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Green Pathos Particles, capable of significantly enhancing the strength of Combatants.	グリーンエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 그린 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สี​เขียว​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102301	41	4102	1	999	3000003	50	285;708		1	6:goods_icon_4102301		0				1	蓝色芯片·Ⅰ型	藍色晶片·Ⅰ型	Blue Chip I	チップ：青I型	블루 칩I	ชิปสีน้ำเงิน·รุ่น Ⅰ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含蓝色情绪粒子的序列模块，可以有效提升战斗员强度。	富含藍色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Blue Pathos Particles, capable of significantly enhancing the strength of Combatants.	ブルーエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 블루 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีน้ำเงิน​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102302	41	4102	2	999	3000003	200	707;285;708	0;4102302	1	6:goods_icon_4102302		0				1	蓝色芯片·Ⅱ型	藍色晶片·Ⅱ型	Blue Chip II	チップ：青Ⅱ型	블루 칩II	ชิปสีน้ำเงิน·รุ่น Ⅱ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含蓝色情绪粒子的序列模块，可以有效提升战斗员强度。	富含藍色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Blue Pathos Particles, capable of significantly enhancing the strength of Combatants.	ブルーエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 블루 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีน้ำเงิน​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102303	41	4102	3	999	3000003	600	707;285;708	0;4102303	1	6:goods_icon_4102303		0				1	蓝色芯片·Ⅲ型	藍色晶片·Ⅲ型	Blue Chip III	チップ：青Ⅲ型	블루 칩III	ชิปสีน้ำเงิน·รุ่น Ⅲ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含蓝色情绪粒子的序列模块，可以有效提升战斗员强度。	富含藍色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Blue Pathos Particles, capable of significantly enhancing the strength of Combatants.	ブルーエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 블루 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีน้ำเงิน​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102304	41	4102	4	999	3000003	1200	707;708	4102304	1	6:goods_icon_4102304		0				1	蓝色芯片·Ⅳ型	藍色晶片·Ⅳ型	Blue Chip IV	チップ：青Ⅳ型	블루 칩IV	ชิปสีน้ำเงิน·รุ่น Ⅳ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含蓝色情绪粒子的序列模块，可以有效提升战斗员强度。	富含藍色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Blue Pathos Particles, capable of significantly enhancing the strength of Combatants.	ブルーエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 블루 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีน้ำเงิน​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
