id	type	showType	quality	stack	openType	openParameter	photoId	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
8200204	82	822	4	-1			6:goods_icon_8200504				1	水库4星鱼饵	水庫4星魚餌	Reservoir 4★ Bait	貯水池用餌・★4	저수지 4★ 미끼	เหยื่อตกปลาอ่างเก็บน้ำ 4★	「拟刺尾鲷」和「彩虹带鱼」的出率提升。	「擬刺尾鯛」和「彩虹帶魚」的出率提升。	Increases the chance of Palette Surgeonfish and Rainbow Hairtail.	「ナンヨウハギ」と「ニジタチウオ」の出現率アップ。	「청색양쥐돔」과 「무지개 갈치」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลาสลิด​หิน​]​ และ​ [​ปลา​หางนกยูง​สี​รุ้ง​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200205	82	822	5	-1			6:goods_icon_8200505				1	水库5星鱼饵	水庫5星魚餌	Reservoir 5★ Bait	貯水池用餌・★5	저수지 5★ 미끼	เหยื่อตกปลาอ่างเก็บน้ำ 5★	「彩雀鱼」和「黑线银鲛」的出率提升。	「彩雀魚」和「黑線銀鮫」的出率提升。	Increases the chance of Betta Splendens and Sliver Chimaera.	「グッピー」と「ギンザメ」の出現率アップ。	「엄지도치」와 「은상어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลากัด​สี​รุ้ง​]​ และ​ [​ปลา​ฉลาม​เงิน​ลาย​ดำ​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200301	82	822	1	-1			6:goods_icon_8200601				1	云霞1星鱼饵	雲霞1星魚餌	Eventide 1★ Bait	雲霞湖島用餌・★1	운하 1★ 미끼	เหยื่อตกปลาเมฆารุ้ง 1★	「银鲳鱼」和「白腹沙丁鱼」的出率提升。	「銀鯧魚」和「白腹沙丁魚」的出率提升。	Increases the chance of Silver Pomfret and Sharpnose Sardine.	「マナガツオ」と「ニシン」の出現率アップ。	「병어」와 「정어리」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​จะละเม็ด​ขาว​]​ และ​ [​ปลา​ซาร์ดีน​ท้องขาว​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200302	82	822	2	-1			6:goods_icon_8200602				1	云霞2星鱼饵	雲霞2星魚餌	Eventide 2★ Bait	雲霞湖島用餌・★2	운하 2★ 미끼	เหยื่อตกปลาเมฆารุ้ง 2★	「红杉鱼」和「青石斑鱼」的出率提升。	「紅杉魚」和「青石斑魚」的出率提升。	Increases the chance of Golden Threadfin Bream and Yellow Grouper.	「イトヨリダイ」と「アオハタ」の出現率アップ。	「실꼬리돔」과 「도도바리」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​ทราย​แดง​]​ และ​ [​ปลา​เก๋า​สี​คราม​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200303	82	822	3	-1			6:goods_icon_8200603				1	云霞3星鱼饵	雲霞3星魚餌	Eventide 3★ Bait	雲霞湖島用餌・★3	운하 3★ 미끼	เหยื่อตกปลาเมฆารุ้ง 3★	「红小丑鱼」和「黑鳍金枪鱼」的出率提升。	「紅小丑魚」和「黑鰭金槍魚」的出率提升。	Increases the chance of Tomato Clownfish and Blackfin Tuna.	「クマノミ」と「本マグロ」の出現率アップ。	「아네모네 피시」와 「검은등 참치」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​การ์ตูน​สีแดง​]​ และ​ [​ปลา​ทูน่า​ครีบ​ดำ​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200304	82	822	4	-1			6:goods_icon_8200604				1	云霞4星鱼饵	雲霞4星魚餌	Eventide 4★ Bait	雲霞湖島用餌・★4	운하 4★ 미끼	เหยื่อตกปลาเมฆารุ้ง 4★	「彩带刺尾鱼」和「宝刀鱼」的出率提升。	「彩帶刺尾魚」和「寶刀魚」的出率提升。	Increases the chance of Lined Surgeonfish and Wolf Herring.	「ニジハギ」と「オキイワシ」の出現率アップ。	「크라운 서전」과 「왕갈치」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลาหาง​หนาม​สี​รุ้ง​]​ และ​ [​ปลา​ดาบ​ยาว​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200305	82	822	5	-1			6:goods_icon_8200605				1	云霞5星鱼饵	雲霞5星魚餌	Eventide 5★ Bait	雲霞湖島用餌・★5	운하 5★ 미끼	เหยื่อตกปลาเมฆารุ้ง 5★	「矛尾鱼」和「蓝鳍金枪鱼」的出率提升。	「矛尾魚」和「藍鰭金槍魚」的出率提升。	Increases the chance of Latimeria and Bluefin Tuna.	「ラティメリア」と「ミナミマグロ」の出現率アップ。	「라티메리아」와 「푸른등 참치」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​ซี​ลา​แคนท์​]​ และ​ [​ปลา​ทูน่า​ครีบ​น้ำเงิน​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200401	82	822	1	-1			6:goods_icon_8200401				1	牧森1星鱼饵	牧森1星魚餌	Mussen 1★ Bait	森の湖用餌・★1	마키모리 1★ 미끼	เหยื่อตกปลาวินเซอร์ 1★	「狗鱼」和「白鲑」的出率提升。	「狗魚」和「白鮭」的出率提升。	Increases the chance of Amur Pike and Chub.	「パイク」と「シルバーヘイク」の出現率アップ。	「민물꼬치고기」와 「흰연어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​หมา​น้ำจืด​]​ และ​ [​ปลา​ไว​ต์ฟิช​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200402	82	822	2	-1			6:goods_icon_8200402				1	牧森2星鱼饵	牧森2星魚餌	Mussen 2★ Bait	森の湖用餌・★2	마키모리 2★ 미끼	เหยื่อตกปลาวินเซอร์ 2★	「湖鳟」和「无须鳕」的出率提升。	「湖鱒」和「無須鱈」的出率提升。	Increases the chance of Lake Trout and Hake.	「レイクトラウト」と「メルルーサ」の出現率アップ。	「호수 송어」와 「민대구」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​เท​ราต์​]​ และ​ [​ปลา​เฮ​ก​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200403	82	822	3	-1			6:goods_icon_8200403				1	牧森3星鱼饵	牧森3星魚餌	Mussen 3★ Bait	森の湖用餌・★3	마키모리 3★ 미끼	เหยื่อตกปลาวินเซอร์ 3★	「钳鱼」和「雀鳝」的出率提升。	「鉗魚」和「雀鱔」的出率提升。	Increases the chance of Channel Catfish and Alligator Gar.	「アメリカナマズ」と「ガーパイク」の出現率アップ。	「얼룩메기」와 「동갈치」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​หน้า​คีม​]​ และ​ [​ปลา​การ์​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200404	82	822	4	-1			6:goods_icon_8200404				1	牧森4星鱼饵	牧森4星魚餌	Mussen 4★ Bait	森の湖用餌・★4	마키모리 4★ 미끼	เหยื่อตกปลาวินเซอร์ 4★	「蓝太阳鱼」和「雅罗鱼」的出率提升。	「藍太陽魚」和「雅羅魚」的出率提升。	Increases the chance of Green Sunfish and Common Dace.	「ブルーギル」と「ウグイ」の出現率アップ。	「블루 선피시」와 「황어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​ซัน​ฟิช​]​ และ​ [​ปลา​ยา​โระ​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200405	82	822	5	-1			6:goods_icon_8200405				1	牧森5星鱼饵	牧森5星魚餌	Mussen 5★ Bait	森の湖用餌・★5	마키모리 5★ 미끼	เหยื่อตกปลาวินเซอร์ 5★	「狼鲷」和「帝王鲑」的出率提升。	「狼鯛」和「帝王鮭」的出率提升。	Increases the chance of Wolf Cichlid and King Salmon.	「オニキンメ」と「マスノスケ」の出現率アップ。	「울프 시클리드」와 「왕연어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​กะพง​วูล์ฟ​]​ และ​ [​คิง​แซลมอน​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200501	82	822	1	-1			6:goods_icon_8200301				1	湖湾1星鱼饵	湖灣1星魚餌	Lakecurve 1★ Bait	レーク用餌・★1	레이크베이 1★ 미끼	เหยื่อตกปลาเลคเบย์ 1★	「鲻鱼」和「鲟鱼」的出率提升。	「鯔魚」和「鱘魚」的出率提升。	Increases the chance of Flathead Grey Mullet and Sturgeon.	「ボラ」と「チョウザメ」の出現率アップ。	「숭어」와 「철갑상어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​กระบอก​เทา​]​ และ​ [​ปลาสเตอร์​เจียน​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200502	82	822	2	-1			6:goods_icon_8200302				1	湖湾2星鱼饵	湖灣2星魚餌	Lakecurve 2★ Bait	レーク用餌・★2	레이크베이 2★ 미끼	เหยื่อตกปลาเลคเบย์ 2★	「鳑鲏」和「三花鲤鱼」的出率提升。	「鰟鮍」和「三花鯉魚」的出率提升。	Increases the chance of Bitterling and Mirror Carp.	「バラタナゴ」と「三色錦鯉」の出現率アップ。	「달납줄개」와 「꽃잉어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​เทอร์​ลิง​]​ และ​ [​ปลา​คาร์​ป​สา​มลาย​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200503	82	822	3	-1			6:goods_icon_8200303				1	湖湾3星鱼饵	湖灣3星魚餌	Lakecurve 3★ Bait	レーク用餌・★3	레이크베이 3★ 미끼	เหยื่อตกปลาเลคเบย์ 3★	「银鲫」和「梅花鲈」的出率提升。	「銀鯽」和「梅花鱸」的出率提升。	Increases the chance of Prussian Carp and Eurasian Ruffe.	「ギベリオブナ」と「ラッフ」の出現率アップ。	「은붕어」와 「러플」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลาจีน​เงิน​]​ และ​ [​ปลา​รูฟฟ์​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200504	82	822	4	-1			6:goods_icon_8200304				1	湖湾4星鱼饵	湖灣4星魚餌	Lakecurve 4★ Bait	レーク用餌・★4	레이크베이 4★ 미끼	เหยื่อตกปลาเลคเบย์ 4★	「圆腹雅罗鱼」和「银飘鱼」的出率提升。	「圓腹雅羅魚」和「銀飄魚」的出率提升。	Increases the chance of Ide and Minnow.	「オルフェ」と「インピャウ」の出現率アップ。	「금빛황어」와 「은표어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​ออร์​ฟี​สี​ทอง​]​ และ​ [​ปลา​สร้อย​ลูก​กล้วย​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200505	82	822	5	-1			6:goods_icon_8200305				1	湖湾5星鱼饵	湖灣5星魚餌	Lakecurve 5★ Bait	レーク用餌・★5	레이크베이 5★ 미끼	เหยื่อตกปลาเลคเบย์ 5★	「三刺鱼」和「黄鳍棘鲷」的出率提升。	「三刺魚」和「黃鰭棘鯛」的出率提升。	Increases the chance of Three-spined Stickleback and Yellowfin Seabream.	「イトヨ」と「キハダ」の出現率アップ。	「큰가시고기」와 「감성돔」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​สาม​หนาม​]​ และ​ [​ปลา​ซี​บ​รีม​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200601	82	822	1	-1			6:goods_icon_8200101				1	维克多1星鱼饵	維克多1星魚餌	Victor 1★ Bait	ホテルヴィクトル用餌・★1	빅터 1★ 미끼	เหยื่อตกปลาวิคเตอร์ 1★	「黄翼刺尾鱼」和「蓝鲭鱼」的出率提升。	「黃翼刺尾魚」和「藍鯖魚」的出率提升。	Increases the chance of Yellowfin Surgeonfish and Pacific Mackerel.	「クロハギ」と「サバ」の出現率アップ。	「황 지느러미 쥐돔」과 「고등어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลาหาง​หนาม​ปีก​เหลือง​]​ และ​ [​ปลา​ซาบะ​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200602	82	822	2	-1			6:goods_icon_8200102				1	维克多2星鱼饵	維克多2星魚餌	Victor 2★ Bait	ホテルヴィクトル用餌・★2	빅터 2★ 미끼	เหยื่อตกปลาวิคเตอร์ 2★	「黑豹小丑鱼」和「斑点月鱼」的出率提升。	「黑豹小丑魚」和「斑點月魚」的出率提升。	Increases the chance of Amphiprion Sebae and Opah.	「ブラックオセラリス」と「アカマンボウ」の出現率アップ。	「블랙 아네모네 피시」와 「붉평치」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​การ์ตูน​สี​ดำ​]​ และ​ [​ปลา​ลาย​พระจันทร์​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200603	82	822	3	-1			6:goods_icon_8200103				1	维克多3星鱼饵	維克多3星魚餌	Victor 3★ Bait	ホテルヴィクトル用餌・★3	빅터 3★ 미끼	เหยื่อตกปลาวิคเตอร์ 3★	「横带刺尾鱼」和「冬鰤鱼」的出率提升。	「橫帶刺尾魚」和「冬鰤魚」的出率提升。	Increases the chance of Convict Surgeonfish and Japanese Amberjack.	「シマハギ」と「寒ブリ」の出現率アップ。	「컨빅트 탱」과 「방어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลาหาง​หนา​มลาย​พาด​]​ และ​ [​ปลา​บุ​ริ​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
