id	type	showType	quality	stack	sellitem	sellMoney	photoId	effectType	effectId	effectNum	effectShowId	effectShowNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
5000002	50	501	4	-1	0	0	6:goods_icon_5000002	201	4100011;4100022	1000;100			1	商城测试礼包B	商城測試禮包B	Shop Test Gift Pack B	/	스토어 테스트 패키지B	แพ็กทดสอบมอลล์ B	商城测试礼包B	商城測試禮包B	Shop Test Gift Pack B	/	스토어 테스트 패키지B	แพ็กทดสอบมอลล์ B	商城测试礼包B	商城測試禮包B	Shop Test Gift Pack B	/	스토어 테스트 패키지B	แพ็กทดสอบมอลล์ B
5009020	50	501	4	-1	0	0	6:goods_icon_5009020	201	3000002;3000003	10;10000			1	入职补给	入職補給	Newcomer Supply	配属補給	임관 보급	เสบียงเริ่มต้น	礼包商店展示用	禮包商店展示用	Used for gift shop display	/	패키지 상점 전시용	สำหรับ​แสดง​ร้านค้า​แพ็กเกจ​	装入了暴风眼总部提供的物资，为调查官们准备的补给箱。	裝入了暴風眼總部提供的物資，為調查官們準備的補給箱。	Supplies for the Inspector, issued by StormEye HQ.	総部からの物資が詰め込まれている。調査官への特別提供。	스톰아이 본부에서 준비한 물자들이 들어있다. 조사관들을 위해 준비한 보급 상자다.	บรรจุ​อุปกรณ์​ที่​สำนักงานใหญ่​สตอร์ม​อาย​จัดเตรียม​ไว้​ เป็น​กล่อง​เสบียง​สำหรับ​เหล่า​ผู้ตรวจการ​
5009021	50	501	4	-1	0	0	6:goods_icon_5009021	201	4190001;3000001;3000099	1000;180;120			1	入职绪晶补给	入職緒晶補給	Onboarding Pathite Supply	配属補給・緒晶	임관 이모션 크리스털 보급	เสบียงพาไธต์เริ่มต้น	礼包商店展示用	禮包商店展示用	Used for gift shop display	/	패키지 상점 전시용	สำหรับ​แสดง​ร้านค้า​แพ็กเกจ​	装入了暴风眼总部提供的物资，为调查官们准备的补给箱。	裝入了暴風眼總部提供的物資，為調查官們準備的補給箱。	Supplies for the Inspector, issued by StormEye HQ.	総部からの物資が詰め込まれている。調査官への特別提供。	스톰아이 본부에서 준비한 물자들이 들어있다. 조사관들을 위해 준비한 보급 상자다.	บรรจุ​อุปกรณ์​ที่​สำนักงานใหญ่​สตอร์ม​อาย​จัดเตรียม​ไว้​ เป็น​กล่อง​เสบียง​สำหรับ​เหล่า​ผู้ตรวจการ​
5009022	50	501	4	-1	0	0	6:goods_icon_5009022	201	4190001;4101002;5100015;3000001;3000099	2000;10;2;680;680			1	入职进阶补给	入職進階補給	Advanced Onboarding Supply	配属補給・高級	임관 진급 보급	เสบียง​เลื่อนขั้น​เริ่มต้น​	礼包商店展示用	禮包商店展示用	Used for gift shop display	/	패키지 상점 전시용	สำหรับ​แสดง​ร้านค้า​แพ็กเกจ​	装入了暴风眼总部提供的物资，为调查官们准备的补给箱。	裝入了暴風眼總部提供的物資，為調查官們準備的補給箱。	Supplies for the Inspector, issued by StormEye HQ.	総部からの物資が詰め込まれている。調査官への特別提供。	스톰아이 본부에서 준비한 물자들이 들어있다. 조사관들을 위해 준비한 보급 상자다.	บรรจุ​อุปกรณ์​ที่​สำนักงานใหญ่​สตอร์ม​อาย​จัดเตรียม​ไว้​ เป็น​กล่อง​เสบียง​สำหรับ​เหล่า​ผู้ตรวจการ​
5009023	50	501	4	-1	0	0	6:goods_icon_5009023	201	4190002;4101003;5100015;3000001;3000099	100;20;6;1280;1280			1	入职成长补给	入職成長補給	Onboarding Growth Supply	配属補給・成長	임관 성장 보급	เสบียง​เสริม​เติบโต​ช่วง​เริ่มต้น​	礼包商店展示用	禮包商店展示用	Used for gift shop display	/	패키지 상점 전시용	สำหรับ​แสดง​ร้านค้า​แพ็กเกจ​	装入了暴风眼总部提供的物资，为调查官们准备的补给箱。	裝入了暴風眼總部提供的物資，為調查官們準備的補給箱。	Supplies for the Inspector, issued by StormEye HQ.	総部からの物資が詰め込まれている。調査官への特別提供。	스톰아이 본부에서 준비한 물자들이 들어있다. 조사관들을 위해 준비한 보급 상자다.	บรรจุ​อุปกรณ์​ที่​สำนักงานใหญ่​สตอร์ม​อาย​จัดเตรียม​ไว้​ เป็น​กล่อง​เสบียง​สำหรับ​เหล่า​ผู้ตรวจการ​
5099907	50	501	5	-1	0	0	6:goods_icon_503010	201	6410001;6410002;6410003;6410004;6410005;6410006;6410007;6410008;6410009;6410010;6410011;6410012;6410013;6410014;6410015;6410016;6410017;6410018;6410019;6410020;6410021;6410022;6410023;6410024;6410025;6410026;6410027;6410028;6410029;6410030;6410031;6410032;6410033;6410034;6410035;6410036;6410037;6410038;6410039;6410040	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1			1																		
5003000	50	501	4	-1	0	0	6:goods_icon_5003000	202	3000	1			1	巅峰礼包	巔峰禮包	Pinnacle Bundle	クライマックスパック	MAX 패키지	แพ็กรางวัลสูงสุด	暴风眼对合约调查官特供物资。	暴風眼對合約調查官特供物資。	StormEye-issued supplies for Contracted Inspectors.	Pending暴风眼对合约調査官特供物资。	스톰아이가 계약 조사관에게 특별제공하는 물자들이다.	วัสดุ​พิเศษ​ที่​สตอร์ม​อาย​จัดเตรียม​ไว้​สำหรับ​ผู้ตรวจ​การตาม​สัญญา​	暴风眼对合约调查官特供物资。	暴風眼對合約調查官特供物資。	StormEye-issued supplies for Contracted Inspectors.	Pending暴风眼对合约調査官特供物资。	스톰아이가 계약 조사관에게 특별제공하는 물자들이다.	วัสดุ​พิเศษ​ที่​สตอร์ม​อาย​จัดเตรียม​ไว้​สำหรับ​ผู้ตรวจ​การตาม​สัญญา​
5003001	50	501	4	-1	0	0	6:goods_icon_5003000	202	3000	1			1	巅峰礼包	巔峰禮包	Pinnacle Bundle	クライマックスパック	MAX 패키지	แพ็กรางวัลสูงสุด	暴风眼对合约调查官特供物资。	暴風眼對合約調查官特供物資。	StormEye-issued supplies for Contracted Inspectors.	Pending暴风眼对合约調査官特供物资。	스톰아이가 계약 조사관에게 특별제공하는 물자들이다.	วัสดุ​พิเศษ​ที่​สตอร์ม​อาย​จัดเตรียม​ไว้​สำหรับ​ผู้ตรวจ​การตาม​สัญญา​	暴风眼对合约调查官特供物资。	暴風眼對合約調查官特供物資。	StormEye-issued supplies for Contracted Inspectors.	Pending暴风眼对合约調査官特供物资。	스톰아이가 계약 조사관에게 특별제공하는 물자들이다.	วัสดุ​พิเศษ​ที่​สตอร์ม​อาย​จัดเตรียม​ไว้​สำหรับ​ผู้ตรวจ​การตาม​สัญญา​
5099908	50	501	5	-1	0	0	6:goods_icon_503010	201	4010451;4010452;4010453;4010454;4010455;4010456;4010651;4010652;4010653;4010654;4010655;4010751;4010752;4010753;4010754;4010755;4010756;4010851;4010852;4010853;4010854;4010855;4010856;4010951;4010952;4010953;4010954;4010955;4010956;4011051;4011052;4011053;4011054;4011055;4011056;4011151;4011152;4011153;4011154;4011155;4011156;4011251;4011252;4011253;4011254;4011255;4011256	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1			1																		
5099909	50	501	5	-1	0	0	6:goods_icon_503010	201	5710001;5710002;5710003;5710004;5710005;5710006;5710007;5710008;5710009;5710010;5710011;5710012;5710013;5710014;5710015;5710016;5710017;5710018;5720001;5720002;5720003;5720004;5720005;5720006;5720007;5720008;5720009;5720010;5720011;5720012;5720013;5720014;5720015;5720016;5720017;5720018;5730001;5730002;5730003;5730004;5730005;5730006;5730007;5730008;5730009;5730010;5730011;5730012;5730013;5730014;5730015;5730016;5730017;5730018;5730019;5730020;5730021;5730022;5730023;5730024;5730025;5730026;5730027;5730028;5730029;5730030;5740001;5740002;5740003;5740004;5740005;5740006;5740007;5740008;5740009;5740010;5740011;5740012;5740013;5740014;5740015;5740016;5740017;5740018	99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99			1																		
5010001	50	501	1	-1	0	0	6:goods_icon_5110001	202	10001	1			1	1星外卖宝箱	1星外賣寶箱	1★ Delivery Chest	★1出前パック	1★ 배달 보물 상자	หีบสมบัติส่งอาหาร ​1★​	打开可随机获得新海币、小费、绪晶其中一种，星级越高的宝箱，获得数量越多	打開可隨機獲得新海幣、小費、緒晶其中一種，星級越高的寶箱，獲得數量越多	Randomly contains Catto Coins, Tips, or Pathites. The higher the treasure chest's star, the more items you can get.	Pending打开可随机获得新海币、小费、绪晶其中一种，星级越高的宝箱，获得数量越多	오픈 시 뉴오션 코인, 팁, 이모션 크리스털 중 하나를 무작위로 획득하며 보물 상자의 별 등급이 높을수록 획득량이 더 많음	เมื่อ​เปิด​ จะ​สุ่ม​ได้รับ​เหรียญ​แค​ทโตะ​ ทิป​ หรือ​พา​ไธต์​อย่า​ใด​อย่างหนึ่ง​ โดย​ยิ่ง​กล่อง​สมบัติ​มีระดับ​ดาว​สูง​ขึ้น​ ก็​จะ​ยิ่ง​ได้รับ​ใน​ปริมาณ​ที่​มากขึ้น​	打开可随机获得新海币、小费、绪晶其中一种，星级越高的宝箱，获得数量越多	打開可隨機獲得新海幣、小費、緒晶其中一種，星級越高的寶箱，獲得數量越多	Randomly contains Catto Coins, Tips, or Pathites. The higher the treasure chest's star, the more items you can get.	Pending打开可随机获得新海币、小费、绪晶其中一种，星级越高的宝箱，获得数量越多	오픈 시 뉴오션 코인, 팁, 이모션 크리스털 중 하나를 무작위로 획득하며 보물 상자의 별 등급이 높을수록 획득량이 더 많음	เมื่อ​เปิด​ จะ​สุ่ม​ได้รับ​เหรียญ​แค​ทโตะ​ ทิป​ หรือ​พา​ไธต์​อย่า​ใด​อย่างหนึ่ง​ โดย​ยิ่ง​กล่อง​สมบัติ​มีระดับ​ดาว​สูง​ขึ้น​ ก็​จะ​ยิ่ง​ได้รับ​ใน​ปริมาณ​ที่​มากขึ้น​
5010002	50	501	2	-1	0	0	6:goods_icon_5110002	202	10002	1			1	2星外卖宝箱	2星外賣寶箱	2★ Delivery Chest	★2出前パック	2★ 배달 보물 상자	หีบสมบัติส่งอาหาร ​2★​	打开可随机获得新海币、小费、绪晶其中一种，星级越高的宝箱，获得数量越多	打開可隨機獲得新海幣、小費、緒晶其中一種，星級越高的寶箱，獲得數量越多	Randomly contains Catto Coins, Tips, or Pathites. The higher the treasure chest's star, the more items you can get.	Pending打开可随机获得新海币、小费、绪晶其中一种，星级越高的宝箱，获得数量越多	오픈 시 뉴오션 코인, 팁, 이모션 크리스털 중 하나를 무작위로 획득하며 보물 상자의 별 등급이 높을수록 획득량이 더 많음	เมื่อ​เปิด​ จะ​สุ่ม​ได้รับ​เหรียญ​แค​ทโตะ​ ทิป​ หรือ​พา​ไธต์​อย่า​ใด​อย่างหนึ่ง​ โดย​ยิ่ง​กล่อง​สมบัติ​มีระดับ​ดาว​สูง​ขึ้น​ ก็​จะ​ยิ่ง​ได้รับ​ใน​ปริมาณ​ที่​มากขึ้น​	打开可随机获得新海币、小费、绪晶其中一种，星级越高的宝箱，获得数量越多	打開可隨機獲得新海幣、小費、緒晶其中一種，星級越高的寶箱，獲得數量越多	Randomly contains Catto Coins, Tips, or Pathites. The higher the treasure chest's star, the more items you can get.	Pending打开可随机获得新海币、小费、绪晶其中一种，星级越高的宝箱，获得数量越多	오픈 시 뉴오션 코인, 팁, 이모션 크리스털 중 하나를 무작위로 획득하며 보물 상자의 별 등급이 높을수록 획득량이 더 많음	เมื่อ​เปิด​ จะ​สุ่ม​ได้รับ​เหรียญ​แค​ทโตะ​ ทิป​ หรือ​พา​ไธต์​อย่า​ใด​อย่างหนึ่ง​ โดย​ยิ่ง​กล่อง​สมบัติ​มีระดับ​ดาว​สูง​ขึ้น​ ก็​จะ​ยิ่ง​ได้รับ​ใน​ปริมาณ​ที่​มากขึ้น​
5010003	50	501	3	-1	0	0	6:goods_icon_5110003	202	10003	1			1	外卖回馈宝箱	外賣回饋寶箱	Delivery Chest	Pending外卖回馈宝箱	배달 보답 보물 상자	หีบตอบแทนการส่งอาหาร	额外概率获得：【猫球券、光之花Ⅰ、光之花Ⅱ、光之花Ⅲ】	額外機率獲得：【貓球券、光之花Ⅰ、光之花Ⅱ、光之花Ⅲ】	Bonus chance to get: Cato Ticket, Flower of Light I, Flower of Light II, and Flower of Light III.	一定の確率で追加獲得:【ガト券、光の花Ⅰ、光の花Ⅱ、光の花Ⅲ】	일정 확률로 추가 획득: [냥냥볼 티켓, 이모션 플로라I , 이모션 플로라II, 이모션 플로라III]	มีโอกาส​เพิ่มเติม​ที่จะ​ได้รับ​:​ [​ตั๋ว​แค​ทบ​อล​ ดอกไม้​แห่ง​แสง​ Ⅰ​ ดอกไม้​แห่ง​แสง​ Ⅱ​ ดอกไม้​แห่ง​แสง​ Ⅲ]​	额外概率获得：【猫球券、光之花Ⅰ、光之花Ⅱ、光之花Ⅲ】	額外機率獲得：【貓球券、光之花Ⅰ、光之花Ⅱ、光之花Ⅲ】	Bonus chance to get: Cato Ticket, Flower of Light I, Flower of Light II, and Flower of Light III.	一定の確率で追加獲得:【ガト券、光の花Ⅰ、光の花Ⅱ、光の花Ⅲ】	일정 확률로 추가 획득: [냥냥볼 티켓, 이모션 플로라I , 이모션 플로라II, 이모션 플로라III]	มีโอกาส​เพิ่มเติม​ที่จะ​ได้รับ​:​ [​ตั๋ว​แค​ทบ​อล​ ดอกไม้​แห่ง​แสง​ Ⅰ​ ดอกไม้​แห่ง​แสง​ Ⅱ​ ดอกไม้​แห่ง​แสง​ Ⅲ]​
