group	id	status
5001	5001001,5001002,5001003,5001004,5001005	1
5002	5002001,5002002,5002003,5002004,5002005	1
5003	5003001,5003002,5003003,5003004,5003005	1
5004	5004001,5004002,5004003,5004004,5004005	1
5005	5005001,5005002,5005003,5005004,5005005	1
5006	5006001,5006002,5006003,5006004,5006005	1
5007	5007001,5007002,5007003,5007004,5007005	1
5008	5008001,5008002,5008003,5008004,5008005	1
5009	5009001,5009002,5009003,5009004,5009005	1
5010	5010001,5010002,5010003,5010004,5010005	1
5011	5011001,5011002,5011003,5011004,5011005	1
4011	4011001,4011002,4011003	1
4012	4120001,4120002,4120003,4120004	1
4013	4013001,4013002,4013003,4013004,4013005,4013006,4013007,4013008,4013009,4013010,4013011,4013012,4013013,4013014,4013015,4013016,4013017,4013018,4013019,4013020,4013021,4013022,4013023,4013024,4013025,4013026,4013027,4013028,4013029,4013030,4013031,4013032,4013033,4013034,4013035,4013036,4013037,4013038,4013039,4013040,4013041,4013042,4013043,4013044,4013045,4013046,4013047,4013048,4013049,4013050,4013051,4013052,4013053,4013054,4013055,4013056,4013057,4013058,4013059	1
4014	4013060,4013061,4013062,4013063,4013064,4013065,4013066,4013067,4013068,4013069,4013070,4013071,4013072,4013073,4013074,4013075,4013076,4013077,4013078,4013079,4013080,4013081,4013082,4013083,4013084,4013085,4013086,4013087,4013088,4013089,4013090,4013091,4013092,4013093,4013094,4013095,4013096,4013097,4013098,4013099,4013100,4013101,4013102,4013103,4013104,4013105	1
4003	4003001,4003002,4003003,4003004,4003005,4003006,4003007,4003008,4003009,4003010,4003011,4003012,4003013,4003014,4003015,4003016,4003017,4003018,4003019,4003020,4003021,4003022,4003023,4003024,4003025,4003026,4003027,4003028	1
4004	4004001,4004002,4004003,4004004,4004005,4004006,4004007,4004008	1
4005	4005001,4005002,4005003,4005004,4005005,4005006,4005007,4005008,4005009,4005010,4005011,4005012,4005013,4005014,4005015,4005016,4005017,4005018,4005019,4005020,4005021,4005022,4005023,4005024,4005025,4005026,4005027,4005028,4005029,4005030,4005031,4005032,4005033,4005034,4005035,4005036,4005037,4005038,4005039,4005040,4005041,4005042	1
4015	4015001,4015002,4015003,4015004,4015005,4015006	1
4016	4016001,4016002,4016003,4016004,4016005,4016006,4016007,4016008,4016009,4016010,4016011,4016012,4016013,4016014,4016015,4016016,4016017,4016018,4016019,4016020,4016021,4016022,4016023,4016024,4016025,4016026,4016027,4016028,4016029,4016030,4016031,4016032,4016033,4016034,4016035,4016036,4016037,4016038,4016039,4016040,4016041,4016042,4016043,4016044	1
4017	4017001,4017002,4017003,4017004,4017005,4017006,4017007,4017008,4017009,4017010,4017011,4017012,4017013,4017014,4017015,4017016,4017017,4017018,4017019,4017020,4017021,4017022,4017023,4017024,4017025,4017026,4017027,4017028,4017029,4017030,4017031,4017032,4017033,4017034,4017035,4017036,4017037,4017038,4017039,4017040,4017041,4017042,4017043,4017044,4017045,4017046,4017047,4017048	1
4018	4018001,4018002,4018003,4018004,4018005,4018006,4018007,4018008,4018009,4018010,4018011,4018012,4018013,4018014,4018015,4018016,4018017,4018018,4018019,4018020,4018021,4018022,4018023,4018024,4018025,4018026,4018027,4018028,4018029,4018030,4018031,4018032,4018033,4018034,4018035,4018036,4018037,4018038,4018039,4018040,4018041,4018042,4018043,4018044,4018045,4018046,4018047	1
4019	4019001,4019002,4019003,4019004,4019005,4019006,4019007,4019008,4019009	1
4020	4020001,4020002,4020003,4020004,4020005,4020006,4020007,4020008,4020009,4020010	1
4021	4021001,4021002,4021003,4021004,4021005,4021006	1
4022	4022001,4022002,4022003,4022004,4022005,4022006,4022007,4022008,4022009,4022010,4022011,4022012	1
4023	4023001,4023002,4023003,4023004,4023005,4023006	1
4024	4024001,4024002,4024003,4024004,4024005,4024006	1
4025	4025001,4025002,4025003,4025004,4025005,4025006,4025007,4025008,4025009,4025010	1
4026	4026001,4026002,4026003,4026004,4026005,4026006	1
4027	4027001,4027002,4027003,4027004,4027005,4027006,4027007	1
4028	4028001,4028002,4028003,4028004,4028005,4028006,4028007,4028008,4028009,4028010	1
4029	4029001,4029002,4029003,4029004,4029005,4029006	1
4030	4030001,4030002	1
4031	4031001,4031002,4031003,4031004,4031005,4031006,4031007,4031008,4031009,4031010,4031011,4031012,4031013,4031014,4031015,4031016,4031017,4031018,4031019,4031020,4031021,4031022,4031023,4031024,4031025,4031026,4031027,4031028	1
4032	4032001,4032002,4032003,4032004,4032005,4032006,4032007,4032008,4032009	1
4033	4033001,4033002,4033003,4033004,4033005,4033006,4033007,4033008,4033009	1
4034	4034001,4034002,4034003,4034004,4034005,4034006,4034007,4034008,4034009,4034010,4034011,4034012,4034013,4034014,4034015,4034016,4034017,4034018,4034019,4034020,4034021,4034022,4034023,4034024,4034025,4034026,4034027,4034028,4034029,4034030,4034031,4034032,4034033,4034034,4034035,4034036,4034037,4034038,4034039,4034040,4034041,4034042,4034043,4034044,4034045,4034046,4034047,4034048,4034049,4034050,4034051	1
4035	4035001,4035002,4035003,4035004,4035005,4035006,4035007,4035008,4035009,4035010,4035011,4035012,4035013,4035014,4035015,4035016,4035017	1
4036	4036001,4036002,4036003,4036004,4036005,4036006,4036007,4036008,4036009	1
4037	4037001,4037002,4037003,4037004,4037005,4037006,4037007,4037008,4037009	1
4038	4038001,4038002,4038003,4038004,4038005,4038006,4038007	1
4039	4039001,4039002,4039003,4039004,4039005,4039006,4039007,4039008,4039009,4039010,4039011,4039012	1
4040	4040001,4040002,4040003,4040004,4040005,4040006,4040007	1
4041	4041001,4041002,4041003,4041004,4041005,4041006,4041007	1
4042	4042001,4042002,4042003,4042004,4042005,4042006,4042007,4042008,4042009,4042010,4042011,4042012,4042013,4042014,4042015,4042016,4042017,4042018,4042019,4042020,4042021,4042022,4042023	1
4043	4043001,4043002,4043003,4043004,4043005,4043006,4043007	1
4044	4044001,4044002,4044003,4044004,4044005,4044006,4044007,4044008,4044009,4044010,4044011,4044012,4044013,4044014,4044015,4044016,4044017,4044018,4044019,4044020,4044021,4044022,4044023,4044024,4044025,4044026,4044027,4044028,4044029,4044030,4044031,4044032,4044033,4044034,4044035,4044036,4044037,4044038,4044039,4044040,4044041,4044042,4044043,4044044,4044045,4044046,4044047,4044048,4044049,4044050,4044051,4044052,4044053,4044054,4044055	1
4045	4045001,4045002,4045003,4045004,4045005,4045006,4045007,4045008,4045009,4045010,4045011,4045012,4045013	1
4046	4046001,4046002,4046003,4046004,4046005,4046006	1
4047	4047001,4047002,4047003,4047004,4047005,4047006,4047007,4047008,4047009,4047010,4047011,4047012,4047013	1
4048	4048001,4048002,4048003,4048004,4048005,4048006,4048007	1
4049	4049001,4049002,4049003,4049004,4049005,4049006	1
4050	4050001,4050002,4050003,4050004,4050005,4050006,4050007,4050008,4050009,40500010,40500011,40500012,40500013,40500014,40500015,40500016,40500017,40500018,40500019,40500020,40500021,40500022,40500023,40500024,40500025,40500026,40500027,40500028,40500029,40500030,40500031,40500032,40500033,40500034,40500035,40500036,40500037,40500038,40500039,40500040,40500041,40500042,40500043,40500044	1
4051	4051001,4051002,4051003,4051004,4051005,4051006,4051007,4051008,4051009,4051010,4051011,4051012,4051013,4051014,4051015,4051016,4051017,4051018,4051019,4051020,4051021,4051022,4051023,4051024,4051025,4051026,4051027,4051028,4051029,4051030,4051031,4051032,4051033,4051034,4051035,4051036,4051037,4051038,4051039,4051040,4051041,4051042,4051043,4051044	1
4052	4052001,4052002,4052003,4052004,4052005,4052006,4052007	1
4053	4053001,4053002,4053003,4053004,4053005,4053006,4053007	1
