id	ScheduleId	level	PayRewardId	PayRewardNum	status
2315	4	15	5200011;4104043	2;20	1
2401	5	1	14900802;4104041	1;100	1
2402	5	2	9000033;4104042	2;50	1
2403	5	3	4140001;4104043	2;20	1
2404	5	4	9000033;4104041	2;100	1
2405	5	5	9000033;4104042	2;50	1
2406	5	6	4140001;4104043	2;20	1
2407	5	7	9000033;4104041	2;100	1
2408	5	8	9000033;4104042	2;50	1
2409	5	9	4140001;4104043	2;20	1
2410	5	10	9000033;4104041	2;100	1
2411	5	11	9000033;4104042	2;50	1
2412	5	12	4140001;4104043	2;20	1
2413	5	13	9000033;4104041	2;100	1
2414	5	14	9000033;4104042	2;50	1
2415	5	15	4140001;4104043	2;20	1
2416	6	1	10100202;4104041	1;100	1
2417	6	2	9000033;4104042	2;50	1
2418	6	3	4140001;4104043	2;20	1
2419	6	4	9000033;4104041	2;100	1
2420	6	5	9000033;4104042	2;50	1
2421	6	6	4140001;4104043	2;20	1
2422	6	7	9000033;4104041	2;100	1
2423	6	8	9000033;4104042	2;50	1
2424	6	9	4140001;4104043	2;20	1
2425	6	10	9000033;4104041	2;100	1
2426	6	11	9000033;4104042	2;50	1
2427	6	12	4140001;4104043	2;20	1
2428	6	13	9000033;4104041	2;100	1
2429	6	14	9000033;4104042	2;50	1
2430	6	15	4140001;4104043	2;20	1
2501	7	1	15400850;4104041	1;100	1
2502	7	2	9000033;4104042	2;50	1
2503	7	3	4140001;4104043	2;20	1
2504	7	4	9000033;4104041	2;100	1
2505	7	5	9000033;4104042	2;50	1
2506	7	6	4140001;4104043	2;20	1
2507	7	7	9000033;4104041	2;100	1
2508	7	8	9000033;4104042	2;50	1
2509	7	9	4140001;4104043	2;20	1
2510	7	10	9000033;4104041	2;100	1
2511	7	11	9000033;4104042	2;50	1
2512	7	12	4140001;4104043	2;20	1
2513	7	13	9000033;4104041	2;100	1
2514	7	14	9000033;4104042	2;50	1
2515	7	15	4140001;4104043	2;20	1
2801	8	1	12300803;4104041	1;100	1
2802	8	2	9000033;4104042	2;50	1
2803	8	3	4140001;4104043	2;20	1
2804	8	4	9000033;4104041	2;100	1
2805	8	5	9000033;4104042	2;50	1
2806	8	6	4140001;4104043	2;20	1
2807	8	7	9000033;4104041	2;100	1
2808	8	8	9000033;4104042	2;50	1
2809	8	9	4140001;4104043	2;20	1
2810	8	10	9000033;4104041	2;100	1
2811	8	11	9000033;4104042	2;50	1
2812	8	12	4140001;4104043	2;20	1
2813	8	13	9000033;4104041	2;100	1
2814	8	14	9000033;4104042	2;50	1
2815	8	15	4140001;4104043	2;20	1
2901	9	1	16200802;4104041	1;100	1
2902	9	2	9000033;4104042	2;50	1
2903	9	3	4140001;4104043	2;20	1
2904	9	4	9000033;4104041	2;100	1
2905	9	5	9000033;4104042	2;50	1
2906	9	6	4140001;4104043	2;20	1
2907	9	7	9000033;4104041	2;100	1
2908	9	8	9000033;4104042	2;50	1
2909	9	9	4140001;4104043	2;20	1
2910	9	10	9000033;4104041	2;100	1
2911	9	11	9000033;4104042	2;50	1
2912	9	12	4140001;4104043	2;20	1
2913	9	13	9000033;4104041	2;100	1
2914	9	14	9000033;4104042	2;50	1
2915	9	15	4140001;4104043	2;20	1
3001	10	1	15300802;4104041	1;100	1
3002	10	2	9000033;4104042	2;50	1
3003	10	3	4140001;4104043	2;20	1
3004	10	4	9000033;4104041	2;100	1
3005	10	5	9000033;4104042	2;50	1
3006	10	6	4140001;4104043	2;20	1
3007	10	7	9000033;4104041	2;100	1
3008	10	8	9000033;4104042	2;50	1
3009	10	9	4140001;4104043	2;20	1
3010	10	10	9000033;4104041	2;100	1
3011	10	11	9000033;4104042	2;50	1
3012	10	12	4140001;4104043	2;20	1
3013	10	13	9000033;4104041	2;100	1
3014	10	14	9000033;4104042	2;50	1
3015	10	15	4140001;4104043	2;20	1
2116	11	1	10301002;4104041	1;100	1
2117	11	2	9000033;4104042	2;50	1
2118	11	3	4140001;4104043	2;20	1
2119	11	4	9000033;4104041	2;100	1
2120	11	5	9000033;4104042	2;50	1
2121	11	6	4140001;4104043	2;20	1
2122	11	7	9000033;4104041	2;100	1
2123	11	8	9000033;4104042	2;50	1
2124	11	9	4140001;4104043	2;20	1
2125	11	10	9000033;4104041	2;100	1
2126	11	11	9000033;4104042	2;50	1
2127	11	12	4140001;4104043	2;20	1
2128	11	13	9000033;4104041	2;100	1
2129	11	14	9000033;4104042	2;50	1
2130	11	15	4140001;4104043	2;20	1
2131	12	1	16200802;4104041	1;100	1
2132	12	2	9000033;4104042	2;50	1
2133	12	3	4190004;4104043	200;20	1
2134	12	4	9000033;4104041	2;100	1
2135	12	5	9000033;4104042	2;50	1
2136	12	6	4190004;4104043	200;20	1
2137	12	7	9000033;4104041	2;100	1
2138	12	8	9000033;4104042	2;50	1
2139	12	9	4190004;4104043	200;20	1
2140	12	10	9000033;4104041	2;100	1
2141	12	11	9000033;4104042	2;50	1
2142	12	12	4190004;4104043	200;20	1
2143	12	13	9000033;4104041	2;100	1
2144	12	14	9000033;4104042	2;50	1
2145	12	15	4190004;4104043	200;20	1
2146	13	1	16100802;4104041	1;100	1
2147	13	2	9000033;4104042	2;50	1
2148	13	3	4190004;4104043	200;20	1
2149	13	4	9000033;4104041	2;100	1
2150	13	5	9000033;4104042	2;50	1
2151	13	6	4190004;4104043	200;20	1
2152	13	7	9000033;4104041	2;100	1
2153	13	8	9000033;4104042	2;50	1
2154	13	9	4190004;4104043	200;20	1
2155	13	10	9000033;4104041	2;100	1
2156	13	11	9000033;4104042	2;50	1
2157	13	12	4190004;4104043	200;20	1
2158	13	13	9000033;4104041	2;100	1
2159	13	14	9000033;4104042	2;50	1
2160	13	15	4190004;4104043	200;20	1
2161	14	1	4190004	1000	1
2162	14	2	4100032	75	1
2163	14	3	4100032	75	1
2164	14	4	4100032	75	1
2165	14	5	4100032	75	1
2166	14	6	3000002	100	1
2167	14	7	4100036	50	1
2168	14	8	4100036	50	1
2169	14	9	4100036	50	1
2170	14	10	4100036	50	1
2171	14	11	3000002	100	1
2172	14	12	4100031	50	1
2173	14	13	4100031	50	1
2174	14	14	4100031	50	1
2175	14	15	4100031	50	1
