id	moduleId	mark	systemFunction	trigger	condition	completeCondition	preGuideBehavior	eventInfo	eventBehavior	actionInfo	actionBehavior	actionHLParams	postGuideBehavior	moduleQuitFlag	sync	requestPath	isWaitAnimateComplete	dialogPos	dialogLineDirection	dialogType	voice	goods	goodsNum	skip	renderCameraType	particle	status	text	text_zh_TW	text_en_UK	text_ja_JP	text_ko_KR	text_th_TH
2_5	2	5	0	1#721				1#FightTeamDialog/Root/TeamInfo/TeamNodePar/TeamNode1/AnimRoot/Image:0.91:0.91	2	1#FightTeamDialog/Root/TeamInfo/TeamNodePar/TeamNode1/AnimRoot/Image:0.91:0.91#0	3	0:0:0		0			0	300;0||0;0	0	2				0	1	1	1	进入<color=#f44eef>【战斗员选择】</color>来决定出战阵容。	進入<color=#f44eef>【戰鬥員選擇】</color>來決定出戰陣容。	Go to <color=#f44eef>[Combatant Selection]</color> to set your lineup.	<color=#f44eef>「戦闘員選択」</color>をタップして、出陣するメンバーを決めてください。	<color=#f44eef>[전투원 선택]</color>을 통하여 전투 진형을 편성하세요	คุณผู้ตรวจการสามารถ <color=#f44eef>เลือกเอเจนต์</color>\nที่ต้องการเข้าทีมได้ค่ะ
2_6	2	6	0	1#720				3#FightChooseCardsDialog/Container/RightRoot/ChooseCardsView:0:CardItem/UITeamMemberNode/CardPar/card:1:0.9:0.9:1	2	3#FightChooseCardsDialog/Container/RightRoot/ChooseCardsView:0:CardItem/UITeamMemberNode/CardPar/card:0:0.9:0.9:1#0	3	0:0:0		0			0		0	0				0	1	1	1						
2_7	2	7	0	1#720				3#FightChooseCardsDialog/Container/RightRoot/ChooseCardsView:0:CardItem/UITeamMemberNode/CardPar/card:1:0.9:0.9:2	2	3#FightChooseCardsDialog/Container/RightRoot/ChooseCardsView:0:CardItem/UITeamMemberNode/CardPar/card:0:0.9:0.9:2#0	3	0:0:0		0			0		0	0				0	1	1	1						
2_8	2	8	0	1#720				1#FightChooseCardsDialog/Container/RightRoot/Bottom/FontStyleWithIconButton1:1:1	1	1#FightChooseCardsDialog/Container/RightRoot/Bottom/FontStyleWithIconButton1:1:1#0	3	0:0:0		0			0	-489.9975;464.9999||0;0	0	2				0	1	1	1	点击<color=#f44eef>【确认】</color>将会保存编队。  	點擊<color=#f44eef>【確認】</color>將會保存編隊。	Tap <color=#f44eef>[Confirm]</color> to save your lineup.	<color=#f44eef>「OK」</color>をタップして、編成をセーブします。	<color=#f44eef>[확인]</color>을 탭하여 편성을 저장해 주세요	โปรดคลิก <color=#f44eef>[ยืนยัน]</color> เพื่อบันทึกทีมค่ะ
2_9	2	9	0	1#721						1#FightTeamDialog/Root/TeamInfo/Btns/Begin/BtnFight:1:1#0	3	0:0:0	5	1	9		0		0	0				0	1	1	1						
1000_1	1000	1	2001	1#2320	-1001#4;-7#2	-1001#4	8#117						4	0			0		0	0				0	0	0	1						
1000_2	1000	2	0	1#2320			29#0			2#MainChapterDialog/DetailsShowGroup/AimRoot/WholeLayout/TaskAndReward:596:-98.01498:1192:196:0:1:0:1:1:1#0			5	0			0	300;300||0;0	0	2				1	1	1	1	调查官，<color=#f44eef>新海市【经验副本】</color>已经开放了。	調查官，<color=#f44eef>新海市【經驗副本】</color>已經開放了。	Inspector, the <color=#f44eef>[EXP Stage] in Catto City</color> is now available.	調査官、<color=#f44eef>新海市の「EXPステージ」</color>が開放されました。	조사관님, <color=#f44eef>뉴오션 시티 [EXP 던전]</color>이 공개되었습니다	คุณผู้ตรวจการคะ <color=#f44eef>[ดันเจี้ยน EXP]</color>\n<color=#f44eef>แคทโตะ ซิตี้</color> เปิดแล้วค่ะ
1000_3	1000	3	0	1#2320				1#UINavigationBarRoot/TopLeftNav/BtnHome:1:1	1	1#UINavigationBarRoot/TopLeftNav/BtnHome:1:1#0	3	0:0:0		0			0		0	0				1	1	1	1						
1000_4	1000	4	0	1#103				1#UIHomeView/Root/RighPanel/BottomPanel/BtnFight:1:1	2	1#UIHomeView/Root/RighPanel/BottomPanel/BtnFight/area:1:1	3	0:12:0		0			0	-480.4603;-154.57||0;0	0	2				1	0	1	1	点击<color=#f44eef>【新海市】</color>进入地图。\n <size=26><color=#808080>提示：【新海市】功能包含各种PVE,PVP玩法</color></size> 	點擊<color=#f44eef>【新海市】</color>進入地圖。\n <size=26><color=#808080>提示：【新海市】功能包含各種PVE,PVP玩法</color></size>	Tap <color=#f44eef>[Catto City]</color> to access the map.\n<size=26><color=#808080>Tip: [Catto City] offers a wide range of PvE and PvP modes.</color></size>	<color=#f44eef>「新海市」</color>をタップして、地図を開きます。\n <size=26><color=#808080>ヒント：「新海市」では、PVEやPVPなどもモードを体験できます。</color></size> 	<color=#f44eef>[뉴오션 시티]</color>를 터치해 지도에 들어가세요.\n<size=26><color=#808080>Tips:[뉴오션 시티]에는PVE 및 PVP를 포함한 다양한 기능이 포함되어있습니다.</color></size> 	คลิก <color=#f44eef>[แคทโตะ ซิตี้]</color> เพื่อเข้าสู่แผนที่นะคะ\n<size=26><color=#808080>คำแนะนำ: [แคทโตะ ซิตี้] ประกอบด้วย</color></size> \n<size=26><color=#808080>โหมดมากมาย ทั้ง PVE และ PVP</color></size>
1000_5	1000	5	0	1#3130				1#ActionPrimaryMapDialog/Root/Container/ButtonAllBattles:1:1	2	1#ActionPrimaryMapDialog/Root/Container/ButtonAllBattles/area:1:1#0	3	0:0:0		0			0		0	0				1	1	1	1						
1000_6	1000	6	0	1#3133				3#ActionDungoenCollectionDialog/Root/Container/ScrollView:0:0:1:1:1:0	2	3#ActionDungoenCollectionDialog/Root/Container/ScrollView:0:0:0:1:1:0#0	3	0:0:0		0			0	651.4603;-171.135||0;0	0	2				1	1	1	1	点击<color=#f44eef>【经验副本】</color>就可以直接进入。	點擊<color=#f44eef>【經驗副本】</color>就可以直接進入。	Tap <color=#f44eef>[EXP Stage]</color> to enter directly.	<color=#f44eef>「EXPステージ」</color>をタップして、進みましょう。	<color=#f44eef>[EXP 던전]</color>을 탭하면 바로 입장할 수 있습니다	โปรดคลิก <color=#f44eef>[ดันเจี้ยน EXP]</color> เพื่อเข้าสู่\nดันเจี้ยนค่ะ
1000_7	1000	7	0	1#3134				1#ActionPointMapDialog/Root/NormalPanel/RightPanel/FontStyleButton:1:1	1	2#ActionPointMapDialog/Root/NormalPanel/RightPanel/FontStyleButton:0:18.7:416:130:0.5:0.5:0.5:0.5:1:1#0	3	0:0:0		1			0	-395.4263;436.1||0;0	0	2				1	1	1	1	点击<color=#f44eef>【进入】</color>柴郡猫游乐园 1，首次通关将会获得特定<color=#f44eef>【奖励】</color>。	點擊<color=#f44eef>【進入】</color>柴郡貓遊樂園 1，首次通關將會獲得特定<color=#f44eef>【獎勵】</color>。	Tap <color=#f44eef>[Enter]</color> to visit Cheshire Cat Park 1. You'll get specific <color=#f44eef>[rewards]</color> upon the first completion.	<color=#f44eef>「進む」</color>をタップして、チェシャ猫ランド1に入ります。初回クリアすると、特定の報酬を受け取るれます。	체셔 캣 랜드 <color=#f44eef>[입장]</color>을 탭하세요 1. 첫 클리어 시 특정 <color=#f44eef>[보상]</color>이 지급됩니다	โปรดคลิก <color=#f44eef>[เข้า]</color> สวนสนุกเชสเชียร์ 1 ค่ะ\nเมื่อคุณผู้ตรวจการผ่านด่านครั้งแรก\nจะได้รับ <color=#f44eef>[รางวัลพิเศษ]</color> ด้วยนะคะ
1001_1	1001	1	0	1#2320	-1000#3002					2#MainChapterDialog/DetailsShowGroup/AimRoot/WholeLayout/TaskAndReward/TaskReceive:0:0:1192:196:0.5:0.5:0.5:0.5:1:1#0	3	0:0:0	5	0			0	300;300||0;0	0	2				1	1	1	1	【餐厅】	【餐廳】	[Cafe]	「レストラン」	[카페테리아]	[คาเฟ่]
1001_2	1001	2	0	1#2320				1#UINavigationBarRoot/TopLeftNav/BtnHome:1:1	1	1#UINavigationBarRoot/TopLeftNav/BtnHome:1:1#0	3	0:0:0		0			0		0	0				1	1	1	1						
1001_3	1001	3	0	1#103				1#UIHomeView/Root/RighPanel/BottomPanel/BtnCafe:1:1	2	1#UIHomeView/Root/RighPanel/BottomPanel/BtnCafe:1:1#0	3	0:12:0		0			0		0	0				1	1	1	1						
1001_4	1001	4	0	1#3086				1#OverseaManageMainSecondDialog/Root/Container/DownPanel/DownRightGroup/BtnLayout/BtnFood:1:1	2	1#OverseaManageMainSecondDialog/Root/Container/DownPanel/DownRightGroup/BtnLayout/BtnFood:1:1#0	3	0:0:0		0			0		0	0				1	1	1	1						
1001_5	1001	5	0	1#3089				1#OverseaManageCookingListMainDialog/Root/Container/RightPanel/ContentGroup/NormalNode/RequiredMaterials/CommonGoodsList/GoodNode1/Container:0.5:0.5	1	1#OverseaManageCookingListMainDialog/Root/Container/RightPanel/ContentGroup/NormalNode/RequiredMaterials/CommonGoodsList/GoodNode1:0.5:0.5#0	3	0:0:0	24#4	0			0	-263;166||0;0	0	2				1	1	1	1	<color=#f44eef>【料理】</color>的是由各种<color=#f44eef>【食材】</color>组合制作而成。	<color=#f44eef>【料理】</color>的是由各種<color=#f44eef>【食材】</color>組合製作而成。	<color=#f44eef>[Food]</color> is made by combining various <color=#f44eef>[ingredients]</color>.	<color=#f44eef>料理</color>は様々な<color=#f44eef>食材</color>を組み合わせることで作れます。	<color=#f44eef>[요리]</color>는 다양한 <color=#f44eef>[식재료]</color>를 조합하여 만듭니다.	คุณผู้ตรวจการสามารถนำ <color=#f44eef>[วัตถุดิบ]</color>\nหลากชนิด มาทำเป็น <color=#f44eef>[อาหาร]</color> ได้ค่ะ
1001_6	1001	6	0	1#3089			6#CommonTipsBoardGoods	1#CommonTipsBoardGoods/Root/Bg/ScrollView/Viewport/Content/3134/OpenAwayNodePrefab/FontStyleButton:1:1	1	1#CommonTipsBoardGoods/Root/Bg/ScrollView/Viewport/Content/3134/OpenAwayNodePrefab/FontStyleButton:1:1#0	3	0:0:0	24#5	0			0	84.17;264.115||0;0	0	2				1	1	1	1	这里可以看到<color=#f44eef>【食材】</color>的获取途径，点击<color=#f44eef>【前往】</color>可直接跳转。	這裡可以看到<color=#f44eef>【食材】</color>的獲取途徑，點擊<color=#f44eef>【前往】</color>可直接跳轉。	Here, you can see how to obtain <color=#f44eef>[ingredients]</color>. Tap <color=#f44eef>[Go]</color> to jump straight there.	ここでは<color=#f44eef>食材</color>の入手方法が確認できます。<color=#f44eef>入手へ</color>をタップすると入手できるステージへ移動します。	여기서 <color=#f44eef>[식재료]</color>의 획득 경로를 확인할 수 있으며, <color=#f44eef>[바로가기]</color>를 탭하여 직접 이동할 수 있습니다.	คุณผู้ตรวจการสามารถตรวจสอบ\nช่องทางการหา <color=#f44eef>[วัตถุดิบ]</color> ได้ที่นี่ค่ะ
1001_7	1001	7	0	1#3134				1#ActionPointMapDialog/Root/NormalPanel/RightPanel/FontStyleButton2:1:1	1	1#ActionPointMapDialog/Root/NormalPanel/RightPanel/FontStyleButton2:1:1#0	3	0:0:0		0	15		0	9.44;413.09||0;0	0	2				1	1	1	1	可以使用<color=#f44eef>【扫荡】</color>功能来跳过整个战斗过程，来试试吧。	可以使用<color=#f44eef>【掃蕩】</color>功能來跳過整個戰鬥過程，來試試吧。	You can use the <color=#f44eef>[Raid]</color> feature to skip the entire battle process. Give it a try.	<color=#f44eef>掃討</color>機能を使えば戦闘をスキップできます。さっそく使ってみましょう。	<color=#f44eef>[소탕]</color> 기능을 사용하여 모든 전투를 건너뛸 수 있으니, 사용해 보세요.	คุณผู้ตรวจการสามารถ <color=#f44eef>[กวาดล้าง]</color>\nเพื่อข้ามขั้นตอนต่อสู้ทั้งหมดนะคะ
1001_8	1001	8	0	1#3281				1#ActionPointMapWipeOutPopup/Root/Container/Content/FontStyleButton:1:1	1	1#ActionPointMapWipeOutPopup/Root/Container/Content/FontStyleButton:1:1#0	3	0:0:0		0			0		0	0				1	1	1	1						
1001_9	1001	9	0	1#3282				1#FightTeamEndLevel/Root/FontStyleButton:1:1	1	1#FightTeamEndLevel/Root/FontStyleButton:1:1#0	3	0:0:0		0			0		0	0				0	1	0	1						
1001_10	1001	10	0	1#3281				1#ActionPointMapWipeOutPopup/Root/Container/BGpanel/BtnClose:1:1	2	1#ActionPointMapWipeOutPopup/Root/Container/BGpanel/BtnClose:1:1#0	3	0:0:0		0			0	1175.5333;-466||0;0	0	2				1	1	1	1	已经有足够的料理材料了，让我们<color=#f44eef>【返回】</color>吧。	已經有足夠的料理材料了，讓我們<color=#f44eef>【返回】</color>吧。	You've got enough ingredients. Let's <color=#f44eef>[return]</color>.	食材は十分集めました。レストランへ<color=#f44eef>戻りましょう</color>。	재료가 충분히 준비됐으니, <color=#f44eef>[돌아가기]</color>를 탭하여 돌아가세요.	มีวัตถุดิบอาหารเพียงพอแล้วนะคะ\nเรากลับไปทำอาหารกันเถอะค่ะ
1001_11	1001	11	0	1#3134				1#UINavigationBarRoot/TopLeftNav/BackButton:1:1	1	2#UINavigationBarRoot/TopLeftNav:28:-71.5:262:108:0:1:0:1:1:1#0	3			0			0		0	0				1	1	1	1						
1001_12	1001	12	0	1#3089				1#OverseaManageCookingListMainDialog/Root/Container/RightPanel/CookGroup/ChooseNode/BtnAdd:1:1	1	1#OverseaManageCookingListMainDialog/Root/Container/RightPanel/CookGroup/ChooseNode/BtnAdd:1:1#0	3	0:0:0		0			0		0	0				1	1	1	1						
1001_13	1001	13	0	1#3089				1#OverseaManageCookingListMainDialog/Root/Container/RightPanel/CookGroup/FontStyleButton:1:1	1	1#OverseaManageCookingListMainDialog/Root/Container/RightPanel/CookGroup/FontStyleButton:1:1#0	3	0:0:0		0			0		0	0				1	1	1	1						
1001_14	1001	14	0	1#3300									4	0			0		0	0				1	0	1	1						
1001_15	1001	15	0	1#3089						3#OverseaManageCookingListMainDialog/Root/Container/LeftPanel/Content/ScrollView:0:Btn:0:1:1#0	3	0:0:0	5	1			0	816.08;-162.5||0;0	0	2				1	1	1	1	制作料理可获取相关经验，从而提升料理的<color=#f44eef>【品级】</color>。 \n <size=26><color=#808080>提示：<color=#f44eef>【品级】</color>越高，套餐<color=#f44eef>收益越高</color>。</color></size> 	製作料理可獲取相關經驗，從而提升料理的<color=#f44eef>【品級】</color>。 \n <size=26><color=#808080>提示：<color=#f44eef>【品級】</color>越高，套餐<color=#f44eef>收益越高</color>。</color></size>	You'll get the corresponding EXP while making dishes, which can improve the dish's <color=#f44eef>[quality]</color>.\n<size=26><color=#808080>Tip: The higher the dish's <color=#f44eef>[quality]</color>, the <color=#f44eef>[more earnings]</color> the set menu yields.</color></size>	料理を作ることでレシピEXPを入手できます。経験値が一定に達すると料理の<color=#f44eef>ランク</color>が上がります。 \n <size=26><color=#808080>※<color=#f44eef>ランク</color>が高いほど、セットメニューの<color=#f44eef>収益</color>が高くなります。</color></size> 	요리를 제작하면 관련 EXP를 획득할 수 있으며, 요리의 <color=#f44eef>[등급]</color>을 올릴 수 있습니다. \n<size=26><color=#808080>Tips: <color=#f44eef>[등급]</color>이 높을 수록, 세트 메뉴 판매 시 얻는 <color=#f44eef>매출</color>도 높아집니다.</color></size>	เมื่อทำอาหารจะได้รับ EXP ของเมนูนั้นๆ\nช่วยเพิ่ม <color=#f44eef>[ระดับคุณภาพ]</color> ของอาหารค่ะ\n<size=26><color=#808080>คำแนะนำ: ยิ่ง <color=#f44eef>[ระดับคุณภาพ]</color> สูง</color></size>\n<size=26><color=#808080>ราคาขายของเมนูนั้นก็ยิ่งสูงขึ้นค่ะ</color></size>
1003_1	1003	1	0	1#2320	25#102130					2#MainChapterDialog/DetailsShowGroup/AimRoot/WholeLayout/TaskAndReward:596:-98.01498:1192:196:0:1:0:1:1:1#0	3	0:0:0	5	0	4		0	300;300||0;0	0	2				1	1	1	1	新功能开启了，<color=#f44eef>【前往】</color>试试吧。	新功能開啟了，<color=#f44eef>【前往】</color>試試吧。	A new feature is now available. <color=#f44eef>[Go]</color> try it out.	新しいコンテンツが解放されました。さっそく<color=#f44eef>移動</color>をタップして利用してみましょう。	신규 기능이 오픈됐습니다. <color=#f44eef>[바로가기]</color>로 확인해 보세요.	<color=#f44eef>ฟังก์ชันใหม่</color>เปิดแล้วค่ะ คุณผู้ตรวจการ
1003_2	1003	2	0	1#2320				1#MainChapterDialog/Container/RightBg/RightPanel/BtnStart/BtnNode:1:1	2	1#MainChapterDialog/Container/RightBg/RightPanel/BtnStart:1:1#0	3			0			0		0	0				0	1	0	1						
1003_3	1003	3	0	1#3139				1#ActionSPMapDialog/Root/Container/SpGroup/SpCell6:1:1	2	1#ActionSPMapDialog/Root/Container/SpGroup/SpCell6:1:1#0	3			0			0		0	0				1	1	1	1						
1003_4	1003	4	0	1#3134						1#ActionPointMapDialog/Root/NormalPanel/LeftPanel/ListView:1:1;2#ActionPointMapDialog/Root/NormalPanel/RightPanel:4.75:-245.3:-129.7:275.4:1:0.5:0:0.5:1:1#0	3;3	;	5#0	1			0	899.8801;127.15||0;0	0	2				1	1	1	1	左侧可以选择<color=#f44eef>【粒子副本】</color>的难度。难度越高，通关奖励越丰富。	左側可以選擇<color=#f44eef>【粒子副本】</color>的難度。難度越高，通關獎勵越豐富。	On the left, you can select the difficulty of <color=#f44eef>[Particle Stages]</color>. Higher difficulty means richer rewards.	左側では<color=#f44eef>粒子ステージ</color>の難易度を調整できます。難易度が高いほど、クリア報酬は豊富になります。	좌측에서 <color=#f44eef>[파티클 던전]</color>의 난이도를 선택할 수 있습니다. 난이도가 높을 수록 클리어 시 획득하는 보상이 더욱 증가합니다.	คุณผู้ตรวจการสามารถเลือกความยาก\nของ <color=#f44eef>[ดันเจี้ยนอนุภาค]</color> ได้ที่ด้านซ้ายค่ะ\nดันเจี้ยนที่ยากกว่า จะให้รางวัลที่ดีกว่าค่ะ
1004_1	1004	1	106	1#2320	-1000#106	-1000#106	8#117						4	0			0		0	0				0	0	0	1						
1004_2	1004	2	0	1#2320		-5				2#MainChapterDialog/DetailsShowGroup/AimRoot/WholeLayout/TaskAndReward:596:-98.01498:1192:196:0:1:0:1:1:1#0	3		5	0			0	300;300||0;0	0	2				1	1	1	1	调查官，<color=#f44eef>【装备】</color>功能已开放。	調查官，<color=#f44eef>【裝備】</color>功能已開放。	Inspector, the <color=#f44eef>[Equipment]</color> system is now available.	調査官、<color=#f44eef>「装備」</color>が開放されました。	조사관님, <color=#f44eef>[장비]</color>기능이 오픈되었습니다	ฟังก์ชัน <color=#f44eef>[อุปกรณ์]</color> เปิดแล้วค่ะ\nคุณผู้ตรวจการ
1004_3	1004	3	0	1#2320				1#UINavigationBarRoot/TopLeftNav/BtnHome:1:1	1	1#UINavigationBarRoot/TopLeftNav/BtnHome:1:1#0	3	0:0:0		0			0		0	0				1	1	1	1						
1004_4	1004	4	0	1#103				1#UIHomeView/Root/RighPanel/BottomPanel/BtnCultivate:1:1	2	1#UIHomeView/Root/RighPanel/BottomPanel/BtnCultivate:1:1#0	3			0			0		0	0				1	1	1	1						
1004_5	1004	5	0	1#101				5#CultivateOverseaCardsEntryPerspectivePanel/PerspectivePanel/BtnNode/FontStyleButton	1	1#CultivateOverseaCardsEntryPerspectivePanel/PerspectivePanel/BtnNode/FontStyleButton:1:1#1	3	0:20:0		0			0		0	0				1	1	1	1						
1004_6	1004	6	0	1#102			1#5	3#CultivateOverseaMainDialog/Root/Container/CommonTabToggleLeft/TabListView:5:0:1:1:1	2	3#CultivateOverseaMainDialog/Root/Container/CommonTabToggleLeft/TabListView:5:AnimRoot:0:1:1#1	3			0			0		0	0				1	1	1	1						
1004_7	1004	7	0	1#102				5#CultivateOverseaEquipmentDialog/Root/Container/RightPanelEquipment/ScrollRoot/ScrollView/Viewport/Content/CellRow(Clone)/EquipBackpackCellNode/GoodNode/Container	2	3#CultivateOverseaEquipmentDialog/Root/Container/RightPanelEquipment/ScrollRoot/ScrollView:0:EquipBackpackCellNode:0:1:1#1	3			0			0		0	0				1	1	1	1						
1004_8	1004	8	0	1#102				5#CultivateOverseaEquipmentDialog/Root/Container/CultivateOverseaEquipDetailsGroup/Root/CultivateOverseaEquipDetailsNode2/AnimRoot/BottomNode/BottomButtons/FontStyleButton	1	1#CultivateOverseaEquipmentDialog/Root/Container/CultivateOverseaEquipDetailsGroup/Root/CultivateOverseaEquipDetailsNode2/AnimRoot/BottomNode/BottomButtons/FontStyleButton:1:1#1	3			0			0		0	0				1	1	1	1						
1004_9	1004	9	0	1#102						1#CultivateOverseaEquipmentDialog/Root/Container/LeftPanel/SuitDescAndAttrNode:1:1#1	3		5#0	0			0	544.3201;297||0;0	0	2				1	1	1	1	这里可以直接看到<color=#f44eef>【装备】</color>提供的属性统计。	這裡可以直接看到<color=#f44eef>【裝備】</color>提供的屬性統計。	The stats of <color=#f44eef>[equipment]</color> are displayed here.	こちらで<color=#f44eef>「装備」</color>が提供するステータスを確認できます。	이 곳에서는 <color=#f44eef>[장비]</color>에서 제공하는 속성 통계를 직접 확인할 수 있습니다	คุณผู้ตรวจการ สามารถดูคุณสมบัติ\nที่ได้จาก <color=#f44eef>[อุปกรณ์]</color> โดยตรงค่ะ
