id	guideModuleId	type	title	guideRolo	action	voice	region	regionId	regionType	ifFrame	position	special	timeDelay	regionCoordinate	ifGuide	status	text	text_zh_TW	text_en_UK	text_ja_JP	text_ko_KR	text_th_TH
10	100010_2_1	2	0	42:card_icon_108008_2	idleR1		1	6	1	0	4;-100,0	0	0	0	0	1	最多能合成<color=#f44eef>两次</color>相同技能牌。	最多能合成<color=#f44eef>兩次</color>相同技能牌。	You can fuse the same skill cards up to <color=#f44eef>two times</color>.	同じスキルカードは最大<color=#f44eef>2回</color>合成させることができます。	동일한 스킬 카드는 최대 <color=#f44eef>2회</color>까지 합성할 수 있습니다	คุณผู้ตรวจการสามารถผสมการ์ดสกิล\nที่เหมือนกันได้สูงสุด <color=#f44eef>2 ครั้ง</color>ค่ะ
11	100010_2_2	1	0	42:card_icon_108008_2	idleR1		13	21	1	1	2	0	0	0	0	1	上回合<color=#f44eef>奥义能量</color>满的战斗员现在已有<color=#f44eef>奥义牌</color>可以使用。	上回合<color=#f44eef>奧義能量</color>滿的戰鬥員現在已有<color=#f44eef>奧義牌</color>可以使用。	Combatants with full <color=#f44eef>SP</color> from the previous turn now have an <color=#f44eef>Ultimate Card</color> ready.	戦闘員の<color=#f44eef>SP</color>が満タンになりました。今なら<color=#f44eef>SP技</color>を発動できます。	이전 턴에 <color=#f44eef>필살기 게이지</color>를 가득 채운 전투원은 <color=#f44eef>필살기 카드</color>를 사용할 수 있습니다	เอเจนต์ที่<color=#f44eef>พลังงาน SP</color> เต็มในเทิร์นก่อน\nจะสามารถใช้<color=#f44eef>การ์ดสกิลอัลติเมท</color>ได้ค่ะ
12	100010_2_2	2	0	42:card_icon_108008_2	idleR1		1	8	2	0	4;-100,0	1	0	0	0	1	使用<color=#f44eef>奥义牌</color>后，战斗员现有的<color=#f44eef>奥义能量</color>将会被立即清空。	使用<color=#f44eef>奧義牌</color>後，戰鬥員現有的<color=#f44eef>奧義能量</color>將會被立即清空。	Using an <color=#f44eef>Ultimate Card</color> will deplete all of the Combatant's <color=#f44eef>SP</color>.	<color=#f44eef>SP技</color>を発動すると、戦闘員が現在保有する<color=#f44eef>SP</color>は0になります。	<color=#f44eef>필살기 카드</color> 사용 후, 전투원의 기존 <color=#f44eef>필살기 게이지</color>는 전부 소모됩니다	หลังใช้<color=#f44eef>การ์ดสกิลอัลติเมท</color> <color=#f44eef>พลังงาน SP</color>\nที่เอเจนต์มีอยู่ จะหมดไปทันทีค่ะ
13	100020_1_1	2	0	42:card_icon_108008_2	idleR1		1;1	2;7	2	0	4;-100,0	1	0	0	0	1	请调查官使用<color=#f44eef>技能牌</color>，指挥进行战斗吧。	請調查官使用<color=#f44eef>技能牌</color>，指揮進行戰鬥吧。	Inspector, please utilize <color=#f44eef>skill cards</color> to strategize and engage in battle.	調査官、<color=#f44eef>スキルカード</color>を発動し、戦闘を指揮してください。	조사관님, <color=#f44eef>스킬 카드</color>를 선택하고, 전투를 지휘해주세요	คุณผู้ตรวจการ โปรดใช้<color=#f44eef>การ์ดสกิล</color>\nเพื่อจัดการหุ่นเชิดด้วยค่ะ
14	100020_1_2	1	0	42:card_icon_108008_2	idleR1		5	5	1	1	3;100.4,-169.3	3	0	0	0	1	点击左边即可查看<color=#f44eef>属性克制</color>的关系\n攻击<color=#f44eef>属性克制</color>的敌方单位可以造成更<color=#f44eef>可观的伤害</color>。	點擊左邊即可查看<color=#f44eef>屬性克制</color>的關係\n攻擊<color=#f44eef>屬性克制</color>的敵方單位可以造成更<color=#f44eef>可觀的傷害</color>。	Tap the left to view the <color=#f44eef>elemental advantages and disadvantages</color>.\nAttacking enemy units with <color=#f44eef>elemental advantage</color> will inflict <color=#f44eef>greater DMG</color>.	左側をタップすると<color=#f44eef>有利属性と不利属性</color>の情報を確認できます。\n<color=#f44eef>不利属性</color>を持つ敵を狙って攻撃すると、<color=#f44eef>より多くのダメージ</color>を与えることができます。	화면 좌측 하단의 아이콘을 터치하면 <color=#f44eef>상성</color> 관계를 확인할 수 있습니다.\n공격에 <color=#f44eef>상성</color>이 적용된다면, <color=#f44eef>더 큰 대미지</color>를 부여할 수 있습니다.	หมั่นตรวจสอบ <color=#f44eef>คุณสมบัติ</color> <color=#f44eef>การชนะทาง</color>\nเมื่อโจมตีหุ่นเชิดที่คุณ<color=#f44eef>ชนะทาง</color> เอเจนต์\nจะสร้าง<color=#f44eef>ดาเมจได้มากขึ้น</color>ค่ะ
15	100020_1_2	2	0	42:card_icon_108008_2	idleR1		4	1	1	1	3;0;-50	0	0	0	0	1	请<color=#f44eef>锁定</color>该敌人为首要目标。	請<color=#f44eef>鎖定</color>該敵人為首要目標。	<color=#f44eef>Target</color> this enemy as your primary target.	こちらの敵をメインターゲットとして<color=#f44eef>指定</color>してください。	해당 적을 첫 목표로 <color=#f44eef>고정</color>하세요	<color=#f44eef>ล็อกเป้า</color>ศัตรูตัวนี้เป็นเป้าหมายหลักค่ะ
16	100020_1_2	1	0	42:card_icon_108008_2	idleR1		14	11	1	1	3	0	0	0	0	1	请观察<color=#f44eef>敌方属性颜色</color>。	請觀察<color=#f44eef>敵方屬性顏色</color>。	Take note of the <color=#f44eef>enemy's elemental color</color>.	<color=#f44eef>敵の属性カラー</color>をチェックしてください。	<color=#f44eef>적군의 속성</color>을 확인하세요	ตรวจสอบ<color=#f44eef>สีคุณสมบัติ</color>ของศัตรูค่ะ
17	100020_1_2	1	0	42:card_icon_108008_2	idleR1		13	11	1	1	1	0	0	0	0	1	请观察<color=#f44eef>己方属性颜色</color>。	請觀察<color=#f44eef>己方屬性顏色</color>。	Take note of your <color=#f44eef>own elemental color</color>.	<color=#f44eef>味方の属性カラー</color>をチェックしてください。	<color=#f44eef>아군의 속성</color>을 관찰하세요	และตรวจสอบ<color=#f44eef>สีคุณสมบัติของเอเจนต์</color>ค่ะ
18	100020_1_2	2	0	42:card_icon_108008_2	idleR1		1	1	2	0	4;-100,0	0	0	0	0	1	选择<color=#f44eef>技能牌克制属性时</color>，有<color=#f44eef>提升箭头</color>。	選擇<color=#f44eef>技能牌克制屬性時</color>，有<color=#f44eef>提升箭頭</color>。	When selecting a <color=#f44eef>skill card that counters the enemy's elemental</color>, an <color=#f44eef>upward arrow</color> will appear.	保有するスキルカードの中で<color=#f44eef>有利属性のカード</color>が存在する場合、カードに<color=#f44eef>有利矢印</color>が表示されます。	<color=#f44eef>상성 스킬 카드</color>를 선택하면, <color=#f44eef>↑</color> 아이콘이 표시됩니다	คุณผู้ตรวจการสามารถสังเกต\n<color=#f44eef>ไอคอนลูกศรขึ้น</color> บน<color=#f44eef>การ์ดที่ชนะทาง</color>ค่ะ
19	100020_1_2	2	0	42:card_icon_108008_2	idleR1		2	1	1	1	3	0	0	0	0	1	此时选择1星技能牌<color=#fc14a8>非最优选择</color>。\n请点击<color=#fc14a8>重置</color>可以重新<color=#fc14a8>选择技能牌</color>。	此時選擇1星技能牌<color=#fc14a8>非最優選擇</color>。\n請點擊<color=#fc14a8>重置</color>可以重新<color=#fc14a8>選擇技能牌</color>。	Choosing a 1★ skill card now is <color=#fc14a8>not the optimal choice</color>.\nTap <color=#fc14a8>Reset</color> to <color=#fc14a8>re-select your skill card</color>.	今選択した★1スキルカードは<color=#fc14a8>最適な選択ではない</color>ようです。\n<color=#fc14a8>リセット</color>をタップして、改めて<color=#fc14a8>スキルカードを選択</color>してください。	지금 1★ 스킬 카드를 선택하는 것은 <color=#fc14a8>최선의 선택이 아닙니다</color>.\n<color=#fc14a8>초기화 아이콘</color>을 터치하고, <color=#fc14a8>스킬 카드를 재선택</color>하세요	ในตอนนี้ การเลือกการ์ดสกิล 1★\nอาจ<color=#fc14a8>ไม่ใช่ตัวเลือกที่ดีที่สุด</color> กด<color=#fc14a8>รีเซ็ต</color>\nเพื่อ<color=#fc14a8>เลือกการ์ด</color>ใหม่อีกครั้งนะคะ
20	100020_1_2	2	0	42:card_icon_108008_2	idleR1		1;1	2;7	2	0	4;-100,0	1	0	0	0	1	这次请选择<color=#f44eef>2星技能牌</color>进行攻击。	這次請選擇<color=#f44eef>2星技能牌</color>進行攻擊。	This time, select a <color=#f44eef>2★ skill card</color> to attack.	今度はこちらの<color=#f44eef>★2スキルカード</color>で敵を攻撃しましょう。	이번엔 <color=#f44eef>2★ 스킬 카드</color>를 선택하고 퍼펫을 공격해 보세요	ครั้งนี้ โปรดเลือก<color=#f44eef>การ์ดสกิล 2★</color>\nเพื่อทำการโจมตีแทนค่ะ
21	101010_1_1	1	0	42:card_icon_108008_2	idleR1		9	1	1	1	3	0	0	40,0,-1,-1	0	1	请查看敌方<color=#f44eef>此回合出手次数</color>，优先<color=#f44eef>击败出手次数多的敌人</color>。	請查看敵方<color=#f44eef>此回合出手次數</color>，優先<color=#f44eef>擊敗出手次數多的敵人</color>。	Consider the <color=#f44eef>number of actions the enemy will take this turn</color> and prioritize <color=#f44eef>defeating enemies with more actions</color>.	敵の<color=#f44eef>行動回数</color>を確認し、<color=#f44eef>行動回数の最も多い敵</color>を優先的に倒してください。	적의 <color=#f44eef>이번 턴 공격 횟수</color>를 확인하고, <color=#f44eef>공격 횟수가 많은 적을 우선적으로 처치</color>하세요	ตรวจสอบ<color=#f44eef>จำนวนการ์ดที่หุ่นเชิดใช้</color>\nและ<color=#f44eef>โจมตีหุ่นเชิดที่ใช้การ์ดเยอะที่สุด</color>ก่อน\nนะคะ
22	101010_1_1	2	0	42:card_icon_108008_2	idleR1		4	1	1	1	3;0;-50	0	0	-30,0,300,500	0	1	请选择<color=#f44eef>出手次数较多的敌方</color>,为攻击目标。	請選擇<color=#f44eef>出手次數較多的敵方</color>,為攻擊目標。	Select the enemy with <color=#f44eef>more actions</color> as your target.	<color=#f44eef>行動回数の多い敵</color>をメインターゲットとして指定してください。	<color=#f44eef>공격 횟수가 많은 적</color>을 공격 목표로 선택하세요	ล็อกเป้า<color=#f44eef>หุ่นเชิดที่ออกการ์ดสกิลเยอะที่สุด</color>\nเป็นเป้าหมายหลักในการโจมตีนะคะ
23	101010_1_1	1	0	42:card_icon_108008_2	idleR1		14	11	1	1	3	0	0	0	0	1	目标是<color=#13d09a>绿色情绪</color>，选择<color=#e15a68>红色情绪</color>的非天进行攻击能更容易击败目标。	目標是<color=#13d09a>綠色情緒</color>，選擇<color=#e15a68>紅色情緒</color>的非天進行攻擊能更容易擊敗目標。	The target possesses <color=#13d09a>Green Pathos</color>, making it vulnerable to attacks from Asura with <color=#e15a68>Red Pathos</color>.	対象は<color=#13d09a>グリーン属性</color>であるため、<color=#e15a68>レッド属性</color>のアスラの方が有利、よりダメージを対象に与えられるでしょう。	상대는 <color=#13d09a>그린 이모션</color>으로, <color=#e15a68>레드 이모션</color>인 아수라로 공격하면 더욱 쉽게 처치할 수 있습니다	เป้าหมายหลักมี <color=#13d09a>พาโธสสีเขียว</color>\nเลือกอาสึระที่มี <color=#e15a68>พาโธสสีแดง</color> ที่ชนะทาง\nเพื่อจัดการเป้าหมายได้ง่ายขึ้นค่ะ
24	101040_1_1	1	0	42:card_icon_108008_2	idleR1		14	11	1	1	3	0	0	0	0	1	这次先出手的目标是<color=#0db3ed>蓝色情绪</color>的敌人，选择<color=#13d09a>绿色情绪</color>的小白进行攻击吧。	這次先出手的目標是<color=#0db3ed>藍色情緒</color>的敵人，選擇<color=#13d09a>綠色情緒</color>的小白進行攻擊吧。	The target at the first action turn possesses <color=#0db3ed>Blue Pathos</color>. Select Shiro with <color=#13d09a>Green Pathos</color> to launch the first attack.	次に行動するのは<color=#0db3ed>ブルー属性</color>の敵です。<color=#13d09a>グリーン属性</color>のシロに出撃させ、対応してください。	이번에 우선 공격할 대상은 <color=#0db3ed>블루 이모션</color>을 가진 적이며, <color=#13d09a>그린 이모션</color>인 화이트로 공격해 보세요	เป้าหมายในครั้งนี้มี <color=#0db3ed>พาโธสสีน้ำเงิน</color>\nเลือกชิโระที่มี <color=#13d09a>พาโธสสีเขียว</color> ที่ชนะทาง\nเพื่อทำการโจมตีนะคะ
25	101040_1_1	4	0	42:card_icon_108008_2	idleR1		1	2	1	1	3	0	0	0	0	1	<color=#f44eef>长按</color>任意一张技能牌可查看其详细信息。	<color=#f44eef>長按</color>任意一張技能牌可查看其詳細資訊。	<color=#f44eef>Touch and hold</color> on any skill card to view its details.	任意のスキルカードを<color=#f44eef>長押し</color>すると、詳しい情報を確認できます。	스킬 카드의 자세한 정보를 확인하려면 스킬 카드를 <color=#f44eef>길게 누르면</color> 확인할 수 있답니다	<color=#f44eef>กดค้าง</color>ที่การ์ดสกิล เพื่อดูรายละเอียด\nข้อมูลของการ์ดสกิลดังกล่าวได้ค่ะ
26	101050_1_1	1	0	42:card_icon_108008_2	idleR1		9	2	1	1	3	0	0	40,0,-1,-1	0	1	该敌人拥有获得<color=#f44eef>护盾</color>的技能，常规攻击较难将其击破。	該敵人擁有獲得<color=#f44eef>護盾</color>的技能，常規攻擊較難將其擊破。	This enemy possesses a skill that grants them a <color=#f44eef>shield</color>, making it challenging to penetrate with regular attacks.	こちらの敵には<color=#f44eef>シールド</color>が付与されています。通常の攻撃では撃破するのが困難です。	해당 적은 <color=#f44eef>실드</color> 스킬을 보유 중이라, 일반 공격으로는 처치하기 어려워요	หุ่นเชิดตัวนี้มีสกิลสร้าง<color=#f44eef>โล่ป้องกัน</color>\nการโจมตีปกติยากที่จะจัดการมันได้ค่ะ
27	101050_1_1	1	0	42:card_icon_108008_2	idleR1		1	0	1	1	3	0	0		0	1	保留非天可以造成<color=#f44eef>破盾伤害的技能牌</color>，并在敌人拥有护盾后打出将能快速破除目标护盾。	保留非天可以造成<color=#f44eef>破盾傷害的技能牌</color>，並在敵人擁有護盾後打出將能快速破除目標護盾。	Reserve Asura's <color=#f44eef>skill cards that can deal Shield Break DMG</color> and unleash them once the enemy deploys a shield to swiftly break through.	<color=#f44eef>シールドダメージ</color>を与えられるカードです。敵がシールドを保有する後に発動させると、シールドを速やかに撃破することができます。	아수라의 <color=#f44eef>실드 파괴 스킬 카드</color>를 가지고 있다가, 적이 실드를 획득한 후에 사용하면 적의 실드를 빠르게 파괴할 수 있답니다	เก็บ<color=#f44eef>การ์ดสกิลที่มีดาเมจทำลายโล่</color>ของ\nอาสึระไว้ และใช้เมื่อหุ่นเชิดสร้างโล่ป้องกัน\nคุณจะทำลายโล่ของมันได้เร็วยิ่งขึ้นค่ะ
28	101050_1_1	2	0	42:card_icon_108008_2	idleR1		4	1	1	1	3	0	0		0	1	第一回合先用<color=#13d09a>绿色情绪</color>的小白击败<color=#0db3ed>蓝色情绪</color>的敌人。	第一回合先用<color=#13d09a>綠色情緒</color>的小白擊敗<color=#0db3ed>藍色情緒</color>的敵人。	In the first turn, use Shiro with <color=#13d09a>Green Pathos</color> to defeat the enemy with <color=#0db3ed>Blue Pathos</color>.	最初のターンでは<color=#13d09a>グリーン属性</color>のシロで<color=#0db3ed>ブルー属性</color>の敵を討伐します。	첫 턴에 우선 <color=#13d09a>그린 이모션</color>인 화이트로 <color=#0db3ed>블루 이모션</color>인 적을 공격하세요	เทิร์นแรก ใช้ชิโระที่มี <color=#13d09a>พาโธสสีเขียว</color>\nเอาชนะหุ่นเชิดที่มี <color=#0db3ed>พาโธสสีน้ำเงิน</color> ก่อน\nนะคะ
29	101050_1_2	2	0	42:card_icon_108008_2	idleR1		4	2	1	1	3	0	0		0	1	敌人已经获得了护盾，此时使用<color=#e15a68>非天</color>的<color=#f44eef>破盾伤害的技能牌</color>便能快速击破敌人护盾。	敵人已經獲得了護盾，此時使用<color=#e15a68>非天</color>的<color=#f44eef>破盾傷害的技能牌</color>便能快速擊破敵人護盾。	The enemy has gained a shield. To swiftly dismantle it, use <color=#e15a68>Asura</color>'s <color=#f44eef>skill card with Shield Break DMG</color>.	敵がシールドを獲得しました。<color=#e15a68>アスラ</color>の<color=#f44eef>シールドダメージスキルカード</color>を発動させ、敵のシールドを撃破しましょう。	적이 실드를 획득했네요. 이때 <color=#e15a68>아수라</color>의 <color=#f44eef>실드 파괴 스킬 카드</color>를 사용하면 빠르게 실드를 파괴할 수 있어요	หุ่นเชิดได้สร้างโล่ป้องกันแล้ว\nใช้<color=#f44eef>การ์ดสกิลที่มีดาเมจทำลายโล่</color>ของ<color=#e15a68>อาสึระ</color>\nจะสามารถทำลายโล่ได้เร็วยิ่งขึ้นค่ะ
30	101090_1_1	1	0	42:card_icon_108008_2	idleR1		14;14;14	11;12;13	1	1	3	0	0	0	0	1	敌人都是<color=#e15a68>红色情绪</color>，<color=#0db3ed>蓝色情绪</color>的艾可正好克制它们。	敵人都是<color=#e15a68>紅色情緒</color>，<color=#0db3ed>藍色情緒</color>的艾可正好克制它們。	The enemies all possess <color=#e15a68>Red Pathos</color>. Echo with <color=#0db3ed>Blue Pathos</color> makes a perfect counter against them.	敵は全て<color=#e15a68>レッド属性</color>です。<color=#0db3ed>ブルー属性</color>のアイコが有利です。	모든 적이 <color=#e15a68>레드 이모션</color>이라서, <color=#0db3ed>블루 이모션</color>인 에코는 이들에게 상성이 적용됩니다	หุ่นเชิดทั้งหมดมี <color=#e15a68>พาโธสสีแดง</color>\nเอคโคที่มี <color=#0db3ed>พาโธสสีน้ำเงิน</color>\nสามารถชนะทางได้ทั้งหมดค่ะ
31	101090_1_1	2	0	42:card_icon_108008_2	idleR1		1	1	1	1	3	0	0	0	0	1	艾可拥有<color=#f44eef>群体攻击</color>的技能牌，能同时对敌方全体目标造成有效伤害。	艾可擁有<color=#f44eef>群體攻擊</color>的技能牌，能同時對敵方全體目標造成有效傷害。	Echo possesses a skill card with <color=#f44eef>AoE</color>, allowing her to deal DMG to all enemies simultaneously.	アイコは<color=#f44eef>全体攻撃</color>のスキルカードを保有できます。敵全体にダメージを与えられます。	에코는 <color=#f44eef>광역 공격</color> 스킬 카드를 가지고 있어, 모든 적에게 대미지를 부여할 수 있습니다	เอคโคมีการ์ดสกิล<color=#f44eef>โจมตีหมู่</color>\nสามารถสร้างดาเมจต่อเป้าหมายทั้งหมด\nได้ในเวลาเดียวกันค่ะ
32	101101_1_1	2	0	42:card_icon_108008_2	idleR1		4	1	1	1	3	0	0	0	0	1	先选中<color=#0db3ed>蓝色情绪</color>的目标。	先選中<color=#0db3ed>藍色情緒</color>的目標。	Select the target with <color=#0db3ed>Blue Pathos</color> first.	まずは<color=#0db3ed>ブルー属性</color>の対象をタップしてください。	먼저 <color=#0db3ed>블루 이모션</color>인 목표를 선택하세요	เลือกเป้าหมายที่มี <color=#0db3ed>พาโธสสีน้ำเงิน</color>\nก่อนนะคะ
33	101101_1_1	2	0	42:card_icon_108008_2	idleR1		1	2	1	1	3	0	0	0	0	1	使用<color=#f44eef>克制</color>其属性的小白的技能牌攻击。	使用<color=#f44eef>克制</color>其屬性的小白的技能牌攻擊。	Use Shiro's skill cards that <color=#f44eef>counter</color> the enemy's elemental to attack.	<color=#f44eef>有利属性</color>であるシロのスキルカードで攻撃してください。	해당 속성에 <color=#f44eef>상성이 적용되는</color> 화이트의 스킬 카드로 공격하세요	โจมตีโดยใช้การ์ดสกิลของชิโระ\nที่<color=#f44eef>ชนะทาง</color>คุณสมบัติของศัตรูนะคะ
34	101101_1_1	2	0	42:card_icon_108008_2	idleR1		4	3	1	1	3	0	0	0	0	1	点击其他敌人可切换下一张卡牌的目标。	點擊其他敵人可切換下一張卡牌的目標。	Tap other enemies to switch the target for your next skill card.	他の敵をタップすると、次のカードのターゲットとして切り替えることができます。	다른 적을 탭하여 다음 카드를 사용할 적 목표를 변경할 수 있습니다	กดที่หุ่นเชิดตัวอื่น เพื่อเปลี่ยนเป้าหมาย\nของการ์ดสกิลใบถัดไปนะคะ
