id	shopId	superiorTab	tabRank	tabOrder	refreshType	refreshParam	manualRefresh	refreshToken	refreshTokenNum	freeRefreshTime	refreshTime	showType	showParam	probabilityGroup	token	template	photoId	status	tabName	tabName_zh_TW	tabName_en_UK	tabName_ja_JP	tabName_ko_KR	tabName_th_TH	smallName	smallName_zh_TW	smallName_en_UK	smallName_ja_JP	smallName_ko_KR	smallName_th_TH
195	95	0	2	6	2							0			3000002	1		1	装备礼包商店	裝備禮包商店	Equipment Bundle	装備パック	장비 패키지 상점	ร้านค้าแพ็กอุปกรณ์						
196	96	0	2	7	2							0			3000002	1		1	专武礼包商店	專武禮包商店	Pathos Weapon Bundle	専用武器パック	전용 무기 패키지 상점	ร้านค้าแพ็กอาวุธเฉพาะ						
197	97	0	2	8	0							0			3000002	1		1	武装皮肤商店	時裝商店	Skins	戦闘員外観	전투원 스킨 상점	ร้านคอสตูมตัวละคร						
198	301	-1	0	0	0							0			9000007	1		1	PT剧情活动商店表	PT劇情活動商店表	PT Plot Event Shop:	PendingPT剧情活动商店表	PT 드라마 이벤트 상점 표	ตาราง​ร้านค้า​เนื้อเรื่อง​กิจกรรม​ PT​						
199	302	-1	0	0	0							0			9000007	1		1												
200	303	-1	0	0	0							0			9000011	1		1												
9010	201	-1	0	0	1	5:00:00	0					0						1												
201	99	0	2	5	3							0			3000002	1		1												
202	101	0	0	0	0							0			3000002	1		1												
203	304	-1	0	0	0							0			3000002	1		1												
10	36	99	2	7	0							0			9000042;9000043	1		1												
204	501	-1	0	0	0							0			9000034;9000035	1		1												
205	305	-1	0	0	0							0			9000007	1		1												
180	80	0	1	3	0							0			3000002	2		1												
206	102	0	2	9	0							0			3000002	1		1												
207	107	0	2	9	0							0			3000002	1		1												
208	307	-1	0	0	0							0			9000007	1		1												
209	104	0	2	3	0							0			3000002	1		1												
210	108	0	2	4	0							0			3000002	1		1												
211	308	-1	0	0	0							0			9000044	1		1												
213	110	-1	0	0	0							0			3000001	1		1												
11	88	-1	0	0	0							0				1		1												
214	309	-1	0	0	0							0			9000050	1		1												
215	310	-1	0	0	0							0			3000002	1		1												
216	311	-1	0	0	0							0			3000002	1		1												
217	111	-1	0	0	0							0			3000002	1		1												
218	112	-1	0	0	0							0			3000002	1		1												
219	312	-1	0	0	0							0			3000002	1		1												
220	313	99	1	10	0							0			4197005	1		1	战勋商店	戰勳商店	Merit Shop	戦勲ショップ	공적 상점	ร้านค้าออเนอร์						
221	113	-1	0	0	0							0			4140002	1	161:skin_draw_exchange_bg	1												
222	314	-1	0	0	0							0			9000071	1		1												
223	315	-1	0	0	0							0			3000002	1		1												
224	316	-1	0	0	0							0			3000001	1		1												
