id	group	regionLevel	unlockNum	proposalLevel	frequency	costItem	costNum	costNumLose	SceneId	rounds	repeatButton	score	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
12050401	1004	1	0	80000		0	0	0	82021	8	1	10	1	简单	簡單	Easy	Easy	간단	ง่าย	简单	簡單	Easy	Easy	간단	ง่าย	相对简单难度挑战	相對簡單難度挑戰	A relatively easy challenge	難易度の低い挑戦	비교적 쉬운 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​ค่อนข้าง​ง่าย​
12050402	1004	2	0	180000		0	0	0	82021	8	1	15	1	困难	困難	Hard	Hard	하드	ยาก	困难	困難	Hard	Hard	하드	ยาก	具有一定难度挑战	具有一定難度挑戰	A moderately challenging task	難易度の高い挑戦	일정 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มี​ความ​ยาก​พอสมควร​
12050403	1004	3	0	300000		0	0	0	82021	8	1	20	1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	极具难度的挑战	極具難度的挑戰	A very difficult challenge	極めて困難な挑戦	극한 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มีระดับ​ยาก​มาก​
12050501	1005	1	0	80000		0	0	0	82009	8	1	10	1	简单	簡單	Easy	Easy	간단	ง่าย	简单	簡單	Easy	Easy	간단	ง่าย	相对简单难度挑战	相對簡單難度挑戰	A relatively easy challenge	難易度の低い挑戦	비교적 쉬운 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​ค่อนข้าง​ง่าย​
12050502	1005	2	0	180000		0	0	0	82009	8	1	15	1	困难	困難	Hard	Hard	하드	ยาก	困难	困難	Hard	Hard	하드	ยาก	具有一定难度挑战	具有一定難度挑戰	A moderately challenging task	難易度の高い挑戦	일정 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มี​ความ​ยาก​พอสมควร​
12050503	1005	3	0	300000		0	0	0	82009	8	1	20	1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	极具难度的挑战	極具難度的挑戰	A very difficult challenge	極めて困難な挑戦	극한 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มีระดับ​ยาก​มาก​
12050601	1006	1	0	80000		0	0	0	55601	8	1	10	1	简单	簡單	Easy	Easy	간단	ง่าย	简单	簡單	Easy	Easy	간단	ง่าย	相对简单难度挑战	相對簡單難度挑戰	A relatively easy challenge	難易度の低い挑戦	비교적 쉬운 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​ค่อนข้าง​ง่าย​
12050602	1006	2	0	180000		0	0	0	55601	8	1	15	1	困难	困難	Hard	Hard	하드	ยาก	困难	困難	Hard	Hard	하드	ยาก	具有一定难度挑战	具有一定難度挑戰	A moderately challenging task	難易度の高い挑戦	일정 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มี​ความ​ยาก​พอสมควร​
12050603	1006	3	0	300000		0	0	0	55601	8	1	20	1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	极具难度的挑战	極具難度的挑戰	A very difficult challenge	極めて困難な挑戦	극한 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มีระดับ​ยาก​มาก​
12050701	1007	1	0	80000		0	0	0	82021	8	1	10	1	简单	簡單	Easy	Easy	간단	ง่าย	简单	簡單	Easy	Easy	간단	ง่าย	相对简单难度挑战	相對簡單難度挑戰	A relatively easy challenge	難易度の低い挑戦	비교적 쉬운 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​ค่อนข้าง​ง่าย​
12050702	1007	2	0	180000		0	0	0	82021	8	1	15	1	困难	困難	Hard	Hard	하드	ยาก	困难	困難	Hard	Hard	하드	ยาก	具有一定难度挑战	具有一定難度挑戰	A moderately challenging task	難易度の高い挑戦	일정 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มี​ความ​ยาก​พอสมควร​
12050703	1007	3	0	300000		0	0	0	82021	8	1	20	1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	极具难度的挑战	極具難度的挑戰	A very difficult challenge	極めて困難な挑戦	극한 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มีระดับ​ยาก​มาก​
12050801	1008	1	0	80000		0	0	0	11203	8	1	10	1	简单	簡單	Easy	Easy	간단	ง่าย	简单	簡單	Easy	Easy	간단	ง่าย	相对简单难度挑战	相對簡單難度挑戰	A relatively easy challenge	難易度の低い挑戦	비교적 쉬운 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​ค่อนข้าง​ง่าย​
12050802	1008	2	0	180000		0	0	0	11203	8	1	15	1	困难	困難	Hard	Hard	하드	ยาก	困难	困難	Hard	Hard	하드	ยาก	具有一定难度挑战	具有一定難度挑戰	A moderately challenging task	難易度の高い挑戦	일정 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มี​ความ​ยาก​พอสมควร​
12050803	1008	3	0	300000		0	0	0	11203	8	1	20	1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	极具难度的挑战	極具難度的挑戰	A very difficult challenge	極めて困難な挑戦	극한 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มีระดับ​ยาก​มาก​
12050901	1009	1	0	80000		0	0	0	18401	8	1	10	1	简单	簡單	Easy	Easy	간단	ง่าย	简单	簡單	Easy	Easy	간단	ง่าย	相对简单难度挑战	相對簡單難度挑戰	A relatively easy challenge	難易度の低い挑戦	비교적 쉬운 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​ค่อนข้าง​ง่าย​
12050902	1009	2	0	180000		0	0	0	18401	8	1	15	1	困难	困難	Hard	Hard	하드	ยาก	困难	困難	Hard	Hard	하드	ยาก	具有一定难度挑战	具有一定難度挑戰	A moderately challenging task	難易度の高い挑戦	일정 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มี​ความ​ยาก​พอสมควร​
12050903	1009	3	0	300000		0	0	0	18401	8	1	20	1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	极具难度的挑战	極具難度的挑戰	A very difficult challenge	極めて困難な挑戦	극한 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มีระดับ​ยาก​มาก​
