playerLevel	exp	hpMax	upRewards	upRewardsNum	status
105	3650	200	3000004	20	1
106	3850	200	3000004	20	1
107	4050	200	3000004	20	1
108	4250	200	3000004	20	1
109	4450	200	3000004	20	1
110	4650	200	3000004	20	1
111	4850	200	3000004	20	1
112	5150	200	3000004	20	1
113	5450	200	3000004	20	1
114	5750	200	3000004	20	1
115	6050	200	3000004	20	1
116	6350	200	3000004	20	1
117	6650	200	3000004	20	1
118	6950	200	3000004	20	1
119	7250	200	3000004	20	1
120	7550	200	3000004	20	1
121	7850	200	3000004	20	1
122	8250	200	3000004	20	1
123	8650	200	3000004	20	1
124	9050	200	3000004	20	1
125	9450	200	3000004	20	1
126	9850	200	3000004	20	1
127	10250	200	3000004	20	1
128	10650	200	3000004	20	1
129	11050	200	3000004	20	1
130	11450	200	3000004	20	1
131	11850	200	3000004	20	1
132	12350	200	3000004	20	1
133	12850	200	3000004	20	1
134	13350	200	3000004	20	1
135	13850	200	3000004	20	1
136	14350	200	3000004	20	1
137	14850	200	3000004	20	1
138	15350	200	3000004	20	1
139	15850	200	3000004	20	1
140	16350	200	3000004	20	1
141	16850	200	3000004	20	1
142	17450	200	3000004	20	1
143	18050	200	3000004	20	1
144	18650	200	3000004	20	1
145	19250	200	3000004	20	1
146	19850	200	3000004	20	1
147	20450	200	3000004	20	1
148	21050	200	3000004	20	1
149	21650	200	3000004	20	1
150	22250	200	3000004	20	1
151	22850	200	3000004	20	1
152	23550	200	3000004	20	1
153	24250	200	3000004	20	1
154	24950	200	3000004	20	1
155	25650	200	3000004	20	1
156	26350	200	3000004	20	1
157	27050	200	3000004	20	1
158	27750	200	3000004	20	1
159	28450	200	3000004	20	1
160	29150	200	3000004	20	1
161	29850	200	3000004	20	1
162	30650	200	3000004	20	1
163	31450	200	3000004	20	1
164	32250	200	3000004	20	1
165	33050	200	3000004	20	1
166	33850	200	3000004	20	1
167	34650	200	3000004	20	1
168	35450	200	3000004	20	1
169	36250	200	3000004	20	1
170	37050	200	3000004	20	1
171	37850	200	3000004	20	1
172	38850	200	3000004	20	1
173	39850	200	3000004	20	1
174	40850	200	3000004	20	1
175	41850	200	3000004	20	1
176	42850	200	3000004	20	1
177	43850	200	3000004	20	1
178	44850	200	3000004	20	1
179	45850	200	3000004	20	1
180	46850	200	3000004	20	1
181	47850	200	3000004	20	1
182	49350	200	3000004	20	1
183	50850	200	3000004	20	1
184	52350	200	3000004	20	1
185	53850	200	3000004	20	1
186	55350	200	3000004	20	1
187	56850	200	3000004	20	1
188	58350	200	3000004	20	1
189	59850	200	3000004	20	1
190	61350	200	3000004	20	1
191	62850	200	3000004	20	1
192	64850	200	3000004	20	1
193	66850	200	3000004	20	1
194	68850	200	3000004	20	1
195	70850	200	3000004	20	1
196	72850	200	3000004	20	1
197	74850	200	3000004	20	1
198	76850	200	3000004	20	1
199	78850	200	3000004	20	1
200	80850	200	3000004	20	1
