id	class	condition	style	status	type	type_zh_TW	type_en_UK	type_ja_JP	type_ko_KR	type_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
15	5	7;8;9;10	1	1	部件数据:	部件數據:	Parts Data:	パーツデータ	파츠 데이터:	ข้อมูลชิ้นส่วน:	头饰;颈饰;背包;尾饰	頭飾;頸飾;背包;尾飾	Headpiece;Neckpiece;Inventory;Tailpiece	装飾・頭部;装飾・首;バッグ;装飾・尻尾	머리 장식;목 장식;배낭;꼬리 장식	ประดับ​หัว​;​ประดับ​คอ​;​กระเป๋า​;​ประดับ​หาง​
16	6	1;2;3;4;5	1	1	品  质:	品 質:	Rarity:	レア度：	품 질:	ระดับ:	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR
17	6	1;2	1	1	部  位:	部 位:	Parts:	パーツ：	부 위:	ตำแหน่ง:	同部位;其他部位	同部位;其他部位	Same Slot;Other Slot	同一パーツ;他のパーツ	동일부위;기타 부위	ตำแหน่ง​เดียวกัน​;​ตำแหน่ง​อื่น​
18	2	101;201;301	1	1	主属性	主屬性	Primary Stats:	メイン属性	메인 속성	คุณสมบัติหลัก:	攻击;防御;生命	攻擊;防禦;生命	ATK;DEF;HP	攻撃;防御;HP	공격;방어;HP	ATK;DEF;HP
20	7	1;2;3;4;5	1	1	品  质:	品 質:	Rarity:	レア度：	품 질:	ระดับ:	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR
24	8	1;2;3	1	1	初始品质:	初始品質:	Original Quality:	初期レア度：	기본 등급:	ระดับเริ่มต้น:	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR
25	8	1;2;3;4;5	1	1	属  性:	屬 性:	Elemental:	属性：	속 성:	คุณสมบัติ:	红色;绿色;蓝色;白色;黑色	紅色;綠色;藍色;白色;黑色	Red;Green;Blue;White;Black	レッド;グリーン;ブルー;ホワイト;ブラック	레드;그린;블루;화이트;블랙	สีแดง​;​สี​เขียว​;​สีน้ำเงิน​;​สี​ขาว​;​สี​ดำ​
26	8	1;2;3;4	1	1	阵  营:	陣 營:	Faction:	陣営:	진 영:	รูปทรงอนุภาค:	圆振;三相;方波;星流	圓振;三相;方波;星流	Orbis;Trinity;Quadris;Astra	シンクロ;スタック;ウェーブ;フロウ	서클 퀘이버;트리플 페이즈;스피어 웨이브;스타 스트림	คลื่น​รอบตัว​;​สาม​ธาตุ​;​คลื่น​พลัง​;​สาย​ดาว​
27	8	1;2	1	1	其  他:	其 他:	Others:	その他：	기 타:	อื่นๆ:	已获得;未获得	已獲得;未獲得	Unlocked;Locked	所持;未所持	획득 완료;미획득	มีแล้ว;ยังไม่มี
28	9	2;3;4;5	1	1	稀有度:	稀有度:	Rarity:	レア度：	희귀도:	หายาก:	养成;稀有;珍贵;传说	養成;稀有;珍貴;傳說	Cultivation;Rare;Precious;Legendary	フリー;コモン;レア;エピック	C;B;A;S	พัฒนา​:;​หา​ยาก​;​ล้ำค่า​;​ตำนาน​
29	9	1;2	1	1	其  他:	其 他:	Others:	その他：	기 타:	อื่นๆ:	已获得;未获得	已獲得;未獲得	Unlocked;Locked	所持;未所持	획득 완료;미획득	มีแล้ว;ยังไม่มี
30	1	4;5;1;6;2;3	1	1	职  业:	職 業:	Class:	ロール：	직 업:	คลาส:	单攻;群攻;治愈;防护;增益;减益	單攻;群攻;治癒;防護;增益;減益	Single Target;AoE;Healer;Defense;Buff;Debuff	単体攻撃;全体攻撃;回復;防御;バフ;デバフ	단일 공격;광역 공격;치유;방어;버프;디버프	โจมตี​เดี่ยว​;​โจมตี​หมู่​;​ฟื้นฟู​;​ป้องกัน​;​บัฟ​;​ดี​บัฟ​
31	10	1;2;3	1	1	类  型：	類 型：	Type:	タイプ：	유 형:	ประเภท:	芯片;情绪粒子;升星纤维	晶片;情緒粒子;升星纖維	Chip;Pathos Particle;Star-up Fiber	チップ;エモーション粒子;昇格繊維	칩;이모션 파티클;승급 섬유	ชิป​;​อนุภาค​พา​โธส​;​ไฟเบอร์​เพิ่ม​ดาว​
32	11	1	1	1	类  型：	類 型：	Type:	タイプ：	유 형:	ประเภท:	芯片	晶片	Chip	チップ	칩	ชิป
33	12	1;2;3	1	1	品  质:	品 質:	Rarity:	レア度：	품 질:	ระดับ:	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR
34	12	0;1;2;3;4;5;6	1	1	星  级:	星 級:	Stars:	ランク：	별 등급:	ระดับดาว:	0星;1星;2星;3星;4星;5星;6星	0星;1星;2星;3星;4星;5星;6星	0★;1★;2★;3★;4★;5★;6★	★0;★1;★2;★3;★4;★5;★6	0★;1★;2★;3★;4★;5★;6★	0​★​;1★​;2★​;3★​;4★​;5★​;6★​
35	12	1;2;3	1	1	类  型：	類 型：	Type:	タイプ：	유 형:	ประเภท:	主动;被动;经营	主動;被動;經營	Active;Passive;Manage	アクテイブ;パッシブ;経営	액티브;패시브;경영	แอ็ก​ที​ฟ​;​พาส​ซี​ฟ​;​การ​จัดการ​
36	12	1;2;3	1	1	偏  向：	偏  向：	Spec:	傾向：	편 향:	โฟกัส:	攻击;防护;辅助	攻擊;防護;輔助	Attack;Defense;Support	攻撃;防御;サポート	공격;방어;서포트	โจมตี;ป้องกัน;ซัพพอร์ต
37	13	1;2;3	1	1	品  质:	品 質:	Rarity:	レア度：	품 질:	ระดับ:	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR
38	13	0;1;2;3;4;5;6	1	1	星  级:	星 級:	Stars:	ランク：	별 등급:	ระดับดาว:	0星;1星;2星;3星;4星;5星;6星	0星;1星;2星;3星;4星;5星;6星	0★;1★;2★;3★;4★;5★;6★	★0;★1;★2;★3;★4;★5;★6	0★;1★;2★;3★;4★;5★;6★	0​★​;1★​;2★​;3★​;4★​;5★​;6★​
39	13	1;2	1	1	类  型：	類 型：	Type:	タイプ：	유 형:	ประเภท:	主动;被动	主動;被動	Active;Passive	アクテイブ;パッシブ	액티브;패시브	แอ็กทีฟ;พาสซีฟ
40	13	1;2;3	1	1	偏  向：	偏  向：	Spec:	傾向：	편 향:	โฟกัส:	攻击;防护;辅助	攻擊;防護;輔助	Attack;Defense;Support	攻撃;防御;サポート	공격;방어;서포트	โจมตี;ป้องกัน;ซัพพอร์ต
41	14	1;2;3	1	1	品  质:	品 質:	Rarity:	レア度：	품 질:	ระดับ:	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR
42	14	0;1;2;3;4;5;6	1	1	星  级:	星 級:	Stars:	ランク：	별 등급:	ระดับดาว:	0星;1星;2星;3星;4星;5星;6星	0星;1星;2星;3星;4星;5星;6星	0★;1★;2★;3★;4★;5★;6★	★0;★1;★2;★3;★4;★5;★6	0★;1★;2★;3★;4★;5★;6★	0​★​;1★​;2★​;3★​;4★​;5★​;6★​
43	14	1;2;3;4;5;6	1	1	区  域:	區  域:	Region:	エリア：	지 역:	เขตพื้นที่:	昆士区;南港区;耀州区;旧城区;中心区;凛北区	昆士區;南港區;耀州區;舊城區;中心區;凜北區	Quince;Southport;Yaozhou;Oldtown;Central District;Boreala	コンシ区;南港区;耀州区;オールドタウン;中央区;凛北区	퀸즈 타운;사우스포트;요주 타운;구시가지;센트럴 타운;노스 타운	เขต​ควินซ์​;​เขต​ทะเล​ใต้​;​เขต​เหยา​โจว​;​เขตเมือง​โบราณ​;​เขต​ศูนย์กลาง​;​เขต​โบ​เรีย​ร่า​
44	15	1;2;3	1	1	品  质:	品 質:	Rarity:	レア度：	품 질:	ระดับ:	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR	R;SR;SSR
45	15	1;2;3	1	1	类  型:	類  型:	Type:	タイプ：	유 형:	ประเภท:	主动;被动;经营	主動;被動;經營	Active;Passive;Manage	アクテイブ;パッシブ;経営	액티브;패시브;경영	แอ็ก​ที​ฟ​;​พาส​ซี​ฟ​;​การ​จัดการ​
46	15	1;2;3	1	1	偏  向:	偏  向:	Spec:	傾向：	편 향:	โฟกัส:	攻击;防护;辅助	攻擊;防護;輔助	Attack;Defense;Support	攻撃;防御;サポート	공격;방어;서포트	โจมตี;ป้องกัน;ซัพพอร์ต
47	15	1;2	1	1	其  他:	其 他:	Others:	その他：	기 타:	อื่นๆ:	已获得;未获得	已獲得;未獲得	Unlocked;Locked	所持;未所持	획득 완료;미획득	มีแล้ว;ยังไม่มี
48	2	1;2;3;4;5;6	1	1	部  位:	部 位:	Parts:	パーツ：	부 위:	ตำแหน่ง:	头饰;耳饰;颈环;尾饰;嘴套;爪饰	頭飾;耳飾;頸環;尾飾;嘴套;爪飾	Headpiece;Earrings;Necklace;Tailpiece;Mouthpiece;Claws	頭部;耳;首;尻尾;顔;爪	머리 장식;귀 장식;목걸이;꼬리 장식;마스크;장갑	ส่วนหัว;ต่างหู;ปลอกคอ;ส่วนหาง;ส่วนปาก;กรงเล็บ
49	3	1;2;3;4;5;6	1	1	部  位:	部 位:	Parts:	パーツ：	부 위:	ตำแหน่ง:	头饰;耳饰;颈环;尾饰;嘴套;爪饰	頭飾;耳飾;頸環;尾飾;嘴套;爪飾	Headpiece;Earrings;Necklace;Tailpiece;Mouthpiece;Claws	頭部;耳;首;尻尾;顔;爪	머리 장식;귀 장식;목걸이;꼬리 장식;마스크;장갑	ส่วนหัว;ต่างหู;ปลอกคอ;ส่วนหาง;ส่วนปาก;กรงเล็บ
50	6	1;2;3;4;5;6	1	1	部  位:	部 位:	Parts:	パーツ：	부 위:	ตำแหน่ง:	头饰;耳饰;颈环;尾饰;嘴套;爪饰	頭飾;耳飾;頸環;尾飾;嘴套;爪飾	Headpiece;Earrings;Necklace;Tailpiece;Mouthpiece;Claws	頭部;耳;首;尻尾;顔;爪	머리 장식;귀 장식;목걸이;꼬리 장식;마스크;장갑	ส่วนหัว;ต่างหู;ปลอกคอ;ส่วนหาง;ส่วนปาก;กรงเล็บ
51	7	1;2;3;4;5;6	1	1	部  位:	部 位:	Parts:	パーツ：	부 위:	ตำแหน่ง:	头饰;耳饰;颈环;尾饰;嘴套;爪饰	頭飾;耳飾;頸環;尾飾;嘴套;爪飾	Headpiece;Earrings;Necklace;Tailpiece;Mouthpiece;Claws	頭部;耳;首;尻尾;顔;爪	머리 장식;귀 장식;목걸이;꼬리 장식;마스크;장갑	ส่วนหัว;ต่างหู;ปลอกคอ;ส่วนหาง;ส่วนปาก;กรงเล็บ
52	2	6;5;4;3;2;1	1	1	升星属性品质:	升星屬性品質:	Star-up Stats Grade:	特性\nカラー：	별 등급 속성 등급	คุณภาพ:	红色;橙色;紫色;蓝色;绿色;灰色	紅色;橙色;紫色;藍色;綠色;灰色	UR;SSR;SR;R;N;NC	レッド;オレンジ;パープル;ブルー;グリーン;グレー	UR;SSR;SR;R;NR;N	UR;SSR;SR;R;N;NC
53	3	6;5;4;3;2;1	1	1	升星属性品质:	升星屬性品質:	Star-up Stats Grade:	特性\nカラー：	별 등급 속성 등급	คุณภาพ:	红色;橙色;紫色;蓝色;绿色;灰色	紅色;橙色;紫色;藍色;綠色;灰色	UR;SSR;SR;R;N;NC	レッド;オレンジ;パープル;ブルー;グリーン;グレー	UR;SSR;SR;R;NR;N	UR;SSR;SR;R;N;NC
54	6	6;5;4;3;2;1	1	1	升星属性品质:	升星屬性品質:	Star-up Stats Grade:	特性\nカラー：	별 등급 속성 등급	คุณภาพ:	红色;橙色;紫色;蓝色;绿色;灰色	紅色;橙色;紫色;藍色;綠色;灰色	UR;SSR;SR;R;N;NC	レッド;オレンジ;パープル;ブルー;グリーン;グレー	UR;SSR;SR;R;NR;N	UR;SSR;SR;R;N;NC
55	7	6;5;4;3;2;1	1	1	升星属性品质:	升星屬性品質:	Star-up Stats Grade:	特性\nカラー：	별 등급 속성 등급	คุณภาพ:	红色;橙色;紫色;蓝色;绿色;灰色	紅色;橙色;紫色;藍色;綠色;灰色	UR;SSR;SR;R;N;NC	レッド;オレンジ;パープル;ブルー;グリーン;グレー	UR;SSR;SR;R;NR;N	UR;SSR;SR;R;N;NC
56	2	102;202;302;401;603;703;803;903;1203;1303;1601;2101;1602;2102	2	1	升星属性:	升星屬性:	Star-up Stats:	特性:	승급 속성:	คุณสมบัติรอง:	攻击;防御;生命;幸运;暴击;暴击伤害;暴击率抵抗;暴击伤害抵抗;穿透率;忍耐率;造成治疗提升;造成护盾提升;受到治疗提升;受到护盾提升	攻擊;防禦;生命;幸運;爆擊;爆擊傷害;爆擊率抵抗;爆擊傷害抵抗;穿透率;忍耐率;造成治療提升;造成護盾提升;受到治療提升;受到護盾提升	ATK;DEF;HP;Luck;CRIT Rate;CRIT DMG;CRIT RES;CRIT DMG RES;Armor PEN;Endurance;Healing Boost;Shield Boost;Healing Received UP;Shield Gained UP	攻撃力;防御力;最大HP;幸運値;会心率;会心ダメージ;会心回避率;会心ダメージ抵抗率;貫通率;忍耐率;与回復効果補正;与シールド耐久補正;被回復効果補正;被シールド耐久補正	공격력;방어력;HP;행운;크리티컬;크리티컬 대미지;크리티컬 저항;크리티컬 대미지 저항;관통률;인내율;부여하는 치유;부여하는 실드;적용되는 치유;적용되는 실드	ATK;DEF;HP;​โชค​;​ค​ริ​ติ​คอ​ล​;​ดา​เม​จค​ริ​ติ​คอ​ล​;​ต้านทาน​อัต​ราค​ริ​;​ต้านทาน​ดา​เม​จค​ริ​;​อัตรา​เจาะ​เกราะ​;​อัตรา​อดทน​;​เพิ่ม​เอฟเฟกต์​ฟื้นฟู​;​สร้าง​โล่​ป้องกัน​เพิ่มขึ้น​;​ได้รับ​การฟื้นฟู​เพิ่มขึ้น​;​ได้รับ​โล่​ป้องกัน​เพิ่มขึ้น​
57	3	102;202;302;401;603;703;803;903;1203;1303;1601;2101;1602;2102	2	1	升星属性:	升星屬性:	Star-up Stats:	特性:	승급 속성:	คุณสมบัติรอง:	攻击;防御;生命;幸运;暴击;暴击伤害;暴击率抵抗;暴击伤害抵抗;穿透率;忍耐率;造成治疗提升;造成护盾提升;受到治疗提升;受到护盾提升	攻擊;防禦;生命;幸運;爆擊;爆擊傷害;爆擊率抵抗;爆擊傷害抵抗;穿透率;忍耐率;造成治療提升;造成護盾提升;受到治療提升;受到護盾提升	ATK;DEF;HP;Luck;CRIT Rate;CRIT DMG;CRIT RES;CRIT DMG RES;Armor PEN;Endurance;Healing Boost;Shield Boost;Healing Received UP;Shield Gained UP	攻撃力;防御力;最大HP;幸運値;会心率;会心ダメージ;会心回避率;会心ダメージ抵抗率;貫通率;忍耐率;与回復効果補正;与シールド耐久補正;被回復効果補正;被シールド耐久補正	공격력;방어력;HP;행운;크리티컬;크리티컬 대미지;크리티컬 저항;크리티컬 대미지 저항;관통률;인내율;부여하는 치유;부여하는 실드;적용되는 치유;적용되는 실드	ATK;DEF;HP;​โชค​;​ค​ริ​ติ​คอ​ล​;​ดา​เม​จค​ริ​ติ​คอ​ล​;​ต้านทาน​อัต​ราค​ริ​;​ต้านทาน​ดา​เม​จค​ริ​;​อัตรา​เจาะ​เกราะ​;​อัตรา​อดทน​;​เพิ่ม​เอฟเฟกต์​ฟื้นฟู​;​สร้าง​โล่​ป้องกัน​เพิ่มขึ้น​;​ได้รับ​การฟื้นฟู​เพิ่มขึ้น​;​ได้รับ​โล่​ป้องกัน​เพิ่มขึ้น​
58	6	102;202;302;401;603;703;803;903;1203;1303;1601;2101;1602;2102	2	1	升星属性:	升星屬性:	Star-up Stats:	特性:	승급 속성:	คุณสมบัติรอง:	攻击;防御;生命;幸运;暴击;暴击伤害;暴击率抵抗;暴击伤害抵抗;穿透率;忍耐率;造成治疗提升;造成护盾提升;受到治疗提升;受到护盾提升	攻擊;防禦;生命;幸運;爆擊;爆擊傷害;爆擊率抵抗;爆擊傷害抵抗;穿透率;忍耐率;造成治療提升;造成護盾提升;受到治療提升;受到護盾提升	ATK;DEF;HP;Luck;CRIT Rate;CRIT DMG;CRIT RES;CRIT DMG RES;Armor PEN;Endurance;Healing Boost;Shield Boost;Healing Received UP;Shield Gained UP	攻撃力;防御力;最大HP;幸運値;会心率;会心ダメージ;会心回避率;会心ダメージ抵抗率;貫通率;忍耐率;与回復効果補正;与シールド耐久補正;被回復効果補正;被シールド耐久補正	공격력;방어력;HP;행운;크리티컬;크리티컬 대미지;크리티컬 저항;크리티컬 대미지 저항;관통률;인내율;부여하는 치유;부여하는 실드;적용되는 치유;적용되는 실드	ATK;DEF;HP;​โชค​;​ค​ริ​ติ​คอ​ล​;​ดา​เม​จค​ริ​ติ​คอ​ล​;​ต้านทาน​อัต​ราค​ริ​;​ต้านทาน​ดา​เม​จค​ริ​;​อัตรา​เจาะ​เกราะ​;​อัตรา​อดทน​;​เพิ่ม​เอฟเฟกต์​ฟื้นฟู​;​สร้าง​โล่​ป้องกัน​เพิ่มขึ้น​;​ได้รับ​การฟื้นฟู​เพิ่มขึ้น​;​ได้รับ​โล่​ป้องกัน​เพิ่มขึ้น​
59	7	102;202;302;401;603;703;803;903;1203;1303;1601;2101;1602;2102	2	1	升星属性:	升星屬性:	Star-up Stats:	特性:	승급 속성:	คุณสมบัติรอง:	攻击;防御;生命;幸运;暴击;暴击伤害;暴击率抵抗;暴击伤害抵抗;穿透率;忍耐率;造成治疗提升;造成护盾提升;受到治疗提升;受到护盾提升	攻擊;防禦;生命;幸運;爆擊;爆擊傷害;爆擊率抵抗;爆擊傷害抵抗;穿透率;忍耐率;造成治療提升;造成護盾提升;受到治療提升;受到護盾提升	ATK;DEF;HP;Luck;CRIT Rate;CRIT DMG;CRIT RES;CRIT DMG RES;Armor PEN;Endurance;Healing Boost;Shield Boost;Healing Received UP;Shield Gained UP	攻撃力;防御力;最大HP;幸運値;会心率;会心ダメージ;会心回避率;会心ダメージ抵抗率;貫通率;忍耐率;与回復効果補正;与シールド耐久補正;被回復効果補正;被シールド耐久補正	공격력;방어력;HP;행운;크리티컬;크리티컬 대미지;크리티컬 저항;크리티컬 대미지 저항;관통률;인내율;부여하는 치유;부여하는 실드;적용되는 치유;적용되는 실드	ATK;DEF;HP;​โชค​;​ค​ริ​ติ​คอ​ล​;​ดา​เม​จค​ริ​ติ​คอ​ล​;​ต้านทาน​อัต​ราค​ริ​;​ต้านทาน​ดา​เม​จค​ริ​;​อัตรา​เจาะ​เกราะ​;​อัตรา​อดทน​;​เพิ่ม​เอฟเฟกต์​ฟื้นฟู​;​สร้าง​โล่​ป้องกัน​เพิ่มขึ้น​;​ได้รับ​การฟื้นฟู​เพิ่มขึ้น​;​ได้รับ​โล่​ป้องกัน​เพิ่มขึ้น​
60	16	1;2;3	1	1	拜访权限	拜訪許可權	Visit Permission	訪問権限	방문 권한	สิทธิ์การเข้าเยี่ยมชม	对所有人开放;仅对好友开放;不对任何人开放	對所有人開放;僅對好友開放;不對任何人開放	Open to all;Open to Friends;Close	自由訪問可能;フレンド訪問可能;訪問不可	모든 사람에게 공개;친구에게만 공개;공개 안함	เปิด​ให้​ทุกคน​เข้าถึง​;​เปิด​ให้​เฉพาะ​เพื่อน​เข้าถึง​;​ไม่​เปิด​ให้​ใคร​เข้าถึง​
61	17	102;202;302;401;603;703;803;903;1203;1303;1601;2101;1602;2102	2	1	保留的属性：	保留的屬性：	Retained Entry:	ロックする特性：	가진 속성: 	คุณสมบัติที่บันทึก:	攻击;防御;生命;幸运;暴击;暴击伤害;暴击率抵抗;暴击伤害抵抗;穿透率;忍耐率;造成治疗提升;造成护盾提升;受到治疗提升;受到护盾提升	攻擊;防禦;生命;幸運;爆擊;爆擊傷害;爆擊率抵抗;爆擊傷害抵抗;穿透率;忍耐率;造成治療提升;造成護盾提升;受到治療提升;受到護盾提升	ATK;DEF;HP;Luck;CRIT Rate;CRIT DMG;CRIT RES;CRIT DMG RES;Armor PEN;Endurance;Healing Boost;Shield Boost;Healing Received UP;Shield Gained UP	攻撃力;防御力;最大HP;幸運値;会心率;会心ダメージ;会心回避率;会心ダメージ抵抗率;貫通率;忍耐率;与回復効果補正;与シールド耐久補正;被回復効果補正;被シールド耐久補正	공격력;방어력;HP;행운;크리티컬;크리티컬 대미지;크리티컬 저항;크리티컬 대미지 저항;관통률;인내율;부여하는 치유;부여하는 실드;적용되는 치유;적용되는 실드	ATK;DEF;HP;​โชค​;​ค​ริ​ติ​คอ​ล​;​ดา​เม​จค​ริ​ติ​คอ​ล​;​ต้านทาน​อัต​ราค​ริ​;​ต้านทาน​ดา​เม​จค​ริ​;​อัตรา​เจาะ​เกราะ​;​อัตรา​อดทน​;​เพิ่ม​เอฟเฟกต์​ฟื้นฟู​;​สร้าง​โล่​ป้องกัน​เพิ่มขึ้น​;​ได้รับ​การฟื้นฟู​เพิ่มขึ้น​;​ได้รับ​โล่​ป้องกัน​เพิ่มขึ้น​
62	17	6;5;4;3	2	1	保留的品质：	保留的品質：	Retained Rarity:	ロックする品質：	가진 등급: 	คุณภาพที่บันทึก:	红色;橙色及以上;紫色及以上;蓝色及以上	紅色;橙色及以上;紫色及以上;藍色及以上	UR;SSR and above;SR and above;R and above	UR;SSR;SR;R	UR; SSR이상; SR이상; R이상	UR​;SSR หรือสูงกว่า;SR หรือสูงกว่า;R หรือสูงกว่า
