id	unlockType	unlockId	unlockNum	unlockCondition	lockShowType	unlockShowType	unlockIcon	switch	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	realRame	realRame_zh_TW	realRame_en_UK	realRame_ja_JP	realRame_ko_KR	realRame_th_TH	unlockDes	unlockDes_zh_TW	unlockDes_en_UK	unlockDes_ja_JP	unlockDes_ko_KR	unlockDes_th_TH
113	25		103110	1	1	1		1	1	装备升级升星	裝備升級升星	Star-up & Level-up	装備育成	장비 레벨업 승급	อัปเลเวล/ดาวอุปกรณ์	装备养成	裝備養成	Equipment Upgrade	装備強化	장비 육성	พัฒนาอุปกรณ์						
114	25		103110	1	1	1		1	1	装备分解	裝備分解	Salvage	装備分解	장비 분해	แยกส่วนอุปกรณ์	装备分解	裝備分解	Salvage	装備分解	장비 분해	แยกส่วนอุปกรณ์						
115	25		103110	1	1	1		1	1																		
116	25		103110	1	1	1	60:upgrade_icon_106	1	1																		
117	25		103110	1	1	1		1	1																		
118	25		103110	1	1	1		1	1																		
119	25		103110	1	1	1		1	1																		
120	25		103110	1	1	1		1	1																		
149	1		1	1	0	0		1	1	风格商店	風格商店	Style Shop	スタイル商店	스킨 상점	ร้านค้าสไตล์	风格商店	風格商店	Style Shop	スタイル商店	스킨 상점	ร้านค้าสไตล์						
150	1		1	1	0	0	60:upgrade_icon_0150	1	1	商店	商店	Shop	ショップ	상점	ร้านค้า	商店	商店	Shop	ショップ	상점	ร้านค้า						
151	1		1	1	0	0		1	1	推荐礼包	推薦禮包	Recommended Bundle	おすすめパック	추천 패키지	แพ็กเกจแนะนำ	推荐礼包	推薦禮包	Recommended Bundle	おすすめパック	추천 패키지	แพ็กเกจแนะนำ						
152	1		1	1	0	0		1	1	虹晶充值	虹晶儲值	Irithyst Top-up	アイリスクォーツチャージ	프리즘 충전	เติมอิริธิสต์	虹晶充值	虹晶儲值	Irithyst Top-up	アイリスクォーツチャージ	프리즘 충전	เติมอิริธิสต์						
153	1		1	1	0	0		1	1	礼包商店	禮包商店	Bundle Shop	ギフトパック	패키지 상점	ร้านค้าแพ็กเกจ	礼包商店	禮包商店	Bundle Shop	ギフトパック	패키지 상점	ร้านค้าแพ็กเกจ						
154	1		1	1	0	0		1	1	月卡商店	月卡商店	Monthly Plan Shop	月間プランショップ	월간 구독 상점	ร้านค้าบัตรรายเดือน	月卡商店	月卡商店	Monthly Plan Shop	月間プランショップ	월간 구독 상점	ร้านค้าบัตรรายเดือน						
155	1		1	1	0	0		1	1	晶片兑换	晶片兌換	Chip Exchange	チップ交換	프리즘 교환	แลกชิป	晶片兑换	晶片兌換	Chip Exchange	チップ交換	프리즘 교환	แลกชิป						
156	1		1	1	0	0		1	1	百货大道	百貨大道	Shopping Boulevard	ショッピングストリート	상점가	ถนนสรรพสินค้า	百货大道	百貨大道	Shopping Boulevard	ショッピングストリート	상점가	ถนนสรรพสินค้า						
157	1		1	1	0	0		1	1	晶片商店	晶片商店	Chip Shop	チップ商店	프리즘 상점	ร้านค้าชิป	晶片商店	晶片商店	Chip Shop	チップ商店	프리즘 상점	ร้านค้าชิป						
159	1		1	1	0	0		1	1	数据商店	資料商店	Data Shop	データショップ	데이터 상점	ร้านค้าข้อมูล	数据商店	資料商店	Data Shop	データショップ	데이터 상점	ร้านค้าข้อมูล						
165	1		1	1	0	0		1	1	累计充值	累計儲值	Total Top-up	累計チャージ	누적 충전	เตินเงินสะสม	累计充值	累計儲值	Total Top-up	累計チャージ	누적 충전	เตินเงินสะสม						
166	1		1	1	0	0		1	1	首充	首儲	First Top-up	初回チャージ	첫 충전	เติมเงินครั้งแรก	首充	首儲	First Top-up	初回チャージ	첫 충전	เติมเงินครั้งแรก						
167	1		1	1	0	0		1	1	等级礼包	等級禮包	Level Bundle	レベルパック	레벨 패키지	แพ็กเกจเลเวล	等级礼包	等級禮包	Level Bundle	レベルパック	레벨 패키지	แพ็กเกจเลเวล						
168	1		1	1	0	0		1	1	角色剧情副本红点用	角色劇情副本紅點用	Character Story Instance - Red Dot	Pending角色剧情副本红点用	캐릭터 스토리 던전 레드 도트용	สำหรับ​จุด​แจ้ง​เตือน​ใน​ดัน​เจี้ยน​เนื้อเรื่อง​ตัวละคร​	角色剧情副本红点用	角色劇情副本紅點用	Character Story Instance - Red Dot	Pending角色剧情副本红点用	캐릭터 스토리 던전 레드 도트용	สำหรับ​จุด​แจ้ง​เตือน​ใน​ดัน​เจี้ยน​เนื้อเรื่อง​ตัวละคร​						
200	1		1	1	0	0		1	1	仓库	倉庫	Inventory	倉庫	창고	โกดัง	仓库	倉庫	Inventory	倉庫	창고	โกดัง						
201	1		1	1	0	0		1	1	邮箱	郵箱	Mailbox	メール	우편	จดหมาย	邮箱	郵箱	Mailbox	メール	우편	จดหมาย						
202	1		1	1	0	0		1	1	公告	公告	Notice	お知らせ	공지	ประกาศ	公告	公告	Notice	お知らせ	공지	ประกาศ						
203	1		1	1	0	0		1	1	设置	設置	Settings	設定	설정	ตั้งค่า	设置	設置	Settings	設定	설정	ตั้งค่า						
204	1		1	1	1	1	60:upgrade_icon_0204	1	1	任务	任務	Mission	任務	미션	ภารกิจ	任务	任務	Mission	任務	미션	ภารกิจ						
205	1		1	1	0	1	60:upgrade_icon_0204	1	1	日常任务	日常任務	Daily Missions	日常任務	일상 미션	ภารกิจรายวัน	日常任务	日常任務	Daily Missions	日常任務	일상 미션	ภารกิจรายวัน						
207	1		1	1	0	0		1	1	成就任务	成就任務	Honor Missions	アチーブメント任務	업적 미션	ภารกิจผลงาน	成就任务	成就任務	Honor Missions	アチーブメント任務	업적 미션	ภารกิจผลงาน						
208	1		30	1	1	1	60:upgrade_icon_0208	1	1	图鉴	圖鑑	Gallery	図鑑	도감	สมุดภาพ	图鉴	圖鑑	Gallery	図鑑	도감	สมุดภาพ						
212	1		1	1	1	0		1	1	武装影像	戰鬥員影片	Combatant Image	戦闘員影像	전투원 영상	รูปโฉมตัวละคร	武装影像	戰鬥員影片	Combatant Image	戦闘員影像	전투원 영상	รูปโฉมตัวละคร						
213	1		1	1	1	0		1	1	傀情报	傀情報	Anomaly Info	傀の情報	퍼펫 정보	ข่าวกรองหุ่นเชิด	傀情报	傀情報	Anomaly Info	傀の情報	퍼펫 정보	ข่าวกรองหุ่นเชิด						
214	1		1	1	1	0		1	1	情绪涂鸦资料	情緒塗鴉資料	Pathos Graffiti	Pending情绪涂鸦资料	이모션 그래피티 자료	ข้อมูลกราฟฟิตี้พาโธส	情绪涂鸦资料	情緒塗鴉資料	Pathos Graffiti	Pending情绪涂鸦资料	이모션 그래피티 자료	ข้อมูลกราฟฟิตี้พาโธส						
215	1		1	1	0	0		1	1	七日任务	七日任務	7-Day Mission	7日ログイン	7일 미션	ภารกิจเจ็ดวัน	七日任务	七日任務	7-Day Mission	7日ログイン	7일 미션	ภารกิจเจ็ดวัน						
216	1		1	1	0	0		1	1	十四日签到	十四日簽到	14-Day Sign-in	14日ログイン	14일 출석	เช็คอิน 14 วัน	十四日签到	十四日簽到	14-Day Sign-in	14日ログイン	14일 출석	เช็คอิน 14 วัน						
225	1		1	1	1	0		1	1	日常签到	日常簽到	Daily Sign-in	ログイン	일상 출석	เช็คอินรายวัน	日常签到	日常簽到	Daily Sign-in	ログイン	일상 출석	เช็คอินรายวัน						
226	1		1	1	1	0		1	1	公告	公告	Notice	お知らせ	공지	ประกาศ	公告	公告	Notice	お知らせ	공지	ประกาศ						
227	1		1	1	1	0		1	1	成长基金	成長基金	Growth Fund	成長基金	성장 패스	กองทุนเติบโต	成长基金	成長基金	Growth Fund	成長基金	성장 패스	กองทุนเติบโต						
228	1		1	1	1	0		1	1	商业合同	商業合同	Business Contract	コマーシャル契約	비지니스 계약	สัญญาธุรกิจ	商业合同	商業合同	Business Contract	コマーシャル契約	비지니스 계약	สัญญาธุรกิจ						
229	1		1	1	1	1	60:upgrade_icon_0229	1	1	好友	好友	Friends	フレンド	친구	เพื่อน	好友	好友	Friends	フレンド	친구	เพื่อน						
230	1		1	1	1	0		1	1	应援	應援	Support	応援	지원	กองกำลังสนับสนุน	应援	應援	Support	応援	지원	กองกำลังสนับสนุน						
231	1		1	1	0	0		1	1	成员设置	成員設置	Member Settings	人員配置	멤버 설정	ตั้งค่าสมาชิก	成员设置	成員設置	Member Settings	人員配置	멤버 설정	ตั้งค่าสมาชิก						
233	25		102100	1	1	1	60:upgrade_icon_233	1	1	垂钓	垂釣	Fishing	釣り	낚시	อุปกรณ์ตกปลา	垂钓	垂釣	Fishing	釣り	낚시	อุปกรณ์ตกปลา	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
241	1		1	1	0	0		1	1	鱼图鉴	魚圖鑑	Fish Gallery	魚図鑑	물고기 도감	สมุดภาพปลา	鱼图鉴	魚圖鑑	Fish Gallery	魚図鑑	물고기 도감	สมุดภาพปลา						
242	1		1	1	1	0		1	1	社区跳转	社群跳轉	Community	コミュニティーへ移動	커뮤니티 이동	ลิงก์ไปยังชุมชน	社区跳转	社群跳轉	Community	コミュニティーへ移動	커뮤니티 이동	ลิงก์ไปยังชุมชน						
244	1		1	1	1	0		1	1	PASS卡巅峰宝箱	PASS卡巔峰寶箱	Contract Pinnacle Chest	PendingPASS卡巅峰宝箱	PASS 카드 MAX 보물 상자	หีบขั้นสูงสุดของบัตรพาส	PASS卡巅峰宝箱	PASS卡巔峰寶箱	Contract Pinnacle Chest	PendingPASS卡巅峰宝箱	PASS 카드 MAX 보물 상자	หีบขั้นสูงสุดของบัตรพาส						
245	4		111171	1	1	0	60:upgrade_icon_0002	1	1																		
246	1		1	1	0	0		1	1																		
300	1		1	1	1	0		1	1	日常任务宝箱领取提示	日常任務寶箱領取提示	Daily Mission Chest Claim Notice	日常任務宝物受領通知	일상 미션 보물 상자 수령 알림	แจ้ง​เตือน​รับ​หีบ​ภารกิจ​รายวัน​	日常任务宝箱领取提示	日常任務寶箱領取提示	Daily Mission Chest Claim Notice	日常任務宝物受領通知	일상 미션 보물 상자 수령 알림	แจ้ง​เตือน​รับ​หีบ​ภารกิจ​รายวัน​						
302	1		1	1	1	0		1	1	成就任务宝箱领取提示	成就任務寶箱領取提示	Honor Mission Chest Claim Notice	アチーブメント任務宝箱受領通知	업적 미션 보물 상자 수령 알림	แจ้ง​เตือน​รับ​หีบ​ภารกิจ​ผลงาน​	成就任务宝箱领取提示	成就任務寶箱領取提示	Honor Mission Chest Claim Notice	アチーブメント任務宝箱受領通知	업적 미션 보물 상자 수령 알림	แจ้ง​เตือน​รับ​หีบ​ภารกิจ​ผลงาน​						
350	1		1	1	1	0		1	1																		
1000	1		1	1	1	0		1	1	活动界面	活動介面	Event Page	イベントページ	이벤트 화면	หน้ากิจกรรม	活动界面	活動介面	Event Page	イベントページ	이벤트 화면	หน้ากิจกรรม						
1001	1		1	1	0	0		1	1	签到	簽到	Sign-in	サインイン	출석	เช็คอิน	签到活动	簽到活動	Sign-in Event	ログインキャンペーン	출석 이벤트	กิจกรรมเช็คอิน						
1003	1		1	1	0	0		1	1	累充	累儲	Total Top-up	累計チャージ	누적 충전	เติมเงินสะสม	累计充值	累計儲值	Total Top-up	累計チャージ	누적 충전	เตินเงินสะสม						
1005	1		1	1	0	0		1	1	限时任务	限時任務	Ltd-time Mission	期間限定任務	한정 미션	ภารกิจจำกัดเวลา	限时任务	限時任務	Ltd-time Mission	期間限定任務	한정 미션	ภารกิจจำกัดเวลา						
1110	1		1	1	0	0		1	1																		
1111	1		10	1	0	0		1	1																		
1205	1		1	1	0	0		1	1	首领战活动	首領戰活動	Boss Fight Event	BOSS戦イベント	보스전 이벤트	กิจกรรมศึกสู้กับบอส	小型活动副本	小型活動副本	Mini Event Stage	小型イベントステージ	소형 이벤트 던전	ดัน​เจี้ยน​กิจกรรม​ขนาดเล็ก​						
1206	4		104180	1	1	0		1	1	暗夜猫活动	暗夜貓活動	Night Cat Event	ダークキャットイベント	다크나이트 캣 이벤트	กิจกรรมไนต์แคท	大型活动副本	大型活動副本	Large Event Stage	大型イベントステージ	대형 이벤트 던전	ดัน​เจี้ยน​กิจกรรม​ขนาดใหญ่​						
1209	1		1	1	0	0		1	1	万圣节活动	萬聖節活動	Halloween Event	ハロウィンイベント	할로윈 이벤트	กิจกรรมฮาโลวีน	奖池副本	獎池副本	Banner Stage	Pending奖池副本	복권 던전	ดันเจี้ยนพูลรางวัล						
2001	25		101110	1	1	1	60:upgrade_icon_2001	1	1	区域地图功能	區域地圖功能	District Map Feature	エリア地図機能	지역 지도 기능	ฟังก์ชันแผนที่เขต	区域地图	區域地圖	District Map	エリアマップ	지역 지도	แผนที่เขต	昆市区	昆市區	Quince	コンシ区	퀸즈 존	เขตควินซ์
2002	1		1	1	1	1		1	1	区域商人功能	區域商人功能	District Merchant Feature	エリア商人機能	지역 상인 기능	ฟังก์ชันเขตพ่อค้า	区域商人占	區域商人占	District Merchant	エリア6商人	지역 상인 자리	เขตพ่อค้า	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2003	25		104110	1	1	1	60:upgrade_icon_2003	1	1	区域地图歼灭战	區域地圖巨型傀入侵	District Map Annihilation	エリア地図殲滅戦	지역 지도 섬멸전	แผนที่เขตศึกทำลายล้าง	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2004	1		1	1	1	1		1	1	装备副本集合页	裝備複本集合頁	Equipment Stage Collection Page	装備ステージまとめページ	장비 던전 모음 페이지	หน้า​รวม​ดัน​เจี้ยน​อุปกรณ์​	装备副本集合	裝備副本集合	Equipment Stage Collection	装備ステージまとめ	장비 던전 모음	ดันเจี้ยนอุปกรณ์ทั้งหมด	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2005	1		1	1	1	1		1	1	食材副本集合页	食材複本集合頁	Ingredients Stage Collection Page	食材ステージまとめページ	식재료 던전 모음 페이지	หน้า​รวม​ดัน​เจี้ยน​วัตถุดิบ​อาหาร​	食材副本集合	食材副本集合	Ingredients Stage Collection	食材ステージまとめ	식재료 던전 모음	ดัน​เจี้ยน​วัตถุดิบ​อาหาร​ทั้งหมด​	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2006	25		102040	1	1	1		1	1	Boss副本集合页	Boss複本集合頁	Boss Stage Collection Page	BOSSステージまとめページ	보스 던전 모음 페이지	หน้ารวมดันเจี้ยนบอส	Boss副本集合	Boss副本集合	Boss Stage Collection	BOSSステージ一覧	보스 던전 모음	ดันเจี้ยนบอสทั้งหมด	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2007	25		109210	1	1	1	60:upgrade_icon_2007	1	1	异步PVP功能	異步PVP功能	Master Duel Feature	非リアルタイムPVP機能	비실시간 PVP 기능	ฟังก์ชัน PVP กับ AI	幻影斗技场	幻影鬥技場	Phantom Clash	ファントム闘技場	팬텀 투기장	แฟนธอมอารีน่า	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2008	25		106070	1	1	1	60:upgrade_icon_2008	1	1	实时PVP功能	實時PVP功能	The Arena Feature	リアルタイムPVP機能	실시간 PVP 기능	ฟังก์ชัน​ PVP​ แบบ​เรียลไทม์​	天梯竞技场	天梯競技場	The Arena	アリーナランク戦	래더 아레나	สกายอารีน่า	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2009	25		102100	1	1	1		1	1	区域任务	區域任務	District Mission	エリア6漁場ポイント	지역 미션	ภารกิจเขต	区域建设	區域建設	District Construction	エリア建設	지역 건설	อาคารเขตพื้นที่						
2010	25		101070	1	1	0		1	1	主界面看板娘更换	主介面看板娘更換	Change Main Screen Combatant	ホームキャラ変更	메인 화면 캐릭터 변경	เปลี่ยนตัว​ละครใน​หน้าจอ​หลัก​												
2011	25		102050	1	1	1		1	1	训练中枢	訓練中樞	Training Hub	訓練中枢	훈련 허브	ศูนย์การฝึก	训练中枢	訓練中樞	Training Hub	訓練中枢	훈련 허브	ศูนย์การฝึก	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2012	25		102050	1	1	1		1	1	红区	紅區	Red Zone	レッドエリア	레드존	โซนสีแดง	红区	紅區	Red Zone	レッドエリア	레드존	โซนสีแดง						
2013	25		102050	1	1	1		1	1	绿区	綠區	Green Zone	グリーンエリア	그린존	โซนสีเขียว	绿区	綠區	Green Zone	グリーンエリア	그린존	โซนสีเขียว						
2014	25		102050	1	1	1		1	1	蓝区	藍區	Blue Zone	ブルーエリア	블루존	โซนสีน้ำเงิน	蓝区	藍區	Blue Zone	ブルーエリア	블루존	โซนสีน้ำเงิน						
2015	25		102050	1	1	1		1	1	中枢补给	中樞補給	Hub Supply	中枢補給	훈련 허브 보급	ศูนย์เสบียง	中枢补给	中樞補給	Hub Supply	中枢補給	훈련 허브 보급	ศูนย์เสบียง						
2016	25		102050	1	1	1	60:upgrade_icon_2016	1	1	拟真战斗中心	擬真戰鬥中心	SimuBattle Center	模擬戦闘センター	시뮬레이션 전투 센터	ศูนย์ฝึกจำลองการรบ	拟真战斗中心	擬真戰鬥中心	SimuBattle Center	模擬戦闘センター	시뮬레이션 전투 센터	ศูนย์ฝึกจำลองการรบ	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2017	25		105030	1	1	1	60:upgrade_icon_2017	1	1	单队异步PVP	單隊非同步PVP	Master Duel 1 Team	Pending单队异步PVP	단일 팀 비실시간 PVP	PVP​ แบบ​สู้​กับ​ AI​ ทีม​เดียว​	幻影特训场	幻影特訓場	Master Duel	ファントム特訓場	팬텀 특훈장	สนามซ้อมแฟนธอม	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2018	25		101110	1	1	1		1	1	排行榜	排行榜	Leaderboard	ランキング	랭킹	บอร์ดอันดับ	排行榜	排行榜	Leaderboard	ランキング	랭킹	บอร์ดอันดับ						
2019	4		107160	1		1	60:upgrade_icon_2019	1	1	噩梦回响	噩夢迴響	Nightmare's Call	悪夢回想	나이트메어	เสียงสะท้อนฝันร้าย	噩梦回响	噩夢迴響	Nightmare's Call	悪夢回想	나이트메어	เสียงสะท้อนฝันร้าย	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
2020	4		107160	1	0	0		1	1																		
2990	1		999	1	0	0		1	1	幸运赏	幸運賞	Lucky Scratchers	ラッキー賞	행운상	รางวัลโชคดี	幸运赏	幸運賞	Lucky Scratchers	ラッキー賞	행운상	รางวัลโชคดี						
3001	25		101030	1	1	1	60:upgrade_icon_3001	1	1	餐厅	餐廳	Cafe	レストラン	카페테리아	คาเฟ่	餐厅	餐廳	Cafe	レストラン	카페테리아	คาเฟ่	人员管理	人員管理	Management	人員管理	인원 관리	จัดการพนักงาน
3002	25		101110	1	1	1	60:upgrade_icon_3002	1	1	咖啡馆料理功能	咖啡館料理功能	Cafe Food Feature	レストラン料理機能	카페 요리 기능	ฟังก์ชันอาหารของคาเฟ่	料理	料理	Food	料理	요리	อาหาร	餐厅	餐廳	Cafe	レストラン	카페테리아	คาเฟ่
3003	25		101110	1	1	1	60:upgrade_icon_3003	1	1	咖啡馆外卖订单功能	咖啡館外賣訂單功能	Cafe Delivery Order Feature	レストラン出前注文機能	카페 배달 주문 기능	ฟังก์ชัน​ออเดอร์​ของ​คาเฟ่​	外卖订单	外賣訂單	Delivery Order	出前	배달 주문	ออเดอร์	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
3004	25		104020	1	1	1	60:upgrade_icon_3004	1	1	离岛空运	離島空運	Air Express	離島空便	항공 운송	ขนส่งทางอากาศ	离岛空运	離島空運	Air Express	離島空便	항공 운송	ขนส่งทางอากาศ	新海市	新海市	Catto City	新海市	뉴오션 시티	แคทโตะ ซิตี้
3005	25		102161	1	1	1		1	1	咖啡馆休息室功能	咖啡館休息室功能	Cafe Lounge Feature	レストラン休憩室機能	카페 휴게실 기능	ฟังก์ชัน​ห้องพัก​ของ​คาเฟ่​	休息室	休息室	Lounge	休憩室	휴게실	ห้องพัก						
3006	25		102170	1	1	1	60:upgrade_icon_3013	1	1	咖啡馆猫球扭蛋机功能	咖啡館貓球扭蛋機功能	Cafe Cato Gacha Feature	レストランガトガチャ機能	카페 냥냥볼 뽑기 기능	ฟังก์ชัน​ตู้​กา​ชา​ปอง​แค​ทบ​อล​ของ​คาเฟ่​	猫球	貓球	Cato	ガト	냥냥볼	แคทบอล	战斗、经营	戰鬥、經營	Combat, Management	戦闘・経営	전투, 경영	ต่อสู้และบริหาร
3007	25		102170	1	1	1		1	1	猫球编队功能	貓球編隊功能	Cato Formation	ガト編成機能	냥냥볼 편성 기능	ฟังก์ชันจัดทีมแคทบอล	猫球编队	貓球編隊	Cato Formation	ガト編成	냥냥볼 편성	จัดทีมแคทบอล						
3008	4		102170	1	1	1		1	1	猫球电量	貓球電量	Cato Energy	Pending猫球电量	냥냥볼 충전량	พลังงานแคทบอล	猫球电量	貓球電量	Cato Energy	Pending猫球电量	냥냥볼 충전량	พลังงานแคทบอล						
