id	lihuiId	x1	y1	scale1	x2	y2	scale2	x3	y3	scale3	status
30105901	21:m_img_1059	0	-204	80				-18	362	80	1
30106001	21:m_img_1060	0	-285	85				-18	410	85	1
30411060	21:m_img_411060	0	-285	85				-18	410	85	1
30106301	21:m_img_1063	-36	-97	84				26	203	60	1
30106401	21:m_img_1064	-36	-104	84				26	203	60	1
30106501	21:m_img_1065	-36	-104	84				26	203	60	1
30106601	21:m_img_1066	-36	-104	84				26	203	60	1
30106701	21:m_img_1067	-60	-316	84				-72	404	84	1
30106801	21:m_img_1068	0	-272	100				0	404	87	1
30106901	21:m_img_1069	24	-402	110				0	413	90	1
30107001	21:m_img_1070	74	-315	95				0	419	95	1
30107101	21:m_img_1071	15	-382	100				0	419	95	1
30107201	21:m_img_1072	0	-382	100				-28	441	90	1
30107301	21:m_img_1073	15	-382	100				0	419	95	1
30107401	21:m_img_1074	0	-382	100				-28	441	90	1
30107501	21:m_img_1075	125	-265	100				21	422	90	1
30107601	21:m_img_1076	73	-315	100				51	371	90	1
30107701	21:m_img_1077	87	-250	120				34	358	110	1
30107801	21:m_img_1078	-61	-367	100				-59	352	86	1
30107901	21:m_img_1079	71	-141	78				-36	352	70	1
30108001	21:m_img_1080	23	-124	83				-17	352	70	1
30108101	21:m_img_1081	56	-244	100				-34	359	85	1
30110101	21:m_img_1101	67	-118	65				-10	293	63	1
30110201	21:m_img_1102	-4	-160	85				-3	358	76	1
30110301	21:m_img_1103	-28	-141	80				-34	384	77	1
30110401	21:m_img_1104	18	-136	80				-2	392	81	1
30411104	21:m_img_411104	19	-144	80				0	388	84	1
30110601	21:m_img_1106	0	-312	100				0	448	90	1
30461002	21:m_img_461002	-26	-164	85				6	260	80	1
30461003	21:m_img_461003	-85	-163	85				-21	323	80	1
30461004	21:m_img_461004	-3	-211	100				19	264	80	1
30461005	21:m_img_461005	-30	-91	90				-2	391	80	1
30461009	21:m_img_461009	-41	-106	80				2	403	65	1
30461010	21:m_img_461010	-33	-76	90				48	406	80	1
30461011	21:m_img_461011	169	-121	85				70	309	70	1
30461015	21:m_img_461015	-200	-219	85				14	330	70	1
30461016	21:m_img_461016	49	-234	85				-20	340	70	1
30200201	21:m_img_1002	-26	-164	85				6	260	80	1
30200301	21:m_img_1003	-85	-163	85				-21	323	80	1
30200401	21:m_img_1004	-3	-211	100				19	264	80	1
30200501	21:m_img_1005	-30	-91	90				-2	391	80	1
30200601	21:m_img_1006	-40	-212	90				5	416	80	1
30200701	21:m_img_1007	-125	-9	70				-35	252	50	1
30200901	21:m_img_1009	-41	-106	80				2	403	65	1
30201001	21:m_img_1010	-33	-76	90				48	406	80	1
30201101	21:m_img_1011	169	-121	85				70	309	70	1
30201201	21:m_img_1012	37	-179	85				-16	301	60	1
30201301	21:m_img_1013	84	-161	85				60	367	75	1
30201401	21:m_img_1014	-52	-91	85				-22	386	75	1
30201501	21:m_img_1015	-200	-219	85				14	330	70	1
30201601	21:m_img_1016	49	-234	85				-20	340	70	1
30201701	21:m_img_1017	-48	-160	70				-13	391	50	1
30201801	21:m_img_1018	-44	-33	80				4	249	60	1
30201901	21:m_img_1019	-53	-63	85				-27	356	70	1
30202001	21:m_img_1020	-161	-141	80				-4	338	70	1
30202101	21:m_img_1021	-30	-164	78				-5	292	60	1
30202201	21:m_img_1022	-32	-263	90				0	380	74	1
30202301	21:m_img_1023	-10	-391	100				-6	388	77	1
30202401	21:m_img_1024	-20	-406	100				-26	391	83	1
30202501	21:m_img_1025	-5	-129	76				-31	434	80	1
30202601	21:m_img_1026	1	-16	64				1	320	63	1
30202701	21:m_img_1027	-21	-130	68				29	379	70	1
30202801	21:m_img_1028	15	-281	92				-28	396	80	1
30202901	21:m_img_1029	-6	-307	90				0	375	80	1
30203001	21:m_img_1030	0	-242	72				-20	356	74	1
30203101	21:m_img_1031	22	-208	98				-6	474	75	1
30204001	21:m_img_1040	96	-250	81				-9	357	75	1
30204101	21:m_img_1041	27	-190	81				34	323	80	1
30204201	21:m_img_1042	-13	106	75				5	352	74	1
30204301	21:m_img_1043	-10	-121	73				19	374	76	1
30204401	21:m_img_1044	78	-158	84				0	375	81	1
30204501	21:m_img_1045	42	-157	84				-26	397	82	1
30204601	21:m_img_1046	0	-156	80				-4	369	70	1
30204701	21:m_img_1047	0	-154	80				5	371	70	1
30204801	21:m_img_1048	0	-151	80				5	371	70	1
30204901	21:m_img_1049	0	-151	80				4	372	70	1
30205001	21:m_img_1050	23	-379	100				4	380	80	1
30205101	21:m_img_1051	10	-382	100				-20	379	80	1
30205201	21:m_img_1052	20	-190	100				9	328	67	1
30205301	21:m_img_1053	62	-93	87				5	265	66	1
30205401	21:m_img_1054	52	-227	90				5	364	80	1
30205501	21:m_img_1055	48	-230	90				3	364	80	1
30205601	21:m_img_1056	-42	-119	100				-12	266	70	1
30205801	21:m_img_1058	0	-232	85				21	396	85	1
30205901	21:m_img_1059	0	-204	80				-18	362	80	1
30206001	21:m_img_1060	0	-285	85				-18	410	85	1
30210101	21:m_img_1101	67	-118	65				-10	293	63	1
30210201	21:m_img_1102	-4	-160	85				-3	358	76	1
30210301	21:m_img_1103	-28	-141	80				-34	384	77	1
30210401	21:m_img_1104	18	-136	80				-2	392	81	1
30800241	21:m_img_418002	-8	-402	100				-34	392	90	1
30402401	21:m_img_4024	25	-332	115				-22	452	100	1
30405101	21:m_img_4051	38	-353	100				-45	455	100	1
34052001	21:m_img_4052	187	-231	100				-25	448	100	1
30405301	21:m_img_4053	-10	-93	100				-30	504	100	1
31002001	21:m_img_411002	-17	-57	80				19	375	80	1
30431045	21:m_img_431045	57	-121	90				0	442	90	1
30414022	21:m_img_414022	85	-226	110				38	446	100	1
34022001	21:m_img_414022	85	-226	110				38	446	100	1
31045001	21:m_img_431045	57	-121	90				0	442	90	1
31450080	21:m_img_145008	120	-231	100				-59	461	100	1
31650080	21:m_img_165008	13	-226	100				0	422	100	1
30801401	21:m_img_8014	0	-338	88				0	379	94	1
31660080	21:m_img_166008	23	-387	120				18	333	120	1
31178001	21:m_img_4054	23	-387	120				18	333	120	1
34054001	21:m_img_4054	23	-387	120				18	333	120	1
