ID	moduleID	parameter	functionID	jumpType	systemIcon	status	functionName	functionName_zh_TW	functionName_en_UK	functionName_ja_JP	functionName_ko_KR	functionName_th_TH	source	source_zh_TW	source_en_UK	source_ja_JP	source_ko_KR	source_th_TH
615						1	累充福利	累儲福利	Total Benefits	累計チャージ報酬	누적 충전 보너스	รางวัลเติมเงินสะสม						
616	6251		112001		60:function_icon_0050	1												
617	6210		112001			1	定向召唤	定向召喚	Targeted Summon	定向召喚	고정소환	รับสมัครเฉพาะทาง						
618	3104		1110			1	喵屋纸箱任务	喵屋紙箱任務	Cato Box Mission	ドリームボックス任務	드림 박스 미션	ภารกิจลังเหมียว						
701	101	0	100		60:function_icon_0100	1	武装养成	武裝養成	Armament Growth	戦闘員育成	전투원 육성	พัฒนาตัวละคร						
702	101	0	100		60:function_icon_0100	1	升阶到UR解锁	升階到UR解鎖	Advance to UR to unlock	URに突破すると解放	UR까지 승급하여 해금	ปลดล็อกเมื่อเลื่อนขั้นถึง UR						
703	102	2	103		60:function_icon_0100	1	升阶到UR解锁	升階到UR解鎖	Advance to UR to unlock	URに突破すると解放	UR까지 승급하여 해금	ปลดล็อกเมื่อเลื่อนขั้นถึง UR						
704	3331		112		60:function_icon_0109	1	合成	合成	Fusion	合成	합성	การผสาน						
721	2641		2008		60:function_icon_2008	1	天梯竞技场	天梯競技場	The Arena	アリーナランク戦	래더 아레나	สกายอารีน่า						
722	3161	2007	2007		60:function_icon_2007	1	幻影斗技场	幻影鬥技場	Phantom Clash	ファントム闘技場	팬텀 투기장	แฟนธอมอารีน่า						
723	3181	2017	2017		60:function_icon_2017	1												
724	6241	2019	2019			1	噩梦回响	噩夢迴響	Nightmare's Call	悪夢回想	나이트메어	เสียงสะท้อนฝันร้าย						
901						1	限时活动	限時活動	Limited-time Event	期間限定イベント	한정 이벤트	กิจกรรมจำกัดเวลา						
902						1	限时召唤	限時召喚	Limited-time Summon	期間限定召喚	한정소환	รับสมัคจำกัดเวลา						
903	2540		1000			1	活动	活動	Event	イベント	이벤트	กิจกรรม						
912						1	活动	活動	Event	イベント	이벤트	กิจกรรม						
998	998	1	1005			1	社区	社群	Community	コミュニティ	커뮤니티	ชุมชน						
904	2211	0	50			1	限定召唤	限定召喚										
905	2670	0	1206			1	暗夜猫活动	暗夜貓活動	Night Cat Event	ダークキャットイベント	다크나이트 캣 이벤트	กิจกรรมไนต์แคท						
906	2540	0	1005			1	限时任务	限時任務	Ltd-time Mission	期間限定任務	한정 미션	ภารกิจจำกัดเวลา						
907	1202	0	208			1	图鉴	圖鑑	Gallery	図鑑	도감	สมุดภาพ						
908	2540	0	1206			1	暗夜猫活动2	暗夜貓活動2										
909	2695	0	1207			1	角色集合页	角色集合頁	Character Collection Page	キャラクター	캐릭터 모음 페이지	หน้ารวมตัวละคร						
910	2540	0	1000			1	活动页面	活動頁面	Event Page	イベントページ	이벤트 페이지	หน้ากิจกรรม						
911	2540	0	120002			1												
191			191			1	合约每日任务	合約每日任務	Contract Daily Mission	契約毎日任務	데일리 미션 계약	ภารกิจรายวันของสัญญา						
192			192			1	合约精英任务	合約精英任務	Contract Elite Mission	契約	정예 미션 계약	ภารกิจชั้นสูงของสัญญา						
220	103		131			1	主界面	主介面	Main Page	ホーム	메인 화면	หน้าหลัก						
221	3131	1	2002		60:function_icon_2002	1	[商人]贝克街的猫	[商人]貝克街的貓	[Merchant] Baker Street Cat	[商人]ベイカーキャット	[상인] 베이커 가의 고양이	[พ่อค้า] เบเกอร์แคท	前往昆士区—[商人]贝克街的猫可获得	前往昆士區—[商人]貝克街的貓可獲得	Obtained from Quince - [Merchant] Baker's Cat.	コンシ区—[商人]ベイカーキャットで獲得。	퀸즈 타운으로 이동—[상인] 베이커 가의 고양이에서 획득 가능	ไป​ที่​เขต​ควินซ์​ -​ [​พ่อค้า​]​ ถนน​เบเกอร์​แค​ท​ จะ​ได้รับ​
222	3134	102	2001		60:function_icon_2001	1	贝克街协力战	貝克街協力戰	Baker Street Invasion	ベイカーストリート協同作戦	베이커 가 협력전	ผนึกกำลังถนนเบเกอร์	前往昆士区—贝克街协力战可获得	前往昆士區—貝克街協力戰可獲得	Obtained from Quince - Baker Street Invasion.	コンシ区—ベイカーストリート協同作戦で獲得。	퀸즈 타운으로 이동—베이커 가 협력전에서 획득 가능	ไป​รับ​ได้ที่​เขต​ควินซ์​ -​ ผนึก​กำลัง​ถนน​เบเกอร์​
223	3134	103	2001		60:function_icon_2001	1	[粒子]五城广场	[粒子]五城廣場	[Particle] Quintupolis Plaza	[粒子ステージ]五城広場	[파티클] 펜타폴리스	[อนุภาค] จัตุรัสควินซ์	前往昆士区—[粒子]五城广场可获得	前往昆士區—[粒子]五城廣場可獲得	Obtained from Quince - [Particle] Quintupolis Plaza.	コンシ区—[粒子ステージ]五城広場で獲得。	퀸즈 타운으로 이동—[파티클] 펜타폴리스에서 획득 가능	ไป​ที่​เขต​ควินซ์​ -​ [​อนุภาค​]​ จัตุรัส​ควินซ์​ จะ​ได้รับ​
224	3134	104	2001		60:function_icon_2001	1	[经验]柴郡猫游乐园	[經驗]柴郡貓遊樂園	[EXP] Cheshire Cat Park	[EXPステージ]チェシャ猫ランド	[EXP] 체셔 캣 랜드	[EXP]​ สวนสนุก​เชสเชียร์​	前往昆士区—[经验]柴郡猫游乐园可获得	前往昆士區—[經驗]柴郡貓遊樂園可獲得	Obtained from Quince - [EXP] Cheshire Cat Park.	コンシ区—[EXPステージ]チェシャ猫ランドで獲得。	퀸즈 타운으로 이동—[EXP] 체셔 캣 랜드에서 획득 가능	ไป​ที่​เขต​ควินซ์​ -​ [EXP]​ สวนสนุก​เชสเชียร์​ จะ​ได้รับ​
225	3134	105	2001		60:function_icon_2001	1	电玩城	電玩城	Gamer City	ゲームセンター	게임 센터	ศูนย์เกมอาร์เคด	前往昆士区—电玩城可获得	前往昆士區—電玩城可獲得	Obtained from Quince - Game Center.	コンシ区—ゲームセンターで獲得。	퀸즈 타운으로 이동—게임 센터에서 획득 가능	ไป​ที่​เขต​ควินซ์​ -​ ศูนย์​เกม​อาร์​เคด​ จะ​ได้รับ​
226	3134	106	2001		60:function_icon_2001	1	科技馆	科技館	Science Museum	科学技術館	과학기술관	พิพิธภัณฑ์วิทยาศาสตร์	前往昆士区—科技馆可获得	前往昆士區—科技館可獲得	Obtained from Quince - Science Museum.	コンシ区—科学技術館で獲得。	퀸즈 타운으로 이동—과학기술관에서 획득 가능	ไป​ที่​เขต​ควินซ์​ -​ พิพิธภัณฑ์​วิทยาศาสตร์​ จะ​ได้รับ​
227	3132	107	2001		60:function_icon_2001	1	[突破]无回者联盟	[突破]無回者聯盟	[Rank-up] League of Outcasts	[突破]不帰の城	[돌파]네버백 연맹	[​ปลด​ลิมิต​]​ สหพันธ์​ไม่​หวนคืน​	前往昆士区—[突破]无回者联盟可获得	前往昆士區—[突破]無回者聯盟可獲得	Obtained from Quince - [Ascension] League of Outcasts.	コンシ区—[突破]不帰の城で獲得。	퀸즈 타운으로 이동—[돌파] 네버백 연맹에서 획득 가능	ไป​ที่​เขต​ควินซ์​ -​ [​ปลด​ลิมิต​]​ สหพันธ์​ไม่​หวนคืน​ จะ​ได้รับ​
228	3134	108	2001		60:function_icon_2001	1	[食材]贝克街	[食材]貝克街	[Ingredient] Baker Street	[食材]ベイカーストリート	[식재료] 베이커 가	[​วัตถุดิบ​อาหาร​]​ ถนน​เบเกอร์​	前往昆士区—[食材]贝克街可获得	前往昆士區—[食材]貝克街可獲得	Obtained from Quince - [Ingredient] Baker Street.	コンシ区—[食材]ベイカーストリートで獲得。	퀸즈 타운으로 이동—[식재료] 베이커 가에서 획득 가능	ไป​ที่​เขต​ควินซ์​ -​ [​วัตถุดิบ​อาหาร​]​ ถนน​เบเกอร์​ จะ​ได้รับ​
229	3132	109	2001		60:function_icon_2001	1	[SP材料]无回者联盟	[SP材料]無回者聯盟	[SP Material] League of Outcasts	[SP素材]不帰の城	[SP재료] 네버백 연맹	[​วัตถุดิบ​ SP]​ สหพันธ์​ไม่​หวนคืน​	前往昆士区—[SP材料]无回者联盟可获得	前往昆士區—[SP材料]無回者聯盟可獲得	Obtained from Quince - [SP Material] League of Outcasts.	コンシ区—[SP素材]不帰の城で獲得。	퀸즈 타운으로 이동—[SP재료] 네버백 연맹에서 획득 가능	ไป​ที่​เขต​ควินซ์​ -​ [​วัตถุดิบ​ SP]​ สหพันธ์​ไม่​หวนคืน​ จะ​ได้รับ​
230	3132	110	2001		60:function_icon_2001	1	[钓鱼]玛瑙湾	[釣魚]瑪瑙灣	[Fishing] Cowrie Cove	[釣り]メノウベイ	[낚시] 카넬리언 베이	[ตกปลา] อ่าวอาเกต	前往昆士区—[钓鱼]玛瑙湾可获得	前往昆士區—[釣魚]瑪瑙灣可獲得	Obtained from Quince -  [Fishing] Cowrie Cove.	コンシ区—[釣り]メノウベイで獲得。	퀸즈 타운으로 이동—[낚시] 카넬리언 베이에서 획득 가능	ไป​ที่​เขต​ควินซ์​ -​ [​ตกปลา​]​ อ่าว​อา​เก​ต​ จะ​ได้รับ​
231	3131	2	2002		60:function_icon_2002	1	[商人]花园街	[商人]花園街	[Merchant] Garden St.	[商人]ガーデンストリート	[상인] 가든 스트리트	[​พ่อค้า​]​ ถนน​การ์​เด้​น​	前往南港区—[商人]花园街可获得	前往南港區—[商人]花園街可獲得	Obtained from Quince - [Merchant] Garden Street.	南港区—[商人]ガーデンストリートで獲得。	사우스포트로 이동—[상인] 가든 스트리트에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ [​พ่อค้า​]​ ถนน​การ์​เด้​น​ จะ​ได้รับ​
232	3134	202	2001		60:function_icon_2001	1	花园街协力战	花園街協力戰	Garden Street Invasion	ガーデンストリート協同作戦	가든 스트리트 협력전	ผนึกกำลังถนนการ์เด้น	前往南港区—花园街协力战可获得	前往南港區—花園街協力戰可獲得	Obtained from Southport - Garden Street Invasion.	南港区—ガーデンストリート協同作戦で獲得。	사우스포트로 이동—[상인] 가든 스트리트 협력전에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ ผนึก​กำลัง​ถนน​การ์​เด้​น​ จะ​ได้รับ​
233	3134	203	2001		60:function_icon_2001	1	[装备]废弃工厂	[裝備]廢棄工廠	[Equipment] Derelict Factory	[装備]廃工場	[장비] 폐공장 지대	[อุปกรณ์] โรงงานร้าง	前往南港区—[装备]废弃工厂可获得	前往南港區—[裝備]廢棄工廠可獲得	Obtained from Quince - [Equipment] Derelict Factory.	南港区—[装備]廃工場で獲得。	사우스포트로 이동—[장비] 폐공장 지대에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ [​อุปกรณ์​]​ โรงงาน​ร้าง​ จะ​ได้รับ​
234	3134	204	2001		60:function_icon_2001	1	[食材]花园街	[食材]花園街	[Ingredient] Garden Street	[食材]ガーデンストリート	[식재료] 가든 스트리트	[​วัตถุดิบ​อาหาร​]​ ถนน​การ์​เด้​น​	前往南港区—[食材]花园街可获得	前往南港區—[食材]花園街可獲得	Obtained from Quince - [Material] Garden Street.	南港区—[食材]ガーデンストリートで獲得。	사우스포트로 이동—[식재료] 가든 스트리트에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ [​วัตถุดิบ​อาหาร​]​ ถนน​การ์​เด้​น​ จะ​ได้รับ​
235	3134	205	2001		60:function_icon_2001	1	新海电力	新海電力	Catto Electric Power	新海電力	뉴오션 전력	แคทโตะการไฟฟ้า	前往南港区—新海电力可获得	前往南港區—新海電力可獲得	Obtained from Southport - Catto Electric Power.	南港区—新海電力で獲得。	사우스포트로 이동—뉴오션 전력에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ แค​ทโตะ​การไฟฟ้า​ จะ​ได้รับ​
236	3148		2003		60:function_icon_2001	1	协力战	協力戰	Invasion	協同作戦	협력전	ผนึกกำลัง	前往南港区—协力战可获得	前往南港區—協力戰可獲得	Obtained from Southport - Invasion.	南港区—協同作戦で獲得。	사우스포트로 이동—협력전에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ ผนึก​กำลัง​ จะ​ได้รับ​
236001	3148	1	2003		60:function_icon_2001	1	协力战-魔方	協力戰-魔方	Cube Invasion	協同作戦‐キューブ	협력전 - 큐브	ผนึกกำลัง - ลูกบาศก์	前往南港区—协力战可获得	前往南港區—協力戰可獲得	Obtained from Southport - Invasion.	南港区—協同作戦で獲得。	사우스포트로 이동—협력전에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ ผนึก​กำลัง​ จะ​ได้รับ​
236002	3148	2	2003		60:function_icon_2001	1	协力战-兔子	協力戰-兔子	Bunny Invasion	協同作戦‐うさぎ	협력전 - 래빗	ผนึกกำลัง - กระต่าย	前往南港区—协力战可获得	前往南港區—協力戰可獲得	Obtained from Southport - Invasion.	南港区—協同作戦で獲得。	사우스포트로 이동—협력전에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ ผนึก​กำลัง​ จะ​ได้รับ​
236003	3148	3	2003		60:function_icon_2001	1	协力战-死神	協力戰-死神	Reaper Invasion	協同作戦‐シニガミ	협력전 - 하데스	ผนึก​กำลัง​ -​ กริม​รี​ป​เปอร์​	前往南港区—协力战可获得	前往南港區—協力戰可獲得	Obtained from Southport - Invasion.	南港区—協同作戦で獲得。	사우스포트로 이동—협력전에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ ผนึก​กำลัง​ จะ​ได้รับ​
237	3134	207	2001		60:function_icon_2001	1	工业园区	工業園區	Industrial District	工業団地	공업단지	เขตอุตสาหกรรม	前往南港区—工业园区可获得	前往南港區—工業園區可獲得	Obtained from Southport - Industrial Park.	南港区—工業団地で獲得。	사우스포트으로 이동—공업단지에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ เขตอุตสาหกรรม​ จะ​ได้รับ​
238	3134	208	2001		60:function_icon_2001	1	枯木巷	枯木巷	Wither Alley	枯れ葉横丁	메마른 가로수길	ตรอกไม้แห้ง	前往南港区—枯木巷可获得	前往南港區—枯木巷可獲得	Obtained from Southport - Wither Alley.	南港区—枯れ葉横丁で獲得。	사우스포트로 이동—메마른 가로수길에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ ตรอก​ไม้​แห้ง​ จะ​ได้รับ​
239	3134	209	2001		60:function_icon_2001	1	[特殊]异常封锁	[特殊]異常封鎖	[Special] Anomaly Lockdown	[特殊]異常封鎖	[특수] 이상봉쇄	[​พิเศษ​]​ การปิดกั้น​ที่​ผิดปกติ​	前往南港区—[特殊]异常封锁可获得	前往南港區—[特殊]異常封鎖可獲得	Obtained from Southport - [Special] Anomaly Lockdown.	南港区—[特殊]異常封鎖で獲得。	사우스포트로 이동—[특수] 이상봉쇄에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ [​พิเศษ​]​ ผนึก​ที่​ผิดปกติ​ จะ​ได้รับ​
240	3132	210	2001		60:function_icon_2001	1	[钓鱼]斯皮亚水库	[釣魚]斯皮亞水庫	[Fishing] Spya Reservoir	[釣り]スピーヤー貯水池	[낚시] 스피어 저수지	[​ตกปลา​]​ อ่างเก็บน้ำ​สเปียร์​	前往南港区—[钓鱼]斯皮亚水库可获得	前往南港區—[釣魚]斯皮亞水庫可獲得	Obtained from Southport - [Fishing] Spya Reservoir.	南港区—[釣り]スピーヤー貯水池で獲得。	사우스포트로 이동—[낚시] 스피어 저수지에서 획득 가능	ไป​ที่​เขต​ทะเล​ใต้​ -​ [​ตกปลา​]​ อ่างเก็บน้ำ​สเปียร์​ จะ​ได้รับ​
241	3131	3	2002		60:function_icon_2002	1	[商人]万象街	[商人]萬象街	[Merchant] Omni Street	[商人]万象街	[상인] 만상가	[​พ่อค้า​]​ ถนน​ว่าน​เซียง​	前往耀州区—[商人]万象街可获得	前往耀州區—[商人]萬象街可獲得	Obtained from Yaozhou - [Merchant] Omni Street.	耀州区—[商人]万象街で獲得。	요주 타운으로 이동—[상인] 만상가에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ [​พ่อค้า​]​ ถนน​ว่าน​เซียง​ จะ​ได้รับ​
242	3134	302	2001		60:function_icon_2001	1	万象街协力战	萬象街協力戰	Omni Street Invasion	万象街協同作戦	만상가 협력전	ผนึกกำลังถนนว่านเซียง	前往耀州区—万象街协力战可获得	前往耀州區—萬象街協力戰可獲得	Obtained from Yaozhou - Omni Street Invasion.	耀州区—万象街協同作戦で獲得。	요주 타운으로 이동—[상인] 만상가 협력전에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ ผนึก​กำลัง​ถนน​ว่าน​เซียง​ จะ​ได้รับ​
243	3134	303	2001		60:function_icon_2001	1	[装备]通天阙	[裝備]通天闕	[Equipment] Skyward Palace	[装備]通天街	[장비] 통천궁	[​อุปกรณ์​]​ หอคอย​เทียมฟ้า​	前往耀州区—[装备]通天阙可获得	前往耀州區—[裝備]通天闕可獲得	Obtained from Yaozhou - [Equipment] Skyward Palace.	耀州区—[装備]通天街で獲得。	요주 타운으로 이동—[장비] 통천궁에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ [​อุปกรณ์​]​ หอคอย​เทียมฟ้า​ จะ​ได้รับ​
244	3134	304	2001		60:function_icon_2001	1	古董拍卖行	古董拍賣行	Antique Auction House	骨董競売所	골동품 경매장	หอประมูลโบราณวัตถุ	前往耀州区—古董拍卖行可获得	前往耀州區—古董拍賣行可獲得	Obtained from Yaozhou - Antique Auction House.	耀州区—骨董競売所で獲得。	요주 타운으로 이동—골동품 경매장에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ หอ​ประมูล​โบราณวัตถุ​ จะ​ได้รับ​
245	3134	305	2001		60:function_icon_2001	1	朝报院	朝報院	Sunrise Sanctum	朝報院	신문사	สำนักข่าว​เรื่องเล่า​เช้า​นั้น​	前往耀州区—朝报院可获得	前往耀州區—朝報院可獲得	Obtained from Yaozhou - Sunrise Sanctum.	耀州区—朝報院で獲得。	요주 타운으로 이동—신문사에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ สำนักข่าว​เรื่องเล่า​เช้า​นั้น​ จะ​ได้รับ​
246	3134	306	2001		60:function_icon_2001	1	海棠坊	海棠坊	Begonia Square	海棠坊	해당화 공방	ย่านดอกไห่ถัง	前往耀州区—海棠坊可获得	前往耀州區—海棠坊可獲得	Obtained from Yaozhou - Begonia Square.	耀州区—海棠坊で獲得。	요주 타운으로 이동—해당화 공방에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ ย่าน​ดอก​ไห่​ถัง​ จะ​ได้รับ​
247	3134	307	2001		60:function_icon_2001	1	文物修复所	文物修復所	Cultural Relic Restoration Center	文物修理所	문화재 복원소	สถาบันฟื้นฟูโบราณวัตถุ	前往耀州区—文物修复所可获得	前往耀州區—文物修復所可獲得	Obtained from Yaozhou - Cultural Relic Restoration Center.	耀州区—文物修復所で獲得。	요주 타운으로 이동—문화재 복원소에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ สถาบัน​ฟื้นฟู​โบราณวัตถุ​ จะ​ได้รับ​
248	3134	308	2001		60:function_icon_2001	1	[食材]美食街	[食材]美食街	[Ingredient] Food Court	[食材]屋台街	[식재료] 맛남의 거리	[​วัตถุดิบ​อาหาร​]​ ถนน​เลิศ​รส​	前往耀州区—[食材]美食街可获得	前往耀州區—[食材]美食街可獲得	Obtained from Yaozhou - [Ingredient] Food Court.	耀州区—[食材]屋台街で獲得。	요주 타운으로 이동—[식재료] 맛남의 거리에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ [​วัตถุดิบ​อาหาร​]​ ถนน​เลิศ​รส​ จะ​ได้รับ​
249	3134	309	2001		60:function_icon_2001	1	[特殊]世界首领	[特殊]世界首領	[Special] World Boss	[特殊]ワールドBOSS	[특수] 월드 보스	[พิเศษ] เวิลด์บอส	前往耀州区—[特殊]世界首领可获得	前往耀州區—[特殊]世界首領可獲得	Obtained from Yaozhou - [Special] World Boss.	耀州区—[特殊]ワールドBOSSで獲得。	요주 타운으로 이동—[특수] 월드 보스에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ [​พิเศษ​]​ เวิลด์​บอส​ จะ​ได้รับ​
250	3132	310	2001		60:function_icon_2001	1	[钓鱼]云霞湖岛	[釣魚]雲霞湖島	[Fishing] Eventide Islands	[釣り]雲霞湖島	[낚시] 운하 호수	[ตกปลา] เกาะเมฆารุ้ง	前往耀州区—[钓鱼]云霞湖岛可获得	前往耀州區—[釣魚]雲霞湖島可獲得	Obtained from Yaozhou - [Fishing] Eventide Islands.	耀州区—[釣り]雲霞湖島で獲得。	요주 타운으로 이동—[낚시] 운하 호수에서 획득 가능	ไป​ที่​เขต​เหยา​โจว​ -​ [​ตกปลา​]​ เกาะ​เมฆา​รุ้ง​ จะ​ได้รับ​
251	3131	4	2002		60:function_icon_2002	1	[商人]利兹集市	[商人]利茲集市	[Merchant] Leids Market	[商人]リーズ市場	[상인] 리즈 시장	[พ่อค้า] ตลาดลีซ	前往旧城区—[商人]利兹集市可获得	前往舊城區—[商人]利茲集市可獲得	Obtained from Oldtown - [Merchant] Leids Market.	オールドタウン—[商人]リーズ市場で獲得。	구시가지로 이동—[상인] 리즈 시장에서 획득 가능	ไป​ที่​เขตเมือง​โบราณ​ -​ [​พ่อค้า​]​ ตลาด​ลี​ซ​ จะ​ได้รับ​
252	3134	402	2001		60:function_icon_2001	1	利兹集市协力战	利茲集市協力戰	Leids Market Invasion	リーズ市場協同作戦	리즈 시장 협력전	ผนึกกำลังตลาดลีซ	前往旧城区—利兹集市协力战可获得	前往舊城區—利茲集市協力戰可獲得	Obtained from Oldtown - Leids Market Invasion.	オールドタウン—リーズ市場協同作戦で獲得。	구시가지로 이동—리즈 시장 협력전에서 획득 가능	ไป​ที่​เขตเมือง​โบราณ​ -​ ผนึก​กำลัง​ตลาด​ลี​ซ​ จะ​ได้รับ​
253	3134	403	2001		60:function_icon_2001	1	[装备]利兹大道	[裝備]利茲大道	[Equipment] Leids Avenue	[装備]リーズストリート	[장비] 리즈대로	[​อุปกรณ์​]​ ถนนสายหลัก​ลิ​ซ​	前往旧城区—[装备]利兹大道可获得	前往舊城區—[裝備]利茲大道可獲得	Obtained from Oldtown - [Equipment] Leids Avenue	オールドタウン—[装備]リーズストリートで獲得。	구시가지로 이동— [장비] 리즈 에비뉴에서 획득 가능	ไป​ที่​เขตเมือง​โบราณ​ -​ [​อุปกรณ์​]​ ถนนสายหลัก​ลี​ซ​ จะ​ได้รับ​
254	3134	404	2001		60:function_icon_2001	1	猩红庄园	猩紅莊園	Crimson Manor	緋色荘園	크림슨 농장	คฤหาสน์คริมสัน	前往旧城区—猩红庄园可获得	前往舊城區—猩紅莊園可獲得	Obtained from Oldtown - Crimson Manor.	オールドタウン—緋色荘園で獲得。	구시가지로 이동—크림슨 농장에서 획득 가능	ไป​ที่​เขตเมือง​โบราณ​ -​ คฤหาสน์​ค​ริม​สัน​ จะ​ได้รับ​
255	3134	405	2001		60:function_icon_2001	1	先知教区	先知教區	Prophecy Faith Zone	預言者教区	선지자 교구	วิหารศาสดา	前往旧城区—先知教区可获得	前往舊城區—先知教區可獲得	Obtained from Oldtown - Prophecy Faith Zone.	オールドタウン—預言者教区で獲得。	구시가지로 이동—선지자 교구에서 획득 가능	ไป​ที่​เขตเมือง​โบราณ​ -​ วิหาร​ศาสดา​ จะ​ได้รับ​
256	3134	406	2001		60:function_icon_2001	1	墓园	墓園	Graveyard	墓地	교단 묘지	สุสาน	前往旧城区—墓园可获得	前往舊城區—墓園可獲得	Obtained from Oldtown - Graveyard.	オールドタウン—墓地で獲得。	구시가지로 이동—교단 묘지에서 획득 가능	ไป​ที่​เขตเมือง​โบราณ​ -​ สุสาน​ จะ​ได้รับ​
257	3134	407	2001		60:function_icon_2001	1	古老遗迹	古老遺跡	Ancient Ruins	古き遺跡	고대 유적	ซากโบราณสถาน	前往旧城区—古老遗迹可获得	前往舊城區—古老遺跡可獲得	Obtained from Oldtown - Ancient Ruins.	オールドタウン—古き遺跡で獲得。	구시가지로 이동—고대 유적에서 획득 가능	ไป​ที่​เขตเมือง​โบราณ​ -​ ซาก​โบราณสถาน​ จะ​ได้รับ​
258	3134	408	2001		60:function_icon_2001	1	[食材]乌鸦巷	[食材]烏鴉巷	[Ingredient] Ravens Alley	[食材]カラス横丁	[식재료] 크로우로드	[​วัตถุดิบ​อาหาร​]​ ตรอก​เร​เวน​	前往旧城区—[食材]乌鸦巷可获得	前往舊城區—[食材]烏鴉巷可獲得	Obtained from Oldtown - [Ingredient] Ravens Alley.	オールドタウン—[食材]カラス横丁で獲得。	구시가지로 이동—[식재료] 크로우로드에서 획득 가능	ไป​ที่​เขตเมือง​โบราณ​ -​ [​วัตถุดิบ​อาหาร​]​ ตรอก​เร​เวน​ จะ​ได้รับ​
