id	specialTipsId	specialTipsNum	iconType	status	default	test	test_zh_TW	test_en_UK	test_ja_JP	test_ko_KR	test_th_TH
900015				1	1	<color=#05f1e6>梦魇涌动</color>\n1.攻击力被降低的敌方单位防御力也会下降50%	<color=#05f1e6>夢魘湧動</color>\n1.攻擊力被降低的敵方單位防禦力也會下降50%	<color=#05f1e6>Nightmare Surge</color>\n1. Enemies with reduced ATK also have their DEF lowered by 50%.	<color=#05f1e6>ステージ効果</color>\n1.攻撃力ダウンさせた敵の防御力−50%	<color=#05f1e6>나이트메어 침식</color>\n1. 공격력이 감소된 단일 적은 방어력도 50% 감소한다	<color=#05f1e6>กระแสฝันร้าย</color>\n1.​ยูนิต​ฝ่าย​ศัตรู​ที่​ถู​กลด​ ATK​ จะ​ถู​กลด​ DEF​ ลง​ 50%​ เช่นกัน​
900016				1	1	<color=#05f1e6>梦魇涌动</color>\n1.回合开始时，敌方每存在一个减益效果，敌方全体获得1层受到伤害提升20%（上限5层），持续1回合\n2.敌人每使用一次技能，下回合获得1层受到伤害降低20%，持续1回合。	<color=#05f1e6>夢魘湧動</color>\n1.回合開始時，敵方每存在一個減益效果，敵方全體獲得1層受到傷害提升20%（上限5層），持續1回合\n2.敵人每使用一次技能，下回合獲得1層受到傷害降低20%，持續1回合。	<color=#05f1e6>Nightmare Surge</color>\n1. At the beginning of each turn, for every debuff on enemies, all enemies gain 1 stack of an effect that increases their DMG taken by 20% for 1 turn, stacking up to 5 times.\n2. Each time an enemy uses a skill, they gain 1 stack of an effect that reduces their DMG taken by 20% in the next turn, lasting for 1 turn.	<color=#05f1e6>ステージ効果</color>\n1.ターン開始時、敵が所有するデバフ効果1つにつき、敵全体に被ダメージ＋20%効果が1スタック付与される（1ターン持続する、最大5スタックまで）。\n2.敵がスキルを1回発動するたびに、次のターンに被ダメージ−20%効果が1スタック付与される（1ターン持続する）。	<color=#05f1e6>나이트메어 침식</color>\n1. 턴 시작 시 적에게 디버프 효과를 부여한다. 1턴 동안 적 전체에게 적용되는 대미지가 20% 증가한다. (1스택, 최대 5스택까지 중첩), \n2.적이 해당 기능을 사용할 때마다, 다음 턴에서 1턴 동안 적용되는 대미지는 20% 감소된다.	<color=#05f1e6>กระแสฝันร้าย</color>\n1.​เมื่อ​เริ่ม​แต่ละ​เทิร์น​ ทุก​เอฟเฟกต์​ดี​บัฟ​ที่​ฝ่าย​ศัตรู​มี​ จะ​ทำให้​ฝ่าย​ศัตรู​ทั้งหมด​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 20%​ จำนวน​ 1​ ชั้น​ (​สูงสุด​ 5​ ชั้น​)​ เป็นเวลา​ 1​ เทิร์น​\n2.​ทุกครั้งที่​ศัตรู​ใช้​สกิล​ 1​ ครั้ง​ ใน​เทิร์น​ถัดไป​จะ​ได้รับ​ดา​เม​จล​ดล​ง​ 20%​ เป็นเวลา​ 1​ เทิร์น​
900017				1	1	<color=#05f1e6>梦魇涌动</color>\n1.每回合开始时敌方全体获得1层「预防」，持续1回合。「预防」：被施加减益效果时消耗1层「预防」以抵挡1层减益效果	<color=#05f1e6>夢魘湧動</color>\n1.每回合開始時敵方全體獲得1層「預防」，持續1回合。「預防」：被施加減益效果時消耗1層「預防」以抵擋1層減益效果	<color=#05f1e6>Nightmare Surge</color>\n1. At the beginning of each turn, all enemies gain 1 stack of Precaution for 1 turn. Precaution: Consumes 1 stack of Precaution to block 1 stack of incoming debuff.	<color=#05f1e6>ステージ効果</color>\n1.ターン開始時、敵全体に「予防」が1スタック付与される（1ターン持続する）。「予防」：デバフ効果が付与される時、「予防」を1スタック消費してデバフを解除する。	<color=#05f1e6>나이트메어 침식</color>\n1. 매 턴 시작 시, 1턴 동안 적 전체가 「예방」효과를 1스택 획득한다. 「예방」 : 디버프 효과가 적용될 때 「예방」을 1스택 소모하여 디버프 효과를 1스택 제거한다	<color=#05f1e6>กระแสฝันร้าย</color>\n1.​ เมื่อ​เริ่ม​แต่ละ​เทิร์น​ ฝ่าย​ศัตรู​ทั้งหมด​จะ​ได้รับ​สถานะ​ [​กัน​ล่วงหน้า​]​ 1​ ชั้น​ เป็นเวลา​ 1​ เทิร์น​ [​กัน​ล่วงหน้า​]:​ เมื่อ​ได้รับ​เอฟเฟกต์​ดี​บัฟ​จะ​ใช้​ [​กัน​ล่วงหน้า​]​ 1​ ชั้น​ เพื่อ​ป้องกัน​ดี​บัฟ​ดังกล่าว​
900018				1	1	<color=#05f1e6>梦魇涌动</color>\n1.每回合开始时敌方全体获得2层「防甲」，持续1回合。「防甲」：提升防御力40%，受到攻击技能时，清除1层	<color=#05f1e6>夢魘湧動</color>\n1.每回合開始時敵方全體獲得2層「防甲」，持續1回合。「防甲」：提升防禦力40%，受到攻擊技能時，清除1層	<color=#05f1e6>Nightmare Surge</color>\n1. At the beginning of each turn, all enemies gain 2 stacks of Defense Armor for 1 turn. Defense Armor: Increases DEF by 40%; consumes 1 stack of Defense Armor when hit by an attack skill.	<color=#05f1e6>ステージ効果</color>\n1.毎ターン開始時、敵全体に2スタックの「ガード」を付与する（１ターン持続）。「ガード」：防御力＋40%、攻撃を受けた際、1スタック解除される。	<color=#05f1e6>나이트메어 침식</color>\n1. 매 턴 시작 시, 1턴 동안 적 전체가 「배리어」 효과를 2스택 획득한다. 「배리어」 : 방어력이 40% 증가하고, 공격을 받을 시, 받은 공격을 1스택 무효화한다	<color=#05f1e6>กระแสฝันร้าย</color>\n1.​ เมื่อ​เริ่ม​แต่ละ​เทิร์น​ ฝ่าย​ศัตรู​ทั้งหมด​จะ​ได้รับ​สถานะ​ [​เกราะ​ป้องกัน​]​ 2​ ชั้น​ เป็นเวลา​ 1​ เทิร์น​ [​เกราะ​ป้องกัน​]:​ เพิ่ม​ DEF​ 40%​ เมื่อ​ได้รับ​สกิล​โจมตี​ จะ​ลบล้าง​ 1​ ชั้น​
900019				1	1	<color=#05f1e6>梦魇涌动</color>\n1.每回合开始时敌方全体获得1层「预防」和2层「防甲」，持续1回合。「预防」：被施加减益效果时消耗1层「预防」以抵挡1层减益效果；「防甲」：提升防御力40%，受到攻击技能时，清除1层	<color=#05f1e6>夢魘湧動</color>\n1.每回合開始時敵方全體獲得1層「預防」和2層「防甲」，持續1回合。「預防」：被施加減益效果時消耗1層「預防」以抵擋1層減益效果；「防甲」：提升防禦力40%，受到攻擊技能時，清除1層	<color=#05f1e6>Nightmare Surge</color>\n1. At the beginning of each turn, all enemies gain 1 stack of Precaution and 2 stacks of Defense Armor for 1 turn. Precaution: Consumes 1 stack of Precaution to block 1 stack of incoming debuff. Defense Armor: Increases DEF by 40%; consumes 1 stack of Defense Armor when hit by an attack skill.	<color=#05f1e6>ステージ効果</color>\n1.毎ターン開始時、敵全体に1スタックの「予防」と2スタックの「ガード」が付与される（1ターン持続）。「予防」：デバフを付与された際、1スタックの「予防」を消費してデバフ効果を防ぐ。；「ガード」：防御力＋40%、攻撃を受けた際、1スタック解除される。	<color=#05f1e6>나이트메어 침식</color>\n1. 매 턴 시작 시, 1턴 동안 적 전체가 「예방」효과 1스택과 「배리어」 효과 2스택을 획득한다. 「예방」 : 디버프 효과가 적용될 때 「예방」을 1스택 소모하여 디버프 효과를 1스택 제거한다	<color=#05f1e6>กระแสฝันร้าย</color>\n1.​ เมื่อ​เริ่ม​แต่ละ​เทิร์น​ ฝ่าย​ศัตรู​ทั้งหมด​จะ​ได้รับ​สถานะ​ [​กัน​ล่วงหน้า​]​ 1​ ชั้น​ และ​ [​เกราะ​ป้องกัน​]​ 2​ ชั้น​ เป็นเวลา​ 1​ เทิร์น​ [​กัน​ล่วงหน้า​]:​ เมื่อ​ได้รับ​เอฟเฟกต์​ดี​บัฟ​จะ​ใช้​ [​กัน​ล่วงหน้า​]​ 1​ ชั้น​ เพื่อ​ป้องกัน​ดี​บัฟ​ดังกล่าว​ [​เกราะ​ป้องกัน​]:​ เพิ่ม​ DEF​ 40%​ เมื่อ​ได้รับ​สกิล​โจมตี​ จะ​ลบล้าง​ 1​ ชั้น​
900020				1	1	<color=#05f1e6>梦魇涌动</color>\n1.每回合开始时敌方全体获得2层「预防」和3层「防甲」，持续1回合。「预防」：被施加减益效果时消耗1层「预防」以抵挡1层减益效果；「防甲」：提升防御力40%，受到攻击技能时，清除1层	<color=#05f1e6>夢魘湧動</color>\n1.每回合開始時敵方全體獲得2層「預防」和3層「防甲」，持續1回合。「預防」：被施加減益效果時消耗1層「預防」以抵擋1層減益效果；「防甲」：提升防禦力40%，受到攻擊技能時，清除1層	<color=#05f1e6>Nightmare Surge</color>\n1. At the beginning of each turn, all enemies gain 2 stacks of Precaution and 3 stacks of Defense Armor for 1 turn. Precaution: Consumes 1 stack of Precaution to block 1 stack of incoming debuff. Defense Armor: Increases DEF by 40%; consumes 1 stack of Defense Armor when hit by an attack skill.	<color=#05f1e6>ステージ効果</color>\n1.毎ターン開始時、敵全体に2スタックの「予防」と3スタックの「ガード」が付与される、1ターン持続。「予防」：デバフを付与された際、1スタックの「予防」を消費してデバフ効果を防ぐ。；「ガード」：防御力＋40%、攻撃を受けた際、1スタック解除される。	<color=#05f1e6>나이트메어 침식</color>\n1.  매 턴 시작 시, 1턴 동안 적 전체가 「예방」효과 2스택과 「배리어」 효과 3스택을 획득한다. 「예방」 : 디버프 효과가 적용될 때 「예방」을 1스택 소모하여 디버프 효과를 1스택 제거한다	<color=#05f1e6>กระแสฝันร้าย</color>\n1.​เมื่อ​เริ่ม​แต่ละ​เทิร์น​ ฝ่าย​ศัตรู​ทั้งหมด​จะ​ได้รับ​สถานะ​ [​กัน​ล่วงหน้า​]​ 2​ ชั้น​ และ​ [​เกราะ​ป้องกัน​]​ 3​ ชั้น​ เป็นเวลา​ 1​ เทิร์น​ [​กัน​ล่วงหน้า​]:​ เมื่อ​ได้รับ​เอฟเฟกต์​ดี​บัฟ​จะ​ใช้​ [​กัน​ล่วงหน้า​]​ 1​ ชั้น​ เพื่อ​ป้องกัน​ดี​บัฟ​ดังกล่าว​ [​เกราะ​ป้องกัน​]:​ เพิ่ม​ DEF​ 40%​ เมื่อ​ได้รับ​สกิล​โจมตี​ จะ​ลบล้าง​ 1​ ชั้น​
12050101				1	1	<color=#05f1e6>兔子首领战</color>\n1.溢出的治疗效果将转化为纯粹伤害	<color=#05f1e6>兔子首領戰</color>\n1.溢出的治療效果將轉化為純粹傷害	<color=#05f1e6>Rabbit Boss Fight</color>\n1. Excess healing effect will be converted into Pure DMG.	<color=#05f1e6>うさぎボス戦</color>\n1.余分な回復量は純ダメージに転換される。	<color=#05f1e6>자이언트 래빗 월드 보스전</color>\n1. 초과된 치유 효과는 순수 대미지로 전환된다.	<color=#05f1e6>สงครามบอสแรบบิท</color>\n1.​เอฟเฟกต์​ฟื้นฟู​ที่​ล้น​เกิน​จะ​ถูก​เปลี่ยนเป็น​ดา​เม​จ​เพียว​
12050102				1	1	<color=#05f1e6>兔子首领战</color>\n1.溢出的治疗效果将转化为纯粹伤害\n2.治疗效果将能够触发暴击，会受到暴击与暴击伤害影响	<color=#05f1e6>兔子首領戰</color>\n1.溢出的治療效果將轉化為純粹傷害\n2.治療效果將能夠觸發爆擊，會受到爆擊與爆擊傷害影響	<color=#05f1e6>Rabbit Boss Fight</color>\n1. Excess healing effect will be converted into Pure DMG.\n2. Healing effects can crit, which are affected by Combatants' CRIT Rate and CRIT DMG.	<color=#05f1e6>うさぎBOSS戦</color>\n1.余分な回復量は純ダメージに転換される。\n2.回復は会心率・会心ダメージに影響されて会心が発生できるようになる。	<color=#05f1e6>자이언트 래빗 월드 보스전<</color>\n1. 초과된 치유 효과는 순수 대미지로 전환된다.\n2. 치유 효과는 크리티컬을 발동하며, 크리티컬과 크리티컬 대미지의 영향을 받는다.	<color=#05f1e6>สงครามบอสแรบบิท</color>\n1.​เอฟเฟกต์​ฟื้นฟู​ที่​ล้น​เกิน​จะ​ถูก​เปลี่ยนเป็น​ดา​เม​จ​เพียว​\n2.​เอฟเฟกต์​ฟื้นฟู​จะ​สามารถ​ติด​ค​ริ​ติ​คอ​ล​ได้​ และ​จะ​ได้รับ​ผล​จาก​อัต​ราค​ริ​ติ​คอ​ล​และ​ดา​เม​จค​ริ​ติ​คอ​ล​
12050103				1	1	<color=#05f1e6>兔子首领战</color>\n1.溢出的治疗效果将转化为纯粹伤害\n2.治疗效果将能够触发暴击，会受到暴击与暴击伤害影响\n3.敌人获得大量减伤效果，请尽量使用治疗技能御敌	<color=#05f1e6>兔子首領戰</color>\n1.溢出的治療效果將轉化為純粹傷害\n2.治療效果將能夠觸發爆擊，會受到爆擊與爆擊傷害影響\n3.敵人獲得大量減傷效果，請儘量使用治療技能禦敵	<color=#05f1e6>Rabbit Boss Fight</color>\n1. Excess healing effect will be converted into Pure DMG.\n2. Healing effects can crit, which are affected by Combatants' CRIT Rate and CRIT DMG.\n3. Enemies feature substantial DMG reduction, so healing skills are crucial in the battle.	<color=#05f1e6>うさぎBOSS戦</color>\n1.余分な回復量は純ダメージに転換される。\n2.回復は会心率・会心ダメージに影響されて会心が発生できるようになる。\n3.敵が強力なダメージ軽減効果を獲得する。回復スキルを活用すれば有利に戦える。	<color=#05f1e6>자이언트 래빗 월드 보스전<</color>\n1. 초과된 치유 효과는 순수 대미지로 전환된다.\n2. 치유 효과는 크리티컬을 발동하며, 크리티컬과 크리티컬 대미지의 영향을 받는다.\n3. 적은 대량의 대미지 감소 효과를 획득하며, 치유 스킬을 사용하여 적의 공격을 막아야 한다	<color=#05f1e6>สงครามบอสแรบบิท</color>\n1.​เอฟเฟกต์​ฟื้นฟู​ที่​ล้น​เกิน​จะ​ถูก​เปลี่ยนเป็น​ดา​เม​จ​เพียว​\n2.​เอฟเฟกต์​ฟื้นฟู​จะ​สามารถ​ติด​ค​ริ​ติ​คอ​ล​ได้​ และ​จะ​ได้รับ​ผล​จาก​อัต​ราค​ริ​ติ​คอ​ล​และ​ดา​เม​จค​ริ​ติ​คอ​ล​\n3.​ศัตรู​จะ​ได้รับ​เอฟเฟกต์​ลด​ดา​เม​จ​จำนวนมาก​ โปรด​ใช้​สกิล​ฟื้นฟู​ใน​การ​รับมือ​ศัตรู​
12050201				1	1	<color=#05f1e6>鼠潮首领战</color>\n1.首领拥有召唤敌人的能力，请尽快消灭	<color=#05f1e6>鼠潮首領戰</color>\n1.首領擁有召喚敵人的能力，請儘快消滅	<color=#05f1e6>Rat Swarm Boss Fight</color>\n1. The boss can summon enemies, so make sure to eliminate them quickly.	<color=#05f1e6>ネズミボス戦</color>\n1.ボスは敵を召喚できるので、早めに倒してください。	<color=#05f1e6>자이언트 랫 월드 보스전</color>\n1. 보스에게 적을 소환하는 능력이 있으니, 빠르게 처치해야 한다.	<color=#05f1e6>สงครามบอสหนู</color>\n1.​บอ​สมี​สกิล​อัญเชิญ​ลูกสมุน​ โปรด​รีบ​ทำการ​กำจัด​
12050202				1	1	<color=#05f1e6>鼠潮首领战</color>\n1.首领拥有召唤敌人的能力，请尽快消灭\n2.敌人每回合会提升攻击力	<color=#05f1e6>鼠潮首領戰</color>\n1.首領擁有召喚敵人的能力，請儘快消滅\n2.敵人每回合會提升攻擊力	<color=#05f1e6>Rat Swarm Boss Fight</color>\n1. The boss can summon enemies, so make sure to eliminate them quickly.\n2. Enemies gain an increase in ATK each turn.	<color=#05f1e6>ネズミボス戦</color>\n1.ボスは敵を召喚できるので、早めに倒してください。\n2.毎ターン、敵の攻撃力アップ。	<color=#05f1e6>자이언트 랫 월드 보스전</color>\n1. 보스에게 적을 소환하는 능력이 있으니, 빠르게 처치해야 한다.\n2. 적은 턴이 반복될 때마다 공격력이 증가한다	<color=#05f1e6>สงครามบอสหนู</color>\n1.​บอ​สมี​สกิล​อัญเชิญ​ลูกสมุน​ โปรด​รีบ​ทำการ​กำจัด​\n2.​ทุก​เทิร์น​ฝ่าย​ศัตรู​จะ​เพิ่ม​ ATK​ 
12050203				1	1	<color=#05f1e6>鼠潮首领战</color>\n1.首领拥有召唤敌人的能力，请尽快消灭\n2.敌人每回合会提升攻击力\n3.敌人获得大量吸血能力	<color=#05f1e6>鼠潮首領戰</color>\n1.首領擁有召喚敵人的能力，請儘快消滅\n2.敵人每回合會提升攻擊力\n3.敵人獲得大量吸血能力	<color=#05f1e6>Rat Swarm Boss Fight</color>\n1. The boss can summon enemies, so make sure to eliminate them quickly.\n2. Enemies gain an increase in ATK each turn.\n3. Enemies obtain a strong Lifesteal ability.	<color=#05f1e6>ネズミボス戦</color>\n1.ボスは敵を召喚できるので、早めに倒してください。\n2.毎ターン、敵の攻撃力アップ。\n3.敵に強力な吸血効果が付与される。	<color=#05f1e6>자이언트 랫 월드 보스전</color>\n1. 보스에게 적을 소환하는 능력이 있으니, 빠르게 처치해야 한다.\n2. 적은 턴이 반복될 때마다 공격력이 증가한다.\n3 적은 대량으로 흡혈할 수 있는 효과를 획득한다.	<color=#05f1e6>สงครามบอสหนู</color>\n1.​บอ​สมี​สกิล​อัญเชิญ​ลูกสมุน​ โปรด​รีบ​ทำการ​กำจัด​\n2.​ทุก​เทิร์น​ฝ่าย​ศัตรู​จะ​เพิ่ม​ ATK\n3.​ฝ่าย​ศัตรู​จะ​ได้รับ​พลัง​ดูด​เลือด​จำนวนมาก​
12050301				1	1	<color=#05f1e6>街机首领战</color>\n1.每回合【标记】一名敌人，被标记敌人受到伤害提升	<color=#05f1e6>街機首領戰</color>\n1.每回合【標記】一名敵人，被標記敵人受到傷害提升	<color=#05f1e6>Arcade Boss Fight</color>\n1. Each turn, one enemy will be [marked] and receive increased DMG.	<color=#05f1e6>アーケード機ボス戦</color>\n1.毎ターン、敵1体を【マーク】する。マークされた敵の被ダメージアップ。	<color=#05f1e6>아케이드 게임기 월드 보스전</color>\n1. 턴당 1명의 적을 지목하여, 지목된 적은 대미지가 증가한다.	<color=#05f1e6>สงครามบอสอาเคด</color>\n1.​ทุก​เทิร์น​จะ​ทำการ​ [​มาร์ค​]​ ศัตรู​ 1​ ตัว​ ศัตรู​ที่​ถูก​มาร์ค​จะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​
12050302				1	1	<color=#05f1e6>街机首领战</color>\n1.每回合【标记】一名敌人，被标记敌人受到伤害提升\n2.释放群体攻击技能时，会治疗敌人	<color=#05f1e6>街機首領戰</color>\n1.每回合【標記】一名敵人，被標記敵人受到傷害提升\n2.釋放群體攻擊技能時，會治療敵人	<color=#05f1e6>Arcade Boss Fight</color>\n1. Each turn, one enemy will be [marked] and receive increased DMG.\n2. Enemies heal when attacked by AoE skills.	<color=#05f1e6>アーケード機ボス戦</color>\n1.毎ターン、敵1体を【マーク】する。マークされた敵の被ダメージアップ。\n2.全体攻撃スキルを発動時、敵を回復する。	<color=#05f1e6>아케이드 게임기 월드 보스전</color>\n1. 턴당 1명의 적을 지목하여, 지목된 적은 대미지가 증가한다.\n2. 광역 공격 시전 시 적을 치유할 수 있다.	<color=#05f1e6>สงครามบอสอาเคด</color>\n1.​ทุก​เทิร์น​จะ​ทำการ​ [​มาร์ค​]​ ศัตรู​ 1​ ตัว​ ศัตรู​ที่​ถูก​มาร์ค​จะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​\n2.​เมื่อ​ใช้​สกิ​ลดา​เม​จ​หมู่​ ศัตรู​จะ​ทำ​การฟื้นฟู​
12050303				1	1	<color=#05f1e6>街机首领战</color>\n1.每回合【标记】一名敌人，被标记敌人受到伤害提升\n2.释放群体攻击技能时，会治疗敌人\n3.玩家阵容也会出现标记效果，敌人优先攻击标记目标	<color=#05f1e6>街機首領戰</color>\n1.每回合【標記】一名敵人，被標記敵人受到傷害提升\n2.釋放群體攻擊技能時，會治療敵人\n3.玩家陣容也會出現標記效果，敵人優先攻擊標記目標	<color=#05f1e6>Arcade Boss Fight</color>\n1. Each turn, one enemy will be [marked] and receive increased DMG.\n2. Enemies heal when attacked by AoE skills.\n3. Your lineup will also be marked, and enemies will focus their attacks on the marked target.	<color=#05f1e6>アーケード機ボス戦</color>\n1.毎ターン、敵1体を【マーク】する。マークされた敵の被ダメージアップ。\n2.全体攻撃スキルを発動時、敵を回復する。\n3.味方も【マーク】される。【マーク】された味方は優先に攻撃される。	<color=#05f1e6>아케이드 게임기 월드 보스전</color>\n1. 턴당 1명의 적을 지목하여, 지목된 적은 대미지가 증가한다.\n2. 광역 공격 시전 시 적을 치유할 수 있다.\n3. 플레이어 진영도 지목당할 수 있으며, 지목당한 목표를 먼저 공격한다.	<color=#05f1e6>สงครามบอสอาเคด</color>\n1.​ทุก​เทิร์น​จะ​ทำการ​ [​มาร์ค​]​ ศัตรู​ 1​ คน​ ศัตรู​ที่​ถูก​มาร์ค​จะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​\n2.​เมื่อ​ใช้​สกิ​ลดา​เม​จ​หมู่​ ศัตรู​จะ​ทำ​การฟื้นฟู​\n3.​ทีม​ของ​ผู้​เล่น​ก็​อาจ​ถูก​ [​มาร์ค​]​ ได้​ ศัตรู​จะ​โจมตี​เป้าหมาย​ที่​ถูก​มาร์ค​ก่อน​เสมอ​
30101				1	1	<color=#05f1e6>关卡说明</color>\n\n1.红、绿、蓝情绪颜色克制伤害额外提高50%	<color=#05f1e6>關卡說明</color>\n\n1.紅、綠、藍情緒顏色克制傷害額外提高50%	<color=#05f1e6>Stage Details</color>\n1. Utilize the advantages of Red, Green, and Blue Pathos to deal an additional 50% DMG.	<color=#05f1e6>ルール</color>\n\n1.有利属性（レッド、グリーン、ブルーのいずれか）で敵に攻撃した場合、与ダメージが追加で50%上昇する。	<color=#05f1e6>스테이지 안내</color>\n\n1.레드, 그린, 블루 이모션 역상성 추가 대미지 +50%	<color=#05f1e6>คำอธิบายด่าน</color>\n1.​พา​โธส​สีแดง​ เขียว​ ฟ้า​ จะ​สร้าง​ดา​เม​จ​ชนะ​ทาง​เพิ่มขึ้น​ 50%​
30304				1	1	<color=#05f1e6>关卡说明</color>\n\n1.在梦境中祈-碧魂灯携带特殊的<color=#05f1e6>梦中人</color>状态，请合理调整攻击顺序或者使用<color=#05f1e6>驱散</color>技能应对。\n<color=#05f1e6>【梦中人】：</color>每回合首个攻击【祈-碧魂灯】的单位受到攻击力降低60%和防御力降低60%的减益效果。\n<size=26><color=#48d1cc>提示：可长按目标查看特殊效果详情</color></size> \n\n2.红、绿、蓝情绪颜色克制伤害额外提高50%	<color=#05f1e6>關卡說明</color>\n\n1.在夢境中祈-碧魂燈攜帶特殊的<color=#05f1e6>夢中人</color>狀態，請合理調整攻擊順序或者使用<color=#05f1e6>驅散</color>技能應對。\n<color=#05f1e6>【夢中人】：</color>每回合首個攻擊【祈-碧魂燈】的單位受到攻擊力降低60%和防禦力降低60%的減益效果。\n<size=26><color=#48d1cc>提示：可長按目標查看特殊效果詳情</color></size> \n\n2.紅、綠、藍情緒顏色克制傷害額外提高50%	<color=#05f1e6>Stage Details</color>\n1. In the dream, Qi: Soul Lantern comes with a special buff <color=#05f1e6>Reverie's Grasp</color>. Adjust your attack order or cast <color=#05f1e6>dispel</color> skills accordingly.\n<color=#05f1e6>[Reverie's Grasp]: </color>The first unit to attack [Qi: Soul Lantern] each turn receives a debuff that reduces their ATK taken by 60% and their DEF by 60%.\n<size=26><color=#48d1cc>Tip: Touch and hold the target to view details about this special effect.</color></size>\n\n2. Utilize the advantages of Red, Green, and Blue Pathos to deal an additional 50% DMG.	<color=#05f1e6>ルール</color>\n\n1.夢境の中で、祈-碧魂灯に特殊状態<color=#05f1e6>夢中人</color>が付与される。攻撃の順番を適切に調整するか、スキル<color=#05f1e6>駆逐</color>を使用して対処してください。\n<color=#05f1e6>【夢中人】：</color>各ターンの最初に【祈-碧魂灯】を攻撃する敵にデバフ効果「攻撃力-60%」と「防御力-60%」付与する。\n<size=26><color=#48d1cc>TIPS：対象を長押しして、特殊効果の詳細を確認できます。</color></size> \n\n2. 有利属性（レッド、グリーン、ブルーのいずれか）で敵に攻撃した場合、与ダメージが追加で50%上昇する。	<color=#05f1e6>스테이지 안내</color>\n1. 꿈 속의 기-벽혼등은<color=#05f1e6>꿈속의 사람</color>이라는 특별한 상태를 가지고 있습니다. 공격 순서를 합리적으로 조정하거나<color=#05f1e6>해제</color>스킬로 대응하세요.\n<color=#05f1e6>[꿈속의 사람]</color>: 매 턴 [기 - 벽혼등] 적에게 첫 공격을 가하면 공격력이 60% 감소하고 방어력이 60% 감소하는 디버프 효과를 받습니다.\n<size=26><color=#48d1cc>Tips: 목표를 길게 탭하여 특수 효과에 대한 상세 정보를 확인할 수 있습니다</color></size> \n\n2. 레드, 그린, 블루 이모션 역상성 대미지는 추가로 50% 증가합니다.	<color=#05f1e6>คำอธิบายด่าน</color>\n1.​ใน​ดินแดน​ความฝัน​ ฉี​ - ​โคม​วิญญาณ​ จะ​มี​สถานะ​พิเศษ​<color=#05f1e6>คนในฝัน</color>​ กรุณา​จัดลำดับ​การ​โจมตี​ให้​เหมาะสม​ หรือ​ใช้​สกิล​<color=#05f1e6>ลบล้าง</color>​เพื่อ​ต่อกร​\n<color=#05f1e6>[​คนใน​ฝัน​]:​ </color>​แต่ละ​เทิร์น​ ยูนิต​ที่​โจมตี​ [​ฉี​ -​ โคม​แสง​ลึกลับ​]​ เป็น​คน​แรก​จะ​ได้รับ​เอฟเฟกต์​ดี​บัฟลด​ ATK​ และ​ DEF​ ลง​ 60%\n<size=26><color=#48d1cc>​เคล็ดลับ​:​ สามารถ​กด​ค้าง​เพื่อ​ดู​รายละเอียด​เอฟเฟกต์​ของ​บน​ตัว​เป้าหมาย​ได้​</color></size>​ \n\n​พา​โธส​สีแดง​ เขียว​ ฟ้า​ จะ​สร้าง​ดา​เม​จ​ชนะ​ทาง​เพิ่มขึ้น​ 50%​
30504				1	1	<color=#05f1e6>关卡说明</color>\n\n1.触发孤独绅士在本场战斗中的特殊效果<color=#dc143c>【逆刃】</color>可以使其虚弱。\n2.红、绿、蓝情绪颜色克制伤害额外提高50%	<color=#05f1e6>關卡說明</color>\n\n1.觸發孤獨紳士在本場戰鬥中的特殊效果<color=#dc143c>【逆刃】</color>可以使其虛弱。\n2.紅、綠、藍情緒顏色克制傷害額外提高50%	<color=#05f1e6>Stage Details</color>\n1. Activates the <color=#dc143c>[Reversed Blade]</color> effect of the Lonely Gentleman to weaken it during this battle.\n2. Utilize the advantages of Red, Green, and Blue Pathos to deal a 50% additional DMG.	<color=#05f1e6>ルール</color>\n\n1.戦闘中、ロンリージェントルマンの特殊効果<color=#dc143c>【逆刃】</color>を発動させ、敵を弱体化させる。\n2.有利属性（レッド、グリーン、ブルーのいずれか）で敵に攻撃した場合、与ダメージが追加で50%上昇する。	<color=#05f1e6>스테이지 안내</color>\n\n1.전투 중 미스터래빗의 특수 효과<color=#dc143c>[역날]</color>을 발동시켜 적을 약화시키세요.\n2.레드, 그린, 블루 이모션 역상성 추가 대미지 +50%	<color=#05f1e6>คำอธิบายด่าน</color>\n1.​ใน​สนาม​ต่อสู้​นี้​ ใช้​เอฟเฟกต์​พิเศษ​<color=#dc143c>[ย้อนศร]</color>​ของ​ยอด​สุภาพบุรุษ​จะ​สามารถ​ทำให้​ศัตรู​อ่อนแอ​ลง​\n2.​พา​โธส​สีแดง​ เขียว​ ฟ้า​ จะ​สร้าง​ดา​เม​จ​ชนะ​ทาง​เพิ่มขึ้น​ 50%​
