id	regularReward	regularRewardNum	starRewardId	starRewardNum	fristRewards	fristRewardsNum	rewardID	rewardNum	totalWeight	rewardWeight	raidRewardID	raidRewardNum	currencyID	currencyNum	showItem	showItemNum	showItemTag	status
305040	0	0	0	0	4190004;3000003;4110001	700;600000;50	7137008|7113008|7114008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7137008;7113008;7114008	700;600000;50;2;10;10	3;3;3;2;2;2	1
306010	0	0	0	0	4190001;3000003;4110001	450;350000;20									4190001;3000003;4110001	450;350000;20	3;3;3	1
306020	0	0	0	0	4190001;3000003;4110001	450;350000;20									4190001;3000003;4110001	450;350000;20	3;3;3	1
306030	0	0	0	0	4190001;3000003;4110001	450;350000;20									4190001;3000003;4110001	450;350000;20	3;3;3	1
306040	0	0	0	0	4190004;3000003;4110001	750;700000;50	7121008|7101008|7102008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7121008;7101008;7102008	750;700000;50;2;10;10	3;3;3;2;2;2	1
307010	0	0	0	0	4190001;3000003;4110001	500;400000;20									4190001;3000003;4110001	500;400000;20	3;3;3	1
307020	0	0	0	0	4190001;3000003;4110001	500;400000;20									4190001;3000003;4110001	500;400000;20	3;3;3	1
307030	0	0	0	0	4190001;3000003;4110001	500;400000;20									4190001;3000003;4110001	500;400000;20	3;3;3	1
307040	0	0	0	0	4190004;3000003;4110001	800;800000;50	7102007|7113008|7112008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7102007;7113008;7112008	800;800000;50;2;10;10	3;3;3;2;2;2	1
308010	0	0	0	0	4190001;3000003;4110001	550;450000;20									4190001;3000003;4110001	550;450000;20	3;3;3	1
308020	0	0	0	0	4190001;3000003;4110001	550;450000;20									4190001;3000003;4110001	550;450000;20	3;3;3	1
308030	0	0	0	0	4190001;3000003;4110001	550;450000;20									4190001;3000003;4110001	550;450000;20	3;3;3	1
308040	0	0	0	0	4190004;3000003;4110001	850;900000;50	7103021|7106008|7114008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7103021;7106008;7114008	850;900000;50;2;10;10	3;3;3;2;2;2	1
309010	0	0	0	0	4190001;3000003;4110001	600;500000;20									4190001;3000003;4110001	600;500000;20	3;3;3	1
309020	0	0	0	0	4190001;3000003;4110001	600;500000;20									4190001;3000003;4110001	600;500000;20	3;3;3	1
309030	0	0	0	0	4190001;3000003;4110001	600;500000;20									4190001;3000003;4110001	600;500000;20	3;3;3	1
309040	0	0	0	0	4190004;3000003;4110001	900;1000000;50	7101013|7106010|7113008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7101013;7106010;7113008	900;1000000;50;2;10;10	3;3;3;2;2;2	1
310010	0	0	0	0	4190001;3000003;4110001	650;550000;20									4190001;3000003;4110001	650;550000;20	3;3;3	1
310020	0	0	0	0	4190001;3000003;4110001	650;550000;20									4190001;3000003;4110001	650;550000;20	3;3;3	1
310030	0	0	0	0	4190001;3000003;4110001	650;550000;20									4190001;3000003;4110001	650;550000;20	3;3;3	1
310040	0	0	0	0	4190004;3000003;4110001	950;1100000;50	7104001|7101008|7103002	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7104001;7101008;7103002	950;1100000;50;2;10;10	3;3;3;2;2;2	1
311010	0	0	0	0	4190001;3000003;4110001	700;600000;20									4190001;3000003;4110001	700;600000;20	3;3;3	1
311020	0	0	0	0	4190001;3000003;4110001	700;600000;20									4190001;3000003;4110001	700;600000;20	3;3;3	1
311030	0	0	0	0	4190001;3000003;4110001	700;600000;20									4190001;3000003;4110001	700;600000;20	3;3;3	1
311040	0	0	0	0	4190004;3000003;4110001	1000;1200000;50	7108001|7106010|7102008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7108001;7106010;7102008	1000;1200000;50;2;10;10	3;3;3;2;2;2	1
312010	0	0	0	0	4190001;3000003;4110001	750;650000;20									4190001;3000003;4110001	750;650000;20	3;3;3	1
312020	0	0	0	0	4190001;3000003;4110001	750;650000;20									4190001;3000003;4110001	750;650000;20	3;3;3	1
312030	0	0	0	0	4190001;3000003;4110001	750;650000;20									4190001;3000003;4110001	750;650000;20	3;3;3	1
312040	0	0	0	0	4190004;3000003;4110001	1050;1300000;50	7106002|7106008|7112008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7106002;7106008;7112008	1050;1300000;50;2;10;10	3;3;3;2;2;2	1
313010	0	0	0	0	4190001;3000003;4110001	800;700000;20									4190001;3000003;4110001	800;700000;20	3;3;3	1
313020	0	0	0	0	4190001;3000003;4110001	800;700000;20									4190001;3000003;4110001	800;700000;20	3;3;3	1
313030	0	0	0	0	4190001;3000003;4110001	800;700000;20									4190001;3000003;4110001	800;700000;20	3;3;3	1
313040	0	0	0	0	4190004;3000003;4110001	1100;1400000;50	7109008|7108004|7106010	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7109008;7108004;7106010	1100;1400000;50;2;10;10	3;3;3;2;2;2	1
314010	0	0	0	0	4190001;3000003;4110001	850;750000;20									4190001;3000003;4110001	850;750000;20	3;3;3	1
314020	0	0	0	0	4190001;3000003;4110001	850;750000;20									4190001;3000003;4110001	850;750000;20	3;3;3	1
314030	0	0	0	0	4190001;3000003;4110001	850;750000;20									4190001;3000003;4110001	850;750000;20	3;3;3	1
314040	0	0	0	0	4190004;3000003;4110001	1150;1500000;50	7121008|7113008|7114008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7121008;7113008;7114008	1150;1500000;50;2;10;10	3;3;3;2;2;2	1
315010	0	0	0	0	4190001;3000003;4110001	900;800000;20									4190001;3000003;4110001	900;800000;20	3;3;3	1
315020	0	0	0	0	4190001;3000003;4110001	900;800000;20									4190001;3000003;4110001	900;800000;20	3;3;3	1
315030	0	0	0	0	4190001;3000003;4110001	900;800000;20									4190001;3000003;4110001	900;800000;20	3;3;3	1
315040	0	0	0	0	4190004;3000003;4110001	1200;1600000;50	7103021|7101008|7102008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7103021;7101008;7102008	1200;1600000;50;2;10;10	3;3;3;2;2;2	1
316010	0	0	0	0	4190001;3000003;4110001	950;850000;20									4190001;3000003;4110001	950;850000;20	3;3;3	1
316020	0	0	0	0	4190001;3000003;4110001	950;850000;20									4190001;3000003;4110001	950;850000;20	3;3;3	1
316030	0	0	0	0	4190001;3000003;4110001	950;850000;20									4190001;3000003;4110001	950;850000;20	3;3;3	1
316040	0	0	0	0	4190004;3000003;4110001	1250;1700000;50	7117008|7106010|7103008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7117008;7106008;7103008	1250;1700000;50;2;10;10	3;3;3;2;2;2	1
