id	character	rankId	itemId	itemAmount	questId	voice	news	status
101048	101	48	502001	1		0	0	1
102048	102	48	502002	1		0	0	1
103048	103	48	502003	1		0	0	1
104048	104	48	502004	1		0	0	1
101049	101	49	502001	1		0	0	1
102049	102	49	502002	1		0	0	1
103049	103	49	502003	1		0	0	1
104049	104	49	502004	1		0	0	1
101050	101	50	502001	1		0	0	1
102050	102	50	502002	1		0	0	1
103050	103	50	502003	1		0	0	1
104050	104	50	502004	1		0	0	1
