id	activityId	placeId	unlockRepaintingQuestId	type	unlockLevel	exp	cardExp	battleRules	proposalLevel	costItem	costNum	costNumLose	sceneId	rounds	petLineup	roleNun	repeatButton	powerRatioTeamID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
50020303	1	103		0	50020302			1	70000	9000010	20	0	15003	6	0	4	0	21	1	3-3 恐惧之力	3-3 恐懼之力	3-3 The Power of Fear	3-2 恐怖の力	3-3 공포	3-3 พลังแห่งความกลัว	情绪崩溃的帮派成员导致周围物品开始傀化，为了邮局的安全，众人前往空旷之地展开战斗。	情緒崩潰的幫派成員導致周圍物品開始傀化，為了郵局的安全，眾人前往空曠之地展開戰鬥。	The emotional breakdown of the gang member has triggered the spread of Affliction. For the safety of the post office, everyone heads to the open field to engage in battle.	ギャングのメンバーの精神崩壊により、周囲の道具が傀化し始める。郵便局が破壊されないよう、一行は空地に移動して戦闘を繰り広げる。	이모션이 붕괴된 멤버는 주변 사물들을 퍼펫화 시켰고, 우체국의 안전을 이유로 모두는 넓은 공터에서 전투를 벌인다.	สมาชิก​แก๊ง​ที่​พา​โธส​พังทลาย​ทำให้​สิ่งของ​รอบตัว​เริ่ม​กลายเป็น​หุ่นเชิด​ เพื่อ​ความปลอดภัย​ของ​ที่ทำการไปรษณีย์​ ทุกคน​จึง​มุ่งหน้า​ไป​ยัง​ที่โล่ง​เพื่อ​เริ่ม​การต่อสู้​
50020304	1	103		1	50020303														1	3-4 破绽百出	3-4 破綻百出	3-4 Rife with Flaws	3-4 隙だらけ	3-4 허점투성이	3-4 เผยร่องรอย	在希尔达的刻意暗示下，拿到了属于你的诅咒信……	在希爾達的刻意暗示下，拿到了屬於你的詛咒信……	Following Hilda's deliberate hint, you receive a cursed letter of your own.	ヒルダの意図的な暗示を受けて、あなたは自分宛の呪いの手紙を受け取った。	힐다의 각고의 노력 끝에, 마침내 당신에게 온 저주의 편지를 손에 넣는데......	ด้วย​คำ​บอกใบ้​ของ​ฮิ​ลดา​ คุณ​ได้รับ​จดหมาย​คำสาป​ที่​เป็น​ของ​คุณ​...​
50020305	1	103		1	50020304														1	3-5 臣服	3-5 臣服	3-5 Submission	3-5 服従	3-5 신복	3-5 จำนน	凭借着丝卡蕾特的身份，在由圣教团管辖的邮局中进行的调查行动变得如鱼得水。最终顺利得到了疑似猫毛主人的影像。	憑藉著絲卡蕾特的身份，在由聖教團管轄的郵局中進行的調查行動變得如魚得水。最終順利得到了疑似貓毛主人的影像。	Scarlett's influence smooths the investigation at the Holy Order's post office, uncovering footage that could unlock the cat hair enigma.	スカーレットのおかげで、聖教団管轄の郵便局での調査は順調に進み、最終的には猫の毛の持ち主と思われる人物の映像を入手することができた。	스칼렛의 신분으로 홀리니스 교단 관할 우체국에서 진행한 조사 작전은 꽤 순조로웠다. 결국 고양이 털의 주인으로 추정되는 인물의 사진을 무사히 입수한다.	ด้วย​ตัวตน​ของ​สการ์เลตต์​ การสืบสวน​ใน​ไปรษณีย์​ของ​ศาสนจักร​จึง​ราบรื่น​ สุดท้าย​จึง​ได้​ภาพ​ของ​ผู้ต้องสงสัย​ที่​น่าจะ​เป็นเจ้าของ​ขนแมว​
50020306	1	103	50030301	1	50020305														1	3-6 新的线索	3-6 新的線索	3-6 Fresh Leads	3-6 新たな手がかり	3-6 새로운 단서	3-6 เบาะแสใหม่	与达利娅和安雅交流线索，获取了监控中那位猫族的资料，得以告别旧城区展开下一阶段的调查……	與達利婭和安雅交流線索，獲取了監控中那位元貓族的資料，得以告別舊城區展開下一階段的調查……	Sharing intel with Dahlia and Anja yields information about the Felinian from the surveillance footage, allowing the team to leave Oldtown and embark on the next stage of the investigation...	ダリアとアンヤと手がかりを交換し、監視カメラに映っていたフェリニアンスの情報を入手した。これにより、オルドタウン・リーズダムを離れ、次の段階の調査に着手できる……	달리아, 아냐와 단서를 주고받으며 CCTV에 찍힌 캣족의 자료를 입수한다. 이제 구시가지에서 나와 다음 조사를 진행할 차례인데......	หลัง​แลกเปลี่ยน​เบาะแส​กับ​ดา​เลีย​และ​อัน​ยา​ จึง​ได้​ข้อมูล​ของ​เผ่า​แมว​ใน​กล้องวงจรปิด​ ทำการ​บอกลา​เขตเมือง​โบราณ​และ​สืบสวน​ขั้น​ต่อไป​...​
50020401	1	104		1	50020306														1	4-1 优雅的表象	4-1 優雅的表像	4-1 An Elegant Facade	4-1 優雅という表象	4-1 우아함의 상징	4-1 ผิวนอกสง่างาม	众人成功找到了多洛茜的所在地，可她本人似乎远比外表所表现的更复杂……	眾人成功找到了多洛茜的所在地，可她本人似乎遠比外表所表現的更複雜……	The team tracks down Dorothy, only to find she's more enigmatic than meets the eye...	一行は無事にドロシーの所在を突き止めたが、彼女本人は見た目以上に複雑な人物のようだ。	모두는 도로시가 있는 곳을 찾는다. 하지만 도로시는 보기보다 훨씬 복잡한 상황인 것 같은데......	ทุกคน​พบ​ที่อยู่​ของ​โด​โร​ธี​จนได้​ แต่​ตัว​เธอ​ดูจะ​ซับซ้อน​กว่า​ที่​แสดง​ออกมา​ภายนอก​มา​ก.​..​
50020402	1	104		2	50020401			1	50000	9000010	20	0	15005	6	300004	3	0	21	1	4-2 绚烂危机	4-2 絢爛危機	4-2 A Dazzling Crisis	4-2 煌びやかな危機	4-2 현란한 위기	4-2 วิกฤตเจิดจรัส	华丽可爱的节庆彩球的包装下，危险悄然逼近……	華麗可愛的節慶彩球的包裝下，危險悄然逼近……	Beneath the surface of the beautiful and festive celebratory ornaments, danger lurks unseen...	華やかで可愛らしいクリスマスボールの裏に、危険が静かに迫っている…。	귀엽고 화려한 페스티벌 컬러볼을 챙기자, 위험이 슬며시 다가오는데......	ภายใต้​ลูกบอล​ประดับ​เทศกาล​ที่​สวยงาม​น่ารัก​ อันตราย​ค่อยๆ​ คืบคลาน​เข้ามา​...​
50020403	1	104		1	50020402														1	4-3 蔷薇之邀	4-3 薔薇之邀	4-3 An Invitation from the Rose	4-3 バラのお誘い	4-3 장미의 초대	4-3 คำเชิญจากกุหลาบ	这位似乎知道很多事情的多洛茜，主动邀请众人进入她的秘密花园……	這位似乎知道很多事情的多洛茜，主動邀請眾人進入她的秘密花園……	Dorothy, seemingly privy to a great deal of information, extends a personal invitation to her secret garden...	多くのことを知っているようなドロシーは、自ら進んで一行を彼女の秘密の庭へ招き入れる……	이 사람은 거의 모든 사실을 알고 있는 도로시라는 사람이었다. 도로시는 모두를 그녀의 비밀 화원으로 초대하는데......	โด​โร​ธี​ที่​ดูเหมือน​จะ​รู้เรื่องราว​มากมาย​ เชิญ​ทุกคน​เข้าสู่​สวน​ลับ​ของ​เธอ​เอง​...​
50020404	1	104		1	50020403														1	4-4 同路人	4-4 同路人	4-4 Travelers on the Same Path	4-4 仲間	4-4 동행인	4-4 ผู้ร่วมทาง	在多洛茜的花园内，竟意外遇到了同样来试探多洛茜的南弥生……	在多洛茜的花園內，竟意外遇到了同樣來試探多洛茜的南彌生……	In Dorothy's garden, the team stumbles upon Minami, another seeker of clues...	ドロシーの庭で、意外にも同じくドロシーを探りに来ていた南弥生に出くわした。	도로시의 화원에 들어서자, 도로시를 탐색하고자 이곳에 온 미나미를 맞닥뜨리게 되고...	ใน​สวน​ของ​โด​โร​ธี​ ได้​บังเอิญ​พบ​มิ​นา​มิ​ที่มา​สืบ​เรื่อง​ของ​โด​โร​ธี​เช่นกัน​...​
50020405	1	104		1	50020404														1	4-5 暗潮涌动	4-5 暗潮湧動	4-5 Hidden Currents	4-5 見え隠れするもの	4-5 흑막의 움직임	4-5 คลื่นใต้น้ำ	言语的交锋与刀光剑影同样惊险，多洛茜竟然直接点明了众人来此的目的……	言語的交鋒與刀光劍影同樣驚險，多洛茜竟然直接點明了眾人來此的目的……	Dorothy's sharp wit turns the conversation into a verbal duel, skillfully revealing the team's true intentions...	言葉の衝突は熾烈な戦いのように火花を散らしている。なんとドロシーは一行がここに来た目的を直接指摘した……	대화는 첨예하게 대립한다. 도로시는 뜻밖에 그녀의 입으로 모두가 여기에 온 목적을 밝히게 되고......	การปะทะ​ทาง​วาจา​ตึงเครียด​ไม่​แพ้​การต่อสู้​ด้วย​ดาบ​ โด​โร​ธี​ถึงกับ​เอ่ย​เป้าหมาย​ที่​แท้จริง​ของ​ทุกคน​ออกมา​ตรงๆ​...​
50020406	1	104		1	50020405														1	4-6 光影游戏	4-6 光影遊戲	4-6 A Play of Light and Shadow	4-6 光と影のゲーム	4-6 그림자 놀이	4-6 เกมแสงเงา	在希尔达直白的注视下，几人暗中推进调查进度……	在希爾達直白的注視下，幾人暗中推進調查進度……	Under Hilda's perceptive gaze, the team discreetly advances the investigation...	ヒルダが監視する中、一行は密かに調査を進めていた。	힐다의 뚫어지는 시선에 몇몇은 암암리에 조사를 진행하기로 하고......	ภายใต้​สายตา​ตรงไปตรงมา​ของ​ฮิ​ลดา​ พวกเขา​ต่าง​แอบ​เร่ง​การสืบสวน​อย่าง​ลับ​ๆ​...​
50020407	1	104		1	50020406														1	4-7 「梦游」	4-7 「夢遊」	4-7 Sleepwalking	4-7 「夢遊病」	4-7 「몽유병」	4-7 "ละเมอ"	从伊德几人的描述中得知，所谓的「梦游」其实是一种精神控制……！	從伊德幾人的描述中得知，所謂的「夢游」其實是一種精神控制……！	Information from Idego and the others reveals that the so-called "sleepwalking" is actually a form of mind control!	イードたちの説明から、いわゆる「夢遊病」とは一種のマインドコントロールだということが分かった！	에이드쪽 몇 명의 진술로부터 「몽유병」현상은 일종의 마인드 컨트롤이라는 걸 알아내게 되고......!	จาก​คำบอกเล่า​ของ​เอ็ด​และ​คนอื่น​ ที่แท้​การ​ "​ละเมอ​"​ คือ​การควบคุม​จิตใจ​อย่างหนึ่ง​...!​
