id	activityId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	type	isPermanent	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
10	1	2002	50030501	1	9000013	200			1		1	通关复盘记录的“风蚀暗堡”	通關複盤記錄的“風蝕暗堡”	Complete the Reenactment: Eolus' Keep	事件記録「風蝕の闇城」をクリアする	기록복기의 '풍화된 벙커' 클리어	ผ่าน​ด่าน​ “​บังเกอร์​ลม​กร่อน​”​ ของ​บันทึก​ทบทวน​
11	1	2003		1	9000013	300			1		1	参加一次狂想再临战斗	參加一次狂想再臨戰鬥	Engage in a Fantasia Revival battle.	狂想再現に1回参加する	망상재림 전투 1회 참가	เข้าร่วม​การต่อสู้​เพ้อฝัน​อีก​ครา​ 1​ ครั้ง​
12	2	2001	50021108	1	9000082	250			1		1	在开始营业中通关故事“凯菲尔的排班记录”	在開始營業中通關故事“凱菲爾的排班記錄”	Complete the "Garfire's Scheduling Record" story in Open for Business.	「営業開始・ガーフィールのシフト表」をクリアする	[영업 시작] 중 "가르피엘의 근무 기록" 스토리 클리어	ผ่าน​เนื้อเรื่อง​ "​ตาราง​งาน​ของ​คา​เฟียร์​"​ ใน​เริ่ม​เปิดร้าน​ลุย​
13	2	2001	50021210	1	9000082	250			1		1	在开始营业中通关故事“黛蕾拉的排班记录”	在開始營業中通關故事“黛蕾拉的排班記錄”	Complete the "Delilah's Scheduling Record" story in Open for Business.	「営業開始・デリラのシフト表」をクリアする	[영업 시작] 중 "딜라일라의 근무 기록" 스토리 클리어	ผ่าน​เนื้อเรื่อง​ "​ตาราง​งาน​ของ​ได​เล​ล่า​"​ ใน​เริ่ม​เปิดร้าน​ลุย​
14	2	2001	50021308	1	9000082	250			1		1	在开始营业中通关故事“莉莉的排班记录”	在開始營業中通關故事“莉莉的排班記錄”	Complete the "Lily's Scheduling Record" story in Open for Business.	「営業開始・リリーのシフト表」をクリアする	[영업 시작] 중 "릴리의 근무 기록" 스토리 클리어	ผ่าน​เนื้อเรื่อง​ "​ตาราง​งาน​ของ​ลิ​ลี่​"​ ใน​เริ่ม​เปิดร้าน​ลุย​
15	2	2001	50021402	1	9000082	250			1		1	在开始营业中通关故事“后日谈”	在開始營業中通關故事“後日談”	Complete the "After Story" in Open for Business.	「営業開始・後日談」をクリアする	[영업 시작] 중 "후일담" 스토리 클리어	ผ่าน​เนื้อเรื่อง​ "​เรื่องราว​หลังจากนั้น​"​ ใน​เริ่ม​เปิดร้าน​ลุย​
16	2	2002	50031101	1	9000082	250			1		1	在外勤记录中通关“凯菲尔的排班记录”	在外勤記錄中通關“凱菲爾的排班記錄”	Complete the "Garfire's Scheduling Record" in Fieldwork Logs.	「外勤記録・ガーフィールのシフト表」をクリアする	[외출 기록] 중 "가르피엘의 근무 기록" 스토리 클리어	ผ่าน​ "​ตาราง​งาน​ของ​คา​เฟียร์​"​ ใน​บันทึก​ภาคสนาม​
17	2	2002	50031201	1	9000082	250			1		1	在外勤记录中通关“黛蕾拉的排班记录”	在外勤記錄中通關“黛蕾拉的排班記錄”	Complete the "Delilah's Scheduling Record" in Fieldwork Logs.	「外勤記録・デリラのシフト表」をクリアする	[외출 기록] 중 "딜라일라의 근무 기록" 스토리 클리어	ผ่าน​ "​ตาราง​งาน​ของ​ได​เล​ล่า​"​ ใน​บันทึก​ภาคสนาม​
18	2	2002	50031301	1	9000082	250			1		1	在外勤记录中通关“莉莉的排班记录”	在外勤記錄中通關“莉莉的排班記錄”	Complete the "Lily's Scheduling Record" in Fieldwork Logs.	「外勤記録・リリーのシフト表」をクリアする	[외출 기록] 중 "릴리의 근무 기록" 스토리 클리어	ผ่าน​ "​ตาราง​งาน​ของ​ลิ​ลี่​"​ ใน​บันทึก​ภาคสนาม​
19	2	2002	50031401	1	9000082	250			1		1	在外勤记录中通关“后日谈”	在外勤記錄中通關“後日談”	Complete the "After Story" in Fieldwork Logs.	「外勤記録・後日談」をクリアする	[외출 기록] 중 "후일담" 스토리 클리어	ผ่าน​ "​เรื่องราว​หลังจากนั้น​"​ ใน​บันทึก​ภาคสนาม​
20	2	2003		1	9000082	400			1		1	参与一次暗影对决	參與一次暗影對決	Complete 1 battle in the Shadow Duel.	暗影対決に1回参加する	그림자 대결 1회 참여	เข้าร่วม​ศึก​ใน​เงามืด​ 1​ ครั้ง​
21	2	6	9000082	100	4190001;3000003	500;50000	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
22	2	6	9000082	500	9012011;4105023	200;200	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
23	2	6	9000082	1500	4190001	500	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
24	2	6	9000082	3000	9012011;4105011	400;200	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
25	2	6	9000082	6000	4190001	1000	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
26	2	6	9000082	9000	4105012;4105013	200;100	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
27	2	6	9000082	12000	9012011;4105013	600;100	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
28	2	6	9000082	15000	4190001;4105023	1000;300	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
29	2	6	9000082	18000	4105011	300	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
30	2	6	9000082	21000	9012011;4105012	800;300	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
31	2	6	9000082	24000	4190001;4105013	2000;100	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
32	2	6	9000082	30000	9012011;4105013	1000;100	2		2		1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
33	2	6	9000082	36000	4190004	1000	2		2	1	1	累计获得鸢尾花币	累計獲得鳶尾花幣	Total Iris Tokens	アヤメコイン累計獲得数	꼬리깃 코인 누적 획득	ได้รับเหรียญดอกไอริส
34	3	2001	50022105	1	9000080	250			1		1	在游玩指南中通关故事“繁华市集”	在遊玩指南中通關故事“繁華市集”	Complete the "Bustling Marketplace" story in the Exploration Guide.	ガイドマップ「市場」をクリアする	플레이 가이드 중 스토리 "번화한 시장" 클리어	ผ่าน​เนื้อเรื่อง​ "​ตลาดนัด​สุด​คึกคัก​"​ ใน​ไกด์​เที่ยวเล่น​
35	3	2001	50022205	1	9000080	250			1		1	在游玩指南中通关故事“主舞台”	在遊玩指南中通關故事“主舞臺”	Complete the "Main Stage" story in the Exploration Guide.	ガイドマップ「メインステージ」をクリアする	플레이 가이드 중 스토리 "메인 무대" 클리어	ผ่าน​เนื้อเรื่อง​ "​เวที​หลัก​"​ ใน​ไกด์​เที่ยวเล่น​
36	3	2001	50022305	1	9000080	250			1		1	在游玩指南中通关故事“室内舞台”	在遊玩指南中通關故事“室內舞臺”	Complete the "Indoor Stage" story in the Exploration Guide.	ガイドマップ「室内ステージ」をクリアする	플레이 가이드 중 스토리 "실내 무대" 클리어	ผ่าน​เนื้อเรื่อง​ "​โรง​ละครใน​ร่ม​"​ ใน​ไกด์​เที่ยวเล่น​
37	3	2001	50022402	1	9000080	250			1		1	在游玩指南中通关故事“狂欢夜”	在遊玩指南中通關故事“狂歡夜”	Complete the "Carnival Night" story in the Exploration Guide.	ガイドマップ「カーニバルナイト」をクリアする	플레이 가이드 중 스토리 "광희의 밤" 클리어	ผ่าน​เนื้อเรื่อง​ "​คืน​สุขสันต์​"​ ใน​ไกด์​เที่ยวเล่น​
38	3	2002	50032101	1	9000080	250			1		1	在场地清理中通关关卡“繁华市集”	在場地清理中通關關卡“繁華市集”	Complete the "Bustling Marketplace" stage in the Site Cleanup.	会場掃除「市場」をクリアする	장소 정리 중 스테이지 "번화한 시장" 클리어	ผ่าน​ด่าน​ "​ตลาดนัด​สุด​คึกคัก​"​ ใน​เก็บกวาด​สถานที่​
39	3	2002	50032201	1	9000080	250			1		1	在场地清理中通关关卡“主舞台”	在場地清理中通關關卡“主舞臺”	Complete the "Main Stage" in the Site Cleanup.	会場掃除「メインステージ」をクリアする	장소 정리 중 스테이지 "메인 무대" 클리어	ผ่าน​ด่าน​ "​เวที​หลัก​"​ ใน​เก็บกวาด​สถานที่​
40	3	2002	50032301	1	9000080	250			1		1	在场地清理中通关关卡“室内舞台”	在場地清理中通關關卡“室內舞臺”	Complete the "Indoor Stage" in the Site Cleanup.	会場掃除「室内ステージ」をクリアする	장소 정리 중 스테이지 "실내 무대" 클리어	ผ่าน​ด่าน​ "​โรง​ละครใน​ร่ม​"​ ใน​เก็บกวาด​สถานที่​
41	3	2002	50032401	1	9000080	250			1		1	在场地清理中通关关卡“狂欢夜”	在場地清理中通關關卡“狂歡夜”	Complete the "Carnival Night" stage in the Site Cleanup.	会場掃除「カーニバルナイト」をクリアする	장소 정리 중 스테이지 "광희의 밤" 클리어	ผ่าน​ด่าน​ "​คืน​สุขสันต์​"​ ใน​เก็บกวาด​สถานที่​
42	3	2003		1	9000080	400			1		1	参加一次演出现场战斗	參加一次演出現場戰鬥	Engage in an Event Venue battle.	「パフォーマンス会場」に1回挑戦する	공연 현장 전투 1회 참여	เข้าร่วม​การต่อสู้​ใน​ "​สถานที่​การแสดง​"​ 1​ ครั้ง​
43	3	6	9000080	100	4190001;3000003	500;50000	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
44	3	6	9000080	500	9012013;4105023	200;200	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
45	3	6	9000080	1500	4190001	500	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
46	3	6	9000080	3000	9012013;4105011	400;200	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
47	3	6	9000080	6000	4190001	1000	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
48	3	6	9000080	9000	4105012;4105013	200;100	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
49	3	6	9000080	12000	9012013;4105013	600;100	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
50	3	6	9000080	15000	4190001;4105023	1000;300	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
51	3	6	9000080	18000	4105011	300	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
52	3	6	9000080	21000	9012013;4105012	800;300	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
53	3	6	9000080	24000	4190001;4105013	2000;100	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
54	3	6	9000080	30000	9012013;4105013	1000;100	2		2		1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
55	3	6	9000080	36000	4190004	1000	2		2	1	1	累计获得活动纪念币	累計獲得活動紀念幣	Acquire Event Tokens in total:	記念コイン累計獲得達成	이벤트 기념 코인 누적 획득	ได้รับ​เหรียญ​ที่ระลึก​กิจกรรม​
56	4	2001	50023104	1	9000084	250			1		1	在当日快讯中通关故事“暮樱赏会”	在當日快訊中通關故事“暮櫻賞會”	Complete the "Sakura Gala" story in Daily Roundup.	ニュース速報「遅桜鑑賞会」をクリアする	당일 속보 중 스토리 "늦벚꽃 감상회" 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​ "​งาน​ชม​ดอก​ซากุระ​ยาม​เย็น​"​ ใน​ "​ข่าวด่วน​ประจำวัน​"​
57	4	2001	50023204	1	9000084	250			1		1	在当日快讯中通关故事“豹豹日报社”	在當日快訊中通關故事“豹豹日報社”	Complete the "Leopard Daily" story in Daily Roundup.	ニュース速報「ヒョウヒョウ日報社」をクリアする	당일 속보 중 스토리 "레오파드 데일리" 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​ "​ต้าวเสือดาว เดลินิวส์"​ ใน​ "​ข่าวด่วน​ประจำวัน​"​
58	4	2001	50023307	1	9000084	250			1		1	在当日快讯中通关故事“樱下夜径”	在當日快訊中通關故事“櫻下夜徑”	Complete the "Nightshade Path" story in Daily Roundup.	ニュース速報「桜の夜道」をクリアする	당일 속보 중 스토리 "벚꽃 아래에서의 밤길" 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​ "​เส้น​ทางใต้​ต้น​ซากุระ​ยามค่ำคืน​"​ ใน​ "​ข่าวด่วน​ประจำวัน​"​
59	4	2001	50023401	1	9000084	250			1		1	在当日快讯中通关故事“野餐日”	在當日快訊中通關故事“野餐日”	Complete the "Picnic in the Park" story in Daily Roundup.	ニュース速報「ピックニックの日」をクリアする	당일 속보 중 스토리 "피크닉 데이" 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​ "​วัน​ปิกนิก​"​ ใน​ "​ข่าวด่วน​ประจำวัน​"​
60	4	2002	50033101	1	9000084	250			1		1	在采访回顾中通关关卡“暮樱赏会”	在採訪回顧中通關關卡“暮櫻賞會”	Complete the "Sakura Gala" story in Interview Recap.	取材メモ「遅桜鑑賞会」をクリアする	인터뷰 회고 중 스테이지 "늦벚꽃 감상회" 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​ "​งาน​ชม​ดอก​ซากุระ​ยาม​เย็น​"​ ใน​ "​ย้อนหลัง​สัมภาษณ์​"​
61	4	2002	50033201	1	9000084	250			1		1	在采访回顾中通关关卡“豹豹日报社”	在採訪回顧中通關關卡“豹豹日報社”	Complete the "Leopard Daily" story in Interview Recap.	取材メモ「ヒョウヒョウ日報社」をクリアする	인터뷰 회고 중 스테이지 "레오파드 데일리" 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​ "​ต้าวเสือดาว เดลินิวส์"​ ใน​ "​ย้อนหลัง​สัมภาษณ์​"​
62	4	2002	50033301	1	9000084	250			1		1	在采访回顾中通关关卡“樱下夜径”	在採訪回顧中通關關卡“櫻下夜徑”	Complete the "Nightshade Path" story in Interview Recap.	取材メモ「桜の夜道」をクリアする	인터뷰 회고 중 스테이지 "벚꽃 아래에서의 밤길" 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​ "​เส้น​ทางใต้​ต้น​ซากุระ​ยามค่ำคืน​"​ ใน​ "​ย้อนหลัง​สัมภาษณ์​"​
63	4	2002	50033401	1	9000084	250			1		1	在采访回顾中通关关卡“野餐日”	在採訪回顧中通關關卡“野餐日”	Complete the "Picnic in the Park" story in Interview Recap.	取材メモ「ピックニックの日」をクリアする	인터뷰 회고 중 스테이지 "피크닉 데이" 클리어	ผ่าน​ด่าน​เนื้อเรื่อง​ "​วัน​ปิกนิก​"​ ใน​ "​ย้อนหลัง​สัมภาษณ์​"​
64	4	2003		1	9000084	400			1		1	参加一次特约专访关卡	參加一次特約專訪關卡	Engage in a Special Interview stage.	独占インタビューを1回クリアする	특별 탐방 스테이지 1회 참여	เข้าร่วม​ด่าน​ "​สัมภาษณ์​แขก​พิเศษ​"​ 1​ ครั้ง​
65	4	6	9000084	100	4190001;3000003	500;50000	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
66	4	6	9000084	500	9012017;4105023	200;200	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
67	4	6	9000084	1500	4190001	500	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
68	4	6	9000084	3000	9012017;4105011	400;200	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
69	4	6	9000084	6000	4190001	1000	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
70	4	6	9000084	9000	4105012;4105013	200;100	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
71	4	6	9000084	12000	9012017;4105013	600;100	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
72	4	6	9000084	15000	4190001;4105023	1000;300	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
73	4	6	9000084	18000	4105011	300	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
74	4	6	9000084	21000	9012017;4105012	800;300	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
75	4	6	9000084	24000	4190001;4105013	2000;100	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
76	4	6	9000084	30000	9012017;4105013	1000;100	2		2		1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
77	4	6	9000084	36000	4190004	1000	2		2	1	1	累计获得晚樱币	累計獲得晚櫻幣	Sakura Tokens Obtained	遅桜コイン累計獲得枚数	늦벚꽃 코인 누적 획득	ได้รับ​เหรียญ​ซากุระ​ย่ำค่ำ​
78	5	2001	50024105	1	9000086	250			1		1	在我们的故事中通关“情绪干预中心”	在我們的故事中通關“情緒干預中心”	Complete the "Emotion Remedy Center" stage in Our Story.	私たちの物語「ERC」をクリアする	우리의 이야기 중 '이모션 컨트롤 센터' 클리어	ผ่านด่าน "ศูนย์เยียวยาพาโธซิส" ใน "เรื่องราวของพวกเรา"
79	5	2001	50024205	1	9000086	250			1		1	在我们的故事中通关“流浪猫之家”	在我們的故事中通關“流浪貓之家”	Complete the "Stray Cat Shelter" stage in Our Story.	私たちの物語「野良猫の家」をクリアする	우리의 이야기 중 '낭만 고양이 하우스' 클리어	ผ่านด่าน "บ้านแมวจร" ใน "เรื่องราวของพวกเรา"
80	5	2001	50024305	1	9000086	250			1		1	在我们的故事中通关“废弃工厂”	在我們的故事中通關“廢棄工廠”	Complete the "Derelict Factory" stage in Our Story.	私たちの物語「廃工場」をクリアする	우리의 이야기 중 '폐공장' 클리어	ผ่านด่าน "โรงงานร้าง" ใน "เรื่องราวของพวกเรา"
81	5	2001	50024402	1	9000086	250			1		1	在我们的故事中通关“一家人”	在我們的故事中通關“一家人”	Complete the "Family Bond" stage in Our Story.	私たちの物語「家族」をクリアする	우리의 이야기 중 '가족' 클리어	ผ่านด่าน "คนบ้านเดียวกัน" ใน "เรื่องราวของพวกเรา"
82	5	2002	50034101	1	9000086	250			1		1	在周边巡查中通关“情绪干预中心”	在周邊巡查中通關“情緒干預中心”	Complete the "Emotion Remedy Center" stage in the Neighborhood Patrol.	周辺巡回「ERC」をクリアする	주변 순찰 중 '이모션 컨트롤 센터' 클리어	ผ่านด่าน "ศูนย์เยียวยาพาโธซิส" ใน "ตรวจตราโดยรอบ"
83	5	2002	50034201	1	9000086	250			1		1	在周边巡查中通关“流浪猫之家”	在周邊巡查中通關“流浪貓之家”	Complete the "Stray Cat Shelter" stage in the Neighborhood Patrol.	周辺巡回「野良猫の家」をクリアする	주변 순찰 중 '낭만 고양이 하우스' 클리어	ผ่านด่าน "บ้านแมวจร" ใน "ตรวจตราโดยรอบ"
84	5	2002	50034301	1	9000086	250			1		1	在周边巡查中通关“废弃工厂”	在周邊巡查中通關“廢棄工廠”	Complete the "Derelict Factory" stage in the Neighborhood Patrol.	周辺巡回「廃工場」をクリアする	주변 순찰 중 '폐공장' 클리어	ผ่านด่าน "โรงงานร้าง" ใน "ตรวจตราโดยรอบ"
85	5	2002	50034401	1	9000086	250			1		1	在周边巡查中通关“一家人”	在周邊巡查中通關“一家人”	Complete the "Family Bond" stage in the Neighborhood Patrol.	周辺巡回「家族」をクリアする	주변 순찰 중 '가족' 클리어	ผ่านด่าน "คนบ้านเดียวกัน" ใน "ตรวจตราโดยรอบ"
86	5	2003		1	9000086	400			1		1	参加一次清理进程关卡	參加一次清理進程關卡	Engage in a Cleanup Process battle.	「粛清進捗」を1回クリアする	청소 절차 스테이지 1회 참여	เข้าร่วมด่าน "เริ่มเก็บกวาด" 1 ครั้ง
