id	activityId	unlockNum	time	date	picture1	picture2	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
404	4	50023307		259200	203:activity_cherry_letter_location_4_lock	203:activity_cherry_letter_location_4_unlock	1	野餐日	野餐日	Picnic in the Park	ピックニックの日	피크닉 데이	วันปิกนิก
501	5			0	204:activity_wandering_letter_location_1_lock	204:activity_wandering_letter_location_1_unlock	1	情绪干预中心	情緒干預中心	Emotion Remedy Center	エモーションリメディセンター	이모션 컨트롤 센터	ศูนย์เยียวยาพาโธซิส
502	5	50024105		86400	204:activity_wandering_letter_location_2_lock	204:activity_wandering_letter_location_2_unlock	1	流浪猫之家	流浪貓之家	Stray Cat Shelter	野良猫の家	낭만 고양이 하우스	บ้านแมวจร
503	5	50024205		172800	204:activity_wandering_letter_location_3_lock	204:activity_wandering_letter_location_3_unlock	1	废弃工厂	廢棄工廠	Derelict Factory	廃工場	폐공장 지대	โรงงานร้าง
504	5	50024305		259200	204:activity_wandering_letter_location_4_lock	204:activity_wandering_letter_location_4_unlock	1	一家人	一家人	Family Bond	家族	가족	คนบ้านเดียวกัน
601	6			0	205:activity_fireworks_letter_location_1_lock	205:activity_fireworks_letter_location_1_unlock	1	出游香山岛	出遊香山島	To Fragrance Island	香山島への旅	향산도 여행	ออกสำรวจเกาะ
602	6	50025105		0	205:activity_fireworks_letter_location_2_lock	205:activity_fireworks_letter_location_2_unlock	1	庆典之夜	慶典之夜	Night of Celebration	祝典の夜	축제의 밤	คืนเฉลิมฉลอง
603	6	50025204		0	205:activity_fireworks_letter_location_3_lock	205:activity_fireworks_letter_location_3_unlock	1	无尽的演出	無盡的演出	Never-ending Show	終わらない祭り	끝없는 공연	การแสดงไร้สิ้นสุด
604	6	50025305		0	205:activity_fireworks_letter_location_4_lock	205:activity_fireworks_letter_location_4_unlock	1	心愿绽放之夜	心願綻放之夜	Wish-Blooming Night	願いが叶う夜	소원이 피어나는 밤	คืนที่คำอธิษฐานผลิบาน
701	7			0	210:activity_flower_letter_location_1_lock	210:activity_flower_letter_location_1_unlock	1	杜兰达尔酒店	杜蘭達爾酒店	Durandal Hotel	デュランダルホテル	뒤랑달 호텔	โรงแรมดูแรนดัล
702	7	50026106		86400	210:activity_flower_letter_location_2_lock	210:activity_flower_letter_location_2_unlock	1	希里诺斯大使馆	希里諾斯大使館	Syrinos Embassy	シリノス大使館	히리노스 대사관	สถานทูตซีรีนอส
703	7	50026206		172800	210:activity_flower_letter_location_3_lock	210:activity_flower_letter_location_3_unlock	1	厄德堡	厄德堡	Erdburg	エルドブルク	에르드부르크	แอร์ดบวร์ก
801	8			0	213:activity_train_letter_location_1_lock	213:activity_train_letter_location_1_unlock	1	19:00~21:00	19:00~21:00	19:00~21:00	19:00~21:00	19:00~21:00	
802	8	50027109		86400	213:activity_train_letter_location_2_lock	213:activity_train_letter_location_2_unlock	1	21:00~23:00	21:00~23:00	21:00~23:00	21:00~23:00	21:00~23:00	
803	8	50027209		172800	213:activity_train_letter_location_3_lock	213:activity_train_letter_location_3_unlock	1	23:00~	23:00~	23:00~	23:00~	23:00~	
