id	activity	taskQuality	weight	taskContentType	taskContentId1	taskContentId2	taskContenNum	baseReward	baseNum	exceedTask	exceedTaskNum	exceedReward	exceedNum	status
20	3	2	100	513	800531	3	1	419001;900203;413001	26;3;8	4;5;6	1;1;1	900203,413001;900203,413001;900203,413001	2,2;4,4;7,6	1
21	3	2	100	513	800531	4	1	419001;900203;412001	29;5;12	5;6	1;1	900203,412001;900203,412001	2,3;5,5	1
22	3	2	100	513	800531	4	1	419001;900203;413001	29;5;12	5;6	1;1	900203,413001;900203,413001	2,3;5,5	1
23	3	2	100	513	800531	5	1	419001;900203;412001	32;7;16	6	1	900203,412001	3,4	1
24	3	2	100	513	800531	5	1	419001;900203;413001	32;7;16	6	1	900203,413001	3,4	1
25	3	2	100	513	800532	2	1	419001;900203;412001	23;2;5	3;4;5;6	1;1;1;1	900203,412001;900203,412001;900203,412001;900203,412001	1,1;3,3;5,5;8,8	1
26	3	2	100	513	800532	2	1	419001;900203;413001	23;2;5	3;4;5;6	1;1;1;1	900203,413001;900203,413001;900203,413001;900203,412001	1,1;3,3;5,5;8,8	1
27	3	2	100	513	800532	3	1	419001;900203;412001	26;3;8	4;5;6	1;1;1	900203,412001;900203,412001;900203,412001	2,2;4,4;7,6	1
28	3	2	100	513	800532	3	1	419001;900203;413001	26;3;8	4;5;6	1;1;1	900203,413001;900203,413001;900203,413001	2,2;4,4;7,6	1
29	3	2	100	513	800532	4	1	419001;900203;412001	29;5;12	5;6	1;1	900203,412001;900203,412001	2,3;5,5	1
30	3	2	100	513	800532	4	1	419001;900203;413001	29;5;12	5;6	1;1	900203,413001;900203,413001	2,3;5,5	1
31	3	2	100	513	800532	5	1	419001;900203;412001	32;7;16	6	1	900203,412001	3,4	1
32	3	2	100	513	800532	5	1	419001;900203;413001	32;7;16	6	1	900203,413001	3,4	1
33	3	3	100	513	800541	2	1	419001;900203;412001	26;2;8	3;4;5;6	1;1;1;1	900203,412001;900203,412001;900203,412001;900203,412001	1,1;3,3;5,5;8,8	1
34	3	3	100	513	800541	2	1	419001;900203;413001	26;2;8	3;4;5;6	1;1;1;1	900203,413001;900203,413001;900203,413001;900203,412001	1,1;3,3;5,5;8,8	1
35	3	3	100	513	800541	3	1	419001;900203;412001	29;3;12	4;5;6	1;1;1	900203,412001;900203,412001;900203,412001	2,2;4,4;7,6	1
36	3	3	100	513	800541	3	1	419001;900203;413001	29;3;12	4;5;6	1;1;1	900203,413001;900203,413001;900203,413001	2,2;4,4;7,6	1
37	3	3	100	513	800541	4	1	419001;900203;412001	32;5;16	5;6	1;1	900203,412001;900203,412001	2,3;5,5	1
38	3	3	100	513	800541	4	1	419001;900203;413001	32;5;16	5;6	1;1	900203,413001;900203,413001	2,3;5,5	1
39	3	3	100	513	800541	5	1	419001;900203;412001	35;7;20	6	1	900203,412001	3,4	1
40	3	3	100	513	800541	5	1	419001;900203;413001	35;7;20	6	1	900203,413001	3,4	1
41	3	3	100	513	800542	2	1	419001;900203;412001	26;2;8	3;4;5;6	1;1;1;1	900203,412001;900203,412001;900203,412001;900203,412001	1,1;3,3;5,5;8,8	1
42	3	3	100	513	800542	2	1	419001;900203;413001	26;2;8	3;4;5;6	1;1;1;1	900203,413001;900203,413001;900203,413001;900203,412001	1,1;3,3;5,5;8,8	1
43	3	3	100	513	800542	3	1	419001;900203;412001	29;3;12	4;5;6	1;1;1	900203,412001;900203,412001;900203,412001	2,2;4,4;7,6	1
44	3	3	100	513	800542	3	1	419001;900203;413001	29;3;12	4;5;6	1;1;1	900203,413001;900203,413001;900203,413001	2,2;4,4;7,6	1
45	3	3	100	513	800542	4	1	419001;900203;412001	32;5;16	5;6	1;1	900203,412001;900203,412001	2,3;5,5	1
46	3	3	100	513	800542	4	1	419001;900203;413001	32;5;16	5;6	1;1	900203,413001;900203,413001	2,3;5,5	1
47	3	3	100	513	800542	5	1	419001;900203;412001	35;7;20	6	1	900203,412001	3,4	1
48	3	3	100	513	800542	5	1	419001;900203;413001	35;7;20	6	1	900203,413001	3,4	1
49	3	4	100	513	800551	2	1	419001;900203;412001	29;2;12	3;4;5;6	1;1;1;1	900203,412001;900203,412001;900203,412001;900203,412001	1,1;3,3;5,5;8,8	1
50	3	4	100	513	800551	2	1	419001;900203;413001	29;2;12	3;4;5;6	1;1;1;1	900203,413001;900203,413001;900203,413001;900203,412001	1,1;3,3;5,5;8,8	1
51	3	4	100	513	800551	3	1	419001;900203;412001	32;3;16	4;5;6	1;1;1	900203,412001;900203,412001;900203,412001	2,2;4,4;7,6	1
52	3	4	100	513	800551	3	1	419001;900203;413001	32;3;16	4;5;6	1;1;1	900203,413001;900203,413001;900203,413001	2,2;4,4;7,6	1
53	3	4	100	513	800551	4	1	419001;900203;412001	35;5;20	5;6	1;1	900203,412001;900203,412001	2,3;5,5	1
54	3	4	100	513	800551	4	1	419001;900203;413001	35;5;20	5;6	1;1	900203,413001;900203,413001	2,3;5,5	1
55	3	4	100	513	800551	5	1	419001;900203;412001	38;7;24	6	1	900203,412001	3,4	1
56	3	4	100	513	800551	5	1	419001;900203;413001	38;7;24	6	1	900203,413001	3,4	1
57	3	4	100	513	800552	2	1	419001;900203;412001	29;2;12	3;4;5;6	1;1;1;1	900203,412001;900203,412001;900203,412001;900203,412001	1,1;3,3;5,5;8,8	1
58	3	4	100	513	800552	2	1	419001;900203;413001	29;2;12	3;4;5;6	1;1;1;1	900203,413001;900203,413001;900203,413001;900203,412001	1,1;3,3;5,5;8,8	1
59	3	4	100	513	800552	3	1	419001;900203;412001	32;3;16	4;5;6	1;1;1	900203,412001;900203,412001;900203,412001	2,2;4,4;7,6	1
60	3	4	100	513	800552	3	1	419001;900203;413001	32;3;16	4;5;6	1;1;1	900203,413001;900203,413001;900203,413001	2,2;4,4;7,6	1
61	3	4	100	513	800552	4	1	419001;900203;412001	35;5;20	5;6	1;1	900203,412001;900203,412001	2,3;5,5	1
62	3	4	100	513	800552	4	1	419001;900203;413001	35;5;20	5;6	1;1	900203,413001;900203,413001	2,3;5,5	1
63	3	4	100	513	800552	5	1	419001;900203;412001	38;7;24	6	1	900203,412001	3,4	1
64	3	4	100	513	800552	5	1	419001;900203;413001	38;7;24	6	1	900203,413001	3,4	1
65	4	1	100	513	800221	2	1	419001;900204;412001	20;2;3	3;4;5;6	1;1;1;1	900204,412001;900204,412001;900204,412001;900204,412001	1,1;3,3;5,5;8,8	1
66	4	1	100	513	800221	2	1	419001;900204;413001	20;2;3	3;4;5;6	1;1;1;1	900204,413001;900204,413001;900204,413001;900204,412001	1,1;3,3;5,5;8,8	1
67	4	1	100	513	800221	3	1	419001;900204;412001	23;3;5	4;5;6	1;1;1	900204,412001;900204,412001;900204,412001	2,2;4,4;7,6	1
68	4	1	100	513	800221	3	1	419001;900204;413001	23;3;5	4;5;6	1;1;1	900204,413001;900204,413001;900204,413001	2,2;4,4;7,6	1
69	4	1	100	513	800221	4	1	419001;900204;412001	26;5;8	5;6	1;1	900204,412001;900204,412001	2,3;5,5	1
70	4	1	100	513	800221	4	1	419001;900204;413001	26;5;8	5;6	1;1	900204,413001;900204,413001	2,3;5,5	1
71	4	1	100	513	800221	5	1	419001;900204;412001	29;7;12	6	1	900204,412001	3,4	1
72	4	1	100	513	800221	5	1	419001;900204;413001	29;7;12	6	1	900204,413001	3,4	1
73	4	1	100	513	800222	2	1	419001;900204;412001	20;2;3	3;4;5;6	1;1;1;1	900204,412001;900204,412001;900204,412001;900204,412001	1,1;3,3;5,5;8,8	1
74	4	1	100	513	800222	2	1	419001;900204;413001	20;2;3	3;4;5;6	1;1;1;1	900204,413001;900204,413001;900204,413001;900204,412001	1,1;3,3;5,5;8,8	1
75	4	1	100	513	800222	3	1	419001;900204;412001	23;3;5	4;5;6	1;1;1	900204,412001;900204,412001;900204,412001	2,2;4,4;7,6	1
76	4	1	100	513	800222	3	1	419001;900204;413001	23;3;5	4;5;6	1;1;1	900204,413001;900204,413001;900204,413001	2,2;4,4;7,6	1
77	4	1	100	513	800222	4	1	419001;900204;412001	26;5;8	5;6	1;1	900204,412001;900204,412001	2,3;5,5	1
78	4	1	100	513	800222	4	1	419001;900204;413001	26;5;8	5;6	1;1	900204,413001;900204,413001	2,3;5,5	1
79	4	1	100	513	800222	5	1	419001;900204;412001	29;7;12	6	1	900204,412001	3,4	1
80	4	1	100	513	800222	5	1	419001;900204;413001	29;7;12	6	1	900204,413001	3,4	1
81	4	2	100	513	800231	2	1	419001;900204;412001	23;2;5	3;4;5;6	1;1;1;1	900204,412001;900204,412001;900204,412001;900204,412001	1,1;3,3;5,5;8,8	1
82	4	2	100	513	800231	2	1	419001;900204;413001	23;2;5	3;4;5;6	1;1;1;1	900204,413001;900204,413001;900204,413001;900204,412001	1,1;3,3;5,5;8,8	1
83	4	2	100	513	800231	3	1	419001;900204;412001	26;3;8	4;5;6	1;1;1	900204,412001;900204,412001;900204,412001	2,2;4,4;7,6	1
84	4	2	100	513	800231	3	1	419001;900204;413001	26;3;8	4;5;6	1;1;1	900204,413001;900204,413001;900204,413001	2,2;4,4;7,6	1
85	4	2	100	513	800231	4	1	419001;900204;412001	29;5;12	5;6	1;1	900204,412001;900204,412001	2,3;5,5	1
86	4	2	100	513	800231	4	1	419001;900204;413001	29;5;12	5;6	1;1	900204,413001;900204,413001	2,3;5,5	1
87	4	2	100	513	800231	5	1	419001;900204;412001	32;7;16	6	1	900204,412001	3,4	1
88	4	2	100	513	800231	5	1	419001;900204;413001	32;7;16	6	1	900204,413001	3,4	1
89	4	2	100	513	800232	2	1	419001;900204;412001	23;2;5	3;4;5;6	1;1;1;1	900204,412001;900204,412001;900204,412001;900204,412001	1,1;3,3;5,5;8,8	1
90	4	2	100	513	800232	2	1	419001;900204;413001	23;2;5	3;4;5;6	1;1;1;1	900204,413001;900204,413001;900204,413001;900204,412001	1,1;3,3;5,5;8,8	1
91	4	2	100	513	800232	3	1	419001;900204;412001	26;3;8	4;5;6	1;1;1	900204,412001;900204,412001;900204,412001	2,2;4,4;7,6	1
92	4	2	100	513	800232	3	1	419001;900204;413001	26;3;8	4;5;6	1;1;1	900204,413001;900204,413001;900204,413001	2,2;4,4;7,6	1
93	4	2	100	513	800232	4	1	419001;900204;412001	29;5;12	5;6	1;1	900204,412001;900204,412001	2,3;5,5	1
94	4	2	100	513	800232	4	1	419001;900204;413001	29;5;12	5;6	1;1	900204,413001;900204,413001	2,3;5,5	1
95	4	2	100	513	800232	5	1	419001;900204;412001	32;7;16	6	1	900204,412001	3,4	1
96	4	2	100	513	800232	5	1	419001;900204;413001	32;7;16	6	1	900204,413001	3,4	1
97	4	3	100	513	800241	2	1	419001;900204;412001	26;2;8	3;4;5;6	1;1;1;1	900204,412001;900204,412001;900204,412001;900204,412001	1,1;3,3;5,5;8,8	1
98	4	3	100	513	800241	2	1	419001;900204;413001	26;2;8	3;4;5;6	1;1;1;1	900204,413001;900204,413001;900204,413001;900204,412001	1,1;3,3;5,5;8,8	1
99	4	3	100	513	800241	3	1	419001;900204;412001	29;3;12	4;5;6	1;1;1	900204,412001;900204,412001;900204,412001	2,2;4,4;7,6	1
100	4	3	100	513	800241	3	1	419001;900204;413001	29;3;12	4;5;6	1;1;1	900204,413001;900204,413001;900204,413001	2,2;4,4;7,6	1
101	4	3	100	513	800241	4	1	419001;900204;412001	32;5;16	5;6	1;1	900204,412001;900204,412001	2,3;5,5	1
102	4	3	100	513	800241	4	1	419001;900204;413001	32;5;16	5;6	1;1	900204,413001;900204,413001	2,3;5,5	1
103	4	3	100	513	800241	5	1	419001;900204;412001	35;7;20	6	1	900204,412001	3,4	1
104	4	3	100	513	800241	5	1	419001;900204;413001	35;7;20	6	1	900204,413001	3,4	1
105	4	3	100	513	800242	2	1	419001;900204;412001	26;2;8	3;4;5;6	1;1;1;1	900204,412001;900204,412001;900204,412001;900204,412001	1,1;3,3;5,5;8,8	1
106	4	3	100	513	800242	2	1	419001;900204;413001	26;2;8	3;4;5;6	1;1;1;1	900204,413001;900204,413001;900204,413001;900204,412001	1,1;3,3;5,5;8,8	1
107	4	3	100	513	800242	3	1	419001;900204;412001	29;3;12	4;5;6	1;1;1	900204,412001;900204,412001;900204,412001	2,2;4,4;7,6	1
108	4	3	100	513	800242	3	1	419001;900204;413001	29;3;12	4;5;6	1;1;1	900204,413001;900204,413001;900204,413001	2,2;4,4;7,6	1
109	4	3	100	513	800242	4	1	419001;900204;412001	32;5;16	5;6	1;1	900204,412001;900204,412001	2,3;5,5	1
110	4	3	100	513	800242	4	1	419001;900204;413001	32;5;16	5;6	1;1	900204,413001;900204,413001	2,3;5,5	1
111	4	3	100	513	800242	5	1	419001;900204;412001	35;7;20	6	1	900204,412001	3,4	1
112	4	3	100	513	800242	5	1	419001;900204;413001	35;7;20	6	1	900204,413001	3,4	1
113	4	4	100	513	800251	2	1	419001;900204;412001	29;2;12	3;4;5;6	1;1;1;1	900204,412001;900204,412001;900204,412001;900204,412001	1,1;3,3;5,5;8,8	1
114	4	4	100	513	800251	2	1	419001;900204;413001	29;2;12	3;4;5;6	1;1;1;1	900204,413001;900204,413001;900204,413001;900204,412001	1,1;3,3;5,5;8,8	1
115	4	4	100	513	800251	3	1	419001;900204;412001	32;3;16	4;5;6	1;1;1	900204,412001;900204,412001;900204,412001	2,2;4,4;7,6	1
116	4	4	100	513	800251	3	1	419001;900204;413001	32;3;16	4;5;6	1;1;1	900204,413001;900204,413001;900204,413001	2,2;4,4;7,6	1
117	4	4	100	513	800251	4	1	419001;900204;412001	35;5;20	5;6	1;1	900204,412001;900204,412001	2,3;5,5	1
118	4	4	100	513	800251	4	1	419001;900204;413001	35;5;20	5;6	1;1	900204,413001;900204,413001	2,3;5,5	1
119	4	4	100	513	800251	5	1	419001;900204;412001	38;7;24	6	1	900204,412001	3,4	1
120	4	4	100	513	800251	5	1	419001;900204;413001	38;7;24	6	1	900204,413001	3,4	1
