id	life	speed	escapeCoefficient	initialDistance	type	escapeBlock	ordinaryBlock	forwardRunTime	forwardRunSpeed	ordinarySpeed	escapeSpeed	distanceLimits	buoySpeed	status
8000542	9450;10500	8.8	2.7	50	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	1.5	0.06	0.1	0.7	2;3	1;-16;32;-40	1
8000541	11700;13000	9.2	2.7	50	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	1.5	0.06	0.1	0.7	2;3	1;-17;34;-42.5	1
8000552	11700;13000	9.2	2.7	50	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	1.5	0.06	0.1	0.7	2;3	1;-17;34;-42.5	1
8000551	13950;15500	9.6	2.7	55	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	1.5	0.06	0.1	0.7	2;3	1;-18;36;-45	1
8000561	13950;15500	9.6	2.7	55	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	1.5	0.06	0.1	0.7	2;3	1;-18;36;-45	1
8000612	11700;13000	10	2.5	55	1	0;7;12;15	4;10;14;-1	2	0.15	0.1	0.7	6;2	1;-15;30;-37.5	1
8000622	11700;13000	10	2.5	55	1	0;7;12;15	4;10;14;-1	2	0.15	0.1	0.7	6;2	1;-15;30;-37.5	1
8000621	13950;15500	10.4	2.5	55	1	0;7;13;17;20	3.5;10.5;16;19;-1	2	0.15	0.1	0.7	6;2	1;-16;32;-40	1
8000631	13950;15500	10.4	2.5	55	1	0;7;13;17;20	3.5;10.5;16;19;-1	2	0.15	0.1	0.7	6;2	1;-16;32;-40	1
8000632	16200;18000	10.8	2.6	60	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	2	0.15	0.1	0.7	6;2	1;-17;34;-42.5	1
8000642	16200;18000	10.8	2.6	60	1	0;6.5;12;17;21;25	3.5;9.5;15;20;23.5;-1	2	0.15	0.1	0.7	6;2	1;-17;34;-42.5	1
8000641	23400;26000	11.2	2.7	60	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	2	0.15	0.1	0.7	6;2	1;-18;36;-45	1
8000651	23400;26000	11.2	2.7	60	1	0;6;11.5;16;21;26;30	3;9.5;14;19;24;29;-1	2	0.15	0.1	0.7	6;2	1;-18;36;-45	1
8000652	30600;34000	11.6	2.4	65	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	2	0.15	0.1	0.7	6;2	1;-19;38;-47.5	1
8000661	30600;34000	11.6	2.4	65	1	0;6;12;17;21;24;27;30	3;9;15;20;23;26;29;-1	2	0.15	0.1	0.7	6;2	1;-19;38;-47.5	1
