id	additionPic	isPercentage	isMinus	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	name2	name2_zh_TW	name2_en_UK	name2_ja_JP	name2_ko_KR	name2_th_TH
302	3	1	0	1	伤害增加_Value	傷害增加_Value	Increases damage by _Value	ダメージ＋_Value	대미지 _Value 증가	ดาเมจเพิ่มขึ้น _Value	伤害_Value	傷害_Value	Increases DMG by _Value	ダメージ_Value	_Value 대미지	ดาเมจ _Value
303		1	0	1	_Condition渔场开局时对鱼造成最大生命值_Value的伤害（鱼饵用	_Condition漁場開局時對魚造成最大生命值_Value的傷害（魚餌用	In _Condition, at the start of a fish catch, deals damage to fish equal to _Value of their Max HP. (bait)	_Condition漁場開始時魚に最大HP_Valueのダメージを与える	_Condition 어장 오픈 시 물고기에게 최대 HP의 _Value에 해당하는 대미지를 가함(미끼용)	เมื่อ​เข้าสู่​บ่อ​ตกปลา​_Condition​จะ​สร้าง​ดา​เม​จ​ต่อ​พลัง​ชีวิต​สูงสุด​ของ​ปลา​ _Value​ (​สำหรับ​เหยื่อ​ตกปลา​)​	_Condition渔场开局时对鱼造成最大生命值_Value的伤害	_Condition漁場開局時對魚造成最大生命值_Value的傷害	In _Condition, at the start of a fish catch, deals damage to fish equal to _Value of their Max HP.	_Condition漁場開始時魚に最大HP_Valueのダメージを与える	_Condition 어장 오픈 시 물고기에게 최대 HP의 _Value에 해당하는 대미지를 가함	เมื่อ​เข้าสู่​บ่อ​ตกปลา​_Condition​ จะ​สร้าง​ดา​เม​จ​ต่อ​พลัง​ชีวิต​สูงสุด​ของ​ปลา​ _Value​
401		1	0	1	道具获得概率增加_Value	道具獲得機率增加_Value	Increases Item drop rate by _Value	アイテム獲得率＋_Value	아이템 획득 확률 _Value 증가	อัตราได้รับไอเทมเพิ่มขึ้น _Value	道具获得概率_Value	道具獲得機率_Value	Increases Item drop rate by _Value	アイテム獲得率_Value	아이템 획득 확률 _Value	อัตราได้รับไอเทม _Value
402		1	0	1	_Condition类道具获得概率增加_Value	_Condition類道具獲得機率增加_Value	Increases _Condition's item drop rate by _Value	_Conditionアイテム獲得率＋_Value	_Condition 종류 아이템 획득 확률 _Value 증가	อัตรา​ได้รับ​ไอเทม​ประเภท​_Condition​เพิ่มขึ้น​ _Value​	_Condition类道具获得概率_Value	_Condition類道具獲得機率_Value	Increases _Condition's item drop rate by _Value	_Conditionアイテム獲得率_Value	_Condition 종류 아이템 획득 확률 _Value	อัตรา​ได้รับ​ไอเทม​ประเภท​_Condition​ _Value​
501		1	0	1	抛竿时完美区域大小增大_Value	拋竿時完美區域大小增大_Value	Increases Perfect Zone size by _Value when casting	パーフェクトキャストエリア＋_Value	낚싯대를 던질 때 퍼펙트 존 크기 _Value 증가	ขนาด​ของ​พื้นที่​เหวี่ยง​เบ็ด​สมบูรณ์แบบ​ใหญ่​ขึ้น​ _Value​	抛竿时完美区域大小_Value	拋竿時完美區域大小_Value	Increases Perfect Zone size by _Value when casting	パーフェクトキャストエリア_Value	낚싯대를 던질 때 퍼펙트 존 크기 _Value	พื้นที่เหวี่ยงเบ็ดสมบูรณ์แบบ _Value
601		1	0	1	经验加成_Value	經驗加成_Value	Increases EXP by _Value	EXP＋_Value	EXP 보너스 _Value	โบนัส EXP _Value	经验_Value	經驗_Value	Increases EXP by _Value	EXP_Value	_Value EXP	EXP _Value
602		1	0	1	出售获得新海币增加_Value	出售獲得新海幣增加_Value	Increases Catto Coins earned from sales by _Value	販売獲得新海コイン＋_Value	판매 시 획득하는 뉴오션 코인 _Value 증가	เมื่อ​ขาย​ จะ​ได้รับ​เหรียญ​แค​ทโตะ​เพิ่มขึ้น​ _Value​	出售获得新海币_Value	出售獲得新海幣_Value	Increases Catto Coins earned from sales by _Value	販売獲得新海コイン_Value	판매 시 뉴오션 코인 _Value 획득	เมื่อ​ขาย​ จะ​ได้รับ​เหรียญ​แค​ทโตะ​ _Value​
701		1	1	1	委托时消耗新海币减少_Value	委託時消耗新海幣減少_Value	Reduces Catto Coins cost when doing Commissions by _Value	依頼消費新海コイン−_Value	의뢰 시 뉴오션 코인 소모량 _Value 감소	เมื่อ​มอบหมาย​งาน​จะ​ใช้​เหรียญ​แค​ทโตะ​ลดลง​ _Value​	委托时消耗新海币_Value	委託時消耗新海幣_Value	When doing Commissions, Catto Coins cost _Value 	依頼消費新海コイン_Value	의뢰 시 뉴오션 코인 _Value 소모	เมื่อ​มอบหมาย​งาน​จะ​ใช้​เหรียญ​แค​ทโตะ​ _Value​
702		1	1	1	休息时间减少_Value	休息時間減少_Value	Reduces rest time by _Value	休憩時間−_Value	휴식시간 _Value 감소	เวลาพักลดลง _Value	休息时间_Value	休息時間_Value	Rest time _Value	休憩時間_Value	휴식시간 _Value	เวลาพัก: _Value
801		1	0	1	鱼的_Condition速度增加_Value（拉力条用	魚的_Condition速度增加_Value（拉力條用	Increases fish's _Condition SPD by _Value (drag bar)	魚の_Conditionスピードアップ_Value	물고기의 _Condition 속도 _Value 증가(당김줄용)	ความเร็ว_Conditionของปลาเพิ่มขึ้น _Value (สำหรับแถบแรงตึง)	鱼的_Condition速度_Value	魚的_Condition速度_Value	Fish's _Condition SPD _Value	魚の_Conditionスピード_Value	물고기의 _Condition 속도 _Value	ความเร็ว_Conditionของปลา _Value
