roleId	types	subtype	rare	starMin	starMax	catId	kind	inHandBook	picture	skillPicture	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
6402002	2	1	3	0	6	102	2104;2204;2309;2405;2502;2607;3202	1	36:catball_card_102002		1	猫熊熊猫	貓熊熊貓	Pandy	擬似パンダ	판다바오냥	เหมียวแพนด้า
6402003	2	1	3	0	6	102	2102;2209;2307;2409;2510;2604;3203;4313;4211	1	36:catball_card_102003		1	猫形电脑	貓形電腦	Meowbot Mk II	猫型ロボット	컴퓨터냥	เนโกะบอท
6402004	2	1	3	0	6	102	2110;2205;2304;2407;2507;2609;3204;4112	0	36:catball_card_102004		1	柴郡猫	柴郡貓	Cheshire	チェシャ猫	체셔 캣	แมวเชสเชียร์
6402005	2	1	3	0	6	102	2105;2210;2310;2404;2505;2610;3205;4113;4212	1	36:catball_card_102005		1	西部牛仔	西部牛仔	Billy the Cat	カウボーイ	카우보이냥	คาวบอย
6402006	2	1	3	0	6	102	2107;2202;2301;2401;2504;2603;3206;4314;4114;4213;4406	1	36:catball_card_102006		1	魔法少喵	魔法少喵	Abracadabra	魔法少女	마법소녀냥	วิซาร์ดตี้
6402010	2	2	3	0	6	102	2105;2201;2310;2404;2507;2607;3210;4318;4116	0	36:catball_card_102010		1	冬日雪宝	冬日雪寶	Snowbaby	雪だるま	보드마스터냥	สโนว์แมน
6403001	2	2	3	0	6	103	2105;2202;2303;2405;2502;2603;3301	1	36:catball_card_103001		1	血月之殇	血月之殤	Tutancatmun	ブラッディムーン	블러드문냥	บลัดมูน
6403002	2	2	3	0	6	103	2109;2204;2308;2408;2506;2606;3302;4117;4215;4407	1	36:catball_card_103002		1	喵喵甜心	喵喵甜心	Pretty in Pink	みんなのアイドル	스위트냥	คิตตี้ฮาร์ท
6403003	2	2	3	0	6	103	2106;2208;2306;2402;2509;2604;3303;4118	1	36:catball_card_103003		1	千层雪糕	千層雪糕	Mille Feuille	ソフトクリーム	아이스냥	สโนว์ครีม
6403004	2	3	3	0	6	103	2104;2205;2305;2406;2508;2608;3304;4319;4119;4408;4216	1	36:catball_card_103004		1	天籁歌姬	天籟歌姬	Songbird Supreme	奇跡の歌姫	아이돌냥	เซเรเนด
6403005	2	3	3	0	6	103	2108;2203;2304;2409;2505;2602;3305;4320;4120;4217;4409	1	36:catball_card_103005		1	爱丽喵丝	愛麗喵絲	Alice in Whiskersland	不思議のニャリス	앨리스냥	อลิซ
6403007	2	3	3	0	6	103	2102;2209;2302;2404;2503;2605;3307;4322	1	36:catball_card_103007		1	生煎包包	生煎包包	Pan-Fried Purrfection	生煎饅頭	군만두냥	ซาลาเปา
6403008	2	3	3	0	6	103	2103;2205;2310;2408;2504;2605;3308;4323;4121	0	36:catball_card_103008		1	黄金之蜂	黃金之蜂	Honeybee	黄金のミツバチ	꿀벌냥	โกลเดนบี
6403009	2	3	3	0	6	103	2108;2208;2309;2403;2503;2609;3309;4324;4122;4219	1	36:catball_card_103009		1	喵咪心爱	喵咪心愛	Maiden Love	メイド様	메이드냥	คิตตี้เลิฟลี่
6403010	2	3	3	0	6	103	2104;2204;2306;2409;2508;2608;3310;4123;4220;4410	1	36:catball_card_103010		1	灾噩避散	災噩避散	Plague Doctor	災厄退散	재난회피냥	การ์เดียนแคท
6404001	2	3	3	0	6	104	2107;2204;2309;2407;2504;2601;3401;4305;4206	1	36:catball_card_104001		1	亡灵审判	亡靈審判	Catnubis	亡霊の審判	바스테트냥	ซอร์เซรัส
6404003	1	1	2	0	6	104	2108;2207;2305;2406;2501;2609;3403;4124	1	36:catball_card_104003		1	猫头鹰猫	貓頭鷹貓	Hootie	フクロウ	부엉냥	แคทอาวล์
6404004	1	1	2	0	6	104	2104;2208;2304;2410;2505;2605;3404;4326;4125;4222	1	36:catball_card_104004		1	蒸汽动力	蒸汽動力	Steam Power	スチーム時代	스팀펑크냥	สตีมพังก์
6404006	1	1	2	0	6	104	2105;2209;2307;2407;2509;2604;3406;4328;4127;4223;4411	1	36:catball_card_104006		1	学无止境	學無止境	Scholarpurr	果て無き学問の海	모범생냥	สตาดี้แคท
6404010	1	2	2	0	6	104	2101;2207;2307;2406;2506;2609;3410;4331;4131;4414	1	36:catball_card_104010		1	猫太狼	貓太狼	Woof!	にゃん太郎	늑대냥	แคทวูล์ฟ
6405001	1	3	2	0	6	101	2106;2206;1301;1403;2509;2608	1	36:catball_card_105001		1	迷糊鬼	迷糊鬼	Okie Dopey	おっちょこちょい	어지러냥	วิญญาณจอมมึน
6405002	1	3	2	0	6	101	2101;2207;1305;1404;2509;2610	1	36:catball_card_105002		1	芝麻糊糊	芝麻糊糊	Sesame	黒ごま汁粉	바둑이냥	งาขาวเข้มข้น
6405004	2	1	2	0	6	101	2101;1202;1304;1402;2510;1601	1	36:catball_card_105004		1	香芋啵啵	香芋啵啵	Taro Popping	ミルクティー	줄무늬냥	ทาโร่บับเบิ้ล
6405008	2	1	2	0	6	103	1101;1205;2302;2403;1502;1601	1	36:catball_card_105008		1	芒果布丁	芒果布丁	Mango Pudding	マンゴープリン	망고푸딩	พุดดิ้งแมงโก้
6405010	2	2	2	0	6	103	2104;1203;1301;1402;1502;1602	1	36:catball_card_105010		1	草莓奶昔	草莓奶昔	Strawberry Shake	イチゴフラッペ	딸기스무디	สตรอเบอร์รี่มิลก์เชค
6405011	2	2	2	0	6	102	1101;2201;1301;2409;1501;1604	1	36:catball_card_105011		1	暴躁喵弟	暴躁喵弟	Temper Tantrum	暴れん坊	남동생냥	จอมเกรี้ยวกราด
6405012	2	3	2	0	6	101	1103;1201;2302;1402;2502;2602	1	36:catball_card_105012		1	精致喵喵	精緻喵喵	Pristine	ミス・エレガント	모범냥냥	เพอร์เฟกต์
6405013	1	1	1	0	6	101	2110;1204;2304;2409;2510;2610	1	36:catball_card_105013		1	小可爱	小可愛	Lil' Cutie	ボニータ	귀요미냥	คิ้วท์ตี้
6405014	1	2	1	0	6	103	2102;1204;2302;2409;2503;2605	1	36:catball_card_105014		1	追星族	追星族	Groupie	追っかけ	팬클럽냥	สตาร์เชสเซอร์
6405015	1	3	1	0	6	103	1101;2207;1304;2410;1504;2610	1	36:catball_card_105015		1	夹心饼干	夾心餅乾	Sandwich Biscuit	ビスケットサンド	크래커냥	แซนด์วิชบิสกิต
6405016	2	1	1	0	6	104	2206;2206;2301;1402;1504;1602	1	36:catball_card_105016		1	眩晕时刻	眩暈時刻	Dizzy Daisy	クラクラタイム	좋아서기절냥	ดิสซี่
6405019	2	2	1	0	6	101	1103;2203;2302;2401;2503;1605	1	36:catball_card_105019		1	橙子汽水	柳丁汽水	Clementine	オレンジソーダ	오렌지 에이드	โซดาส้ม
6405020	2	3	1	0	6	103	2105;2204;1301;2405;2505;1604	1	36:catball_card_105020		1	淘气包	淘氣包	Rascal	やんちゃ坊主	장난꾸러기	เหมียวจอมซน
6401007	3	4	3	0	6	101	2110;2203;2303;2408;2502;2602;3107;4309	1	36:catball_card_101007		1	武林霸喵	武林霸喵	Little Warrior	争覇武林	무림고수냥	แคทมาสเตอร์
6401009	3	4	2	0	6	101	2101;2207;2303;2406;2501;2606;3109;4111;4210;4311	1	36:catball_card_101009		1	努力猫猫	努力貓貓	Go-Getter	サラリーニャン	수험생냥	เหมียวจอมมุ่งมั่น
6402007	3	4	2	0	6	102	2103;2203;2302;2402;2505;2605;3207;4315;4115;4214	1	36:catball_card_102007		1	欢乐小丑	歡樂小丑	Mr. Clownpaw	ハッピーピエロ	어릿광대냥	แคทโจ๊กเกอร์
6402009	3	4	2	0	6	102	2102;2202;2309;2405;2504;2604;3209;4317	1	36:catball_card_102009		1	咪子汽水	咪子汽水	Soda Pop	ラムネソーダ	냐옹 에이드	เหมียวโซดา
6402008	3	4	2	0	6	102	2101;2207;2303;2410;2503;2601;3208;4316	1	36:catball_card_102008		1	福气包包	福氣包包	Fortune Bun	福ふくねこ	복만두냥	ลัคกี้แคท
6403006	3	4	3	0	6	103	2110;2206;2304;2403;2510;2609;3306;4321;4218	1	36:catball_card_103006		1	猫张子	貓張子	Hariko	猫張り子	네코하리코	เปเปอร์มาเช่
6404002	3	4	3	0	6	104	2106;2206;2301;2401;2507;2610;3402;4221;4325	1	36:catball_card_104002		1	招财进宝	招財進寶	Fortuna	招き猫	마네키네코	แคทฟอร์จูน
6404005	3	4	3	0	6	104	2101;2201;2308;2408;2506;2606;3405;4327;4126	1	36:catball_card_104005		1	章鱼猫丸	章魚貓丸	Takoyaki Treat	タコ丸	타코야키냥	ทาโกะแคท
6404007	3	4	2	0	6	104	2109;2205;2306;2405;2508;2608;3407;4329;4128	1	36:catball_card_104007		1	葱花虾饺	蔥花蝦餃	Shrimp Dumpling	エビ蒸餃子	새우딤섬냥	พาร์เฟ่ต์กุ้ง
6404008	3	4	3	0	6	104	2105;2210;2309;2404;2504;2607;3408;4129;4412	1	36:catball_card_104008		1	海湾救援	海灣救援	Lifeguard	海湾レスキュー隊	해안구조대	เซฟตี้แคท
6404009	3	4	3	0	6	104	2106;2210;2305;2409;2501;2610;3409;4330;4130;4224;4413	1	36:catball_card_104009		1	珍珠之泪	珍珠之淚	Pearl Tears	真珠の涙	진주의 눈물	เพิร์ลเทียร์
6405003	3	4	1	0	6	101	2103;1204;2301;1402;1502;1602	1	36:catball_card_105003		1	心动瞬间	心動瞬間	Tempted Moment	ドキめく瞬間	두근두근냥	เหมียวสะกดใจ
6405005	3	4	1	0	6	101	2110;2203;1302;2408;2509;1604	1	36:catball_card_105005		1	红豆沙	紅豆沙	Adzuki	こしあん	팥앙금냥	เรดบีน
6405006	3	4	1	0	6	101	2107;1203;1302;1404;2510;2610	1	36:catball_card_105006		1	呆呆瓜	呆呆瓜	Derpy Darling	天然	멍때리냥	เหมียวจอมเซ่อ
6405007	3	4	1	0	6	101	2102;2209;1303;2403;1504;1602	1	36:catball_card_105007		1	星星闪烁	星星閃爍	Twinkle Spark	キラ星	샤이닝 스타	สตาร์ไชน์
6405009	3	4	1	0	6	103	2106;2208;1303;1403;1505;1603	1	36:catball_card_105009		1	焦糖布丁	焦糖布丁	Caramalico	キャラメルプリン	카라멜 푸딩	พุดดิ้งคาราเมล
6405017	3	4	1	0	6	101	2107;2202;2302;1403;2502;1603	1	36:catball_card_105017		1	摩卡可可	摩卡可可	Mocha	モカココア	모카 코코아	มอคค่าโกโก้
6405018	3	4	2	0	6	104	1105;1203;1302;2407;1502;2607	1	36:catball_card_105018		1	普罗喵斯	普羅喵斯	Promeows	エバーラベンダー	플로냥스	พรอมิแคท
