roleId	name	likeGiftId	love	status
904022	夺魂之镰	5730011;5730013	30;28	1
904025	孤独绅士	5730002;5730027	22;24	1
904026	落寞淑女	5730021;5730025	22;30	1
904031	钢铁傀儡	5730018;5730026	26;22	1
904033	恶念残响	5730008;5730004	28;30	1
904034	癔症粉丝	5730011;5730028	30;26	1
904041	嗜血魔女	5730018;5730001	26;28	1
904043	命运审判	5730016;5730015	24;26	1
908002	濒死血液	5730025;5730013	30;28	1
115008	除障者	5730024;5730005	26;28	1
127008	碧魂灯	5730004;5730011	30;30	1
130008	暗巷星火	5730016;5730029	24;22	1
131008	粉红风暴	5730020;5730008	26;28	1
117008	秘域访客	5730012;5730010	28;28	1
121008	清道夫之夜	5730014;5730009	24;30	1
103006	疯人院	5730025;5730009	30;30	1
105004	碎夜疾霆	5730021;5730008	22;28	1
106009	耀夜之星	5730029;5730030	22;22	1
107010	诡夜雾行	5730003;5730010	22;28	1
137008	青之回旋	5730004;5730014	26;28	1
116001	极寒朔风	5730004;5730014	26;28	1
140008	囚鸟绮愿	5730004;5730014	26;28	1
129001	致圣雪夜	5730004;5730014	26;28	1
129008	狂想花骨	5730004;5730014	26;28	1
109002	白瑰绮晶	5730009;5730007	30;30	1
113002	菡萏曲	5730028;5730023	26;24	1
114002	并蒂莲	5730026;5730014	22;24	1
138001	守月歌	5730028;5730023	26;24	1
138008	月胧吟	5730026;5730014	22;24	1
135008	心动季节	5730003;5730028	22;26	1
802008	醉红尘	5730028;5730023	26;24	1
803008	清平乐	5730026;5730014	22;24	1
801008	花间意	5730028;5730023	26;24	1
127001	离梦蝶	5730004;5730011	30;30	1
136008	指尖芳菲	5730004;5730011	30;30	1
104016	灵棰惊竹	5730015;5730024	26;26	1
103009	幽篁月韵	5730003;5730028	22;26	1
102012	山明箬影	5730020;5730021	26;22	1
101018	茂林余音	5730030;5730006	22;30	1
144001	千术之王	5730020;5730021	26;22	1
144008	黑桃A	5730020;5730021	26;22	1
141008	铃铃弥音	5730018;5730006	26;30	1
129002	深渊誓约	5730025;5730009	30;30	1
804008	香甜满溢	5730025;5730018	30;26	1
805008	喵星电波	5730005;5730004	28;30	1
806008	懵懂精灵	5730028;5730023	26;24	1
125008	架刑罪赎	5730018;5730001	26;28	1
120008	旋风初成	5730028;5730023	26;24	1
123008	絵空事	5730026;5730014	22;24	1
119008	星月夜	5730028;5730023	26;24	1
133008	琉金跃浪	5730028;5730023	26;24	1
104007	浪花约会	5730015;5730023	26;24	1
103003	场外焦点	5730006;5730011	30;30	1
103017	鲸语海鸣	5730006;5730011	30;30	1
102018	激流之下	5730020;5730021	26;22	1
101012	企鹅冰山	5730030;5730006	22;30	1
104009	破浪逐潮	5730019;5730025	26;30	1
139008	诡夜雾行	5730003;5730010	22;28	1
149008	掌上淑女	5730004;5730011	30;30	1
143008	理性边界	5730026;5730014	22;24	1
152008	十二夜中人	5730009;5730007	30;30	1
122008	愈者疗心	5730004;5730014	26;28	1
135001	心动季节	5730003;5730028	22;26	1
104013	破浪逐潮	5730019;5730025	26;30	1
106011	午夜寻幽	5730016;5730005	24;28	1
153008	衍罪之渊	5730026;5730014	22;24	1
151008	多情演绎	5730020;5730021	26;22	1
150008	天使心	5730028;5730023	26;24	1
148008	爆破艺术	5730005;5730004	28;30	1
154008	XX罗寇	5730004;5730011	30;30	1
803001	清平乐	5730026;5730014	22;24	1
146008	菲菲	5730004;5730011	30;30	1
126008	金雀台	5730026;5730014	22;24	1
103012	双生暗影	5730003;5730028	22;26	1
147008	云天外	5730005;5730004	28;30	1
159008	破阵曲	5730019;5730025	26;30	1
128008	幸福时光	5730010;5730019	28;26	1
131001	糖果甜心	5730007;5730017	30;24	1
160008	涤尽凡尘	5730004;5730014	26;28	1
161008	绚烂之雨	5730009;5730007	30;30	1
102005	晚安故事	5730026;5730014	22;24	1
156008	定格人生	5730003;5730028	22;26	1
157008	暗夜玫瑰	5730026;5730014	22;24	1
158008	沉沦永夜	5730019;5730025	26;30	1
163008	报丧女妖	5730003;5730028	22;26	1
162008	暗巷深宵	5730019;5730025	26;30	1
101002	深蓝执法者	5730016;5730005	24;28	1
132008	数理星辉	5730026;5730014	22;24	1
164008	恶魔主宰	5730004;5730011	30;30	1
155008	独家报道	5730026;5730014	22;24	1
145008	失序狂澜	5730003;5730028	22;26	1
103005	甜食守卫	5730005;5730004	28;30	1
165008	碧翠丝	5730004;5730011	30;30	1
135002	小曼	5730026;5730014	22;24	1
144002	千术	5730003;5730028	22;26	1
166008	娜卡	5730004;5730011	30;30	1
103010	特莉丝	5730007;5730017	30;24	1
167008	幼年飞天	5730019;5730025	26;30	1
102017	闪亮捕猎者	5730026;5730014	22;24	1
104004	叛逆主张	5730003;5730028	22;26	1
170008	乌萨	5730004;5730011	30;30	1
102013	暴走炮手	5730026;5730014	22;24	1
104002	追风逐电	5730019;5730025	26;30	1
169008	初之纯白	5730013;5730019	28;26	1
103011	小小意外	5730019;5730025	26;30	1
171008	潮汐之羽	5730013;5730019	28;26	1
106005	逆行冲锋	5730004;5730011	30;30	1
172008	无罪之恶	5730004;5730011	30;30	1
173008	怪诞其身	5730004;5730011	30;30	1
102010	火力开采	5730020;5730021	26;22	1
