key	exp	totalExp	status
14700805	1000	3000	1
15900800	0	0	1
15900801	200	200	1
15900802	400	600	1
15900803	600	1200	1
15900804	800	2000	1
15900805	1000	3000	1
12800801	0	0	1
12800802	200	200	1
12800803	400	600	1
12800804	600	1200	1
12800805	800	2000	1
12800806	1000	3000	1
13100101	0	0	1
13100102	200	200	1
13100103	400	600	1
13100104	600	1200	1
13100105	800	2000	1
13100106	1000	3000	1
16000801	0	0	1
16000802	200	200	1
16000803	400	600	1
16000804	600	1200	1
16000805	800	2000	1
16000806	1000	3000	1
16100801	0	0	1
16100802	200	200	1
16100803	400	600	1
16100804	600	1200	1
16100805	800	2000	1
16100806	1000	3000	1
10200501	0	0	1
10200502	200	200	1
10200503	400	600	1
10200504	600	1200	1
10200505	800	2000	1
10200506	1000	3000	1
15600801	0	0	1
15600802	200	200	1
15600803	400	600	1
15600804	600	1200	1
15600805	800	2000	1
15600806	1000	3000	1
15700801	0	0	1
15700802	200	200	1
15700803	400	600	1
15700804	600	1200	1
15700805	800	2000	1
15700806	1000	3000	1
15800801	0	0	1
15800802	200	200	1
15800803	400	600	1
15800804	600	1200	1
15800805	800	2000	1
15800806	1000	3000	1
16300801	0	0	1
16300802	200	200	1
16300803	400	600	1
16300804	600	1200	1
16300805	800	2000	1
16300806	1000	3000	1
16200801	0	0	1
16200802	200	200	1
16200803	400	600	1
16200804	600	1200	1
16200805	800	2000	1
16200806	1000	3000	1
10100201	0	0	1
10100202	200	200	1
10100203	400	600	1
10100204	600	1200	1
10100205	800	2000	1
10100206	1000	3000	1
13200801	0	0	1
13200802	200	200	1
13200803	400	600	1
13200804	600	1200	1
13200805	800	2000	1
13200806	1000	3000	1
16400801	0	0	1
16400802	200	200	1
16400803	400	600	1
16400804	600	1200	1
16400805	800	2000	1
16400806	1000	3000	1
15500801	0	0	1
15500802	200	200	1
15500803	400	600	1
15500804	600	1200	1
15500805	800	2000	1
15500806	1000	3000	1
14500801	0	0	1
14500802	200	200	1
14500803	400	600	1
14500804	600	1200	1
14500805	800	2000	1
14500806	1000	3000	1
10300501	0	0	1
10300502	200	200	1
10300503	400	600	1
10300504	600	1200	1
10300505	800	2000	1
10300506	1000	3000	1
16500801	0	0	1
16500802	200	200	1
16500803	400	600	1
16500804	600	1200	1
16500805	800	2000	1
16500806	1000	3000	1
13500201	0	0	1
13500202	200	200	1
13500203	400	600	1
13500204	600	1200	1
13500205	800	2000	1
13500206	1000	3000	1
14400201	0	0	1
14400202	200	200	1
14400203	400	600	1
14400204	600	1200	1
14400205	800	2000	1
14400206	1000	3000	1
16600801	0	0	1
16600802	200	200	1
16600803	400	600	1
16600804	600	1200	1
16600805	800	2000	1
16600806	1000	3000	1
10301001	0	0	1
10301002	200	200	1
10301003	400	600	1
10301004	600	1200	1
10301005	800	2000	1
10301006	1000	3000	1
16700801	0	0	1
16700802	200	200	1
16700803	400	600	1
16700804	600	1200	1
16700805	800	2000	1
16700806	1000	3000	1
10201701	0	0	1
10201702	200	200	1
10201703	400	600	1
10201704	600	1200	1
10201705	800	2000	1
10201706	1000	3000	1
10400401	0	0	1
10400402	200	200	1
10400403	400	600	1
10400404	600	1200	1
10400405	800	2000	1
10400406	1000	3000	1
17000801	0	0	1
17000802	200	200	1
17000803	400	600	1
17000804	600	1200	1
17000805	800	2000	1
17000806	1000	3000	1
10201301	0	0	1
10201302	200	200	1
10201303	400	600	1
10201304	600	1200	1
10201305	800	2000	1
10201306	1000	3000	1
10400201	0	0	1
10400202	200	200	1
10400203	400	600	1
10400204	600	1200	1
10400205	800	2000	1
10400206	1000	3000	1
16900801	0	0	1
16900802	200	200	1
16900803	400	600	1
16900804	600	1200	1
16900805	800	2000	1
16900806	1000	3000	1
10301101	0	0	1
10301102	200	200	1
10301103	400	600	1
10301104	600	1200	1
10301105	800	2000	1
10301106	1000	3000	1
17100801	0	0	1
17100802	200	200	1
17100803	400	600	1
17100804	600	1200	1
17100805	800	2000	1
17100806	1000	3000	1
10600501	0	0	1
10600502	200	200	1
10600503	400	600	1
10600504	600	1200	1
10600505	800	2000	1
10600506	1000	3000	1
17200801	0	0	1
17200802	200	200	1
17200803	400	600	1
17200804	600	1200	1
17200805	800	2000	1
17200806	1000	3000	1
17300801	0	0	1
17300802	200	200	1
17300803	400	600	1
17300804	600	1200	1
17300805	800	2000	1
17300806	1000	3000	1
10201001	0	0	1
10201002	200	200	1
10201003	400	600	1
10201004	600	1200	1
10201005	800	2000	1
10201006	1000	3000	1
