id	cardId	level	consNum	mood	rewardIcon	rewardItem	rewardNum	voice	action	file	property	status	rewardType	action_txt	action_txt_zh_TW	action_txt_en_UK	action_txt_ja_JP	action_txt_ko_KR	action_txt_th_TH
10200801	102008	2	250	500	6:goods_icon_4101002	4101002	3			1		1	1						
10200802	102008	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
10200803	102008	4	750	1000	6:goods_icon_5340003	4102021	2			3		1	1						
10200804	102008	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
10200805	102008	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
10200700	102007	1	0	200								1	1						
10200701	102007	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10200702	102007	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10200703	102007	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10200704	102007	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10200705	102007	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10201100	102011	1	0	200								1	1						
10201101	102011	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10201102	102011	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10201103	102011	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10201104	102011	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10201105	102011	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10200100	102001	1	0	250								1	1						
10200101	102001	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
10200102	102001	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
10200103	102001	4	750	1000	6:goods_icon_5340003	4102011	2			3		1	1						
10200104	102001	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
10200105	102001	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
10202100	102021	1	0	375								1	1						
10202101	102021	2	375	750	6:goods_icon_5340004	4101002	4			1		1	1						
10202102	102021	3	750	1125	6:goods_icon_3000003	3000003	60000			2		1	1						
10202103	102021	4	1125	1500	6:goods_icon_5340003	4102031	2			3		1	1						
10202104	102021	5	1500	1875	6:goods_icon_4190001	4190001	100			4		1	1						
10202105	102021	6	1875	2250	6:goods_icon_3000002	3000002	100			5		1	1						
10300800	103008	1	0	300								1	1						
10300801	103008	2	300	600	6:goods_icon_5340004	4101002	3			1		1	1						
10300802	103008	3	600	900	6:goods_icon_3000003	3000003	45000			2		1	1						
10300803	103008	4	900	1200	6:goods_icon_5340003	4102021	2			3		1	1						
10300804	103008	5	1200	1500	6:goods_icon_4190001	4190001	80			4		1	1						
10300805	103008	6	1500	1800	6:goods_icon_3000002	3000002	80			5		1	1						
10300200	103002	1	0	250								1	1						
10300201	103002	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
10300202	103002	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
10300203	103002	4	750	1000	6:goods_icon_5340003	4102021	2			3		1	1						
10300204	103002	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
10300205	103002	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
10300700	103007	1	0	200								1	1						
10300701	103007	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10300702	103007	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10300703	103007	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10300704	103007	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10300705	103007	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10301900	103019	1	0	250								1	1						
10301901	103019	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
10301902	103019	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
10301903	103019	4	750	1000	6:goods_icon_5340003	4102011	2			3		1	1						
10301904	103019	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
10301905	103019	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
10302100	103021	1	0	375								1	1						
10302101	103021	2	375	750	6:goods_icon_5340004	4101002	4			1		1	1						
10302102	103021	3	750	1125	6:goods_icon_3000003	3000003	60000			2		1	1						
10302103	103021	4	1125	1500	6:goods_icon_5340003	4102031	2			3		1	1						
10302104	103021	5	1500	1875	6:goods_icon_4190001	4190001	100			4		1	1						
10302105	103021	6	1875	2250	6:goods_icon_3000002	3000002	100			5		1	1						
10400300	104003	1	0	300								1	1						
10400301	104003	2	300	600	6:goods_icon_5340004	4101002	3			1		1	1						
10400302	104003	3	600	900	6:goods_icon_3000003	3000003	45000			2		1	1						
10400303	104003	4	900	1200	6:goods_icon_5340003	4102021	2			3		1	1						
10400304	104003	5	1200	1500	6:goods_icon_4190001	4190001	80			4		1	1						
10400305	104003	6	1500	1800	6:goods_icon_3000002	3000002	80			5		1	1						
10400500	104005	1	0	250								1	1						
10400501	104005	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
10400502	104005	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
10400503	104005	4	750	1000	6:goods_icon_5340003	4102011	2			3		1	1						
10400504	104005	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
10400505	104005	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
10400100	104001	1	0	200								1	1						
10400101	104001	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10400102	104001	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10400103	104001	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10400104	104001	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10400105	104001	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10400800	104008	1	0	200								1	1						
10400801	104008	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10400802	104008	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10400803	104008	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
10400804	104008	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10400805	104008	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10500800	105008	1	0	200								1	1						
10500801	105008	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10500802	105008	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10500803	105008	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10500804	105008	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10500805	105008	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10500100	105001	1	0	200								1	1						
10500101	105001	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10500102	105001	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10500103	105001	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
10500104	105001	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10500105	105001	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10500200	105002	1	0	200								1	1						
10500201	105002	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10500202	105002	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10500203	105002	4	600	800	6:goods_icon_5340003	4102011	1			3		1	1						
10500204	105002	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10500205	105002	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10500600	105006	1	0	250								1	1						
10500601	105006	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
10500602	105006	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
10500603	105006	4	750	1000	6:goods_icon_5340003	4102021	2			3		1	1						
10500604	105006	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
10500605	105006	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
10600800	106008	1	0	250								1	1						
10600801	106008	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
10600802	106008	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
10600803	106008	4	750	1000	6:goods_icon_5340003	4102021	2			3		1	1						
10600804	106008	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
10600805	106008	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
10600100	106001	1	0	250								1	1						
10600101	106001	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
10600102	106001	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
10600103	106001	4	750	1000	6:goods_icon_5340003	4102011	2			3		1	1						
10600104	106001	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
10600105	106001	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
10600200	106002	1	0	200								1	1						
10600201	106002	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10600202	106002	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10600203	106002	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10600204	106002	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10600205	106002	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10601000	106010	1	0	200								1	1						
10601001	106010	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10601002	106010	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10601003	106010	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
10601004	106010	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10601005	106010	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10700800	107008	1	0	300								1	1						
10700801	107008	2	300	600	6:goods_icon_5340004	4101002	3			1		1	1						
10700802	107008	3	600	900	6:goods_icon_3000003	3000003	45000			2		1	1						
10700803	107008	4	900	1200	6:goods_icon_5340003	4102021	2			3		1	1						
10700804	107008	5	1200	1500	6:goods_icon_4190001	4190001	80			4		1	1						
10700805	107008	6	1500	1800	6:goods_icon_3000002	3000002	80			5		1	1						
10700100	107001	1	0	200								1	1						
10700101	107001	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10700102	107001	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10700103	107001	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10700104	107001	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10700105	107001	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10700500	107005	1	0	200								1	1						
10700501	107005	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10700502	107005	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10700503	107005	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
10700504	107005	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10700505	107005	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10800800	108008	1	0	300								1	1						
10800801	108008	2	300	600	6:goods_icon_5340004	4101002	3			1		1	1						
10800802	108008	3	600	900	6:goods_icon_3000003	3000003	45000			2		1	1						
10800803	108008	4	900	1200	6:goods_icon_5340003	4102011	2			3		1	1						
10800804	108008	5	1200	1500	6:goods_icon_4190001	4190001	80			4		1	1						
10800805	108008	6	1500	1800	6:goods_icon_3000002	3000002	80			5		1	1						
10800100	108001	1	0	200								1	1						
10800101	108001	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10800102	108001	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10800103	108001	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10800104	108001	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10800105	108001	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10800600	108006	1	0	450								1	1						
10800601	108006	2	450	900	6:goods_icon_5340004	4101002	5			1		1	1						
10800602	108006	3	900	1350	6:goods_icon_3000003	3000003	70000			2		1	1						
10800603	108006	4	1350	1800	6:goods_icon_5340003	4102031	3			3		1	1						
10800604	108006	5	1800	2250	6:goods_icon_4190001	4190001	120			4		1	1						
10800605	108006	6	2250	2700	6:goods_icon_3000002	3000002	120			5		1	1						
10800400	108004	1	0	200								1	1						
10800401	108004	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10800402	108004	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10800403	108004	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
10800404	108004	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10800405	108004	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10900800	109008	1	0	200								1	1						
10900801	109008	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10900802	109008	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10900803	109008	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10900804	109008	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10900805	109008	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
11000800	110008	1	0	200								1	1						
11000801	110008	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
11000802	110008	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
11000803	110008	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
11000804	110008	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
11000805	110008	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
11100800	111008	1	0	450								1	1						
11100801	111008	2	450	900	6:goods_icon_5340004	4101002	5			1		1	1						
11100802	111008	3	900	1350	6:goods_icon_3000003	3000003	70000			2		1	1						
11100803	111008	4	1350	1800	6:goods_icon_5340003	4102021	3			3		1	1						
11100804	111008	5	1800	2250	6:goods_icon_4190001	4190001	120			4		1	1						
11100805	111008	6	2250	2700	6:goods_icon_3000002	3000002	120			5		1	1						
11100200	111002	1	0	200								1	1						
11100201	111002	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
11100202	111002	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
11100203	111002	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
11100204	111002	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
11100205	111002	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
11200800	112008	1	0	250								1	1						
11200801	112008	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
11200802	112008	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
11200803	112008	4	750	1000	6:goods_icon_5340003	4102021	2			3		1	1						
11200804	112008	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
11200805	112008	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
11200200	112002	1	0	200								1	1						
11200201	112002	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
11200202	112002	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
11200203	112002	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
11200204	112002	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
11200205	112002	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
11300800	113008	1	0	250								1	1						
11300801	113008	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
11300802	113008	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
11300803	113008	4	750	1000	6:goods_icon_5340003	4102021	2			3		1	1						
11300804	113008	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
11300805	113008	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
11300100	113001	1	0	200								1	1						
11300101	113001	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
11300102	113001	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
11300103	113001	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
11300104	113001	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
11300105	113001	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
11400800	114008	1	0	250								1	1						
11400801	114008	2	250	500	6:goods_icon_5340004	4101002	3			1		1	1						
11400802	114008	3	500	750	6:goods_icon_3000003	3000003	40000			2		1	1						
11400803	114008	4	750	1000	6:goods_icon_5340003	4102021	2			3		1	1						
11400804	114008	5	1000	1250	6:goods_icon_4190001	4190001	70			4		1	1						
11400805	114008	6	1250	1500	6:goods_icon_3000002	3000002	70			5		1	1						
11400100	114001	1	0	200								1	1						
11400101	114001	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
11400102	114001	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
11400103	114001	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
11400104	114001	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
11400105	114001	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90400100	904001	1	0	200								1	1						
90400101	904001	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90400102	904001	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90400103	904001	4	600	800	6:goods_icon_5340003	4102011	1			3		1	1						
90400104	904001	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90400105	904001	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90400200	904002	1	0	200								1	1						
90400201	904002	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90400202	904002	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90400203	904002	4	600	800	6:goods_icon_5340003	4102011	1			3		1	1						
90400204	904002	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90400205	904002	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90400500	904005	1	0	200								1	1						
90400501	904005	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90400502	904005	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90400503	904005	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
90400504	904005	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90400505	904005	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90400600	904006	1	0	200								1	1						
90400601	904006	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90400602	904006	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90400603	904006	4	600	800	6:goods_icon_5340003	4102011	1			3		1	1						
90400604	904006	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90400605	904006	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90400900	904009	1	0	200								1	1						
90400901	904009	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90400902	904009	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90400903	904009	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
90400904	904009	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90400905	904009	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90401000	904010	1	0	200								1	1						
90401001	904010	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90401002	904010	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90401003	904010	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
90401004	904010	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90401005	904010	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90401400	904014	1	0	200								1	1						
90401401	904014	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90401402	904014	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90401403	904014	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
90401404	904014	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90401405	904014	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90401500	904015	1	0	200								1	1						
90401501	904015	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90401502	904015	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90401503	904015	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
90401504	904015	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90401505	904015	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90402000	904020	1	0	200								1	1						
90402001	904020	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90402002	904020	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90402003	904020	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
90402004	904020	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90402005	904020	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90402200	904022	1	0	200								1	1						
90402201	904022	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90402202	904022	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90402203	904022	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
90402204	904022	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90402205	904022	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90402500	904025	1	0	200								1	1						
90402501	904025	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90402502	904025	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90402503	904025	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
90402504	904025	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90402505	904025	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90402600	904026	1	0	200								1	1						
90402601	904026	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90402602	904026	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90402603	904026	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
90402604	904026	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90402605	904026	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90403100	904031	1	0	200								1	1						
90403101	904031	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90403102	904031	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90403103	904031	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
90403104	904031	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90403105	904031	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90403300	904033	1	0	200								1	1						
90403301	904033	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90403302	904033	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90403303	904033	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
90403304	904033	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90403305	904033	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90403400	904034	1	0	200								1	1						
90403401	904034	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90403402	904034	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90403403	904034	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
90403404	904034	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90403405	904034	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90404100	904041	1	0	200								1	1						
90404101	904041	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90404102	904041	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90404103	904041	4	600	800	6:goods_icon_5340003	4102011	1			3		1	1						
90404104	904041	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90404105	904041	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90404300	904043	1	0	200								1	1						
90404301	904043	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90404302	904043	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90404303	904043	4	600	800	6:goods_icon_5340003	4102011	1			3		1	1						
90404304	904043	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90404305	904043	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
90800200	908002	1	0	200								1	1						
90800201	908002	2	200	400	6:goods_icon_4101002	4101002	2			1		1	1						
90800202	908002	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
90800203	908002	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
90800204	908002	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
90800205	908002	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
11500800	115008	1	0	200								1	1						
11500801	115008	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
11500802	115008	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
11500803	115008	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
11500804	115008	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
11500805	115008	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
12700800	127008	1	0	200								1	1						
12700801	127008	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
12700802	127008	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
12700803	127008	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
12700804	127008	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
12700805	127008	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
13000800	130008	1	0	200								1	1						
13000801	130008	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
13000802	130008	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
13000803	130008	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
13000804	130008	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
13000805	130008	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
13100800	131008	1	0	200								1	1						
13100801	131008	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
