id	animeId	lecturer	inTime	outTime	fadeIn	fadeOut	status	subtitle	subtitle_zh_TW	subtitle_en_UK	subtitle_ja_JP	subtitle_ko_KR	subtitle_th_TH
21	vo_live3d_11100205_idle2_3		5700	7000	0	0	1	嗯~	嗯~	Hmm...	う～ん。	음~	อืมม~
22	vo_live3d_11100205_idle2_3		7400	11500	100	100	1	来这里~还有很大的地方哦~	來這裡~還有很大的地方哦~	There's still plenty of room here, you know, for both of us.	おいで、十分入れるわよ～	자, 어서. 넓으니까 들어와도 돼요~	มา​นี่​สิ​~​ ตรงนี้​ยัง​ว่าง​นะ​~​
23	vo_live3d_10302150_idle1		1	2300	0	100	1	唔…嗯...	唔…嗯...	Uh huh...	うっ……うん……	으... 으윽...	อ่า... อืม...
24	vo_live3d_10302150_idle1		2450	6500	100	100	1	头好晕啊......好像低血糖了	頭好暈啊......好像低血糖了	I feel a bit lightheaded... Maybe I need something to eat...	頭がクラクラする……低血糖なのかしら……	어지러워라... 저혈당인가 봐요...	ปวดหัว​จัง​...​ เหมือน​น้ำตาล​ใน​เลือด​จะ​ต่ำ​
27	vo_live3d_10302150_idle1_2		500	3000	0	0	1	嗯	嗯	Hmm...	うーん	흐아암	อืมม
28	vo_live3d_10302150_idle1_2		3100	4600	100	100	1	——啊~	——啊~	Ah...	……あっ！	...앗!	—อ้าา~
29	vo_live3d_10302150_idle1_2		6100	8800	100	100	1	还是没有力气起来……？	還是沒有力氣起來……？	Still no strength to get up...	まだ力が入りませんわ……	아직 힘이 안들어가네요…	ยัง​ไม่​มี​แรง​ลุกขึ้น​มา​อีก​เห​รอ.​..?​
30	vo_live3d_10302150_idle1_3		0	3400	0	100	1	尾巴……好像被压住了……	尾巴……好像被壓住了……	My tail... it feels kind of stuck.	しっぽが……挟まったようです……	꼬리가... 끼었나봐요…	หาง​...​ เหมือน​จะ​โดน​ทับ​อยู่​...​
31	vo_live3d_10302150_idle2		600	2900	100	100	1	嗯……	嗯……	Umm...	うん……	음…	อืม...
32	vo_live3d_10302150_idle2		3400	5000	100	100	1	还是有点晕晕的……	還是有點暈暈的……	I'm still feeling dizzy...	やはりクラクラする……	역시 어지러워요…	ยังรู้สึกมึนนิดหน่อย...
33	vo_live3d_10302150_idle2		6000	9000	100	100	1	我再休息一下	我再休息一下	Give me a second, please.	もう少し休ませてください……	조금만 쉴게요…	ฉันขอพักอีกเดี๋ยวนะ
34	vo_live3d_11400102_idle1		1	3000	0	0	1	希望……今夜能见到心中所想之人。	希望……今夜能見到心中所想之人。	I hope to see the one I miss tonight.	今夜、思い人に会えますように。	오늘 밤에는 좋아하는 사람과 만날 수 있었으면…	หวัง​ว่า​...​วันนี้​จะ​ได้​เจอ​คน​ที่​อยาก​เจอ​นะ​
35	vo_live3d_11400102_idle1_1		1	800	100	100	1	嗯？	嗯？	Hmm?	うん？	음?	หืมม?
36	vo_live3d_11400102_idle1_1		1000	3000	100	100	1	不可以摸这里哦~	不可以摸這裡哦~	You really shouldn't touch me there.	ここ……触っちゃいけませんよ。	여기를 만지면 안 돼~	ลูบตรงนี้ไม่ได้นะ~
37	vo_live3d_11400102_idle1_3		1	3000	0	0	1	唔…不能看哦...	唔…不能看哦...	Um... You shouldn't be looking here...	うっ……見ないでください……	윽... 보지 말아 줘...	อ่า...ดูไม่ได้นะ...
38	vo_live3d_11400102_idle1_4		1	800	100	100	1	嗯~	嗯~	Hmm...	う～ん。	음~	อืมม~
39	vo_live3d_11400102_idle1_4		1500	4000	100	100	1	很喜欢……	很喜歡……	I really enjoy it...	好き……	응~ 좋아해...	ชอบมากเลย...
40	vo_live3d_11400102_idle2		1	800	100	100	1	唔！	嗯！	Oh!	あっ！	앗!	อึก!
41	vo_live3d_11400102_idle2		1000	3000	100	100	1	你在看哪里？	你在看哪裡？	What are you looking at?	どこを見てるんですか？！	어딜 보는 거야?!	นี่​!​ มอง​ตรงไหน​อยู่​น่ะ​?​
42	vo_live3d_11400102_idle2_1		1	800	100	100	1	嗯！	嗯！	Hmm!	うんっ！	응!	อื้ม!
43	vo_live3d_11400102_idle2_1		1000	3000	100	100	1	摸的很舒服……	摸的很舒服……	That feels quite nice...	調査官の手、気持ちいいです。	조사관의 손길이 너무 기분 좋아	สบายจังเลย...
44	vo_live3d_11400102_idle2_2		1	2000	100	100	1	欸？	唉？	Huh?	え？	어?	เอ๋?
45	vo_live3d_11400102_idle2_2		2600	3900	100	100	1	不行，	不行，	No,	ダメ……	안 돼	ไม่ได้นะ
46	vo_live3d_11400102_idle2_2		4500	7300	100	100	1	我还没有准备好。	我還沒有準備好。	I'm not ready yet.	私、まだ準備が出来ていません。	난 아직 준비가 안 됐어.	ฉันยังไม่พร้อมเลย
47	vo_live3d_11400102_idle2_3		1	3800	0	0	1	嗯？尾巴那么好玩？	嗯？尾巴那麼好玩？	Huh? Is my tail that interesting?	ん？しっぽに興味があるんですか？	응? 꼬리에 관심이 있는 거야?	หืม​?​ เล่น​กับ​หาง​มัน​สนุก​เหรอ​?​
48	vo_live3d_11400102_idle2_4		1	3000	0	0	1	唔？！是你吗？	嗯？！是你嗎？	Ah! Did you just do it?	あっ？！あなたでしたか。	앗? 너였구나	เอ๋?! เธอเองเหรอ?
49	vo_live3d_11300102_idle1_1		1	800	100	100	1	唔？	嗚？	Hum?	ん？	응?	หืม?
50	vo_live3d_11300102_idle1_1		1100	3000	100	100	1	你好呀调查官~~	你好呀調查官~~	Oh, hello there, Inspector!	調査官！やっほー！	조사관, 얏호!	สวัสดี​นะ​ คุณ​ผู้ตรวจการ​~~​
51	vo_live3d_11300102_idle1_3		600	1800	100	100	1	呜哇——	嗚哇——	Uwah...	うわっ！	우왓!	ว้าว—
52	vo_live3d_11300102_idle1_3		2600	4000	100	100	1	嗯~撞到了！	嗯~撞到了！	Ouch... something bumped into me!	うん～ぶつかっちゃった！	힝~ 부딫쳤어!	โอ๊ะ~ชนเข้าให้แล้ว!
53	vo_live3d_11300102_idle1_4		300	1400	100	100	1	啊！	啊！	Ahh!	あっ！	앗!	อ๋า!
54	vo_live3d_11300102_idle1_4		1500	3500	100	100	1	讨厌！被看光了~	討厭！被看光了~	Stop it! You saw too much!	やだ、見られた！	짜증나, 다 봤지!	บ้า​จริง​!​ โดน​เห็น​หมด​แล้ว​~​
55	vo_live3d_11300102_idle2_1		1	1500	100	100	1	唔……	唔……	Uh...	うんっ……	읏…	เอ่อ...
56	vo_live3d_11300102_idle2_1		1900	4000	100	100	1	嗯哼……好舒服啊~	嗯哼……好舒服啊~	Mmm-hmm... It feels so good...	うふふ……気持ちいい～	음...\n우후후... 정말 기분 좋아	อื้มมมม...สบายจัง~
57	vo_live3d_11300102_idle2_2		500	900	100	100	1	喵！	喵！	Meow!	ニャッ！	냐~앙	เมี้ยว!
58	vo_live3d_11300102_idle2_2		1500	2600	100	100	1	你逃不掉喽~	你逃不掉嘍~	I've got you now!	逃がさないよ！	놓치지 않을거라구!	หนีไม่พ้นหรอก~
59	vo_live3d_11300102_idle2_2		2800	3500	100	100	1	嘻嘻~	嘻嘻~	Teehee.	ヒヒッ～	히히~	ฮี่ฮี่~
60	vo_live3d_11300102_idle2_3		1	800	100	100	1	嘿——	嘿——	Hey!	えいっ！	에잇!	เฮ้อ—
61	vo_live3d_11300102_idle2_3		1000	1800	100	100	1	嘻嘻~	嘻嘻~	Teehee.	ヒヒッ～	히히~	ฮี่ฮี่~
62	vo_live3d_11300102_idle2_3		2000	4800	100	100	1	快看！	快看！	Look over there!	見て見て！	봐봐!	ดูนี่สิ!
63	vo_live3d_11300102_idle2_3		5000	5800	100	100	1	喵呜！	喵嗚！	Meow!	にゃー！	냥!	เหมียว!
64	vo_live3d_11300102_idle2_3		6000	7800	100	100	1	嘿嘿~	嘿嘿~	Hee-hee!	えへへ。	에헤헤~	ฮี่ฮี่~
65	vo_live3d_11300102_idle2_3		8000	9800	100	100	1	抓住你了！	抓住你了！	Gotcha!	捕まえた！	잡았다!	จับได้แล้ว!
66	vo_live3d_11300102_idle2_4		1	1200	100	100	1	唔——	嗚——	Mmh—	う～ん。	음~	อึก—
67	vo_live3d_11300102_idle2_4		1500	4200	100	100	1	嗯~要变奇怪了…	嗯~要變奇怪了…	Mmm... This feels weird...	ん～おかしくなっちゃう……	힝~ 기분이 이상해…	อื้มม​~​ ชักจะ​รู้สึก​แปลก​ๆ​ แล้ว​สิ​...​
68	vo_live3d_12900250_timeline_1	1	1	1200	100	100	1	（那是……丝薇蒂！？情报无误，她果然在这……）	（那是……絲薇蒂！？情報無誤，她果然在這……）	(Wait, that's... Sylviette? No mistake in the intel. She's indeed here...)	（あれは……シルヴェッティ？！情報は正しかった、本当にここにいた……）	(어라... 스위티?! 정확한 정보였나 보네. 정말 여기 있었어...)	(​นั่น​คือ​...​ซิ​ลเว็ตต์​!?​ ข้อมูล​ไม่​ผิดพลาด​สิ​นะ​ เธอ​อยู่​ที่นี่​จริงๆ​ ด้วย​......)​
69	vo_live3d_12900250_timeline_1	1	1300	2100	100	100	1	（……！被发现了！？）	（……！被發現了！？）	(Did she see me!?)	（……！気づかれた！）	(...! 발견했나 봐!)	(...!​ โดน​เจอ​ตัว​แล้ว​!?)​
70	vo_live3d_12900250_timeline_1		2300	3800	100	100	1	呵呵……	呵呵……	Hehe...	ふふっ……	후훗	อ๊าาา...
71	vo_live3d_12900250_timeline_1		4000	8000	100	100	1	嗯~真是难得的猎物……	嗯~真是難得的獵物……	Mmm. Quite the rare catch.	う～ん……珍しい獲物だね。	으~음... 보기 드문 사냥감인걸	อืมม​~​ ช่าง​เป็น​เหยื่อ​ที่​หา​ยาก​จริงๆ​...​
72	vo_live3d_12900250_timeline_1	1	8200	11500	100	100	1	（……她又在搞什么鬼？不行，不能跟丢了！）	（……她又在搞什麼鬼？不行，不能跟丟了！）	(...What is she up to now? No, I can't let her slip away!)	（……また何か企んでいるのか？見失わないように慎重に行こう！）	(...또 뭔가 꾸미고 있는 건가? 놓치지 않게 신중하게 쫓아가야겠어!)	(...​เธอ​จะ​ทำ​อะไร​อีก​น่ะ​?​ ไม่​ได้​ จะ​หลง​กัน​ไม่​ได้​!)​
73	vo_live3d_12900250_timeline_1	1	12000	14500	100	100	1	（不见了？！）	（不見了？！）	(Vanished?!)	（いなくなった？！）	(어디로 사라진 거지?!)	(หายไปแล้ว?!)
74	vo_live3d_12900250_timeline_1		15000	19800	100	100	1	喜欢跟踪我？还是……	喜歡跟蹤我？還是……	You like tailing me, huh? Or...	わたしを尾行するのが好きなの？それとも……	날 미행하는 걸 좋아하나 봐? 아니면...	ชอบ​สะกดรอย​ตาม​ฉัน​เหรอ​?​ หรือว่า​...​
75	vo_live3d_12900250_timeline_1		20500	21800	100	100	1	喜欢我？	喜歡我？	Do you harbor affection for me?	わたしのことが、好き？	날 좋아하는 거야?	ชอบฉันงั้นเหรอ?
76		1	1	1200	100	100	1	（糟糕！我得赶紧想办法脱身！！）	（糟糕！我得趕緊想辦法脫身！！）	(Oh no! I need to find a way out quickly!)	Pending（糟糕！我得赶紧想办法脱身！！）	(큰 일이야! 얼른 벗어나야 해!!)	(​แย่​แล้ว​!​ ต้อง​รีบ​หาทาง​หนี​ให้ได้​!!)​
78	vo_live3d_12900250_idle1		1	3000	100	100	1	呵……游戏到此为止~	呵……遊戲到此為止~	Ha... The game ends here.	フッ……ゲームはここまでよ～	훗...게임은 여기까지야~	อ่า​...​งั้น​ก็​จบเกม​เพียงเท่านี้​ล่ะ​นะ​~​
79	vo_live3d_12900250_idle1_1		1	4600	100	100	1	哼哼……	哼哼……	Hmph...	フンッ……	훗…	หึหึ
80	vo_live3d_12900250_idle1_1		5000	7600	100	100	1	现在，你还能做什么呢？	現在，你還能做什麼呢？	Now, what can you possibly do?	今のあなたに、何ができるの？ 	지금 네가 뭘 할 수 있겠어?	ตอนนี้​ คุณ​ยัง​จะ​ทำ​อะไร​ได้​อีก​ล่ะ​?​
81	vo_live3d_12900250_idle1_1		7800	8500	100	100	1	呼~	呼~	Hoo~	ふぅ~	후우…	ฟู่ว~
82	vo_live3d_12900250_idle1_2		1	3900	100	100	1	可怜的小兔子……	可憐的小兔子……	Poor little rabbit...	わたしのウサギちゃん、かわいそうに……	내 귀여운 토끼야, 불쌍하게도…	กระต่าย​น้อย​ผู้​น่า​สง​สา​ร.​..​
83	vo_live3d_12900250_idle1_2		4200	4800	100	100	1	啊……	啊……	Ah...	ああ……	아아…	อ่า...
84	vo_live3d_12900250_idle1_2		5000	7000	100	100	1	你在瑟瑟发抖吗？	你在瑟瑟發抖嗎？	Are you trembling?	震えているの？	떨고 있는 거야?	นี่กำลังสั่นอยู่เหรอ?
85	vo_live3d_12900250_idle0_1_3		1	1900	100	100	1	想反抗？	想反抗？	Thinking of resisting?	わたしに逆らう気？	지금 나한테 반항하는 거야?	คิดจะต่อต้านงั้นเหรอ?
86	vo_live3d_12900250_idle2		1	1900	100	100	1	呜！嗯~	嗚！嗯~	Uah! Mmh...	あっ、うっ！	앗, 윽!	อื๊ออ! อืมม~
87	vo_live3d_12900250_idle2		2200	4000	100	100	1	你不过是小人得志！	你不過是小人得志！	You just got lucky!	調子に乗らないで！	나대지 말라고!	แก​ก็​แค่​คน​ที่​ได้ใจ​ไป​ก็​เท่านั้น​!​
88	vo_live3d_12900250_idle2		4200	6000	100	100	1	就算你问我，也是没有意义的？！	就算你問我，也是沒有意義的？！	I won't allow it even if you ask me!	そんなこと、わたしに聞いても意味ないわ？！	그런 걸 나한테 물어봐도, 아무 의미 없으니까?!	ถึง​แก​ถาม​ฉัน​ ก็​ไม่​มีความหมาย​หรอก​?!​
89	vo_live3d_12900250_idle2_3		1	1900	100	100	1	唔……！别、太……	唔……！別、太……	Ugh...! Stop, it's too...	うっ……！いっ……	하아...! ...거, 거긴 안...돼... 	อึ๊ก​...!​ อย่า​...​ มา​ก.​..​ เกิน​...​
90	vo_live3d_12900250_idle2_3		2200	4000	100	100	1	得寸进尺？！	得寸進尺？！	Getting too greedy!?	いい加減に……しなさい！	적당히... 하라고!	นี่มันจะเกินไปแล้วนะ?!
91	vo_live3d_12900250_narratage	2	1	3000	100	100	1	近日，沉寂已久的丝薇蒂突然重新活跃起来。经过情报网的追踪得知，她频繁出入一家名不见经传的小酒吧……	近日，沉寂已久的絲薇蒂突然重新活躍起來。經過情報網的追蹤得知，她頻繁出入一家名不見經傳的小酒吧……	Recently, Sylviette, who had been quiet for a long time, suddenly became active again. Our intel shows she's been frequenting a nondescript little bar...	近頃、長らく姿を消していたシルヴェッティが再び姿を現した。情報によると、彼女はとあるバーに頻繁に出入りしているという……	최근에 오랫동안 자취를 감췄던 스위티가 모습을 드러냈다. 한 정보에 의하면, 그녀는 한 바에 자주 출입한다고 하는…	ไม่​กี่​วัน​มา​นี้​ ซิ​ลเว็ตต์​ที่​เงียบหาย​ไป​นาน​ก็​กลับมา​เคลื่อนไหว​อีกครั้ง​ หลัง​ติดตาม​ข้อมูล​ผ่าน​เครือข่าย​ข่าวกรอง​พบ​ว่า​ เธอ​เข้าออก​บาร์​เล็ก​ๆ​ ที่​ไม่​เคย​ได้ยิน​ชื่อ​แห่ง​หนึ่ง​อยู่​บ่อยครั้ง​...​
92	vo_live3d_12900250_idle1_3		1	2800	100	100	1	乖、喝下它。	乖、喝下它。	Be good and drink this.	いい子ね。さぁ、これを飲みなさい。	착하네. 자, 이걸 마셔.	เอาล่ะ ดื่มมันซะ
93	vo_live3d_12900250_idle1_3		3100	5800	100	100	1	和我离开这里……	和我離開這裡……	Let's leave this place... together.	わたしと一緒にここを出よう……	나랑 같이 여기서 나가자…	ไปจากที่นี่กับฉัน...
94	vo_live3d_12900250_idle1_3		6000	8000	100	100	1	呜嗯……哈……等等……！	嗚嗯……哈……等等……！	Uh-hmm... Hah... Hold on!	うん……はぁ……待って……！	음... 하아... 잠깐...!	อื้ม​ม.​..​ฮ้า​า​...​เดี๋ยว​ก่อ​น.​..!​
95	vo_live3d_12900250_timeline_1_5		1	5900	100	100	1	顽皮的小兔子， 乖乖地、留在我身边吧~	頑皮的小兔子， 乖乖地、留在我身邊吧~	Naughty little rabbit, just stay right here with me...	ヤンチャなウサギちゃん、おとなしく、わたしのそばにいて～	장난꾸러기 토끼야, 얌전히 내 옆에 있어~	กระต่าย​น้อย​ซุกซน​ เป็น​เด็กดี​ แล้ว​อยู่​ข้าง​กาย​ฉัน​นะ​~​
96	vo_live3d_12900250_idle2_1		1	4000	100	100	1	就算你问我，也是没有意义的？！	就算你問我，也是沒有意義的？！	I won't allow it even if you ask me!	そんなこと、わたしに聞いても意味ないわ？！	그런 걸 나한테 물어봐도, 아무 의미 없으니까?!	ถึง​แก​ถาม​ฉัน​ ก็​ไม่​มีความหมาย​หรอก​?!​
97	vo_live3d_12900250_idle2_2		1	2400	100	100	1	嗯、哈…哈哈…唔，哈！	嗯、哈…哈哈…唔，哈！	Mmm, ha... Hah... Um-ha!	うん、ふぅ……うっ、はぁ……！	음, 후우... 읏, 하아...!	อื้ม​มม.​..​อ้า​า​...​อื้ม​ม.​..​อ้า​!​
98	vo_live3d_12900250_idle2_2		2600	5600	100	100	1	…别，别碰这里...唔.哈哈…	…別，別碰這裡…嗯.哈哈…	...No, don't touch there... Hmm, haha...	……そっ、そこはダメ……うぅ……っふふ……	...거, 거긴 안...돼... 읏... 후후…	...​อย่า​ อย่า​แตะ​ตรงนั้น​...​ อื้ม​ม.​..​ อ้า​า​...​
100	vo_live3d_13600850_idle1		1	4000	100	100	1	不好意思，麻烦店长了……	不好意思，麻煩店長了……	Apologies for the mess, Manager...	店長さん、ごめんなさい……	점장님, 죄송해요…	ขอโทษ​นะคะ​ ต้อง​รบกวน​คุณ​ผู้จัดการ​แล้ว​...​
101	vo_live3d_13600850_idle1_2		1	6900	100	100	1	呜......好像还是有问题.....	嗚......好像還是有問題.....	Oof... Something's still off...	うん……まだ直っていないようだわ……	네... 아직 고쳐지지 않았나 봐요	อื้อ​...​ดูเหมือน​จะ​ยัง​มีปัญหา​อยู่​...​
102	vo_live3d_13600850_idle2		1	5900	100	100	1	修好了吗？真是辛苦店长了~	修好了嗎？真是辛苦店長了~	All fixed now? You're the best, Manager!	もう直ったかしら？さすが店長さん、お疲れ様～	다 고쳤나요? 역시 점장님이시네요. 고생하셨어요	เสร็จ​แล้ว​เหรอ​คะ​?​ ต้อง​ลำบาก​คุณ​ผู้จัดการ​ซะ​แล้ว​~​
103	vo_live3d_13600850_idle2_4		1	3900	100	100	1	身体都打湿了呢……	身體都打濕了呢……	I'm soaking wet...	体中濡れちゃったわ……	온몸이 젖어버렸네요…	ตัว​เปียกโชก​ไป​หมด​เลย​...​
105	vo_live3d_13600850_idle2_5		1	4000	100	100	1	店长也被溅到了呢~	店長也被濺到了呢~	You got a bit of a splash too, Manager!	店長さんにも水が…	점장님한테도 물이~	คุณ​ผู้จัดการ​ก็​โดน​กระเด็น​ใส่​ด้วย​ซะ​แล้ว​~​
106	vo_live3d_13600850_idle2_5		4200	9000	100	100	1	擦好了~感冒了可不好~	擦好了~感冒了可不好~	Here. I wouldn't want you catching a cold, right?	これで大丈夫～風邪ひいたら大変だからね～	이걸로 됐어요~ 감기 걸리면 큰일이니까요~ 	เช็ด​เรียบร้อย​แล้ว​~​ เป็นหวัด​ขึ้น​มา​จะ​ไม่​ดี​นะ​~​
107	vo_live3d_12700150_idle1		1	4800	100	100	1	哎呀，是你来做SPA的吗？	哎呀，是你來做SPA的嗎？	Hey honey, are you here for the spa?	おや、マッサージしに来たのかい？	오호, 마사지를 받으러 온 것이오?	อ้าว คุณมาทำสปาเหรอ?
108	vo_live3d_12700150_idle1		5100	10200	100	100	1	奴家的服务可是很棒的哦~	奴家的服務可是很棒的哦~	You're going to love what I can do!	妾のサービスは素晴らしいわよ～	소첩의 마사지는 정말 훌륭하다오~	บริการ​ของ​ดิฉัน​เยี่ยม​สุด​ๆ​ เลย​นะ​~​
109	vo_live3d_12700150_idle1_1		1	2800	100	100	1	喜欢这种吗？	喜歡這種嗎？	You digging this?	こういうのが好きなの？	이런 걸 좋아하는 것이오?	ชอบแบบนี้เหรอ?
110	vo_live3d_12700150_idle1_2		1	2800	100	100	1	呵呵，真是小乖乖~	呵呵，真是小乖乖~	Hehe, aren't you a sweetheart?	よしよし、良い子ね～	그래그래, 아주 잘했소~	ฮิฮิ ช่างว่าง่ายจริง~
111	vo_live3d_12700150_idle1_2		3000	4800	100	100	1	奴家来帮你~	奴家來幫你~	Let me help you out!	妾が手伝うわ～	소첩이 도와주겠소~	ให้ดิฉันช่วยนะ~
112	vo_live3d_12700150_idle1_2		5000	7800	100	100	1	SPA的话	SPA的話	Gotta get undressed for the spa…	マッサージするには……	마사지를…	ถ้าเป็นสปาล่ะก็
113	vo_live3d_12700150_idle1_2		8000	12000	100	100	1	要脱了才能做啊……	要脫了才能做啊……	You know...	脱がないと……	하려면 벗어야...	ต้อง​ถอด​ออก​ถึง​จะ​ทำได้​นะ​...​
114	vo_live3d_12700150_idle1_3		1	2100	100	100	1	不行哦~	不行哦~	That's not allowed...	あなたでもね～	그대라 해도 말이오~	ไม่ได้นะ~
115	vo_live3d_12700150_idle1_3		2300	5000	100	100	1	就算是你……	就算是你……	Even if it's you...	んふふ、ダメよ……	으음, 후후, 그곳은 안된다오…	ถึงจะเป็นคุณก็...
116	vo_live3d_12700150_idle1_4		1	2400	100	100	1	要用这个吗？	要用這個嗎？	You wanna use this?	うん……これにする？	이걸로 하겠소?	จะใช้อันนี้เหรอ?
117	vo_live3d_12700150_idle2		1	7800	100	100	1	奴家的服务结束了呢……	奴家的服務結束了呢……	My service is over now...	はぁ、妾のサービスはここでおしまい……	소첩의 서비스는 여기서 끝이라오…	การ​บริการ​ของ​เรา​จบ​แล้ว​นะคะ​...​
118	vo_live3d_12700150_idle2_1		1	6800	100	100	1	这算是奖~励~吗？	這算是獎~勵~嗎？	So, is this my reward?	これは……ご・ほ・う・び？	이건... 상.이.라.오?	นี่​เป็น​~​ ราง​~​ วัล​~​ สิ​นะ​?​
119	vo_live3d_12700150_idle2_2		1	2800	100	100	1	感觉有什么要出来了……	感覺有什麼要出來了……	Something's coming out...	何かが出て来ちゃうわ……あ～ん。	무언가 나올 것 같소…	รู้สึก​เหมือน​มี​อะไร​กำลังจะ​ออกมา​...​
120	vo_live3d_12700150_idle2_3		1	3800	100	100	1	好舒服…	好舒服…	Feels so good...	うん……気持ちいい……う～ん。	기분이 좋소…	สบายจัง...
121	vo_live3d_12700150_idle2_6		1	2800	100	100	1	奴家也很疲惫呢~	奴家也很疲憊呢~	I'm pretty exhausted myself!	妾も疲れたわ～	소첩도 힘이 드는구려~	ดิฉัน​ก็​เหนื่อย​เหมือนกัน​นะ​~​
122	vo_live3d_14100850_idle1_b		6000	7800	100	100	1	调查官……	調查官……	Inspector...	ちょうさかん……	조사관…	คุณผู้ตรวจการ...
123	vo_live3d_14100850_idle1_c		9800	11750	100	100	1	不行哦……	不行哦……	That's not allowed...	うっ……だめよ……	으음, 안 돼…	ไม่ได้นะ...
124	vo_live3d_14100850_idle1_1		6800	12700	100	100	1	调查官……别走……	調查官……別走……	Inspector... Don't leave me...	うぅ……調査官……行かないで……	으음, 조사관... 가지마…	คุณ​ผู้ตรวจ​กา​ร.​..​ อย่า​ไป​...​
125	vo_live3d_14100850_idle1_3		3500	8700	100	100	1	这是小铃的……	這是小鈴的……	It's mine...	うぅ……これは、リンの……	이건... 린의…	นี่เป็นของลินน์...
