SkillId,,,Rank,Name,OwnerId,,Des,,TipDes,SkillType,,Tags,SkillTypeDes,IsImmediate,BattleStart,IniCd,Cd,ImmediateSkillShowOnly,Energy,UseCondition,MaxLevel,SkillTarget,SkillTargetValue,SkillTargetEffect,SkillTargetEffectShow,LevelSkills,SkillLevelEffectParamRefix,SkillEnergyEffectParamRefix,AutoUseCondition,AutoUsePriority,AutoUseEnergy,AutoSkillTarget,AutoSkillTargetValue,NextSkill,ShowId,Icon
2100001,律,律,,skillname_2100001,0,弱点强化,skill_des_2100001,下一次弱点伤害提升,skill_tip_des_2100001,6,,,,0,0,0,0,,0,0,14,0,0,"300000130,300000131","300000130,300000131",0,0,0,"999,1,1",0,,,,0,100010,standby_02_icon
30000013,律普攻等级+1,律,,skillname_30000013,0,律普攻等级+1,skill_des_30000013,律普攻等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000150,300000150,0,0,0,,,,,,0,,
30000014,律奥义等级+1,律,,skillname_30000014,0,律奥义等级+1,skill_des_30000014,律奥义等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000160,300000160,0,0,0,,,,,,0,,
30000015,律等待等级+1,律,,skillname_30000015,0,律等待等级+1,skill_des_30000015,律等待等级+1,,4,,,,0,0,0,0,,0,0,10,0,0,300000170,300000170,0,0,0,,,,,,0,,
30000021,克萝萝普攻,克萝萝,,skillname_30000021,0,普通攻击,skill_des_30000021,"克萝萝吹响海螺,发动攻击。",skill_tip_des_30000021,1,,1,,0,0,0,0,,0,0,14,"1,3","1,1,1;2,2,2,1,0",300000210;300000212,"300000210,300000211;300000212",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","5,3,2,0,1",,3,"1,2,2,1,0",0,100021,3000002_pg_icon
30000022,克萝萝奥义-单体,克萝萝,,skillname_30000022,0,五月雨爪击,skill_des_30000022,"克萝萝亮出利爪,小狐狸可不好惹！",skill_tip_des_30000022,3,,2,,0,0,0,5,,300,0,14,"2,2,2","1,3;3,6;2,3","300000220;100;300000240,300000222","300000220,300000221,300000222;300000240",0,0,0,"20003,1;20003,2;20003,3;999,1","10,7,5,0",3,,,0,100022,3000002_ay_icon
2100002,克罗罗,克萝萝,,skillname_2100002,0,回复,skill_des_2100002,自身回血,skill_tip_des_2100002,6,,,,0,0,0,0,,0,0,14,0,0,"300000230,300000231","300000230,300000231",0,0,0,"999,1,1",0,,,,0,100010,standby_03_icon
30000023,克萝萝普攻等级+1,克萝萝,,skillname_30000023,0,克萝萝普攻等级+1,skill_des_30000023,克萝萝普攻等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000250,300000250,0,0,0,,,,,,0,,
30000024,克萝萝奥义等级+1,克萝萝,,skillname_30000024,0,克萝萝奥义等级+1,skill_des_30000024,克萝萝奥义等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000260,300000260,0,0,0,,,,,,0,,
30000025,克萝萝等待等级+1,克萝萝,,skillname_30000025,0,克萝萝等待等级+1,skill_des_30000025,克萝萝等待等级+1,,4,,,,0,0,0,0,,0,0,10,0,0,300000270,300000270,0,0,0,,,,,,0,,
30000031,黑神月咏普攻,黑神月咏,,skillname_30000031,0,普通攻击,skill_des_30000031,"黑神月咏凝神挥剑,发动攻击。",skill_tip_des_30000031,1,,1,,0,0,0,0,,0,0,14,"1,0","1,1,1;0",300000310;300000312,"300000310,300000311;300000312",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","5,3,2,0,1",,3,"1,2,2,1,0",0,100031,3000003_pg_icon
30000032,黑神月咏奥义-单体,黑神月咏,,skillname_30000032,0,月夜耀华,skill_des_30000032,"黑神月咏心剑合一,剑光辉映月华！",skill_tip_des_30000032,3,,1,,0,0,0,5,,300,0,14,"0,1,0","0;1,1,1;0",300000323;300000320;300000322,"300000320,300000321,300000323;300000340",0,0,0,"20003,1;20003,2;20003,3;999,1","10,7,5,0",3,3,"1,2,2,1,0",0,100032,3000003_ay_icon
2100003,黑神,黑神月咏,,skillname_2100003,0,攻击强化,skill_des_2100003,下一次攻击提升,skill_tip_des_2100003,6,,,,0,0,0,0,,0,0,14,0,0,"300000330,300000331","300000330,300000331",0,0,0,"999,1,1",0,,,,0,100010,standby_04_icon
30000033,黑神月咏普攻等级+1,黑神月咏,,skillname_30000033,0,黑神月咏普攻等级+1,skill_des_30000033,黑神月咏普攻等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000350,300000350,0,0,0,,,,,,0,,
30000034,黑神月咏奥义等级+1,黑神月咏,,skillname_30000034,0,黑神月咏奥义等级+1,skill_des_30000034,黑神月咏奥义等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000360,300000360,0,0,0,,,,,,0,,
30000035,黑神月咏等待等级+1,黑神月咏,,skillname_30000035,0,黑神月咏等待等级+1,skill_des_30000035,黑神月咏等待等级+1,,4,,,,0,0,0,0,,0,0,10,0,0,300000370,300000370,0,0,0,,,,,,0,,
30000036,黑神领域,黑神月咏,,skillname_30000035,0,黑神领域,skill_des_30000035,黑神月咏等待等级+1,,2,,,,0,0,0,0,,0,0,14,"2,2","3,6;2,3",100;300000340,300000370,0,0,0,,,,,,0,,
30000041,安洁普攻,安洁,,skillname_30000041,0,普通攻击,skill_des_30000041,"安洁凝聚魔力,发动攻击。",skill_tip_des_30000041,1,,1,,0,0,0,0,,0,0,14,1,"1,1,1","300000410,300000412","300000410,300000411,300000412",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","5,3,2,0,1",,3,"1,2,2,1,0",0,100041,3000004_pg_icon
30000042,安洁奥义-单体,安洁,,skillname_30000042,0,真理之章,skill_des_30000042,"安洁聚合元素,归于真理,释放出本源的力量！",skill_tip_des_30000042,3,,2,,0,0,0,5,,300,0,14,"2,2,2","1,3;3,6;2,3",300000420;100;300000440,"300000420,300000421,300000422;300000440",0,0,0,"20003,1;20003,2;20003,3;999,1","10,7,5,0",3,,,0,100042,3000004_ay_icon
2100004,安洁,安洁,,skillname_2100004,0,集气,skill_des_2100004,立即获得BP,skill_tip_des_2100004,6,,,,0,0,0,0,,0,0,14,0,0,"300000430,300000431","300000430,300000431",0,0,0,"999,1,1",0,,,,0,100010,standby_05_icon
30000043,安洁普攻等级+1,安洁,,skillname_30000043,0,安洁普攻等级+1,skill_des_30000043,安洁普攻等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000450,300000450,0,0,0,,,,,,0,,
30000044,安洁奥义等级+1,安洁,,skillname_30000044,0,安洁奥义等级+1,skill_des_30000044,安洁奥义等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000460,300000460,0,0,0,,,,,,0,,
30000045,安洁等待等级+1,安洁,,skillname_30000045,0,安洁等待等级+1,skill_des_30000045,安洁等待等级+1,,4,,,,0,0,0,0,,0,0,10,0,0,300000470,300000470,0,0,0,,,,,,0,,
30000051,米娅普攻,米娅,,skillname_30000051,0,普通攻击,skill_des_30000051,"米娅凝神蓄力,发动攻击。",skill_tip_des_30000051,1,,1,,0,0,0,0,,0,0,14,1,"1,1,1","300000510,300000512","300000510,300000511,300000512",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","5,3,2,0,1",,3,"1,2,2,1,0",0,100051,3000005_pg_icon
30000052,米娅奥义-单体,米娅,,skillname_30000052,0,聚能爆裂,skill_des_30000052,"米娅蓄积力量后的攻击,力透山石！",skill_tip_des_30000052,3,,2,,0,0,0,5,,300,0,14,"2,2,2","1,3;3,6;2,3",300000520;100;300000540,"300000520,300000521,300000522;300000540",0,0,0,"20003,1;20003,2;20003,3;999,1","10,7,5,0",3,,,0,100052,3000005_ay_icon
2100005,米娅,米娅,,skillname_2100005,0,防御,skill_des_2100005,自身护甲提升,skill_tip_des_2100005,6,,,,0,0,0,0,,0,0,14,0,0,"300000530,300000531","300000530,300000531",0,0,0,"999,1,1",0,,,,0,100010,standby_06_icon
30000053,米娅普攻等级+1,米娅,,skillname_30000053,0,米娅普攻等级+1,skill_des_30000053,米娅普攻等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000550,300000550,0,0,0,,,,,,0,,
30000054,米娅奥义等级+1,米娅,,skillname_30000054,0,米娅奥义等级+1,skill_des_30000054,米娅奥义等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000560,300000560,0,0,0,,,,,,0,,
30000055,米娅等待等级+1,米娅,,skillname_30000055,0,米娅等待等级+1,skill_des_30000055,米娅等待等级+1,,4,,,,0,0,0,0,,0,0,10,0,0,300000570,300000570,0,0,0,,,,,,0,,
30000061,玛莎普攻,玛莎,,skillname_30000061,0,普通攻击,skill_des_30000061,"玛莎为刺剑裹上魔力,对敌人发起攻击。",skill_tip_des_30000061,1,,1,,0,0,0,0,,0,0,14,1,"1,1,1","300000610,300000612","300000610,300000611,300000612",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","5,3,2,0,1",,3,"1,2,2,1,0",0,100061,3000006_pg_icon
30000062,玛莎奥义-单体,玛莎,,skillname_30000062,0,苍蓝回响,skill_des_30000062,"以“历史”为柴薪,玛莎唤出苍蓝之火。",skill_tip_des_30000062,3,,2,,0,0,0,5,,300,0,14,"2,2,2","1,3;3,6;2,3","300000620;100;300000640,300000641,300000642,300000643","300000620,300000621;300000640,300000641,300000642,300000643",0,0,0,"20003,1;20003,2;20003,3;999,1","10,7,5,0",3,,,0,100062,3000006_ay_icon
2100006,玛莎等待,玛莎,,skillname_2100006,0,蓄势,skill_des_2100006,下一次效果命中提升,skill_tip_des_2100006,6,,,,0,0,0,0,,0,0,14,0,0,"300000630,300000631","300000630,300000631",0,0,0,"999,1,1",0,,,,0,100010,standby_07_icon
30000063,玛莎普攻等级+1,玛莎,,skillname_30000063,0,玛莎普攻等级+1,skill_des_30000063,玛莎普攻等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000650,300000650,0,0,0,,,,,,0,,
30000064,玛莎奥义等级+1,玛莎,,skillname_30000064,0,玛莎奥义等级+1,skill_des_30000064,玛莎奥义等级+1,,4,,,,0,0,0,0,,0,0,1,0,0,300000660,300000660,0,0,0,,,,,,0,,
30000065,玛莎等待等级+1,玛莎,,skillname_30000065,0,玛莎等待等级+1,skill_des_30000065,玛莎等待等级+1,,4,,,,0,0,0,0,,0,0,10,0,0,300000670,300000670,0,0,0,,,,,,0,,
30130010,格蕾饰品,格蕾,,skillname_30130010,3013001,,skill_des_30130010,,skill_tip_des_30130010,4,,,,0,0,0,0,,0,0,10,0,0,301300101,301300100,0,0,0,,,,,,0,,
30130011,格蕾1,格蕾,,skillname_30130011,3013001,神罚降临,skill_des_30130011,"格蕾挥动剑刃,为敌人赐下神罚。",skill_tip_des_30130011,2,,1,,0,0,0,5,,0,0,10,1,"1,1,1","301300110,301300112","301300110,301300111,301300112",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130011,130011_icon
30130012,格蕾2,格蕾,,skillname_30130012,3013001,武技锤炼,skill_des_30130012,"在永恒的时间里,格蕾从未放松对武技的巩固。",skill_tip_des_30130012,4,,,,0,0,0,0,,0,0,10,0,0,"301300120,301300121",301300122,0,0,0,,,,,,0,,130012_icon
30130013,格蕾3,格蕾,,skillname_30130013,3013001,女武神,skill_des_30130013,"女武神予凡间英灵以试炼,并见证其是否拥有进入天界的资格。",skill_tip_des_30130013,4,,,,0,0,0,0,,0,0,10,0,0,"301300130,301300131",301300130,0,0,0,,,,,,0,,130013_icon
30130014,格蕾1觉醒,格蕾,,skillname_30130014,3013001,神罚降临,skill_des_30130014,"格蕾挥动剑刃,为敌人赐下神罚。",skill_tip_des_30130014,2,,1,,0,0,0,5,,0,0,10,1,"1,1,1","301300110,301300112,301300140","301300110,301300111,301300112,301300140",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130011,130011_icon
30130015,格蕾3觉醒,格蕾,,skillname_30130015,3013001,女武神,skill_des_30130015,"女武神予凡间英灵以试炼,并见证其是否拥有进入天界的资格。",skill_tip_des_30130015,4,,,,0,0,0,0,,0,0,10,0,0,"301300130,301300150,301300151","301300130,301300150",0,0,0,,,,,,0,,130013_icon
30130016,格蕾2觉醒,格蕾,,skillname_30130016,3013001,武技锤炼,skill_des_30130016,"在永恒的时间里,格蕾从未放松对武技的巩固。",skill_tip_des_30130016,4,,,,0,0,0,0,,0,0,10,0,0,"301300160,301300161",301300162,0,0,0,,,,,,0,,130012_icon
30130030,阿涅克丝饰品,阿涅克丝,,skillname_30130030,3013003,,skill_des_30130030,,skill_tip_des_30130030,4,,,,0,0,0,0,,0,0,10,0,0,301300301,301300300,0,0,0,,,,,,0,,
30130031,阿涅克丝1,阿涅克丝,,skillname_30130031,3013003,雷电闪击,skill_des_30130031,"阿涅克丝释放缠绕周身的雷电之力,以闪电般的速度突袭敌人。",skill_tip_des_30130031,2,,2,,0,0,0,5,,0,0,10,2,"1,3","301300310,301300312","301300310,301300311,301300312",0,0,0,"20003,1;20003,2;20003,3;999,1","9,6,4,0",0,,,0,130031,130031_icon
30130032,阿涅克丝2,阿涅克丝,,skillname_30130032,3013003,引雷,skill_des_30130032,"天上雷霆是为神明之声,而雷兽引下雷电,以自己的意志投出闪光。",skill_tip_des_30130032,2,,1,,0,0,0,5,,0,0,10,1,"1,1,1","301300322,301300320","301300320,301300321,301300322",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130032,130032_icon
30130033,阿涅克丝3,阿涅克丝,,skillname_30130033,3013003,电光亲和,skill_des_30130033,"秩序可爱的雷鸣妖兽,引动雷电,代表正义作战！",skill_tip_des_30130033,4,,,,0,0,0,0,,0,0,10,0,0,"301300330,301300331",301300330,0,0,0,,,,,,0,,130033_icon
30130034,阿涅克丝1觉醒,阿涅克丝,,skillname_30130034,3013003,雷电闪击,skill_des_30130034,"阿涅克丝释放缠绕周身的雷电之力,以闪电般的速度突袭敌人。",skill_tip_des_30130034,2,,2,,0,0,0,5,,0,0,10,2,"1,3","301300310,301300340","301300310,301300311,301300340",0,0,0,"20003,1;20003,2;20003,3;999,1","9,6,4,0",0,,,0,130031,130031_icon
30130035,阿涅克丝3觉醒,阿涅克丝,,skillname_30130035,3013003,电光亲和,skill_des_30130035,"秩序可爱的雷鸣妖兽,引动雷电,代表正义作战！",skill_tip_des_30130035,4,,,,0,0,0,0,,0,0,10,0,0,"301300330,301300350,301300351","301300330,301300350",0,0,0,,,,,,0,,130033_icon
30130036,阿涅克丝2觉醒,阿涅克丝,,skillname_30130036,3013003,引雷,skill_des_30130036,"天上雷霆是为神明之声,而雷兽引下雷电,以自己的意志投出闪光。",skill_tip_des_30130036,2,,1,,0,0,0,5,,0,0,10,1,"1,1,1","301300360,301300320","301300320,301300321,301300361",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130032,130032_icon
30130040,炽爱饰品,炽爱,,skillname_30130040,3013004,,skill_des_30130040,,skill_tip_des_30130040,4,,,,0,0,0,0,,0,0,10,0,0,301300401,301300400,0,0,0,,,,,,0,,
30130041,炽爱1,炽爱,,skillname_30130041,3013004,审判,skill_des_30130041,"罪者理当接受审判,炽爱挥动长枪,贯彻此道。",skill_tip_des_30130041,2,,1,,0,0,0,5,,0,0,10,1,"1,1,1","301300410,301300461","301300410,301300411,301300461",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130041,130041_icon
30130042,炽爱2,炽爱,,skillname_30130042,3013004,裁断之眼,skill_des_30130042,"那洞穿灵魂的眼眸,足以看破任何忤逆神灵的罪者内心。",skill_tip_des_30130042,2,,,,1,0,0,5,,100,0,10,0,0,"301300420,301300421","301300420,301300421",0,0,0,"20012,1;20013,1;20014,1;999,1","9,6,4,0",,,,0,130042,130042_icon
30130043,炽爱3,炽爱,,skillname_30130043,3013004,守望者,skill_des_30130043,"怀抱永世孤独的守望者,将枪尖对准每一个妄图破坏永恒的邪恶。",skill_tip_des_30130043,4,,,,0,0,0,0,,0,0,10,0,0,"301300430,301300431",301300430,0,0,0,,,,,,0,,130043_icon
30130044,炽爱3觉醒,炽爱,,skillname_30130044,3013004,守望者,skill_des_30130044,"怀抱永世孤独的守望者,将枪尖对准每一个妄图破坏永恒的邪恶。",skill_tip_des_30130044,4,,,,0,0,0,0,,0,0,10,0,0,"301300430,301300440,301300441","301300430,301300440",0,0,0,,,,,,0,,130043_icon
30130045,炽爱2觉醒,炽爱,,skillname_30130045,3013004,裁断之眼,skill_des_30130045,"那洞穿灵魂的眼眸,足以看破任何忤逆神灵的罪者内心。",skill_tip_des_30130045,2,,,,1,0,0,5,,100,0,10,"2,0","2,3;0",301300450;301300421,301300450;301300421,0,0,0,"20012,1;20013,1;20014,1;999,1","9,6,4,0",300,,,0,130042,130042_icon
30130046,炽爱1觉醒,炽爱,,skillname_30130046,3013004,审判,skill_des_30130046,"罪者理当接受审判,炽爱挥动长枪,贯彻此道。",skill_tip_des_30130046,2,,1,,0,0,0,5,,0,0,10,1,"1,1,1","301300410,301300460","301300410,301300411,301300460",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130041,130041_icon
30130060,水仙饰品,水仙,,skillname_30130060,3013006,,skill_des_30130060,,skill_tip_des_30130060,4,,,,0,0,0,0,,0,0,10,0,0,301300600,301300600,0,0,0,,,,,,0,,
30130061,水仙1,水仙,,skillname_30130061,3013006,激流,skill_des_30130061,"水仙挥舞尖矛,驾驭深海的激流。",skill_tip_des_30130061,2,,2,,0,0,0,5,,0,0,10,"0,2","0;1,3","301300612;301300610,301300613","301300610,301300611,301300613,301300612",0,0,0,"20003,1;20003,2;20003,3;999,1","9,6,4,0",0,,,0,130061,130061_icon
30130062,水仙2,水仙,,skillname_30130062,3013006,背水,skill_des_30130062,"自她决意孤身渡海起,高傲的游骑手便已视死如归。",skill_tip_des_30130062,2,,,,1,0,0,5,,100,0,10,0,0,301300620,301300620,0,0,0,"20012,1;20013,1;20014,1;999,1","9,6,4,0",,,,0,130062,130062_icon
30130063,水仙3,水仙,,skillname_30130063,3013006,逆浪,skill_des_30130063,"海歌氏族不惧任何挑战,即便是强如巨龙,这尾人鱼依旧逆流向前。",skill_tip_des_30130063,4,,,,0,0,0,0,,0,0,10,0,0,"301300630,301300631","301300630,301300631",0,0,0,,,,,,0,,130063_icon
30130064,水仙3觉醒,水仙,,skillname_30130064,3013006,逆浪,skill_des_30130064,"海歌氏族不惧任何挑战,即便是强如巨龙,这尾人鱼依旧逆流向前。",skill_tip_des_30130064,4,,,,0,0,0,0,,0,0,10,0,0,"301300651,301300650","301300651,301300650",0,0,0,,,,,,0,,130063_icon
30130065,水仙2觉醒,水仙,,skillname_30130065,3013006,背水,skill_des_30130065,"自她决意孤身渡海起,高傲的游骑手便已视死如归。",skill_tip_des_30130065,2,,,,1,0,0,5,,100,0,10,0,0,"301300620,301300640","301300620,301300640",0,0,0,"20012,1;20013,1;20014,1;999,1","9,6,4,0",,,,0,130062,130062_icon
30130066,水仙1觉醒,水仙,,skillname_30130066,3013006,激流,skill_des_30130066,"水仙挥舞尖矛,驾驭深海的激流。",skill_tip_des_30130066,2,,2,,0,0,0,5,,0,0,10,"0,2","0;1,3","301300680;301300610,301300680","301300610,301300611,301300680,301300612",0,0,0,"20003,1;20003,2;20003,3;999,1","9,6,4,0",0,,,0,130061,130061_icon
30130070,菲莉希亚饰品,菲莉希亚,,skillname_30130070,3013007,,skill_des_30130070,,skill_tip_des_30130070,4,,,,0,0,0,0,,0,0,10,0,0,301300701,301300700,0,0,0,,,,,,0,,
30130071,菲莉希亚1,菲莉希亚,,skillname_30130071,3013007,疾风刻痕,skill_des_30130071,"借用飒飒森风,菲莉希亚替敌刻上命运。",skill_tip_des_30130071,2,,1,,0,0,0,5,,0,0,10,"1,0","1,1,1;0","301300710,301300713;301300712","301300710,301300711,301300712;301300713",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130071,130071_icon
30130072,菲莉希亚2,菲莉希亚,,skillname_30130072,3013007,森林庇佑,skill_des_30130072,"森林予以精灵栖身之所,亦予以其守卫家园的力量。",skill_tip_des_30130072,2,,,,1,0,0,5,,200,0,10,1,"2,1,1","301300720,301300721","301300720,301300721",0,0,0,"20012,1;20013,1;20014,1;999,1","9,6,4,0",,,,0,130072,130072_icon
30130073,菲莉希亚3,菲莉希亚,,skillname_30130073,3013007,千年护卫,skill_des_30130073,"千年的时光强化着这位游侠领主的感知。森林之中,她闲庭信步。",skill_tip_des_30130073,4,,,,0,0,0,0,,0,0,10,0,0,"301300730,301300731",301300730,0,0,0,,,,,,0,,130073_icon
30130074,菲莉希亚1觉醒,菲莉希亚,,skillname_30130074,3013007,疾风刻痕,skill_des_30130074,"借用飒飒森风,菲莉希亚替敌刻上命运。",skill_tip_des_30130074,2,,1,,0,0,0,5,,0,0,10,"1,0","1,1,1;0","301300710,301300740;301300712","301300710,301300711,301300712;301300740",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130071,130071_icon
30130075,菲莉希亚2觉醒,菲莉希亚,,skillname_30130075,3013007,森林庇佑,skill_des_30130075,"森林予以精灵栖身之所,亦予以其守卫家园的力量。",skill_tip_des_30130075,2,,,,1,0,0,5,,200,0,10,1,"2,1,1","301300720,301300721,301300750","301300720,301300721,301300750",0,0,0,"20012,1;20013,1;20014,1;999,1","9,6,4,0",,,,0,130072,130072_icon
30130076,菲莉希亚3觉醒,菲莉希亚,,skillname_30130076,3013007,千年护卫,skill_des_30130076,"千年的时光强化着这位游侠领主的感知。森林之中,她闲庭信步。",skill_tip_des_30130076,4,,,,0,0,0,0,,0,0,10,0,0,"301300760,301300761",301300760,0,0,0,,,,,,0,,130073_icon
30130080,梅露特饰品,梅露特,,skillname_30130080,3013008,,skill_des_30130080,,skill_tip_des_30130080,4,,,,0,0,0,0,,0,0,10,0,0,301300801,301300800,0,0,0,,,,,,0,,
30130081,梅露特1,梅露特,,skillname_30130081,3013008,酸液连射,skill_des_30130081,"梅露特调整喷头,对准敌人发射酸液。",skill_tip_des_30130081,2,,1,,0,0,0,5,,0,0,10,1,"1,1,1","301300810,301300812","301300810,301300811,301300812",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130081,130081_icon
30130082,梅露特2,梅露特,,skillname_30130082,3013008,腐蚀黏液,skill_des_30130082,梅露特扔出带有果香的黏液块。,skill_tip_des_30130082,2,,,,1,0,0,5,,100,0,10,1,"1,1,1",301300820,301300820,0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",200,3,"1,2,2,1,0",0,130082,130082_icon
30130083,梅露特3,梅露特,,skillname_30130083,3013008,无貌者,skill_des_30130083,"软泥怪无貌无形的魔物本质,虽弱小,却自由。",skill_tip_des_30130083,4,,,,0,0,0,0,,0,0,10,0,0,"301300830,301300831","301300830,301300831",0,0,0,,,,,,0,,130083_icon
30130084,梅露特3觉醒,梅露特,,skillname_30130084,3013008,腐蚀黏液,skill_des_30130084,梅露特扔出带有果香的黏液块。,skill_tip_des_30130084,2,,,,1,0,0,5,,100,0,10,1,"1,1,1",301300840,301300840,0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",200,3,"1,2,2,1,0",0,130082,130082_icon
30130085,梅露特2觉醒,梅露特,,skillname_30130085,3013008,无貌者,skill_des_30130085,"软泥怪无貌无形的魔物本质,虽弱小,却自由。",skill_tip_des_30130085,4,,,,0,0,0,0,,0,0,10,0,0,"301300830,301300831,301300850,301300851","301300830,301300831,301300850",0,0,0,,,,,,0,,130083_icon
30130086,梅露特1觉醒,梅露特,,skillname_30130086,3013008,酸液连射,skill_des_30130086,"梅露特调整喷头,对准敌人发射酸液。",skill_tip_des_30130086,2,,1,,0,0,0,5,,0,0,10,1,"1,1,1","301300810,301300860","301300810,301300811,301300860",0,0,0,"20005,1;20006,1;20007,1;999,1;20003,1","8,5,3,0,2",,3,"1,2,2,1,0",0,130081,130081_icon
30130090,奈奈芙饰品,奈奈芙,,skillname_30130090,3013009,,skill_des_30130090,,skill_tip_des_30130090,4,,,,0,0,0,0,,0,0,10,0,0,301300901,301300900,0,0,0,,,,,,0,,
