ID,,,,MonsterId,Attr,AttrGapRnd,Ability,RandomValue,RngAbility,RandomValue2,Skill,PassiveSkill
30500043,梦游羊自爆,梦游羊·惊爆魂屑(魔物蛋),小怪,30500043,"305000431,305000432,305000433,305000434,305000435","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050005,炎射手,炎射手魂屑(魔物蛋),小怪,3050005,"30500051,30500052,30500053,30500054,30500055","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500051,深红射手,深红射手魂屑(魔物蛋),小怪,30500051,"305000511,305000512,305000513,305000514,305000515","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500052,灰烬射手,灰烬射手魂屑(魔物蛋),小怪,30500052,"305000521,305000522,305000523,305000524,305000525","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050006,潜伏怪,潜伏怪魂屑(魔物蛋),小怪,3050006,"30500061,30500062,30500063,30500064,30500065","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500061,掠夺怪,掠夺怪魂屑(魔物蛋),小怪,30500061,"305000611,305000612,305000613,305000614,305000615","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500062,吞噬怪,吞噬怪魂屑(魔物蛋),小怪,30500062,"305000621,305000622,305000623,305000624,305000625","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050007,食人花,食人花魂屑(魔物蛋),小怪,3050007,"30500071,30500072,30500073,30500074,30500075","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500071,巨食花,巨食花魂屑(魔物蛋),小怪,30500071,"305000711,305000712,305000713,305000714,305000715","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500072,恶诞花妖,恶诞花妖魂屑(魔物蛋),小怪,30500072,"305000721,305000722,305000723,305000724,305000725","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050011,厨怪,厨怪魂屑(魔物蛋),小怪,3050011,"30500111,30500112,30500113,30500114,30500115","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500111,厨妖,厨妖魂屑(魔物蛋),小怪,30500111,"305001111,305001112,305001113,305001114,305001115","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500112,厨鬼,厨鬼魂屑(魔物蛋),小怪,30500112,"305001121,305001122,305001123,305001124,305001125","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050012,黑面纱之魅,黑面纱之魅魂屑(魔物蛋),小怪,3050012,"30500121,30500122,30500123,30500124,30500125","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500121,黑面纱之魇,黑面纱之魇魂屑(魔物蛋),小怪,30500121,"305001211,305001212,305001213,305001214,305001215","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500122,黑面纱之怨,黑面纱之怨魂屑(魔物蛋),小怪,30500122,"305001221,305001222,305001223,305001224,305001225","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050013,怒魔人,怒魔人魂屑(魔物蛋),小怪,3050013,"30500131,30500132,30500133,30500134,30500135","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500131,噬怒魔,噬怒魔魂屑(魔物蛋),小怪,30500131,"305001311,305001312,305001313,305001314,305001315","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500132,憎恶异魔,憎恶异魔魂屑(魔物蛋),小怪,30500132,"305001321,305001322,305001323,305001324,305001325","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050014,糖豆妖精,糖豆妖精魂屑(魔物蛋),小怪,3050014,"30500141,30500142,30500143,30500144,30500145","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500141,诡戏妖精,诡戏妖精魂屑(魔物蛋),小怪,30500141,"305001411,305001412,305001413,305001414,305001415","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500142,怪邪妖精,怪邪妖精魂屑(魔物蛋),小怪,30500142,"305001421,305001422,305001423,305001424,305001425","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050015,蕈人,蕈人魂屑(魔物蛋),小怪,3050015,"30500151,30500152,30500153,30500154,30500155","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500151,厚垣蕈人,厚垣蕈人魂屑(魔物蛋),小怪,30500151,"305001511,305001512,305001513,305001514,305001515","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500152,蕈人酋长,蕈人酋长魂屑(魔物蛋),小怪,30500152,"305001521,305001522,305001523,305001524,305001525","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050016,公主骑士偶,公主骑士偶魂屑(魔物蛋),小怪,3050016,"30500161,30500162,30500163,30500164,30500165","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500161,皇家骑士偶,皇家骑士偶魂屑(魔物蛋),小怪,30500161,"305001611,305001612,305001613,305001614,305001615","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500162,猩红骑士偶,猩红骑士偶魂屑(魔物蛋),小怪,30500162,"305001621,305001622,305001623,305001624,305001625","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050017,烛贤者,烛贤者魂屑(魔物蛋),小怪,3050017,"30500171,30500172,30500173,30500174,30500175","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500171,炽贤者,炽贤者魂屑(魔物蛋),小怪,30500171,"305001711,305001712,305001713,305001714,305001715","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500172,烬贤者,烬贤者魂屑(魔物蛋),小怪,30500172,"305001721,305001722,305001723,305001724,305001725","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050022,欢乐戏法师,,小怪,3050022,"30500221,30500222,30500223,30500224,30500225","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050023,鬼修罗,,小怪,3050023,"30500231,30500232,30500233,30500234,30500235","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050026,火兵士,,小怪,3050026,"30500261,30500262,30500263,30500264,30500265","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050027,暗教士,,小怪,3050027,"30500271,30500272,30500273,30500274,30500275","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050036,竹傀儡,,小怪,3050036,"30500361,30500362,30500363,30500364,30500365","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500361,竹筒王,,小怪,30500361,"305003611,305003612,305003613,305003614,305003615","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050046,鼎生,,小怪,3050046,"30500461,30500462,30500463,30500464,30500465","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500461,赤面,,小怪,30500461,"305004611,305004612,305004613,305004614,305004615","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050047,命鼠,,小怪,3050047,"30500471,30500472,30500473,30500474,30500475","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500471,丹鼠,,小怪,30500471,"305004711,305004712,305004713,305004714,305004715","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050037,器傀,,小怪,3050037,"30500371,30500372,30500373,30500374,30500375","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500371,瓷傀,,小怪,30500371,"305003711,305003712,305003713,305003714,305003715","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050048,云峦狐,,小怪,3050048,"30500481,30500482,30500483,30500484,30500485","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500481,云霞狐,,小怪,30500481,"305004811,305004812,305004813,305004814,305004815","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500482,云峦狐,,小怪,30500482,"305004821,305004822,305004823,305004824,305004825","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050049,艾卡希猎兵,,小怪,3050049,"30500491,30500492,30500493,30500494,30500495","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500491,艾卡希佣仆,,小怪,30500491,"305004911,305004912,305004913,305004914,305004915","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
