Id,ZChinese,Chinese,English,Japanese,TChinese,Korean
ui_common_56,。,。,.,。,。,
ui_common_57,全部领取,全部领取,Claim All,<size=25>一括受け取る,全部領取,
ui_common_58,自动,自动,Auto,AUTO,自動,
ui_common_59,跳过,跳过,Skip,SKIP,跳過,
ui_common_60,未达成,未达成,Not Achieved,未達成,未達成,
ui_common_61,已达到最大等级,已达到最大等级,Max,最大レベルに達成,已達到最大等級,
ui_common_62,当前等级,当前等级,Level,レベル,當前等級,
ui_common_63,前往商店,前往商店,Store >>>,ショップ,前往商店,
ui_common_64,不可领取,不可领取,Not Available,受け取り不可,不可領取,
ui_common_65,{0}小时后解锁,{0}小时后解锁,Opens in {0}h,{0}時間後アンロック,{0}小時後解鎖,
ui_common_66,{0}天后解锁,{0}天后解锁,Opens in {0}d,{0}日後アンロック,{0}天後解鎖,
ui_common_67,领取奖励,领取奖励,Claim,受け取る,領取獎勵,
ui_common_68,DAY.,DAY.,Day ,DAY.,DAY.,
ui_common_69,累计天数,累计天数,Cumulative Days,累計日數,累計天數,
ui_common_70,已完成,已完成,Complete,完了,已完成,
ui_common_71,进行中,进行中,Not Achieved,進行中,進行中,
ui_common_72,<i angle=15><size=50>专</size>属剧情,<i angle=15><size=50>专</size>属剧情,<size=36>Exclusive Story,専用ストーリー,<i angle=15><size=50>專</size>屬劇情,
ui_common_73,专属剧情说明,专属剧情说明,Notes for Exclusive Story,専用ストーリー説明,專屬劇情說明,
ui_common_74,玩法说明,玩法说明,Help,未翻訳,玩法說明,
ui_common_75,积分:{0},积分:{0},Score: {0},ポイント:{0},積分:{0},
ui_common_76,阶段:,阶段:,Phase:,段階:,階段:,
ui_common_77,阶段奖励,阶段奖励,Rewards,段階報酬,階段獎勵,
ui_common_78,阶段奖励总览,阶段奖励总览,Rewards,段階報酬の概要,階段獎勵總覽,
ui_common_79,当前阶段:,当前阶段:,Now: ,現在の段階:,當前階段:,
ui_common_80,DAYS.,DAYS.,Days:,DAYS.,DAYS.,
ui_common_81,快速升级,快速升级,Quick Upgrade,一括LVUP,快速升級,
ui_common_82,当前等级{0},当前等级{0},Current Lv.{0},現在のレベル{0},當前等級{0},
ui_common_83,提升至等级{0},提升至等级{0},Upgrade to {0},レベル{0}に上げる,提升至等級{0},
ui_common_84,提升等级,提升等级,Upgrade,レベルアップ,提升等級,
ui_common_85,共计花费:,共计花费:,Total Cost: ,合計費用：,共計花費:,
ui_common_86,总积分:{0},总积分:{0},Total Score: {0},総點數:{0},總積分:{0},
ui_common_87,任务,任务,Task,クエスト,任務,
ui_common_88,排行榜,排行榜,Ranking,ランキング,排行榜,
ui_common_89,战力,战力,CP,戦力,戰力,
ui_common_90,基础属性,基础属性,Basic Stats,ステータス,基礎屬性,
ui_common_91,生效中,生效中,Active,有効中,生效中,
ui_common_92,词缀启动,词缀启动,Activate,効果ON,詞綴啟動,
ui_common_93,关闭词缀,关闭词缀,Close,効果OFF,關閉詞綴,
ui_common_94,EMPTY,EMPTY,,EMPTY,EMPTY,
ui_common_95,区域排行榜,区域排行榜,Ranking,エリアランキング,區域排行榜,
ui_common_96,剩余时间:,剩余时间:,Ends in：,殘り時間:,剩餘時間:,
ui_common_97,默认装扮,默认装扮,Original,デフォルト,默認裝扮,
ui_common_98,规则说明:,规则说明:,Rules: ,ルール：,規則說明:,
ui_common_99,奖励说明,奖励说明,Rules,報酬,獎勵說明,
ui_common_100,名次,名次,Rank,ランク,名次,
ui_common_101,关卡机制,关卡机制,Stage Mechanisms,メカニズム,關卡機制,
ui_common_102,特殊机制,特殊机制,Special Mechanisms,特殊メカニズム,特殊機制,
ui_common_103,固有词缀,固有词缀,Fixed Entries,固有効果,固有詞綴,
ui_common_104,<color=#00F1E2>可选词缀</color>,<color=#00F1E2>可选词缀</color>,<color=#00F1E2>Optional Entries</color>,<color=#00F1E2>カスタマイズ</color>,<color=#00F1E2>可選詞綴</color>,
ui_common_105,关卡积分倍率,关卡积分倍率,Score Bonus,ポイントボーナス,關卡積分倍率,
ui_common_106,预期获得词缀积分,预期获得词缀积分,Entry Score,予想ポイント得點,預期獲得詞綴積分,
ui_common_107,全部属性,全部属性,Stats,ステータス,全部屬性,
ui_common_108,属性总览,属性总览,Attributes,<size=26>ステータス<br>一覧,屬性總覽,
ui_common_109,效果总览,效果总览,Effects,効果一覧,效果總覽,
ui_common_110,主属性,主属性,Main Attributes,メイン,主屬性,
ui_common_111,副属性,副属性,Sub Attributes,サブ,副屬性,
ui_common_112,技能详情,技能详情,Skills,スキル詳細,技能詳情,
ui_common_113,能力解锁,能力解锁,Ability unlocked,能力解放,能力解鎖,
ui_common_114,技能强化,技能强化,Skill Boost,スキル強化,技能強化,
ui_common_115,生日,生日,DOB,誕生日,生日,
ui_common_116,年,年,year,年,年,
ui_common_117,月,月,month,月,月,
ui_common_118,获得,获得,Obtain,獲得,獲得,
ui_common_119,星级,星级,Star,ランク,星級,
ui_common_120,职阶,职阶,Class,勢力,職階,
ui_common_121,定位,定位,Type,位置,定位,
ui_common_122,属性详情,属性详情,More,ステータス詳細,屬性詳情,
ui_common_123,星痕属性,星痕属性,Attributes,ゴスペルステータス,星痕屬性,
ui_common_124,套装效果,套装效果,Set Bonus,セット効果,套裝效果,
ui_common_125,查看更多,查看更多,More,詳細を確認する,查看更多,
ui_common_126,无限制,无限制,No Limit,無制限,無限制,
ui_common_127,公会人数：{0}人,公会人数：{0}人,Guild Members: {0},人數:{0}人,公會人數：{0}人,
ui_common_128,公会人数无限制,公会人数无限制,Any Member Count,人數:無制限,公會人數無限制,
ui_common_129,公会等级：{0}级,公会等级：{0}级,Guild: Lv. {0},ギルドLv.:{0},公會等級：{0}級,
ui_common_130,公会等级无限制,公会等级无限制,Any Guild Level,ギルドLv.:無制限,公會等級無限制,
ui_common_131,侍主等级≥{0}级,侍主等级≥{0}级,Player ≥ Lv. {0},侍主Lv.≥{0},侍主等級≥{0}級,
ui_common_132,侍主等级无限制,侍主等级无限制,Any Player Level,侍主Lv.:無制限,侍主等級無限制,
ui_common_133,GID:{0},GID:{0},GID: {0},GID:{0},GID:{0},
ui_common_134,<i angle=15>侍主等级≥{0}级,<i angle=15>侍主等级≥{0}级,<i angle=15>Player ≥ Lv. {0},<i angle=15>侍主Lv.≥{0},<i angle=15>侍主等級≥{0}級,
ui_common_135,任何玩家都可加入,任何玩家都可加入,,誰でも歓迎,任何玩家都可加入,
ui_common_136,(*{0}~{1}个字符),(*{0}~{1}个字符),(*{0} to {1} letters),(*{0}~{1}文字),(*{0}~{1}個字元),
ui_common_137,请多关照,请多关照,Welcome,よろしくお願いします,請多關照,
ui_common_138,<i angle=15>每次捐赠{0}{1}<i>,<i angle=15>每次捐赠{0}{1}<i>,<i angle=15>{0} {1}<i>,<i angle=15> {0} {1}<i>,<i angle=15>每次捐贈{0}{1}<i>,
ui_common_139,MAX,MAX,,MAX,MAX,
ui_common_140,成员列表：{0}/{1},成员列表：{0}/{1},Members: {0}/{1},メンバー：{0}/{1},成員列表：{0}/{1},
ui_common_141,离线{0}分钟,离线{0}分钟,{0}m ago,{0}分前ログイン,離線{0}分鐘,
ui_common_142,离线{0}小时,离线{0}小时,{0}h ago,{0}時間前ログイン,離線{0}小時,
ui_common_143,离线{0}天,离线{0}天,{0}d ago,{0}日前ログイン,離線{0}天,
ui_common_144,购买,购买,Purchase,購入,購買,
ui_common_145,提取数量,提取数量,Quantity,數,提取數量,
ui_common_146,确 定,确 定,Confirm,ＯＫ,確 定,
ui_common_147,取 消,取 消,Cancel,キャンセル,取 消,
ui_common_148,设定,设定,Settings,設定,設定,
ui_common_149,是,是,Yes,はい,是,
ui_common_150,否,否,No,いいえ,否,
ui_common_151,≥,≥,<size=60>≥</size>,≥,≥,
ui_common_152,≤,≤,<size=60>≤</size>,≤,≤,
ui_common_153,级,级,,,級,
ui_common_154,创 建,创 建,Create,創設する,創 建,
ui_common_155,消耗货币:,消耗货币:,Cost:,消耗,消耗貨幣:,
ui_common_156,搜 索,搜 索,Search,検 索,搜 索,
ui_common_157,加入请求,加入请求,Application,申請リスト,加入請求,
ui_common_158,批准加入,批准加入,Approve,許可する,批准加入,
ui_common_159,收到邀请,收到邀请,Invitation,招待リスト,收到邀請,
ui_common_160,拒 绝,拒 绝,Decline,斷る,拒 絕,
ui_common_161,邀请加入,邀请加入,Invite,招待する,邀請加入,
ui_common_162,已发送,已发送,Sent,送信済み,已發送,
ui_common_163,未开放,未开放,Not Available,未開放,未開放,
ui_common_164,捐赠,捐赠,Donate,寄付する,捐贈,
ui_common_165,捐 赠,捐 赠,Donate,寄付する,捐 贈,
ui_common_166,确认邀请,确认邀请,Invitations,招待確認,確認邀請,
ui_common_167,设 定,设 定,Settings,設定,設 定,
ui_common_168,刷 新,刷 新,Refresh,更新,刷 新,
ui_common_169,已申请,已申请,Applied,申請済み,已申請,
ui_common_170,申请加入,申请加入,Apply,加入申請,申請加入,
ui_common_171,点 赞,点 赞,Like,いいね！,點 贊,
ui_common_172,在线,在线,Online,ログイン中,線上,
ui_common_173,已添加,已添加,Added,追加済み,已添加,
ui_common_174,点击全部领取,点击全部领取,Claim All,一括受け取る,點擊全部領取,
ui_common_175,当前阶段积分,当前阶段积分,My Points,現段階のポイント,當前階段積分,
ui_common_176,加入公会,加入公会,Join Guild,加入する,加入公會,
ui_common_177,取消使用,取消使用,Cancel,キャンセル,取消使用,
ui_common_178,等级提升,等级提升,<size=70>Upgrade,レベルアップ,等級提升,
ui_common_179,额外获得星魂力,额外获得星魂力,Mana,APボーナス＋,額外獲得星魂力,
ui_common_180,已购买,已购买,Purchased,購入済み,已購買,
ui_common_181,中配,中配,Chinese VA,中國語,中配,
ui_common_182,日配,日配,Japanese VA,日本語,日配,
ui_common_183,保 存,保 存,Save,セーブ,保 存,
ui_common_184,月,月,Month,月,月,
ui_common_185,日,日,Day,日,日,
ui_common_186,卸 下,卸 下,Remove,外す,卸 下,
ui_common_187,使 用,使 用,Use,使う,使 用,
ui_common_188,重 置,重 置,Reset,リセット,重 置,
ui_common_189,今日不再显示,今日不再显示,Don't show again,今日はもう表示しない,今日不再顯示,
ui_common_190,公会异常成员,公会异常成员,Anomalous Members in the Guild,ギルド特殊メンバー,公會異常成員,
ui_common_191,公会成员,公会成员,Member,ギルドメンバー,公會成員,
ui_common_192,副会长,副会长,Vice President,副會長,副會長,
ui_common_193,公会长,公会长,Guild President,會長,公會長,
ui_common_194,全部,全部,All,すべて,全部,
ui_common_195,提示,提示,Prompt,ヒント,提示,
ui_common_196,使用中,使用中,Using,使用中,使用中,
ui_common_197,<color=#0cb9b7>每6分钟</color>恢复1点星魂力,<color=#0cb9b7>每6分钟</color>恢复1点星魂力,+1 Mana <color=#0cb9b7>/6min</color>,APは<color=#0cb9b7>6分ごと</color>に<br>1ポイント回復する,<color=#0cb9b7>每6分鐘</color>恢復1點星魂力,
ui_common_198,全部已读,全部已读,Read All,一括既読,全部已讀,
ui_common_199,提升星魂力上限,提升星魂力上限,<size=34>Mana Cap,AP上限アップ,提升星魂力上限,
ui_common_200,剧情梗概,剧情梗概,Summary,シナリオ概要,劇情梗概,
ui_common_201,已开启,已开启,Unlocked,開放済,已開啟,
ui_common_202,互相克制,互相克制,Counter,相克する,互相克制,
ui_common_203,与其他职阶均为互相克制,与其他职阶均为互相克制,Counter All,他の勢力すべてと相克する,與其他職階均為互相克制,
ui_common_204,birth,birth,,birth,birth,
ui_common_205,monarchs,monarchs,,monarchs,monarchs,
ui_common_206,tribute,tribute,,tribute,tribute,
ui_common_207,servant,servant,,servant,servant,
ui_common_208,winged clan,winged clan,,winged clan,winged clan,
ui_common_209,abyss,abyss,,abyss,abyss,
ui_common_210,son of man,son of man,,son of man,son of man,
ui_common_211,当前阶段,当前阶段,Now,現在の段階,當前階段,
ui_common_212,头像,头像,Icon,アイコン,頭像,
ui_common_213,皮肤,皮肤,Outfit,スキン,皮膚,
ui_common_214,退出游戏,退出游戏,Exit,ゲーム終了,退出遊戲,
ui_common_215,资源修复完成，点击进入游戏,资源修复完成，点击进入游戏,"Resourced repaired, tap to start the game.",リソースの修復が完了しました。タッチでゲームを開始します,資源修復完成，點擊進入遊戲,
ui_common_216,{0}时{1}分{2}秒,{0}时{1}分{2}秒,{0}h {1}m {2}s,{0}h {1}m {2}s,{0}時{1}分{2}秒,
ui_common_217,星期一,星期一,Mon.,月曜日,星期一,
ui_common_218,星期二,星期二,Tue.,火曜日,星期二,
ui_common_219,星期三,星期三,Wen.,水曜日,星期三,
ui_common_220,星期四,星期四,Thu.,木曜日,星期四,
ui_common_221,星期五,星期五,Fri.,金曜日,星期五,
ui_common_222,星期六,星期六,Sat.,土曜日,星期六,
ui_common_223,星期日,星期日,Sun.,日曜日,星期日,
ui_common_224,活动公告,活动公告,Event,お知らせ,活動公告,
ui_common_225,系统公告,系统公告,System,通知,系統公告,
ui_common_226,Event notice,Event notice,,Event notice,Event notice,
ui_common_227,System notice,System notice,,System notice,System notice,
ui_common_228,REWARD,REWARD,,REWARD,REWARD,
ui_common_229,仅此一次，绝不可错过的超值豪礼！,仅此一次，绝不可错过的超值豪礼！,One-time only!,一度限りの豪華報酬,僅此一次，絕不可錯過的超值豪禮！,
ui_common_230,每5分钟更新一次，根据网络状况可能会出现延迟,每5分钟更新一次，根据网络状况可能会出现延迟,Update every 5 mins.,5分ごとに更新されます。通信環境によっては反映までに時間がかかることがあります。,每5分鐘更新一次，根據網路狀況可能會出現延遲,
ui_common_231,重试,重试,Try again,リトライ,重試,
ui_common_232,返回登录,返回登录,Log in,ログイン畫面に戻る,返回登錄,
ui_common_233,TRAVEL<br>TO,TRAVEL<br>TO,,TRAVEL<br>TO,TRAVEL<br>TO,
ui_common_234,<line-height=45>Sign<br>In,<line-height=45>Sign<br>In,,<line-height=45>Sign<br>In,<line-height=45>Sign<br>In,
ui_common_235,UNSHADOWED GRAYNEST,UNSHADOWED GRAYNEST,,UNSHADOWED GRAYNEST,UNSHADOWED GRAYNEST,
ui_common_236,NOT<br>UNLOCKED,NOT<br>UNLOCKED,,NOT<br>UNLOCKED,NOT<br>UNLOCKED,
ui_common_237,Claim rewards,Claim rewards,,Claim rewards,Claim rewards,
ui_common_238,Commodity Content,Commodity Content,,Commodity Content,Commodity Content,
ui_common_239,Character display,Character display,,Character display,Character display,
ui_common_240,已售罄,已售罄,Sold Out,完売,已售罄,
ui_common_241,{0}天后刷新,{0}天后刷新,Refresh in: {0}d,{0}日後に更新,{0}天後刷新,
ui_common_242,玩家取消支付,玩家取消支付,Payment cancelled,支払いがキャンセルされました,玩家取消支付,
ui_common_243,网络异常,网络异常,Network error,ネットワーク異常,網路異常,
ui_common_244,星痕,星痕,Aster,ゴスペル,星痕,
ui_common_245,剩余{0},剩余{0},Ends in: {0},殘り時間 {0},剩餘{0},
ui_common_246,{0}后开放,{0}后开放,Starts in: {0},{0}後に開放,{0}後開放,
ui_common_247,已结束,已结束,Ended,終了,已結束,
ui_common_248,总积分:{0},总积分:{0},Total Score: {0},総點數:{0},總積分:{0},
ui_common_249,下一步,下一步,Next,次へ,下一步,
ui_common_250,任务奖励,任务奖励,Temple Rewards,任務報酬,任務獎勵,
ui_common_251,不足1分钟,不足1分钟,Less than 1m left,,不足1分鐘,
ui_common_252,{0}天{1}小时后解锁,{0}天{1}小时后解锁,Opens in {0}h {0}d,{0}日{0}時間後アンロック,,
ui_common_253,已完成任务：,已完成任务：,Progress: ,,已完成任務：,
ui_common_254,{0}天{1}小时后开启,{0}天{1}小时后开启,Starts in: {0}d {1}h,,{0}天{1}小時後開啟,
ui_common_255,{0}小时{1}分钟后开启,{0}小时{1}分钟后开启,Starts in: {0}h {1}m,,{0}小時{1}分鐘後開啟,
ui_common_256,{0}分钟后开启,{0}分钟后开启,Starts in: {0}m,,{0}分鐘後開啟,
ui_common_257,限时：,限时：,Limited: ,,限時：,
ui_common_258,请选择地区,请选择地区,Please select a region,,請選擇地區,
ui_common_259,{0}分钟前,{0}分钟前,{0}m ago,,{0}分鐘前,
ui_common_260,{0}小时前,{0}小时前,{0}h ago,,{0}小時前,
ui_common_261,{0}天前,{0}天前,{0}d ago,,{0}天前,
ui_common_262, 进入编队, 进入编队,Confirm,,進入編隊,
ui_common_263,前往评分,前往评分,Rate Us,,,
ui_common_264,<color=#a7002b>(可在设置-其他中更改),<color=#a7002b>(可在设置-其他中更改),"<color=#a7002b>(Can be changed in Settings, Other)",,,
ui_common_265,同意并登录,同意并登录,,,,
ui_common_266,不同意,不同意,,,,
ui_common_267,是否需要主动跳过所有剧情内容？,是否需要主动跳过所有剧情内容？,Confirm to skip all stories?,,,
ui_common_268,排行奖励,排行奖励,Ranking Rewards,,排行獎勵,
ui_common_269,获 取,获 取,Obtain,,,
apjseaxf,先锋服,先锋服,apjseaxf,,先鋒服,
apjsea,东南亚服,东南亚服,Southeast Asia,,東南亞服,
apjeu,欧洲服,欧洲服,Europe,,歐洲服,
apjna,北美服,北美服,America,,北美服,
apjseaxf_test,先锋测试服,先锋测试服,apjseaxf_test,,先鋒測試服,
apjsea_test,东南亚测试服,东南亚测试服,apjsea_test,,東南亞測試服,
apjeu_test,欧洲测试服,欧洲测试服,apjeu_test,,歐洲測試服,
apjna_test,北美测试服,北美测试服,apjna_test,,北美測試服,
ui_name_1,<size=55>签</size>署人,<size=55>签</size>署人,Sign,<size=55>署</size>名,<size=55>簽</size>署人,
ui_name_2,<size=60>确</size>认,<size=60>确</size>认,OK,<size=60>OK,<size=60>確</size>認,
ui_fight_1,释放,释放,Release,USE,釋放,
ui_fight_2,波数,波数,Wave,Wave,波數,
ui_fight_3,NO ITEMS,NO ITEMS,,NO ITEMS,NO ITEMS,
ui_fight_4,未获得物品,未获得物品,No Items,未獲得アイテム,未獲得物品,
ui_fight_5,-建议提升星痕强度,-建议提升星痕强度,- Enhance Asters,ゴスペルをさらに育成してみよう,-建議提升星痕強度,
ui_fight_6,-注意魔女天赋的搭配,-注意魔女天赋的搭配,- Upgrade Novas,魔女の天賦を意識してみよう,-注意魔女天賦的搭配,
ui_fight_7,可以通过以下方式强化战力,可以通过以下方式强化战力,<size=26>Enhance your CP through: ,<size=26>以下の方法で戦力を強化できます,可以通過以下方式強化戰力,
ui_fight_8,再次挑战,再次挑战,Restart,再挑戦,再次挑戰,
ui_fight_9,确认释放,确认释放,Release,<size=27>スキル使用,確認釋放,
ui_fight_10,无法释放,无法释放,Unable to Cast,使用不可,無法釋放,
ui_fight_11,前往下一关,前往下一关,Next Stage,次のステージへ,前往下一關,
ui_fight_12,效果,效果,Effect,効果,效果,
ui_fight_13,属性,属性,Stats,<size=20>ステータス,屬性,
ui_fight_14,技能,技能,Skill,スキル,技能,
ui_fight_15,我方,我方,<size=32>Nova,味方,我方,
ui_fight_16,敌方,敌方,<size=32>Enemy,敵,敵方,
ui_fight_17,WITCH,WITCH,,WITCH,WITCH,
ui_fight_18,ENEMY,ENEMY,,ENEMY,ENEMY,
ui_fight_19,当前暂无其他怪物,当前暂无其他怪物,No monsters,敵がいません,當前暫無其他怪物,
ui_fight_20,当前暂无魔女上阵,当前暂无魔女上阵,No Novas deployed,出陣中の魔女はいません,當前暫無魔女上陣,
ui_fight_21,当前暂无Buff加成,当前暂无Buff加成,No buffs active,適用中のバフはありません,當前暫無Buff加成,
ui_fight_22,怪物攻略,怪物攻略,Info,敵の対策方法,怪物攻略,
ui_main_navibar_1,编队,编队,Lineup,編成,編隊,
ui_main_navibar_2,魔女,魔女,Nova,魔女,魔女,
ui_main_navibar_3,星痕,星痕,Aster,ゴスペル,星痕,
ui_main_navibar_4,出击,出击,Battle,出撃,出擊,
ui_main_navibar_5,神谕司,神谕司,Oracle,神託司,神諭司,
ui_main_navibar_6,召唤,召唤,Summon,召喚,召喚,
ui_main_navibar_7,商店,商店,Store,ショップ,商店,
ui_main_navibar_8,档案,档案,Archive,ファイル,檔案,
ui_main_navibar_9,仓库,仓库,Bag,倉庫,倉庫,
ui_main_1,<size=44>召</size>唤,<size=44>召</size>唤,<size=50>Summon,召喚,<size=44>召</size>喚,
ui_main_2,<size=44>魔</size>女,<size=44>魔</size>女,<size=50>Nova,魔女,<size=44>魔</size>女,
ui_main_3,<size=44>星</size>痕,<size=44>星</size>痕,<size=50>Aster,ゴスペル,<size=44>星</size>痕,
ui_main_4,<size=44>唤</size>物,<size=44>唤</size>物,<size=50>Relic,武器召喚,<size=44>喚</size>物,
ui_main_5,<size=44>公</size>会,<size=44>公</size>会,<size=50>Guild,ギルド,<size=44>公</size>會,
ui_main_6,<size=44>神</size>谕司,<size=44>神</size>谕司,<size=50>Oracle,神託司,<size=44>神</size>諭司,
ui_main_7,<size=44>商</size>店,<size=44>商</size>店,<size=50>Store,ショップ,<size=44>商</size>店,
ui_main_8,<size=60>出</size>击,<size=60>出</size>击,<size=80>Battle,出撃,<size=60>出</size>擊,
ui_main_9,<size=30>星</size>魂力,<size=30>星</size>魂力,<size=30>Mana,AP,<size=30>星</size>魂力,
ui_main_10,<size=32>仓</size>库,<size=32>仓</size>库,Bag,倉庫,<size=32>倉</size>庫,
ui_main_11,<size=32>勋</size>章,<size=32>勋</size>章,Badge,勲章,<size=32>勳</size>章,
ui_main_12,<size=32>档</size>案,<size=32>档</size>案,Archive,ファイル,<size=32>檔</size>案,
ui_main_13,<size=44>编</size>队,<size=44>编</size>队,<size=50>Lineup,編成,<size=44>編</size>隊,
ui_main_14,uid：,uid：,uid：,uid：,uid：,
ui_main_15,当,当,Now,現,當,
ui_main_16,前,前,,在,前,
ui_main_17,编队,编队,Lineup,編成,編隊,
ui_main_18,养成,养成,Enhance,育成,養成,
ui_main_19,主菜单,主菜单,Main Interface,メインメニュー,主菜單,
ui_main_20,签到,签到,Log in,ログイン,簽到,
ui_main_21,MAIN INTERFACE,MAIN INTERFACE,,MAIN INTERFACE,MAIN INTERFACE,
ui_main_22,设置,设置,Setting,設定,設置,
ui_main_23,好友,好友,Friends,フレンド,好友,
ui_main_24,活动,活动,Event,イベント,活動,
ui_main_25,<size=32>S</size>ummon,<size=32>S</size>ummon,,<size=32>S</size>ummon,<size=32>S</size>ummon,
ui_main_26,<size=32>W</size>itches,<size=32>W</size>itches,,<size=32>W</size>itches,<size=32>W</size>itches,
ui_main_27,<size=32>S</size>tartrace,<size=32>S</size>tartrace,,<size=32>S</size>tartrace,<size=32>S</size>tartrace,
ui_main_28,<size=32>F</size>ormation,<size=32>F</size>ormation,,<size=32>F</size>ormation,<size=32>F</size>ormation,
ui_main_29,<size=32>W</size>eaponry,<size=32>W</size>eaponry,,<size=32>W</size>eaponry,<size=32>W</size>eaponry,
ui_main_30,<size=32>G</size>uild,<size=32>G</size>uild,,<size=32>G</size>uild,<size=32>G</size>uild,
ui_main_31,<size=32>D</size>ivision,<size=32>D</size>ivision,,<size=32>D</size>ivision,<size=32>D</size>ivision,
ui_main_32,<size=32>S</size>tore,<size=32>S</size>tore,,<size=32>S</size>tore,<size=32>S</size>tore,
ui_main_33,<size=32>B</size>attle,<size=32>B</size>attle,,<size=32>B</size>attle,<size=32>B</size>attle,
