Id,,,Type,Drawing,DrawingCover,HeroId,PetId,SkinId,Expression,VoiceList,ActionList,ExpressionList
400901,桃（站绘）,,0,ui_jq_lihui_tao,SecretaryIcon/ui_jq_zhanhui_tao,,3014009,,weixiao,,,
400902,桃〔盛放的清晨〕(2d桃-女仆)（站绘）,,1,ui_jq_lihui_tao_SFDQC,SecretaryIcon/ui_jq_zhanhui_tao_SFDQC,,3014009,301400901,moren,,,
401101,艾斯塔利亚（站绘）,,0,ui_jq_lihui_aisitaliya,SecretaryIcon/ui_jq_zhanhui_aisitaliya,,3014011,,weixiao,,,
401701,花梨（站绘）,,0,ui_jq_lihui_huali,SecretaryIcon/ui_jq_zhanhui_huali,,3014017,,moren,,,
401901,艾什尔（站绘）,,0,ui_jq_lihui_aishier,SecretaryIcon/ui_jq_zhanhui_aishier,,3014019,,renzhen,,,
402001,阿波菲斯（站绘）,,0,ui_jq_lihui_abofeisi,SecretaryIcon/zy_zhanhui_abofeisi,,3014020,,xiao,,,
402101,纳菲（站绘）,,0,ui_jq_lihui_nafei,SecretaryIcon/ui_jq_zhanhui_nafei,,3014021,,chaorenzhen,,,
402201,丘吉尔（站绘）,,0,ui_jq_lihui_qiujier,SecretaryIcon/ui_jq_zhanhui_qiujier,,3014022,,weixiao,,,
402301,神光（站绘）,,0,ui_jq_lihui_shenguang,SecretaryIcon/ui_jq_zhanhui_shenguang,,3014023,,lendan,,,
402302,神光（卿卿明月中）（站绘）,,0,ui_jq_lihui_shenguang_QQYMZ,SecretaryIcon/ui_jq_zhanhui_shenguang_QQYMZ,,3014023,301402301,moren,,,
402303,神光(婚纱)（站绘）,,0,ui_jq_lihui_shenguang_HYCXDGJ,SecretaryIcon/ui_jq_zhanhui_shenguang_HS,,3014023,301402302,weixiao,,,
402401,雷雷（站绘）,,0,ui_jq_lihui_leilei,SecretaryIcon/ui_jq_zhanhui_leilei,,3014024,,renzhen,,,
402501,安普莎（站绘）,,0,ui_jq_lihui_anpusha,SecretaryIcon/ui_jq_zhanhui_anpusha,,3014025,,weixiao,,,
402601,库萝爱（站绘）,,0,ui_jq_lihui_kuluoai,SecretaryIcon/zy_zhanhui_kuluoai,,3014026,,renzhen,,,
402701,贝拉（站绘）,,0,ui_jq_lihui_beila,SecretaryIcon/zy_zhanhui_beila,,3014027,,xiaoxinsi,,,
402801,卡洛蒂（站绘）,,0,ui_jq_lihui_kaluodi,SecretaryIcon/ui_jq_zhanhui_kaluodi,,3014028,,moren,,,
402901,贝儿（站绘）,,0,ui_jq_lihui_beier,SecretaryIcon/ui_jq_zhanhui_beier,,3014029,,kunrao,,,
403001,安娜（站绘）,,0,ui_jq_lihui_aluweier,SecretaryIcon/ui_jq_zhanhui_aluweier,,3014030,,weixiao,,,
403101,伊拉（站绘）,,0,ui_jq_lihui_yila,SecretaryIcon/ui_jq_zhanhui_yila,,3014031,,renzhen,,,
500101,诺维雅(站绘）,,0,ui_jq_lihui_nuoweiya,SecretaryIcon/ui_jq_zhanhui_nuoweiya,,3015001,,zhengchang,,,
500201,丹妮（站绘）,,0,ui_jq_lihui_danni,SecretaryIcon/ui_jq_zhanhui_danni,,3015002,,renzhen,,,
500401,耶坦尼娅（站绘）,,0,ui_jq_lihui_yetanniya,SecretaryIcon/zy_zhanhui_yetanniya,,3015004,,weixiao,,,
500402,耶坦尼娅〔希楠之泪〕（站绘）,,1,ui_jq_lihui_yetanniya_ZDYS,SecretaryIcon/zy_zhanhui_yetanniya_ZDYS,,3015004,301500402,zhengchang,,,
500403,耶坦尼娅〔维拉尔之梦〕（站绘）,,1,ui_jq_lihui_yetanniya_WLEZM,SecretaryIcon/zy_zhanhui_yetanniya_WLEZM,,3015004,301500401,moren,,,
500601,希夕莉（站绘）,,0,ui_jq_lihui_xixili,SecretaryIcon/ui_jq_zhanhui_xixili,,3015006,,weixiao,,,
500701,萨拉（站绘）,,0,ui_jq_lihui_sala,SecretaryIcon/ui_jq_zhanhui_sala,,3015007,,weixiao,,,
500702,萨拉（银河独奏之时）（站绘）,,1,ui_jq_lihui_sala_YZXG,SecretaryIcon/ui_jq_zhanhui_sala_YZXG,,3015007,301500701,moren,,,
500801,牧（站绘）,,0,ui_jq_lihui_mu,SecretaryIcon/ui_jq_zhanhui_mu,,3015008,,moren,,,
500802,牧〔冬雪奇妙夜〕（站绘）,,1,ui_jq_lihui_mu_DXQMY,SecretaryIcon/ui_jq_zhanhui_mu_DXQMY,,3015008,301500801,moren,,,
600901,吉拉蒂亚（站绘）,,0,ui_jq_lihui_jiladiya,SecretaryIcon/zy_zhanhui_jiladiya,,3016009,,moren,,,
600902,吉拉蒂亚（站绘2）,,0,ui_jq_lihui_jiladiya2,SecretaryIcon/zy_zhanhui_jiladiya2,,3016009,,moren,,,
600903,2d-吉拉蒂亚〔倾城之恋〕（站绘）,,1,ui_jq_lihui_jiladiya_SHMY,SecretaryIcon/zy_zhanhui_jiladiya_SHMY,,3016009,301600901,weixiao,,,
600904,吉拉蒂亚〔3d-乱室佳人〕（站绘）,,1,ui_jq_lihui_jiladiya_LSJR,SecretaryIcon/ui_jq_zhanhui_jiladiya_OL,,3016009,301600904,moren,,,
601001,瑞比娅（站绘-御姐版）,,0,ui_jq_lihui_ruibiya2,SecretaryIcon/ui_jq_zhanhui_ruibiya2,,3016010,,moren,8003069;8003070;8003071,,
601002,瑞比娅（站绘-萝莉版）,,0,ui_jq_lihui_ruibiya,SecretaryIcon/ui_jq_zhanhui_ruibiya,,3016010,,moren,8003066;8003067;8003068,,
601101,卡萝琳（站绘）,,0,ui_jq_lihui_kaluolin,SecretaryIcon/ui_jq_zhanhui_kaluolin,,3016011,,renzhen,,,
601301,克尔苏娜（站绘）,,0,ui_jq_lihui_keersuna,SecretaryIcon/ui_jq_zhanhui_keersuna,,3016013,,weixiao,,,
601601,露易丝（站绘）,,0,ui_jq_lihui_luyisi,SecretaryIcon/ui_jq_zhanhui_luyisi,,3016016,,moren,,,
601701,罗莎莉（站绘）,,0,ui_jq_lihui_luoshali,SecretaryIcon/ui_jq_zhanhui_luoshali,,3016017,,weixiao,,,
602001,奈奥米（站绘）,,0,ui_jq_lihui_naiaomi,SecretaryIcon/zy_zhanhui_naiaomi,,3016020,,moren,,,
602401,塞蕾丝蒂娜（站绘）,,0,ui_jq_lihui_saileisidina,SecretaryIcon/zy_zhanhui_saileisidina,,3016024,,putong,,,
602402,塞蕾丝蒂娜〔跃动之白〕（站绘）,,1,ui_jq_lihui_saileisidina_YDZB,SecretaryIcon/zy_zhanhui_saileisidina_YDZB,,3016024,301602401,zhengchang,,,
603101,小闪（站绘）,,0,ui_jq_lihui_xiaoshan,SecretaryIcon/ui_jq_zhanhui_xiaoshan,,3016031,,weixiao,,,
604901,艾琳娜（站绘）,,0,ui_jq_lihui_ailinna,SecretaryIcon/zy_zhanhui_ailinna,,3016049,,moren,,,
606801,贝卡丝（站绘）,,0,ui_jq_lihui_beikasi,SecretaryIcon/ui_jq_zhanhui_beikasi,,3016068,,weixiao,,,
607801,昔莱（站绘）,,0,ui_jq_lihui_xilai,SecretaryIcon/ui_jq_zhanhui_xilai,,3016078,,weixiao,,,
611901,杜达·戴维（站绘）,,0,ui_jq_lihui_dudadaiwei,SecretaryIcon/ui_jq_zhanhui_dudadaiwei,,3016119,,moren,,,
613001,伊卡洛斯（站绘）,,0,ui_jq_lihui_yikaluosi,SecretaryIcon/zy_zhanhui_yikaluosi,,3016130,,weixiao,,,
618701,异邦波斯菊（站绘）,,0,ui_jq_lihui_dabosiju,SecretaryIcon/zy_zhanhui_dabosiju,,3016187,,moren,,,
618801,极焰（站绘）,,0,ui_jq_lihui_jiyan,SecretaryIcon/ui_jq_zhanhui_jiyan,,3016188,,moren,,,
618802,极焰〔辰龙会亲〕（站绘）,,1,ui_jq_lihui_jiyan_CLHQ,SecretaryIcon/ui_jq_zhanhui_jiyan_CLHQ,,3016188,301618801,moren,,,
618901,塔嘉娜（站绘）,,0,ui_jq_lihui_tajiana,SecretaryIcon/ui_jq_zhanhui_tajiana,,3016189,,moren,,,
619101,爱尔维拉（站绘）,,0,ui_jq_lihui_aierweila,SecretaryIcon/ui_zhanhui_aierweila,,3016191,,gaoxing,,,
619102,爱尔维拉（打工吧恶龙大人）（站绘）,,1,ui_jq_lihui_aierweila_ELDR,SecretaryIcon/ui_zhanhui_aierweila_ELDR,,3016191,301619101,moren,,,
