Id,,RolePetName,RolePetEnName,InvertItem,RoleAwakenExt,DressId,Type,Rank,Skill,SkillLock,SkillLevelUp,RoleCombo,RoleResId,SkinId,like,moderate,dislike,ContractRaward,ContractCondition,RecommendTeam,Open,LifeSkill
3014027,贝拉,rolepet_name_3014027,rolepet_en_name_3014027,"1009051,1","1001016,3",5002033,3,4,"30140271,30140272,30140273","0,0,1",10002,"3900003,3900006",3014027,3014027,"1006608,1006605,1006601","1006607,1006606,1006603","1006609,1006604,1006602",,,"1,7,10001,10002",,1002
3014028,卡洛蒂,rolepet_name_3014028,rolepet_en_name_3014028,"1009052,1","1001016,15",5002070,7,5,"30140281,30140282,30140283","0,0,1",10003,"3900001,3900005",3014028,3014028,"1006608,1006604,1006601","1006609,1006606,1006603","1006607,1006605,1006602",,,,-1,"1003,1009"
3014029,贝儿,rolepet_name_3014029,rolepet_en_name_3014029,"1009053,1","1001016,15",5002034,4,5,"30140291,30140292,30140293","0,0,1",10003,"3900001,3900005",3014029,3014029,"1006609,1006605,1006602","1006607,1006606,1006601","1006608,1006604,1006603",,,"10004,10009",,1003
3014030,安娜,rolepet_name_3014030,rolepet_en_name_3014030,"1009054,1","1001016,15",5002035,7,5,"30140301,30140302,30140303","0,0,1",10003,"3900002,3900004",3014030,"3014030,301403001","1006609,1006605,1006601","1006607,1006604,1006602","1006608,1006606,1006603",,,"3,6,10002,10004,10006,10007,10008,10009",,1003
3014031,伊拉,rolepet_name_3014031,rolepet_en_name_3014031,"1009055,1","1001016,15",5002051,6,5,"30140311,30140312,30140313","0,0,1",10003,"3900002,3900004",3014031,"3014031,301403101","1006607,1006609,1006604,1006605,1006602,1006603","1006608,1006606,1006601",,,,,0,"1003,1004"
3015001,诺维雅,rolepet_name_3015001,rolepet_en_name_3015001,"1009060,1","1001016,15",5002065,6,5,"30150011,30150012,30150013","0,0,1",10003,"3900003,3900006",3015001,"3015001,301500101","1006608,1006605,1006602","1006607,1006604,1006601","1006609,1006606,1006603",,,,0,"1003,1005"
3015002,丹妮,rolepet_name_3015002,rolepet_en_name_3015002,"1009061,1","1001016,15",5002036,2,5,"30150021,30150022,30150023","0,0,1",10003,"3900001,3900005",3015002,"3015002,301500201","1006607,1006604,1006601","1006609,1006606,1006602","1006608,1006605,1006603",,,"5,10004,10009",,1003
3015004,耶坦尼娅,rolepet_name_3015004,rolepet_en_name_3015004,"1009063,1","1001016,15",5002037,3,5,"30150041,30150042,30150043","0,0,1",10003,"3900002,3900004",3015004,"3015004,301500401,301500402","1006607,1006605,1006603","1006608,1006604,1006601","1006609,1006606,1006602",,,"1,2,3,4,5,6,7,8,10004,10006,10007,10008",,1003
3015006,希夕莉,rolepet_name_3015006,rolepet_en_name_3015006,"1009065,1","1001016,15",5002038,7,5,"30150061,30150062,30150063","0,0,1",10003,"3900003,3900006",3015006,"3015006,301500601","1006608,1006606,1006603,1006601","1006609,1006607,1006605,1006604,1006602",,,,"5,10006,10008,10009",,1003
3015007,萨拉,rolepet_name_3015007,rolepet_en_name_3015007,"1009066,1","1001016,15",5002039,5,5,"30150071,30150072,30150073","0,0,1",10003,"3900003,3900006",3015007,"3015007,301500701","1006607,1006606,1006603","1006609,1006605,1006601","1006608,1006604,1006602",,,"1,5,6,7,10005,10006,10007,10008,10009",,1003
3015008,牧,rolepet_name_3015008,rolepet_en_name_3015008,"1009067,1","1001016,15",5002040,4,5,"30150081,30150082,30150083","0,0,1",10003,"3900001,3900005",3015008,"3015008,301500801,301500802,301500899","1006609,1006606,1006603","1006607,1006604,1006602","1006608,1006605,1006601",,,"5,10006,10008",,1003
3016009,吉拉蒂亚,rolepet_name_3016009,rolepet_en_name_3016009,"1009076,1","1001016,15",5002041,4,5,"30160091,30160092,30160093","0,0,1",10003,"3900003,3900006",3016009,"3016009,301600901,301600903,301600904,301600999","1006608,1006606,1006602","1006607,1006604,1006601","1006609,1006605,1006603",,,"3,4,10004",,1003
3016010,瑞比娅,rolepet_name_3016010,rolepet_en_name_3016010,"1009077,1","1001016,15",5002054,3,5,"30160101,30160102,30160103","0,0,1",10003,"3900003,3900006",3016010,"3016010,233016010","1006607,1006606,1006602","1006609,1006605,1006601","1006608,1006604,1006603",,,,-1,"1003,1006"
3016011,卡萝琳,rolepet_name_3016011,rolepet_en_name_3016011,"1009078,1","1001016,3",5002042,7,4,"30160111,30160112,30160113","0,0,1",10002,"3900001,3900005",3016011,"3016011,243016011","1006607,1006606,1006602","1006608,1006605,1006601","1006609,1006604,1006603",,,"10001,10002,10003,10005,10007",,1002
3016013,克尔苏娜,rolepet_name_3016013,rolepet_en_name_3016013,"1009080,1","1001016,15",5002043,1,5,"30160131,30160132,30160133","0,0,1",10003,"3900002,3900004",3016013,"3016013,301601301,253016013","1006608,1006604,1006601","1006609,1006606,1006603","1006607,1006605,1006602",,,"2,4,8,10002","0,2,3,4,5,6,7,8,9,10","1003,1007"
3016016,露易丝,rolepet_name_3016016,rolepet_en_name_3016016,"1009083,1","1001016,15",5002061,7,5,"30160161,30160162,30160163","0,0,1",10003,"3900002,3900004",3016016,3016016,"1006607,1006606,1006603","1006609,1006605,1006602","1006608,1006604,1006601",,,,-1,"1003,1008"
3016017,罗莎莉,rolepet_name_3016017,rolepet_en_name_3016017,"1009084,1","1001016,3",5002044,1,4,"30160171,30160172,30160173","0,0,1",10002,"3900002,3900004",3016017,3016017,"1006608,1006605,1006602","1006609,1006604,1006603","1006607,1006606,1006601",,,10005,"0,8,9,10",1002
3016020,奈奥米,rolepet_name_3016020,rolepet_en_name_3016020,"1009087,1","1001016,15",5002056,7,5,"30160201,30160202,30160203","0,0,1",10003,"3900001,3900005",3016020,"3016020,301602001","1006608,1006605,1006601","1006607,1006609,1006606,1006602","1006604,1006603",,,"7,8","0,2,3,4,5","1003,1009"
3016023,佩内洛普,rolepet_name_3016023,rolepet_en_name_3016023,"1009090,1","1001015,20",5002045,6,3,"30160231,30160232,30160233","0,0,1",10001,"3900001,3900005",3016023,3016023,"1006609,1006606,1006603","1006607,1006605,1006602","1006608,1006604,1006601",,,,,1001
3016024,塞蕾丝蒂娜,rolepet_name_3016024,rolepet_en_name_3016024,"1009091,1","1001016,15",5002055,2,5,"30160241,30160242,30160243","0,0,1",10003,"3900003,3900006",3016024,3016024,"1006609,1006604,1006605,1006602,1006603","1006607,1006608,1006601",1006606,,,,0,"1003,1008"
3016031,小闪,rolepet_name_3016031,rolepet_en_name_3016031,"1009098,1","1001016,15",5002046,3,5,"30160311,30160312,30160313","0,0,1",10003,"3900003,3900006",3016031,"3016031,301603101,301603102","1006607,1006606,1006603","1006609,1006604,1006602","1006608,1006605,1006601",,,"1,5,6,7,10006,10007,10008",,1003
3016038,仙蒂,rolepet_name_3016038,rolepet_en_name_3016038,"1009105,1","1001015,20",5002047,4,3,"30160381,30160382,30160383","0,0,1",10001,"3900001,3900005",3016038,3016038,"1006608,1006604,1006602","1006607,1006606,1006603,1006601","1006609,1006605",,,,,1001
3016049,艾琳娜,rolepet_name_3016049,rolepet_en_name_3016049,"1009116,1","1001016,15",5002057,1,5,"30160491,30160492,30160493","0,0,1",10003,"3900003,3900006",3016049,3016049,"1006607,1006609,1006606,1006601","1006604,1006605,1006603","1006608,1006602",,,,-1,"1003,1007"
3016068,贝卡丝,rolepet_name_3016068,rolepet_en_name_3016068,"1009135,1","1001016,3",5002053,1,4,"30160681,30160682,30160683","0,0,1",10002,"3900001,3900005",3016068,"3016068,301606801","1006607,1006608,1006602","1006609,1006605,1006603","1006604,1006606,1006601",,,,"0,2,3,4,5",1002
3016078,昔莱,rolepet_name_3016078,rolepet_en_name_3016078,"1009145,1","1001016,15",5002048,6,5,"30160781,30160782,30160783","0,0,1",10003,"3900003,3900006",3016078,"3016078,301607801","1006608,1006605,1006602","1006607,1006606,1006603","1006609,1006604,1006601",,,,"0,2,3,4,5","1003,1006"
3016119,杜达·戴维,rolepet_name_3016119,rolepet_en_name_3016119,"1009187,1","1001016,15",5002068,2,5,"30161191,30161192,30161193","0,0,1",10003,"3900003,3900006",3016119,3016119,"1006601,1006605,1006609","1006607,1006604,1006602","1006608,1006606,1006603",,,,-1,"1003,1005"
3016130,伊卡洛斯,rolepet_name_3016130,rolepet_en_name_3016130,"1009197,1","1001016,15",5002049,7,5,"30161301,30161302,30161303","0,0,1",10003,"3900001,3900005",3016130,"3016130,301613001","1006607,1006606,1006601","1006609,1006604,1006603,1006602","1006608,1006605",,,"1,2,4,5,6,8,10004,10009",,1003
3016187,异邦波斯菊,rolepet_name_3016187,rolepet_en_name_3016187,"1009254,1","1001016,15",5002052,3,5,"30161871,30161872,30161873","0,0,1",10003,"3900002,3900004",3016187,"3016187,301618701","1006608,1006606,1006602","1006607,1006604,1006605,1006603","1006609,1006601",,,"1,2,3,4,5,6,7,8","0,2,3,4,5","1003,1007"
3016188,极焰,rolepet_name_3016188,rolepet_en_name_3016188,"1009255,1","1001016,15",5002059,4,5,"30161881,30161882,30161883","0,0,1",10003,"3900003,3900006",3016188,"3016188,301618801,223016188","1006607,1006609,1006606,1006601","1006604,1006605,1006603","1006608,1006602",,,,-1,"1003,1006"
3016189,塔嘉娜,rolepet_name_3016189,rolepet_en_name_3016189,"1009258,1","1001016,15",5002069,5,5,"30161901,30161902,30161903","0,0,1",10003,"3900001,3900005",3016189,3016189,"1006609,1006605,1006601","1006607,1006606,1006602","1006608,1006604,1006603",,,,-1,"1003,1005"
3017001,雪泉,rolepet_name_3017001,rolepet_en_name_3017001,"1009701,1","1001016,15",5002066,7,5,"30170011,30170012,30170013","0,0,1",10003,"3900003,3900006",3017001,"3017001,301700101","1006607,1006605,1006603","1006608,1006606,1006602","1006609,1006604,1006601",,,,-1,1003
3017002,雪不归,rolepet_name_3017002,rolepet_en_name_3017002,"1009702,1","1001016,15",5002067,6,5,"30170021,30170022,30170023","0,0,1",10003,"3900002,3900004",3017002,"3017002,301700201","1006608,1006605,1006602","1006607,1006604,1006601","1006609,1006606,1006603",,,,-1,1003
3016191,爱尔维拉,rolepet_name_3016191,rolepet_en_name_3016191,"1009175,1","1001016,15",5002071,2,5,"30161911,30161912,30161913","0,0,1",10003,"3900002,3900004",3016191,"3016191,301619101","1006607,1006609,1006606","1006608,1006604,1006605","1006601,1006602,1006603",,,10009,"0,8,9,10","1003,1004"
